,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,GOLDEN STATE_ACTION,LA LAKERS_SCORE,GOLDEN STATE_SCORE
156,2,7:04.0,,H. Barnes makes free throw 2 of 2,39,46
157,2,7:04.0,J. Clarkson enters the game for J. Lin,,39,45
158,2,7:04.0,J. Hill enters the game for E. Davis,,39,45
159,2,7:04.0,,H. Barnes makes free throw 1 of 2,39,45
160,2,6:47.0,R. Kelly misses 2-pt jump shot from 5 ft,,39,46
161,2,6:46.0,,Defensive rebound by J. Holiday,39,46
162,2,6:41.0,,H. Barnes makes 2-pt layup from 1 ft (assist by S. Livingston),39,48
163,2,6:21.0,J. Hill makes 2-pt hook shot from 6 ft,,41,48
164,2,6:03.0,,Golden State full timeout,41,48
165,2,6:03.0,W. Ellington enters the game for R. Kelly,,41,48
166,2,6:03.0,,S. Curry enters the game for J. Holiday,41,48
167,2,6:03.0,,A. Bogut enters the game for D. Lee,41,48
168,2,5:58.0,,H. Barnes misses 3-pt jump shot from 23 ft,41,48
169,2,5:56.0,Defensive rebound by W. Johnson,,41,48
170,2,5:39.0,W. Ellington makes 2-pt jump shot from 20 ft,,43,48
171,2,5:21.0,,H. Barnes misses 2-pt hook shot from 7 ft,43,48
172,2,5:20.0,Defensive rebound by J. Hill,,43,48
173,2,5:11.0,J. Hill misses 2-pt jump shot from 16 ft,,43,48
174,2,5:10.0,,Defensive rebound by H. Barnes,43,48
175,2,5:02.0,,S. Livingston makes 2-pt dunk at rim (assist by A. Iguodala),43,50
176,2,4:36.0,J. Hill misses 2-pt hook shot from 6 ft,,43,50
177,2,4:35.0,,Defensive rebound by A. Bogut,43,50
178,2,4:26.0,,S. Curry makes 2-pt layup from 1 ft,43,52
179,2,4:06.0,J. Clarkson misses 3-pt jump shot from 27 ft,,43,52
180,2,4:05.0,,Defensive rebound by A. Bogut,43,52
181,2,3:56.0,,A. Iguodala misses 3-pt jump shot from 25 ft,43,52
182,2,3:55.0,Defensive rebound by J. Hill,,43,52
183,2,3:44.0,,Violation by A. Iguodala (kicked ball),43,52
184,2,3:44.0,T. Black enters the game for J. Brown,,43,52
185,2,3:44.0,,D. Green enters the game for S. Livingston,43,52
186,2,3:44.0,,K. Thompson enters the game for A. Iguodala,43,52
187,2,3:35.0,Shooting foul by D. Green (drawn by T. Black),,43,52
188,2,3:35.0,T. Black makes free throw 2 of 2,,45,52
189,2,3:35.0,T. Black makes free throw 1 of 2,,44,52
190,2,3:15.0,,H. Barnes misses 2-pt layup from 1 ft,45,52
191,2,3:14.0,Defensive rebound by T. Black,,45,52
192,2,3:11.0,,Offensive charge foul by J. Hill (drawn by D. Green),45,52
193,2,3:11.0,Turnover by J. Hill (offensive foul),,45,52
194,2,2:58.0,,Turnover by S. Curry (bad pass; steal by J. Clarkson),45,52
195,2,2:53.0,J. Clarkson makes 2-pt layup from 1 ft,,47,52
196,2,2:38.0,,H. Barnes misses 3-pt jump shot from 23 ft,47,52
197,2,2:36.0,Defensive rebound by J. Hill,,47,52
198,2,2:30.0,W. Ellington makes 3-pt jump shot from 24 ft,,50,52
199,2,2:18.0,,Turnover by D. Green (bad pass; steal by J. Hill),50,52
200,2,2:17.0,Personal foul by K. Thompson (drawn by J. Hill),,50,52
201,2,2:17.0,J. Hill makes free throw 2 of 2,,52,52
202,2,2:17.0,J. Hill makes free throw 1 of 2,,51,52
203,2,2:17.0,LA Lakers full timeout,,50,52
204,2,2:01.0,,A. Bogut makes 2-pt jump shot from 4 ft (assist by H. Barnes),52,54
205,2,1:47.0,J. Clarkson misses 2-pt jump shot from 18 ft,,52,54
206,2,1:46.0,,Defensive rebound by D. Green,52,54
207,2,1:34.0,,K. Thompson makes 2-pt jump shot from 17 ft (assist by A. Bogut),52,56
208,2,1:15.0,W. Ellington misses 2-pt jump shot from 17 ft,,52,56
209,2,1:13.0,,Defensive rebound by D. Green,52,56
210,2,1:07.0,,D. Green makes 2-pt layup from 1 ft,52,58
211,2,0:49.0,J. Hill misses 2-pt jump shot from 17 ft,,52,58
212,2,0:48.0,,Defensive rebound by S. Curry,52,58
213,2,0:41.0,,S. Curry misses 2-pt jump shot from 21 ft,52,58
214,2,0:40.0,Defensive rebound by J. Hill,,52,58
215,2,0:26.0,T. Black makes 2-pt hook shot from 4 ft (assist by J. Clarkson),,54,58
216,2,0:03.0,,K. Thompson misses 2-pt jump shot from 21 ft,54,58
217,2,0:01.0,Defensive rebound by J. Hill,,54,58
218,3,11:40.0,J. Clarkson makes 2-pt jump shot from 20 ft,,56,58
219,3,11:24.0,,Turnover by A. Bogut (bad pass; steal by W. Ellington),56,58
220,3,11:15.0,T. Black misses 2-pt layup at rim (block by H. Barnes),,56,58
221,3,11:12.0,,Defensive rebound by K. Thompson,56,58
222,3,11:04.0,,D. Green misses 3-pt jump shot from 25 ft,56,58
223,3,11:03.0,Defensive rebound by W. Johnson,,56,58
224,3,10:45.0,J. Clarkson makes 2-pt jump shot from 10 ft (assist by J. Hill),,58,58
225,3,10:25.0,,S. Curry misses 3-pt jump shot from 26 ft,58,58
226,3,10:23.0,Defensive rebound by T. Black,,58,58
227,3,10:14.0,W. Ellington misses 2-pt jump shot from 15 ft,,58,58
228,3,10:10.0,Offensive rebound by W. Ellington,,58,58
229,3,10:05.0,W. Johnson misses 2-pt jump shot from 15 ft,,58,58
230,3,10:03.0,,Defensive rebound by S. Curry,58,58
231,3,9:51.0,,S. Curry misses 3-pt jump shot from 26 ft,58,58
232,3,9:50.0,Defensive rebound by T. Black,,58,58
233,3,9:36.0,J. Hill makes 2-pt jump shot from 16 ft,,60,58
234,3,9:23.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Green),60,61
235,3,9:01.0,J. Hill misses 2-pt layup from 2 ft,,60,61
236,3,9:00.0,,Defensive rebound by Team,60,61
237,3,8:54.0,,S. Curry misses 2-pt jump shot from 13 ft,60,61
238,3,8:52.0,Defensive rebound by J. Hill,,60,61
239,3,8:41.0,J. Hill misses 2-pt jump shot from 4 ft,,60,61
240,3,8:40.0,Personal foul by K. Thompson (drawn by T. Black),,60,61
241,3,8:40.0,Offensive rebound by T. Black,,60,61
242,3,8:24.0,J. Hill misses 2-pt jump shot from 18 ft,,60,61
243,3,8:22.0,,Defensive rebound by Team,60,61
244,3,8:10.0,,K. Thompson misses 3-pt jump shot from 25 ft,60,61
245,3,8:08.0,Defensive rebound by J. Hill,,60,61
246,3,7:43.0,T. Black misses 2-pt jump shot from 7 ft,,60,61
247,3,7:42.0,,Defensive rebound by D. Green,60,61
248,3,7:29.0,,K. Thompson misses 3-pt jump shot from 25 ft,60,61
249,3,7:28.0,Defensive rebound by T. Black,,60,61
250,3,7:06.0,J. Hill makes 2-pt hook shot from 6 ft,,62,61
251,3,6:54.0,,D. Green makes 2-pt layup at rim (assist by S. Curry),62,63
252,3,6:30.0,W. Ellington misses 2-pt jump shot from 19 ft,,62,63
253,3,6:29.0,,Defensive rebound by A. Bogut,62,63
254,3,6:22.0,,A. Bogut makes 2-pt dunk at rim (assist by S. Curry),62,65
255,3,6:04.0,Personal foul by K. Thompson (drawn by W. Ellington),,62,65
256,3,6:00.0,W. Johnson makes 3-pt jump shot from 26 ft (assist by T. Black),,65,65
257,3,5:51.0,,S. Curry makes 2-pt jump shot from 19 ft,65,67
258,3,5:35.0,J. Clarkson misses 2-pt jump shot from 13 ft,,65,67
259,3,5:33.0,Offensive rebound by J. Clarkson,,65,67
260,3,5:32.0,J. Clarkson makes 2-pt jump shot from 7 ft,,67,67
261,3,5:21.0,,Shooting foul by T. Black (drawn by K. Thompson),67,67
262,3,5:21.0,,K. Thompson makes free throw 2 of 2,67,69
263,3,5:21.0,,J. McAdoo enters the game for D. Green,67,67
