,QUARTER,TIME_REMAINING,INDIANA_ACTION,LA CLIPPERS_ACTION,INDIANA_SCORE,LA CLIPPERS_SCORE
86,1,0:39.0,,J. Crawford makes 3-pt jump shot from 25 ft (assist by B. Griffin),27,30
87,1,0:27.0,C. Miles misses 2-pt jump shot from 16 ft,,27,30
88,1,0:26.0,,Defensive rebound by G. Davis,27,30
89,1,0:03.0,,B. Griffin misses 3-pt jump shot from 26 ft,27,30
90,1,0:03.0,Defensive rebound by Team,,27,30
91,1,0:02.0,C. Miles misses 3-pt jump shot from 26 ft,,27,30
92,1,0:00.0,Offensive rebound by Team,,27,30
93,2,11:46.0,,G. Davis makes 2-pt jump shot from 17 ft (assist by B. Griffin),27,32
94,2,11:25.0,Personal foul by J. Farmar (drawn by L. Allen),,27,32
95,2,11:25.0,,D. Jordan enters the game for B. Griffin,27,32
96,2,11:19.0,D. Sloan misses 2-pt jump shot from 17 ft,,27,32
97,2,11:18.0,,Defensive rebound by G. Davis,27,32
98,2,11:05.0,,G. Davis misses 2-pt jump shot from 16 ft,27,32
99,2,11:04.0,,Offensive rebound by D. Jordan,27,32
100,2,10:58.0,,Turnover by J. Crawford (bad pass; steal by C. Miles),27,32
101,2,10:52.0,R. Stuckey makes 2-pt layup from 2 ft (assist by C. Miles),,29,32
102,2,10:40.0,,Personal foul by C. Miles (drawn by D. Jordan),29,32
103,2,10:40.0,R. Hibbert enters the game for L. Allen,,29,32
104,2,10:34.0,,J. Farmar makes 2-pt jump shot from 12 ft,29,34
105,2,10:13.0,R. Stuckey makes 2-pt layup from 2 ft,,31,34
106,2,9:56.0,,Turnover by J. Crawford (lost ball; steal by R. Stuckey),31,34
107,2,9:56.0,,Loose ball foul by J. Crawford (drawn by R. Stuckey),31,34
108,2,9:46.0,R. Stuckey misses 2-pt jump shot from 16 ft,,31,34
109,2,9:44.0,,Defensive rebound by G. Davis,31,34
110,2,9:38.0,,C. Douglas-Roberts misses 2-pt layup from 1 ft,31,34
111,2,9:36.0,Defensive rebound by R. Hibbert,,31,34
112,2,9:23.0,C. Miles makes 2-pt layup from 1 ft (assist by R. Stuckey),,33,34
113,2,9:07.0,,J. Crawford misses 2-pt jump shot from 16 ft,33,34
114,2,9:06.0,Defensive rebound by Team,,33,34
115,2,8:54.0,R. Hibbert misses 2-pt jump shot from 17 ft,,33,34
116,2,8:53.0,,Defensive rebound by J. Crawford,33,34
117,2,8:46.0,,J. Crawford makes 2-pt jump shot from 17 ft,33,36
118,2,8:30.0,L. Scola makes 2-pt jump shot from 17 ft (assist by D. Sloan),,35,36
119,2,8:14.0,,Personal foul by R. Stuckey (drawn by J. Crawford),35,36
120,2,8:14.0,Official timeout,,35,36
121,2,8:14.0,L. Allen enters the game for R. Hibbert,,35,36
122,2,8:07.0,,D. Jordan misses 2-pt layup at rim,35,36
123,2,8:05.0,Defensive rebound by L. Scola,,35,36
124,2,7:47.0,C. Miles makes 2-pt dunk at rim (assist by L. Scola),,37,36
125,2,7:26.0,,J. Farmar misses 2-pt jump shot from 3 ft,37,36
126,2,7:25.0,,Offensive rebound by D. Jordan,37,36
127,2,7:23.0,,D. Jordan misses 2-pt tip-in from 1 ft,37,36
128,2,7:23.0,,Offensive rebound by D. Jordan,37,36
129,2,7:20.0,,J. Farmar misses 3-pt jump shot from 23 ft,37,36
130,2,7:19.0,Defensive rebound by L. Allen,,37,36
131,2,7:09.0,L. Allen misses 2-pt jump shot from 20 ft,,37,36
132,2,7:08.0,,Defensive rebound by D. Jordan,37,36
133,2,6:59.0,,J. Crawford makes 2-pt jump shot from 6 ft,37,38
134,2,6:54.0,,Offensive charge foul by R. Stuckey (drawn by J. Farmar),37,38
135,2,6:54.0,Turnover by R. Stuckey (offensive foul),,37,38
136,2,6:54.0,,J. Redick enters the game for J. Farmar,37,38
137,2,6:54.0,,B. Griffin enters the game for G. Davis,37,38
138,2,6:54.0,,C. Paul enters the game for C. Douglas-Roberts,37,38
139,2,6:44.0,,Shooting foul by R. Stuckey (drawn by J. Crawford),37,38
140,2,6:44.0,,J. Crawford misses free throw 1 of 2,37,38
141,2,6:44.0,,Offensive rebound by Team,37,38
142,2,6:44.0,S. Hill enters the game for R. Stuckey,,37,38
143,2,6:44.0,,J. Crawford makes free throw 2 of 2,37,39
144,2,6:30.0,C. Miles makes 2-pt jump shot from 20 ft (assist by L. Scola),,39,39
145,2,6:07.0,,LA Clippers full timeout,39,39
146,2,6:03.0,,B. Griffin misses 2-pt jump shot from 21 ft,39,39
147,2,6:01.0,,Offensive rebound by D. Jordan,39,39
148,2,5:55.0,,B. Griffin misses 2-pt layup from 2 ft,39,39
149,2,5:51.0,Defensive rebound by L. Scola,,39,39
150,2,5:46.0,Turnover by L. Scola (bad pass; steal by J. Crawford),,39,39
151,2,5:38.0,,J. Crawford makes 2-pt dunk at rim (assist by J. Redick),39,41
152,2,5:20.0,S. Hill misses 3-pt jump shot from 26 ft,,39,41
153,2,5:18.0,,Defensive rebound by D. Jordan,39,41
154,2,4:57.0,,J. Redick misses 3-pt jump shot from 23 ft,39,41
155,2,4:56.0,Defensive rebound by L. Scola,,39,41
156,2,4:37.0,Turnover by D. Sloan (bad pass; steal by C. Paul),,39,41
157,2,4:30.0,,J. Redick makes 3-pt jump shot from 27 ft (assist by C. Paul),39,44
158,2,4:30.0,Indiana full timeout,,39,44
159,2,4:30.0,,M. Barnes enters the game for J. Crawford,39,44
160,2,4:30.0,C. Watson enters the game for D. Sloan,,39,44
161,2,4:30.0,R. Hibbert enters the game for L. Allen,,39,44
162,2,4:09.0,L. Scola makes 2-pt layup from 3 ft (assist by R. Hibbert),,41,44
163,2,3:51.0,,B. Griffin misses 2-pt hook shot from 7 ft,41,44
164,2,3:48.0,Defensive rebound by L. Scola,,41,44
165,2,3:48.0,C. Miles makes 3-pt jump shot from 25 ft,,44,44
166,2,3:32.0,,Personal foul by L. Scola (drawn by B. Griffin),44,44
167,2,3:23.0,,Personal foul by C. Watson (drawn by C. Paul),44,44
168,2,3:23.0,,C. Paul misses free throw 1 of 2,44,44
169,2,3:23.0,,Offensive rebound by Team,44,44
170,2,3:23.0,D. West enters the game for L. Scola,,44,44
171,2,3:23.0,D. Sloan enters the game for S. Hill,,44,44
172,2,3:23.0,D. Rudež enters the game for R. Hibbert,,44,44
173,2,3:23.0,,C. Paul makes free throw 2 of 2,44,45
174,2,3:07.0,C. Miles misses 3-pt jump shot from 23 ft,,44,45
175,2,3:06.0,,Defensive rebound by D. Jordan,44,45
176,2,3:06.0,,Personal take foul by D. Rudež (drawn by D. Jordan),44,45
177,2,3:06.0,,D. Jordan misses free throw 1 of 2,44,45
178,2,3:06.0,,Offensive rebound by Team,44,45
179,2,3:06.0,,D. Jordan makes free throw 2 of 2,44,46
180,2,2:54.0,D. Rudež misses 3-pt jump shot from 25 ft,,44,46
181,2,2:52.0,,Defensive rebound by D. Jordan,44,46
182,2,2:47.0,,B. Griffin makes 2-pt layup from 1 ft (assist by C. Paul),44,48
183,2,2:29.0,D. Sloan misses 2-pt layup from 1 ft (block by D. Jordan),,44,48
184,2,2:28.0,,Defensive rebound by C. Paul,44,48
185,2,2:28.0,,Personal foul by D. Rudež (drawn by C. Paul),44,48
186,2,2:28.0,,C. Paul makes free throw 1 of 2,44,49
187,2,2:28.0,R. Hibbert enters the game for D. Rudež,,44,49
188,2,2:28.0,S. Hill enters the game for D. Sloan,,44,49
189,2,2:28.0,,C. Paul makes free throw 2 of 2,44,50
190,2,2:14.0,C. Watson makes 2-pt jump shot from 13 ft (assist by D. West),,46,50
191,2,2:04.0,Violation by C. Watson (kicked ball),,46,50
192,2,2:00.0,,Turnover by B. Griffin (bad pass; steal by S. Hill),46,50
193,2,1:42.0,Shooting foul by C. Paul (drawn by C. Watson),,46,50
194,2,1:42.0,C. Watson makes free throw 1 of 2,,47,50
195,2,1:42.0,C. Watson makes free throw 2 of 2,,48,50
196,2,1:24.0,,C. Paul misses 2-pt jump shot from 5 ft,48,50
197,2,1:21.0,,Offensive rebound by B. Griffin,48,50
198,2,1:21.0,,B. Griffin makes 2-pt tip-in from 1 ft,48,52
199,2,1:03.0,D. West makes 2-pt jump shot from 13 ft,,50,52
200,2,0:49.0,,J. Redick misses 3-pt jump shot from 24 ft,50,52
201,2,0:48.0,Defensive rebound by D. West,,50,52
202,2,0:38.0,Personal foul by C. Paul (drawn by C. Watson),,50,52
203,2,0:38.0,C. Watson makes free throw 1 of 2,,51,52
204,2,0:38.0,D. Rudež enters the game for R. Hibbert,,51,52
205,2,0:38.0,C. Watson misses free throw 2 of 2,,51,52
206,2,0:38.0,,Defensive rebound by B. Griffin,51,52
207,2,0:37.0,,Personal take foul by D. Rudež (drawn by D. Jordan),51,52
208,2,0:37.0,,D. Jordan misses free throw 1 of 2,51,52
209,2,0:37.0,,Offensive rebound by Team,51,52
210,2,0:37.0,R. Hibbert enters the game for D. Rudež,,51,52
211,2,0:37.0,,D. Jordan misses free throw 2 of 2,51,52
212,2,0:36.0,Defensive rebound by D. West,,51,52
213,2,0:19.0,R. Hibbert misses 2-pt jump shot from 4 ft (block by D. Jordan),,51,52
214,2,0:15.0,Offensive rebound by D. West,,51,52
215,2,0:13.0,D. West misses 2-pt jump shot from 4 ft,,51,52
216,2,0:12.0,Offensive rebound by R. Hibbert,,51,52
217,2,0:11.0,R. Hibbert misses 2-pt tip-in from 6 ft,,51,52
218,2,0:11.0,Offensive rebound by R. Hibbert,,51,52
219,2,0:11.0,R. Hibbert misses 2-pt hook shot from 6 ft,,51,52
220,2,0:11.0,,Defensive rebound by D. Jordan,51,52
221,2,0:11.0,,LA Clippers full timeout,51,52
222,2,0:05.0,,J. Crawford enters the game for D. Jordan,51,52
223,3,11:50.0,,Shooting foul by R. Hibbert (drawn by D. Jordan),51,52
224,3,11:50.0,,D. Jordan misses free throw 1 of 2,51,52
225,3,11:50.0,,Offensive rebound by Team,51,52
226,3,11:50.0,,D. Jordan makes free throw 2 of 2,51,53
227,3,11:32.0,Shooting foul by B. Griffin (drawn by R. Hibbert),,51,53
228,3,11:32.0,R. Hibbert makes free throw 1 of 2,,52,53
229,3,11:32.0,R. Hibbert misses free throw 2 of 2,,52,53
230,3,11:30.0,,Defensive rebound by B. Griffin,52,53
231,3,11:11.0,,B. Griffin makes 2-pt jump shot from 19 ft (assist by J. Redick),52,55
232,3,10:46.0,Shooting foul by M. Barnes (drawn by S. Hill),,52,55
233,3,10:46.0,S. Hill makes free throw 1 of 2,,53,55
234,3,10:46.0,S. Hill makes free throw 2 of 2,,54,55
235,3,10:31.0,,Shooting foul by R. Hibbert (drawn by B. Griffin),54,55
236,3,10:31.0,,B. Griffin misses free throw 1 of 2,54,55
237,3,10:31.0,,Offensive rebound by Team,54,55
238,3,10:31.0,,B. Griffin makes free throw 2 of 2,54,56
239,3,10:17.0,R. Stuckey misses 2-pt jump shot from 9 ft,,54,56
240,3,10:16.0,,Defensive rebound by D. Jordan,54,56
241,3,10:08.0,,Shooting foul by R. Hibbert (drawn by B. Griffin),54,56
242,3,10:08.0,,B. Griffin makes free throw 1 of 2,54,57
243,3,10:08.0,L. Allen enters the game for R. Hibbert,,54,57
244,3,10:08.0,,B. Griffin makes free throw 2 of 2,54,58
245,3,9:47.0,Turnover by S. Hill (bad pass; steal by C. Paul),,54,58
246,3,9:41.0,,J. Redick misses 3-pt jump shot from 25 ft,54,58
247,3,9:38.0,Defensive rebound by R. Stuckey,,54,58
248,3,9:32.0,C. Watson misses 3-pt jump shot from 24 ft,,54,58
249,3,9:29.0,Offensive rebound by L. Allen,,54,58
250,3,9:17.0,L. Allen makes 2-pt layup from 2 ft (assist by C. Watson),,56,58
251,3,8:53.0,,Turnover by D. Jordan (bad pass; steal by D. West),56,58
252,3,8:48.0,Turnover by C. Watson (lost ball; steal by C. Paul),,56,58
253,3,8:35.0,,C. Paul misses 2-pt jump shot from 10 ft,56,58
254,3,8:33.0,,Offensive rebound by B. Griffin,56,58
255,3,8:33.0,,Turnover by M. Barnes (step out of bounds),56,58
256,3,8:24.0,D. West misses 2-pt jump shot from 19 ft,,56,58
257,3,8:23.0,,Defensive rebound by B. Griffin,56,58
258,3,8:14.0,,B. Griffin makes 2-pt jump shot from 16 ft (assist by C. Paul),56,60
259,3,7:55.0,L. Allen misses 2-pt hook shot from 7 ft,,56,60
260,3,7:54.0,Offensive rebound by D. West,,56,60
261,3,7:51.0,D. West makes 2-pt layup from 1 ft,,58,60
262,3,7:40.0,,B. Griffin misses 2-pt jump shot from 19 ft,58,60
263,3,7:38.0,Defensive rebound by R. Stuckey,,58,60
264,3,7:35.0,R. Stuckey makes 2-pt layup from 2 ft,,60,60
265,3,7:35.0,Shooting foul by M. Barnes (drawn by R. Stuckey),,60,60
266,3,7:35.0,R. Stuckey misses free throw 1 of 2,,60,60
267,3,7:35.0,Offensive rebound by Team,,60,60
268,3,7:35.0,R. Stuckey misses free throw 2 of 2,,60,60
269,3,7:33.0,Offensive rebound by D. West,,60,60
270,3,7:28.0,S. Hill misses 3-pt jump shot from 25 ft,,60,60
271,3,7:26.0,Offensive rebound by L. Allen,,60,60
272,3,7:16.0,C. Watson makes 2-pt jump shot from 10 ft,,62,60
273,3,7:07.0,,LA Clippers full timeout,62,60
274,3,7:00.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by C. Paul),62,63
275,3,6:43.0,Turnover by L. Allen (offensive goaltending),,62,63
276,3,6:30.0,,C. Paul misses 2-pt jump shot from 14 ft,62,63
277,3,6:28.0,Defensive rebound by L. Allen,,62,63
278,3,6:16.0,R. Stuckey misses 3-pt jump shot from 25 ft,,62,63
279,3,6:14.0,,Defensive rebound by D. Jordan,62,63
280,3,6:09.0,,Turnover by B. Griffin (bad pass),62,63
281,3,5:50.0,S. Hill misses 2-pt layup from 2 ft,,62,63
282,3,5:49.0,,Defensive rebound by D. Jordan,62,63
283,3,5:39.0,,Shooting foul by D. West (drawn by D. Jordan),62,63
284,3,5:39.0,,D. Jordan misses free throw 1 of 2,62,63
285,3,5:39.0,,Offensive rebound by Team,62,63
286,3,5:39.0,C. Miles enters the game for S. Hill,,62,63
287,3,5:39.0,,D. Jordan makes free throw 2 of 2,62,64
288,3,5:30.0,Turnover by C. Watson (dbl dribble),,62,64
289,3,5:21.0,,B. Griffin makes 2-pt layup from 1 ft (assist by C. Paul),62,66
290,3,5:17.0,Indiana full timeout,,62,66
291,3,5:04.0,L. Allen misses 2-pt hook shot from 6 ft,,62,66
292,3,5:01.0,,Defensive rebound by D. Jordan,62,66
293,3,4:54.0,,C. Paul makes 2-pt jump shot from 19 ft,62,68
294,3,4:32.0,D. West misses 2-pt hook shot from 7 ft,,62,68
295,3,4:29.0,,Defensive rebound by B. Griffin,62,68
296,3,4:16.0,,B. Griffin misses 2-pt jump shot from 9 ft,62,68
297,3,4:15.0,Defensive rebound by D. West,,62,68
298,3,4:09.0,C. Watson misses 3-pt jump shot from 24 ft,,62,68
299,3,4:07.0,,Defensive rebound by B. Griffin,62,68
300,3,4:00.0,,Personal foul by C. Watson (drawn by C. Paul),62,68
301,3,4:00.0,,C. Paul makes free throw 1 of 2,62,69
302,3,4:00.0,,J. Crawford enters the game for M. Barnes,62,69
303,3,4:00.0,,C. Paul makes free throw 2 of 2,62,70
304,3,3:47.0,C. Watson misses 2-pt jump shot from 12 ft,,62,70
305,3,3:46.0,Offensive rebound by L. Allen,,62,70
306,3,3:39.0,D. West makes 2-pt jump shot from 18 ft (assist by C. Miles),,64,70
307,3,3:27.0,,Shooting foul by R. Stuckey (drawn by D. Jordan),64,70
308,3,3:27.0,,D. Jordan misses free throw 1 of 2,64,70
309,3,3:27.0,,Offensive rebound by Team,64,70
310,3,3:27.0,S. Hill enters the game for R. Stuckey,,64,70
311,3,3:27.0,,D. Jordan makes free throw 2 of 2,64,71
312,3,3:05.0,D. West makes 2-pt hook shot from 9 ft (assist by S. Hill),,66,71
313,3,2:53.0,,B. Griffin makes 2-pt layup from 2 ft (assist by C. Paul),66,73
314,3,2:44.0,D. West makes 2-pt jump shot from 16 ft (assist by C. Watson),,68,73
315,3,2:34.0,,Personal foul by S. Hill (drawn by J. Redick),68,73
316,3,2:34.0,,J. Redick misses free throw 1 of 2,68,73
317,3,2:34.0,,Offensive rebound by Team,68,73
318,3,2:34.0,,J. Redick makes free throw 2 of 2,68,74
319,3,2:19.0,Turnover by C. Watson (bad pass; steal by C. Paul),,68,74
320,3,2:04.0,,B. Griffin misses 2-pt jump shot from 3 ft,68,74
321,3,2:02.0,,Offensive rebound by B. Griffin,68,74
322,3,2:02.0,,B. Griffin misses 2-pt tip-in from 1 ft,68,74
323,3,2:02.0,,Offensive rebound by D. Jordan,68,74
324,3,2:02.0,,Shooting foul by D. West (drawn by D. Jordan),68,74
325,3,2:02.0,,D. Jordan misses free throw 1 of 2,68,74
326,3,2:02.0,,Offensive rebound by Team,68,74
327,3,2:02.0,D. Sloan enters the game for C. Watson,,68,74
328,3,2:02.0,,D. Jordan misses free throw 2 of 2,68,74
329,3,2:00.0,Defensive rebound by C. Miles,,68,74
330,3,1:46.0,L. Allen misses 2-pt jump shot from 17 ft,,68,74
331,3,1:45.0,,Defensive rebound by B. Griffin,68,74
332,3,1:39.0,,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),68,76
333,3,1:21.0,C. Miles misses 3-pt jump shot from 26 ft,,68,76
334,3,1:19.0,,Defensive rebound by B. Griffin,68,76
335,3,1:13.0,,C. Paul misses 3-pt jump shot from 26 ft,68,76
336,3,1:11.0,Defensive rebound by C. Miles,,68,76
337,3,0:59.0,Shooting foul by D. Jordan (drawn by C. Miles),,68,76
338,3,0:59.0,C. Miles makes free throw 1 of 2,,69,76
339,3,0:59.0,,G. Davis enters the game for D. Jordan,69,76
340,3,0:59.0,,J. Farmar enters the game for J. Redick,69,76
341,3,0:59.0,L. Scola enters the game for D. West,,69,76
342,3,0:59.0,C. Miles makes free throw 2 of 2,,70,76
343,3,0:43.0,,B. Griffin misses 2-pt jump shot from 11 ft,70,76
344,3,0:41.0,Defensive rebound by L. Scola,,70,76
345,3,0:32.0,L. Scola makes 2-pt jump shot from 19 ft (assist by D. Sloan),,72,76
346,3,0:12.0,,C. Paul makes 2-pt jump shot from 20 ft,72,78
347,3,0:01.0,Turnover by D. Sloan (lost ball; steal by B. Griffin),,72,78
348,3,0:01.0,,B. Griffin misses 3-pt jump shot from 58 ft,72,78
349,3,0:00.0,,Offensive rebound by Team,72,78
350,4,11:43.0,C. Miles makes 3-pt jump shot from 26 ft (assist by L. Scola),,75,78
351,4,11:28.0,,J. Crawford misses 2-pt jump shot from 20 ft,75,78
352,4,11:26.0,Defensive rebound by S. Hill,,75,78
353,4,11:22.0,Shooting foul by J. Crawford (drawn by C. Miles),,75,78
354,4,11:22.0,C. Miles misses free throw 1 of 3,,75,78
355,4,11:22.0,Offensive rebound by Team,,75,78
356,4,11:22.0,C. Miles misses free throw 2 of 3,,75,78
357,4,11:22.0,Offensive rebound by Team,,75,78
358,4,11:22.0,,C. Douglas-Roberts enters the game for C. Paul,75,78
359,4,11:22.0,C. Miles makes free throw 3 of 3,,76,78
360,4,11:10.0,,J. Farmar misses 2-pt jump shot from 18 ft,76,78
361,4,11:09.0,Defensive rebound by L. Allen,,76,78
362,4,10:56.0,S. Hill misses 2-pt layup from 2 ft (block by G. Davis),,76,78
363,4,10:54.0,,Defensive rebound by D. Jordan,76,78
364,4,10:35.0,,J. Farmar makes 3-pt jump shot from 26 ft,76,81
365,4,10:16.0,L. Scola makes 2-pt layup from 1 ft,,78,81
366,4,9:59.0,,Turnover by J. Farmar (back court),78,81
367,4,9:38.0,C. Miles misses 3-pt jump shot from 24 ft,,78,81
368,4,9:37.0,Offensive rebound by L. Allen,,78,81
369,4,9:35.0,L. Allen makes 2-pt layup from 1 ft,,80,81
370,4,9:20.0,,D. Jordan misses 2-pt layup from 2 ft,80,81
371,4,9:18.0,Defensive rebound by L. Scola,,80,81
372,4,9:15.0,D. Sloan makes 2-pt layup from 3 ft,,82,81
373,4,9:15.0,Shooting block foul by C. Douglas-Roberts (drawn by D. Sloan),,82,81
374,4,9:15.0,D. Sloan makes free throw 1 of 1,,83,81
375,4,9:03.0,,J. Crawford misses 2-pt jump shot from 11 ft,83,81
376,4,9:02.0,Defensive rebound by L. Scola,,83,81
377,4,8:50.0,L. Scola makes 2-pt jump shot from 19 ft (assist by D. Sloan),,85,81
378,4,8:39.0,,Personal foul by S. Hill (drawn by J. Crawford),85,81
379,4,8:39.0,Official timeout,,85,81
380,4,8:39.0,,C. Paul enters the game for J. Farmar,85,81
381,4,8:39.0,,B. Griffin enters the game for G. Davis,85,81
382,4,8:33.0,,C. Paul makes 2-pt jump shot from 13 ft,85,83
383,4,8:18.0,L. Scola misses 2-pt jump shot from 18 ft,,85,83
384,4,8:16.0,Offensive rebound by L. Allen,,85,83
385,4,8:16.0,L. Allen makes 2-pt tip-in from 2 ft,,87,83
386,4,8:03.0,,C. Paul misses 2-pt jump shot from 11 ft,87,83
387,4,8:01.0,Defensive rebound by L. Allen,,87,83
388,4,7:44.0,C. Miles makes 2-pt dunk at rim (assist by L. Allen),,89,83
389,4,7:23.0,,Personal foul by L. Scola (drawn by B. Griffin),89,83
390,4,7:23.0,,J. Redick enters the game for J. Crawford,89,83
391,4,7:23.0,,M. Barnes enters the game for C. Douglas-Roberts,89,83
