,QUARTER,TIME_REMAINING,BOSTON_ACTION,MILWAUKEE_ACTION,BOSTON_SCORE,MILWAUKEE_SCORE
239,3,9:38.0,,E. İlyasova makes 2-pt layup at rim (assist by Z. Pachulia),55,50
240,3,9:22.0,J. Sullinger misses 2-pt layup at rim,,55,50
241,3,9:20.0,,Defensive rebound by M. Carter-Williams,55,50
242,3,9:16.0,,M. Carter-Williams misses 2-pt layup from 1 ft,55,50
243,3,9:14.0,Defensive rebound by L. Datome,,55,50
244,3,8:53.0,E. Turner misses 3-pt jump shot from 25 ft,,55,50
245,3,8:51.0,Offensive rebound by Team,,55,50
246,3,8:46.0,M. Smart misses 3-pt jump shot from 26 ft,,55,50
247,3,8:44.0,Offensive rebound by Team,,55,50
248,3,8:41.0,Offensive foul by J. Sullinger (drawn by G. Antetokounmpo),,55,50
249,3,8:41.0,Turnover by J. Sullinger (offensive foul),,55,50
250,3,8:41.0,P. Pressey enters the game for M. Smart,,55,50
251,3,8:26.0,,Turnover by K. Middleton (bad pass),55,50
252,3,8:23.0,Personal foul by Z. Pachulia (drawn by J. Sullinger),,55,50
253,3,8:16.0,Turnover by J. Jerebko (traveling),,55,50
254,3,8:06.0,,E. İlyasova makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),55,53
255,3,7:50.0,J. Jerebko misses 2-pt jump shot from 15 ft,,55,53
256,3,7:49.0,Offensive rebound by L. Datome,,55,53
257,3,7:40.0,E. Turner makes 2-pt jump shot from 18 ft,,57,53
258,3,7:19.0,,K. Middleton makes 2-pt jump shot from 18 ft (assist by Z. Pachulia),57,55
259,3,7:10.0,Shooting foul by K. Middleton (drawn by J. Sullinger),,57,55
260,3,7:10.0,J. Sullinger makes 2-pt layup at rim (assist by E. Turner),,59,55
261,3,7:10.0,J. Sullinger misses free throw 1 of 1,,59,55
262,3,7:09.0,,Defensive rebound by Z. Pachulia,59,55
263,3,6:57.0,,M. Carter-Williams misses 2-pt jump shot from 3 ft (block by J. Sullinger),59,55
264,3,6:55.0,Defensive rebound by J. Jerebko,,59,55
265,3,6:50.0,L. Datome makes 2-pt jump shot from 8 ft (assist by P. Pressey),,61,55
266,3,6:50.0,,Technical foul by M. Carter-Williams,61,55
267,3,6:50.0,L. Datome makes technical free throw,,62,55
268,3,6:50.0,,T. Ennis enters the game for K. Middleton,62,55
269,3,6:31.0,,Shooting foul by E. Turner (drawn by M. Carter-Williams),62,55
270,3,6:31.0,Technical foul by E. Turner,,62,55
271,3,6:31.0,,M. Carter-Williams makes technical free throw,62,56
272,3,6:31.0,,M. Carter-Williams makes free throw 1 of 2,62,57
273,3,6:31.0,,M. Carter-Williams makes free throw 2 of 2,62,58
274,3,6:13.0,J. Jerebko makes 3-pt jump shot from 23 ft (assist by E. Turner),,65,58
275,3,6:01.0,,Turnover by T. Ennis (bad pass; steal by J. Jerebko),65,58
276,3,5:57.0,J. Jerebko misses 2-pt dunk at rim,,65,58
277,3,5:55.0,,Defensive rebound by Team,65,58
278,3,5:55.0,,Milwaukee full timeout,65,58
279,3,5:55.0,,J. Henson enters the game for Z. Pachulia,65,58
280,3,5:55.0,,O. Mayo enters the game for M. Carter-Williams,65,58
281,3,5:55.0,K. Olynyk enters the game for E. Turner,,65,58
282,3,5:55.0,G. Wallace enters the game for J. Sullinger,,65,58
283,3,5:45.0,,T. Ennis misses 2-pt jump shot from 16 ft,65,58
284,3,5:44.0,Defensive rebound by K. Olynyk,,65,58
