,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,CHARLOTTE_ACTION,LA LAKERS_SCORE,CHARLOTTE_SCORE
47,1,4:44.0,,Offensive rebound by C. Zeller,19,15
48,1,4:42.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by C. Zeller),19,17
49,1,4:28.0,C. Boozer makes 2-pt jump shot from 11 ft (assist by J. Lin),,21,17
50,1,4:14.0,,Offensive foul by M. Kidd-Gilchrist (drawn by J. Lin),21,17
51,1,4:14.0,,Turnover by M. Kidd-Gilchrist (offensive foul),21,17
52,1,4:14.0,W. Johnson enters the game for C. Boozer,,21,17
53,1,4:14.0,E. Davis enters the game for R. Kelly,,21,17
54,1,4:14.0,J. Hill enters the game for R. Sacre,,21,17
55,1,4:14.0,,M. Williams enters the game for C. Zeller,21,17
56,1,4:03.0,J. Clarkson misses 2-pt jump shot from 16 ft,,21,17
57,1,4:02.0,,Defensive rebound by A. Jefferson,21,17
58,1,3:58.0,,M. Williams makes 2-pt jump shot from 14 ft,21,19
59,1,3:58.0,,Shooting foul by W. Johnson (drawn by M. Williams),21,19
60,1,3:58.0,,M. Williams makes free throw 1 of 1,21,20
61,1,3:43.0,J. Hill misses 2-pt jump shot from 16 ft,,21,20
62,1,3:42.0,,Defensive rebound by A. Jefferson,21,20
63,1,3:36.0,,M. Williams makes 2-pt layup from 2 ft,21,22
64,1,3:21.0,Turnover by E. Davis (lost ball; steal by M. Kidd-Gilchrist),,21,22
65,1,3:16.0,,M. Kidd-Gilchrist makes 2-pt layup at rim,21,24
66,1,2:58.0,J. Hill misses 2-pt jump shot from 19 ft,,21,24
67,1,2:56.0,,Defensive rebound by A. Jefferson,21,24
68,1,2:48.0,,Turnover by M. Williams (bad pass; steal by J. Clarkson),21,24
69,1,2:34.0,J. Lin makes 2-pt jump shot from 17 ft,,23,24
70,1,2:17.0,,M. Williams misses 3-pt jump shot from 26 ft,23,24
71,1,2:14.0,Defensive rebound by J. Hill,,23,24
72,1,2:04.0,J. Clarkson makes 3-pt jump shot from 26 ft (assist by J. Lin),,26,24
73,1,1:58.0,,Charlotte full timeout,26,24
74,1,1:58.0,LA Lakers full timeout,,26,24
75,1,1:55.0,,B. Biyombo enters the game for A. Jefferson,26,24
76,1,1:55.0,,B. Roberts enters the game for G. Henderson,26,24
77,1,1:43.0,,M. Williams misses 2-pt jump shot from 17 ft,26,24
78,1,1:42.0,Defensive rebound by E. Davis,,26,24
79,1,1:27.0,J. Clarkson makes 2-pt jump shot from 18 ft,,28,24
80,1,1:02.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by J. Lin),28,24
81,1,1:00.0,Defensive rebound by J. Hill,,28,24
82,1,0:59.0,W. Johnson makes 2-pt dunk at rim (assist by J. Clarkson),,30,24
83,1,0:38.0,,M. Williams makes 3-pt jump shot from 23 ft (assist by B. Roberts),30,27
84,1,0:31.0,J. Lin misses 2-pt jump shot from 19 ft,,30,27
85,1,0:29.0,,Defensive rebound by B. Biyombo,30,27
86,1,0:06.0,,Turnover by Team (shot clock),30,27
87,1,0:01.0,J. Clarkson misses 3-pt jump shot from 26 ft,,30,27
88,1,0:00.0,Offensive rebound by Team,,30,27
89,2,11:50.0,,Turnover by L. Stephenson (bad pass; steal by J. Lin),30,27
90,2,11:37.0,J. Lin misses 2-pt layup from 2 ft (block by L. Stephenson),,30,27
91,2,11:35.0,,Defensive rebound by M. Kidd-Gilchrist,30,27
92,2,11:30.0,,B. Roberts misses 3-pt jump shot from 24 ft,30,27
93,2,11:27.0,Defensive rebound by W. Johnson,,30,27
94,2,11:13.0,J. Hill misses 2-pt jump shot from 16 ft,,30,27
95,2,11:12.0,,Defensive rebound by M. Kidd-Gilchrist,30,27
96,2,11:01.0,,L. Stephenson makes 2-pt jump shot from 11 ft (assist by B. Roberts),30,29
97,2,10:37.0,J. Hill misses 2-pt jump shot from 11 ft,,30,29
98,2,10:37.0,,Defensive rebound by Team,30,29
99,2,10:26.0,,L. Stephenson misses 2-pt jump shot from 16 ft,30,29
100,2,10:24.0,Defensive rebound by J. Lin,,30,29
101,2,10:19.0,J. Lin misses 2-pt layup from 2 ft (block by M. Williams),,30,29
102,2,10:17.0,,Defensive rebound by L. Stephenson,30,29
103,2,10:12.0,,Shooting foul by J. Hill (drawn by L. Stephenson),30,29
104,2,10:12.0,,L. Stephenson misses free throw 1 of 2,30,29
105,2,10:12.0,,Offensive rebound by Team,30,29
106,2,10:12.0,,L. Stephenson makes free throw 2 of 2,30,30
107,2,9:52.0,J. Hill misses 2-pt jump shot from 17 ft (block by M. Williams),,30,30
108,2,9:50.0,,Defensive rebound by L. Stephenson,30,30
109,2,9:47.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by L. Stephenson),30,32
110,2,9:31.0,Turnover by E. Davis (bad pass),,30,32
111,2,9:31.0,C. Boozer enters the game for J. Hill,,30,32
112,2,9:20.0,,Shooting foul by E. Davis (drawn by L. Stephenson),30,32
113,2,9:20.0,,L. Stephenson makes free throw 1 of 2,30,33
114,2,9:20.0,,G. Henderson enters the game for M. Kidd-Gilchrist,30,33
115,2,9:20.0,,L. Stephenson makes free throw 2 of 2,30,34
116,2,9:06.0,C. Boozer makes 2-pt layup from 1 ft (assist by E. Davis),,32,34
117,2,8:52.0,,M. Williams makes 2-pt jump shot from 22 ft (assist by G. Henderson),32,36
118,2,8:40.0,C. Boozer makes 2-pt jump shot from 18 ft (assist by J. Lin),,34,36
119,2,8:20.0,,M. Williams makes 2-pt jump shot from 8 ft (assist by L. Stephenson),34,38
120,2,8:06.0,C. Boozer misses 2-pt jump shot from 17 ft,,34,38
121,2,8:05.0,,Defensive rebound by G. Henderson,34,38
122,2,7:59.0,Official timeout,,34,38
123,2,7:56.0,,G. Henderson misses 2-pt jump shot from 5 ft (block by W. Johnson),34,38
124,2,7:53.0,Defensive rebound by W. Johnson,,34,38
125,2,7:50.0,E. Davis makes 2-pt dunk at rim (assist by J. Lin),,36,38
126,2,7:26.0,,M. Williams misses 2-pt hook shot from 7 ft,36,38
127,2,7:25.0,Defensive rebound by C. Boozer,,36,38
128,2,7:11.0,W. Johnson misses 2-pt jump shot from 22 ft,,36,38
129,2,7:10.0,,Defensive rebound by L. Stephenson,36,38
130,2,7:06.0,,Turnover by L. Stephenson (bad pass; steal by J. Lin),36,38
131,2,7:03.0,Shooting foul by M. Williams (drawn by W. Johnson),,36,38
132,2,7:03.0,W. Johnson makes free throw 1 of 2,,37,38
133,2,7:03.0,,A. Jefferson enters the game for B. Biyombo,37,38
134,2,7:03.0,W. Johnson makes free throw 2 of 2,,38,38
135,2,6:49.0,,Turnover by L. Stephenson (lost ball),38,38
136,2,6:38.0,E. Davis makes 2-pt layup from 2 ft (assist by J. Lin),,40,38
137,2,6:38.0,Shooting foul by A. Jefferson (drawn by E. Davis),,40,38
138,2,6:38.0,E. Davis misses free throw 1 of 1,,40,38
139,2,6:36.0,,Defensive rebound by A. Jefferson,40,38
140,2,6:28.0,,B. Roberts misses 3-pt jump shot from 26 ft,40,38
141,2,6:26.0,Defensive rebound by C. Boozer,,40,38
142,2,6:21.0,Shooting foul by G. Henderson (drawn by W. Ellington),,40,38
143,2,6:21.0,W. Ellington makes free throw 1 of 2,,41,38
144,2,6:21.0,,C. Zeller enters the game for M. Williams,41,38
145,2,6:21.0,R. Sacre enters the game for E. Davis,,41,38
146,2,6:21.0,W. Ellington makes free throw 2 of 2,,42,38
147,2,5:58.0,,A. Jefferson misses 2-pt jump shot from 15 ft,42,38
148,2,5:56.0,Defensive rebound by C. Boozer,,42,38
149,2,5:48.0,J. Lin misses 2-pt jump shot from 18 ft,,42,38
150,2,5:45.0,,Defensive rebound by C. Zeller,42,38
151,2,5:35.0,,G. Henderson makes 2-pt jump shot from 20 ft (assist by B. Roberts),42,40
152,2,5:18.0,Turnover by W. Johnson (bad pass; steal by A. Jefferson),,42,40
153,2,5:08.0,,G. Henderson misses 2-pt layup from 2 ft,42,40
154,2,5:08.0,,Offensive rebound by A. Jefferson,42,40
155,2,5:08.0,,Shooting foul by W. Johnson (drawn by A. Jefferson),42,40
156,2,5:08.0,,Charlotte full timeout,42,40
157,2,5:08.0,J. Clarkson enters the game for J. Lin,,42,40
158,2,5:08.0,,M. Williams enters the game for B. Roberts,42,40
159,2,5:08.0,,A. Jefferson misses free throw 1 of 2,42,40
160,2,5:08.0,,Offensive rebound by Team,42,40
161,2,5:08.0,,A. Jefferson misses free throw 2 of 2,42,40
162,2,5:06.0,Defensive rebound by W. Johnson,,42,40
163,2,5:04.0,Turnover by W. Johnson (lost ball; steal by G. Henderson),,42,40
164,2,4:50.0,,A. Jefferson misses 2-pt jump shot from 7 ft,42,40
165,2,4:49.0,Defensive rebound by C. Boozer,,42,40
166,2,4:32.0,W. Ellington misses 2-pt jump shot from 18 ft,,42,40
167,2,4:31.0,,Defensive rebound by A. Jefferson,42,40
168,2,4:15.0,,G. Henderson misses 2-pt jump shot from 16 ft,42,40
169,2,4:12.0,Defensive rebound by J. Clarkson,,42,40
170,2,3:57.0,C. Boozer misses 2-pt jump shot from 17 ft,,42,40
171,2,3:56.0,,Defensive rebound by A. Jefferson,42,40
172,2,3:39.0,,Turnover by M. Williams (bad pass; steal by R. Sacre),42,40
173,2,3:32.0,C. Boozer makes 2-pt layup from 1 ft (assist by J. Clarkson),,44,40
174,2,3:15.0,,A. Jefferson makes 2-pt layup from 3 ft,44,42
175,2,2:51.0,R. Sacre misses 2-pt jump shot from 16 ft,,44,42
176,2,2:48.0,Offensive rebound by W. Johnson,,44,42
177,2,2:48.0,W. Johnson misses 2-pt layup from 2 ft,,44,42
178,2,2:47.0,Offensive rebound by W. Johnson,,44,42
179,2,2:47.0,W. Johnson makes 2-pt layup from 2 ft,,46,42
180,2,2:32.0,,A. Jefferson misses 2-pt layup from 1 ft,46,42
181,2,2:31.0,Defensive rebound by C. Boozer,,46,42
182,2,2:27.0,W. Johnson misses 3-pt jump shot from 25 ft,,46,42
183,2,2:27.0,,Defensive rebound by Team,46,42
184,2,2:27.0,Loose ball foul by C. Boozer (drawn by C. Zeller),,46,42
185,2,2:27.0,LA Lakers full timeout,,46,42
186,2,2:27.0,R. Kelly enters the game for W. Johnson,,46,42
187,2,2:27.0,,M. Kidd-Gilchrist enters the game for L. Stephenson,46,42
188,2,2:07.0,,A. Jefferson misses 2-pt layup from 1 ft,46,42
189,2,2:06.0,Defensive rebound by R. Kelly,,46,42
190,2,1:53.0,Turnover by W. Ellington (bad pass; steal by A. Jefferson),,46,42
191,2,1:47.0,,G. Henderson makes 3-pt jump shot from 23 ft (assist by M. Williams),46,45
192,2,1:28.0,Shooting foul by C. Zeller (drawn by C. Boozer),,46,45
193,2,1:28.0,C. Boozer makes free throw 1 of 2,,47,45
194,2,1:28.0,C. Boozer makes free throw 2 of 2,,48,45
195,2,1:13.0,,A. Jefferson makes 2-pt jump shot from 5 ft (assist by G. Henderson),48,47
196,2,1:13.0,,Shooting foul by R. Sacre (drawn by A. Jefferson),48,47
197,2,1:13.0,,A. Jefferson makes free throw 1 of 1,48,48
198,2,0:54.0,J. Clarkson misses 3-pt jump shot from 27 ft,,48,48
199,2,0:52.0,,Defensive rebound by M. Williams,48,48
200,2,0:47.0,,Turnover by M. Williams (bad pass; steal by R. Kelly),48,48
201,2,0:41.0,W. Ellington misses 2-pt jump shot from 17 ft,,48,48
202,2,0:39.0,,Defensive rebound by A. Jefferson,48,48
203,2,0:27.0,,A. Jefferson makes 2-pt jump shot from 16 ft (assist by M. Williams),48,50
204,2,0:06.0,J. Clarkson makes 2-pt jump shot from 8 ft,,50,50
205,2,0:01.0,,G. Henderson misses 3-pt jump shot from 31 ft,50,50
206,2,0:00.0,,Offensive rebound by Team,50,50
207,3,11:46.0,,C. Zeller makes 2-pt dunk at rim (assist by M. Williams),50,52
208,3,11:19.0,J. Clarkson misses 2-pt layup from 1 ft,,50,52
209,3,11:17.0,,Defensive rebound by C. Zeller,50,52
210,3,11:13.0,,M. Williams misses 2-pt jump shot from 5 ft,50,52
211,3,11:11.0,,Offensive rebound by M. Kidd-Gilchrist,50,52
212,3,11:11.0,,M. Kidd-Gilchrist misses 2-pt layup from 1 ft,50,52
213,3,11:09.0,Defensive rebound by R. Sacre,,50,52
214,3,10:58.0,Shooting foul by A. Jefferson (drawn by R. Sacre),,50,52
215,3,10:58.0,R. Sacre makes free throw 1 of 2,,51,52
216,3,10:58.0,R. Sacre makes free throw 2 of 2,,52,52
217,3,10:42.0,,G. Henderson misses 2-pt jump shot from 16 ft,52,52
218,3,10:41.0,Defensive rebound by C. Boozer,,52,52
219,3,10:23.0,Turnover by R. Kelly (bad pass; steal by A. Jefferson),,52,52
220,3,10:17.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by M. Williams),52,54
221,3,9:52.0,R. Kelly misses 2-pt jump shot from 18 ft,,52,54
222,3,9:51.0,,Defensive rebound by C. Zeller,52,54
223,3,9:39.0,,C. Zeller misses 2-pt jump shot from 18 ft,52,54
224,3,9:38.0,Defensive rebound by R. Kelly,,52,54
225,3,9:27.0,J. Clarkson misses 2-pt jump shot from 20 ft,,52,54
226,3,9:26.0,,Defensive rebound by C. Zeller,52,54
227,3,9:13.0,,M. Williams makes 3-pt jump shot from 27 ft (assist by G. Henderson),52,57
228,3,8:49.0,R. Sacre misses 2-pt jump shot from 13 ft,,52,57
229,3,8:48.0,,Defensive rebound by C. Zeller,52,57
230,3,8:42.0,,G. Henderson makes 2-pt layup from 1 ft (assist by M. Williams),52,59
231,3,8:28.0,Shooting foul by C. Zeller (drawn by C. Boozer),,52,59
232,3,8:28.0,C. Boozer makes free throw 1 of 2,,53,59
233,3,8:28.0,C. Boozer misses free throw 2 of 2,,53,59
234,3,8:27.0,,Defensive rebound by Team,53,59
235,3,8:16.0,,M. Williams misses 2-pt jump shot from 19 ft,53,59
236,3,8:15.0,Defensive rebound by C. Boozer,,53,59
237,3,8:08.0,W. Ellington misses 2-pt jump shot from 16 ft,,53,59
238,3,8:07.0,,Defensive rebound by C. Zeller,53,59
239,3,7:57.0,,G. Henderson makes 2-pt dunk at rim (assist by M. Williams),53,61
240,3,7:42.0,Turnover by W. Ellington (bad pass; steal by G. Henderson),,53,61
241,3,7:39.0,,C. Zeller makes 2-pt layup from 1 ft,53,63
242,3,7:39.0,,Shooting foul by J. Clarkson (drawn by C. Zeller),53,63
243,3,7:39.0,,C. Zeller makes free throw 1 of 1,53,64
244,3,7:39.0,LA Lakers full timeout,,53,64
245,3,7:27.0,Shooting foul by M. Kidd-Gilchrist (drawn by R. Kelly),,53,64
246,3,7:27.0,R. Kelly makes free throw 1 of 2,,54,64
247,3,7:27.0,R. Kelly makes free throw 2 of 2,,55,64
248,3,7:15.0,,Personal foul by R. Sacre (drawn by A. Jefferson),55,64
249,3,7:08.0,,G. Henderson makes 2-pt layup from 2 ft,55,66
250,3,6:44.0,W. Ellington misses 2-pt layup from 2 ft,,55,66
251,3,6:44.0,Offensive rebound by Team,,55,66
252,3,6:35.0,Personal foul by G. Henderson (drawn by W. Ellington),,55,66
253,3,6:21.0,J. Clarkson misses 2-pt jump shot from 20 ft,,55,66
254,3,6:20.0,,Defensive rebound by M. Kidd-Gilchrist,55,66
255,3,6:04.0,,C. Zeller misses 2-pt jump shot from 20 ft,55,66
256,3,6:03.0,Defensive rebound by R. Kelly,,55,66
257,3,5:58.0,C. Boozer makes 2-pt dunk at rim (assist by R. Kelly),,57,66
258,3,5:33.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 3 ft (block by R. Sacre),57,66
259,3,5:31.0,Defensive rebound by R. Kelly,,57,66
260,3,5:18.0,J. Clarkson makes 2-pt hook shot from 7 ft (assist by C. Boozer),,59,66
261,3,5:18.0,,Charlotte full timeout,59,66
262,3,5:18.0,J. Lin enters the game for W. Ellington,,59,66
263,3,5:18.0,,M. Williams enters the game for C. Zeller,59,66
264,3,5:01.0,,M. Williams misses 2-pt jump shot from 22 ft,59,66
265,3,5:00.0,Defensive rebound by R. Sacre,,59,66
266,3,4:37.0,R. Sacre misses 2-pt jump shot from 19 ft,,59,66
267,3,4:35.0,,Defensive rebound by M. Kidd-Gilchrist,59,66
268,3,4:21.0,,Personal foul by J. Lin (drawn by M. Williams),59,66
269,3,4:17.0,,Shooting foul by R. Sacre (drawn by G. Henderson),59,66
270,3,4:17.0,,G. Henderson makes free throw 1 of 2,59,67
271,3,4:17.0,E. Davis enters the game for R. Sacre,,59,67
272,3,4:17.0,,G. Henderson makes free throw 2 of 2,59,68
273,3,4:01.0,R. Kelly misses 3-pt jump shot from 26 ft,,59,68
274,3,3:59.0,Offensive rebound by C. Boozer,,59,68
275,3,3:59.0,Shooting foul by M. Williams (drawn by C. Boozer),,59,68
276,3,3:59.0,C. Boozer makes free throw 1 of 2,,60,68
277,3,3:59.0,,B. Roberts enters the game for G. Henderson,60,68
278,3,3:59.0,C. Boozer makes free throw 2 of 2,,61,68
279,3,3:51.0,,Personal foul by J. Clarkson (drawn by A. Jefferson),61,68
280,3,3:51.0,,A. Jefferson misses free throw 1 of 2,61,68
281,3,3:51.0,,Offensive rebound by Team,61,68
282,3,3:51.0,J. Hill enters the game for C. Boozer,,61,68
283,3,3:51.0,,A. Jefferson misses free throw 2 of 2,61,68
284,3,3:50.0,Defensive rebound by J. Hill,,61,68
285,3,3:28.0,J. Lin makes 2-pt jump shot from 16 ft,,63,68
286,3,3:05.0,,A. Jefferson makes 2-pt dunk at rim (assist by M. Williams),63,70
287,3,2:46.0,J. Hill misses 2-pt jump shot from 18 ft,,63,70
288,3,2:45.0,,Defensive rebound by A. Jefferson,63,70
289,3,2:38.0,,Turnover by B. Roberts (dbl dribble),63,70
290,3,2:23.0,Shooting foul by B. Roberts (drawn by R. Kelly),,63,70
291,3,2:23.0,R. Kelly makes free throw 1 of 2,,64,70
292,3,2:23.0,R. Kelly makes free throw 2 of 2,,65,70
293,3,2:05.0,,M. Williams misses 3-pt jump shot from 27 ft,65,70
294,3,2:05.0,Defensive rebound by Team,,65,70
295,3,1:53.0,J. Lin misses 2-pt jump shot from 8 ft,,65,70
296,3,1:52.0,,Defensive rebound by A. Jefferson,65,70
297,3,1:37.0,,A. Jefferson misses 2-pt jump shot from 8 ft,65,70
298,3,1:36.0,Defensive rebound by J. Hill,,65,70
299,3,1:28.0,J. Clarkson makes 2-pt jump shot from 13 ft,,67,70
300,3,1:10.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 15 ft (assist by M. Williams),67,72
301,3,0:50.0,R. Kelly misses 2-pt layup from 2 ft (block by M. Kidd-Gilchrist),,67,72
302,3,0:48.0,Offensive rebound by J. Lin,,67,72
303,3,0:42.0,R. Kelly misses 3-pt jump shot from 24 ft,,67,72
304,3,0:40.0,,Defensive rebound by A. Jefferson,67,72
305,3,0:31.0,,A. Jefferson makes 2-pt jump shot from 15 ft,67,74
306,3,0:11.0,J. Lin makes 3-pt jump shot from 26 ft (assist by J. Clarkson),,70,74
307,3,0:00.0,,Turnover by M. Williams (traveling),70,74
308,4,11:46.0,J. Hill makes 2-pt jump shot from 13 ft (assist by J. Lin),,72,74
309,4,11:29.0,,B. Roberts makes 2-pt jump shot from 15 ft,72,76
310,4,11:06.0,J. Hill makes 2-pt layup from 3 ft,,74,76
311,4,10:54.0,,Turnover by B. Roberts (bad pass; steal by W. Johnson),74,76
312,4,10:41.0,E. Davis misses 2-pt jump shot from 12 ft,,74,76
313,4,10:41.0,Offensive rebound by Team,,74,76
314,4,10:41.0,,Loose ball foul by B. Roberts (drawn by W. Johnson),74,76
315,4,10:36.0,J. Lin makes 2-pt layup from 1 ft (assist by W. Johnson),,76,76
316,4,10:18.0,,J. Taylor makes 2-pt dunk at rim (assist by M. Williams),76,78
317,4,10:18.0,,Shooting foul by J. Hill (drawn by J. Taylor),76,78
318,4,10:18.0,,J. Taylor makes free throw 1 of 1,76,79
319,4,10:08.0,Turnover by W. Ellington (bad pass; steal by M. Williams),,76,79
320,4,10:06.0,,Shooting foul by J. Hill (drawn by M. Williams),76,79
321,4,10:06.0,,M. Williams makes free throw 1 of 2,76,80
322,4,10:06.0,,G. Henderson enters the game for M. Kidd-Gilchrist,76,80
323,4,10:06.0,,M. Williams misses free throw 2 of 2,76,80
324,4,10:04.0,Defensive rebound by W. Ellington,,76,80
325,4,9:57.0,Personal foul by J. Taylor (drawn by J. Lin),,76,80
326,4,9:51.0,J. Hill makes 2-pt jump shot from 18 ft (assist by E. Davis),,78,80
327,4,9:31.0,,Turnover by B. Biyombo (offensive goaltending),78,80
328,4,9:19.0,J. Lin makes 2-pt layup from 2 ft,,80,80
329,4,8:52.0,,B. Roberts makes 2-pt layup from 2 ft (assist by M. Williams),80,82
330,4,8:38.0,Turnover by J. Lin (bad pass; steal by J. Taylor),,80,82
331,4,8:23.0,,B. Biyombo misses 2-pt hook shot from 8 ft,80,82
332,4,8:23.0,Defensive rebound by Team,,80,82
333,4,8:23.0,Official timeout,,80,82
334,4,8:23.0,,M. Williams enters the game for B. Biyombo,80,82
335,4,8:23.0,,A. Jefferson enters the game for B. Roberts,80,82
336,4,8:12.0,W. Ellington misses 2-pt layup from 3 ft,,80,82
337,4,8:11.0,,Defensive rebound by A. Jefferson,80,82
338,4,7:53.0,,M. Williams misses 3-pt jump shot from 26 ft,80,82
339,4,7:51.0,Defensive rebound by J. Lin,,80,82
340,4,7:32.0,Turnover by J. Lin (bad pass; steal by G. Henderson),,80,82
341,4,7:10.0,,A. Jefferson makes 2-pt jump shot from 15 ft (assist by M. Williams),80,84
342,4,6:47.0,W. Johnson makes 2-pt jump shot from 21 ft (assist by J. Hill),,82,84
343,4,6:25.0,,A. Jefferson misses 2-pt layup from 2 ft (block by J. Hill),82,84
344,4,6:24.0,Defensive rebound by J. Hill,,82,84
345,4,6:19.0,W. Johnson makes 2-pt dunk at rim (assist by J. Lin),,84,84
346,4,6:17.0,,Charlotte full timeout,84,84
347,4,6:17.0,,M. Kidd-Gilchrist enters the game for J. Taylor,84,84
348,4,6:04.0,,Shooting foul by J. Lin (drawn by M. Williams),84,84
349,4,6:04.0,,M. Williams makes free throw 1 of 2,84,85
350,4,6:04.0,,M. Williams makes free throw 2 of 2,84,86
351,4,5:54.0,J. Lin misses 3-pt jump shot from 26 ft,,84,86
352,4,5:53.0,,Defensive rebound by A. Jefferson,84,86
353,4,5:42.0,,M. Williams misses 3-pt jump shot from 25 ft,84,86
354,4,5:40.0,,Offensive rebound by M. Williams,84,86
355,4,5:36.0,,M. Williams misses 3-pt jump shot from 25 ft,84,86
356,4,5:35.0,Defensive rebound by J. Lin,,84,86
357,4,5:14.0,J. Hill misses 2-pt jump shot from 17 ft,,84,86
358,4,5:12.0,Offensive rebound by E. Davis,,84,86
359,4,4:59.0,J. Lin makes 2-pt layup from 1 ft,,86,86
360,4,4:44.0,,G. Henderson makes 3-pt jump shot from 23 ft (assist by M. Williams),86,89
361,4,4:23.0,J. Hill makes 2-pt jump shot from 17 ft (assist by W. Johnson),,88,89
362,4,4:06.0,,A. Jefferson makes 2-pt layup from 1 ft (assist by M. Williams),88,91
363,4,3:53.0,Personal foul by M. Kidd-Gilchrist (drawn by J. Lin),,88,91
364,4,3:53.0,J. Clarkson enters the game for W. Johnson,,88,91
365,4,3:45.0,Shooting block foul by M. Williams (drawn by E. Davis),,88,91
366,4,3:45.0,E. Davis makes free throw 1 of 2,,89,91
367,4,3:45.0,E. Davis makes free throw 2 of 2,,90,91
368,4,3:29.0,,M. Kidd-Gilchrist makes 2-pt dunk at rim (assist by M. Williams),90,93
369,4,3:10.0,J. Lin misses 2-pt jump shot from 17 ft,,90,93
370,4,3:09.0,,Defensive rebound by A. Jefferson,90,93
371,4,2:54.0,,G. Henderson makes 2-pt jump shot from 18 ft (assist by M. Williams),90,95
372,4,2:54.0,LA Lakers full timeout,,90,95
373,4,2:54.0,W. Johnson enters the game for E. Davis,,90,95
