,QUARTER,TIME_REMAINING,DALLAS_ACTION,CHICAGO_ACTION,DALLAS_SCORE,CHICAGO_SCORE
38,1,7:38.0,,J. Noah makes 2-pt jump shot from 20 ft (assist by J. Butler),7,9
39,1,7:26.0,C. Parsons makes 3-pt jump shot from 24 ft (assist by J. Nelson),,10,9
40,1,7:10.0,,J. Butler misses 3-pt jump shot from 25 ft,10,9
41,1,7:09.0,Defensive rebound by C. Parsons,,10,9
42,1,7:02.0,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by C. Parsons),,13,9
43,1,6:46.0,,Shooting foul by T. Chandler (drawn by D. Rose),13,9
44,1,6:46.0,,D. Rose makes free throw 1 of 2,13,10
45,1,6:46.0,,D. Rose misses free throw 2 of 2,13,10
46,1,6:44.0,Defensive rebound by C. Parsons,,13,10
47,1,6:34.0,D. Nowitzki misses 2-pt jump shot from 17 ft (block by J. Noah),,13,10
48,1,6:32.0,,Defensive rebound by P. Gasol,13,10
49,1,6:28.0,,J. Butler makes 2-pt jump shot from 3 ft (assist by M. Dunleavy),13,12
50,1,6:13.0,D. Nowitzki misses 2-pt jump shot from 20 ft,,13,12
51,1,6:11.0,Offensive rebound by T. Chandler,,13,12
52,1,6:00.0,M. Ellis makes 2-pt jump shot from 17 ft (assist by C. Parsons),,15,12
53,1,5:48.0,,M. Dunleavy misses 2-pt layup from 3 ft,15,12
54,1,5:47.0,Defensive rebound by T. Chandler,,15,12
55,1,5:39.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,15,12
56,1,5:37.0,,Defensive rebound by M. Dunleavy,15,12
57,1,5:35.0,Violation by T. Chandler (kicked ball),,15,12
58,1,5:35.0,,Chicago full timeout,15,12
59,1,5:35.0,B. Wright enters the game for D. Nowitzki,,15,12
60,1,5:25.0,,M. Dunleavy misses 2-pt layup from 3 ft (block by B. Wright),15,12
61,1,5:22.0,,Offensive rebound by P. Gasol,15,12
62,1,5:20.0,,Turnover by P. Gasol (lost ball; steal by J. Nelson),15,12
63,1,5:14.0,Turnover by C. Parsons (bad pass; steal by M. Dunleavy),,15,12
64,1,5:11.0,,D. Rose makes 2-pt layup from 3 ft (assist by M. Dunleavy),15,14
65,1,4:56.0,Turnover by T. Chandler (bad pass),,15,14
66,1,4:56.0,,N. Mirotić enters the game for J. Noah,15,14
67,1,4:56.0,,K. Hinrich enters the game for D. Rose,15,14
68,1,4:37.0,,P. Gasol misses 2-pt hook shot from 5 ft,15,14
69,1,4:36.0,Defensive rebound by T. Chandler,,15,14
70,1,4:25.0,Personal foul by M. Dunleavy (drawn by C. Parsons),,15,14
71,1,4:18.0,J. Nelson misses 3-pt jump shot from 24 ft,,15,14
72,1,4:17.0,,Defensive rebound by N. Mirotić,15,14
73,1,4:03.0,,Turnover by P. Gasol (lost ball),15,14
74,1,4:03.0,D. Harris enters the game for J. Nelson,,15,14
75,1,4:03.0,A. Aminu enters the game for T. Chandler,,15,14
76,1,3:47.0,A. Aminu misses 2-pt jump shot from 21 ft,,15,14
77,1,3:46.0,,Defensive rebound by N. Mirotić,15,14
78,1,3:32.0,,Shooting foul by D. Harris (drawn by N. Mirotić),15,14
79,1,3:32.0,,N. Mirotić makes free throw 1 of 2,15,15
80,1,3:32.0,,N. Mirotić makes free throw 2 of 2,15,16
81,1,3:21.0,M. Ellis makes 2-pt jump shot from 14 ft,,17,16
82,1,3:07.0,,Shooting foul by A. Aminu (drawn by N. Mirotić),17,16
83,1,3:07.0,,N. Mirotić misses free throw 1 of 2,17,16
84,1,3:07.0,,Offensive rebound by Team,17,16
85,1,3:07.0,Dallas full timeout,,17,16
86,1,3:07.0,,N. Mirotić makes free throw 2 of 2,17,17
87,1,2:54.0,Shooting foul by M. Dunleavy (drawn by C. Parsons),,17,17
88,1,2:54.0,C. Parsons makes free throw 1 of 2,,18,17
89,1,2:54.0,C. Parsons misses free throw 2 of 2,,18,17
90,1,2:52.0,,Defensive rebound by J. Butler,18,17
91,1,2:37.0,,M. Dunleavy makes 3-pt jump shot from 25 ft (assist by J. Butler),18,20
92,1,2:18.0,C. Parsons misses 2-pt jump shot from 6 ft (block by N. Mirotić),,18,20
93,1,2:18.0,,Defensive rebound by Team,18,20
94,1,2:13.0,,Personal foul by M. Ellis (drawn by J. Butler),18,20
95,1,2:13.0,,J. Butler misses free throw 1 of 2,18,20
96,1,2:13.0,,Offensive rebound by Team,18,20
97,1,2:13.0,J. Barea enters the game for M. Ellis,,18,20
98,1,2:13.0,D. Nowitzki enters the game for C. Parsons,,18,20
99,1,2:13.0,,J. Noah enters the game for P. Gasol,18,20
100,1,2:13.0,,J. Butler misses free throw 2 of 2,18,20
101,1,2:12.0,Defensive rebound by B. Wright,,18,20
102,1,1:51.0,J. Barea misses 2-pt layup from 3 ft,,18,20
103,1,1:51.0,Offensive rebound by B. Wright,,18,20
104,1,1:51.0,B. Wright misses 2-pt layup from 1 ft,,18,20
105,1,1:51.0,Offensive rebound by Team,,18,20
106,1,1:51.0,,Loose ball foul by J. Noah (drawn by B. Wright),18,20
107,1,1:51.0,,A. Brooks enters the game for J. Butler,18,20
108,1,1:43.0,Personal foul by N. Mirotić (drawn by D. Nowitzki),,18,20
109,1,1:43.0,D. Nowitzki makes free throw 1 of 2,,19,20
110,1,1:43.0,D. Nowitzki makes free throw 2 of 2,,20,20
111,1,1:34.0,,Shooting foul by D. Nowitzki (drawn by A. Brooks),20,20
112,1,1:34.0,,A. Brooks makes free throw 1 of 2,20,21
113,1,1:34.0,R. Jefferson enters the game for D. Nowitzki,,20,21
114,1,1:34.0,,A. Brooks makes free throw 2 of 2,20,22
115,1,1:25.0,D. Harris misses 2-pt jump shot from 22 ft,,20,22
116,1,1:24.0,,Defensive rebound by N. Mirotić,20,22
117,1,1:12.0,,N. Mirotić makes 2-pt layup from 2 ft (assist by A. Brooks),20,24
118,1,1:01.0,Personal foul by J. Noah (drawn by J. Barea),,20,24
119,1,1:01.0,J. Barea makes free throw 1 of 2,,21,24
120,1,1:01.0,,P. Gasol enters the game for J. Noah,21,24
121,1,1:01.0,T. Chandler enters the game for A. Aminu,,21,24
122,1,1:01.0,J. Barea makes free throw 2 of 2,,22,24
123,1,0:40.0,,P. Gasol misses 2-pt jump shot from 4 ft,22,24
124,1,0:38.0,Defensive rebound by B. Wright,,22,24
125,1,0:33.0,D. Harris makes 3-pt jump shot from 25 ft,,25,24
126,1,0:17.0,,Personal foul by R. Jefferson (drawn by N. Mirotić),25,24
127,1,0:17.0,,N. Mirotić makes free throw 1 of 2,25,25
128,1,0:17.0,C. Parsons enters the game for T. Chandler,,25,25
129,1,0:17.0,,N. Mirotić makes free throw 2 of 2,25,26
130,1,0:00.0,D. Harris misses 2-pt jump shot from 19 ft,,25,26
131,1,0:00.0,Offensive rebound by Team,,25,26
132,2,11:40.0,,Turnover by A. Brooks (bad pass; steal by B. Wright),25,26
133,2,11:40.0,Personal foul by J. Noah (drawn by J. Barea),,25,26
134,2,11:40.0,,P. Gasol enters the game for J. Noah,25,26
135,2,11:30.0,Turnover by J. Barea (bad pass),,25,26
136,2,11:12.0,,P. Gasol makes 2-pt hook shot from 7 ft (assist by A. Brooks),25,28
137,2,11:00.0,D. Harris makes 3-pt jump shot from 25 ft (assist by R. Jefferson),,28,28
138,2,10:39.0,,P. Gasol makes 2-pt jump shot from 11 ft (assist by N. Mirotić),28,30
139,2,10:32.0,Shooting foul by T. Snell (drawn by B. Wright),,28,30
140,2,10:32.0,B. Wright makes free throw 1 of 2,,29,30
141,2,10:32.0,B. Wright makes free throw 2 of 2,,30,30
142,2,10:18.0,,Turnover by N. Mirotić (offensive foul),30,30
143,2,10:18.0,Offensive charge foul by N. Mirotić (drawn by D. Harris),,30,30
144,2,10:09.0,J. Barea makes 2-pt layup from 1 ft,,32,30
145,2,10:00.0,,A. Brooks misses 2-pt layup from 2 ft,32,30
146,2,9:59.0,Defensive rebound by D. Nowitzki,,32,30
147,2,9:37.0,J. Barea makes 2-pt jump shot from 12 ft (assist by D. Nowitzki),,34,30
148,2,9:28.0,,Chicago full timeout,34,30
149,2,9:28.0,,J. Butler enters the game for T. Snell,34,30
150,2,9:24.0,,Turnover by A. Brooks (bad pass),34,30
151,2,9:08.0,D. Nowitzki makes 2-pt jump shot from 20 ft (assist by D. Harris),,36,30
152,2,9:00.0,,Personal foul by B. Wright (drawn by P. Gasol),36,30
153,2,8:50.0,,P. Gasol misses 2-pt jump shot from 13 ft,36,30
154,2,8:49.0,Defensive rebound by R. Jefferson,,36,30
155,2,8:41.0,D. Harris makes 3-pt jump shot from 23 ft (assist by D. Nowitzki),,39,30
156,2,8:21.0,,N. Mirotić misses 3-pt jump shot from 25 ft,39,30
157,2,8:19.0,Defensive rebound by D. Harris,,39,30
158,2,8:08.0,D. Harris makes 3-pt jump shot from 24 ft (assist by R. Jefferson),,42,30
159,2,7:46.0,,J. Butler makes 2-pt layup from 2 ft (assist by K. Hinrich),42,32
160,2,7:36.0,J. Barea makes 2-pt layup from 2 ft,,44,32
161,2,7:11.0,,N. Mirotić misses 2-pt layup from 2 ft,44,32
162,2,7:10.0,,Offensive rebound by Team,44,32
163,2,7:10.0,,D. Rose enters the game for A. Brooks,44,32
164,2,7:10.0,C. Parsons enters the game for D. Nowitzki,,44,32
165,2,7:10.0,M. Ellis enters the game for B. Wright,,44,32
166,2,7:10.0,T. Chandler enters the game for J. Barea,,44,32
167,2,7:06.0,,J. Butler misses 2-pt jump shot from 17 ft,44,32
168,2,7:04.0,Defensive rebound by D. Harris,,44,32
169,2,6:58.0,T. Chandler misses 2-pt layup from 2 ft,,44,32
170,2,6:57.0,,Defensive rebound by D. Rose,44,32
171,2,6:55.0,,Shooting foul by M. Ellis (drawn by K. Hinrich),44,32
172,2,6:55.0,,K. Hinrich makes free throw 1 of 2,44,33
173,2,6:55.0,,K. Hinrich makes free throw 2 of 2,44,34
174,2,6:41.0,M. Ellis misses 2-pt jump shot from 19 ft,,44,34
175,2,6:40.0,,Defensive rebound by P. Gasol,44,34
176,2,6:33.0,,D. Rose misses 2-pt layup from 1 ft,44,34
177,2,6:32.0,,Offensive rebound by P. Gasol,44,34
178,2,6:32.0,,P. Gasol misses 2-pt dunk at rim,44,34
179,2,6:27.0,,Offensive rebound by N. Mirotić,44,34
180,2,6:27.0,,D. Rose makes 2-pt layup from 1 ft (assist by N. Mirotić),44,36
181,2,6:27.0,Dallas full timeout,,44,36
182,2,6:11.0,C. Parsons misses 2-pt layup from 2 ft,,44,36
183,2,6:10.0,,Defensive rebound by P. Gasol,44,36
184,2,6:00.0,,J. Butler misses 3-pt jump shot from 25 ft,44,36
185,2,5:59.0,Defensive rebound by T. Chandler,,44,36
186,2,5:50.0,Shooting foul by P. Gasol (drawn by T. Chandler),,44,36
187,2,5:50.0,T. Chandler misses free throw 1 of 2,,44,36
188,2,5:50.0,Offensive rebound by Team,,44,36
189,2,5:50.0,,M. Dunleavy enters the game for K. Hinrich,44,36
190,2,5:50.0,J. Nelson enters the game for D. Harris,,44,36
191,2,5:50.0,T. Chandler makes free throw 2 of 2,,45,36
192,2,5:37.0,,J. Butler misses 2-pt layup from 1 ft (block by T. Chandler),45,36
193,2,5:35.0,,Offensive rebound by J. Butler,45,36
194,2,5:24.0,,P. Gasol misses 2-pt hook shot from 7 ft,45,36
195,2,5:23.0,,Offensive rebound by Team,45,36
196,2,5:20.0,,M. Dunleavy misses 3-pt jump shot from 25 ft,45,36
197,2,5:19.0,Defensive rebound by T. Chandler,,45,36
198,2,5:09.0,M. Ellis makes 2-pt layup from 2 ft (assist by T. Chandler),,47,36
199,2,4:53.0,,Shooting foul by R. Jefferson (drawn by N. Mirotić),47,36
200,2,4:53.0,,N. Mirotić makes free throw 1 of 2,47,37
201,2,4:53.0,,N. Mirotić makes free throw 2 of 2,47,38
202,2,4:44.0,Personal foul by D. Rose (drawn by J. Nelson),,47,38
203,2,4:29.0,C. Parsons misses 2-pt layup from 2 ft (block by M. Dunleavy),,47,38
204,2,4:27.0,Offensive rebound by C. Parsons,,47,38
205,2,4:27.0,C. Parsons makes 2-pt layup from 1 ft,,49,38
206,2,4:11.0,,D. Rose misses 3-pt jump shot from 24 ft,49,38
207,2,4:09.0,Defensive rebound by T. Chandler,,49,38
208,2,4:03.0,M. Ellis makes 2-pt layup from 1 ft (assist by T. Chandler),,51,38
209,2,3:58.0,,Chicago full timeout,51,38
210,2,3:58.0,,K. Hinrich enters the game for N. Mirotić,51,38
211,2,3:45.0,,J. Butler makes 2-pt jump shot from 19 ft (assist by P. Gasol),51,40
212,2,3:33.0,M. Ellis misses 2-pt jump shot from 6 ft,,51,40
213,2,3:32.0,Offensive rebound by T. Chandler,,51,40
214,2,3:32.0,Turnover by T. Chandler (offensive goaltending),,51,40
215,2,3:17.0,,D. Rose misses 2-pt jump shot from 5 ft (block by J. Nelson),51,40
216,2,3:15.0,Defensive rebound by J. Nelson,,51,40
217,2,3:03.0,R. Jefferson misses 3-pt jump shot from 24 ft,,51,40
218,2,3:02.0,Offensive rebound by T. Chandler,,51,40
219,2,3:02.0,Shooting foul by M. Dunleavy (drawn by T. Chandler),,51,40
220,2,3:02.0,T. Chandler misses free throw 1 of 2,,51,40
221,2,3:02.0,Offensive rebound by Team,,51,40
222,2,3:02.0,D. Nowitzki enters the game for R. Jefferson,,51,40
223,2,3:02.0,,T. Snell enters the game for M. Dunleavy,51,40
224,2,3:02.0,T. Chandler makes free throw 2 of 2,,52,40
225,2,2:51.0,,P. Gasol makes 2-pt layup from 2 ft (assist by D. Rose),52,42
226,2,2:36.0,Shooting foul by T. Snell (drawn by C. Parsons),,52,42
227,2,2:36.0,C. Parsons makes free throw 1 of 2,,53,42
228,2,2:36.0,C. Parsons makes free throw 2 of 2,,54,42
229,2,2:24.0,,Turnover by D. Rose (bad pass; steal by M. Ellis),54,42
230,2,2:14.0,J. Nelson misses 3-pt jump shot from 25 ft,,54,42
231,2,2:14.0,Offensive rebound by T. Chandler,,54,42
232,2,2:14.0,Personal foul by T. Snell (drawn by T. Chandler),,54,42
233,2,2:14.0,T. Chandler misses free throw 1 of 2,,54,42
234,2,2:14.0,Offensive rebound by Team,,54,42
235,2,2:14.0,T. Chandler makes free throw 2 of 2,,55,42
236,2,1:56.0,,J. Butler makes 2-pt jump shot from 11 ft (assist by D. Rose),55,44
237,2,1:56.0,,Shooting foul by J. Nelson (drawn by J. Butler),55,44
238,2,1:56.0,,J. Butler misses free throw 1 of 1,55,44
239,2,1:55.0,Defensive rebound by T. Chandler,,55,44
240,2,1:37.0,D. Nowitzki misses 2-pt jump shot from 12 ft,,55,44
241,2,1:36.0,,Defensive rebound by P. Gasol,55,44
242,2,1:29.0,,Turnover by D. Rose (step out of bounds),55,44
243,2,1:14.0,D. Nowitzki misses 2-pt jump shot from 15 ft,,55,44
244,2,1:14.0,,Defensive rebound by Team,55,44
245,2,1:14.0,Loose ball foul by T. Chandler (drawn by P. Gasol),,55,44
246,2,1:14.0,,P. Gasol makes free throw 1 of 2,55,45
247,2,1:14.0,,P. Gasol makes free throw 2 of 2,55,46
248,2,1:00.0,M. Ellis makes 2-pt jump shot from 16 ft,,57,46
249,2,0:43.0,,J. Butler misses 2-pt jump shot from 6 ft,57,46
250,2,0:41.0,Defensive rebound by D. Nowitzki,,57,46
251,2,0:36.0,Shooting block foul by J. Butler (drawn by C. Parsons),,57,46
252,2,0:36.0,C. Parsons makes free throw 1 of 2,,58,46
253,2,0:36.0,R. Jefferson enters the game for D. Nowitzki,,58,46
254,2,0:36.0,B. Wright enters the game for T. Chandler,,58,46
255,2,0:36.0,C. Parsons makes free throw 2 of 2,,59,46
256,2,0:28.0,,P. Gasol misses 2-pt layup from 3 ft (block by B. Wright),59,46
257,2,0:28.0,,Offensive rebound by D. Rose,59,46
258,2,0:28.0,,Personal foul by R. Jefferson (drawn by D. Rose),59,46
259,2,0:28.0,,D. Rose misses free throw 1 of 2,59,46
260,2,0:28.0,,Offensive rebound by Team,59,46
261,2,0:28.0,T. Chandler enters the game for B. Wright,,59,46
262,2,0:28.0,D. Harris enters the game for R. Jefferson,,59,46
263,2,0:28.0,,D. Rose makes free throw 2 of 2,59,47
264,2,0:04.0,C. Parsons misses 3-pt jump shot from 25 ft,,59,47
265,2,0:03.0,,Defensive rebound by D. Rose,59,47
266,2,0:00.0,,D. Rose misses 3-pt jump shot from 27 ft,59,47
267,2,0:00.0,,Offensive rebound by Team,59,47
268,3,11:36.0,,M. Dunleavy makes 2-pt jump shot from 20 ft (assist by J. Butler),59,49
269,3,11:18.0,Turnover by J. Nelson (step out of bounds),,59,49
270,3,10:56.0,,P. Gasol makes 2-pt jump shot from 9 ft (assist by D. Rose),59,51
271,3,10:45.0,J. Nelson misses 2-pt jump shot from 9 ft,,59,51
272,3,10:44.0,,Defensive rebound by P. Gasol,59,51
273,3,10:40.0,,J. Butler misses 2-pt layup from 2 ft,59,51
274,3,10:38.0,Defensive rebound by J. Nelson,,59,51
275,3,10:30.0,Turnover by M. Ellis (lost ball; steal by J. Noah),,59,51
276,3,10:26.0,,J. Butler makes 2-pt layup from 2 ft (assist by J. Noah),59,53
277,3,10:25.0,Dallas full timeout,,59,53
278,3,10:03.0,M. Ellis misses 3-pt jump shot from 27 ft,,59,53
279,3,10:02.0,,Defensive rebound by J. Butler,59,53
280,3,9:55.0,,D. Rose makes 3-pt jump shot from 24 ft (assist by J. Butler),59,56
281,3,9:33.0,M. Ellis makes 2-pt layup from 3 ft (assist by D. Nowitzki),,61,56
282,3,9:13.0,,Turnover by J. Noah (bad pass),61,56
283,3,9:00.0,M. Ellis misses 2-pt jump shot from 6 ft,,61,56
284,3,8:58.0,,Defensive rebound by M. Dunleavy,61,56
285,3,8:50.0,,M. Dunleavy misses 3-pt jump shot from 25 ft,61,56
286,3,8:49.0,,Offensive rebound by J. Noah,61,56
287,3,8:46.0,,M. Dunleavy misses 3-pt jump shot from 25 ft,61,56
288,3,8:45.0,Defensive rebound by T. Chandler,,61,56
289,3,8:27.0,D. Nowitzki misses 2-pt jump shot from 17 ft,,61,56
290,3,8:25.0,,Defensive rebound by P. Gasol,61,56
291,3,8:19.0,,D. Rose makes 3-pt jump shot from 24 ft,61,59
292,3,8:01.0,Turnover by J. Nelson (bad pass; steal by J. Noah),,61,59
293,3,7:57.0,,M. Dunleavy makes 2-pt layup from 1 ft (assist by J. Noah),61,61
294,3,7:56.0,Dallas full timeout,,61,61
295,3,7:44.0,Shooting foul by M. Dunleavy (drawn by M. Ellis),,61,61
296,3,7:44.0,M. Ellis makes free throw 1 of 2,,62,61
297,3,7:44.0,M. Ellis makes free throw 2 of 2,,63,61
298,3,7:26.0,,J. Butler makes 2-pt layup from 3 ft,63,63
299,3,7:19.0,M. Ellis makes 2-pt layup at rim,,65,63
300,3,7:05.0,,M. Dunleavy makes 2-pt jump shot from 8 ft (assist by D. Rose),65,65
301,3,6:41.0,C. Parsons makes 3-pt jump shot from 24 ft (assist by J. Nelson),,68,65
302,3,6:30.0,,Turnover by D. Rose (bad pass; steal by C. Parsons),68,65
303,3,6:27.0,C. Parsons makes 2-pt dunk at rim,,70,65
304,3,6:01.0,,D. Rose misses 3-pt jump shot from 25 ft,70,65
305,3,6:00.0,,Offensive rebound by J. Noah,70,65
306,3,5:58.0,,P. Gasol misses 2-pt jump shot from 12 ft,70,65
307,3,5:57.0,Defensive rebound by Team,,70,65
308,3,5:46.0,M. Ellis makes 2-pt jump shot from 19 ft (assist by J. Nelson),,72,65
309,3,5:27.0,,Turnover by J. Noah (bad pass),72,65
310,3,5:17.0,T. Chandler makes 2-pt dunk at rim (assist by D. Nowitzki),,74,65
311,3,5:17.0,,Chicago full timeout,74,65
312,3,5:17.0,B. Wright enters the game for D. Nowitzki,,74,65
313,3,5:00.0,,Personal foul by M. Ellis (drawn by P. Gasol),74,65
314,3,5:00.0,,N. Mirotić enters the game for J. Noah,74,65
315,3,5:00.0,,K. Hinrich enters the game for D. Rose,74,65
316,3,4:47.0,,J. Butler misses 3-pt jump shot from 26 ft,74,65
317,3,4:45.0,Defensive rebound by T. Chandler,,74,65
318,3,4:32.0,M. Ellis makes 2-pt jump shot from 19 ft (assist by T. Chandler),,76,65
319,3,4:18.0,,Personal foul by T. Chandler (drawn by P. Gasol),76,65
320,3,4:07.0,,P. Gasol makes 2-pt jump shot from 4 ft,76,67
321,3,4:07.0,,Shooting foul by T. Chandler (drawn by P. Gasol),76,67
322,3,4:07.0,A. Aminu enters the game for T. Chandler,,76,67
323,3,4:07.0,,P. Gasol makes free throw 1 of 1,76,68
324,3,3:48.0,Turnover by A. Aminu (bad pass; steal by P. Gasol),,76,68
325,3,3:38.0,,K. Hinrich misses 2-pt jump shot from 3 ft (block by B. Wright),76,68
326,3,3:36.0,Defensive rebound by C. Parsons,,76,68
327,3,3:22.0,M. Ellis misses 3-pt jump shot from 24 ft,,76,68
328,3,3:21.0,,Defensive rebound by P. Gasol,76,68
329,3,3:13.0,,Turnover by K. Hinrich (bad pass; steal by M. Ellis),76,68
330,3,3:07.0,M. Ellis makes 2-pt layup from 1 ft,,78,68
331,3,2:47.0,,J. Butler misses 2-pt jump shot from 13 ft,78,68
332,3,2:45.0,Defensive rebound by C. Parsons,,78,68
333,3,2:39.0,C. Parsons misses 2-pt jump shot from 3 ft,,78,68
334,3,2:38.0,,Defensive rebound by J. Butler,78,68
335,3,2:34.0,D. Harris enters the game for J. Nelson,,78,68
336,3,2:31.0,,M. Dunleavy makes 2-pt jump shot from 17 ft (assist by J. Butler),78,70
337,3,2:13.0,Turnover by M. Ellis (bad pass; steal by K. Hinrich),,78,70
338,3,2:07.0,,M. Dunleavy makes 2-pt jump shot from 21 ft (assist by K. Hinrich),78,72
339,3,1:44.0,M. Ellis misses 2-pt jump shot from 19 ft,,78,72
340,3,1:43.0,,Defensive rebound by P. Gasol,78,72
341,3,1:30.0,,J. Butler misses 2-pt jump shot from 10 ft,78,72
342,3,1:29.0,Defensive rebound by A. Aminu,,78,72
343,3,1:11.0,B. Wright makes 2-pt jump shot from 8 ft (assist by D. Harris),,80,72
344,3,0:51.0,,K. Hinrich misses 2-pt jump shot from 19 ft,80,72
345,3,0:49.0,Defensive rebound by D. Harris,,80,72
346,3,0:41.0,M. Ellis misses 3-pt jump shot from 25 ft,,80,72
347,3,0:40.0,,Defensive rebound by K. Hinrich,80,72
348,3,0:37.0,,Shooting foul by B. Wright (drawn by M. Dunleavy),80,72
349,3,0:37.0,,M. Dunleavy makes free throw 1 of 2,80,73
350,3,0:37.0,D. Nowitzki enters the game for C. Parsons,,80,73
351,3,0:37.0,R. Jefferson enters the game for A. Aminu,,80,73
352,3,0:37.0,,A. Brooks enters the game for P. Gasol,80,73
353,3,0:37.0,,J. Noah enters the game for J. Butler,80,73
354,3,0:37.0,,M. Dunleavy makes free throw 2 of 2,80,74
355,3,0:15.0,M. Ellis misses 2-pt jump shot from 21 ft,,80,74
356,3,0:14.0,,Defensive rebound by A. Brooks,80,74
357,3,0:01.0,,N. Mirotić misses 3-pt jump shot from 23 ft,80,74
358,3,0:00.0,,Offensive rebound by J. Noah,80,74
359,4,11:39.0,D. Harris makes 3-pt jump shot from 25 ft (assist by B. Wright),,83,74
360,4,11:22.0,,N. Mirotić makes 2-pt layup from 1 ft,83,76
361,4,11:01.0,R. Jefferson makes 3-pt jump shot from 25 ft (assist by D. Nowitzki),,86,76
362,4,10:38.0,,N. Mirotić misses 2-pt layup from 1 ft,86,76
363,4,10:37.0,,Offensive rebound by J. Noah,86,76
364,4,10:37.0,,J. Noah makes 2-pt layup at rim,86,78
365,4,10:23.0,J. Barea misses 2-pt layup from 1 ft,,86,78
366,4,10:22.0,,Defensive rebound by A. Brooks,86,78
367,4,10:17.0,,N. Mirotić makes 2-pt layup from 2 ft (assist by A. Brooks),86,80
368,4,9:52.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,86,80
369,4,9:51.0,,Defensive rebound by J. Noah,86,80
370,4,9:37.0,,K. Hinrich makes 3-pt jump shot from 23 ft (assist by M. Dunleavy),86,83
371,4,9:36.0,Dallas full timeout,,86,83
372,4,9:24.0,D. Nowitzki misses 2-pt jump shot from 16 ft,,86,83
373,4,9:22.0,Offensive rebound by J. Barea,,86,83
374,4,9:13.0,J. Barea misses 3-pt jump shot from 25 ft,,86,83
375,4,9:11.0,Offensive rebound by R. Jefferson,,86,83
376,4,9:02.0,,Violation by J. Noah (kicked ball),86,83
377,4,8:52.0,J. Barea makes 2-pt layup from 2 ft,,88,83
378,4,8:35.0,,M. Dunleavy misses 3-pt jump shot from 25 ft,88,83
379,4,8:34.0,Defensive rebound by B. Wright,,88,83
380,4,8:20.0,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by D. Harris),,90,83
381,4,8:02.0,,A. Brooks makes 2-pt jump shot from 18 ft (assist by J. Noah),90,85
382,4,7:44.0,,Offensive charge foul by R. Jefferson (drawn by N. Mirotić),90,85
