,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MINNESOTA_ACTION,PHILADELPHIA_SCORE,MINNESOTA_SCORE
202,2,2:53.0,Offensive rebound by Team,,31,26
203,2,2:53.0,H. Thompson makes free throw 2 of 2,,32,26
204,2,2:41.0,,A. Wiggins makes 2-pt jump shot from 21 ft (assist by M. Williams),32,28
205,2,2:20.0,B. Davies misses 2-pt jump shot from 19 ft,,32,28
206,2,2:19.0,,Defensive rebound by M. Williams,32,28
207,2,2:13.0,,C. Brewer makes 2-pt jump shot from 6 ft (assist by M. Williams),32,30
208,2,1:56.0,Turnover by B. Davies (bad pass; steal by A. Wiggins),,32,30
209,2,1:42.0,,T. Young makes 2-pt hook shot from 6 ft,32,32
210,2,1:26.0,K. McDaniels misses 3-pt jump shot from 24 ft,,32,32
211,2,1:25.0,,Defensive rebound by A. Wiggins,32,32
212,2,1:12.0,,Turnover by T. Young (traveling),32,32
213,2,1:12.0,M. Carter-Williams enters the game for R. Covington,,32,32
214,2,1:03.0,Turnover by M. Carter-Williams (lost ball),,32,32
215,2,0:56.0,,Personal foul by K. McDaniels (drawn by A. Wiggins),32,32
216,2,0:56.0,N. Noel enters the game for B. Davies,,32,32
217,2,0:46.0,,C. Brewer misses 2-pt jump shot from 18 ft,32,32
218,2,0:44.0,Defensive rebound by N. Noel,,32,32
219,2,0:26.0,Turnover by K. McDaniels (bad pass; steal by A. Wiggins),,32,32
220,2,0:22.0,,A. Wiggins makes 2-pt dunk at rim,32,34
221,2,0:04.0,M. Carter-Williams misses 2-pt jump shot from 20 ft,,32,34
222,2,0:03.0,,Defensive rebound by T. Young,32,34
223,2,0:00.0,,C. Brewer misses 3-pt jump shot from 41 ft,32,34
224,2,0:00.0,,Offensive rebound by Team,32,34
225,3,11:45.0,M. Carter-Williams makes 2-pt jump shot from 11 ft,,34,34
226,3,11:27.0,,T. Young misses 2-pt layup from 1 ft,34,34
227,3,11:26.0,Defensive rebound by L. Mbah a Moute,,34,34
228,3,11:17.0,L. Mbah a Moute misses 3-pt jump shot from 25 ft,,34,34
229,3,11:16.0,,Defensive rebound by M. Williams,34,34
230,3,11:06.0,,Shooting foul by H. Thompson (drawn by G. Dieng),34,34
231,3,11:06.0,,G. Dieng misses free throw 1 of 2,34,34
232,3,11:06.0,,Offensive rebound by Team,34,34
233,3,11:06.0,,G. Dieng misses free throw 2 of 2,34,34
234,3,11:06.0,Defensive rebound by N. Noel,,34,34
235,3,10:54.0,H. Thompson misses 3-pt jump shot from 24 ft,,34,34
236,3,10:53.0,,Defensive rebound by A. Wiggins,34,34
237,3,10:37.0,,M. Williams makes 2-pt jump shot from 9 ft,34,36
238,3,10:17.0,L. Mbah a Moute makes 2-pt layup from 1 ft,,36,36
239,3,9:53.0,,G. Dieng misses 2-pt layup from 2 ft (block by N. Noel),36,36
240,3,9:52.0,,Offensive rebound by Team,36,36
241,3,9:49.0,,G. Dieng makes 2-pt layup at rim (assist by C. Brewer),36,38
242,3,9:29.0,M. Carter-Williams misses 3-pt jump shot from 23 ft,,36,38
243,3,9:28.0,,Defensive rebound by G. Dieng,36,38
244,3,9:03.0,,M. Williams misses 3-pt jump shot from 26 ft,36,38
245,3,9:02.0,Defensive rebound by H. Sims,,36,38
246,3,8:50.0,L. Mbah a Moute misses 2-pt jump shot from 20 ft,,36,38
247,3,8:48.0,Offensive rebound by H. Sims,,36,38
248,3,8:46.0,,Offensive charge foul by N. Noel (drawn by M. Williams),36,38
249,3,8:46.0,Turnover by N. Noel (offensive foul),,36,38
250,3,8:46.0,,R. Hummel enters the game for T. Young,36,38
251,3,8:46.0,K. McDaniels enters the game for H. Thompson,,36,38
252,3,8:30.0,,A. Wiggins misses 2-pt jump shot from 15 ft,36,38
253,3,8:27.0,,Offensive rebound by R. Hummel,36,38
254,3,8:16.0,,G. Dieng makes 2-pt hook shot from 3 ft (assist by R. Hummel),36,40
255,3,8:16.0,Violation by K. McDaniels (def goaltending),,36,40
256,3,7:54.0,M. Carter-Williams misses 3-pt jump shot from 24 ft,,36,40
257,3,7:53.0,,Defensive rebound by G. Dieng,36,40
258,3,7:47.0,R. Covington enters the game for N. Noel,,36,40
259,3,7:44.0,,A. Wiggins misses 2-pt jump shot from 21 ft,36,40
260,3,7:43.0,Defensive rebound by H. Sims,,36,40
261,3,7:36.0,K. McDaniels makes 2-pt layup from 1 ft,,38,40
262,3,7:23.0,,Turnover by G. Dieng (bad pass; steal by M. Carter-Williams),38,40
263,3,7:18.0,M. Carter-Williams makes 2-pt layup from 2 ft,,40,40
264,3,7:18.0,,Minnesota full timeout,40,40
265,3,7:18.0,J. Grant enters the game for L. Mbah a Moute,,40,40
266,3,7:00.0,,Personal foul by M. Carter-Williams (drawn by A. Wiggins),40,40
267,3,6:53.0,,A. Wiggins misses 2-pt layup from 1 ft,40,40
268,3,6:52.0,Defensive rebound by J. Grant,,40,40
269,3,6:46.0,Shooting block foul by R. Hummel (drawn by R. Covington),,40,40
270,3,6:46.0,R. Covington makes free throw 1 of 2,,41,40
271,3,6:46.0,R. Covington makes free throw 2 of 2,,42,40
272,3,6:33.0,,Shooting foul by H. Sims (drawn by R. Hummel),42,40
273,3,6:33.0,,R. Hummel makes free throw 1 of 2,42,41
274,3,6:33.0,,S. Muhammad enters the game for A. Wiggins,42,41
275,3,6:33.0,,R. Hummel makes free throw 2 of 2,42,42
276,3,6:17.0,K. McDaniels makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),,45,42
277,3,6:03.0,,Shooting foul by J. Grant (drawn by M. Williams),45,42
278,3,6:03.0,,M. Williams makes free throw 1 of 2,45,43
279,3,6:03.0,,M. Williams makes free throw 2 of 2,45,44
280,3,6:00.0,Personal foul by M. Williams (drawn by M. Carter-Williams),,45,44
281,3,5:51.0,K. McDaniels misses 3-pt jump shot from 24 ft,,45,44
282,3,5:49.0,,Defensive rebound by Team,45,44
283,3,5:49.0,Loose ball foul by R. Covington (drawn by G. Dieng),,45,44
284,3,5:49.0,,G. Dieng makes free throw 1 of 2,45,45
285,3,5:49.0,,G. Dieng makes free throw 2 of 2,45,46
286,3,5:26.0,K. McDaniels misses 3-pt jump shot from 24 ft,,45,46
287,3,5:25.0,,Defensive rebound by G. Dieng,45,46
288,3,5:19.0,,C. Brewer misses 2-pt layup from 1 ft,45,46
289,3,5:17.0,,Offensive rebound by G. Dieng,45,46
290,3,5:16.0,,G. Dieng misses 2-pt layup from 1 ft (block by J. Grant),45,46
291,3,5:14.0,Defensive rebound by M. Carter-Williams,,45,46
292,3,5:12.0,R. Covington misses 2-pt layup at rim (block by S. Muhammad),,45,46
293,3,5:11.0,Offensive rebound by K. McDaniels,,45,46
294,3,5:11.0,K. McDaniels makes 2-pt dunk at rim,,47,46
295,3,4:49.0,,M. Williams misses 3-pt jump shot from 25 ft,47,46
296,3,4:46.0,Defensive rebound by Team,,47,46
297,3,4:46.0,N. Noel enters the game for H. Sims,,47,46
298,3,4:25.0,J. Grant misses 2-pt layup from 2 ft,,47,46
299,3,4:24.0,,Defensive rebound by S. Muhammad,47,46
300,3,4:11.0,,R. Hummel makes 2-pt layup at rim (assist by C. Brewer),47,48
301,3,4:02.0,Turnover by M. Carter-Williams (lost ball; steal by M. Williams),,47,48
302,3,3:59.0,,C. Brewer makes 2-pt layup at rim (assist by R. Hummel),47,50
303,3,3:58.0,Philadelphia full timeout,,47,50
304,3,3:58.0,,Z. LaVine enters the game for M. Williams,47,50
305,3,3:43.0,M. Carter-Williams makes 2-pt layup from 1 ft,,49,50
306,3,3:34.0,,R. Hummel misses 2-pt jump shot from 17 ft,49,50
307,3,3:33.0,Defensive rebound by J. Grant,,49,50
308,3,3:24.0,K. McDaniels misses 2-pt layup from 2 ft (block by R. Hummel),,49,50
309,3,3:22.0,,Defensive rebound by R. Hummel,49,50
310,3,3:22.0,,Turnover by C. Brewer (step out of bounds),49,50
311,3,3:06.0,M. Carter-Williams makes 2-pt jump shot from 9 ft,,51,50
312,3,2:50.0,,Z. LaVine misses 2-pt jump shot from 20 ft,51,50
313,3,2:48.0,Defensive rebound by K. McDaniels,,51,50
314,3,2:40.0,Personal foul by C. Brewer (drawn by M. Carter-Williams),,51,50
315,3,2:40.0,J. Sampson enters the game for M. Carter-Williams,,51,50
316,3,2:40.0,,T. Young enters the game for G. Dieng,51,50
317,3,2:33.0,Shooting foul by R. Hummel (drawn by R. Covington),,51,50
318,3,2:33.0,R. Covington makes free throw 1 of 2,,52,50
319,3,2:33.0,L. Mbah a Moute enters the game for J. Grant,,52,50
320,3,2:33.0,R. Covington makes free throw 2 of 2,,53,50
321,3,2:17.0,,Z. LaVine makes 2-pt layup from 1 ft,53,52
322,3,2:01.0,N. Noel misses 2-pt jump shot from 6 ft,,53,52
323,3,2:00.0,Offensive rebound by K. McDaniels,,53,52
324,3,2:00.0,K. McDaniels misses 2-pt dunk at rim,,53,52
325,3,1:59.0,Offensive rebound by L. Mbah a Moute,,53,52
326,3,1:57.0,R. Covington misses 3-pt jump shot from 24 ft,,53,52
327,3,1:56.0,,Defensive rebound by T. Young,53,52
328,3,1:44.0,,Shooting foul by L. Mbah a Moute (drawn by T. Young),53,52
329,3,1:44.0,,T. Young makes free throw 1 of 2,53,53
330,3,1:44.0,,T. Young makes free throw 2 of 2,53,54
331,3,1:39.0,Turnover by J. Sampson (bad pass),,53,54
332,3,1:33.0,,Personal foul by N. Noel (drawn by T. Young),53,54
333,3,1:33.0,,T. Young makes free throw 1 of 2,53,55
334,3,1:33.0,M. Carter-Williams enters the game for N. Noel,,53,55
335,3,1:33.0,,T. Young makes free throw 2 of 2,53,56
336,3,1:21.0,J. Sampson misses 3-pt jump shot from 23 ft,,53,56
337,3,1:19.0,,Defensive rebound by Z. LaVine,53,56
338,3,1:15.0,,Turnover by C. Brewer (bad pass; steal by R. Covington),53,56
339,3,1:04.0,M. Carter-Williams misses 2-pt layup at rim,,53,56
340,3,1:04.0,Offensive rebound by L. Mbah a Moute,,53,56
341,3,1:04.0,L. Mbah a Moute makes 2-pt layup from 1 ft,,55,56
342,3,1:04.0,Shooting foul by Z. LaVine (drawn by L. Mbah a Moute),,55,56
343,3,1:04.0,L. Mbah a Moute misses free throw 1 of 1,,55,56
344,3,1:03.0,,Defensive rebound by R. Hummel,55,56
345,3,0:45.0,,Z. LaVine misses 3-pt jump shot from 24 ft,55,56
346,3,0:43.0,,Offensive rebound by C. Brewer,55,56
347,3,0:24.0,,R. Hummel misses 3-pt jump shot from 23 ft,55,56
348,3,0:23.0,Defensive rebound by R. Covington,,55,56
349,3,0:00.0,R. Covington makes 2-pt layup at rim (assist by L. Mbah a Moute),,57,56
350,4,11:49.0,,Z. LaVine makes 2-pt layup at rim,57,58
351,4,11:36.0,M. Carter-Williams makes 2-pt layup at rim,,59,58
352,4,11:36.0,Shooting foul by M. Williams (drawn by M. Carter-Williams),,59,58
353,4,11:36.0,M. Carter-Williams misses free throw 1 of 1,,59,58
354,4,11:34.0,Offensive rebound by M. Carter-Williams,,59,58
355,4,11:29.0,K. McDaniels misses 3-pt jump shot from 23 ft,,59,58
356,4,11:28.0,,Defensive rebound by S. Muhammad,59,58
357,4,11:15.0,,Turnover by G. Dieng (bad pass),59,58
358,4,10:59.0,H. Thompson misses 2-pt jump shot from 20 ft,,59,58
359,4,10:57.0,,Defensive rebound by M. Williams,59,58
360,4,10:53.0,,Z. LaVine makes 2-pt dunk at rim (assist by M. Williams),59,60
361,4,10:29.0,L. Mbah a Moute misses 2-pt jump shot from 17 ft,,59,60
362,4,10:27.0,Offensive rebound by K. McDaniels,,59,60
363,4,10:10.0,M. Carter-Williams makes 2-pt jump shot from 6 ft,,61,60
364,4,9:52.0,,M. Williams misses 3-pt jump shot from 23 ft,61,60
365,4,9:51.0,Defensive rebound by M. Carter-Williams,,61,60
366,4,9:46.0,H. Thompson makes 2-pt layup at rim (assist by M. Carter-Williams),,63,60
367,4,9:19.0,,M. Williams makes 2-pt jump shot from 17 ft,63,62
368,4,9:03.0,L. Mbah a Moute misses 2-pt jump shot from 21 ft,,63,62
369,4,9:02.0,,Defensive rebound by S. Muhammad,63,62
370,4,8:41.0,,S. Muhammad misses 2-pt jump shot from 18 ft,63,62
371,4,8:40.0,Defensive rebound by L. Mbah a Moute,,63,62
372,4,8:34.0,Philadelphia full timeout,,63,62
373,4,8:34.0,,A. Wiggins enters the game for S. Muhammad,63,62
374,4,8:34.0,H. Sims enters the game for L. Mbah a Moute,,63,62
375,4,8:18.0,R. Covington misses 3-pt jump shot from 24 ft,,63,62
376,4,8:17.0,,Defensive rebound by G. Dieng,63,62
377,4,7:56.0,,M. Williams misses 3-pt jump shot from 24 ft,63,62
378,4,7:55.0,Defensive rebound by R. Covington,,63,62
379,4,7:46.0,R. Covington makes 3-pt jump shot from 24 ft (assist by H. Thompson),,66,62
380,4,7:20.0,,T. Young makes 2-pt hook shot from 4 ft,66,64
381,4,6:55.0,M. Carter-Williams misses 2-pt layup at rim,,66,64
382,4,6:53.0,,Defensive rebound by G. Dieng,66,64
383,4,6:38.0,,A. Wiggins misses 2-pt jump shot from 12 ft,66,64
384,4,6:37.0,Defensive rebound by K. McDaniels,,66,64
385,4,6:28.0,R. Covington makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),,69,64
