,QUARTER,TIME_REMAINING,DETROIT_ACTION,MINNESOTA_ACTION,DETROIT_SCORE,MINNESOTA_SCORE
242,3,7:52.0,Personal foul by R. Rubio (drawn by B. Jennings),,49,58
243,3,7:48.0,Offensive foul by A. Drummond (drawn by R. Rubio),,49,58
244,3,7:48.0,Turnover by A. Drummond (offensive foul),,49,58
245,3,7:34.0,,Personal foul by A. Drummond (drawn by N. Peković),49,58
246,3,7:34.0,J. Anthony enters the game for A. Drummond,,49,58
247,3,7:34.0,Technical foul by B. Jennings,,49,58
248,3,7:34.0,,R. Rubio makes technical free throw,49,59
249,3,7:26.0,,Shooting foul by B. Jennings (drawn by R. Rubio),49,59
250,3,7:26.0,,R. Rubio makes free throw 1 of 2,49,60
251,3,7:26.0,D. Augustin enters the game for B. Jennings,,49,60
252,3,7:26.0,,R. Rubio misses free throw 2 of 2,49,60
253,3,7:26.0,Defensive rebound by J. Smith,,49,60
254,3,7:14.0,Personal foul by T. Young (drawn by J. Smith),,49,60
255,3,7:11.0,Personal foul by R. Rubio (drawn by D. Augustin),,49,60
256,3,7:09.0,Personal foul by T. Young (drawn by J. Smith),,49,60
257,3,7:00.0,J. Smith misses 2-pt jump shot from 11 ft,,49,60
258,3,6:58.0,Offensive rebound by Team,,49,60
259,3,6:46.0,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,,49,60
260,3,6:45.0,,Defensive rebound by N. Peković,49,60
261,3,6:38.0,,R. Rubio misses 2-pt layup from 2 ft (block by J. Anthony),49,60
262,3,6:37.0,,Offensive rebound by N. Peković,49,60
263,3,6:36.0,,N. Peković makes 2-pt layup at rim,49,62
264,3,6:35.0,Detroit full timeout,,49,62
265,3,6:20.0,Shooting foul by R. Rubio (drawn by D. Augustin),,49,62
266,3,6:20.0,D. Augustin makes free throw 1 of 2,,50,62
267,3,6:20.0,,M. Williams enters the game for R. Rubio,50,62
268,3,6:20.0,D. Augustin makes free throw 2 of 2,,51,62
269,3,6:06.0,,T. Young makes 2-pt jump shot from 19 ft (assist by M. Williams),51,64
270,3,5:52.0,Turnover by K. Caldwell-Pope (bad pass; steal by T. Young),,51,64
271,3,5:49.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by M. Williams),51,66
272,3,5:49.0,,Shooting foul by J. Anthony (drawn by A. Wiggins),51,66
273,3,5:49.0,C. Butler enters the game for K. Singler,,51,66
274,3,5:49.0,,A. Wiggins misses free throw 1 of 1,51,66
275,3,5:48.0,,Offensive rebound by C. Brewer,51,66
276,3,5:40.0,,A. Wiggins makes 2-pt jump shot from 20 ft,51,68
277,3,5:17.0,D. Augustin misses 3-pt jump shot from 24 ft,,51,68
278,3,5:16.0,,Defensive rebound by N. Peković,51,68
279,3,4:56.0,,T. Young makes 2-pt layup from 1 ft,51,70
280,3,4:45.0,C. Butler makes 2-pt jump shot from 19 ft (assist by J. Smith),,53,70
281,3,4:28.0,,C. Brewer misses 2-pt layup at rim,53,70
282,3,4:26.0,Defensive rebound by K. Caldwell-Pope,,53,70
283,3,4:07.0,D. Augustin misses 2-pt jump shot from 19 ft,,53,70
284,3,4:05.0,,Defensive rebound by A. Wiggins,53,70
285,3,3:51.0,,A. Wiggins misses 2-pt jump shot from 12 ft,53,70
286,3,3:50.0,Defensive rebound by J. Smith,,53,70
287,3,3:34.0,K. Caldwell-Pope misses 2-pt jump shot from 17 ft,,53,70
288,3,3:32.0,,Defensive rebound by A. Wiggins,53,70
289,3,3:25.0,,Minnesota full timeout,53,70
290,3,3:25.0,,K. Martin enters the game for C. Brewer,53,70
291,3,3:25.0,,G. Dieng enters the game for N. Peković,53,70
292,3,3:25.0,J. Jerebko enters the game for J. Smith,,53,70
293,3,3:10.0,,M. Williams misses 3-pt jump shot from 26 ft,53,70
294,3,3:09.0,Defensive rebound by C. Butler,,53,70
295,3,2:54.0,Personal foul by K. Martin (drawn by K. Caldwell-Pope),,53,70
296,3,2:54.0,K. Caldwell-Pope misses free throw 1 of 2,,53,70
297,3,2:54.0,Offensive rebound by Team,,53,70
298,3,2:54.0,K. Caldwell-Pope misses free throw 2 of 2,,53,70
299,3,2:54.0,,Defensive rebound by G. Dieng,53,70
300,3,2:36.0,,A. Wiggins makes 2-pt jump shot from 11 ft,53,72
301,3,2:09.0,D. Augustin makes 2-pt jump shot from 7 ft,,55,72
302,3,1:46.0,,Turnover by A. Wiggins (lost ball; steal by J. Anthony),55,72
303,3,1:43.0,Personal foul by M. Williams (drawn by D. Augustin),,55,72
304,3,1:43.0,D. Augustin makes free throw 1 of 2,,56,72
305,3,1:43.0,D. Augustin makes free throw 2 of 2,,57,72
306,3,1:36.0,,K. Martin misses 2-pt jump shot from 19 ft,57,72
307,3,1:35.0,Defensive rebound by J. Jerebko,,57,72
308,3,1:25.0,C. Butler makes 3-pt jump shot from 23 ft (assist by D. Augustin),,60,72
309,3,1:09.0,,M. Williams misses 3-pt jump shot from 25 ft,60,72
310,3,1:08.0,,Offensive rebound by T. Young,60,72
311,3,1:07.0,,T. Young makes 2-pt jump shot from 7 ft,60,74
312,3,1:07.0,,Shooting foul by C. Butler (drawn by T. Young),60,74
313,3,1:07.0,,S. Muhammad enters the game for A. Wiggins,60,74
314,3,1:07.0,,T. Young makes free throw 1 of 1,60,75
315,3,0:54.0,J. Jerebko makes 2-pt jump shot from 19 ft (assist by K. Caldwell-Pope),,62,75
316,3,0:42.0,,M. Williams misses 2-pt jump shot from 17 ft,62,75
317,3,0:41.0,Defensive rebound by J. Anthony,,62,75
318,3,0:29.0,Turnover by D. Augustin (back court),,62,75
319,3,0:29.0,,A. Bennett enters the game for T. Young,62,75
320,3,0:13.0,,Turnover by K. Martin (traveling),62,75
321,3,0:00.0,C. Butler makes 3-pt jump shot from 24 ft (assist by D. Augustin),,65,75
322,4,11:48.0,J. Jerebko misses 2-pt jump shot from 17 ft,,65,75
323,4,11:47.0,,Defensive rebound by M. Williams,65,75
324,4,11:35.0,,A. Bennett misses 2-pt jump shot from 18 ft,65,75
325,4,11:33.0,Defensive rebound by J. Anthony,,65,75
326,4,11:16.0,K. Caldwell-Pope misses 2-pt jump shot from 3 ft,,65,75
327,4,11:13.0,Offensive rebound by K. Caldwell-Pope,,65,75
328,4,10:57.0,J. Anthony misses 2-pt jump shot from 12 ft,,65,75
329,4,10:55.0,Offensive rebound by K. Caldwell-Pope,,65,75
330,4,10:54.0,K. Caldwell-Pope misses 2-pt layup at rim (block by A. Bennett),,65,75
331,4,10:53.0,,Defensive rebound by K. Martin,65,75
332,4,10:46.0,,K. Martin makes 2-pt jump shot from 18 ft,65,77
333,4,10:21.0,C. Butler makes 2-pt jump shot from 22 ft,,67,77
334,4,9:56.0,,K. Martin makes 3-pt jump shot from 25 ft (assist by M. Williams),67,80
335,4,9:37.0,C. Butler makes 3-pt jump shot from 24 ft (assist by D. Augustin),,70,80
336,4,9:21.0,,K. Martin misses 2-pt jump shot from 19 ft,70,80
337,4,9:20.0,Defensive rebound by Team,,70,80
338,4,9:20.0,A. Drummond enters the game for J. Anthony,,70,80
339,4,9:20.0,,C. Brewer enters the game for S. Muhammad,70,80
340,4,9:10.0,Personal foul by M. Williams (drawn by K. Caldwell-Pope),,70,80
341,4,9:10.0,,R. Rubio enters the game for M. Williams,70,80
342,4,9:10.0,,N. Peković enters the game for G. Dieng,70,80
343,4,8:58.0,D. Augustin misses 2-pt jump shot from 10 ft,,70,80
344,4,8:57.0,Offensive rebound by C. Butler,,70,80
345,4,8:55.0,C. Butler makes 2-pt layup from 1 ft,,72,80
346,4,8:36.0,,K. Martin misses 2-pt jump shot from 16 ft,72,80
347,4,8:35.0,Defensive rebound by A. Drummond,,72,80
348,4,8:27.0,C. Butler makes 2-pt jump shot from 20 ft,,74,80
349,4,8:26.0,,Minnesota full timeout,74,80
