,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MINNESOTA_ACTION,MEMPHIS_SCORE,MINNESOTA_SCORE
307,4,9:05.0,,M. Williams makes 2-pt jump shot from 19 ft,75,71
308,4,8:48.0,Personal foul by A. Wiggins (drawn by Z. Randolph),,75,71
309,4,8:48.0,Memphis full timeout,,75,71
310,4,8:48.0,,T. Young enters the game for A. Wiggins,75,71
311,4,8:41.0,B. Udrih misses 3-pt jump shot from 24 ft,,75,71
312,4,8:40.0,,Defensive rebound by M. Williams,75,71
313,4,8:16.0,,T. Young misses 2-pt jump shot from 7 ft,75,71
314,4,8:15.0,,Offensive rebound by T. Young,75,71
315,4,8:09.0,,Z. LaVine misses 2-pt jump shot from 18 ft,75,71
316,4,8:07.0,Defensive rebound by Team,,75,71
317,4,7:52.0,N. Calathes misses 2-pt layup from 2 ft (block by N. Peković),,75,71
318,4,7:50.0,,Defensive rebound by M. Williams,75,71
319,4,7:45.0,,Z. LaVine misses 2-pt dunk at rim (block by Z. Randolph),75,71
320,4,7:44.0,Defensive rebound by Z. Randolph,,75,71
321,4,7:40.0,N. Calathes makes 2-pt layup at rim (assist by B. Udrih),,77,71
322,4,7:24.0,,M. Williams misses 3-pt jump shot from 24 ft,77,71
323,4,7:24.0,,Offensive rebound by Team,77,71
324,4,7:24.0,Loose ball foul by T. Allen (drawn by N. Peković),,77,71
325,4,7:24.0,,R. Rubio enters the game for Z. LaVine,77,71
326,4,7:20.0,,N. Peković misses 2-pt jump shot from 3 ft,77,71
327,4,7:18.0,Defensive rebound by Z. Randolph,,77,71
328,4,7:13.0,Turnover by Z. Randolph (bad pass),,77,71
329,4,7:01.0,,A. Bennett misses 2-pt jump shot from 17 ft,77,71
330,4,7:01.0,Defensive rebound by T. Allen,,77,71
331,4,6:44.0,Turnover by B. Udrih (bad pass),,77,71
332,4,6:44.0,,A. Wiggins enters the game for A. Bennett,77,71
333,4,6:26.0,,N. Peković makes 2-pt jump shot from 9 ft,77,73
334,4,6:26.0,Memphis full timeout,,77,73
335,4,6:10.0,Turnover by Z. Randolph (lost ball; steal by R. Rubio),,77,73
336,4,6:06.0,,R. Rubio makes 2-pt layup at rim,77,75
337,4,5:58.0,Personal take foul by M. Williams (drawn by N. Calathes),,77,75
338,4,5:58.0,,K. Martin enters the game for R. Rubio,77,75
339,4,5:58.0,M. Conley enters the game for B. Udrih,,77,75
340,4,5:58.0,M. Gasol enters the game for Z. Randolph,,77,75
341,4,5:58.0,J. Green enters the game for N. Calathes,,77,75
342,4,5:47.0,M. Conley makes 2-pt layup from 1 ft,,79,75
343,4,5:47.0,Shooting foul by K. Martin (drawn by M. Conley),,79,75
344,4,5:47.0,M. Conley misses free throw 1 of 1,,79,75
345,4,5:45.0,,Defensive rebound by N. Peković,79,75
346,4,5:25.0,,T. Young misses 2-pt jump shot from 6 ft,79,75
347,4,5:24.0,Defensive rebound by T. Allen,,79,75
348,4,5:04.0,M. Gasol misses 2-pt jump shot from 18 ft,,79,75
349,4,5:02.0,,Defensive rebound by M. Williams,79,75
350,4,4:46.0,,T. Young misses 2-pt layup from 2 ft (block by K. Koufos),79,75
351,4,4:45.0,,Offensive rebound by N. Peković,79,75
352,4,4:43.0,,N. Peković misses 2-pt layup from 1 ft (block by K. Koufos),79,75
353,4,4:42.0,,Offensive rebound by T. Young,79,75
354,4,4:41.0,,Personal foul by M. Gasol (drawn by T. Young),79,75
355,4,4:41.0,,R. Rubio enters the game for M. Williams,79,75
356,4,4:36.0,,K. Martin misses 3-pt jump shot from 23 ft (block by T. Allen),79,75
357,4,4:34.0,,Offensive rebound by R. Rubio,79,75
358,4,4:32.0,,Turnover by R. Rubio (lost ball; steal by T. Allen),79,75
359,4,4:28.0,T. Allen makes 2-pt layup at rim,,81,75
360,4,4:07.0,,Shooting foul by K. Koufos (drawn by A. Wiggins),81,75
361,4,4:07.0,,A. Wiggins misses free throw 1 of 2,81,75
362,4,4:07.0,,Offensive rebound by Team,81,75
363,4,4:07.0,,A. Wiggins makes free throw 2 of 2,81,76
364,4,3:55.0,Shooting foul by A. Wiggins (drawn by J. Green),,81,76
365,4,3:55.0,J. Green makes free throw 1 of 2,,82,76
366,4,3:55.0,,Minnesota full timeout,82,76
367,4,3:55.0,J. Green makes free throw 2 of 2,,83,76
368,4,3:30.0,,N. Peković makes 2-pt jump shot from 12 ft,83,78
369,4,3:12.0,M. Gasol makes 2-pt layup from 1 ft (assist by M. Conley),,85,78
370,4,3:00.0,,R. Rubio misses 2-pt layup from 1 ft,85,78
371,4,2:59.0,Defensive rebound by M. Gasol,,85,78
372,4,2:36.0,T. Allen misses 2-pt jump shot from 4 ft,,85,78
