,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,ATLANTA_ACTION,PHILADELPHIA_SCORE,ATLANTA_SCORE
331,4,11:36.0,Defensive rebound by K. McDaniels,,58,68
332,4,11:32.0,R. Covington misses 3-pt jump shot from 25 ft,,58,68
333,4,11:31.0,,Defensive rebound by Team,58,68
334,4,11:31.0,Loose ball foul by N. Noel (drawn by S. Mack),,58,68
335,4,11:24.0,,Personal foul by M. Carter-Williams (drawn by D. Schröder),58,68
336,4,11:12.0,Violation by A. Shved (kicked ball),,58,68
337,4,10:57.0,,P. Antić misses 2-pt jump shot from 16 ft,58,68
338,4,10:56.0,,Offensive rebound by Team,58,68
339,4,10:56.0,,Turnover by Team (shot clock),58,68
340,4,10:43.0,K. McDaniels misses 3-pt jump shot from 25 ft,,58,68
341,4,10:42.0,,Defensive rebound by D. Schröder,58,68
342,4,10:35.0,,D. Schröder misses 2-pt layup from 1 ft (block by R. Covington),58,68
343,4,10:34.0,,Offensive rebound by Team,58,68
344,4,10:34.0,,M. Muscala enters the game for P. Antić,58,68
345,4,10:32.0,,M. Muscala misses 2-pt layup from 2 ft (block by N. Noel),58,68
346,4,10:27.0,,Offensive rebound by S. Mack,58,68
347,4,10:19.0,,S. Mack misses 3-pt jump shot from 26 ft,58,68
348,4,10:16.0,,Offensive rebound by M. Muscala,58,68
349,4,10:06.0,H. Thompson enters the game for K. McDaniels,,58,68
350,4,9:58.0,,A. Horford misses 2-pt hook shot from 7 ft,58,68
351,4,9:57.0,Defensive rebound by M. Carter-Williams,,58,68
352,4,9:47.0,R. Covington misses 3-pt jump shot from 26 ft,,58,68
353,4,9:45.0,,Defensive rebound by T. Sefolosha,58,68
354,4,9:40.0,,Shooting foul by M. Carter-Williams (drawn by D. Schröder),58,68
355,4,9:40.0,,D. Schröder misses free throw 1 of 2,58,68
356,4,9:40.0,,Offensive rebound by Team,58,68
357,4,9:40.0,,D. Schröder makes free throw 2 of 2,58,69
358,4,9:28.0,Turnover by R. Covington (bad pass; steal by D. Schröder),,58,69
359,4,9:23.0,,Turnover by M. Muscala (lost ball),58,69
360,4,9:23.0,,P. Millsap enters the game for A. Horford,58,69
361,4,8:59.0,M. Carter-Williams misses 3-pt jump shot from 24 ft,,58,69
362,4,8:57.0,,Defensive rebound by D. Schröder,58,69
363,4,8:45.0,,P. Millsap makes 2-pt layup from 1 ft (assist by D. Schröder),58,71
364,4,8:39.0,Philadelphia full timeout,,58,71
365,4,8:39.0,L. Mbah a Moute enters the game for R. Covington,,58,71
366,4,8:31.0,A. Shved makes 2-pt jump shot from 17 ft (assist by H. Thompson),,60,71
367,4,8:16.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by D. Schröder),60,74
368,4,7:54.0,N. Noel makes 2-pt jump shot from 6 ft (assist by A. Shved),,62,74
369,4,7:41.0,,M. Muscala makes 2-pt jump shot from 20 ft (assist by P. Millsap),62,76
370,4,7:16.0,,Offensive charge foul by M. Carter-Williams (drawn by D. Schröder),62,76
371,4,7:16.0,Turnover by M. Carter-Williams (offensive foul),,62,76
372,4,7:16.0,,K. Korver enters the game for S. Mack,62,76
373,4,6:54.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by M. Muscala),62,79
374,4,6:51.0,Philadelphia full timeout,,62,79
375,4,6:35.0,H. Thompson makes 3-pt jump shot from 24 ft (assist by A. Shved),,65,79
376,4,6:15.0,,K. Korver misses 2-pt jump shot from 8 ft,65,79
377,4,6:13.0,,Offensive rebound by M. Muscala,65,79
378,4,6:13.0,,M. Muscala makes 2-pt tip-in from 1 ft,65,81
379,4,6:00.0,L. Mbah a Moute misses 3-pt jump shot from 24 ft,,65,81
