,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PHILADELPHIA_ACTION,ATLANTA_SCORE,PHILADELPHIA_SCORE
119,2,10:03.0,Turnover by K. Korver (bad pass; steal by H. Sims),,27,24
120,2,9:46.0,,J. Sampson misses 3-pt jump shot from 25 ft,27,24
121,2,9:45.0,Defensive rebound by K. Korver,,27,24
122,2,9:35.0,K. Bazemore makes 3-pt jump shot from 23 ft (assist by A. Horford),,30,24
123,2,9:34.0,,Philadelphia full timeout,30,24
124,2,9:34.0,,N. Noel enters the game for H. Sims,30,24
125,2,9:34.0,,L. Mbah a Moute enters the game for J. Grant,30,24
126,2,9:34.0,,R. Covington enters the game for H. Thompson,30,24
127,2,9:34.0,,K. McDaniels enters the game for J. Sampson,30,24
128,2,9:22.0,,R. Covington misses 2-pt jump shot from 4 ft,30,24
129,2,9:20.0,Defensive rebound by M. Muscala,,30,24
130,2,8:56.0,S. Mack misses 2-pt jump shot from 14 ft,,30,24
131,2,8:56.0,,Defensive rebound by Team,30,24
132,2,8:34.0,,K. McDaniels makes 3-pt jump shot from 25 ft (assist by L. Mbah a Moute),30,27
133,2,8:13.0,M. Muscala misses 2-pt jump shot from 12 ft,,30,27
134,2,8:11.0,,Defensive rebound by R. Covington,30,27
135,2,8:05.0,,L. Mbah a Moute makes 3-pt jump shot from 26 ft (assist by T. Wroten),30,30
136,2,8:04.0,Atlanta full timeout,,30,30
137,2,8:04.0,D. Schröder enters the game for S. Mack,,30,30
138,2,8:04.0,,M. Carter-Williams enters the game for T. Wroten,30,30
139,2,7:43.0,K. Bazemore misses 2-pt jump shot from 11 ft,,30,30
140,2,7:41.0,,Defensive rebound by N. Noel,30,30
141,2,7:17.0,,R. Covington misses 3-pt jump shot from 25 ft,30,30
142,2,7:15.0,Defensive rebound by M. Muscala,,30,30
143,2,6:56.0,D. Schröder makes 3-pt jump shot from 25 ft (assist by A. Horford),,33,30
144,2,6:43.0,,M. Carter-Williams makes 2-pt layup from 1 ft,33,32
145,2,6:43.0,,Shooting foul by D. Schröder (drawn by M. Carter-Williams),33,32
146,2,6:43.0,M. Scott enters the game for A. Horford,,33,32
147,2,6:43.0,T. Sefolosha enters the game for K. Korver,,33,32
148,2,6:43.0,,M. Carter-Williams makes free throw 1 of 1,33,33
149,2,6:29.0,D. Schröder misses 2-pt jump shot from 17 ft,,33,33
150,2,6:27.0,Offensive rebound by M. Scott,,33,33
151,2,6:07.0,M. Scott misses 3-pt jump shot from 25 ft,,33,33
152,2,6:06.0,,Defensive rebound by M. Carter-Williams,33,33
153,2,5:53.0,,L. Mbah a Moute misses 2-pt layup from 1 ft (block by T. Sefolosha),33,33
154,2,5:51.0,Defensive rebound by T. Sefolosha,,33,33
155,2,5:47.0,Turnover by T. Sefolosha (lost ball; steal by K. McDaniels),,33,33
156,2,5:40.0,Offensive charge foul by L. Mbah a Moute (drawn by M. Muscala),,33,33
157,2,5:40.0,,Turnover by L. Mbah a Moute (offensive foul),33,33
158,2,5:16.0,M. Muscala misses 2-pt layup from 2 ft (block by N. Noel),,33,33
159,2,5:16.0,Offensive rebound by Team,,33,33
160,2,5:16.0,Turnover by Team (shot clock),,33,33
161,2,5:01.0,,Turnover by M. Carter-Williams (bad pass; steal by D. Schröder),33,33
162,2,4:55.0,K. Bazemore makes 2-pt layup from 1 ft (assist by D. Schröder),,35,33
163,2,4:37.0,,L. Mbah a Moute misses 3-pt jump shot from 25 ft,35,33
