,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,ORLANDO_ACTION,SACRAMENTO_SCORE,ORLANDO_SCORE
80,1,3:15.0,D. Cousins makes free throw 2 of 2,,18,23
81,1,2:54.0,,A. Nicholson makes 2-pt layup from 1 ft (assist by B. Gordon),18,25
82,1,2:41.0,D. Cousins makes 2-pt layup at rim,,20,25
83,1,2:25.0,,B. Gordon makes 2-pt jump shot from 17 ft (assist by V. Oladipo),20,27
84,1,2:00.0,D. Cousins makes 2-pt layup from 2 ft (assist by A. Miller),,22,27
85,1,1:33.0,,B. Gordon misses 2-pt jump shot from 15 ft,22,27
86,1,1:31.0,Defensive rebound by R. Gay,,22,27
87,1,1:25.0,Personal foul by A. Nicholson (drawn by D. Cousins),,22,27
88,1,1:25.0,D. Cousins makes free throw 1 of 2,,23,27
89,1,1:25.0,D. Williams enters the game for R. Evans,,23,27
90,1,1:25.0,,C. Frye enters the game for D. Dedmon,23,27
91,1,1:25.0,D. Cousins misses free throw 2 of 2,,23,27
92,1,1:24.0,,Defensive rebound by T. Harris,23,27
93,1,1:07.0,,C. Frye makes 3-pt jump shot from 26 ft (assist by V. Oladipo),23,30
94,1,0:56.0,R. Gay makes 2-pt jump shot from 17 ft (assist by A. Miller),,25,30
95,1,0:42.0,,T. Harris makes 3-pt jump shot from 22 ft (assist by V. Oladipo),25,33
96,1,0:32.0,Shooting foul by B. Gordon (drawn by O. Casspi),,25,33
97,1,0:32.0,O. Casspi misses free throw 1 of 2,,25,33
98,1,0:32.0,Offensive rebound by Team,,25,33
99,1,0:32.0,O. Casspi makes free throw 2 of 2,,26,33
100,1,0:13.0,,V. Oladipo misses 2-pt jump shot from 18 ft,26,33
101,1,0:12.0,,Offensive rebound by A. Nicholson,26,33
102,1,0:10.0,,A. Nicholson makes 2-pt hook shot from 3 ft,26,35
103,1,0:00.0,A. Miller misses 3-pt jump shot from 26 ft,,26,35
104,1,0:00.0,Offensive rebound by Team,,26,35
105,2,11:44.0,R. Gay makes 2-pt jump shot from 5 ft,,28,35
106,2,11:23.0,,A. Nicholson misses 2-pt hook shot from 4 ft,28,35
107,2,11:21.0,Defensive rebound by A. Miller,,28,35
108,2,11:05.0,D. Cousins makes 2-pt layup from 1 ft,,30,35
109,2,10:57.0,,C. Frye misses 3-pt jump shot from 24 ft,30,35
110,2,10:56.0,Defensive rebound by D. Williams,,30,35
111,2,10:51.0,Turnover by A. Miller (lost ball; steal by C. Frye),,30,35
112,2,10:45.0,,B. Gordon makes 2-pt layup at rim,30,37
113,2,10:35.0,R. Gay makes 3-pt jump shot from 25 ft (assist by A. Miller),,33,37
114,2,10:25.0,,B. Gordon makes 3-pt jump shot from 27 ft (assist by E. Payton),33,40
115,2,10:05.0,R. Gay misses 2-pt jump shot from 9 ft,,33,40
116,2,10:04.0,Offensive rebound by O. Casspi,,33,40
117,2,10:04.0,Shooting foul by B. Gordon (drawn by O. Casspi),,33,40
118,2,10:04.0,O. Casspi makes free throw 1 of 2,,34,40
119,2,10:04.0,B. McLemore enters the game for R. Gay,,34,40
120,2,10:04.0,O. Casspi misses free throw 2 of 2,,34,40
121,2,10:03.0,Offensive rebound by D. Williams,,34,40
122,2,9:54.0,D. Williams makes 3-pt jump shot from 24 ft (assist by A. Miller),,37,40
123,2,9:52.0,,Orlando full timeout,37,40
124,2,9:39.0,,C. Frye makes 3-pt jump shot from 26 ft (assist by A. Nicholson),37,43
125,2,9:18.0,A. Miller misses 2-pt jump shot from 17 ft,,37,43
126,2,9:16.0,Offensive rebound by D. Cousins,,37,43
127,2,9:16.0,D. Cousins misses 2-pt layup at rim,,37,43
128,2,9:14.0,,Defensive rebound by E. Payton,37,43
129,2,9:10.0,,Turnover by A. Gordon (lost ball; steal by A. Miller),37,43
130,2,9:06.0,Turnover by A. Miller (lost ball; steal by E. Payton),,37,43
131,2,9:02.0,,A. Gordon makes 2-pt layup from 1 ft (assist by E. Payton),37,45
132,2,8:41.0,A. Miller misses 3-pt jump shot from 22 ft,,37,45
133,2,8:40.0,,Defensive rebound by C. Frye,37,45
134,2,8:40.0,,Personal foul by O. Casspi (drawn by C. Frye),37,45
135,2,8:26.0,,B. Gordon makes 2-pt jump shot from 6 ft (assist by E. Payton),37,47
136,2,8:02.0,D. Cousins makes 2-pt jump shot from 18 ft (assist by A. Miller),,39,47
137,2,7:50.0,,E. Payton misses 3-pt jump shot from 22 ft,39,47
138,2,7:49.0,Defensive rebound by D. Cousins,,39,47
139,2,7:38.0,A. Miller misses 2-pt layup at rim (block by E. Payton),,39,47
140,2,7:36.0,Offensive rebound by A. Miller,,39,47
141,2,7:32.0,D. Williams misses 3-pt jump shot from 22 ft,,39,47
142,2,7:31.0,Offensive rebound by A. Miller,,39,47
143,2,7:28.0,B. McLemore misses 3-pt jump shot from 25 ft,,39,47
144,2,7:28.0,Offensive rebound by Team,,39,47
145,2,7:28.0,R. McCallum enters the game for O. Casspi,,39,47
146,2,7:28.0,,V. Oladipo enters the game for B. Gordon,39,47
147,2,7:18.0,B. McLemore misses 3-pt jump shot from 25 ft,,39,47
148,2,7:16.0,,Defensive rebound by C. Frye,39,47
149,2,7:10.0,,Shooting foul by D. Cousins (drawn by A. Nicholson),39,47
150,2,7:10.0,,A. Nicholson misses free throw 1 of 2,39,47
151,2,7:10.0,,Offensive rebound by Team,39,47
152,2,7:10.0,,A. Nicholson makes free throw 2 of 2,39,48
153,2,6:50.0,D. Cousins makes 2-pt jump shot from 20 ft (assist by B. McLemore),,41,48
154,2,6:31.0,,E. Payton makes 2-pt jump shot from 17 ft,41,50
155,2,6:20.0,Shooting foul by C. Frye (drawn by R. McCallum),,41,50
156,2,6:20.0,R. McCallum makes free throw 1 of 2,,42,50
157,2,6:20.0,J. Thompson enters the game for D. Cousins,,42,50
158,2,6:20.0,R. Gay enters the game for D. Williams,,42,50
159,2,6:20.0,R. McCallum makes free throw 2 of 2,,43,50
160,2,5:54.0,,E. Payton misses 2-pt jump shot from 9 ft,43,50
161,2,5:53.0,,Offensive rebound by A. Nicholson,43,50
162,2,5:53.0,,A. Nicholson makes 2-pt tip-in from 4 ft,43,52
163,2,5:40.0,A. Miller misses 2-pt layup from 1 ft,,43,52
164,2,5:38.0,Offensive rebound by J. Thompson,,43,52
165,2,5:38.0,Shooting foul by V. Oladipo (drawn by J. Thompson),,43,52
166,2,5:38.0,Official timeout,,43,52
167,2,5:38.0,N. Stauskas enters the game for A. Miller,,43,52
168,2,5:38.0,,T. Harris enters the game for A. Nicholson,43,52
169,2,5:38.0,J. Thompson makes free throw 1 of 2,,44,52
170,2,5:38.0,J. Thompson misses free throw 2 of 2,,44,52
171,2,5:37.0,,Defensive rebound by C. Frye,44,52
172,2,5:24.0,,V. Oladipo makes 2-pt layup at rim,44,54
173,2,5:09.0,R. Gay misses 2-pt jump shot from 11 ft,,44,54
174,2,5:08.0,,Defensive rebound by C. Frye,44,54
175,2,4:52.0,,V. Oladipo makes 2-pt jump shot from 17 ft,44,56
176,2,4:38.0,Personal foul by A. Gordon (drawn by R. Gay),,44,56
177,2,4:27.0,B. McLemore misses 3-pt jump shot from 25 ft,,44,56
178,2,4:25.0,,Defensive rebound by E. Payton,44,56
179,2,4:10.0,,T. Harris misses 3-pt jump shot from 24 ft,44,56
180,2,4:07.0,,Offensive rebound by Team,44,56
181,2,4:07.0,D. Cousins enters the game for B. McLemore,,44,56
182,2,3:57.0,,Shooting foul by J. Thompson (drawn by V. Oladipo),44,56
183,2,3:57.0,Sacramento full timeout,,44,56
184,2,3:57.0,,A. Nicholson enters the game for A. Gordon,44,56
185,2,3:57.0,,V. Oladipo makes free throw 1 of 2,44,57
186,2,3:57.0,,V. Oladipo makes free throw 2 of 2,44,58
187,2,3:35.0,R. Gay makes 2-pt jump shot from 12 ft,,46,58
188,2,3:21.0,,C. Frye makes 3-pt jump shot from 26 ft (assist by V. Oladipo),46,61
189,2,3:04.0,N. Stauskas makes 3-pt jump shot from 25 ft (assist by D. Cousins),,49,61
190,2,2:47.0,,V. Oladipo misses 2-pt jump shot from 5 ft,49,61
191,2,2:47.0,Defensive rebound by Team,,49,61
192,2,2:31.0,D. Cousins makes 2-pt jump shot from 17 ft,,51,61
193,2,2:23.0,,E. Payton misses 2-pt layup from 1 ft,51,61
194,2,2:21.0,Defensive rebound by D. Cousins,,51,61
195,2,2:12.0,Def 3 sec tech foul by A. Nicholson,,51,61
196,2,2:12.0,R. Gay makes technical free throw,,52,61
197,2,1:59.0,J. Thompson makes 2-pt layup at rim (assist by D. Cousins),,54,61
198,2,1:40.0,,C. Frye makes 3-pt jump shot from 23 ft (assist by E. Payton),54,64
199,2,1:27.0,R. Gay misses 2-pt dunk at rim,,54,64
200,2,1:25.0,Offensive rebound by R. Gay,,54,64
201,2,1:23.0,R. Gay makes 2-pt layup at rim,,56,64
202,2,1:11.0,,A. Nicholson misses 2-pt hook shot from 8 ft,56,64
203,2,1:10.0,Defensive rebound by D. Cousins,,56,64
204,2,0:59.0,Turnover by R. Gay (lost ball; steal by V. Oladipo),,56,64
205,2,0:54.0,,E. Payton makes 2-pt dunk at rim (assist by V. Oladipo),56,66
206,2,0:32.0,R. McCallum misses 2-pt jump shot from 3 ft,,56,66
207,2,0:29.0,,Defensive rebound by C. Frye,56,66
208,2,0:27.0,,Turnover by C. Frye (lost ball; steal by R. Gay),56,66
209,2,0:27.0,Personal foul by V. Oladipo (drawn by N. Stauskas),,56,66
210,2,0:27.0,N. Stauskas makes free throw 1 of 2,,57,66
211,2,0:27.0,N. Stauskas misses free throw 2 of 2,,57,66
212,2,0:26.0,,Defensive rebound by A. Nicholson,57,66
213,2,0:25.0,,Orlando full timeout,57,66
214,2,0:25.0,O. Casspi enters the game for J. Thompson,,57,66
215,2,0:25.0,,B. Gordon enters the game for E. Payton,57,66
216,2,0:03.0,,C. Frye misses 3-pt jump shot from 25 ft,57,66
217,2,0:02.0,,Offensive rebound by A. Nicholson,57,66
218,2,0:02.0,,A. Nicholson makes 2-pt layup from 4 ft,57,68
219,2,0:00.0,R. McCallum misses 3-pt jump shot from 41 ft,,57,68
220,2,0:00.0,Offensive rebound by Team,,57,68
221,3,11:42.0,B. McLemore misses 2-pt layup from 1 ft,,57,68
222,3,11:40.0,,Defensive rebound by C. Frye,57,68
223,3,11:27.0,,V. Oladipo misses 2-pt jump shot from 18 ft,57,68
224,3,11:26.0,,Offensive rebound by D. Dedmon,57,68
225,3,11:22.0,,D. Dedmon makes 2-pt layup at rim,57,70
226,3,11:02.0,D. Williams makes 3-pt jump shot from 22 ft (assist by R. Gay),,60,70
227,3,10:47.0,,T. Harris makes 2-pt layup at rim (assist by E. Payton),60,72
228,3,10:29.0,Turnover by D. Williams (lost ball; steal by V. Oladipo),,60,72
229,3,10:23.0,,T. Harris makes 2-pt jump shot from 21 ft (assist by V. Oladipo),60,74
230,3,10:03.0,D. Cousins misses 2-pt jump shot from 17 ft,,60,74
231,3,10:03.0,Offensive rebound by R. Gay,,60,74
232,3,10:02.0,R. Gay misses 2-pt tip-in from 1 ft,,60,74
233,3,10:02.0,Offensive rebound by R. Gay,,60,74
234,3,10:01.0,Turnover by R. Gay (lost ball; steal by T. Harris),,60,74
235,3,9:49.0,,V. Oladipo misses 2-pt layup from 1 ft,60,74
236,3,9:47.0,,Offensive rebound by D. Dedmon,60,74
237,3,9:47.0,,D. Dedmon makes 2-pt dunk at rim,60,76
238,3,9:45.0,Sacramento full timeout,,60,76
239,3,9:27.0,D. Williams misses 3-pt jump shot from 26 ft,,60,76
240,3,9:26.0,,Defensive rebound by T. Harris,60,76
241,3,9:14.0,,C. Frye makes 2-pt jump shot from 20 ft (assist by E. Payton),60,78
242,3,8:56.0,R. McCallum makes 3-pt jump shot from 24 ft,,63,78
243,3,8:33.0,,Turnover by D. Dedmon (traveling),63,78
244,3,8:10.0,R. McCallum makes 2-pt layup at rim,,65,78
245,3,7:44.0,,T. Harris misses 2-pt layup from 1 ft (block by D. Cousins),65,78
246,3,7:40.0,Defensive rebound by B. McLemore,,65,78
247,3,7:40.0,Shooting foul by C. Frye (drawn by R. Gay),,65,78
248,3,7:40.0,R. Gay misses free throw 1 of 2,,65,78
249,3,7:40.0,Offensive rebound by Team,,65,78
250,3,7:40.0,R. Gay makes free throw 2 of 2,,66,78
251,3,7:21.0,,C. Frye makes 3-pt jump shot from 25 ft (assist by E. Payton),66,81
252,3,7:00.0,D. Cousins makes 2-pt layup from 1 ft (assist by R. Gay),,68,81
253,3,6:43.0,,V. Oladipo makes 2-pt jump shot from 4 ft,68,83
254,3,6:32.0,R. Gay makes 2-pt dunk at rim (assist by B. McLemore),,70,83
255,3,6:15.0,,V. Oladipo makes 3-pt jump shot from 26 ft,70,86
256,3,6:05.0,D. Cousins makes 2-pt layup from 1 ft,,72,86
257,3,6:05.0,Shooting foul by D. Dedmon (drawn by D. Cousins),,72,86
258,3,6:05.0,O. Casspi enters the game for D. Williams,,72,86
259,3,6:05.0,D. Cousins makes free throw 1 of 1,,73,86
260,3,5:54.0,,T. Harris misses 2-pt jump shot from 6 ft,73,86
261,3,5:53.0,Defensive rebound by B. McLemore,,73,86
262,3,5:48.0,O. Casspi misses 2-pt layup at rim,,73,86
263,3,5:47.0,,Defensive rebound by T. Harris,73,86
264,3,5:38.0,,C. Frye misses 3-pt jump shot from 27 ft,73,86
265,3,5:37.0,Defensive rebound by Team,,73,86
266,3,5:25.0,R. Gay misses 2-pt layup from 4 ft,,73,86
267,3,5:24.0,,Defensive rebound by E. Payton,73,86
268,3,5:18.0,,T. Harris misses 3-pt jump shot from 24 ft,73,86
269,3,5:15.0,Defensive rebound by B. McLemore,,73,86
270,3,5:09.0,R. McCallum misses 3-pt jump shot from 25 ft,,73,86
271,3,5:07.0,Offensive rebound by R. McCallum,,73,86
272,3,5:04.0,R. McCallum misses 2-pt layup at rim (block by C. Frye),,73,86
273,3,5:02.0,,Defensive rebound by D. Dedmon,73,86
274,3,5:01.0,,Orlando full timeout,73,86
275,3,5:01.0,,K. O'Quinn enters the game for C. Frye,73,86
276,3,5:01.0,,A. Nicholson enters the game for D. Dedmon,73,86
277,3,4:43.0,,A. Nicholson makes 3-pt jump shot from 27 ft (assist by E. Payton),73,89
278,3,4:23.0,R. McCallum makes 2-pt jump shot from 5 ft (assist by R. Gay),,75,89
279,3,4:10.0,,Turnover by V. Oladipo (bad pass),75,89
280,3,3:56.0,R. Gay makes 2-pt hook shot from 5 ft,,77,89
281,3,3:41.0,,V. Oladipo misses 2-pt layup at rim,77,89
282,3,3:38.0,Defensive rebound by R. Gay,,77,89
283,3,3:31.0,R. McCallum misses 3-pt jump shot from 22 ft,,77,89
284,3,3:29.0,,Defensive rebound by V. Oladipo,77,89
285,3,3:19.0,,Def 3 sec tech foul by D. Cousins,77,89
286,3,3:19.0,,T. Harris makes technical free throw,77,90
287,3,3:19.0,J. Thompson enters the game for R. McCallum,,77,90
288,3,3:19.0,,B. Gordon enters the game for V. Oladipo,77,90
289,3,3:19.0,A. Miller enters the game for D. Cousins,,77,90
290,3,3:09.0,,A. Nicholson misses 2-pt jump shot from 11 ft,77,90
291,3,3:07.0,Defensive rebound by A. Miller,,77,90
292,3,2:46.0,O. Casspi makes 2-pt layup from 1 ft,,79,90
293,3,2:34.0,,Turnover by A. Nicholson (lost ball; steal by R. Gay),79,90
294,3,2:31.0,R. Gay makes 2-pt dunk at rim,,81,90
295,3,2:18.0,,Personal foul by A. Miller (drawn by E. Payton),81,90
296,3,2:18.0,N. Stauskas enters the game for B. McLemore,,81,90
297,3,2:07.0,,B. Gordon misses 2-pt jump shot from 18 ft,81,90
298,3,2:05.0,Defensive rebound by J. Thompson,,81,90
299,3,1:52.0,Shooting foul by A. Nicholson (drawn by O. Casspi),,81,90
300,3,1:52.0,O. Casspi makes free throw 1 of 2,,82,90
301,3,1:52.0,O. Casspi makes free throw 2 of 2,,83,90
302,3,1:34.0,,T. Harris misses 2-pt layup at rim (block by R. Gay),83,90
303,3,1:31.0,Defensive rebound by J. Thompson,,83,90
304,3,1:27.0,Turnover by R. Gay (bad pass),,83,90
305,3,1:15.0,,K. O'Quinn makes 2-pt jump shot from 9 ft (assist by E. Payton),83,92
306,3,1:04.0,R. Gay makes 3-pt jump shot from 25 ft (assist by A. Miller),,86,92
307,3,0:40.0,,E. Payton misses 2-pt jump shot from 3 ft,86,92
308,3,0:38.0,Defensive rebound by A. Miller,,86,92
309,3,0:30.0,R. Gay misses 3-pt jump shot from 28 ft,,86,92
310,3,0:29.0,,Defensive rebound by K. O'Quinn,86,92
311,3,0:12.0,,Personal foul by A. Miller (drawn by E. Payton),86,92
312,3,0:00.0,,T. Harris misses 3-pt jump shot from 24 ft,86,92
313,3,0:00.0,Defensive rebound by O. Casspi,,86,92
314,4,11:40.0,,B. Gordon makes 3-pt jump shot from 23 ft (assist by V. Oladipo),86,95
315,4,11:23.0,R. Gay makes 2-pt jump shot from 4 ft,,88,95
316,4,11:23.0,Shooting foul by K. O'Quinn (drawn by R. Gay),,88,95
317,4,11:23.0,R. Gay makes free throw 1 of 1,,89,95
318,4,11:11.0,,V. Oladipo makes 2-pt layup at rim,89,97
319,4,10:54.0,O. Casspi makes 3-pt jump shot from 27 ft (assist by A. Miller),,92,97
320,4,10:35.0,,Turnover by V. Oladipo (lost ball; steal by A. Miller),92,97
321,4,10:32.0,D. Cousins enters the game for R. Gay,,92,97
322,4,10:26.0,J. Thompson misses 2-pt jump shot from 7 ft,,92,97
323,4,10:26.0,Offensive rebound by Team,,92,97
324,4,10:11.0,Shooting foul by K. O'Quinn (drawn by D. Cousins),,92,97
325,4,10:11.0,D. Cousins misses free throw 1 of 2,,92,97
326,4,10:11.0,Offensive rebound by Team,,92,97
327,4,10:11.0,,D. Dedmon enters the game for K. O'Quinn,92,97
328,4,10:11.0,D. Cousins makes free throw 2 of 2,,93,97
329,4,9:58.0,,B. Gordon misses 2-pt jump shot from 17 ft (block by D. Cousins),93,97
330,4,9:57.0,Defensive rebound by O. Casspi,,93,97
331,4,9:55.0,Shooting foul by A. Nicholson (drawn by D. Cousins),,93,97
332,4,9:55.0,D. Cousins makes free throw 1 of 2,,94,97
333,4,9:55.0,,E. Payton enters the game for B. Gordon,94,97
334,4,9:55.0,D. Cousins makes free throw 2 of 2,,95,97
335,4,9:31.0,,V. Oladipo misses 2-pt jump shot from 13 ft (block by O. Casspi),95,97
336,4,9:31.0,,Offensive rebound by Team,95,97
337,4,9:31.0,,Turnover by Team (shot clock),95,97
338,4,9:15.0,O. Casspi misses 2-pt jump shot from 4 ft,,95,97
339,4,9:13.0,,Defensive rebound by D. Dedmon,95,97
340,4,9:03.0,,V. Oladipo makes 2-pt layup from 2 ft (assist by E. Payton),95,99
341,4,8:57.0,Turnover by J. Thompson (lost ball; steal by V. Oladipo),,95,99
342,4,8:52.0,,V. Oladipo misses 3-pt jump shot from 22 ft,95,99
343,4,8:50.0,,Offensive rebound by D. Dedmon,95,99
344,4,8:39.0,,Personal foul by O. Casspi (drawn by D. Dedmon),95,99
345,4,8:39.0,Official timeout,,95,99
346,4,8:30.0,,A. Nicholson misses 2-pt hook shot from 7 ft,95,99
347,4,8:29.0,Defensive rebound by Team,,95,99
348,4,8:12.0,Offensive foul by D. Cousins (drawn by D. Dedmon),,95,99
349,4,8:12.0,Turnover by D. Cousins (offensive foul),,95,99
350,4,8:12.0,,C. Frye enters the game for A. Nicholson,95,99
351,4,8:12.0,R. Gay enters the game for O. Casspi,,95,99
352,4,7:54.0,,Offensive foul by A. Gordon (drawn by D. Cousins),95,99
353,4,7:54.0,,Turnover by A. Gordon (offensive foul),95,99
354,4,7:45.0,Offensive foul by R. Gay (drawn by A. Gordon),,95,99
355,4,7:45.0,Turnover by R. Gay (offensive foul),,95,99
356,4,7:27.0,,A. Gordon misses 3-pt jump shot from 26 ft,95,99
357,4,7:26.0,Defensive rebound by D. Cousins,,95,99
358,4,7:11.0,D. Cousins makes 2-pt layup at rim,,97,99
359,4,7:11.0,Shooting foul by D. Dedmon (drawn by D. Cousins),,97,99
360,4,7:11.0,R. McCallum enters the game for A. Miller,,97,99
361,4,7:11.0,,T. Harris enters the game for A. Gordon,97,99
362,4,7:11.0,D. Cousins misses free throw 1 of 1,,97,99
363,4,7:09.0,,Defensive rebound by D. Dedmon,97,99
364,4,6:56.0,,T. Harris misses 2-pt layup from 1 ft,97,99
365,4,6:52.0,,Offensive rebound by T. Harris,97,99
366,4,6:51.0,,Turnover by T. Harris (lost ball; steal by R. Gay),97,99
367,4,6:45.0,N. Stauskas makes 3-pt jump shot from 22 ft (assist by R. McCallum),,100,99
368,4,6:30.0,,E. Payton makes 2-pt jump shot from 7 ft,100,101
369,4,6:06.0,N. Stauskas misses 3-pt jump shot from 26 ft,,100,101
370,4,6:05.0,,Defensive rebound by E. Payton,100,101
371,4,5:53.0,,C. Frye misses 2-pt jump shot from 23 ft,100,101
372,4,5:52.0,Defensive rebound by D. Cousins,,100,101
373,4,5:36.0,Turnover by R. McCallum (bad pass; steal by T. Harris),,100,101
374,4,5:32.0,,V. Oladipo makes 2-pt dunk at rim (assist by T. Harris),100,103
375,4,5:31.0,Sacramento full timeout,,100,103
376,4,5:31.0,A. Miller enters the game for N. Stauskas,,100,103
377,4,5:18.0,D. Cousins misses 2-pt hook shot from 6 ft,,100,103
378,4,5:16.0,,Defensive rebound by C. Frye,100,103
379,4,5:02.0,,E. Payton makes 2-pt layup from 1 ft,100,105
380,4,5:02.0,,Shooting foul by R. McCallum (drawn by E. Payton),100,105
381,4,5:02.0,,E. Payton misses free throw 1 of 1,100,105
382,4,5:00.0,Defensive rebound by D. Cousins,,100,105
383,4,4:44.0,R. Gay misses 2-pt jump shot from 18 ft,,100,105
384,4,4:43.0,,Defensive rebound by C. Frye,100,105
385,4,4:34.0,,Personal foul by A. Miller (drawn by D. Dedmon),100,105
