,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,HOUSTON_ACTION,SAN ANTONIO_SCORE,HOUSTON_SCORE
208,2,0:54.0,Offensive rebound by T. Duncan,,42,45
209,2,0:39.0,K. Leonard makes 2-pt jump shot from 13 ft,,44,45
210,2,0:19.0,,J. Terry makes 3-pt jump shot from 24 ft (assist by J. Harden),44,48
211,2,0:00.0,A. Baynes makes 2-pt jump shot from 9 ft (assist by T. Parker),,46,48
212,3,11:47.0,Personal foul by J. Terry (drawn by T. Parker),,46,48
213,3,11:37.0,Turnover by A. Baynes (lost ball; steal by D. Howard),,46,48
214,3,11:32.0,,J. Harden misses 2-pt layup from 1 ft,46,48
215,3,11:30.0,Defensive rebound by D. Green,,46,48
216,3,11:23.0,Turnover by D. Green (bad pass; steal by T. Ariza),,46,48
217,3,11:03.0,,T. Jones makes 2-pt jump shot from 8 ft,46,50
218,3,10:41.0,T. Duncan makes 2-pt jump shot from 19 ft (assist by D. Green),,48,50
219,3,10:15.0,,T. Jones makes 3-pt jump shot from 26 ft (assist by J. Harden),48,53
220,3,9:55.0,T. Duncan makes 2-pt layup from 1 ft (assist by A. Baynes),,50,53
221,3,9:44.0,,J. Harden misses 2-pt jump shot from 18 ft,50,53
222,3,9:43.0,Defensive rebound by T. Duncan,,50,53
223,3,9:25.0,,Violation by D. Howard (def goaltending),50,53
224,3,9:25.0,T. Parker makes 2-pt jump shot from 7 ft,,52,53
225,3,9:04.0,,T. Jones makes 2-pt hook shot from 8 ft,52,55
226,3,8:52.0,T. Parker misses 2-pt jump shot from 7 ft,,52,55
227,3,8:51.0,Offensive rebound by A. Baynes,,52,55
228,3,8:50.0,A. Baynes makes 2-pt dunk at rim,,54,55
229,3,8:26.0,,T. Jones misses 2-pt layup at rim,54,55
230,3,8:25.0,,Offensive rebound by D. Howard,54,55
231,3,8:24.0,,D. Howard makes 2-pt layup from 2 ft,54,57
232,3,8:15.0,K. Leonard makes 2-pt jump shot from 22 ft,,56,57
233,3,7:57.0,,J. Terry misses 3-pt jump shot from 24 ft,56,57
234,3,7:56.0,Defensive rebound by K. Leonard,,56,57
235,3,7:50.0,D. Green misses 3-pt jump shot from 22 ft,,56,57
236,3,7:49.0,Offensive rebound by T. Duncan,,56,57
237,3,7:49.0,Shooting foul by T. Jones (drawn by T. Duncan),,56,57
238,3,7:49.0,T. Duncan misses free throw 1 of 2,,56,57
239,3,7:49.0,Offensive rebound by Team,,56,57
240,3,7:49.0,T. Duncan makes free throw 2 of 2,,57,57
241,3,7:31.0,,Shooting foul by A. Baynes (drawn by D. Howard),57,57
242,3,7:31.0,,D. Howard makes free throw 1 of 2,57,58
243,3,7:31.0,,D. Howard makes free throw 2 of 2,57,59
244,3,7:17.0,T. Parker misses 2-pt jump shot from 17 ft,,57,59
245,3,7:15.0,,Defensive rebound by D. Howard,57,59
246,3,7:06.0,,J. Harden misses 2-pt layup from 3 ft (block by T. Duncan),57,59
247,3,7:06.0,,Offensive rebound by Team,57,59
248,3,7:01.0,,T. Ariza makes 2-pt layup from 1 ft,57,61
249,3,6:47.0,K. Leonard makes 2-pt jump shot from 14 ft,,59,61
250,3,6:40.0,,Personal foul by A. Baynes (drawn by D. Howard),59,61
251,3,6:40.0,,J. Dorsey enters the game for D. Howard,59,61
252,3,6:40.0,M. Ginóbili enters the game for D. Green,,59,61
253,3,6:40.0,B. Diaw enters the game for A. Baynes,,59,61
254,3,6:33.0,,T. Jones makes 2-pt dunk at rim (assist by J. Harden),59,63
255,3,6:14.0,Shooting foul by J. Dorsey (drawn by T. Duncan),,59,63
256,3,6:14.0,T. Duncan misses free throw 1 of 2,,59,63
257,3,6:14.0,Offensive rebound by Team,,59,63
258,3,6:14.0,T. Duncan makes free throw 2 of 2,,60,63
259,3,6:02.0,,Shooting foul by T. Duncan (drawn by T. Jones),60,63
260,3,6:02.0,,T. Jones misses free throw 1 of 2,60,63
261,3,6:02.0,,Offensive rebound by Team,60,63
262,3,6:02.0,San Antonio full timeout,,60,63
263,3,6:02.0,P. Mills enters the game for T. Parker,,60,63
264,3,6:02.0,,T. Jones makes free throw 2 of 2,60,64
265,3,5:39.0,M. Ginóbili misses 3-pt jump shot from 31 ft,,60,64
266,3,5:39.0,,Defensive rebound by Team,60,64
267,3,5:19.0,,J. Terry misses 3-pt jump shot from 24 ft,60,64
268,3,5:18.0,Defensive rebound by T. Duncan,,60,64
269,3,5:01.0,Personal block foul by J. Dorsey (drawn by M. Ginóbili),,60,64
270,3,5:01.0,,P. Prigioni enters the game for J. Terry,60,64
271,3,4:50.0,K. Leonard makes 2-pt jump shot from 9 ft,,62,64
272,3,4:40.0,,Personal foul by M. Ginóbili (drawn by J. Dorsey),62,64
273,3,4:40.0,,J. Smith enters the game for J. Dorsey,62,64
274,3,4:25.0,,J. Harden misses 3-pt jump shot from 25 ft,62,64
275,3,4:25.0,Defensive rebound by Team,,62,64
276,3,4:25.0,,Loose ball foul by P. Prigioni (drawn by P. Mills),62,64
277,3,4:25.0,P. Mills makes free throw 1 of 2,,63,64
278,3,4:25.0,P. Mills makes free throw 2 of 2,,64,64
279,3,4:24.0,,Personal take foul by B. Diaw (drawn by J. Smith),64,64
280,3,4:24.0,,J. Smith misses free throw 1 of 2,64,64
281,3,4:24.0,,Offensive rebound by Team,64,64
282,3,4:24.0,,J. Smith misses free throw 2 of 2,64,64
283,3,4:22.0,Defensive rebound by Team,,64,64
284,3,4:06.0,Turnover by M. Ginóbili (bad pass; steal by P. Prigioni),,64,64
