,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,SACRAMENTO_ACTION,CHARLOTTE_SCORE,SACRAMENTO_SCORE
117,2,9:06.0,,Offensive rebound by A. Miller,30,36
118,2,9:01.0,,D. Williams misses 3-pt jump shot from 22 ft,30,36
119,2,9:01.0,Defensive rebound by B. Biyombo,,30,36
120,2,8:56.0,G. Henderson makes 2-pt layup from 2 ft (assist by L. Stephenson),,32,36
121,2,8:44.0,,Shooting foul by M. Williams (drawn by N. Stauskas),32,36
122,2,8:44.0,Official timeout,,32,36
123,2,8:44.0,,O. Casspi enters the game for D. Williams,32,36
124,2,8:44.0,C. Zeller enters the game for M. Williams,,32,36
125,2,8:44.0,,N. Stauskas makes free throw 1 of 2,32,37
126,2,8:44.0,,N. Stauskas makes free throw 2 of 2,32,38
127,2,8:29.0,M. Williams misses 2-pt jump shot from 17 ft,,32,38
128,2,8:29.0,,Defensive rebound by R. Evans,32,38
129,2,8:18.0,,R. Evans makes 2-pt layup from 2 ft (assist by A. Miller),32,40
130,2,8:01.0,G. Henderson makes 2-pt jump shot from 16 ft,,34,40
131,2,7:45.0,,C. Landry misses 2-pt jump shot from 18 ft,34,40
132,2,7:45.0,Defensive rebound by B. Biyombo,,34,40
133,2,7:33.0,B. Biyombo makes 2-pt layup from 1 ft (assist by C. Zeller),,36,40
134,2,7:13.0,,R. Evans misses 2-pt jump shot from 3 ft (block by B. Biyombo),36,40
135,2,7:13.0,Defensive rebound by Team,,36,40
136,2,7:13.0,A. Jefferson enters the game for B. Biyombo,,36,40
137,2,7:13.0,,R. Gay enters the game for N. Stauskas,36,40
138,2,7:13.0,,R. McCallum enters the game for A. Miller,36,40
139,2,7:13.0,,B. McLemore enters the game for C. Landry,36,40
140,2,6:59.0,Turnover by G. Henderson (lost ball; steal by B. McLemore),,36,40
141,2,6:50.0,,R. Gay makes 3-pt jump shot from 25 ft,36,43
142,2,6:27.0,A. Jefferson makes 2-pt jump shot from 11 ft,,38,43
143,2,6:17.0,,R. McCallum makes 2-pt jump shot from 8 ft,38,45
144,2,6:07.0,A. Jefferson misses 2-pt jump shot from 7 ft,,38,45
145,2,6:06.0,,Defensive rebound by R. McCallum,38,45
146,2,6:00.0,,R. McCallum misses 2-pt jump shot from 13 ft,38,45
147,2,6:00.0,Defensive rebound by Team,,38,45
148,2,6:00.0,,Loose ball foul by B. McLemore (drawn by G. Henderson),38,45
149,2,6:00.0,K. Walker enters the game for M. Williams,,38,45
150,2,6:00.0,,J. Thompson enters the game for R. Evans,38,45
151,2,5:46.0,G. Henderson makes 2-pt jump shot from 15 ft (assist by L. Stephenson),,40,45
152,2,5:37.0,,O. Casspi makes 2-pt layup from 2 ft,40,47
153,2,5:20.0,Turnover by G. Henderson (step out of bounds),,40,47
154,2,5:20.0,,Sacramento full timeout,40,47
155,2,5:20.0,M. Williams enters the game for C. Zeller,,40,47
156,2,5:08.0,,R. Gay misses 3-pt jump shot from 25 ft,40,47
157,2,5:07.0,Defensive rebound by K. Walker,,40,47
158,2,4:54.0,K. Walker misses 2-pt jump shot from 9 ft (block by J. Thompson),,40,47
159,2,4:53.0,Offensive rebound by G. Henderson,,40,47
160,2,4:44.0,G. Henderson misses 2-pt jump shot from 15 ft,,40,47
161,2,4:44.0,,Defensive rebound by O. Casspi,40,47
162,2,4:35.0,,O. Casspi makes 2-pt jump shot from 6 ft,40,49
163,2,4:19.0,Turnover by L. Stephenson (bad pass),,40,49
164,2,4:19.0,M. Kidd-Gilchrist enters the game for M. Williams,,40,49
165,2,4:03.0,,R. Gay makes 2-pt dunk at rim (assist by B. McLemore),40,51
166,2,3:44.0,K. Walker makes 2-pt jump shot from 18 ft,,42,51
167,2,3:29.0,,R. McCallum misses 2-pt jump shot from 11 ft,42,51
168,2,3:28.0,Defensive rebound by M. Kidd-Gilchrist,,42,51
169,2,3:18.0,K. Walker misses 3-pt jump shot from 25 ft,,42,51
170,2,3:17.0,,Defensive rebound by Team,42,51
171,2,3:17.0,M. Williams enters the game for L. Stephenson,,42,51
172,2,3:05.0,,O. Casspi makes 2-pt layup from 2 ft,42,53
173,2,3:05.0,,Shooting foul by A. Jefferson (drawn by O. Casspi),42,53
174,2,3:05.0,,O. Casspi misses free throw 1 of 1,42,53
175,2,3:04.0,Defensive rebound by A. Jefferson,,42,53
176,2,2:41.0,Personal foul by R. Gay (drawn by G. Henderson),,42,53
177,2,2:41.0,Charlotte full timeout,,42,53
178,2,2:33.0,M. Williams misses 3-pt jump shot from 25 ft,,42,53
179,2,2:32.0,Offensive rebound by G. Henderson,,42,53
180,2,2:22.0,K. Walker misses 2-pt jump shot from 10 ft,,42,53
181,2,2:21.0,,Defensive rebound by J. Thompson,42,53
