,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PORTLAND_ACTION,MEMPHIS_SCORE,PORTLAND_SCORE
126,2,9:29.0,Technical foul by K. Koufos,,30,30
127,2,9:14.0,,W. Matthews misses 3-pt jump shot from 23 ft,30,30
128,2,9:12.0,Defensive rebound by K. Koufos,,30,30
129,2,8:58.0,Shooting foul by A. Crabbe (drawn by Q. Pondexter),,30,30
130,2,8:58.0,Official timeout,,30,30
131,2,8:58.0,Q. Pondexter misses free throw 1 of 2,,30,30
132,2,8:58.0,Offensive rebound by Team,,30,30
133,2,8:58.0,Q. Pondexter misses free throw 2 of 2,,30,30
134,2,8:57.0,,Defensive rebound by C. Kaman,30,30
135,2,8:42.0,,C. Kaman makes 2-pt jump shot from 16 ft (assist by A. Crabbe),30,32
136,2,8:25.0,B. Udrih misses 2-pt jump shot from 21 ft,,30,32
137,2,8:24.0,,Defensive rebound by J. Freeland,30,32
138,2,8:03.0,,C. Kaman misses 2-pt hook shot from 3 ft,30,32
139,2,8:02.0,Defensive rebound by Team,,30,32
140,2,7:49.0,V. Carter makes 2-pt jump shot from 8 ft,,32,32
141,2,7:34.0,,Shooting foul by B. Udrih (drawn by W. Matthews),32,32
142,2,7:34.0,,W. Matthews misses free throw 1 of 2,32,32
143,2,7:34.0,,Offensive rebound by Team,32,32
144,2,7:34.0,,D. Lillard enters the game for S. Blake,32,32
145,2,7:34.0,,N. Batum enters the game for A. Crabbe,32,32
146,2,7:34.0,,W. Matthews makes free throw 2 of 2,32,33
147,2,7:21.0,Turnover by J. Leuer (bad pass; steal by D. Lillard),,32,33
148,2,7:15.0,,D. Lillard misses 2-pt layup from 1 ft (block by K. Koufos),32,33
149,2,7:13.0,Defensive rebound by J. Leuer,,32,33
150,2,7:08.0,V. Carter misses 3-pt jump shot from 23 ft,,32,33
151,2,7:07.0,,Defensive rebound by J. Freeland,32,33
152,2,7:02.0,,R. Lopez enters the game for J. Freeland,32,33
153,2,7:02.0,,W. Barton enters the game for W. Matthews,32,33
154,2,7:02.0,T. Allen enters the game for V. Carter,,32,33
155,2,6:53.0,,W. Barton makes 2-pt jump shot from 20 ft (assist by D. Lillard),32,35
156,2,6:32.0,M. Conley enters the game for B. Udrih,,32,35
157,2,6:29.0,K. Koufos makes 2-pt hook shot from 3 ft (assist by T. Allen),,34,35
158,2,6:03.0,,D. Lillard misses 2-pt jump shot from 21 ft,34,35
159,2,6:02.0,Defensive rebound by Q. Pondexter,,34,35
160,2,5:57.0,J. Leuer makes 2-pt dunk at rim (assist by Q. Pondexter),,36,35
161,2,5:30.0,,C. Kaman misses 2-pt hook shot from 2 ft,36,35
162,2,5:29.0,Defensive rebound by T. Allen,,36,35
163,2,5:22.0,J. Leuer makes 2-pt layup from 1 ft (assist by T. Allen),,38,35
164,2,5:22.0,,Portland full timeout,38,35
165,2,5:22.0,,L. Aldridge enters the game for C. Kaman,38,35
166,2,5:06.0,,D. Lillard makes 2-pt layup from 1 ft (assist by L. Aldridge),38,37
167,2,4:49.0,J. Leuer makes 3-pt jump shot from 24 ft (assist by M. Conley),,41,37
168,2,4:26.0,,L. Aldridge makes 2-pt jump shot from 16 ft,41,39
169,2,4:04.0,J. Leuer misses 2-pt jump shot from 16 ft,,41,39
170,2,4:02.0,,Defensive rebound by N. Batum,41,39
171,2,3:56.0,,R. Lopez misses 2-pt layup from 1 ft (block by K. Koufos),41,39
172,2,3:54.0,Defensive rebound by J. Leuer,,41,39
173,2,3:50.0,T. Allen makes 2-pt layup at rim (assist by Q. Pondexter),,43,39
174,2,3:25.0,,W. Barton misses 3-pt jump shot from 22 ft,43,39
175,2,3:24.0,Defensive rebound by T. Allen,,43,39
176,2,3:11.0,M. Gasol enters the game for K. Koufos,,43,39
177,2,3:11.0,Z. Randolph enters the game for J. Leuer,,43,39
178,2,3:11.0,Memphis full timeout,,43,39
179,2,3:11.0,,W. Matthews enters the game for W. Barton,43,39
