,QUARTER,TIME_REMAINING,BOSTON_ACTION,INDIANA_ACTION,BOSTON_SCORE,INDIANA_SCORE
63,1,3:33.0,,S. Hill misses 2-pt layup from 1 ft (block by K. Olynyk),13,14
64,1,3:31.0,Defensive rebound by J. Crowder,,13,14
65,1,3:26.0,A. Bradley makes 2-pt layup from 2 ft (assist by B. Bass),,15,14
66,1,3:11.0,,Offensive foul by G. Hill (drawn by A. Bradley),15,14
67,1,3:11.0,,Turnover by G. Hill (offensive foul),15,14
68,1,3:11.0,,I. Mahinmi enters the game for R. Hibbert,15,14
69,1,3:11.0,,R. Stuckey enters the game for C. Miles,15,14
70,1,2:58.0,Personal foul by I. Mahinmi (drawn by B. Bass),,15,14
71,1,2:58.0,Boston full timeout,,15,14
72,1,2:58.0,P. Pressey enters the game for E. Turner,,15,14
73,1,2:46.0,A. Bradley misses 2-pt jump shot from 16 ft,,15,14
74,1,2:45.0,,Defensive rebound by I. Mahinmi,15,14
75,1,2:21.0,,G. Hill makes 2-pt jump shot from 19 ft,15,16
76,1,1:57.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by P. Pressey),,18,16
77,1,1:38.0,M. Smart enters the game for A. Bradley,,18,16
78,1,1:38.0,,L. Scola enters the game for D. West,18,16
79,1,1:38.0,,C. Watson enters the game for G. Hill,18,16
80,1,1:32.0,,R. Stuckey misses 3-pt jump shot from 25 ft,18,16
81,1,1:31.0,,Offensive rebound by Team,18,16
82,1,1:31.0,,Turnover by Team (shot clock),18,16
83,1,1:31.0,J. Jerebko enters the game for B. Bass,,18,16
84,1,1:16.0,P. Pressey makes 2-pt jump shot from 20 ft (assist by K. Olynyk),,20,16
85,1,1:00.0,,R. Stuckey makes 2-pt jump shot from 7 ft,20,18
86,1,1:00.0,,Shooting foul by M. Smart (drawn by R. Stuckey),20,18
87,1,1:00.0,,D. Rudež enters the game for S. Hill,20,18
88,1,1:00.0,,R. Stuckey misses free throw 1 of 1,20,18
89,1,1:00.0,Defensive rebound by J. Crowder,,20,18
90,1,0:47.0,P. Pressey misses 2-pt layup from 2 ft,,20,18
91,1,0:46.0,,Defensive rebound by I. Mahinmi,20,18
92,1,0:27.0,,L. Scola misses 2-pt jump shot from 9 ft (block by M. Smart),20,18
93,1,0:25.0,Defensive rebound by J. Crowder,,20,18
94,1,0:06.0,Personal take foul by C. Watson (drawn by P. Pressey),,20,18
95,1,0:01.0,M. Smart misses 3-pt jump shot from 24 ft,,20,18
96,1,0:00.0,,Defensive rebound by L. Scola,20,18
97,2,11:40.0,J. Crowder misses 2-pt jump shot from 12 ft,,20,18
98,2,11:39.0,,Defensive rebound by L. Scola,20,18
99,2,11:33.0,,R. Stuckey misses 2-pt jump shot from 10 ft (block by J. Crowder),20,18
100,2,11:33.0,,Offensive rebound by Team,20,18
101,2,11:30.0,,D. Rudež misses 2-pt jump shot from 18 ft,20,18
102,2,11:29.0,Defensive rebound by K. Olynyk,,20,18
103,2,11:13.0,K. Olynyk misses 3-pt jump shot from 25 ft,,20,18
104,2,11:12.0,,Defensive rebound by L. Scola,20,18
105,2,10:56.0,,L. Scola misses 2-pt jump shot from 19 ft,20,18
106,2,10:55.0,Defensive rebound by L. Datome,,20,18
107,2,10:44.0,P. Pressey misses 3-pt jump shot from 24 ft,,20,18
108,2,10:42.0,Offensive rebound by J. Crowder,,20,18
109,2,10:41.0,Shooting foul by L. Scola (drawn by J. Crowder),,20,18
110,2,10:41.0,J. Crowder makes free throw 1 of 2,,21,18
111,2,10:41.0,T. Zeller enters the game for K. Olynyk,,21,18
112,2,10:41.0,J. Crowder makes free throw 2 of 2,,22,18
113,2,10:24.0,,L. Scola misses 2-pt jump shot from 5 ft,22,18
114,2,10:23.0,Defensive rebound by T. Zeller,,22,18
115,2,10:11.0,J. Jerebko makes 3-pt jump shot from 25 ft (assist by P. Pressey),,25,18
116,2,9:56.0,,C. Watson misses 2-pt jump shot from 20 ft,25,18
117,2,9:55.0,Defensive rebound by J. Jerebko,,25,18
118,2,9:49.0,L. Datome misses 3-pt jump shot from 23 ft,,25,18
119,2,9:48.0,,Defensive rebound by Team,25,18
120,2,9:48.0,Loose ball foul by J. Jerebko (drawn by I. Mahinmi),,25,18
121,2,9:24.0,,D. Rudež misses 3-pt jump shot from 25 ft,25,18
122,2,9:23.0,Defensive rebound by J. Jerebko,,25,18
