,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MILWAUKEE_ACTION,ATLANTA_SCORE,MILWAUKEE_SCORE
362,4,7:07.0,K. Korver misses 3-pt jump shot from 25 ft,,74,73
363,4,7:06.0,Offensive rebound by P. Millsap,,74,73
364,4,6:55.0,P. Millsap makes 2-pt jump shot from 5 ft,,76,73
365,4,6:39.0,,O. Mayo misses 2-pt jump shot from 17 ft,76,73
366,4,6:38.0,Defensive rebound by P. Millsap,,76,73
367,4,6:35.0,P. Antić enters the game for A. Horford,,76,73
368,4,6:35.0,,B. Knight enters the game for O. Mayo,76,73
369,4,6:35.0,T. Sefolosha enters the game for D. Carroll,,76,73
370,4,6:16.0,Turnover by Team (shot clock),,76,73
371,4,6:12.0,,Personal block foul by P. Antić (drawn by J. Bayless),76,73
372,4,5:56.0,,Z. Pachulia makes 2-pt hook shot from 4 ft (assist by K. Middleton),76,75
373,4,5:40.0,Turnover by K. Korver (lost ball; steal by J. Bayless),,76,75
374,4,5:36.0,,Turnover by J. Bayless (bad pass; steal by J. Teague),76,75
375,4,5:35.0,Shooting foul by J. Dudley (drawn by J. Teague),,76,75
376,4,5:35.0,,Milwaukee full timeout,76,75
377,4,5:35.0,J. Teague makes free throw 1 of 2,,77,75
378,4,5:35.0,J. Teague makes free throw 2 of 2,,78,75
379,4,5:17.0,,J. Dudley misses 3-pt jump shot from 23 ft,78,75
380,4,5:15.0,Defensive rebound by T. Sefolosha,,78,75
381,4,5:04.0,J. Teague makes 2-pt jump shot from 5 ft,,80,75
382,4,4:50.0,,J. Bayless misses 2-pt jump shot from 10 ft,80,75
383,4,4:50.0,Defensive rebound by Team,,80,75
384,4,4:50.0,,G. Antetokounmpo enters the game for J. Dudley,80,75
385,4,4:38.0,J. Teague makes 2-pt layup at rim,,82,75
386,4,4:24.0,,K. Middleton misses 3-pt jump shot from 23 ft,82,75
387,4,4:23.0,Defensive rebound by K. Korver,,82,75
388,4,4:06.0,K. Korver misses 2-pt jump shot from 8 ft,,82,75
389,4,4:05.0,,Defensive rebound by Z. Pachulia,82,75
390,4,3:59.0,,B. Knight makes 2-pt layup at rim,82,77
391,4,3:42.0,P. Millsap misses 3-pt jump shot from 24 ft,,82,77
392,4,3:41.0,,Defensive rebound by K. Middleton,82,77
393,4,3:31.0,,B. Knight makes 3-pt jump shot from 26 ft (assist by J. Bayless),82,80
394,4,3:31.0,Atlanta full timeout,,82,80
395,4,3:31.0,D. Carroll enters the game for P. Antić,,82,80
396,4,3:28.0,A. Horford enters the game for T. Sefolosha,,82,80
397,4,3:18.0,,K. Marshall enters the game for Z. Pachulia,82,80
398,4,3:18.0,,J. Henson enters the game for J. Bayless,82,80
399,4,3:16.0,Shooting foul by K. Middleton (drawn by J. Teague),,82,80
400,4,3:16.0,J. Teague makes free throw 1 of 2,,83,80
401,4,3:16.0,J. Teague makes free throw 2 of 2,,84,80
402,4,2:58.0,,B. Knight misses 3-pt jump shot from 23 ft,84,80
403,4,2:57.0,Defensive rebound by A. Horford,,84,80
404,4,2:43.0,A. Horford misses 2-pt jump shot from 15 ft,,84,80
405,4,2:42.0,,Defensive rebound by K. Marshall,84,80
406,4,2:26.0,,B. Knight misses 2-pt layup from 1 ft (block by A. Horford),84,80
407,4,2:23.0,Defensive rebound by J. Teague,,84,80
408,4,2:17.0,Personal block foul by B. Knight (drawn by J. Teague),,84,80
409,4,2:01.0,D. Carroll misses 2-pt jump shot from 13 ft (block by G. Antetokounmpo),,84,80
410,4,1:59.0,,Defensive rebound by J. Henson,84,80
411,4,1:50.0,,Turnover by K. Marshall (bad pass; steal by A. Horford),84,80
412,4,1:45.0,P. Millsap makes 2-pt layup at rim (assist by D. Carroll),,86,80
413,4,1:26.0,,K. Marshall misses 3-pt jump shot from 27 ft,86,80
414,4,1:25.0,Defensive rebound by J. Teague,,86,80
