,QUARTER,TIME_REMAINING,DETROIT_ACTION,NEW ORLEANS_ACTION,DETROIT_SCORE,NEW ORLEANS_SCORE
42,1,6:04.0,,Ö. Aşık misses 2-pt layup from 1 ft,14,6
43,1,6:03.0,Defensive rebound by A. Drummond,,14,6
44,1,5:56.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,14,6
45,1,5:55.0,Offensive rebound by G. Monroe,,14,6
46,1,5:52.0,G. Monroe misses 2-pt jump shot from 3 ft,,14,6
47,1,5:51.0,Offensive rebound by A. Drummond,,14,6
48,1,5:49.0,Turnover by A. Drummond (bad pass),,14,6
49,1,5:42.0,,Personal foul by G. Monroe (drawn by A. Davis),14,6
50,1,5:33.0,,A. Davis misses 2-pt layup from 1 ft,14,6
51,1,5:32.0,Defensive rebound by G. Monroe,,14,6
52,1,5:22.0,Turnover by G. Monroe (bad pass),,14,6
53,1,5:10.0,,A. Davis misses 2-pt layup from 1 ft,14,6
54,1,5:07.0,Defensive rebound by A. Drummond,,14,6
55,1,5:03.0,T. Prince makes 2-pt layup from 1 ft (assist by R. Jackson),,16,6
56,1,4:44.0,,Turnover by T. Evans (bad pass; steal by R. Jackson),16,6
57,1,4:41.0,K. Caldwell-Pope makes 2-pt dunk at rim (assist by R. Jackson),,18,6
58,1,4:41.0,,New Orleans full timeout,18,6
59,1,4:41.0,,A. Ajinça enters the game for Ö. Aşık,18,6
60,1,4:30.0,,A. Ajinça misses 2-pt hook shot from 6 ft (block by A. Drummond),18,6
61,1,4:26.0,,Offensive rebound by A. Davis,18,6
62,1,4:26.0,,A. Davis makes 2-pt layup from 1 ft,18,8
63,1,4:06.0,K. Caldwell-Pope misses 2-pt layup from 2 ft,,18,8
64,1,4:04.0,Offensive rebound by A. Drummond,,18,8
65,1,4:04.0,A. Drummond makes 2-pt layup from 2 ft,,20,8
66,1,3:44.0,,A. Davis makes 2-pt dunk at rim (assist by A. Ajinça),20,10
67,1,3:35.0,T. Prince misses 3-pt jump shot from 24 ft,,20,10
68,1,3:34.0,,Defensive rebound by T. Evans,20,10
69,1,3:22.0,,A. Ajinça misses 2-pt jump shot from 11 ft,20,10
70,1,3:22.0,Defensive rebound by R. Jackson,,20,10
71,1,3:17.0,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by R. Jackson),,22,10
72,1,3:12.0,,New Orleans full timeout,22,10
73,1,3:12.0,,N. Cole enters the game for E. Gordon,22,10
74,1,3:12.0,S. Dinwiddie enters the game for A. Drummond,,22,10
75,1,3:12.0,A. Tolliver enters the game for R. Jackson,,22,10
76,1,2:56.0,,N. Cole misses 3-pt jump shot from 24 ft,22,10
77,1,2:53.0,Defensive rebound by G. Monroe,,22,10
78,1,2:45.0,Personal foul by A. Ajinça (drawn by G. Monroe),,22,10
79,1,2:45.0,,D. Cunningham enters the game for Q. Pondexter,22,10
80,1,2:30.0,K. Caldwell-Pope misses 2-pt jump shot from 21 ft,,22,10
81,1,2:29.0,,Defensive rebound by A. Davis,22,10
82,1,2:25.0,,T. Evans makes 2-pt layup from 1 ft,22,12
83,1,2:25.0,,Shooting foul by A. Tolliver (drawn by T. Evans),22,12
84,1,2:25.0,,T. Evans makes free throw 1 of 1,22,13
85,1,2:09.0,G. Monroe makes 2-pt dunk at rim (assist by K. Caldwell-Pope),,24,13
86,1,1:53.0,,D. Cunningham misses 2-pt layup from 1 ft (block by T. Prince),24,13
87,1,1:51.0,Defensive rebound by K. Caldwell-Pope,,24,13
88,1,1:45.0,K. Caldwell-Pope misses 2-pt layup from 2 ft (block by A. Davis),,24,13
89,1,1:43.0,,Defensive rebound by D. Cunningham,24,13
90,1,1:38.0,,T. Evans misses 3-pt jump shot from 24 ft,24,13
91,1,1:35.0,,Offensive rebound by A. Davis,24,13
92,1,1:35.0,,A. Davis makes 2-pt layup from 1 ft,24,15
93,1,1:25.0,C. Butler enters the game for T. Prince,,24,15
94,1,1:25.0,Personal foul by T. Evans (drawn by K. Caldwell-Pope),,24,15
95,1,1:16.0,A. Tolliver misses 3-pt jump shot from 24 ft,,24,15
96,1,1:15.0,,Defensive rebound by A. Ajinça,24,15
97,1,1:05.0,,D. Cunningham misses 2-pt jump shot from 20 ft,24,15
98,1,1:03.0,Defensive rebound by S. Dinwiddie,,24,15
99,1,0:47.0,K. Caldwell-Pope misses 2-pt layup from 1 ft (block by A. Davis),,24,15
100,1,0:45.0,,Defensive rebound by A. Davis,24,15
101,1,0:26.0,,T. Evans makes 2-pt jump shot from 20 ft,24,17
102,1,0:06.0,Offensive foul by S. Dinwiddie (drawn by N. Cole),,24,17
103,1,0:06.0,Turnover by S. Dinwiddie (offensive foul),,24,17
104,1,0:01.0,,Personal foul by K. Caldwell-Pope (drawn by T. Evans),24,17
105,1,0:00.0,,A. Davis misses 2-pt jump shot from 13 ft,24,17
106,1,0:00.0,,Offensive rebound by Team,24,17
107,2,11:46.0,,A. Ajinça misses 2-pt jump shot from 14 ft,24,17
108,2,11:45.0,,Offensive rebound by D. Cunningham,24,17
109,2,11:41.0,,A. Davis misses 2-pt jump shot from 17 ft,24,17
110,2,11:40.0,,Offensive rebound by D. Cunningham,24,17
111,2,11:34.0,,T. Evans makes 2-pt layup from 1 ft,24,19
112,2,11:25.0,Personal foul by A. Davis (drawn by S. Dinwiddie),,24,19
113,2,11:06.0,Turnover by C. Butler (bad pass),,24,19
114,2,10:55.0,,Shooting foul by C. Butler (drawn by D. Cunningham),24,19
115,2,10:55.0,,D. Cunningham makes free throw 1 of 2,24,20
116,2,10:55.0,,D. Cunningham makes free throw 2 of 2,24,21
117,2,10:35.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,24,21
118,2,10:33.0,Offensive rebound by Team,,24,21
119,2,10:30.0,J. Meeks misses 2-pt jump shot from 8 ft,,24,21
120,2,10:28.0,,Defensive rebound by A. Ajinça,24,21
121,2,10:17.0,,A. Ajinça makes 2-pt jump shot from 6 ft,24,23
122,2,10:10.0,Detroit full timeout,,24,23
123,2,10:08.0,Turnover by A. Tolliver (bad pass; steal by A. Davis),,24,23
124,2,10:04.0,,A. Davis makes 2-pt layup from 1 ft (assist by T. Evans),24,25
125,2,10:04.0,,Shooting foul by A. Tolliver (drawn by A. Davis),24,25
126,2,10:04.0,,A. Davis makes free throw 1 of 1,24,26
127,2,9:40.0,A. Drummond misses 2-pt jump shot from 9 ft,,24,26
128,2,9:38.0,Offensive rebound by A. Drummond,,24,26
129,2,9:36.0,A. Drummond misses 2-pt layup at rim,,24,26
130,2,9:34.0,,Defensive rebound by A. Ajinça,24,26
131,2,9:29.0,,Personal block foul by A. Tolliver (drawn by T. Evans),24,26
132,2,9:29.0,S. Williams enters the game for A. Tolliver,,24,26
133,2,9:16.0,,T. Evans misses 2-pt layup from 1 ft,24,26
134,2,9:15.0,,Offensive rebound by T. Evans,24,26
135,2,9:15.0,,Shooting foul by A. Drummond (drawn by T. Evans),24,26
136,2,9:15.0,,T. Evans makes free throw 1 of 2,24,27
137,2,9:15.0,,L. Babbitt enters the game for A. Davis,24,27
138,2,9:15.0,,T. Evans makes free throw 2 of 2,24,28
139,2,8:59.0,A. Drummond makes 2-pt dunk at rim (assist by S. Dinwiddie),,26,28
140,2,8:43.0,,T. Evans makes 2-pt jump shot from 21 ft,26,30
141,2,8:35.0,Personal foul by T. Evans (drawn by J. Meeks),,26,30
142,2,8:35.0,,E. Gordon enters the game for T. Evans,26,30
143,2,8:32.0,J. Meeks misses 2-pt layup from 1 ft (block by E. Gordon),,26,30
144,2,8:29.0,,Defensive rebound by A. Ajinça,26,30
145,2,8:20.0,,N. Cole misses 2-pt jump shot from 15 ft,26,30
146,2,8:18.0,,Offensive rebound by Team,26,30
147,2,8:09.0,,A. Ajinça misses 2-pt jump shot from 4 ft,26,30
148,2,8:08.0,Defensive rebound by A. Drummond,,26,30
149,2,8:00.0,J. Meeks makes 2-pt jump shot from 14 ft (assist by S. Dinwiddie),,28,30
150,2,8:00.0,Shooting foul by E. Gordon (drawn by J. Meeks),,28,30
151,2,8:00.0,J. Meeks makes free throw 1 of 1,,29,30
152,2,7:41.0,,A. Ajinça makes 2-pt dunk at rim (assist by E. Gordon),29,32
153,2,7:25.0,S. Dinwiddie misses 2-pt layup from 1 ft,,29,32
154,2,7:24.0,,Defensive rebound by Team,29,32
155,2,7:10.0,,Turnover by E. Gordon (lost ball),29,32
156,2,6:55.0,Turnover by J. Meeks (lost ball; steal by E. Gordon),,29,32
157,2,6:45.0,,N. Cole misses 3-pt jump shot from 24 ft,29,32
158,2,6:42.0,Defensive rebound by A. Drummond,,29,32
159,2,6:35.0,S. Williams makes 2-pt layup from 2 ft,,31,32
160,2,6:20.0,,L. Babbitt misses 3-pt jump shot from 24 ft,31,32
161,2,6:19.0,Defensive rebound by A. Drummond,,31,32
162,2,6:12.0,Personal foul by N. Cole (drawn by S. Dinwiddie),,31,32
163,2,6:12.0,,Q. Pondexter enters the game for D. Cunningham,31,32
164,2,6:12.0,,Ö. Aşık enters the game for A. Ajinça,31,32
165,2,6:05.0,J. Meeks makes 2-pt jump shot from 20 ft (assist by S. Dinwiddie),,33,32
166,2,5:48.0,,N. Cole makes 2-pt jump shot from 19 ft,33,34
167,2,5:32.0,Shooting foul by E. Gordon (drawn by J. Meeks),,33,34
168,2,5:32.0,Official timeout,,33,34
169,2,5:32.0,R. Jackson enters the game for S. Dinwiddie,,33,34
170,2,5:32.0,J. Meeks makes free throw 1 of 2,,34,34
171,2,5:32.0,J. Meeks makes free throw 2 of 2,,35,34
172,2,5:19.0,,E. Gordon misses 3-pt jump shot from 25 ft,35,34
173,2,5:17.0,Defensive rebound by C. Butler,,35,34
174,2,5:11.0,Turnover by R. Jackson (bad pass; steal by Ö. Aşık),,35,34
175,2,5:03.0,,N. Cole misses 2-pt jump shot from 20 ft,35,34
176,2,4:59.0,Defensive rebound by A. Drummond,,35,34
177,2,4:45.0,R. Jackson misses 2-pt jump shot from 11 ft,,35,34
178,2,4:44.0,,Defensive rebound by Ö. Aşık,35,34
179,2,4:44.0,,Turnover by Ö. Aşık (bad pass),35,34
180,2,4:44.0,,A. Davis enters the game for L. Babbitt,35,34
181,2,4:44.0,G. Monroe enters the game for S. Williams,,35,34
182,2,4:44.0,T. Prince enters the game for C. Butler,,35,34
183,2,4:28.0,Turnover by G. Monroe (traveling),,35,34
184,2,4:13.0,,E. Gordon misses 2-pt layup from 2 ft,35,34
185,2,4:11.0,,Offensive rebound by Ö. Aşık,35,34
186,2,4:11.0,,Ö. Aşık misses 2-pt tip-in from 1 ft,35,34
187,2,4:08.0,Defensive rebound by R. Jackson,,35,34
188,2,4:03.0,A. Drummond misses 2-pt layup from 2 ft (block by A. Davis),,35,34
189,2,4:03.0,Offensive rebound by Team,,35,34
190,2,4:03.0,,T. Evans enters the game for N. Cole,35,34
191,2,3:51.0,J. Meeks makes 2-pt jump shot from 14 ft (assist by T. Prince),,37,34
192,2,3:38.0,,E. Gordon misses 2-pt jump shot from 3 ft (block by A. Drummond),37,34
193,2,3:33.0,,Offensive rebound by A. Davis,37,34
194,2,3:31.0,,A. Davis makes 2-pt layup from 2 ft,37,36
195,2,3:11.0,T. Prince misses 2-pt jump shot from 13 ft,,37,36
196,2,3:09.0,,Defensive rebound by Ö. Aşık,37,36
197,2,3:03.0,,Shooting foul by A. Drummond (drawn by A. Davis),37,36
198,2,3:03.0,,A. Davis misses free throw 1 of 2,37,36
199,2,3:03.0,,Offensive rebound by Team,37,36
200,2,3:03.0,J. Anthony enters the game for A. Drummond,,37,36
201,2,3:03.0,,A. Davis makes free throw 2 of 2,37,37
202,2,2:50.0,J. Meeks misses 2-pt jump shot from 16 ft,,37,37
203,2,2:49.0,,Defensive rebound by Ö. Aşık,37,37
204,2,2:42.0,,A. Davis makes 2-pt dunk at rim (assist by T. Evans),37,39
205,2,2:30.0,J. Meeks makes 2-pt dunk at rim (assist by R. Jackson),,39,39
206,2,2:19.0,,T. Evans misses 2-pt layup from 2 ft,39,39
207,2,2:18.0,,Offensive rebound by Ö. Aşık,39,39
208,2,2:15.0,,Ö. Aşık misses 2-pt layup from 2 ft,39,39
209,2,2:13.0,,Offensive rebound by A. Davis,39,39
210,2,2:13.0,,A. Davis makes 2-pt tip-in from 1 ft,39,41
211,2,2:03.0,T. Prince makes 2-pt jump shot from 16 ft (assist by J. Meeks),,41,41
212,2,1:46.0,,A. Davis misses 2-pt jump shot from 16 ft,41,41
213,2,1:44.0,Defensive rebound by R. Jackson,,41,41
214,2,1:38.0,J. Meeks makes 3-pt jump shot from 24 ft (assist by R. Jackson),,44,41
215,2,1:18.0,,T. Evans misses 3-pt jump shot from 24 ft,44,41
216,2,1:17.0,Defensive rebound by G. Monroe,,44,41
217,2,1:01.0,J. Meeks misses 3-pt jump shot from 23 ft,,44,41
218,2,1:00.0,Offensive rebound by J. Anthony,,44,41
219,2,0:56.0,J. Meeks misses 2-pt jump shot from 4 ft,,44,41
220,2,0:56.0,,Defensive rebound by Team,44,41
221,2,0:56.0,,New Orleans full timeout,44,41
222,2,0:56.0,,D. Cunningham enters the game for Ö. Aşık,44,41
223,2,0:40.0,,Turnover by E. Gordon (lost ball; steal by J. Meeks),44,41
224,2,0:36.0,T. Prince makes 2-pt layup from 1 ft (assist by R. Jackson),,46,41
225,2,0:22.0,,Shooting foul by J. Anthony (drawn by A. Davis),46,41
226,2,0:22.0,,A. Davis makes free throw 1 of 2,46,42
227,2,0:22.0,K. Caldwell-Pope enters the game for J. Anthony,,46,42
228,2,0:22.0,,N. Cole enters the game for E. Gordon,46,42
229,2,0:22.0,,A. Davis misses free throw 2 of 2,46,42
230,2,0:21.0,Defensive rebound by T. Prince,,46,42
231,2,0:00.0,R. Jackson misses 3-pt jump shot from 25 ft,,46,42
232,2,0:00.0,Offensive rebound by Team,,46,42
233,3,11:48.0,,A. Davis misses 2-pt jump shot from 16 ft,46,42
234,3,11:46.0,Defensive rebound by K. Caldwell-Pope,,46,42
235,3,11:36.0,G. Monroe misses 2-pt hook shot from 13 ft,,46,42
236,3,11:33.0,,Defensive rebound by A. Davis,46,42
237,3,11:31.0,,Personal foul by R. Jackson (drawn by Ö. Aşık),46,42
238,3,11:31.0,A. Tolliver enters the game for A. Drummond,,46,42
239,3,11:13.0,,Q. Pondexter misses 2-pt jump shot from 15 ft,46,42
240,3,11:12.0,Defensive rebound by A. Tolliver,,46,42
241,3,11:06.0,Turnover by R. Jackson (bad pass; steal by A. Davis),,46,42
242,3,11:01.0,,A. Davis makes 2-pt dunk at rim,46,44
243,3,10:45.0,A. Tolliver misses 2-pt layup from 2 ft,,46,44
244,3,10:45.0,Offensive rebound by G. Monroe,,46,44
245,3,10:45.0,G. Monroe misses 2-pt layup from 1 ft,,46,44
246,3,10:43.0,,Defensive rebound by Ö. Aşık,46,44
247,3,10:33.0,,A. Davis makes 2-pt jump shot from 18 ft (assist by E. Gordon),46,46
248,3,10:22.0,Personal foul by E. Gordon (drawn by R. Jackson),,46,46
249,3,10:22.0,A. Drummond enters the game for A. Tolliver,,46,46
250,3,10:09.0,R. Jackson misses 2-pt jump shot from 16 ft,,46,46
251,3,10:08.0,Offensive rebound by A. Drummond,,46,46
252,3,10:06.0,A. Drummond makes 2-pt jump shot from 4 ft,,48,46
253,3,9:52.0,,T. Evans misses 2-pt layup from 1 ft (block by A. Drummond),48,46
254,3,9:49.0,Defensive rebound by G. Monroe,,48,46
255,3,9:48.0,Turnover by G. Monroe (bad pass; steal by T. Evans),,48,46
256,3,9:48.0,,T. Evans misses 2-pt layup from 1 ft,48,46
257,3,9:46.0,Defensive rebound by G. Monroe,,48,46
258,3,9:42.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,48,46
259,3,9:36.0,Offensive rebound by T. Prince,,48,46
260,3,9:31.0,Turnover by T. Prince (bad pass; steal by A. Davis),,48,46
261,3,9:27.0,,Shooting foul by A. Drummond (drawn by A. Davis),48,46
262,3,9:27.0,,A. Davis makes free throw 1 of 2,48,47
263,3,9:27.0,,A. Davis makes free throw 2 of 2,48,48
264,3,9:09.0,Turnover by G. Monroe (traveling),,48,48
265,3,8:58.0,,T. Evans makes 2-pt layup from 2 ft,48,50
266,3,8:31.0,Turnover by R. Jackson (lost ball; steal by Q. Pondexter),,48,50
267,3,8:26.0,,A. Davis makes 2-pt dunk at rim (assist by T. Evans),48,52
268,3,8:26.0,Detroit full timeout,,48,52
269,3,8:12.0,G. Monroe misses 2-pt layup from 2 ft (block by A. Davis),,48,52
270,3,8:12.0,Offensive rebound by G. Monroe,,48,52
271,3,8:03.0,A. Drummond misses 2-pt hook shot from 7 ft,,48,52
272,3,8:01.0,Offensive rebound by G. Monroe,,48,52
273,3,7:58.0,G. Monroe misses 2-pt layup from 2 ft (block by E. Gordon),,48,52
274,3,7:52.0,,Defensive rebound by A. Davis,48,52
275,3,7:36.0,,A. Davis misses 2-pt jump shot from 16 ft,48,52
276,3,7:34.0,,Offensive rebound by Ö. Aşık,48,52
277,3,7:23.0,,T. Evans misses 2-pt jump shot from 16 ft,48,52
278,3,7:22.0,Defensive rebound by A. Drummond,,48,52
279,3,7:12.0,A. Drummond makes 2-pt layup from 1 ft (assist by G. Monroe),,50,52
280,3,6:54.0,,A. Davis misses 2-pt layup from 1 ft (block by A. Drummond),50,52
281,3,6:52.0,,Offensive rebound by Q. Pondexter,50,52
282,3,6:45.0,,Turnover by Team (shot clock),50,52
283,3,6:35.0,R. Jackson misses 2-pt jump shot from 17 ft,,50,52
284,3,6:34.0,,Defensive rebound by Ö. Aşık,50,52
285,3,6:22.0,,Ö. Aşık misses 2-pt layup from 1 ft,50,52
286,3,6:21.0,Defensive rebound by G. Monroe,,50,52
287,3,6:17.0,Shooting foul by Q. Pondexter (drawn by A. Drummond),,50,52
288,3,6:17.0,A. Drummond misses free throw 1 of 2,,50,52
289,3,6:17.0,Offensive rebound by Team,,50,52
290,3,6:17.0,A. Drummond makes free throw 2 of 2,,51,52
291,3,6:01.0,,A. Davis makes 2-pt jump shot from 13 ft,51,54
292,3,5:43.0,G. Monroe makes 2-pt layup from 2 ft (assist by R. Jackson),,53,54
293,3,5:24.0,,A. Davis misses 2-pt jump shot from 12 ft,53,54
294,3,5:23.0,Defensive rebound by G. Monroe,,53,54
295,3,5:16.0,A. Drummond makes 2-pt dunk at rim (assist by R. Jackson),,55,54
296,3,4:49.0,,T. Evans makes 2-pt layup from 2 ft,55,56
297,3,4:32.0,K. Caldwell-Pope misses 2-pt jump shot from 21 ft,,55,56
298,3,4:31.0,,Defensive rebound by Ö. Aşık,55,56
299,3,4:10.0,,T. Evans misses 3-pt jump shot from 25 ft,55,56
300,3,4:09.0,Defensive rebound by A. Drummond,,55,56
301,3,3:58.0,Personal foul by E. Gordon (drawn by G. Monroe),,55,56
302,3,3:58.0,,N. Cole enters the game for Q. Pondexter,55,56
303,3,3:58.0,,A. Ajinça enters the game for Ö. Aşık,55,56
304,3,3:58.0,,D. Cunningham enters the game for E. Gordon,55,56
305,3,3:58.0,A. Tolliver enters the game for T. Prince,,55,56
306,3,3:58.0,J. Meeks enters the game for G. Monroe,,55,56
307,3,3:52.0,R. Jackson makes 2-pt jump shot from 4 ft,,57,56
308,3,3:31.0,,D. Cunningham misses 2-pt jump shot from 20 ft,57,56
309,3,3:30.0,,Offensive rebound by A. Ajinça,57,56
310,3,3:18.0,,Turnover by N. Cole (bad pass; steal by A. Drummond),57,56
311,3,3:11.0,R. Jackson misses 2-pt layup from 2 ft (block by A. Davis),,57,56
312,3,3:08.0,,Defensive rebound by D. Cunningham,57,56
313,3,2:58.0,,Turnover by T. Evans (bad pass),57,56
314,3,2:58.0,,New Orleans full timeout,57,56
315,3,2:44.0,R. Jackson misses 2-pt layup from 1 ft (block by A. Ajinça),,57,56
316,3,2:44.0,Offensive rebound by Team,,57,56
317,3,2:44.0,C. Butler enters the game for K. Caldwell-Pope,,57,56
318,3,2:34.0,J. Meeks makes 2-pt jump shot from 3 ft (assist by R. Jackson),,59,56
319,3,2:18.0,,A. Davis makes 2-pt jump shot from 14 ft (assist by T. Evans),59,58
320,3,2:06.0,A. Tolliver misses 3-pt jump shot from 25 ft,,59,58
321,3,2:05.0,,Defensive rebound by A. Ajinça,59,58
322,3,1:52.0,,A. Ajinça misses 2-pt jump shot from 17 ft,59,58
323,3,1:51.0,Defensive rebound by A. Drummond,,59,58
324,3,1:41.0,,Violation by A. Ajinça (kicked ball),59,58
325,3,1:41.0,S. Dinwiddie enters the game for R. Jackson,,59,58
326,3,1:33.0,A. Tolliver misses 3-pt jump shot from 26 ft,,59,58
327,3,1:31.0,,Defensive rebound by A. Ajinça,59,58
328,3,1:25.0,,T. Evans misses 2-pt layup from 2 ft,59,58
329,3,1:23.0,,Offensive rebound by A. Ajinça,59,58
330,3,1:23.0,,A. Ajinça makes 2-pt dunk at rim,59,60
331,3,1:13.0,J. Meeks misses 2-pt jump shot from 20 ft,,59,60
332,3,1:09.0,Offensive rebound by A. Tolliver,,59,60
333,3,1:09.0,A. Tolliver makes 2-pt dunk at rim,,61,60
334,3,0:52.0,,T. Evans makes 3-pt jump shot from 23 ft (assist by N. Cole),61,63
335,3,0:38.0,Turnover by J. Meeks (lost ball),,61,63
336,3,0:22.0,,A. Ajinça makes 2-pt dunk at rim (assist by T. Evans),61,65
337,3,0:08.0,Personal take foul by N. Cole (drawn by S. Dinwiddie),,61,65
338,3,0:04.0,S. Dinwiddie makes 2-pt layup from 1 ft,,63,65
339,3,0:02.0,,Personal foul by A. Drummond (drawn by T. Evans),63,65
340,3,0:02.0,G. Monroe enters the game for A. Drummond,,63,65
341,3,0:00.0,,N. Cole misses 3-pt jump shot from 23 ft,63,65
342,3,0:00.0,,Offensive rebound by Team,63,65
343,4,11:39.0,Turnover by A. Tolliver (bad pass),,63,65
344,4,11:26.0,,D. Cunningham makes 2-pt jump shot from 14 ft (assist by A. Davis),63,67
345,4,11:14.0,S. Dinwiddie misses 2-pt jump shot from 11 ft,,63,67
346,4,11:13.0,,Defensive rebound by Team,63,67
347,4,10:56.0,,A. Davis makes 2-pt jump shot from 11 ft,63,69
348,4,10:37.0,A. Tolliver makes 3-pt jump shot from 25 ft (assist by C. Butler),,66,69
349,4,10:17.0,,A. Ajinça makes 2-pt dunk at rim (assist by N. Cole),66,71
350,4,10:01.0,G. Monroe makes 2-pt hook shot from 4 ft,,68,71
351,4,9:41.0,,Q. Pondexter makes 2-pt jump shot from 5 ft (assist by A. Davis),68,73
352,4,9:41.0,Detroit full timeout,,68,73
353,4,9:24.0,J. Meeks makes 2-pt jump shot from 17 ft (assist by S. Dinwiddie),,70,73
354,4,9:06.0,,Turnover by A. Davis (lost ball),70,73
355,4,8:40.0,S. Dinwiddie misses 3-pt jump shot from 22 ft,,70,73
356,4,8:39.0,,Defensive rebound by A. Davis,70,73
357,4,8:33.0,,Turnover by N. Cole (bad pass; steal by J. Meeks),70,73
358,4,8:27.0,G. Monroe misses 2-pt layup from 2 ft (block by A. Davis),,70,73
359,4,8:27.0,,Defensive rebound by A. Davis,70,73
360,4,8:27.0,,Personal foul by G. Monroe (drawn by A. Davis),70,73
361,4,8:27.0,,L. Babbitt enters the game for A. Davis,70,73
362,4,8:27.0,T. Prince enters the game for A. Tolliver,,70,73
363,4,8:15.0,,Turnover by A. Ajinça (lost ball),70,73
364,4,8:15.0,R. Jackson enters the game for S. Dinwiddie,,70,73
365,4,8:06.0,Personal foul by A. Ajinça (drawn by G. Monroe),,70,73
366,4,7:57.0,Shooting foul by A. Ajinça (drawn by G. Monroe),,70,73
367,4,7:57.0,G. Monroe makes free throw 1 of 2,,71,73
368,4,7:57.0,G. Monroe misses free throw 2 of 2,,71,73
369,4,7:56.0,,Defensive rebound by A. Ajinça,71,73
370,4,7:37.0,,D. Cunningham misses 2-pt jump shot from 16 ft,71,73
371,4,7:36.0,Defensive rebound by T. Prince,,71,73
372,4,7:27.0,C. Butler misses 2-pt layup from 1 ft,,71,73
373,4,7:24.0,Offensive rebound by T. Prince,,71,73
374,4,7:11.0,G. Monroe misses 2-pt layup at rim,,71,73
375,4,7:10.0,Offensive rebound by T. Prince,,71,73
376,4,7:10.0,Turnover by Team (shot clock),,71,73
377,4,6:51.0,,Turnover by D. Cunningham (bad pass; steal by T. Prince),71,73
378,4,6:48.0,Offensive foul by G. Monroe (drawn by Q. Pondexter),,71,73
379,4,6:48.0,Turnover by G. Monroe (offensive foul),,71,73
380,4,6:48.0,,E. Gordon enters the game for D. Cunningham,71,73
