,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,LA CLIPPERS_ACTION,CHARLOTTE_SCORE,LA CLIPPERS_SCORE
38,1,6:32.0,A. Jefferson makes 2-pt jump shot from 17 ft (assist by M. Williams),,11,7
39,1,6:17.0,,C. Paul makes 2-pt jump shot from 20 ft (assist by B. Griffin),11,9
40,1,5:52.0,M. Williams makes 2-pt jump shot from 9 ft,,13,9
41,1,5:40.0,,Personal foul by M. Williams (drawn by B. Griffin),13,9
42,1,5:40.0,,LA Clippers full timeout,13,9
43,1,5:40.0,J. Maxiell enters the game for M. Williams,,13,9
44,1,5:27.0,,J. Redick makes 2-pt jump shot from 21 ft (assist by D. Jordan),13,11
45,1,5:12.0,M. Williams makes 2-pt jump shot from 14 ft,,15,11
46,1,5:01.0,,Personal foul by G. Henderson (drawn by J. Redick),15,11
47,1,5:01.0,K. Walker enters the game for G. Henderson,,15,11
48,1,4:54.0,,J. Redick makes 2-pt jump shot from 18 ft (assist by D. Jordan),15,13
49,1,4:34.0,A. Jefferson misses 2-pt jump shot from 7 ft,,15,13
50,1,4:33.0,Offensive rebound by M. Kidd-Gilchrist,,15,13
51,1,4:28.0,K. Walker misses 2-pt layup from 2 ft,,15,13
52,1,4:26.0,,Defensive rebound by H. Türkoğlu,15,13
53,1,4:19.0,,C. Paul misses 2-pt jump shot from 17 ft,15,13
54,1,4:16.0,,Offensive rebound by D. Jordan,15,13
55,1,4:15.0,,D. Jordan misses 2-pt layup from 1 ft,15,13
56,1,4:15.0,,Offensive rebound by D. Jordan,15,13
57,1,4:15.0,,Shooting foul by A. Jefferson (drawn by D. Jordan),15,13
58,1,4:15.0,,D. Jordan makes free throw 1 of 2,15,14
59,1,4:15.0,,A. Rivers enters the game for H. Türkoğlu,15,14
60,1,4:15.0,,D. Jordan misses free throw 2 of 2,15,14
61,1,4:14.0,Defensive rebound by M. Williams,,15,14
62,1,3:58.0,Turnover by A. Jefferson (lost ball; steal by C. Paul),,15,14
63,1,3:54.0,,A. Rivers misses 2-pt layup from 1 ft (block by M. Kidd-Gilchrist),15,14
64,1,3:49.0,,Offensive rebound by J. Redick,15,14
65,1,3:49.0,,J. Redick makes 2-pt layup at rim,15,16
66,1,3:37.0,Turnover by K. Walker (bad pass; steal by B. Griffin),,15,16
67,1,3:30.0,,J. Redick misses 3-pt jump shot from 24 ft,15,16
68,1,3:28.0,Defensive rebound by K. Walker,,15,16
69,1,3:10.0,A. Jefferson makes 2-pt hook shot from 8 ft (assist by M. Williams),,17,16
70,1,2:50.0,,B. Griffin makes 2-pt jump shot from 4 ft (assist by C. Paul),17,18
71,1,2:27.0,M. Kidd-Gilchrist misses 2-pt jump shot from 16 ft,,17,18
72,1,2:26.0,,Defensive rebound by Team,17,18
73,1,2:26.0,Charlotte full timeout,,17,18
74,1,2:26.0,,N. Robinson enters the game for J. Redick,17,18
75,1,2:26.0,B. Biyombo enters the game for A. Jefferson,,17,18
76,1,2:12.0,,B. Griffin makes 2-pt hook shot from 3 ft,17,20
77,1,2:09.0,Turnover by J. Maxiell (bad pass),,17,20
78,1,2:09.0,L. Stephenson enters the game for M. Williams,,17,20
79,1,2:03.0,,D. Jordan misses 2-pt layup at rim,17,20
80,1,2:01.0,Defensive rebound by B. Biyombo,,17,20
81,1,1:44.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by D. Jordan),,17,20
82,1,1:38.0,,N. Robinson makes 3-pt jump shot from 24 ft (assist by C. Paul),17,23
83,1,1:22.0,M. Kidd-Gilchrist misses 2-pt jump shot from 16 ft,,17,23
84,1,1:21.0,,Defensive rebound by B. Griffin,17,23
85,1,1:12.0,,D. Jordan makes 2-pt hook shot from 4 ft (assist by C. Paul),17,25
86,1,0:54.0,Turnover by J. Maxiell (bad pass; steal by C. Paul),,17,25
87,1,0:50.0,,B. Griffin makes 2-pt layup at rim (assist by C. Paul),17,27
88,1,0:50.0,,Shooting foul by M. Kidd-Gilchrist (drawn by B. Griffin),17,27
89,1,0:50.0,,D. Jones enters the game for C. Paul,17,27
90,1,0:50.0,,B. Griffin makes free throw 1 of 1,17,28
91,1,0:27.0,L. Stephenson misses 3-pt jump shot from 25 ft,,17,28
92,1,0:27.0,Offensive rebound by Team,,17,28
93,1,0:27.0,,Loose ball foul by N. Robinson (drawn by J. Maxiell),17,28
94,1,0:27.0,,G. Davis enters the game for B. Griffin,17,28
95,1,0:20.0,K. Walker makes 3-pt jump shot from 24 ft (assist by L. Stephenson),,20,28
96,1,0:07.0,,Offensive foul by G. Davis (drawn by L. Stephenson),20,28
97,1,0:07.0,,Turnover by G. Davis (offensive foul),20,28
98,1,0:01.0,K. Walker misses 3-pt jump shot from 25 ft,,20,28
99,1,0:00.0,Offensive rebound by Team,,20,28
100,2,11:41.0,K. Walker makes 2-pt jump shot from 17 ft (assist by J. Maxiell),,22,28
101,2,11:15.0,,N. Robinson misses 2-pt jump shot from 18 ft,22,28
102,2,11:12.0,Defensive rebound by B. Biyombo,,22,28
103,2,11:07.0,Turnover by K. Walker (offensive foul),,22,28
104,2,11:07.0,Offensive foul by K. Walker (drawn by N. Robinson),,22,28
105,2,10:57.0,,A. Rivers misses 2-pt layup from 1 ft (block by B. Biyombo),22,28
106,2,10:55.0,Defensive rebound by Team,,22,28
107,2,10:46.0,Turnover by L. Stephenson (lost ball; steal by G. Davis),,22,28
108,2,10:30.0,,Turnover by A. Rivers (lost ball; steal by L. Stephenson),22,28
109,2,10:24.0,L. Stephenson misses 2-pt jump shot from 14 ft,,22,28
110,2,10:22.0,Offensive rebound by J. Maxiell,,22,28
111,2,10:22.0,J. Maxiell misses 2-pt tip-in at rim,,22,28
112,2,10:20.0,Offensive rebound by B. Biyombo,,22,28
113,2,10:20.0,,Loose ball foul by S. Hawes (drawn by B. Biyombo),22,28
114,2,10:20.0,B. Biyombo makes free throw 1 of 2,,23,28
115,2,10:20.0,B. Biyombo makes free throw 2 of 2,,24,28
116,2,10:02.0,,S. Hawes misses 2-pt hook shot from 4 ft,24,28
117,2,10:00.0,Defensive rebound by B. Biyombo,,24,28
118,2,9:55.0,G. Henderson misses 2-pt jump shot from 16 ft,,24,28
119,2,9:53.0,,Defensive rebound by D. Jones,24,28
120,2,9:44.0,,N. Robinson misses 2-pt jump shot from 18 ft,24,28
121,2,9:43.0,Defensive rebound by L. Stephenson,,24,28
122,2,9:32.0,L. Stephenson misses 2-pt jump shot from 6 ft,,24,28
123,2,9:30.0,,Defensive rebound by S. Hawes,24,28
124,2,9:17.0,,G. Davis makes 2-pt layup from 1 ft (assist by N. Robinson),24,30
125,2,9:08.0,Personal foul by S. Hawes (drawn by J. Maxiell),,24,30
126,2,9:08.0,,J. Redick enters the game for D. Jones,24,30
127,2,8:52.0,Personal foul by N. Robinson (drawn by G. Henderson),,24,30
128,2,8:52.0,Official timeout,,24,30
129,2,8:47.0,K. Walker misses 3-pt jump shot from 25 ft,,24,30
130,2,8:46.0,,Defensive rebound by J. Redick,24,30
131,2,8:36.0,,N. Robinson makes 3-pt jump shot from 25 ft (assist by G. Davis),24,33
132,2,8:18.0,G. Henderson makes 2-pt jump shot from 12 ft,,26,33
133,2,8:10.0,,N. Robinson makes 2-pt jump shot from 20 ft,26,35
134,2,7:49.0,B. Biyombo misses 2-pt jump shot from 3 ft (block by G. Davis),,26,35
135,2,7:47.0,,Defensive rebound by S. Hawes,26,35
136,2,7:39.0,,N. Robinson misses 3-pt jump shot from 25 ft,26,35
137,2,7:37.0,Defensive rebound by B. Biyombo,,26,35
138,2,7:16.0,G. Henderson misses 2-pt jump shot from 16 ft,,26,35
139,2,7:15.0,,Defensive rebound by S. Hawes,26,35
140,2,7:05.0,,S. Hawes makes 3-pt jump shot from 24 ft (assist by J. Redick),26,38
141,2,6:53.0,Charlotte full timeout,,26,38
142,2,6:53.0,M. Williams enters the game for J. Maxiell,,26,38
143,2,6:53.0,A. Jefferson enters the game for B. Biyombo,,26,38
144,2,6:33.0,M. Williams misses 2-pt jump shot from 10 ft,,26,38
145,2,6:31.0,,Defensive rebound by G. Davis,26,38
146,2,6:24.0,,N. Robinson misses 2-pt jump shot from 11 ft,26,38
147,2,6:22.0,Defensive rebound by K. Walker,,26,38
148,2,6:16.0,Shooting foul by G. Davis (drawn by G. Henderson),,26,38
149,2,6:16.0,G. Henderson makes free throw 1 of 2,,27,38
150,2,6:16.0,G. Henderson misses free throw 2 of 2,,27,38
151,2,6:15.0,,Defensive rebound by G. Davis,27,38
152,2,6:02.0,,J. Redick makes 2-pt jump shot from 11 ft (assist by G. Davis),27,40
153,2,5:43.0,A. Jefferson misses 2-pt layup from 2 ft,,27,40
154,2,5:42.0,,Defensive rebound by S. Hawes,27,40
155,2,5:30.0,,S. Hawes misses 3-pt jump shot from 25 ft,27,40
156,2,5:29.0,Defensive rebound by L. Stephenson,,27,40
157,2,5:23.0,Personal foul by S. Hawes (drawn by K. Walker),,27,40
158,2,5:23.0,K. Walker makes free throw 1 of 2,,28,40
159,2,5:23.0,,D. Jordan enters the game for S. Hawes,28,40
160,2,5:23.0,,B. Griffin enters the game for G. Davis,28,40
161,2,5:23.0,,C. Paul enters the game for A. Rivers,28,40
162,2,5:23.0,M. Kidd-Gilchrist enters the game for G. Henderson,,28,40
163,2,5:23.0,,H. Türkoğlu enters the game for N. Robinson,28,40
164,2,5:23.0,K. Walker makes free throw 2 of 2,,29,40
165,2,5:15.0,,Offensive foul by D. Jordan (drawn by K. Walker),29,40
166,2,5:15.0,,Turnover by D. Jordan (offensive foul),29,40
167,2,5:15.0,M. Williams enters the game for K. Walker,,29,40
168,2,4:55.0,A. Jefferson misses 2-pt jump shot from 9 ft,,29,40
169,2,4:54.0,,Defensive rebound by D. Jordan,29,40
170,2,4:43.0,,B. Griffin misses 2-pt hook shot from 4 ft,29,40
171,2,4:40.0,,Offensive rebound by B. Griffin,29,40
172,2,4:35.0,,B. Griffin makes 2-pt layup from 1 ft,29,42
173,2,4:22.0,M. Williams makes 3-pt jump shot from 25 ft (assist by M. Williams),,32,42
174,2,4:12.0,,H. Türkoğlu makes 3-pt jump shot from 24 ft (assist by C. Paul),32,45
175,2,3:52.0,M. Williams misses 2-pt layup from 1 ft (block by H. Türkoğlu),,32,45
176,2,3:52.0,Offensive rebound by Team,,32,45
177,2,3:52.0,G. Henderson enters the game for L. Stephenson,,32,45
178,2,3:47.0,M. Kidd-Gilchrist misses 2-pt layup at rim,,32,45
179,2,3:46.0,,Defensive rebound by B. Griffin,32,45
180,2,3:32.0,,Shooting foul by A. Jefferson (drawn by D. Jordan),32,45
181,2,3:32.0,,D. Jordan misses free throw 1 of 2,32,45
182,2,3:32.0,,Offensive rebound by Team,32,45
183,2,3:32.0,J. Maxiell enters the game for M. Williams,,32,45
184,2,3:32.0,,D. Jordan makes free throw 2 of 2,32,46
185,2,3:11.0,Shooting foul by H. Türkoğlu (drawn by G. Henderson),,32,46
186,2,3:11.0,G. Henderson makes free throw 1 of 2,,33,46
187,2,3:11.0,G. Henderson misses free throw 2 of 2,,33,46
188,2,3:10.0,,Defensive rebound by J. Redick,33,46
189,2,3:01.0,,B. Griffin makes 2-pt dunk at rim (assist by C. Paul),33,48
190,2,2:40.0,A. Jefferson makes 2-pt layup from 2 ft (assist by M. Williams),,35,48
191,2,2:27.0,,C. Paul makes 3-pt jump shot from 22 ft (assist by J. Redick),35,51
192,2,2:07.0,M. Williams misses 2-pt jump shot from 13 ft,,35,51
193,2,2:05.0,,Defensive rebound by B. Griffin,35,51
194,2,1:56.0,,C. Paul misses 2-pt jump shot from 12 ft,35,51
195,2,1:54.0,,Offensive rebound by D. Jordan,35,51
196,2,1:54.0,,D. Jordan makes 2-pt tip-in from 1 ft,35,53
197,2,1:37.0,A. Jefferson makes 2-pt jump shot from 5 ft (assist by M. Williams),,37,53
198,2,1:23.0,,J. Redick makes 2-pt jump shot from 17 ft (assist by C. Paul),37,55
199,2,1:05.0,Shooting foul by H. Türkoğlu (drawn by M. Kidd-Gilchrist),,37,55
200,2,1:05.0,,LA Clippers full timeout,37,55
201,2,1:05.0,K. Walker enters the game for A. Jefferson,,37,55
202,2,1:05.0,B. Biyombo enters the game for G. Henderson,,37,55
203,2,1:05.0,M. Kidd-Gilchrist makes free throw 1 of 2,,38,55
204,2,1:05.0,M. Kidd-Gilchrist makes free throw 2 of 2,,39,55
205,2,0:52.0,,B. Griffin makes 2-pt jump shot from 16 ft (assist by H. Türkoğlu),39,57
206,2,0:46.0,M. Williams makes 2-pt layup from 1 ft,,41,57
207,2,0:30.0,,C. Paul makes 2-pt jump shot from 9 ft,41,59
208,2,0:17.0,Turnover by M. Williams (bad pass; steal by B. Griffin),,41,59
209,2,0:14.0,,Personal foul by M. Williams (drawn by B. Griffin),41,59
210,2,0:04.0,,J. Redick misses 3-pt jump shot from 24 ft,41,59
211,2,0:02.0,Defensive rebound by B. Biyombo,,41,59
212,3,11:42.0,M. Williams misses 3-pt jump shot from 24 ft,,41,59
213,3,11:39.0,,Defensive rebound by C. Paul,41,59
214,3,11:27.0,,Shooting foul by A. Jefferson (drawn by D. Jordan),41,59
215,3,11:27.0,,D. Jordan misses free throw 1 of 2,41,59
216,3,11:27.0,,Offensive rebound by Team,41,59
217,3,11:27.0,,D. Jordan makes free throw 2 of 2,41,60
218,3,11:12.0,A. Jefferson misses 2-pt layup from 2 ft,,41,60
219,3,11:11.0,,Defensive rebound by D. Jordan,41,60
220,3,11:01.0,,H. Türkoğlu misses 3-pt jump shot from 23 ft,41,60
221,3,11:00.0,Defensive rebound by Team,,41,60
222,3,11:00.0,,Loose ball foul by H. Türkoğlu (drawn by M. Williams),41,60
223,3,11:00.0,,Violation by Team (delay of game),41,60
224,3,10:37.0,M. Kidd-Gilchrist misses 2-pt jump shot from 7 ft,,41,60
225,3,10:36.0,,Defensive rebound by D. Jordan,41,60
226,3,10:30.0,,Turnover by B. Griffin (offensive foul),41,60
227,3,10:30.0,,Offensive foul by B. Griffin (drawn by M. Kidd-Gilchrist),41,60
228,3,10:12.0,M. Williams misses 2-pt jump shot from 20 ft,,41,60
229,3,10:10.0,,Defensive rebound by C. Paul,41,60
230,3,10:04.0,,C. Paul makes 3-pt jump shot from 25 ft (assist by J. Redick),41,63
231,3,9:46.0,A. Jefferson misses 2-pt jump shot from 17 ft,,41,63
232,3,9:46.0,,Defensive rebound by D. Jordan,41,63
233,3,9:37.0,,H. Türkoğlu misses 3-pt jump shot from 24 ft,41,63
234,3,9:36.0,Defensive rebound by M. Williams,,41,63
235,3,9:27.0,M. Williams makes 2-pt layup from 1 ft (assist by M. Williams),,43,63
236,3,9:08.0,,Turnover by C. Paul (traveling),43,63
237,3,8:49.0,M. Williams makes 2-pt jump shot from 22 ft (assist by M. Williams),,45,63
238,3,8:30.0,,J. Redick makes 2-pt jump shot from 17 ft (assist by B. Griffin),45,65
239,3,8:13.0,A. Jefferson makes 2-pt jump shot from 7 ft (assist by G. Henderson),,47,65
240,3,7:59.0,,Turnover by J. Redick (lost ball; steal by G. Henderson),47,65
241,3,7:44.0,M. Williams misses 2-pt jump shot from 13 ft,,47,65
242,3,7:43.0,,Defensive rebound by H. Türkoğlu,47,65
243,3,7:40.0,,Turnover by H. Türkoğlu (bad pass),47,65
244,3,7:23.0,Shooting foul by D. Jordan (drawn by A. Jefferson),,47,65
245,3,7:23.0,A. Jefferson makes free throw 1 of 2,,48,65
246,3,7:23.0,A. Jefferson misses free throw 2 of 2,,48,65
247,3,7:21.0,,Defensive rebound by B. Griffin,48,65
248,3,7:14.0,,Turnover by C. Paul (bad pass),48,65
249,3,6:53.0,A. Jefferson makes 2-pt hook shot from 5 ft,,50,65
250,3,6:52.0,,LA Clippers full timeout,50,65
251,3,6:33.0,,C. Paul makes 3-pt jump shot from 25 ft,50,68
252,3,6:14.0,M. Williams makes 3-pt jump shot from 24 ft (assist by A. Jefferson),,53,68
253,3,6:00.0,,Shooting foul by M. Kidd-Gilchrist (drawn by C. Paul),53,68
254,3,6:00.0,,C. Paul makes free throw 1 of 2,53,69
255,3,6:00.0,,C. Paul makes free throw 2 of 2,53,70
256,3,5:42.0,Offensive foul by G. Henderson (drawn by J. Redick),,53,70
257,3,5:42.0,Turnover by G. Henderson (offensive foul),,53,70
258,3,5:42.0,Technical foul by G. Henderson,,53,70
259,3,5:42.0,,J. Redick makes technical free throw,53,71
260,3,5:29.0,,C. Paul misses 2-pt jump shot from 15 ft,53,71
261,3,5:28.0,Defensive rebound by M. Williams,,53,71
262,3,5:24.0,Shooting foul by J. Redick (drawn by G. Henderson),,53,71
263,3,5:24.0,G. Henderson makes free throw 1 of 2,,54,71
264,3,5:24.0,G. Henderson makes free throw 2 of 2,,55,71
265,3,5:11.0,,Turnover by B. Griffin (bad pass; steal by G. Henderson),55,71
266,3,5:10.0,Personal foul by J. Redick (drawn by M. Williams),,55,71
267,3,4:47.0,A. Jefferson makes 2-pt jump shot from 17 ft (assist by M. Williams),,57,71
268,3,4:29.0,,J. Redick makes 2-pt jump shot from 20 ft (assist by D. Jordan),57,73
269,3,4:09.0,M. Williams makes 2-pt jump shot from 21 ft (assist by G. Henderson),,59,73
270,3,3:56.0,,H. Türkoğlu misses 2-pt layup from 1 ft,59,73
271,3,3:55.0,Defensive rebound by A. Jefferson,,59,73
272,3,3:48.0,Personal foul by D. Jordan (drawn by M. Williams),,59,73
273,3,3:48.0,M. Williams misses free throw 1 of 2,,59,73
274,3,3:48.0,Offensive rebound by Team,,59,73
275,3,3:48.0,,G. Davis enters the game for D. Jordan,59,73
276,3,3:48.0,,A. Rivers enters the game for H. Türkoğlu,59,73
277,3,3:48.0,K. Walker enters the game for G. Henderson,,59,73
278,3,3:48.0,M. Williams makes free throw 2 of 2,,60,73
279,3,3:26.0,,C. Paul misses 3-pt jump shot from 23 ft,60,73
280,3,3:24.0,Defensive rebound by M. Williams,,60,73
281,3,3:22.0,Shooting foul by G. Davis (drawn by M. Kidd-Gilchrist),,60,73
282,3,3:22.0,M. Kidd-Gilchrist makes free throw 1 of 2,,61,73
283,3,3:22.0,J. Maxiell enters the game for M. Williams,,61,73
284,3,3:22.0,M. Kidd-Gilchrist makes free throw 2 of 2,,62,73
285,3,3:10.0,,J. Redick makes 2-pt jump shot from 16 ft (assist by G. Davis),62,75
286,3,2:59.0,,Offensive charge foul by K. Walker (drawn by J. Redick),62,75
287,3,2:59.0,Turnover by K. Walker (offensive foul),,62,75
288,3,2:59.0,Charlotte full timeout,,62,75
289,3,2:46.0,,Turnover by A. Rivers (bad pass; steal by M. Williams),62,75
290,3,2:39.0,M. Williams makes 2-pt layup from 1 ft,,64,75
291,3,2:24.0,,B. Griffin misses 2-pt jump shot from 6 ft,64,75
292,3,2:22.0,Defensive rebound by A. Jefferson,,64,75
293,3,2:07.0,A. Jefferson misses 2-pt layup at rim,,64,75
294,3,2:04.0,Offensive rebound by M. Kidd-Gilchrist,,64,75
295,3,2:04.0,M. Kidd-Gilchrist misses 2-pt tip-in from 1 ft,,64,75
296,3,2:01.0,Offensive rebound by M. Kidd-Gilchrist,,64,75
297,3,1:53.0,M. Williams misses 3-pt jump shot from 25 ft,,64,75
298,3,1:52.0,,Defensive rebound by B. Griffin,64,75
299,3,1:38.0,,C. Paul misses 2-pt jump shot from 16 ft,64,75
300,3,1:37.0,Defensive rebound by K. Walker,,64,75
301,3,1:31.0,Shooting foul by G. Davis (drawn by K. Walker),,64,75
302,3,1:31.0,K. Walker makes free throw 1 of 2,,65,75
303,3,1:31.0,,D. Jones enters the game for J. Redick,65,75
304,3,1:31.0,,N. Robinson enters the game for C. Paul,65,75
305,3,1:31.0,K. Walker makes free throw 2 of 2,,66,75
306,3,1:14.0,,B. Griffin misses 2-pt jump shot from 18 ft,66,75
307,3,1:13.0,Defensive rebound by A. Jefferson,,66,75
308,3,1:05.0,Personal block foul by D. Jones (drawn by K. Walker),,66,75
309,3,1:05.0,K. Walker makes free throw 1 of 2,,67,75
310,3,1:05.0,K. Walker makes free throw 2 of 2,,68,75
311,3,0:55.0,,Turnover by N. Robinson (bad pass; steal by K. Walker),68,75
312,3,0:48.0,M. Williams makes 3-pt jump shot from 23 ft (assist by K. Walker),,71,75
313,3,0:28.0,,N. Robinson makes 2-pt jump shot from 12 ft,71,77
314,3,0:05.0,K. Walker makes 3-pt jump shot from 25 ft (assist by A. Jefferson),,74,77
315,4,11:45.0,,A. Rivers misses 2-pt layup from 2 ft,74,77
316,4,11:44.0,Defensive rebound by M. Williams,,74,77
317,4,11:39.0,G. Henderson misses 2-pt jump shot from 16 ft,,74,77
318,4,11:37.0,,Defensive rebound by N. Robinson,74,77
319,4,11:25.0,,N. Robinson misses 3-pt jump shot from 25 ft,74,77
320,4,11:24.0,Defensive rebound by M. Kidd-Gilchrist,,74,77
321,4,11:17.0,Shooting foul by A. Rivers (drawn by G. Henderson),,74,77
322,4,11:17.0,G. Henderson makes free throw 1 of 2,,75,77
323,4,11:17.0,G. Henderson makes free throw 2 of 2,,76,77
324,4,10:55.0,,Shooting foul by B. Biyombo (drawn by D. Jones),76,77
325,4,10:55.0,,D. Jones misses free throw 1 of 2,76,77
326,4,10:55.0,,Offensive rebound by Team,76,77
327,4,10:55.0,,D. Jones makes free throw 2 of 2,76,78
328,4,10:42.0,Inbound foul by D. Jones,,76,78
329,4,10:42.0,K. Walker makes free throw 1 of 2,,77,78
330,4,10:42.0,K. Walker misses free throw 2 of 2,,77,78
331,4,10:41.0,,Defensive rebound by D. Jones,77,78
332,4,10:21.0,,D. Jones misses 2-pt jump shot from 20 ft,77,78
333,4,10:19.0,,Offensive rebound by A. Rivers,77,78
334,4,10:12.0,,Shooting foul by K. Walker (drawn by N. Robinson),77,78
335,4,10:12.0,,N. Robinson makes free throw 1 of 2,77,79
336,4,10:12.0,,N. Robinson makes free throw 2 of 2,77,80
337,4,10:01.0,Turnover by M. Williams (step out of bounds),,77,80
338,4,10:01.0,,J. Redick enters the game for D. Jones,77,80
339,4,9:39.0,,A. Rivers misses 2-pt jump shot from 13 ft,77,80
340,4,9:37.0,Defensive rebound by B. Biyombo,,77,80
341,4,9:26.0,M. Kidd-Gilchrist makes 2-pt jump shot from 19 ft (assist by K. Walker),,79,80
342,4,9:08.0,,J. Redick makes 2-pt jump shot from 16 ft (assist by N. Robinson),79,82
343,4,8:51.0,G. Henderson makes 2-pt dunk at rim (assist by M. Williams),,81,82
344,4,8:38.0,,A. Rivers misses 3-pt jump shot from 24 ft,81,82
345,4,8:32.0,Defensive rebound by M. Kidd-Gilchrist,,81,82
346,4,8:23.0,K. Walker misses 2-pt layup from 1 ft (block by G. Davis),,81,82
347,4,8:23.0,Offensive rebound by Team,,81,82
348,4,8:23.0,,Loose ball foul by A. Rivers (drawn by B. Biyombo),81,82
349,4,8:23.0,Official timeout,,81,82
350,4,8:23.0,,C. Paul enters the game for A. Rivers,81,82
351,4,8:23.0,,D. Jordan enters the game for G. Davis,81,82
352,4,8:23.0,M. Williams enters the game for M. Kidd-Gilchrist,,81,82
353,4,8:05.0,M. Williams misses 2-pt jump shot from 15 ft,,81,82
354,4,8:04.0,,Defensive rebound by S. Hawes,81,82
355,4,7:46.0,,D. Jordan misses 2-pt layup from 1 ft (block by B. Biyombo),81,82
356,4,7:43.0,,Offensive rebound by D. Jordan,81,82
357,4,7:43.0,,D. Jordan makes 2-pt dunk at rim,81,84
358,4,7:29.0,G. Henderson misses 3-pt jump shot from 23 ft,,81,84
359,4,7:27.0,Offensive rebound by B. Biyombo,,81,84
360,4,7:26.0,Personal foul by S. Hawes (drawn by B. Biyombo),,81,84
361,4,7:26.0,,B. Griffin enters the game for S. Hawes,81,84
362,4,7:17.0,G. Henderson makes 2-pt jump shot from 19 ft,,83,84
363,4,6:50.0,,C. Paul makes 3-pt jump shot from 26 ft,83,87
364,4,6:32.0,G. Henderson makes 2-pt jump shot from 18 ft,,85,87
365,4,6:19.0,,Shooting foul by M. Williams (drawn by B. Griffin),85,87
366,4,6:19.0,,B. Griffin makes free throw 1 of 2,85,88
367,4,6:19.0,A. Jefferson enters the game for B. Biyombo,,85,88
368,4,6:19.0,,B. Griffin makes free throw 2 of 2,85,89
369,4,6:00.0,A. Jefferson misses 2-pt jump shot from 4 ft (block by D. Jordan),,85,89
370,4,5:58.0,Offensive rebound by A. Jefferson,,85,89
371,4,5:56.0,A. Jefferson misses 2-pt hook shot from 6 ft,,85,89
372,4,5:52.0,,Defensive rebound by D. Jordan,85,89
373,4,5:48.0,,N. Robinson misses 3-pt jump shot from 24 ft,85,89
374,4,5:46.0,Defensive rebound by G. Henderson,,85,89
375,4,5:37.0,G. Henderson misses 2-pt jump shot from 14 ft,,85,89
