,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MILWAUKEE_ACTION,PORTLAND_SCORE,MILWAUKEE_SCORE
54,1,4:28.0,Personal foul by B. Knight (drawn by D. Lillard),,10,19
55,1,4:15.0,Turnover by L. Aldridge (lost ball; steal by B. Knight),,10,19
56,1,3:57.0,,K. Middleton makes 2-pt jump shot from 16 ft,10,21
57,1,3:36.0,D. Lillard makes 3-pt jump shot from 23 ft (assist by N. Batum),,13,21
58,1,3:23.0,,B. Knight misses 2-pt jump shot from 15 ft,13,21
59,1,3:22.0,Defensive rebound by C. Kaman,,13,21
60,1,3:13.0,D. Lillard misses 3-pt jump shot from 27 ft,,13,21
61,1,3:11.0,,Defensive rebound by B. Knight,13,21
62,1,3:01.0,,Shooting block foul by C. Kaman (drawn by J. Henson),13,21
63,1,3:01.0,,J. Henson makes free throw 1 of 2,13,22
64,1,3:01.0,D. Wright enters the game for N. Batum,,13,22
65,1,3:01.0,,Milwaukee full timeout,13,22
66,1,3:01.0,S. Blake enters the game for D. Lillard,,13,22
67,1,3:01.0,,J. Henson makes free throw 2 of 2,13,23
68,1,2:49.0,Def 3 sec tech foul by J. Henson,,13,23
69,1,2:49.0,S. Blake misses technical free throw,,13,23
70,1,2:49.0,Offensive rebound by Team,,13,23
71,1,2:39.0,C. Kaman misses 2-pt jump shot from 7 ft (block by J. Henson),,13,23
72,1,2:37.0,,Defensive rebound by J. Dudley,13,23
73,1,2:17.0,,K. Middleton makes 2-pt jump shot from 15 ft,13,25
74,1,2:00.0,C. Kaman misses 2-pt layup from 1 ft (block by G. Antetokounmpo),,13,25
75,1,1:58.0,Offensive rebound by L. Aldridge,,13,25
76,1,1:56.0,L. Aldridge makes 2-pt layup at rim,,15,25
77,1,1:41.0,,J. Dudley makes 2-pt jump shot from 12 ft (assist by B. Knight),15,27
78,1,1:28.0,C. McCollum misses 2-pt jump shot from 15 ft,,15,27
79,1,1:27.0,,Defensive rebound by B. Knight,15,27
80,1,1:23.0,,Turnover by B. Knight (bad pass),15,27
81,1,1:23.0,W. Matthews enters the game for C. McCollum,,15,27
82,1,1:01.0,D. Wright misses 3-pt jump shot from 24 ft,,15,27
83,1,1:00.0,,Defensive rebound by J. Henson,15,27
84,1,0:45.0,,J. Dudley misses 3-pt jump shot from 23 ft,15,27
85,1,0:44.0,Defensive rebound by L. Aldridge,,15,27
86,1,0:31.0,W. Matthews misses 3-pt jump shot from 23 ft,,15,27
87,1,0:30.0,,Defensive rebound by J. Henson,15,27
88,1,0:09.0,,Milwaukee full timeout,15,27
89,1,0:09.0,,K. Martin enters the game for J. Henson,15,27
90,1,0:06.0,,Turnover by Team (shot clock),15,27
91,1,0:00.0,D. Wright misses 2-pt jump shot from 20 ft,,15,27
92,1,0:00.0,Offensive rebound by Team,,15,27
93,2,11:51.0,Personal foul by J. Gutiérrez (drawn by S. Blake),,15,27
94,2,11:42.0,C. Kaman makes 2-pt jump shot from 16 ft (assist by W. Matthews),,17,27
95,2,11:28.0,,Shooting block foul by D. Wright (drawn by G. Antetokounmpo),17,27
96,2,11:28.0,,G. Antetokounmpo makes free throw 1 of 2,17,28
97,2,11:28.0,,G. Antetokounmpo makes free throw 2 of 2,17,29
98,2,11:08.0,W. Matthews misses 2-pt jump shot from 7 ft,,17,29
99,2,11:06.0,,Defensive rebound by K. Martin,17,29
100,2,10:59.0,,Turnover by G. Antetokounmpo (lost ball),17,29
101,2,10:45.0,W. Matthews makes 2-pt layup at rim (assist by S. Blake),,19,29
102,2,10:45.0,Shooting foul by G. Antetokounmpo (drawn by W. Matthews),,19,29
103,2,10:45.0,W. Matthews misses free throw 1 of 1,,19,29
104,2,10:44.0,,Defensive rebound by G. Antetokounmpo,19,29
105,2,10:24.0,,J. Bayless misses 2-pt jump shot from 16 ft,19,29
106,2,10:23.0,Defensive rebound by C. Kaman,,19,29
107,2,10:14.0,Shooting foul by O. Mayo (drawn by C. Kaman),,19,29
108,2,10:14.0,C. Kaman makes free throw 1 of 2,,20,29
109,2,10:14.0,C. Kaman misses free throw 2 of 2,,20,29
110,2,10:13.0,,Defensive rebound by G. Antetokounmpo,20,29
111,2,9:57.0,,O. Mayo misses 2-pt jump shot from 12 ft,20,29
112,2,9:56.0,,Offensive rebound by K. Martin,20,29
113,2,9:48.0,,O. Mayo makes 3-pt jump shot from 25 ft (assist by K. Martin),20,32
114,2,9:35.0,D. Wright misses 3-pt jump shot from 25 ft,,20,32
115,2,9:34.0,,Defensive rebound by J. Gutiérrez,20,32
116,2,9:21.0,,J. Bayless misses 3-pt jump shot from 23 ft,20,32
117,2,9:20.0,Defensive rebound by D. Wright,,20,32
118,2,9:07.0,D. Wright misses 2-pt hook shot from 3 ft,,20,32
119,2,9:06.0,,Defensive rebound by G. Antetokounmpo,20,32
120,2,8:56.0,,G. Antetokounmpo misses 2-pt jump shot from 19 ft,20,32
121,2,8:55.0,Defensive rebound by S. Blake,,20,32
122,2,8:49.0,Personal foul by J. Gutiérrez (drawn by W. Matthews),,20,32
123,2,8:49.0,Official timeout,,20,32
124,2,8:49.0,D. Lillard enters the game for D. Wright,,20,32
125,2,8:49.0,N. Batum enters the game for W. Matthews,,20,32
126,2,8:49.0,,K. Middleton enters the game for G. Antetokounmpo,20,32
127,2,8:39.0,S. Blake misses 3-pt jump shot from 23 ft,,20,32
128,2,8:38.0,,Defensive rebound by J. Gutiérrez,20,32
129,2,8:27.0,,O. Mayo misses 2-pt layup at rim,20,32
130,2,8:25.0,Defensive rebound by D. Lillard,,20,32
131,2,8:21.0,W. Barton makes 2-pt layup at rim (assist by D. Lillard),,22,32
132,2,8:06.0,,O. Mayo misses 2-pt jump shot from 5 ft,22,32
133,2,8:05.0,Defensive rebound by D. Lillard,,22,32
134,2,7:59.0,Turnover by N. Batum (bad pass),,22,32
135,2,7:50.0,,O. Mayo misses 2-pt layup from 1 ft,22,32
136,2,7:49.0,,Offensive rebound by Team,22,32
137,2,7:44.0,,O. Mayo makes 2-pt jump shot from 15 ft (assist by J. Bayless),22,34
138,2,7:39.0,W. Barton misses 2-pt layup at rim (block by K. Martin),,22,34
139,2,7:39.0,Offensive rebound by Team,,22,34
140,2,7:32.0,N. Batum misses 3-pt jump shot from 24 ft,,22,34
141,2,7:30.0,,Defensive rebound by O. Mayo,22,34
142,2,7:25.0,,Turnover by O. Mayo (bad pass),22,34
143,2,7:03.0,W. Barton misses 2-pt jump shot from 18 ft,,22,34
144,2,7:02.0,,Defensive rebound by J. Gutiérrez,22,34
145,2,6:51.0,,K. Martin makes 2-pt dunk at rim (assist by J. Bayless),22,36
146,2,6:50.0,Portland full timeout,,22,36
147,2,6:50.0,,J. O'Bryant enters the game for K. Martin,22,36
148,2,6:50.0,W. Matthews enters the game for C. Kaman,,22,36
149,2,6:50.0,L. Aldridge enters the game for S. Blake,,22,36
150,2,6:50.0,T. Robinson enters the game for W. Barton,,22,36
151,2,6:33.0,L. Aldridge makes 2-pt jump shot from 16 ft (assist by W. Matthews),,24,36
152,2,6:18.0,,J. Gutiérrez makes 2-pt layup at rim (assist by K. Middleton),24,38
153,2,6:01.0,Personal block foul by J. O'Bryant (drawn by W. Matthews),,24,38
154,2,6:01.0,W. Matthews misses free throw 1 of 2,,24,38
155,2,6:01.0,Offensive rebound by Team,,24,38
156,2,6:01.0,W. Matthews makes free throw 2 of 2,,25,38
157,2,5:50.0,,O. Mayo misses 2-pt layup at rim,25,38
158,2,5:50.0,,Offensive rebound by Team,25,38
159,2,5:28.0,,Turnover by J. Bayless (bad pass; steal by D. Lillard),25,38
160,2,5:23.0,D. Lillard misses 2-pt layup at rim,,25,38
161,2,5:21.0,,Defensive rebound by J. Gutiérrez,25,38
162,2,5:14.0,,O. Mayo misses 3-pt jump shot from 24 ft,25,38
163,2,5:12.0,,Offensive rebound by J. O'Bryant,25,38
164,2,5:10.0,,J. O'Bryant misses 2-pt layup at rim,25,38
165,2,5:08.0,,Offensive rebound by J. O'Bryant,25,38
166,2,5:06.0,,J. O'Bryant makes 2-pt layup from 1 ft,25,40
167,2,4:50.0,N. Batum misses 2-pt jump shot from 6 ft,,25,40
168,2,4:48.0,Offensive rebound by L. Aldridge,,25,40
169,2,4:48.0,L. Aldridge makes 2-pt tip-in at rim,,27,40
170,2,4:35.0,,Turnover by J. Bayless (bad pass; steal by W. Matthews),27,40
171,2,4:28.0,L. Aldridge misses 3-pt jump shot from 24 ft,,27,40
172,2,4:25.0,,Defensive rebound by O. Mayo,27,40
173,2,4:06.0,,O. Mayo misses 2-pt jump shot from 14 ft,27,40
174,2,4:04.0,Defensive rebound by D. Lillard,,27,40
175,2,3:56.0,D. Lillard makes 2-pt layup at rim,,29,40
176,2,3:42.0,,Personal foul by T. Robinson (drawn by J. Bayless),29,40
177,2,3:42.0,,B. Knight enters the game for J. Gutiérrez,29,40
178,2,3:37.0,,K. Middleton misses 2-pt jump shot from 18 ft,29,40
179,2,3:36.0,Defensive rebound by N. Batum,,29,40
180,2,3:27.0,W. Matthews misses 2-pt layup at rim,,29,40
181,2,3:26.0,Offensive rebound by W. Matthews,,29,40
182,2,3:26.0,W. Matthews misses 2-pt tip-in at rim,,29,40
183,2,3:24.0,Offensive rebound by D. Lillard,,29,40
184,2,3:23.0,D. Lillard makes 2-pt dunk at rim,,31,40
185,2,3:22.0,,Milwaukee full timeout,31,40
186,2,3:22.0,,J. Henson enters the game for J. Bayless,31,40
187,2,3:22.0,,G. Antetokounmpo enters the game for O. Mayo,31,40
188,2,3:22.0,,J. Dudley enters the game for J. O'Bryant,31,40
189,2,3:11.0,,J. Henson makes 2-pt hook shot from 9 ft (assist by K. Middleton),31,42
190,2,2:58.0,L. Aldridge misses 2-pt jump shot from 4 ft,,31,42
191,2,2:58.0,Offensive rebound by Team,,31,42
192,2,2:58.0,Shooting foul by J. Henson (drawn by L. Aldridge),,31,42
193,2,2:58.0,L. Aldridge makes free throw 1 of 2,,32,42
194,2,2:58.0,L. Aldridge makes free throw 2 of 2,,33,42
195,2,2:36.0,Violation by W. Matthews (kicked ball),,33,42
196,2,2:33.0,,Turnover by J. Dudley (bad pass),33,42
197,2,2:23.0,W. Matthews makes 2-pt layup at rim (assist by D. Lillard),,35,42
198,2,2:00.0,,Turnover by G. Antetokounmpo (lost ball; steal by T. Robinson),35,42
199,2,1:54.0,W. Matthews makes 3-pt jump shot from 24 ft (assist by D. Lillard),,38,42
200,2,1:36.0,,Turnover by J. Henson (lost ball; steal by T. Robinson),38,42
201,2,1:30.0,T. Robinson makes 2-pt dunk at rim (assist by W. Matthews),,40,42
202,2,1:13.0,,Turnover by B. Knight (bad pass; steal by T. Robinson),40,42
203,2,1:10.0,Turnover by N. Batum (bad pass; steal by G. Antetokounmpo),,40,42
204,2,1:05.0,,B. Knight misses 3-pt jump shot from 24 ft,40,42
205,2,1:04.0,Defensive rebound by T. Robinson,,40,42
206,2,0:53.0,Turnover by D. Lillard (lost ball; steal by J. Dudley),,40,42
207,2,0:52.0,,Personal foul by W. Matthews (drawn by B. Knight),40,42
208,2,0:37.0,,Turnover by J. Dudley (lost ball; steal by N. Batum),40,42
209,2,0:32.0,D. Lillard misses 2-pt layup at rim,,40,42
210,2,0:31.0,Offensive rebound by T. Robinson,,40,42
211,2,0:31.0,T. Robinson misses 2-pt tip-in at rim,,40,42
212,2,0:30.0,Offensive rebound by L. Aldridge,,40,42
213,2,0:29.0,L. Aldridge makes 2-pt jump shot from 17 ft,,42,42
214,2,0:08.0,,B. Knight makes 2-pt layup at rim,42,44
215,2,0:08.0,,Shooting foul by L. Aldridge (drawn by B. Knight),42,44
216,2,0:08.0,,B. Knight makes free throw 1 of 1,42,45
217,2,0:08.0,Portland full timeout,,42,45
218,2,0:08.0,S. Blake enters the game for T. Robinson,,42,45
219,2,0:01.0,Turnover by D. Lillard (lost ball; steal by J. Dudley),,42,45
220,3,11:48.0,N. Batum makes 3-pt jump shot from 25 ft (assist by D. Lillard),,45,45
221,3,11:31.0,,G. Antetokounmpo makes 2-pt jump shot from 18 ft,45,47
222,3,11:16.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Lillard),,48,47
223,3,11:03.0,,J. Henson makes 2-pt hook shot from 6 ft (assist by B. Knight),48,49
224,3,10:39.0,W. Matthews misses 3-pt jump shot from 25 ft,,48,49
225,3,10:38.0,,Defensive rebound by J. Henson,48,49
226,3,10:38.0,Loose ball foul by T. Robinson (drawn by J. Henson),,48,49
227,3,10:26.0,,J. Henson misses 2-pt jump shot from 5 ft,48,49
228,3,10:26.0,Defensive rebound by T. Robinson,,48,49
229,3,10:26.0,,Loose ball foul by J. Henson (drawn by T. Robinson),48,49
230,3,10:11.0,L. Aldridge misses 2-pt jump shot from 13 ft,,48,49
231,3,10:10.0,,Defensive rebound by B. Knight,48,49
232,3,10:02.0,,B. Knight makes 2-pt jump shot from 16 ft,48,51
233,3,10:02.0,,Shooting foul by W. Matthews (drawn by B. Knight),48,51
234,3,10:02.0,,B. Knight makes free throw 1 of 1,48,52
235,3,9:41.0,Shooting foul by J. Henson (drawn by L. Aldridge),,48,52
236,3,9:41.0,L. Aldridge makes free throw 1 of 2,,49,52
237,3,9:41.0,L. Aldridge makes free throw 2 of 2,,50,52
238,3,9:23.0,,G. Antetokounmpo misses 2-pt dunk at rim (block by T. Robinson),50,52
239,3,9:21.0,,Offensive rebound by J. Henson,50,52
240,3,9:17.0,,B. Knight misses 3-pt jump shot from 26 ft,50,52
241,3,9:16.0,,Offensive rebound by G. Antetokounmpo,50,52
242,3,9:14.0,,Shooting foul by T. Robinson (drawn by G. Antetokounmpo),50,52
243,3,9:14.0,,G. Antetokounmpo makes free throw 1 of 2,50,53
244,3,9:14.0,,G. Antetokounmpo makes free throw 2 of 2,50,54
245,3,9:01.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by N. Batum),,53,54
246,3,8:48.0,,B. Knight misses 2-pt jump shot from 17 ft,53,54
247,3,8:46.0,Defensive rebound by T. Robinson,,53,54
248,3,8:32.0,N. Batum misses 2-pt layup from 2 ft (block by J. Henson),,53,54
249,3,8:29.0,,Defensive rebound by J. Dudley,53,54
250,3,8:21.0,,B. Knight misses 2-pt jump shot from 3 ft,53,54
251,3,8:20.0,Defensive rebound by L. Aldridge,,53,54
252,3,8:14.0,W. Matthews misses 2-pt layup at rim,,53,54
253,3,8:13.0,,Defensive rebound by G. Antetokounmpo,53,54
254,3,7:52.0,,J. Henson makes 2-pt hook shot at rim (assist by B. Knight),53,56
255,3,7:38.0,Turnover by D. Lillard (bad pass; steal by K. Middleton),,53,56
256,3,7:34.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),53,58
257,3,7:12.0,L. Aldridge misses 2-pt jump shot from 17 ft,,53,58
258,3,7:10.0,,Defensive rebound by J. Henson,53,58
259,3,6:54.0,,J. Henson makes 2-pt layup at rim (assist by K. Middleton),53,60
260,3,6:54.0,Portland full timeout,,53,60
261,3,6:35.0,D. Lillard misses 3-pt jump shot from 29 ft,,53,60
262,3,6:35.0,,Defensive rebound by Team,53,60
263,3,6:21.0,,B. Knight misses 2-pt jump shot from 12 ft,53,60
264,3,6:20.0,Defensive rebound by N. Batum,,53,60
265,3,6:13.0,Turnover by D. Lillard (lost ball; steal by G. Antetokounmpo),,53,60
266,3,6:05.0,,J. Dudley misses 3-pt jump shot from 23 ft,53,60
267,3,6:03.0,Defensive rebound by L. Aldridge,,53,60
268,3,5:51.0,Turnover by D. Lillard (lost ball; steal by J. Dudley),,53,60
269,3,5:48.0,,Turnover by J. Dudley (lost ball; steal by N. Batum),53,60
270,3,5:41.0,D. Lillard misses 3-pt jump shot from 23 ft,,53,60
271,3,5:40.0,,Defensive rebound by J. Henson,53,60
272,3,5:24.0,,J. Henson misses 2-pt hook shot from 10 ft,53,60
273,3,5:23.0,Defensive rebound by T. Robinson,,53,60
274,3,5:14.0,T. Robinson makes 2-pt layup at rim (assist by N. Batum),,55,60
275,3,5:00.0,,Shooting foul by T. Robinson (drawn by J. Dudley),55,60
276,3,5:00.0,,J. Dudley makes free throw 1 of 2,55,61
277,3,5:00.0,D. Wright enters the game for W. Matthews,,55,61
278,3,5:00.0,W. Barton enters the game for T. Robinson,,55,61
279,3,5:00.0,,K. Martin enters the game for J. Henson,55,61
280,3,5:00.0,,O. Mayo enters the game for K. Middleton,55,61
281,3,5:00.0,,J. Dudley misses free throw 2 of 2,55,61
282,3,4:59.0,Defensive rebound by N. Batum,,55,61
283,3,4:48.0,L. Aldridge misses 2-pt jump shot from 7 ft,,55,61
284,3,4:47.0,,Defensive rebound by O. Mayo,55,61
285,3,4:39.0,,J. Dudley makes 2-pt layup at rim (assist by B. Knight),55,63
286,3,4:22.0,Shooting foul by J. Dudley (drawn by D. Lillard),,55,63
287,3,4:22.0,D. Lillard makes free throw 1 of 2,,56,63
288,3,4:22.0,D. Lillard makes free throw 2 of 2,,57,63
289,3,4:13.0,,Personal foul by D. Lillard (drawn by B. Knight),57,63
290,3,4:13.0,,B. Knight makes free throw 1 of 2,57,64
291,3,4:13.0,,B. Knight makes free throw 2 of 2,57,65
292,3,3:59.0,N. Batum misses 3-pt jump shot from 23 ft,,57,65
293,3,3:58.0,,Defensive rebound by K. Martin,57,65
294,3,3:43.0,,B. Knight misses 2-pt hook shot from 5 ft,57,65
295,3,3:42.0,Defensive rebound by L. Aldridge,,57,65
296,3,3:36.0,D. Lillard misses 3-pt jump shot from 25 ft,,57,65
297,3,3:35.0,,Defensive rebound by G. Antetokounmpo,57,65
298,3,3:14.0,,O. Mayo makes 2-pt layup at rim,57,67
299,3,3:04.0,D. Wright makes 3-pt jump shot from 23 ft (assist by W. Barton),,60,67
300,3,2:42.0,,O. Mayo misses 3-pt jump shot from 26 ft,60,67
301,3,2:41.0,Defensive rebound by D. Wright,,60,67
302,3,2:30.0,D. Wright makes 3-pt jump shot from 27 ft (assist by D. Lillard),,63,67
303,3,2:28.0,,Milwaukee full timeout,63,67
304,3,2:28.0,,J. Bayless enters the game for B. Knight,63,67
305,3,2:28.0,,K. Middleton enters the game for J. Dudley,63,67
306,3,2:28.0,S. Blake enters the game for D. Lillard,,63,67
307,3,2:18.0,,O. Mayo misses 3-pt jump shot from 23 ft,63,67
308,3,2:17.0,,Offensive rebound by K. Martin,63,67
309,3,2:07.0,,Personal foul by W. Barton (drawn by O. Mayo),63,67
310,3,2:07.0,,O. Mayo makes free throw 1 of 2,63,68
311,3,2:07.0,,O. Mayo makes free throw 2 of 2,63,69
312,3,1:47.0,L. Aldridge misses 2-pt jump shot from 19 ft,,63,69
313,3,1:44.0,Offensive rebound by N. Batum,,63,69
314,3,1:42.0,N. Batum misses 2-pt jump shot from 12 ft,,63,69
315,3,1:41.0,Offensive rebound by L. Aldridge,,63,69
316,3,1:40.0,L. Aldridge makes 2-pt layup at rim,,65,69
317,3,1:27.0,,Offensive foul by G. Antetokounmpo (drawn by W. Barton),65,69
318,3,1:27.0,,Turnover by G. Antetokounmpo (offensive foul),65,69
319,3,1:27.0,W. Matthews enters the game for N. Batum,,65,69
320,3,1:06.0,D. Wright misses 2-pt layup from 1 ft,,65,69
321,3,1:05.0,,Defensive rebound by O. Mayo,65,69
322,3,0:58.0,,O. Mayo makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),65,72
323,3,0:41.0,W. Matthews misses 3-pt jump shot from 25 ft,,65,72
324,3,0:40.0,,Defensive rebound by G. Antetokounmpo,65,72
325,3,0:32.0,,J. Bayless makes 2-pt jump shot from 14 ft,65,74
326,3,0:16.0,S. Blake misses 3-pt jump shot from 25 ft,,65,74
327,3,0:14.0,,Defensive rebound by G. Antetokounmpo,65,74
328,3,0:02.0,,J. Bayless makes 2-pt jump shot from 20 ft,65,76
329,3,0:00.0,W. Barton misses 3-pt jump shot from 38 ft,,65,76
330,3,0:00.0,Offensive rebound by Team,,65,76
331,4,11:49.0,,O. Mayo makes 2-pt layup at rim (assist by J. Bayless),65,78
332,4,11:33.0,S. Blake misses 2-pt jump shot from 14 ft,,65,78
333,4,11:32.0,,Defensive rebound by J. Bayless,65,78
334,4,11:14.0,,O. Mayo makes 3-pt jump shot from 24 ft,65,81
335,4,10:55.0,Shooting foul by K. Martin (drawn by D. Lillard),,65,81
336,4,10:55.0,D. Lillard makes free throw 1 of 2,,66,81
337,4,10:55.0,C. McCollum enters the game for S. Blake,,66,81
338,4,10:55.0,D. Lillard makes free throw 2 of 2,,67,81
339,4,10:40.0,,O. Mayo misses 2-pt jump shot from 7 ft,67,81
340,4,10:39.0,Defensive rebound by W. Matthews,,67,81
341,4,10:24.0,D. Lillard makes 2-pt jump shot from 17 ft,,69,81
342,4,10:09.0,,J. Bayless misses 2-pt jump shot from 15 ft,69,81
343,4,10:08.0,Defensive rebound by D. Wright,,69,81
344,4,9:56.0,D. Wright misses 2-pt jump shot from 20 ft,,69,81
345,4,9:52.0,,Defensive rebound by O. Mayo,69,81
346,4,9:38.0,,Turnover by J. Dudley (lost ball; steal by W. Matthews),69,81
347,4,9:38.0,Personal foul by K. Middleton (drawn by D. Wright),,69,81
348,4,9:38.0,N. Batum enters the game for D. Wright,,69,81
349,4,9:31.0,D. Lillard misses 3-pt jump shot from 27 ft,,69,81
350,4,9:30.0,Offensive rebound by C. McCollum,,69,81
351,4,9:24.0,D. Lillard misses 2-pt layup from 2 ft (block by K. Martin),,69,81
352,4,9:22.0,,Defensive rebound by O. Mayo,69,81
353,4,9:16.0,,J. Bayless makes 3-pt jump shot from 24 ft (assist by J. Dudley),69,84
354,4,9:15.0,Portland full timeout,,69,84
355,4,9:15.0,L. Aldridge enters the game for W. Matthews,,69,84
356,4,9:01.0,C. McCollum misses 2-pt jump shot from 6 ft (block by J. Dudley),,69,84
357,4,8:59.0,,Defensive rebound by K. Middleton,69,84
358,4,8:44.0,,O. Mayo misses 3-pt jump shot from 27 ft,69,84
359,4,8:43.0,Defensive rebound by L. Aldridge,,69,84
360,4,8:33.0,Turnover by T. Robinson (lost ball),,69,84
361,4,8:22.0,,J. Dudley makes 3-pt jump shot from 24 ft (assist by O. Mayo),69,87
362,4,8:05.0,L. Aldridge makes 2-pt jump shot from 17 ft (assist by D. Lillard),,71,87
363,4,7:45.0,,J. Dudley makes 2-pt jump shot from 14 ft,71,89
364,4,7:34.0,L. Aldridge misses 2-pt jump shot from 20 ft,,71,89
365,4,7:33.0,,Defensive rebound by J. Bayless,71,89
366,4,7:16.0,,J. Bayless makes 2-pt jump shot from 14 ft,71,91
367,4,6:58.0,D. Lillard misses 3-pt jump shot from 23 ft,,71,91
368,4,6:57.0,,Defensive rebound by K. Middleton,71,91
369,4,6:44.0,,J. Bayless misses 2-pt jump shot from 17 ft,71,91
370,4,6:43.0,Defensive rebound by L. Aldridge,,71,91
371,4,6:26.0,Personal foul by O. Mayo (drawn by L. Aldridge),,71,91
372,4,6:26.0,W. Matthews enters the game for C. McCollum,,71,91
373,4,6:14.0,Turnover by L. Aldridge (lost ball; steal by K. Martin),,71,91
374,4,6:00.0,,Turnover by K. Martin (offensive goaltending),71,91
375,4,5:48.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Lillard),,74,91
376,4,5:46.0,,Milwaukee full timeout,74,91
377,4,5:46.0,,J. Henson enters the game for K. Martin,74,91
378,4,5:25.0,,K. Middleton misses 2-pt jump shot from 13 ft,74,91
379,4,5:23.0,Defensive rebound by T. Robinson,,74,91
380,4,5:19.0,D. Lillard makes 2-pt layup at rim,,76,91
381,4,5:19.0,Shooting foul by K. Middleton (drawn by D. Lillard),,76,91
382,4,5:19.0,D. Lillard misses free throw 1 of 1,,76,91
