,QUARTER,TIME_REMAINING,DENVER_ACTION,ORLANDO_ACTION,DENVER_SCORE,ORLANDO_SCORE
100,1,0:55.0,,Defensive rebound by A. Gordon,23,25
101,1,0:40.0,,W. Green misses 2-pt jump shot from 20 ft,23,25
102,1,0:39.0,Defensive rebound by J. Hickson,,23,25
103,1,0:30.0,J. Nelson makes 3-pt jump shot from 23 ft,,26,25
104,1,0:13.0,,A. Gordon misses 3-pt jump shot from 24 ft,26,25
105,1,0:12.0,Defensive rebound by W. Barton,,26,25
106,1,0:01.0,J. Nelson makes 2-pt layup from 2 ft (assist by D. Arthur),,28,25
107,2,11:42.0,E. Green enters the game for T. Lawson,,28,25
108,2,11:40.0,D. Arthur makes 2-pt jump shot from 18 ft (assist by W. Barton),,30,25
109,2,11:19.0,,Personal foul by E. Green (drawn by B. Gordon),30,25
110,2,11:09.0,,Turnover by B. Gordon (bad pass; steal by J. Hickson),30,25
111,2,11:02.0,W. Barton makes 2-pt layup from 1 ft,,32,25
112,2,11:02.0,Shooting foul by W. Green (drawn by W. Barton),,32,25
113,2,11:02.0,W. Barton makes free throw 1 of 1,,33,25
114,2,10:46.0,,A. Gordon misses 2-pt jump shot from 11 ft,33,25
115,2,10:44.0,,Offensive rebound by A. Gordon,33,25
116,2,10:44.0,,Shooting foul by D. Arthur (drawn by A. Gordon),33,25
117,2,10:44.0,,A. Gordon makes free throw 1 of 2,33,26
118,2,10:44.0,,A. Gordon makes free throw 2 of 2,33,27
119,2,10:36.0,J. Hickson makes 2-pt jump shot from 9 ft (assist by J. Nelson),,35,27
120,2,10:23.0,,A. Gordon misses 3-pt jump shot from 24 ft,35,27
121,2,10:22.0,Defensive rebound by J. Hickson,,35,27
122,2,10:17.0,Shooting foul by A. Gordon (drawn by W. Barton),,35,27
123,2,10:17.0,W. Barton makes free throw 1 of 2,,36,27
124,2,10:17.0,,A. Nicholson enters the game for A. Gordon,36,27
125,2,10:17.0,W. Barton makes free throw 2 of 2,,37,27
126,2,9:54.0,,W. Green makes 2-pt jump shot from 20 ft (assist by L. Ridnour),37,29
127,2,9:46.0,J. Hickson makes 2-pt jump shot from 5 ft (assist by J. Nelson),,39,29
128,2,9:46.0,Shooting foul by A. Nicholson (drawn by J. Hickson),,39,29
129,2,9:46.0,J. Hickson makes free throw 1 of 1,,40,29
130,2,9:34.0,,B. Gordon makes 2-pt jump shot from 16 ft,40,31
131,2,9:23.0,W. Barton misses 3-pt jump shot from 25 ft,,40,31
132,2,9:21.0,,Defensive rebound by A. Nicholson,40,31
133,2,9:21.0,,Personal foul by J. Nelson (drawn by A. Nicholson),40,31
134,2,9:06.0,,K. O'Quinn makes 2-pt jump shot from 5 ft (assist by L. Ridnour),40,33
135,2,8:56.0,Personal foul by A. Nicholson (drawn by J. Hickson),,40,33
136,2,8:56.0,Official timeout,,40,33
137,2,8:56.0,,N. Vučević enters the game for A. Nicholson,40,33
138,2,8:39.0,J. Nelson makes 3-pt jump shot from 24 ft (assist by W. Barton),,43,33
139,2,8:25.0,,Turnover by N. Vučević (bad pass),43,33
140,2,8:12.0,J. Hickson makes 2-pt dunk at rim (assist by J. Nelson),,45,33
141,2,7:45.0,,N. Vučević misses 2-pt jump shot from 13 ft,45,33
142,2,7:45.0,,Offensive rebound by Team,45,33
143,2,7:45.0,Loose ball foul by D. Arthur (drawn by K. O'Quinn),,45,33
144,2,7:45.0,,E. Payton enters the game for W. Green,45,33
145,2,7:45.0,D. Gallinari enters the game for D. Arthur,,45,33
146,2,7:33.0,,B. Gordon misses 2-pt jump shot from 15 ft,45,33
147,2,7:30.0,Defensive rebound by D. Gallinari,,45,33
148,2,7:22.0,D. Gallinari misses 3-pt jump shot from 25 ft,,45,33
149,2,7:21.0,Offensive rebound by W. Barton,,45,33
150,2,7:16.0,D. Gallinari makes 3-pt jump shot from 26 ft (assist by W. Barton),,48,33
151,2,7:14.0,,Orlando full timeout,48,33
152,2,7:14.0,,V. Oladipo enters the game for L. Ridnour,48,33
153,2,7:14.0,,M. Harkless enters the game for K. O'Quinn,48,33
154,2,6:54.0,,Turnover by E. Payton (bad pass; steal by W. Barton),48,33
155,2,6:45.0,J. Hickson misses 2-pt layup at rim (block by N. Vučević),,48,33
156,2,6:44.0,Offensive rebound by J. Hickson,,48,33
157,2,6:44.0,J. Hickson misses 2-pt tip-in at rim,,48,33
158,2,6:41.0,Offensive rebound by J. Hickson,,48,33
159,2,6:41.0,J. Hickson misses 2-pt layup at rim,,48,33
160,2,6:40.0,Offensive rebound by J. Hickson,,48,33
161,2,6:40.0,J. Hickson misses 2-pt tip-in at rim,,48,33
162,2,6:39.0,,Defensive rebound by E. Payton,48,33
163,2,6:34.0,,N. Vučević makes 2-pt layup at rim (assist by E. Payton),48,35
164,2,6:12.0,D. Gallinari makes 2-pt jump shot from 20 ft,,50,35
165,2,6:00.0,,Turnover by B. Gordon (bad pass; steal by E. Green),50,35
166,2,5:50.0,D. Gallinari misses 3-pt jump shot from 24 ft,,50,35
167,2,5:48.0,Offensive rebound by J. Nelson,,50,35
168,2,5:48.0,W. Barton makes 2-pt layup from 2 ft (assist by J. Nelson),,52,35
169,2,5:48.0,Shooting foul by B. Gordon (drawn by W. Barton),,52,35
170,2,5:48.0,J. Nurkić enters the game for J. Hickson,,52,35
171,2,5:48.0,,W. Green enters the game for B. Gordon,52,35
172,2,5:48.0,W. Barton makes free throw 1 of 1,,53,35
173,2,5:37.0,,Turnover by E. Payton (bad pass),53,35
174,2,5:21.0,W. Barton misses 2-pt jump shot from 16 ft,,53,35
175,2,5:18.0,,Defensive rebound by E. Payton,53,35
176,2,5:16.0,,Turnover by E. Payton (bad pass; steal by J. Nelson),53,35
177,2,5:09.0,E. Green makes 3-pt jump shot from 25 ft (assist by J. Nelson),,56,35
178,2,4:54.0,,V. Oladipo misses 2-pt jump shot from 19 ft,56,35
179,2,4:53.0,Defensive rebound by D. Gallinari,,56,35
180,2,4:37.0,Shooting foul by E. Payton (drawn by J. Nurkić),,56,35
181,2,4:37.0,J. Nurkić makes free throw 1 of 2,,57,35
182,2,4:37.0,J. Nurkić misses free throw 2 of 2,,57,35
183,2,4:36.0,,Defensive rebound by N. Vučević,57,35
184,2,4:21.0,,Turnover by V. Oladipo (bad pass; steal by W. Barton),57,35
185,2,4:19.0,Personal take foul by V. Oladipo (drawn by W. Barton),,57,35
186,2,4:19.0,W. Barton makes free throw 1 of 2,,58,35
187,2,4:19.0,W. Barton misses free throw 2 of 2,,58,35
188,2,4:18.0,,Defensive rebound by N. Vučević,58,35
189,2,4:05.0,,Turnover by E. Payton (bad pass; steal by D. Gallinari),58,35
190,2,4:00.0,J. Nelson makes 2-pt layup from 2 ft,,60,35
191,2,3:59.0,,Orlando full timeout,60,35
192,2,3:59.0,,L. Ridnour enters the game for M. Harkless,60,35
193,2,3:47.0,,N. Vučević makes 2-pt layup from 1 ft (assist by W. Green),60,37
194,2,3:34.0,E. Green makes 3-pt jump shot from 22 ft (assist by D. Gallinari),,63,37
195,2,3:17.0,,N. Vučević makes 2-pt jump shot from 18 ft (assist by E. Payton),63,39
196,2,2:48.0,E. Green misses 3-pt jump shot from 25 ft,,63,39
197,2,2:47.0,Offensive rebound by J. Nurkić,,63,39
198,2,2:45.0,J. Nurkić makes 2-pt hook shot from 5 ft,,65,39
199,2,2:35.0,,E. Payton misses 2-pt jump shot from 3 ft,65,39
200,2,2:32.0,Defensive rebound by J. Nurkić,,65,39
201,2,2:25.0,J. Nelson misses 3-pt jump shot from 28 ft,,65,39
202,2,2:22.0,Offensive rebound by W. Barton,,65,39
203,2,2:21.0,Turnover by W. Barton (lost ball; steal by L. Ridnour),,65,39
204,2,2:15.0,,W. Green makes 3-pt jump shot from 24 ft (assist by L. Ridnour),65,42
205,2,1:54.0,D. Gallinari misses 3-pt jump shot from 23 ft,,65,42
206,2,1:53.0,Offensive rebound by W. Barton,,65,42
207,2,1:51.0,W. Barton misses 2-pt layup at rim,,65,42
208,2,1:50.0,,Defensive rebound by N. Vučević,65,42
209,2,1:47.0,,Shooting foul by J. Nurkić (drawn by V. Oladipo),65,42
210,2,1:47.0,Denver full timeout,,65,42
211,2,1:47.0,,V. Oladipo makes free throw 1 of 2,65,43
212,2,1:47.0,,V. Oladipo makes free throw 2 of 2,65,44
213,2,1:35.0,Turnover by J. Nelson (bad pass; steal by V. Oladipo),,65,44
214,2,1:19.0,,L. Ridnour makes 2-pt jump shot from 17 ft,65,46
215,2,0:58.0,J. Nurkić makes 2-pt hook shot from 5 ft,,67,46
216,2,0:44.0,,Shooting foul by J. Nurkić (drawn by N. Vučević),67,46
217,2,0:44.0,,N. Vučević makes free throw 1 of 2,67,47
218,2,0:44.0,J. Hickson enters the game for J. Nurkić,,67,47
219,2,0:44.0,,N. Vučević makes free throw 2 of 2,67,48
220,2,0:34.0,Shooting foul by V. Oladipo (drawn by J. Nelson),,67,48
221,2,0:34.0,J. Nelson makes free throw 1 of 2,,68,48
222,2,0:34.0,,M. Harkless enters the game for V. Oladipo,68,48
223,2,0:34.0,J. Nelson makes free throw 2 of 2,,69,48
224,2,0:21.0,,W. Green makes 3-pt jump shot from 23 ft (assist by E. Payton),69,51
225,2,0:02.0,J. Nelson misses 3-pt jump shot from 26 ft,,69,51
226,2,0:01.0,,Defensive rebound by L. Ridnour,69,51
227,3,11:47.0,D. Gallinari makes 2-pt layup from 1 ft,,71,51
228,3,11:34.0,,Offensive foul by V. Oladipo (drawn by J. Nurkić),71,51
229,3,11:34.0,,Turnover by V. Oladipo (offensive foul),71,51
230,3,11:25.0,D. Gallinari misses 3-pt jump shot from 25 ft,,71,51
231,3,11:24.0,Offensive rebound by K. Faried,,71,51
232,3,11:19.0,Turnover by D. Gallinari (bad pass; steal by E. Payton),,71,51
233,3,11:16.0,,Personal take foul by T. Lawson (drawn by E. Payton),71,51
234,3,11:16.0,,W. Green enters the game for V. Oladipo,71,51
235,3,11:10.0,,N. Vučević makes 2-pt jump shot from 13 ft (assist by E. Payton),71,53
236,3,10:50.0,D. Gallinari makes 2-pt layup from 1 ft,,73,53
237,3,10:27.0,,N. Vučević misses 2-pt jump shot from 16 ft,73,53
238,3,10:25.0,Defensive rebound by D. Gallinari,,73,53
239,3,10:16.0,J. Nurkić misses 2-pt layup from 2 ft,,73,53
240,3,10:15.0,Offensive rebound by T. Lawson,,73,53
241,3,10:09.0,W. Chandler misses 2-pt jump shot from 9 ft,,73,53
242,3,10:07.0,,Defensive rebound by N. Vučević,73,53
243,3,9:57.0,,A. Nicholson misses 3-pt jump shot from 24 ft,73,53
244,3,9:56.0,Defensive rebound by W. Chandler,,73,53
245,3,9:49.0,Shooting foul by A. Nicholson (drawn by K. Faried),,73,53
