,QUARTER,TIME_REMAINING,DENVER_ACTION,DETROIT_ACTION,DENVER_SCORE,DETROIT_SCORE
173,2,4:11.0,,K. Singler enters the game for C. Butler,37,44
174,2,4:11.0,D. Gallinari enters the game for W. Chandler,,37,44
175,2,4:04.0,,J. Meeks makes 2-pt jump shot from 21 ft (assist by D. Augustin),37,46
176,2,3:50.0,Turnover by A. Afflalo (traveling),,37,46
177,2,3:41.0,,Turnover by J. Meeks (bad pass),37,46
178,2,3:28.0,T. Lawson misses 2-pt jump shot from 13 ft,,37,46
179,2,3:27.0,,Defensive rebound by A. Tolliver,37,46
180,2,3:22.0,,J. Meeks makes 2-pt layup at rim (assist by D. Augustin),37,48
181,2,3:16.0,Personal foul by A. Tolliver (drawn by J. Nurkić),,37,48
182,2,3:16.0,J. Nurkić makes free throw 1 of 2,,38,48
183,2,3:16.0,,A. Drummond enters the game for A. Tolliver,38,48
184,2,3:16.0,J. Nurkić misses free throw 2 of 2,,38,48
185,2,3:15.0,,Defensive rebound by A. Drummond,38,48
186,2,3:05.0,,Personal foul by A. Afflalo (drawn by A. Drummond),38,48
187,2,2:52.0,,A. Drummond makes 2-pt hook shot from 5 ft,38,50
188,2,2:34.0,J. Nurkić misses 2-pt layup from 1 ft,,38,50
189,2,2:33.0,,Defensive rebound by G. Monroe,38,50
190,2,2:29.0,,J. Meeks makes 2-pt layup from 1 ft (assist by D. Augustin),38,52
191,2,2:16.0,K. Faried misses 2-pt jump shot from 5 ft,,38,52
192,2,2:15.0,,Defensive rebound by K. Singler,38,52
193,2,2:06.0,,A. Drummond misses 2-pt layup from 1 ft,38,52
194,2,2:05.0,Defensive rebound by T. Lawson,,38,52
195,2,1:59.0,D. Gallinari makes 2-pt jump shot from 15 ft (assist by T. Lawson),,40,52
196,2,1:34.0,,G. Monroe makes 2-pt jump shot from 16 ft (assist by D. Augustin),40,54
197,2,1:07.0,A. Afflalo misses 3-pt jump shot from 23 ft,,40,54
198,2,1:05.0,Offensive rebound by J. Nurkić,,40,54
199,2,1:01.0,J. Nurkić misses 2-pt jump shot from 4 ft,,40,54
200,2,1:00.0,,Defensive rebound by G. Monroe,40,54
201,2,0:49.0,,Turnover by G. Monroe (lost ball; steal by K. Faried),40,54
202,2,0:43.0,T. Lawson makes 2-pt layup at rim (assist by K. Faried),,42,54
203,2,0:34.0,,Personal foul by A. Afflalo (drawn by J. Meeks),42,54
204,2,0:34.0,,Detroit full timeout,42,54
205,2,0:34.0,,J. Meeks makes free throw 1 of 2,42,55
206,2,0:34.0,,J. Meeks makes free throw 2 of 2,42,56
207,2,0:21.0,K. Faried misses 2-pt layup from 2 ft (block by A. Drummond),,42,56
208,2,0:19.0,Offensive rebound by K. Faried,,42,56
209,2,0:11.0,T. Lawson misses 3-pt jump shot from 26 ft,,42,56
210,2,0:10.0,,Defensive rebound by A. Drummond,42,56
211,3,11:39.0,K. Faried misses 2-pt hook shot from 5 ft,,42,56
212,3,11:37.0,Offensive rebound by K. Faried,,42,56
213,3,11:29.0,W. Chandler makes 2-pt jump shot from 5 ft,,44,56
214,3,11:05.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,44,56
215,3,11:04.0,Defensive rebound by W. Chandler,,44,56
216,3,10:57.0,W. Chandler misses 3-pt jump shot from 26 ft,,44,56
217,3,10:56.0,,Defensive rebound by G. Monroe,44,56
218,3,10:42.0,,K. Caldwell-Pope misses 2-pt layup at rim,44,56
219,3,10:40.0,,Offensive rebound by A. Drummond,44,56
220,3,10:40.0,,A. Drummond misses 2-pt tip-in at rim,44,56
221,3,10:39.0,Defensive rebound by W. Chandler,,44,56
222,3,10:30.0,T. Lawson makes 2-pt layup at rim,,46,56
223,3,10:16.0,,K. Singler misses 3-pt jump shot from 25 ft,46,56
224,3,10:15.0,Defensive rebound by J. Nurkić,,46,56
225,3,10:05.0,A. Afflalo misses 3-pt jump shot from 22 ft,,46,56
226,3,10:05.0,Offensive rebound by K. Faried,,46,56
227,3,10:05.0,Personal foul by A. Drummond (drawn by K. Faried),,46,56
228,3,9:56.0,A. Afflalo makes 2-pt jump shot from 6 ft (assist by T. Lawson),,48,56
229,3,9:56.0,,Detroit full timeout,48,56
230,3,9:40.0,,Personal foul by K. Faried (drawn by G. Monroe),48,56
231,3,9:25.0,,D. Augustin makes 2-pt jump shot from 6 ft,48,58
232,3,9:12.0,Shooting foul by A. Drummond (drawn by J. Nurkić),,48,58
233,3,9:12.0,J. Nurkić misses free throw 1 of 2,,48,58
234,3,9:12.0,Offensive rebound by Team,,48,58
235,3,9:12.0,J. Nurkić makes free throw 2 of 2,,49,58
236,3,8:55.0,,G. Monroe makes 2-pt hook shot from 5 ft (assist by K. Singler),49,60
237,3,8:38.0,J. Nurkić misses 2-pt jump shot from 15 ft,,49,60
238,3,8:37.0,,Defensive rebound by G. Monroe,49,60
239,3,8:27.0,,A. Drummond misses 2-pt jump shot from 3 ft (block by K. Faried),49,60
240,3,8:25.0,Defensive rebound by J. Nurkić,,49,60
241,3,8:18.0,T. Lawson misses 2-pt jump shot from 15 ft,,49,60
242,3,8:16.0,,Defensive rebound by G. Monroe,49,60
243,3,8:02.0,,D. Augustin misses 3-pt jump shot from 26 ft,49,60
244,3,8:01.0,Defensive rebound by J. Nurkić,,49,60
245,3,7:48.0,T. Lawson makes 3-pt jump shot from 26 ft (assist by A. Afflalo),,52,60
246,3,7:36.0,,Shooting foul by J. Nurkić (drawn by K. Caldwell-Pope),52,60
247,3,7:36.0,,K. Caldwell-Pope misses free throw 1 of 2,52,60
248,3,7:36.0,,Offensive rebound by Team,52,60
249,3,7:36.0,D. Arthur enters the game for K. Faried,,52,60
250,3,7:36.0,,K. Caldwell-Pope makes free throw 2 of 2,52,61
251,3,7:21.0,J. Nurkić misses 2-pt jump shot from 4 ft (block by A. Drummond),,52,61
252,3,7:20.0,,Defensive rebound by G. Monroe,52,61
253,3,7:14.0,,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by D. Augustin),52,64
254,3,6:59.0,W. Chandler misses 2-pt jump shot from 19 ft,,52,64
255,3,6:58.0,,Defensive rebound by G. Monroe,52,64
256,3,6:41.0,,D. Augustin makes 3-pt jump shot from 26 ft,52,67
257,3,6:41.0,Denver full timeout,,52,67
258,3,6:41.0,J. Hickson enters the game for J. Nurkić,,52,67
259,3,6:41.0,G. Harris enters the game for A. Afflalo,,52,67
260,3,6:24.0,G. Harris misses 3-pt jump shot from 26 ft,,52,67
261,3,6:22.0,,Defensive rebound by Team,52,67
262,3,6:04.0,,D. Augustin makes 3-pt jump shot from 26 ft (assist by K. Caldwell-Pope),52,70
263,3,5:50.0,Turnover by D. Arthur (lost ball; steal by G. Monroe),,52,70
264,3,5:47.0,,Shooting foul by T. Lawson (drawn by G. Monroe),52,70
265,3,5:47.0,,G. Monroe makes free throw 1 of 2,52,71
266,3,5:47.0,D. Gallinari enters the game for W. Chandler,,52,71
267,3,5:47.0,,G. Monroe makes free throw 2 of 2,52,72
268,3,5:32.0,D. Arthur misses 2-pt jump shot from 14 ft,,52,72
269,3,5:31.0,,Defensive rebound by Team,52,72
270,3,5:16.0,,Personal foul by D. Arthur (drawn by D. Augustin),52,72
271,3,5:09.0,,K. Caldwell-Pope misses 2-pt layup from 2 ft,52,72
272,3,5:08.0,,Offensive rebound by K. Caldwell-Pope,52,72
273,3,5:07.0,,K. Caldwell-Pope makes 2-pt tip-in at rim,52,74
274,3,4:57.0,D. Gallinari makes 2-pt jump shot from 8 ft (assist by T. Lawson),,54,74
275,3,4:34.0,,Shooting foul by T. Lawson (drawn by G. Monroe),54,74
276,3,4:34.0,,G. Monroe misses free throw 1 of 2,54,74
277,3,4:34.0,,Offensive rebound by Team,54,74
278,3,4:34.0,,G. Monroe misses free throw 2 of 2,54,74
279,3,4:33.0,Defensive rebound by J. Hickson,,54,74
280,3,4:21.0,Turnover by T. Lawson (bad pass; steal by G. Monroe),,54,74
281,3,4:19.0,,Turnover by K. Caldwell-Pope (bad pass),54,74
282,3,4:06.0,J. Hickson makes 2-pt jump shot from 15 ft (assist by G. Harris),,56,74
283,3,3:49.0,,Turnover by K. Caldwell-Pope (bad pass; steal by D. Arthur),56,74
284,3,3:36.0,D. Arthur misses 2-pt jump shot from 12 ft,,56,74
285,3,3:35.0,,Defensive rebound by K. Singler,56,74
286,3,3:29.0,,A. Drummond makes 2-pt dunk at rim (assist by D. Augustin),56,76
287,3,3:13.0,G. Harris misses 3-pt jump shot from 23 ft,,56,76
288,3,3:12.0,Offensive rebound by J. Hickson,,56,76
289,3,3:10.0,J. Hickson makes 2-pt layup at rim,,58,76
290,3,2:40.0,,A. Drummond misses 2-pt jump shot from 20 ft,58,76
291,3,2:39.0,Defensive rebound by J. Hickson,,58,76
292,3,2:34.0,G. Harris misses 3-pt jump shot from 26 ft,,58,76
293,3,2:33.0,,Defensive rebound by Team,58,76
294,3,2:32.0,,A. Tolliver enters the game for G. Monroe,58,76
295,3,2:32.0,E. Green enters the game for T. Lawson,,58,76
296,3,2:17.0,,A. Tolliver misses 3-pt jump shot from 26 ft,58,76
297,3,2:16.0,Defensive rebound by G. Harris,,58,76
298,3,2:06.0,E. Green misses 2-pt jump shot from 18 ft,,58,76
299,3,2:05.0,,Defensive rebound by A. Drummond,58,76
300,3,2:02.0,,Turnover by D. Augustin (lost ball),58,76
301,3,2:02.0,R. Foye enters the game for G. Harris,,58,76
302,3,2:02.0,,J. Meeks enters the game for K. Caldwell-Pope,58,76
303,3,1:52.0,J. Hickson misses 2-pt layup at rim,,58,76
304,3,1:50.0,,Defensive rebound by A. Drummond,58,76
305,3,1:43.0,,Turnover by D. Augustin (bad pass; steal by D. Arthur),58,76
306,3,1:36.0,Personal foul by K. Singler (drawn by D. Gallinari),,58,76
307,3,1:36.0,,C. Butler enters the game for K. Singler,58,76
308,3,1:26.0,D. Gallinari misses 3-pt jump shot from 24 ft,,58,76
309,3,1:25.0,,Defensive rebound by A. Drummond,58,76
310,3,1:01.0,,A. Tolliver makes 2-pt dunk at rim (assist by D. Augustin),58,78
311,3,0:43.0,D. Arthur makes 2-pt jump shot from 19 ft (assist by E. Green),,60,78
312,3,0:24.0,,J. Lucas III enters the game for D. Augustin,60,78
313,3,0:22.0,,J. Meeks makes 2-pt jump shot from 10 ft (assist by C. Butler),60,80
314,3,0:03.0,J. Hickson makes 2-pt layup at rim (assist by R. Foye),,62,80
315,4,11:37.0,,C. Butler misses 3-pt jump shot from 26 ft,62,80
316,4,11:36.0,,Offensive rebound by Team,62,80
317,4,11:36.0,,Turnover by Team (shot clock),62,80
318,4,11:36.0,,J. Anthony enters the game for A. Drummond,62,80
319,4,11:13.0,D. Gallinari makes 3-pt jump shot from 26 ft (assist by J. Hickson),,65,80
320,4,11:04.0,,A. Tolliver misses 3-pt jump shot from 23 ft,65,80
321,4,11:03.0,,Offensive rebound by J. Anthony,65,80
322,4,11:02.0,,Personal foul by R. Foye (drawn by J. Anthony),65,80
