,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,GOLDEN STATE_ACTION,MILWAUKEE_SCORE,GOLDEN STATE_SCORE
99,1,0:32.0,Personal foul by A. Iguodala (drawn by G. Antetokounmpo),,17,25
100,1,0:32.0,G. Antetokounmpo makes free throw 1 of 2,,18,25
101,1,0:32.0,,H. Barnes enters the game for D. Green,18,25
102,1,0:32.0,G. Antetokounmpo makes free throw 2 of 2,,19,25
103,1,0:09.0,,S. Curry misses 3-pt jump shot from 26 ft,19,25
104,1,0:09.0,Defensive rebound by J. Bayless,,19,25
105,1,0:01.0,J. Bayless misses 2-pt jump shot from 14 ft,,19,25
106,1,0:00.0,Offensive rebound by Team,,19,25
107,2,11:46.0,T. Ennis makes 3-pt jump shot from 26 ft,,22,25
108,2,11:33.0,,Shooting foul by J. Henson (drawn by J. Holiday),22,25
109,2,11:33.0,,J. Holiday makes free throw 1 of 2,22,26
110,2,11:33.0,,J. Holiday makes free throw 2 of 2,22,27
111,2,11:08.0,T. Ennis misses 2-pt layup from 2 ft (block by D. Lee),,22,27
112,2,11:07.0,Offensive rebound by Team,,22,27
113,2,10:49.0,T. Ennis makes 2-pt jump shot from 8 ft (assist by J. Dudley),,24,27
114,2,10:32.0,,Turnover by D. Lee (lost ball; steal by T. Ennis),24,27
115,2,10:23.0,E. İlyasova makes 3-pt jump shot from 24 ft (assist by J. Dudley),,27,27
116,2,10:12.0,,Offensive foul by S. Livingston (drawn by E. İlyasova),27,27
117,2,10:12.0,,Turnover by S. Livingston (offensive foul),27,27
118,2,9:51.0,Milwaukee full timeout,,27,27
119,2,9:51.0,Personal foul by J. Holiday (drawn by J. Bayless),,27,27
120,2,9:51.0,,K. Thompson enters the game for J. Holiday,27,27
121,2,9:42.0,Turnover by T. Ennis (bad pass; steal by A. Iguodala),,27,27
122,2,9:37.0,,S. Livingston misses 2-pt jump shot from 6 ft,27,27
123,2,9:36.0,Defensive rebound by J. Henson,,27,27
124,2,9:12.0,T. Ennis misses 2-pt jump shot from 15 ft,,27,27
125,2,9:11.0,,Defensive rebound by D. Lee,27,27
126,2,9:03.0,,D. Lee makes 2-pt layup from 1 ft (assist by S. Livingston),27,29
127,2,8:49.0,J. Bayless makes 2-pt jump shot from 18 ft (assist by T. Ennis),,29,29
128,2,8:29.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by D. Lee),29,32
129,2,8:16.0,J. Bayless makes 2-pt jump shot from 10 ft,,31,32
130,2,8:05.0,,H. Barnes makes 2-pt layup from 2 ft (assist by S. Livingston),31,34
131,2,7:48.0,Turnover by J. Henson (lost ball; steal by A. Iguodala),,31,34
132,2,7:28.0,,Shooting foul by T. Ennis (drawn by S. Livingston),31,34
133,2,7:28.0,,S. Livingston makes free throw 1 of 2,31,35
134,2,7:28.0,Z. Pachulia enters the game for J. Henson,,31,35
135,2,7:28.0,,F. Ezeli enters the game for D. Lee,31,35
136,2,7:28.0,,S. Livingston makes free throw 2 of 2,31,36
