,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PHOENIX_ACTION,MINNESOTA_SCORE,PHOENIX_SCORE
123,2,7:34.0,,G. Green misses 3-pt jump shot from 24 ft,42,42
124,2,7:32.0,Defensive rebound by Z. LaVine,,42,42
125,2,7:23.0,G. Dieng makes 2-pt dunk at rim (assist by Z. LaVine),,44,42
126,2,7:08.0,,B. Wright makes 2-pt dunk at rim,44,44
127,2,7:08.0,,Shooting foul by G. Dieng (drawn by B. Wright),44,44
128,2,7:08.0,,E. Bledsoe enters the game for T. Warren,44,44
129,2,7:08.0,,B. Wright makes free throw 1 of 1,44,45
130,2,6:54.0,A. Bennett misses 2-pt jump shot from 7 ft,,44,45
131,2,6:52.0,,Defensive rebound by M. Morris,44,45
132,2,6:47.0,,I. Thomas misses 2-pt jump shot from 18 ft,44,45
133,2,6:45.0,Defensive rebound by A. Bennett,,44,45
134,2,6:31.0,Z. LaVine misses 2-pt jump shot from 18 ft,,44,45
135,2,6:30.0,,Defensive rebound by G. Green,44,45
136,2,6:16.0,,M. Morris makes 2-pt layup from 1 ft (assist by E. Bledsoe),44,47
137,2,6:07.0,Minnesota full timeout,,44,47
138,2,6:07.0,,A. Len enters the game for B. Wright,44,47
139,2,6:07.0,M. Williams enters the game for A. Wiggins,,44,47
140,2,6:07.0,T. Young enters the game for A. Bennett,,44,47
141,2,5:49.0,G. Dieng misses 2-pt hook shot from 4 ft,,44,47
142,2,5:47.0,Offensive rebound by T. Young,,44,47
143,2,5:45.0,T. Young makes 2-pt hook shot from 5 ft,,46,47
144,2,5:28.0,,Shooting foul by G. Dieng (drawn by E. Bledsoe),46,47
145,2,5:28.0,,E. Bledsoe makes free throw 1 of 2,46,48
146,2,5:28.0,,M. Morris enters the game for M. Morris,46,48
147,2,5:28.0,,G. Dragić enters the game for I. Thomas,46,48
148,2,5:28.0,G. Robinson enters the game for R. Hummel,,46,48
149,2,5:28.0,,E. Bledsoe makes free throw 2 of 2,46,49
150,2,5:18.0,M. Williams misses 2-pt jump shot from 8 ft,,46,49
151,2,5:16.0,,Defensive rebound by A. Len,46,49
152,2,5:08.0,,Offensive foul by A. Len (drawn by M. Williams),46,49
153,2,5:08.0,,Turnover by A. Len (offensive foul),46,49
154,2,4:58.0,Personal foul by E. Bledsoe (drawn by G. Dieng),,46,49
155,2,4:45.0,G. Dieng makes 2-pt jump shot from 16 ft (assist by T. Young),,48,49
156,2,4:35.0,,E. Bledsoe makes 2-pt layup from 2 ft,48,51
157,2,4:35.0,,Shooting foul by M. Williams (drawn by E. Bledsoe),48,51
158,2,4:35.0,,E. Bledsoe makes free throw 1 of 1,48,52
159,2,4:24.0,Z. LaVine misses 2-pt layup from 2 ft,,48,52
160,2,4:19.0,,Defensive rebound by G. Green,48,52
161,2,4:04.0,,E. Bledsoe makes 2-pt jump shot from 15 ft,48,54
162,2,3:39.0,T. Young misses 2-pt layup from 2 ft,,48,54
163,2,3:38.0,,Defensive rebound by A. Len,48,54
164,2,3:31.0,,G. Green makes 2-pt layup from 3 ft (assist by G. Dragić),48,56
165,2,3:31.0,,Shooting foul by G. Robinson (drawn by G. Green),48,56
166,2,3:31.0,Minnesota full timeout,,48,56
167,2,3:31.0,,G. Green makes free throw 1 of 1,48,57
168,2,3:19.0,T. Young misses 2-pt jump shot from 5 ft (block by A. Len),,48,57
169,2,3:17.0,,Defensive rebound by E. Bledsoe,48,57
