,QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW ORLEANS_ACTION,PHOENIX_SCORE,NEW ORLEANS_SCORE
134,2,8:13.0,,J. Fredette misses 2-pt jump shot from 3 ft (block by I. Thomas),34,40
135,2,8:11.0,Defensive rebound by I. Thomas,,34,40
136,2,8:05.0,G. Green makes 3-pt jump shot from 23 ft (assist by I. Thomas),,37,40
137,2,7:49.0,,A. Rivers misses 2-pt jump shot from 1 ft,37,40
138,2,7:48.0,,Offensive rebound by Ö. Aşık,37,40
139,2,7:48.0,,Ö. Aşık misses 2-pt tip-in from 1 ft,37,40
140,2,7:47.0,,Offensive rebound by Team,37,40
141,2,7:47.0,Official timeout,,37,40
142,2,7:47.0,A. Len enters the game for M. Plumlee,,37,40
143,2,7:34.0,,Turnover by Team (back court),37,40
144,2,7:24.0,I. Thomas misses 3-pt jump shot from 24 ft,,37,40
145,2,7:22.0,,Defensive rebound by R. Anderson,37,40
146,2,7:06.0,,Ö. Aşık makes 2-pt layup from 2 ft (assist by J. Fredette),37,42
147,2,6:57.0,,J. Holiday enters the game for D. Cunningham,37,42
148,2,6:47.0,G. Green makes 2-pt jump shot from 16 ft,,39,42
149,2,6:29.0,,Ö. Aşık makes 2-pt layup from 1 ft (assist by J. Fredette),39,44
150,2,6:14.0,,A. Davis enters the game for R. Anderson,39,44
151,2,6:05.0,I. Thomas makes 2-pt jump shot from 16 ft (assist by M. Morris),,41,44
152,2,5:52.0,,J. Holiday misses 3-pt jump shot from 24 ft,41,44
153,2,5:51.0,,Offensive rebound by Ö. Aşık,41,44
154,2,5:46.0,,J. Fredette misses 3-pt jump shot from 25 ft,41,44
155,2,5:43.0,Defensive rebound by M. Morris,,41,44
156,2,5:26.0,M. Morris misses 2-pt layup at rim,,41,44
157,2,5:23.0,Offensive rebound by M. Morris,,41,44
158,2,5:16.0,M. Morris makes 3-pt jump shot from 22 ft (assist by A. Len),,44,44
159,2,4:58.0,,J. Holiday misses 3-pt jump shot from 22 ft,44,44
160,2,4:57.0,Defensive rebound by Team,,44,44
161,2,4:57.0,,New Orleans full timeout,44,44
162,2,4:57.0,,T. Evans enters the game for A. Rivers,44,44
163,2,4:44.0,I. Thomas misses 2-pt jump shot from 10 ft,,44,44
164,2,4:43.0,,Defensive rebound by T. Evans,44,44
165,2,4:21.0,,J. Fredette misses 2-pt jump shot from 6 ft,44,44
166,2,4:20.0,Defensive rebound by I. Thomas,,44,44
167,2,4:14.0,G. Green misses 3-pt jump shot from 24 ft,,44,44
168,2,4:13.0,,Defensive rebound by Ö. Aşık,44,44
169,2,4:07.0,,J. Fredette makes 2-pt layup from 2 ft (assist by J. Holiday),44,46
170,2,3:49.0,E. Bledsoe misses 2-pt jump shot from 15 ft,,44,46
171,2,3:48.0,,Defensive rebound by T. Evans,44,46
172,2,3:40.0,,Shooting foul by G. Green (drawn by Ö. Aşık),44,46
173,2,3:40.0,,Ö. Aşık misses free throw 1 of 2,44,46
174,2,3:40.0,,Offensive rebound by Team,44,46
175,2,3:40.0,P. Tucker enters the game for G. Green,,44,46
176,2,3:40.0,M. Morris enters the game for M. Morris,,44,46
177,2,3:40.0,G. Dragić enters the game for I. Thomas,,44,46
178,2,3:40.0,,Ö. Aşık makes free throw 2 of 2,44,47
179,2,3:26.0,A. Len makes 2-pt dunk at rim (assist by E. Bledsoe),,46,47
180,2,3:11.0,Violation by P. Tucker (kicked ball),,46,47
