,QUARTER,TIME_REMAINING,BOSTON_ACTION,GOLDEN STATE_ACTION,BOSTON_SCORE,GOLDEN STATE_SCORE
108,1,0:31.0,,Personal foul by P. Pressey (drawn by J. Holiday),23,27
109,1,0:31.0,,J. Holiday misses free throw 1 of 2,23,27
110,1,0:31.0,,Offensive rebound by Team,23,27
111,1,0:31.0,,J. Holiday makes free throw 2 of 2,23,28
112,1,0:16.0,T. Zeller misses 2-pt jump shot from 8 ft,,23,28
113,1,0:15.0,,Defensive rebound by M. Speights,23,28
114,1,0:04.0,,S. Livingston makes 2-pt jump shot from 13 ft,23,30
115,1,0:01.0,M. Thornton misses 3-pt jump shot from 45 ft,,23,30
116,1,0:00.0,Offensive rebound by Team,,23,30
117,2,11:40.0,M. Thornton makes 2-pt jump shot from 8 ft,,25,30
118,2,11:26.0,,D. Lee misses 2-pt jump shot from 6 ft,25,30
119,2,11:25.0,Defensive rebound by T. Prince,,25,30
120,2,11:17.0,M. Thornton misses 2-pt jump shot from 3 ft,,25,30
121,2,11:16.0,Offensive rebound by T. Zeller,,25,30
122,2,11:16.0,T. Zeller misses 2-pt tip-in from 1 ft,,25,30
123,2,11:15.0,,Defensive rebound by Team,25,30
124,2,11:00.0,,M. Speights misses 2-pt jump shot from 13 ft,25,30
125,2,10:59.0,Defensive rebound by P. Pressey,,25,30
126,2,10:54.0,J. Young misses 3-pt jump shot from 27 ft,,25,30
127,2,10:54.0,Offensive rebound by Team,,25,30
128,2,10:54.0,Personal foul by M. Speights (drawn by T. Zeller),,25,30
129,2,10:54.0,,H. Barnes enters the game for M. Speights,25,30
130,2,10:47.0,T. Prince makes 2-pt jump shot from 18 ft (assist by M. Thornton),,27,30
131,2,10:33.0,,J. Holiday makes 2-pt dunk at rim (assist by D. Lee),27,32
132,2,10:18.0,P. Pressey misses 2-pt jump shot from 9 ft,,27,32
133,2,10:17.0,,Defensive rebound by D. Lee,27,32
134,2,10:06.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by A. Iguodala),27,35
135,2,9:42.0,M. Thornton misses 3-pt jump shot from 25 ft,,27,35
136,2,9:41.0,Offensive rebound by T. Zeller,,27,35
137,2,9:39.0,Turnover by T. Zeller (lost ball; steal by A. Iguodala),,27,35
138,2,9:36.0,,Turnover by D. Lee (traveling),27,35
139,2,9:22.0,T. Prince misses 2-pt jump shot from 15 ft,,27,35
140,2,9:21.0,Offensive rebound by T. Zeller,,27,35
141,2,9:21.0,T. Zeller misses 2-pt tip-in at rim,,27,35
142,2,9:20.0,,Defensive rebound by Team,27,35
143,2,9:20.0,Loose ball foul by T. Zeller (drawn by D. Lee),,27,35
144,2,9:05.0,,S. Livingston makes 2-pt jump shot from 12 ft (assist by D. Lee),27,37
145,2,8:53.0,Turnover by P. Pressey (bad pass; steal by J. Holiday),,27,37
146,2,8:39.0,,Turnover by D. Lee (3 sec),27,37
147,2,8:39.0,Official timeout,,27,37
148,2,8:39.0,B. Bass enters the game for M. Thornton,,27,37
149,2,8:27.0,P. Pressey makes 3-pt jump shot from 26 ft (assist by T. Zeller),,30,37
150,2,8:14.0,,S. Livingston misses 2-pt jump shot from 16 ft,30,37
151,2,8:12.0,,Offensive rebound by D. Lee,30,37
152,2,8:12.0,,D. Lee misses 2-pt tip-in from 1 ft,30,37
153,2,8:10.0,Defensive rebound by P. Pressey,,30,37
154,2,8:02.0,T. Prince misses 2-pt jump shot from 19 ft,,30,37
155,2,8:01.0,,Defensive rebound by Team,30,37
156,2,7:47.0,,H. Barnes misses 2-pt jump shot from 17 ft,30,37
157,2,7:45.0,Defensive rebound by B. Bass,,30,37
158,2,7:27.0,J. Young misses 3-pt jump shot from 26 ft,,30,37
159,2,7:26.0,,Defensive rebound by D. Lee,30,37
160,2,7:17.0,,J. Holiday misses 3-pt jump shot from 24 ft,30,37
161,2,7:15.0,Defensive rebound by B. Bass,,30,37
162,2,6:56.0,B. Bass misses 2-pt jump shot from 3 ft,,30,37
163,2,6:54.0,,Defensive rebound by H. Barnes,30,37
164,2,6:44.0,,S. Livingston misses 2-pt layup from 2 ft (block by T. Zeller),30,37
165,2,6:43.0,Defensive rebound by T. Prince,,30,37
166,2,6:23.0,T. Zeller makes 2-pt jump shot from 17 ft (assist by T. Prince),,32,37
167,2,5:59.0,,D. Lee misses 2-pt hook shot from 8 ft,32,37
168,2,5:58.0,Defensive rebound by T. Prince,,32,37
169,2,5:48.0,T. Zeller makes 2-pt jump shot from 15 ft (assist by P. Pressey),,34,37
170,2,5:48.0,,Golden State full timeout,34,37
171,2,5:48.0,,A. Bogut enters the game for A. Iguodala,34,37
172,2,5:48.0,,K. Thompson enters the game for S. Livingston,34,37
173,2,5:48.0,,D. Green enters the game for J. Holiday,34,37
174,2,5:48.0,,S. Curry enters the game for D. Lee,34,37
175,2,5:33.0,,A. Bogut misses 2-pt dunk at rim,34,37
176,2,5:32.0,Defensive rebound by P. Pressey,,34,37
177,2,5:26.0,J. Young makes 3-pt jump shot from 26 ft (assist by P. Pressey),,37,37
178,2,5:04.0,,K. Thompson makes 2-pt jump shot from 9 ft,37,39
179,2,4:35.0,J. Young misses 3-pt jump shot from 23 ft,,37,39
180,2,4:34.0,Offensive rebound by T. Zeller,,37,39
181,2,4:31.0,T. Zeller misses 2-pt layup from 2 ft,,37,39
182,2,4:30.0,,Defensive rebound by A. Bogut,37,39
183,2,4:24.0,,K. Thompson misses 3-pt jump shot from 26 ft,37,39
184,2,4:23.0,,Offensive rebound by H. Barnes,37,39
185,2,4:23.0,,H. Barnes makes 2-pt layup from 1 ft,37,41
186,2,4:07.0,Turnover by J. Young (traveling),,37,41
187,2,4:07.0,J. Sullinger enters the game for T. Zeller,,37,41
188,2,4:07.0,A. Bradley enters the game for J. Young,,37,41
189,2,3:54.0,,K. Thompson misses 3-pt jump shot from 27 ft,37,41
190,2,3:53.0,Defensive rebound by T. Prince,,37,41
191,2,3:36.0,J. Sullinger makes 2-pt hook shot from 11 ft (assist by T. Prince),,39,41
192,2,3:25.0,,Shooting foul by B. Bass (drawn by S. Curry),39,41
193,2,3:25.0,,S. Curry makes free throw 1 of 2,39,42
194,2,3:25.0,E. Turner enters the game for P. Pressey,,39,42
195,2,3:25.0,,S. Curry makes free throw 2 of 2,39,43
196,2,3:15.0,Offensive foul by J. Sullinger (drawn by S. Curry),,39,43
197,2,3:15.0,Turnover by J. Sullinger (offensive foul),,39,43
198,2,3:03.0,,Shooting foul by J. Sullinger (drawn by D. Green),39,43
199,2,3:03.0,,D. Green makes free throw 1 of 2,39,44
200,2,3:03.0,,D. Green makes free throw 2 of 2,39,45
201,2,2:42.0,B. Bass misses 2-pt jump shot from 9 ft,,39,45
202,2,2:41.0,Offensive rebound by J. Sullinger,,39,45
203,2,2:41.0,J. Sullinger makes 2-pt layup from 1 ft,,41,45
204,2,2:26.0,,K. Thompson makes 2-pt layup from 1 ft,41,47
205,2,2:25.0,Boston full timeout,,41,47
206,2,2:25.0,J. Crowder enters the game for J. Sullinger,,41,47
207,2,2:25.0,T. Zeller enters the game for T. Prince,,41,47
208,2,2:07.0,B. Bass makes 2-pt hook shot from 6 ft (assist by E. Turner),,43,47
209,2,1:48.0,,K. Thompson misses 2-pt jump shot from 12 ft (block by E. Turner),43,47
210,2,1:48.0,,Offensive rebound by K. Thompson,43,47
211,2,1:48.0,,Shooting foul by T. Zeller (drawn by K. Thompson),43,47
212,2,1:48.0,,K. Thompson misses free throw 1 of 2,43,47
213,2,1:48.0,,Offensive rebound by Team,43,47
214,2,1:48.0,,Violation by Team (delay of game),43,47
215,2,1:48.0,,K. Thompson makes free throw 2 of 2,43,48
216,2,1:34.0,A. Bradley misses 2-pt jump shot from 18 ft,,43,48
217,2,1:33.0,Offensive rebound by B. Bass,,43,48
218,2,1:26.0,T. Zeller makes 2-pt hook shot from 6 ft (assist by E. Turner),,45,48
219,2,1:13.0,,Golden State full timeout,45,48
220,2,1:09.0,,S. Curry misses 3-pt jump shot from 25 ft,45,48
221,2,1:08.0,,Offensive rebound by H. Barnes,45,48
222,2,1:03.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by H. Barnes),45,51
223,2,0:42.0,T. Zeller makes 2-pt hook shot from 10 ft,,47,51
224,2,0:33.0,,Turnover by K. Thompson (bad pass),47,51
225,2,0:28.0,T. Zeller makes 2-pt jump shot from 18 ft (assist by E. Turner),,49,51
226,2,0:08.0,,Shooting foul by A. Bradley (drawn by S. Curry),49,51
227,2,0:08.0,,S. Curry makes free throw 1 of 2,49,52
228,2,0:08.0,,J. Holiday enters the game for K. Thompson,49,52
229,2,0:08.0,,S. Curry makes free throw 2 of 2,49,53
230,2,0:03.0,Boston full timeout,,49,53
231,2,0:03.0,J. Young enters the game for J. Crowder,,49,53
232,2,0:02.0,Turnover by E. Turner (bad pass; steal by S. Curry),,49,53
233,2,0:01.0,,Shooting foul by J. Young (drawn by S. Curry),49,53
234,2,0:01.0,,S. Curry makes free throw 1 of 3,49,54
235,2,0:01.0,,S. Curry makes free throw 2 of 3,49,55
236,2,0:01.0,J. Sullinger enters the game for B. Bass,,49,55
237,2,0:01.0,G. Wallace enters the game for J. Young,,49,55
238,2,0:01.0,,S. Curry makes free throw 3 of 3,49,56
239,2,0:01.0,Turnover by G. Wallace (bad pass; steal by A. Bogut),,49,56
240,3,11:47.0,Personal foul by A. Bogut (drawn by J. Sullinger),,49,56
241,3,11:36.0,J. Sullinger makes 2-pt jump shot from 18 ft (assist by A. Bradley),,51,56
242,3,11:21.0,,K. Thompson misses 2-pt jump shot from 9 ft,51,56
243,3,11:20.0,,Offensive rebound by A. Bogut,51,56
244,3,11:20.0,,A. Bogut makes 2-pt tip-in from 1 ft,51,58
245,3,11:07.0,E. Turner misses 2-pt jump shot from 14 ft,,51,58
246,3,11:06.0,,Defensive rebound by A. Bogut,51,58
247,3,10:58.0,,Turnover by S. Curry (bad pass; steal by A. Bradley),51,58
248,3,10:57.0,Clear path foul by D. Green,,51,58
249,3,10:57.0,A. Bradley makes clear path free throw 1 of 2,,52,58
250,3,10:57.0,A. Bradley misses clear path free throw 2 of 2,,52,58
251,3,10:57.0,Offensive rebound by Team,,52,58
252,3,10:44.0,B. Bass misses 2-pt jump shot from 18 ft,,52,58
253,3,10:43.0,,Defensive rebound by S. Curry,52,58
254,3,10:40.0,,S. Curry makes 3-pt jump shot from 26 ft,52,61
255,3,10:13.0,Shooting foul by K. Thompson (drawn by B. Bass),,52,61
256,3,10:13.0,B. Bass misses free throw 1 of 2,,52,61
257,3,10:13.0,Offensive rebound by Team,,52,61
258,3,10:13.0,B. Bass makes free throw 2 of 2,,53,61
259,3,10:03.0,,S. Curry misses 2-pt layup from 2 ft,53,61
260,3,10:02.0,Defensive rebound by J. Sullinger,,53,61
261,3,9:57.0,A. Bradley misses 3-pt jump shot from 26 ft,,53,61
262,3,9:56.0,Offensive rebound by J. Sullinger,,53,61
263,3,9:53.0,J. Sullinger misses 2-pt jump shot from 5 ft,,53,61
264,3,9:52.0,,Defensive rebound by A. Bogut,53,61
265,3,9:42.0,,K. Thompson misses 2-pt jump shot from 3 ft,53,61
266,3,9:41.0,Defensive rebound by E. Turner,,53,61
267,3,9:29.0,A. Bradley makes 2-pt layup from 1 ft (assist by J. Crowder),,55,61
268,3,9:17.0,,D. Green misses 2-pt jump shot from 11 ft,55,61
269,3,9:16.0,Defensive rebound by B. Bass,,55,61
270,3,9:06.0,E. Turner makes 2-pt layup from 1 ft,,57,61
271,3,8:53.0,,S. Curry makes 2-pt jump shot from 16 ft (assist by A. Bogut),57,63
272,3,8:28.0,J. Crowder misses 3-pt jump shot from 26 ft,,57,63
273,3,8:27.0,,Defensive rebound by A. Bogut,57,63
274,3,8:17.0,,A. Bogut makes 2-pt layup at rim (assist by S. Curry),57,65
275,3,7:56.0,Offensive foul by A. Bradley (drawn by S. Curry),,57,65
276,3,7:56.0,Turnover by A. Bradley (offensive foul),,57,65
277,3,7:46.0,,D. Green makes 2-pt layup from 2 ft (assist by S. Curry),57,67
278,3,7:26.0,A. Bradley makes 3-pt jump shot from 24 ft (assist by J. Sullinger),,60,67
279,3,7:19.0,,D. Green makes 2-pt layup from 1 ft (assist by S. Curry),60,69
280,3,7:19.0,,Shooting foul by B. Bass (drawn by D. Green),60,69
281,3,7:19.0,,D. Green makes free throw 1 of 1,60,70
282,3,7:10.0,J. Sullinger misses 3-pt jump shot from 27 ft,,60,70
283,3,7:07.0,,Defensive rebound by D. Green,60,70
284,3,7:01.0,,S. Curry misses 2-pt jump shot from 21 ft,60,70
285,3,7:01.0,Defensive rebound by Team,,60,70
286,3,6:49.0,J. Crowder misses 2-pt jump shot from 14 ft,,60,70
287,3,6:48.0,,Defensive rebound by S. Curry,60,70
288,3,6:43.0,,Turnover by S. Curry (lost ball; steal by B. Bass),60,70
289,3,6:32.0,E. Turner misses 2-pt jump shot from 14 ft,,60,70
290,3,6:31.0,Offensive rebound by E. Turner,,60,70
291,3,6:28.0,J. Sullinger misses 2-pt jump shot from 6 ft,,60,70
292,3,6:28.0,,Defensive rebound by A. Bogut,60,70
293,3,6:28.0,,Personal foul by E. Turner (drawn by A. Bogut),60,70
294,3,6:11.0,,D. Green misses 3-pt jump shot from 25 ft,60,70
295,3,6:10.0,Defensive rebound by E. Turner,,60,70
296,3,5:58.0,Shooting foul by D. Green (drawn by J. Sullinger),,60,70
297,3,5:58.0,,Golden State full timeout,60,70
298,3,5:58.0,,A. Iguodala enters the game for H. Barnes,60,70
299,3,5:58.0,J. Sullinger makes free throw 1 of 2,,61,70
300,3,5:58.0,J. Sullinger misses free throw 2 of 2,,61,70
301,3,5:56.0,,Defensive rebound by A. Bogut,61,70
302,3,5:35.0,,K. Thompson makes 2-pt jump shot from 11 ft (assist by S. Curry),61,72
303,3,5:10.0,A. Bradley makes 3-pt jump shot from 24 ft (assist by J. Crowder),,64,72
304,3,4:56.0,,Shooting foul by B. Bass (drawn by A. Bogut),64,72
305,3,4:56.0,,A. Bogut makes 2-pt layup from 1 ft (assist by S. Curry),64,74
306,3,4:56.0,T. Zeller enters the game for B. Bass,,64,74
307,3,4:56.0,,A. Bogut makes free throw 1 of 1,64,75
308,3,4:36.0,E. Turner makes 2-pt jump shot from 11 ft,,66,75
309,3,4:15.0,,S. Curry misses 3-pt jump shot from 23 ft,66,75
310,3,4:14.0,Defensive rebound by E. Turner,,66,75
311,3,4:08.0,J. Sullinger misses 3-pt jump shot from 26 ft,,66,75
312,3,4:06.0,,Defensive rebound by K. Thompson,66,75
313,3,3:56.0,,K. Thompson makes 2-pt jump shot from 16 ft (assist by S. Curry),66,77
314,3,3:34.0,J. Sullinger makes 2-pt jump shot from 6 ft,,68,77
315,3,3:24.0,,A. Bogut misses 2-pt dunk at rim,68,77
316,3,3:21.0,Defensive rebound by T. Zeller,,68,77
317,3,3:12.0,J. Crowder makes 3-pt jump shot from 26 ft (assist by T. Zeller),,71,77
318,3,3:11.0,,Golden State full timeout,71,77
319,3,3:11.0,T. Prince enters the game for A. Bradley,,71,77
320,3,3:11.0,,D. Lee enters the game for D. Green,71,77
321,3,2:50.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Lee),71,80
322,3,2:34.0,Turnover by E. Turner (bad pass; steal by S. Curry),,71,80
323,3,2:28.0,,S. Curry makes 2-pt jump shot from 18 ft,71,82
324,3,2:24.0,Boston full timeout,,71,82
325,3,2:24.0,,J. Holiday enters the game for K. Thompson,71,82
326,3,2:24.0,G. Wallace enters the game for J. Crowder,,71,82
327,3,2:24.0,P. Pressey enters the game for J. Sullinger,,71,82
328,3,2:24.0,M. Thornton enters the game for E. Turner,,71,82
329,3,2:09.0,T. Zeller makes 2-pt hook shot from 7 ft,,73,82
330,3,1:54.0,,S. Curry misses 2-pt jump shot from 19 ft,73,82
331,3,1:53.0,Defensive rebound by Team,,73,82
332,3,1:53.0,,Loose ball foul by A. Bogut (drawn by T. Zeller),73,82
333,3,1:53.0,T. Zeller misses free throw 1 of 2,,73,82
334,3,1:53.0,Offensive rebound by Team,,73,82
335,3,1:53.0,,M. Speights enters the game for A. Bogut,73,82
336,3,1:53.0,T. Zeller makes free throw 2 of 2,,74,82
337,3,1:38.0,,S. Curry makes 2-pt dunk at rim (assist by D. Lee),74,84
338,3,1:17.0,Turnover by M. Thornton (bad pass; steal by J. Holiday),,74,84
339,3,1:11.0,,A. Iguodala makes 2-pt layup from 2 ft (assist by S. Curry),74,86
340,3,0:55.0,P. Pressey makes 3-pt jump shot from 26 ft,,77,86
341,3,0:41.0,,J. Holiday misses 2-pt jump shot from 17 ft,77,86
342,3,0:40.0,Defensive rebound by G. Wallace,,77,86
343,3,0:32.0,M. Thornton misses 2-pt jump shot from 18 ft,,77,86
344,3,0:31.0,,Defensive rebound by A. Iguodala,77,86
345,3,0:08.0,,A. Iguodala makes 3-pt jump shot from 28 ft,77,89
346,3,0:01.0,M. Thornton misses 2-pt layup from 1 ft,,77,89
347,3,0:00.0,,Defensive rebound by M. Speights,77,89
348,4,11:47.0,,M. Speights makes 2-pt jump shot from 17 ft (assist by D. Lee),77,91
349,4,11:25.0,G. Wallace makes 2-pt layup from 1 ft (assist by P. Pressey),,79,91
350,4,11:07.0,,Turnover by M. Speights (lost ball; steal by G. Wallace),79,91
351,4,10:50.0,T. Zeller misses 2-pt jump shot from 8 ft,,79,91
352,4,10:49.0,Offensive rebound by G. Wallace,,79,91
353,4,10:49.0,G. Wallace makes 2-pt layup from 1 ft,,81,91
354,4,10:31.0,,A. Iguodala misses 2-pt jump shot from 12 ft,81,91
355,4,10:30.0,Defensive rebound by P. Pressey,,81,91
356,4,10:27.0,Personal foul by D. Lee (drawn by P. Pressey),,81,91
357,4,10:16.0,M. Thornton misses 2-pt jump shot from 14 ft,,81,91
358,4,10:15.0,,Defensive rebound by J. Holiday,81,91
359,4,10:12.0,,Shooting foul by P. Pressey (drawn by J. Holiday),81,91
360,4,10:12.0,,J. Holiday makes free throw 1 of 2,81,92
361,4,10:12.0,,J. Holiday makes free throw 2 of 2,81,93
362,4,9:50.0,G. Wallace makes 2-pt layup from 1 ft (assist by P. Pressey),,83,93
363,4,9:39.0,,D. Lee makes 2-pt layup from 1 ft (assist by S. Livingston),83,95
364,4,9:16.0,Personal foul by A. Iguodala (drawn by T. Zeller),,83,95
365,4,9:16.0,A. Bradley enters the game for M. Thornton,,83,95
366,4,9:04.0,T. Zeller misses 2-pt jump shot from 19 ft,,83,95
367,4,9:03.0,,Defensive rebound by D. Lee,83,95
368,4,8:56.0,,Personal foul by T. Zeller (drawn by S. Livingston),83,95
369,4,8:56.0,Official timeout,,83,95
370,4,8:56.0,J. Young enters the game for T. Prince,,83,95
371,4,8:44.0,,J. Holiday makes 2-pt layup from 1 ft (assist by D. Lee),83,97
372,4,8:29.0,A. Bradley misses 2-pt jump shot from 18 ft (block by S. Livingston),,83,97
373,4,8:28.0,,Defensive rebound by A. Iguodala,83,97
374,4,8:23.0,,Turnover by S. Livingston (bad pass),83,97
375,4,8:13.0,T. Zeller misses 2-pt jump shot from 8 ft,,83,97
376,4,8:12.0,,Defensive rebound by D. Lee,83,97
377,4,8:01.0,,M. Speights misses 2-pt jump shot from 19 ft,83,97
378,4,8:00.0,Defensive rebound by J. Young,,83,97
379,4,7:52.0,Shooting foul by J. Holiday (drawn by T. Zeller),,83,97
380,4,7:52.0,T. Zeller makes free throw 1 of 2,,84,97
381,4,7:52.0,B. Bass enters the game for G. Wallace,,84,97
382,4,7:52.0,,K. Thompson enters the game for J. Holiday,84,97
383,4,7:52.0,T. Zeller makes free throw 2 of 2,,85,97
384,4,7:36.0,,S. Livingston misses 2-pt jump shot from 12 ft,85,97
385,4,7:34.0,,Offensive rebound by Team,85,97
386,4,7:34.0,J. Sullinger enters the game for T. Zeller,,85,97
387,4,7:34.0,E. Turner enters the game for P. Pressey,,85,97
388,4,7:23.0,,Turnover by D. Lee (bad pass; steal by E. Turner),85,97
