,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MEMPHIS_ACTION,PHILADELPHIA_SCORE,MEMPHIS_SCORE
154,2,6:37.0,Turnover by K. McDaniels (step out of bounds),,29,42
155,2,6:23.0,,V. Carter makes 2-pt jump shot from 9 ft (assist by Z. Randolph),29,44
156,2,6:10.0,M. Carter-Williams misses 2-pt jump shot from 17 ft,,29,44
157,2,6:09.0,,Defensive rebound by B. Udrih,29,44
158,2,5:56.0,,Z. Randolph misses 2-pt jump shot from 16 ft,29,44
159,2,5:56.0,Defensive rebound by M. Carter-Williams,,29,44
160,2,5:49.0,R. Covington makes 3-pt jump shot from 26 ft (assist by M. Carter-Williams),,32,44
161,2,5:39.0,,Turnover by T. Allen (lost ball),32,44
162,2,5:39.0,Philadelphia full timeout,,32,44
163,2,5:39.0,,J. Green enters the game for T. Allen,32,44
164,2,5:39.0,,M. Conley enters the game for B. Udrih,32,44
165,2,5:24.0,R. Covington misses 2-pt jump shot from 15 ft,,32,44
166,2,5:23.0,,Defensive rebound by K. Koufos,32,44
167,2,5:09.0,,M. Conley makes 2-pt layup from 1 ft (assist by V. Carter),32,46
168,2,4:56.0,Turnover by L. Mbah a Moute (lost ball),,32,46
169,2,4:48.0,,V. Carter misses 2-pt jump shot from 19 ft,32,46
170,2,4:46.0,Defensive rebound by L. Mbah a Moute,,32,46
171,2,4:38.0,Shooting foul by M. Conley (drawn by M. Carter-Williams),,32,46
172,2,4:38.0,M. Carter-Williams makes free throw 1 of 2,,33,46
173,2,4:38.0,,M. Gasol enters the game for K. Koufos,33,46
174,2,4:38.0,M. Carter-Williams makes free throw 2 of 2,,34,46
175,2,4:20.0,,J. Green makes 2-pt layup from 1 ft (assist by Z. Randolph),34,48
176,2,4:20.0,,Shooting foul by L. Mbah a Moute (drawn by J. Green),34,48
177,2,4:20.0,,J. Green makes free throw 1 of 1,34,49
178,2,4:06.0,L. Mbah a Moute misses 2-pt jump shot from 22 ft,,34,49
179,2,4:05.0,,Defensive rebound by M. Gasol,34,49
180,2,3:52.0,,V. Carter misses 2-pt jump shot from 14 ft,34,49
181,2,3:51.0,,Offensive rebound by V. Carter,34,49
182,2,3:49.0,,V. Carter misses 2-pt layup from 1 ft,34,49
183,2,3:47.0,,Offensive rebound by V. Carter,34,49
184,2,3:47.0,,V. Carter makes 2-pt tip-in at rim,34,51
185,2,3:42.0,Shooting foul by M. Conley (drawn by K. McDaniels),,34,51
186,2,3:42.0,K. McDaniels misses free throw 1 of 2,,34,51
