,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CHARLOTTE_ACTION,WASHINGTON_SCORE,CHARLOTTE_SCORE
278,3,2:32.0,B. Beal makes 2-pt dunk at rim,,75,56
279,3,2:14.0,,L. Stephenson makes 3-pt jump shot from 25 ft (assist by M. Williams),75,59
280,3,2:01.0,K. Séraphin enters the game for M. Gortat,,75,59
281,3,2:01.0,G. Temple enters the game for B. Beal,,75,59
282,3,1:49.0,G. Temple misses 3-pt jump shot from 23 ft,,75,59
283,3,1:47.0,Offensive rebound by O. Porter,,75,59
284,3,1:47.0,O. Porter makes 2-pt layup from 1 ft,,77,59
285,3,1:30.0,,B. Roberts misses 3-pt jump shot from 25 ft,77,59
286,3,1:30.0,,Offensive rebound by Team,77,59
287,3,1:30.0,Loose ball foul by K. Séraphin (drawn by B. Biyombo),,77,59
288,3,1:16.0,,J. Maxiell misses 2-pt jump shot from 15 ft,77,59
289,3,1:15.0,Defensive rebound by K. Séraphin,,77,59
290,3,1:01.0,D. Gooden misses 2-pt jump shot from 19 ft,,77,59
291,3,1:00.0,,Defensive rebound by L. Stephenson,77,59
292,3,0:52.0,R. Sessions enters the game for J. Wall,,77,59
293,3,0:44.0,,Shooting foul by K. Séraphin (drawn by B. Biyombo),77,59
294,3,0:44.0,,B. Biyombo makes free throw 1 of 2,77,60
295,3,0:44.0,,B. Biyombo misses free throw 2 of 2,77,60
296,3,0:43.0,Defensive rebound by K. Séraphin,,77,60
297,3,0:27.0,R. Sessions misses 2-pt layup from 2 ft,,77,60
298,3,0:26.0,Offensive rebound by K. Séraphin,,77,60
299,3,0:22.0,G. Temple misses 3-pt jump shot from 26 ft,,77,60
300,3,0:21.0,,Defensive rebound by B. Biyombo,77,60
301,3,0:04.0,,M. Williams misses 3-pt jump shot from 23 ft,77,60
302,3,0:03.0,Defensive rebound by D. Gooden,,77,60
303,4,11:46.0,K. Séraphin makes 2-pt hook shot from 4 ft (assist by G. Temple),,79,60
304,4,11:36.0,,Personal foul by K. Séraphin (drawn by B. Biyombo),79,60
305,4,11:25.0,,Shooting foul by K. Séraphin (drawn by M. Kidd-Gilchrist),79,60
306,4,11:25.0,,M. Kidd-Gilchrist misses free throw 1 of 2,79,60
307,4,11:25.0,,Offensive rebound by Team,79,60
308,4,11:25.0,,M. Kidd-Gilchrist makes free throw 2 of 2,79,61
309,4,11:07.0,K. Séraphin misses 2-pt jump shot from 17 ft,,79,61
310,4,11:06.0,,Defensive rebound by J. Maxiell,79,61
311,4,11:00.0,,Personal foul by G. Temple (drawn by L. Stephenson),79,61
312,4,10:48.0,,L. Stephenson misses 3-pt jump shot from 25 ft,79,61
313,4,10:47.0,Defensive rebound by O. Porter,,79,61
314,4,10:41.0,R. Sessions makes 2-pt layup from 1 ft (assist by O. Porter),,81,61
315,4,10:15.0,,L. Stephenson makes 2-pt jump shot from 18 ft,81,63
316,4,9:56.0,G. Temple misses 3-pt jump shot from 24 ft,,81,63
317,4,9:53.0,Offensive rebound by O. Porter,,81,63
318,4,9:53.0,O. Porter misses 2-pt jump shot from 5 ft,,81,63
319,4,9:50.0,Offensive rebound by O. Porter,,81,63
320,4,9:34.0,O. Porter misses 2-pt jump shot from 3 ft (block by J. Maxiell),,81,63
