,QUARTER,TIME_REMAINING,DALLAS_ACTION,ATLANTA_ACTION,DALLAS_SCORE,ATLANTA_SCORE
330,4,9:36.0,R. Jefferson misses 3-pt jump shot from 23 ft,,68,86
331,4,9:34.0,,Defensive rebound by A. Horford,68,86
332,4,9:29.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by M. Scott),68,89
333,4,9:22.0,Dallas full timeout,,68,89
334,4,9:22.0,D. Powell enters the game for A. Aminu,,68,89
335,4,9:22.0,G. Smith enters the game for C. Villanueva,,68,89
336,4,9:22.0,R. Felton enters the game for D. Harris,,68,89
337,4,9:17.0,R. Jefferson misses 2-pt layup from 1 ft,,68,89
338,4,9:14.0,Offensive rebound by G. Smith,,68,89
339,4,9:12.0,G. Smith misses 2-pt jump shot from 14 ft,,68,89
340,4,9:10.0,Offensive rebound by D. Powell,,68,89
341,4,9:10.0,D. Powell makes 2-pt layup at rim,,70,89
342,4,8:47.0,,A. Horford makes 2-pt jump shot from 12 ft (assist by D. Schröder),70,91
343,4,8:31.0,D. Powell misses 2-pt jump shot from 18 ft,,70,91
344,4,8:30.0,,Defensive rebound by A. Horford,70,91
345,4,8:21.0,,A. Horford makes 2-pt dunk at rim (assist by K. Korver),70,93
346,4,8:00.0,G. Smith makes 2-pt dunk at rim (assist by J. Barea),,72,93
347,4,7:34.0,,D. Schröder misses 3-pt jump shot from 25 ft,72,93
348,4,7:33.0,Defensive rebound by J. Barea,,72,93
349,4,7:24.0,R. Felton misses 3-pt jump shot from 24 ft,,72,93
350,4,7:23.0,,Defensive rebound by K. Bazemore,72,93
351,4,7:11.0,,D. Schröder misses 2-pt layup from 2 ft (block by R. Felton),72,93
352,4,7:09.0,Defensive rebound by G. Smith,,72,93
353,4,7:08.0,Shooting foul by K. Bazemore (drawn by R. Jefferson),,72,93
354,4,7:08.0,R. Jefferson makes 2-pt dunk at rim (assist by J. Barea),,74,93
355,4,7:08.0,,S. Mack enters the game for K. Korver,74,93
356,4,7:08.0,R. Jefferson makes free throw 1 of 1,,75,93
357,4,6:48.0,,M. Scott misses 3-pt jump shot from 23 ft,75,93
358,4,6:47.0,Defensive rebound by J. Barea,,75,93
359,4,6:35.0,,Violation by K. Bazemore (kicked ball),75,93
360,4,6:35.0,,P. Millsap enters the game for A. Horford,75,93
361,4,6:35.0,,K. Korver enters the game for K. Bazemore,75,93
362,4,6:35.0,,J. Teague enters the game for D. Schröder,75,93
363,4,6:35.0,B. James enters the game for J. Barea,,75,93
364,4,6:28.0,R. Jefferson misses 3-pt jump shot from 24 ft,,75,93
365,4,6:27.0,Offensive rebound by B. James,,75,93
366,4,6:16.0,D. Powell misses 2-pt jump shot from 4 ft,,75,93
367,4,6:15.0,,Defensive rebound by P. Millsap,75,93
368,4,6:05.0,,J. Teague misses 2-pt layup from 1 ft,75,93
369,4,6:04.0,,Offensive rebound by Team,75,93
370,4,6:02.0,,S. Mack makes 3-pt jump shot from 24 ft (assist by K. Korver),75,96
371,4,5:39.0,R. Felton makes 2-pt layup from 2 ft,,77,96
372,4,5:31.0,,M. Scott misses 3-pt jump shot from 25 ft,77,96
373,4,5:29.0,Defensive rebound by D. Powell,,77,96
374,4,5:15.0,R. Felton misses 2-pt jump shot from 4 ft (block by K. Korver),,77,96
375,4,5:14.0,Offensive rebound by B. James,,77,96
376,4,5:12.0,B. James misses 2-pt layup from 1 ft,,77,96
377,4,5:10.0,Offensive rebound by B. James,,77,96
378,4,5:08.0,Loose ball foul by D. Powell (drawn by J. Teague),,77,96
379,4,5:08.0,Turnover by D. Powell (offensive foul),,77,96
380,4,5:08.0,Official timeout,,77,96
381,4,5:08.0,A. Aminu enters the game for R. Jefferson,,77,96
382,4,4:58.0,,Personal foul by D. Powell (drawn by K. Korver),77,96
383,4,4:47.0,,S. Mack misses 3-pt jump shot from 24 ft,77,96
384,4,4:45.0,Defensive rebound by D. Powell,,77,96
385,4,4:29.0,D. Powell misses 3-pt jump shot from 24 ft,,77,96
386,4,4:28.0,,Defensive rebound by S. Mack,77,96
387,4,4:19.0,,P. Antić enters the game for P. Millsap,77,96
388,4,4:19.0,,J. Jenkins enters the game for K. Korver,77,96
389,4,4:19.0,,K. Bazemore enters the game for J. Teague,77,96
390,4,4:12.0,,Turnover by P. Antić (lost ball),77,96
391,4,3:52.0,Turnover by D. Powell (bad pass; steal by K. Bazemore),,77,96
