,QUARTER,TIME_REMAINING,TORONTO_ACTION,SACRAMENTO_ACTION,TORONTO_SCORE,SACRAMENTO_SCORE
57,1,5:03.0,,O. Casspi makes free throw 2 of 2,21,10
58,1,4:41.0,T. Ross misses 3-pt jump shot from 26 ft,,21,10
59,1,4:40.0,Offensive rebound by P. Patterson,,21,10
60,1,4:40.0,P. Patterson misses 2-pt tip-in from 1 ft,,21,10
61,1,4:40.0,Offensive rebound by Team,,21,10
62,1,4:40.0,,Loose ball foul by R. Gay (drawn by P. Patterson),21,10
63,1,4:31.0,A. Johnson makes 2-pt jump shot from 7 ft (assist by K. Lowry),,23,10
64,1,4:21.0,,Offensive foul by J. Thompson (drawn by A. Johnson),23,10
65,1,4:21.0,,Turnover by J. Thompson (offensive foul),23,10
66,1,4:21.0,,R. Evans enters the game for J. Thompson,23,10
67,1,3:57.0,K. Lowry makes 2-pt jump shot from 18 ft,,25,10
68,1,3:51.0,,Sacramento full timeout,25,10
69,1,3:51.0,,R. Sessions enters the game for B. McLemore,25,10
70,1,3:51.0,,N. Stauskas enters the game for D. Collison,25,10
71,1,3:51.0,L. Williams enters the game for K. Lowry,,25,10
72,1,3:40.0,,Shooting foul by A. Johnson (drawn by R. Evans),25,10
73,1,3:40.0,,R. Evans makes free throw 1 of 2,25,11
74,1,3:40.0,,R. Evans makes free throw 2 of 2,25,12
75,1,3:31.0,Offensive foul by P. Patterson (drawn by N. Stauskas),,25,12
76,1,3:31.0,Turnover by P. Patterson (offensive foul),,25,12
77,1,3:17.0,,Turnover by R. Sessions (bad pass; steal by G. Vásquez),25,12
78,1,2:59.0,Turnover by L. Williams (bad pass; steal by O. Casspi),,25,12
79,1,2:45.0,,Personal foul by G. Vásquez (drawn by R. Gay),25,12
80,1,2:39.0,,R. Gay makes 2-pt dunk at rim (assist by O. Casspi),25,14
81,1,2:19.0,T. Ross makes 2-pt jump shot from 11 ft,,27,14
82,1,2:05.0,,R. Evans makes 2-pt layup from 1 ft (assist by R. Gay),27,16
83,1,1:53.0,G. Vásquez misses 3-pt jump shot from 24 ft,,27,16
84,1,1:52.0,,Defensive rebound by R. Sessions,27,16
85,1,1:45.0,,R. Sessions makes 2-pt jump shot from 18 ft,27,18
86,1,1:37.0,Toronto full timeout,,27,18
87,1,1:37.0,K. Lowry enters the game for A. Johnson,,27,18
88,1,1:37.0,J. Valančiūnas enters the game for G. Vásquez,,27,18
89,1,1:22.0,T. Ross makes 2-pt jump shot from 21 ft,,29,18
90,1,1:07.0,,Shooting foul by L. Williams (drawn by R. Gay),29,18
91,1,1:07.0,,R. Gay makes free throw 1 of 2,29,19
92,1,1:07.0,,R. Gay makes free throw 2 of 2,29,20
93,1,0:57.0,Personal foul by R. Evans (drawn by P. Patterson),,29,20
94,1,0:47.0,L. Williams makes 2-pt jump shot from 18 ft (assist by K. Lowry),,31,20
95,1,0:26.0,,R. Gay makes 2-pt jump shot from 11 ft,31,22
96,1,0:00.0,L. Williams misses 3-pt jump shot from 26 ft,,31,22
97,1,0:00.0,Offensive rebound by Team,,31,22
98,2,11:42.0,L. Williams misses 3-pt jump shot from 24 ft,,31,22
99,2,11:41.0,,Defensive rebound by R. Sessions,31,22
100,2,11:28.0,,Shooting foul by L. Williams (drawn by N. Stauskas),31,22
101,2,11:28.0,,N. Stauskas misses free throw 1 of 2,31,22
102,2,11:28.0,,Offensive rebound by Team,31,22
103,2,11:28.0,,N. Stauskas makes free throw 2 of 2,31,23
104,2,11:16.0,P. Patterson misses 2-pt jump shot from 16 ft,,31,23
105,2,11:15.0,,Defensive rebound by R. Evans,31,23
106,2,11:08.0,,N. Stauskas makes 2-pt layup from 2 ft (assist by R. Sessions),31,25
107,2,10:58.0,P. Patterson makes 3-pt jump shot from 25 ft (assist by K. Lowry),,34,25
108,2,10:47.0,,R. Sessions makes 2-pt jump shot from 21 ft,34,27
109,2,10:23.0,J. Valančiūnas misses 2-pt jump shot from 14 ft,,34,27
110,2,10:22.0,,Defensive rebound by R. Evans,34,27
111,2,10:07.0,,R. Sessions misses 2-pt layup from 4 ft,34,27
112,2,10:05.0,Defensive rebound by J. Valančiūnas,,34,27
113,2,10:02.0,Shooting foul by O. Casspi (drawn by K. Lowry),,34,27
114,2,10:02.0,K. Lowry makes free throw 1 of 2,,35,27
115,2,10:02.0,K. Lowry makes free throw 2 of 2,,36,27
116,2,9:44.0,,O. Casspi makes 2-pt layup from 2 ft (assist by B. McLemore),36,29
117,2,9:27.0,J. Johnson misses 2-pt jump shot from 3 ft,,36,29
118,2,9:26.0,Offensive rebound by J. Valančiūnas,,36,29
119,2,9:25.0,J. Valančiūnas misses 2-pt layup from 2 ft,,36,29
120,2,9:25.0,,Defensive rebound by Team,36,29
121,2,9:25.0,Violation by J. Valančiūnas (kicked ball),,36,29
122,2,9:10.0,,Turnover by O. Casspi (lost ball; steal by J. Valančiūnas),36,29
123,2,8:56.0,K. Lowry misses 2-pt jump shot from 16 ft,,36,29
124,2,8:55.0,,Defensive rebound by O. Casspi,36,29
125,2,8:50.0,,O. Casspi makes 2-pt layup from 5 ft,36,31
126,2,8:38.0,L. Williams misses 2-pt jump shot from 15 ft,,36,31
127,2,8:36.0,,Defensive rebound by R. Sessions,36,31
128,2,8:30.0,,Personal foul by J. Johnson (drawn by B. McLemore),36,31
129,2,8:30.0,Official timeout,,36,31
130,2,8:30.0,A. Johnson enters the game for J. Valančiūnas,,36,31
131,2,8:30.0,T. Hansbrough enters the game for P. Patterson,,36,31
132,2,8:21.0,,B. McLemore makes 3-pt jump shot from 24 ft (assist by O. Casspi),36,34
133,2,8:07.0,Offensive foul by A. Johnson (drawn by R. Sessions),,36,34
134,2,8:07.0,Turnover by A. Johnson (offensive foul),,36,34
135,2,7:54.0,,N. Stauskas misses 3-pt jump shot from 24 ft,36,34
136,2,7:53.0,Defensive rebound by J. Johnson,,36,34
137,2,7:47.0,J. Johnson makes 2-pt layup from 2 ft,,38,34
138,2,7:35.0,,Personal foul by T. Hansbrough (drawn by R. Evans),38,34
139,2,7:29.0,,Shooting foul by K. Lowry (drawn by R. Sessions),38,34
140,2,7:29.0,,R. Sessions makes free throw 1 of 2,38,35
141,2,7:29.0,,R. Sessions makes free throw 2 of 2,38,36
142,2,7:09.0,Turnover by A. Johnson (lost ball; steal by B. McLemore),,38,36
143,2,7:05.0,,B. McLemore makes 2-pt layup from 2 ft,38,38
144,2,6:55.0,J. Johnson makes 2-pt jump shot from 7 ft,,40,38
145,2,6:55.0,Shooting foul by B. McLemore (drawn by J. Johnson),,40,38
146,2,6:55.0,T. Ross enters the game for L. Williams,,40,38
147,2,6:55.0,J. Johnson misses free throw 1 of 1,,40,38
148,2,6:53.0,Offensive rebound by T. Hansbrough,,40,38
149,2,6:39.0,T. Ross misses 3-pt jump shot from 24 ft,,40,38
150,2,6:38.0,,Defensive rebound by O. Casspi,40,38
151,2,6:34.0,,Personal foul by T. Ross (drawn by R. Sessions),40,38
152,2,6:34.0,,R. Sessions makes free throw 1 of 2,40,39
153,2,6:34.0,,R. Sessions misses free throw 2 of 2,40,39
154,2,6:33.0,Defensive rebound by J. Johnson,,40,39
155,2,6:25.0,J. Johnson makes 2-pt dunk at rim,,42,39
156,2,6:06.0,,Turnover by R. Evans (bad pass; steal by A. Johnson),42,39
157,2,5:57.0,T. Ross misses 3-pt jump shot from 22 ft,,42,39
158,2,5:56.0,Offensive rebound by A. Johnson,,42,39
159,2,5:36.0,J. Johnson misses 2-pt jump shot from 4 ft (block by O. Casspi),,42,39
160,2,5:36.0,Offensive rebound by Team,,42,39
161,2,5:36.0,,Sacramento full timeout,42,39
162,2,5:36.0,,R. Gay enters the game for R. Evans,42,39
163,2,5:36.0,,C. Landry enters the game for N. Stauskas,42,39
164,2,5:32.0,Turnover by J. Johnson (bad pass; steal by C. Landry),,42,39
165,2,5:29.0,,B. McLemore makes 2-pt dunk at rim (assist by C. Landry),42,41
166,2,5:29.0,,Shooting foul by T. Ross (drawn by B. McLemore),42,41
167,2,5:29.0,,B. McLemore makes free throw 1 of 1,42,42
168,2,5:13.0,J. Johnson makes 2-pt dunk at rim (assist by K. Lowry),,44,42
169,2,4:58.0,,B. McLemore makes 2-pt layup from 1 ft (assist by R. Gay),44,44
170,2,4:39.0,K. Lowry misses 2-pt layup from 3 ft,,44,44
171,2,4:38.0,,Defensive rebound by Team,44,44
172,2,4:38.0,G. Vásquez enters the game for T. Ross,,44,44
173,2,4:29.0,,Offensive foul by C. Landry (drawn by J. Johnson),44,44
174,2,4:29.0,,Turnover by C. Landry (offensive foul),44,44
175,2,4:29.0,Technical foul by A. Johnson,,44,44
176,2,4:29.0,,O. Casspi makes technical free throw,44,45
177,2,4:15.0,A. Johnson makes 2-pt layup from 2 ft (assist by K. Lowry),,46,45
178,2,3:59.0,,Turnover by O. Casspi (lost ball; steal by T. Hansbrough),46,45
179,2,3:52.0,Shooting foul by C. Landry (drawn by K. Lowry),,46,45
180,2,3:52.0,K. Lowry makes free throw 1 of 2,,47,45
181,2,3:52.0,,J. Thompson enters the game for O. Casspi,47,45
182,2,3:52.0,K. Lowry makes free throw 2 of 2,,48,45
183,2,3:40.0,,Offensive foul by C. Landry (drawn by T. Hansbrough),48,45
184,2,3:40.0,,Turnover by C. Landry (offensive foul),48,45
185,2,3:40.0,,D. Collison enters the game for R. Sessions,48,45
186,2,3:40.0,,R. Evans enters the game for C. Landry,48,45
187,2,3:40.0,L. Williams enters the game for A. Johnson,,48,45
188,2,3:40.0,P. Patterson enters the game for K. Lowry,,48,45
189,2,3:19.0,G. Vásquez makes 2-pt layup from 2 ft,,50,45
190,2,2:57.0,,R. Gay misses 2-pt jump shot from 18 ft,50,45
191,2,2:56.0,,Offensive rebound by J. Thompson,50,45
192,2,2:53.0,,R. Gay makes 2-pt jump shot from 8 ft (assist by J. Thompson),50,47
193,2,2:36.0,Shooting foul by B. McLemore (drawn by L. Williams),,50,47
194,2,2:36.0,Toronto full timeout,,50,47
195,2,2:36.0,L. Williams makes free throw 1 of 2,,51,47
196,2,2:36.0,L. Williams makes free throw 2 of 2,,52,47
197,2,2:21.0,,R. Gay makes 2-pt dunk at rim (assist by D. Collison),52,49
198,2,2:02.0,J. Johnson makes 2-pt layup from 3 ft,,54,49
199,2,1:48.0,,B. McLemore makes 2-pt jump shot from 18 ft (assist by D. Collison),54,51
200,2,1:30.0,J. Johnson misses 2-pt hook shot from 3 ft,,54,51
201,2,1:29.0,Offensive rebound by T. Hansbrough,,54,51
202,2,1:22.0,P. Patterson makes 3-pt jump shot from 24 ft (assist by G. Vásquez),,57,51
203,2,1:03.0,,R. Evans makes 2-pt hook shot from 5 ft,57,53
204,2,0:44.0,G. Vásquez misses 2-pt jump shot from 6 ft (block by J. Thompson),,57,53
205,2,0:42.0,,Defensive rebound by D. Collison,57,53
206,2,0:37.0,,D. Collison misses 2-pt jump shot from 4 ft,57,53
207,2,0:36.0,Defensive rebound by J. Johnson,,57,53
208,2,0:29.0,Turnover by G. Vásquez (bad pass),,57,53
209,2,0:06.0,,J. Thompson makes 2-pt jump shot from 17 ft (assist by R. Gay),57,55
210,2,0:00.0,L. Williams misses 3-pt jump shot from 25 ft,,57,55
211,2,0:00.0,Offensive rebound by Team,,57,55
212,3,11:38.0,K. Lowry misses 3-pt jump shot from 24 ft,,57,55
213,3,11:38.0,,Defensive rebound by D. Collison,57,55
214,3,11:38.0,Offensive charge foul by O. Casspi (drawn by A. Johnson),,57,55
215,3,11:38.0,,Turnover by O. Casspi (offensive foul),57,55
216,3,11:25.0,Shooting foul by J. Thompson (drawn by J. Valančiūnas),,57,55
217,3,11:25.0,J. Valančiūnas makes free throw 1 of 2,,58,55
218,3,11:25.0,J. Valančiūnas makes free throw 2 of 2,,59,55
219,3,11:05.0,,O. Casspi makes 2-pt layup from 3 ft (assist by R. Gay),59,57
220,3,10:43.0,G. Vásquez makes 3-pt jump shot from 24 ft (assist by K. Lowry),,62,57
221,3,10:19.0,,B. McLemore makes 2-pt layup from 3 ft (assist by D. Collison),62,59
222,3,10:19.0,,Shooting foul by K. Lowry (drawn by B. McLemore),62,59
223,3,10:19.0,,B. McLemore makes free throw 1 of 1,62,60
224,3,9:58.0,G. Vásquez makes 2-pt jump shot from 3 ft,,64,60
225,3,9:51.0,,Shooting foul by G. Vásquez (drawn by D. Collison),64,60
226,3,9:51.0,,D. Collison makes free throw 1 of 2,64,61
227,3,9:51.0,,D. Collison makes free throw 2 of 2,64,62
228,3,9:34.0,Shooting foul by J. Thompson (drawn by J. Valančiūnas),,64,62
229,3,9:34.0,J. Valančiūnas makes free throw 1 of 2,,65,62
230,3,9:34.0,,R. Evans enters the game for J. Thompson,65,62
231,3,9:34.0,J. Valančiūnas makes free throw 2 of 2,,66,62
232,3,9:20.0,,D. Collison misses 2-pt jump shot from 20 ft,66,62
233,3,9:19.0,Defensive rebound by J. Valančiūnas,,66,62
234,3,9:07.0,T. Ross makes 3-pt jump shot from 25 ft (assist by K. Lowry),,69,62
235,3,8:44.0,,Def 3 sec tech foul by J. Valančiūnas,69,62
236,3,8:44.0,,R. Gay makes technical free throw,69,63
237,3,8:36.0,,D. Collison misses 2-pt layup from 1 ft,69,63
238,3,8:34.0,Defensive rebound by A. Johnson,,69,63
239,3,8:31.0,G. Vásquez makes 2-pt layup from 2 ft (assist by K. Lowry),,71,63
240,3,8:16.0,,B. McLemore makes 2-pt jump shot from 15 ft (assist by R. Gay),71,65
241,3,8:05.0,Offensive foul by T. Ross (drawn by D. Collison),,71,65
242,3,8:05.0,Turnover by T. Ross (offensive foul),,71,65
243,3,8:05.0,J. Johnson enters the game for T. Ross,,71,65
244,3,7:49.0,,R. Gay misses 2-pt jump shot from 5 ft,71,65
245,3,7:48.0,,Offensive rebound by R. Evans,71,65
246,3,7:43.0,,R. Evans makes 2-pt layup from 1 ft (assist by O. Casspi),71,67
247,3,7:25.0,J. Valančiūnas makes 2-pt jump shot from 16 ft (assist by G. Vásquez),,73,67
248,3,7:09.0,,Personal foul by A. Johnson (drawn by O. Casspi),73,67
249,3,6:55.0,,Turnover by Team (shot clock),73,67
250,3,6:43.0,G. Vásquez misses 2-pt jump shot from 18 ft,,73,67
251,3,6:42.0,,Defensive rebound by O. Casspi,73,67
252,3,6:34.0,,R. Gay makes 2-pt jump shot from 9 ft (assist by O. Casspi),73,69
253,3,6:13.0,K. Lowry makes 2-pt jump shot from 9 ft,,75,69
254,3,6:08.0,,O. Casspi misses 2-pt jump shot from 4 ft,75,69
255,3,6:07.0,Defensive rebound by J. Johnson,,75,69
256,3,6:00.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by G. Vásquez),,77,69
257,3,6:00.0,,Sacramento full timeout,77,69
258,3,6:00.0,P. Patterson enters the game for A. Johnson,,77,69
259,3,5:41.0,,B. McLemore misses 3-pt jump shot from 25 ft,77,69
260,3,5:40.0,Defensive rebound by G. Vásquez,,77,69
261,3,5:34.0,J. Johnson makes 2-pt layup from 2 ft (assist by G. Vásquez),,79,69
262,3,5:18.0,,Turnover by D. Collison (bad pass; steal by K. Lowry),79,69
263,3,5:12.0,Turnover by K. Lowry (traveling),,79,69
264,3,5:12.0,,R. Sessions enters the game for B. McLemore,79,69
265,3,5:12.0,,N. Stauskas enters the game for D. Collison,79,69
266,3,4:57.0,,Personal foul by P. Patterson (drawn by O. Casspi),79,69
267,3,4:46.0,,Personal foul by K. Lowry (drawn by N. Stauskas),79,69
268,3,4:46.0,L. Williams enters the game for G. Vásquez,,79,69
269,3,4:46.0,,N. Stauskas misses free throw 1 of 2,79,69
270,3,4:46.0,,Offensive rebound by Team,79,69
271,3,4:46.0,,N. Stauskas makes free throw 2 of 2,79,70
272,3,4:33.0,Personal foul by N. Stauskas (drawn by L. Williams),,79,70
273,3,4:27.0,K. Lowry makes 2-pt jump shot from 13 ft,,81,70
274,3,4:06.0,,R. Sessions makes 2-pt jump shot from 16 ft (assist by O. Casspi),81,72
275,3,3:56.0,Personal foul by R. Evans (drawn by J. Valančiūnas),,81,72
276,3,3:46.0,J. Johnson makes 3-pt jump shot from 25 ft (assist by K. Lowry),,84,72
277,3,3:26.0,,Turnover by R. Sessions (bad pass; steal by P. Patterson),84,72
278,3,3:22.0,P. Patterson misses 2-pt dunk at rim,,84,72
279,3,3:20.0,,Defensive rebound by O. Casspi,84,72
280,3,3:12.0,,Turnover by R. Gay (bad pass; steal by J. Johnson),84,72
281,3,3:06.0,J. Johnson makes 2-pt jump shot from 6 ft,,86,72
282,3,3:06.0,,Sacramento full timeout,86,72
283,3,3:06.0,G. Vásquez enters the game for K. Lowry,,86,72
284,3,2:53.0,,Shooting foul by L. Williams (drawn by N. Stauskas),86,72
285,3,2:53.0,,N. Stauskas makes free throw 1 of 2,86,73
286,3,2:53.0,,N. Stauskas makes free throw 2 of 2,86,74
287,3,2:40.0,Turnover by G. Vásquez (bad pass),,86,74
288,3,2:40.0,Loose ball foul by J. Johnson (drawn by O. Casspi),,86,74
289,3,2:40.0,,O. Casspi misses free throw 1 of 2,86,74
290,3,2:40.0,,Offensive rebound by Team,86,74
291,3,2:40.0,,O. Casspi misses free throw 2 of 2,86,74
292,3,2:39.0,Defensive rebound by G. Vásquez,,86,74
293,3,2:23.0,L. Williams misses 2-pt jump shot from 6 ft,,86,74
294,3,2:23.0,Offensive rebound by Team,,86,74
295,3,2:23.0,,Loose ball foul by R. Evans (drawn by J. Valančiūnas),86,74
296,3,2:23.0,J. Valančiūnas makes free throw 1 of 2,,87,74
297,3,2:23.0,,D. Williams enters the game for O. Casspi,87,74
298,3,2:23.0,J. Valančiūnas makes free throw 2 of 2,,88,74
299,3,2:10.0,,R. Sessions makes 2-pt jump shot from 5 ft,88,76
300,3,1:52.0,L. Williams misses 2-pt jump shot from 5 ft,,88,76
301,3,1:51.0,,Defensive rebound by R. Evans,88,76
302,3,1:43.0,,R. Gay misses 2-pt jump shot from 3 ft,88,76
303,3,1:43.0,,Offensive rebound by Team,88,76
304,3,1:43.0,Loose ball foul by G. Vásquez (drawn by R. Evans),,88,76
305,3,1:43.0,,R. Evans makes free throw 1 of 2,88,77
306,3,1:43.0,,R. Evans makes free throw 2 of 2,88,78
307,3,1:31.0,G. Vásquez misses 2-pt jump shot from 9 ft,,88,78
308,3,1:29.0,,Defensive rebound by R. Evans,88,78
309,3,1:22.0,,D. Williams makes 3-pt jump shot from 23 ft (assist by R. Sessions),88,81
310,3,1:08.0,P. Patterson misses 2-pt jump shot from 4 ft,,88,81
311,3,1:07.0,Offensive rebound by P. Patterson,,88,81
312,3,1:05.0,P. Patterson makes 2-pt jump shot from 3 ft,,90,81
313,3,0:50.0,,D. Williams makes 2-pt layup from 3 ft (assist by R. Gay),90,83
314,3,0:50.0,Toronto full timeout,,90,83
315,3,0:33.0,L. Williams misses 3-pt jump shot from 24 ft,,90,83
316,3,0:33.0,Offensive rebound by P. Patterson,,90,83
317,3,0:31.0,P. Patterson makes 2-pt hook shot from 4 ft,,92,83
318,3,0:15.0,,D. Williams misses 3-pt jump shot from 23 ft,92,83
319,3,0:13.0,Defensive rebound by Team,,92,83
320,3,0:00.0,L. Williams misses 2-pt jump shot from 12 ft,,92,83
321,3,0:00.0,Offensive rebound by Team,,92,83
322,4,11:40.0,,Shooting foul by J. Johnson (drawn by R. Sessions),92,83
323,4,11:40.0,,R. Sessions makes free throw 1 of 2,92,84
324,4,11:40.0,L. Williams enters the game for J. Johnson,,92,84
325,4,11:40.0,,R. Sessions makes free throw 2 of 2,92,85
326,4,11:21.0,T. Ross misses 2-pt jump shot from 8 ft,,92,85
327,4,11:20.0,Offensive rebound by A. Johnson,,92,85
328,4,11:20.0,Personal foul by R. Evans (drawn by A. Johnson),,92,85
329,4,11:15.0,G. Vásquez makes 3-pt jump shot from 24 ft,,95,85
330,4,10:57.0,,D. Williams makes 2-pt layup from 2 ft (assist by R. Evans),95,87
331,4,10:32.0,P. Patterson makes 2-pt hook shot from 8 ft (assist by G. Vásquez),,97,87
332,4,10:18.0,,R. Sessions misses 2-pt jump shot from 8 ft,97,87
333,4,10:16.0,,Offensive rebound by R. Evans,97,87
334,4,10:15.0,,Shooting foul by P. Patterson (drawn by D. Williams),97,87
335,4,10:15.0,,D. Williams misses free throw 1 of 2,97,87
336,4,10:15.0,,Offensive rebound by Team,97,87
337,4,10:15.0,,J. Thompson enters the game for N. Stauskas,97,87
338,4,10:15.0,K. Lowry enters the game for L. Williams,,97,87
339,4,10:15.0,,D. Williams makes free throw 2 of 2,97,88
340,4,10:05.0,Shooting foul by D. Williams (drawn by A. Johnson),,97,88
341,4,10:05.0,A. Johnson makes free throw 1 of 2,,98,88
342,4,10:05.0,A. Johnson makes free throw 2 of 2,,99,88
343,4,9:47.0,,D. Williams makes 2-pt layup from 1 ft (assist by R. Sessions),99,90
344,4,9:28.0,P. Patterson misses 3-pt jump shot from 24 ft,,99,90
345,4,9:27.0,,Defensive rebound by D. Williams,99,90
346,4,9:12.0,,B. McLemore misses 2-pt jump shot from 19 ft,99,90
347,4,9:12.0,,Offensive rebound by Team,99,90
348,4,9:12.0,Loose ball foul by A. Johnson (drawn by R. Evans),,99,90
349,4,9:12.0,,R. Gay enters the game for R. Evans,99,90
350,4,9:12.0,J. Valančiūnas enters the game for A. Johnson,,99,90
351,4,8:58.0,,R. Gay makes 3-pt jump shot from 23 ft (assist by R. Sessions),99,93
352,4,8:43.0,K. Lowry makes 2-pt layup from 2 ft,,101,93
353,4,8:25.0,,B. McLemore misses 2-pt jump shot from 17 ft,101,93
354,4,8:24.0,,Offensive rebound by D. Williams,101,93
355,4,8:24.0,,D. Williams makes 2-pt dunk at rim,101,95
356,4,8:00.0,T. Ross misses 3-pt jump shot from 24 ft,,101,95
357,4,7:57.0,,Defensive rebound by R. Sessions,101,95
358,4,7:50.0,,R. Sessions misses 2-pt jump shot from 17 ft,101,95
359,4,7:50.0,,Offensive rebound by Team,101,95
360,4,7:50.0,Loose ball foul by G. Vásquez (drawn by J. Thompson),,101,95
361,4,7:50.0,Official timeout,,101,95
362,4,7:50.0,J. Johnson enters the game for G. Vásquez,,101,95
363,4,7:50.0,A. Johnson enters the game for P. Patterson,,101,95
364,4,7:38.0,,D. Williams misses 2-pt jump shot from 5 ft,101,95
365,4,7:37.0,Defensive rebound by J. Johnson,,101,95
366,4,7:29.0,T. Ross makes 2-pt jump shot from 6 ft (assist by K. Lowry),,103,95
367,4,7:13.0,,D. Williams makes 2-pt layup from 2 ft (assist by B. McLemore),103,97
368,4,7:13.0,,Shooting foul by J. Valančiūnas (drawn by D. Williams),103,97
369,4,7:13.0,,D. Williams misses free throw 1 of 1,103,97
370,4,7:08.0,Defensive rebound by J. Valančiūnas,,103,97
371,4,6:52.0,K. Lowry misses 2-pt jump shot from 12 ft,,103,97
372,4,6:52.0,,Defensive rebound by R. Gay,103,97
373,4,6:46.0,,B. McLemore misses 3-pt jump shot from 23 ft,103,97
374,4,6:43.0,,Offensive rebound by D. Williams,103,97
375,4,6:43.0,,D. Williams makes 2-pt dunk at rim,103,99
376,4,6:28.0,K. Lowry misses 2-pt jump shot from 8 ft,,103,99
377,4,6:27.0,Offensive rebound by Team,,103,99
378,4,6:27.0,,Loose ball foul by J. Thompson (drawn by K. Lowry),103,99
379,4,6:14.0,J. Valančiūnas misses 2-pt jump shot from 6 ft,,103,99
380,4,6:13.0,Offensive rebound by J. Johnson,,103,99
