,QUARTER,TIME_REMAINING,DETROIT_ACTION,LA CLIPPERS_ACTION,DETROIT_SCORE,LA CLIPPERS_SCORE
109,1,0:05.0,,J. Farmar makes 3-pt jump shot from 24 ft (assist by J. Crawford),27,29
110,1,0:01.0,,Offensive charge foul by B. Jennings (drawn by G. Davis),27,29
111,1,0:01.0,Turnover by B. Jennings (offensive foul),,27,29
112,1,0:01.0,,C. Douglas-Roberts enters the game for G. Davis,27,29
113,2,11:38.0,J. Smith misses 2-pt jump shot from 17 ft,,27,29
114,2,11:35.0,Offensive rebound by G. Monroe,,27,29
115,2,11:35.0,Turnover by Team (shot clock),,27,29
116,2,11:18.0,,B. Griffin misses 2-pt hook shot from 2 ft,27,29
117,2,11:15.0,Defensive rebound by G. Monroe,,27,29
118,2,11:05.0,C. Butler makes 2-pt jump shot from 17 ft (assist by J. Smith),,29,29
119,2,10:47.0,,C. Douglas-Roberts misses 2-pt jump shot from 4 ft,29,29
120,2,10:46.0,Defensive rebound by G. Monroe,,29,29
121,2,10:28.0,J. Meeks misses 3-pt jump shot from 25 ft,,29,29
122,2,10:27.0,,Defensive rebound by G. Davis,29,29
123,2,10:17.0,,J. Crawford misses 3-pt jump shot from 26 ft,29,29
124,2,10:16.0,Defensive rebound by J. Smith,,29,29
125,2,10:06.0,G. Monroe misses 2-pt hook shot from 9 ft,,29,29
126,2,10:04.0,,Defensive rebound by B. Griffin,29,29
127,2,9:59.0,,C. Douglas-Roberts misses 2-pt layup from 2 ft (block by J. Smith),29,29
128,2,9:53.0,Defensive rebound by J. Smith,,29,29
129,2,9:51.0,Turnover by D. Augustin (bad pass; steal by J. Crawford),,29,29
130,2,9:43.0,,J. Farmar makes 2-pt layup from 2 ft (assist by B. Griffin),29,31
131,2,9:20.0,C. Butler makes 3-pt jump shot from 23 ft (assist by J. Smith),,32,31
132,2,9:06.0,,Turnover by B. Griffin (bad pass),32,31
133,2,9:06.0,A. Drummond enters the game for J. Smith,,32,31
134,2,9:06.0,,D. Jordan enters the game for B. Griffin,32,31
135,2,8:54.0,J. Meeks misses 2-pt jump shot from 18 ft,,32,31
136,2,8:53.0,,Defensive rebound by J. Farmar,32,31
137,2,8:45.0,,J. Farmar makes 2-pt jump shot from 16 ft,32,33
138,2,8:26.0,Official timeout,,32,33
139,2,8:26.0,Turnover by G. Monroe (lost ball; steal by G. Davis),,32,33
140,2,8:01.0,,J. Farmar makes 3-pt jump shot from 25 ft (assist by G. Davis),32,36
141,2,7:37.0,G. Monroe makes 2-pt jump shot from 15 ft (assist by J. Meeks),,34,36
142,2,7:25.0,,J. Crawford misses 2-pt jump shot from 16 ft,34,36
143,2,7:24.0,,Offensive rebound by D. Jordan,34,36
144,2,7:23.0,,D. Jordan misses 2-pt tip-in from 2 ft,34,36
145,2,7:20.0,,Offensive rebound by D. Jordan,34,36
146,2,7:20.0,,D. Jordan makes 2-pt tip-in from 1 ft,34,38
147,2,7:08.0,Personal foul by G. Davis (drawn by A. Drummond),,34,38
148,2,7:01.0,Turnover by J. Meeks (lost ball),,34,38
149,2,6:39.0,,G. Davis makes 2-pt layup from 1 ft (assist by J. Farmar),34,40
150,2,6:29.0,Personal foul by J. Farmar (drawn by D. Augustin),,34,40
151,2,6:29.0,K. Caldwell-Pope enters the game for J. Meeks,,34,40
152,2,6:15.0,A. Drummond misses 2-pt hook shot from 2 ft,,34,40
153,2,6:12.0,Offensive rebound by G. Monroe,,34,40
154,2,6:12.0,G. Monroe misses 2-pt hook shot from 1 ft,,34,40
155,2,6:09.0,Offensive rebound by G. Monroe,,34,40
156,2,6:09.0,G. Monroe makes 2-pt tip-in at rim,,36,40
157,2,6:01.0,,Def 3 sec tech foul by A. Drummond,36,40
158,2,6:01.0,,J. Crawford makes technical free throw,36,41
159,2,5:49.0,,D. Jordan makes 2-pt dunk at rim (assist by J. Crawford),36,43
160,2,5:36.0,G. Monroe misses 2-pt jump shot from 19 ft,,36,43
161,2,5:33.0,Offensive rebound by D. Augustin,,36,43
162,2,5:25.0,Turnover by G. Monroe (lost ball; steal by G. Davis),,36,43
163,2,5:13.0,,J. Farmar makes 2-pt jump shot from 22 ft,36,45
164,2,5:04.0,Detroit full timeout,,36,45
165,2,5:04.0,,B. Griffin enters the game for G. Davis,36,45
166,2,5:04.0,B. Jennings enters the game for G. Monroe,,36,45
167,2,5:04.0,J. Smith enters the game for C. Butler,,36,45
168,2,4:51.0,A. Drummond misses 2-pt layup from 1 ft,,36,45
169,2,4:48.0,,Defensive rebound by D. Jordan,36,45
170,2,4:41.0,,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),36,47
171,2,4:16.0,Turnover by D. Augustin (bad pass),,36,47
172,2,3:58.0,,B. Griffin misses 2-pt jump shot from 20 ft,36,47
173,2,3:56.0,,Offensive rebound by D. Jordan,36,47
