,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,GOLDEN STATE_ACTION,PHILADELPHIA_SCORE,GOLDEN STATE_SCORE
51,1,5:16.0,,M. Speights makes 2-pt jump shot from 19 ft (assist by S. Curry),11,15
52,1,4:58.0,Turnover by J. Grant (lost ball; steal by D. Green),,11,15
53,1,4:49.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by M. Speights),11,18
54,1,4:42.0,Shooting foul by M. Speights (drawn by K. McDaniels),,11,18
55,1,4:42.0,K. McDaniels makes free throw 1 of 2,,12,18
56,1,4:42.0,,D. Lee enters the game for M. Speights,12,18
57,1,4:42.0,,A. Iguodala enters the game for H. Barnes,12,18
58,1,4:42.0,F. Aldemir enters the game for N. Noel,,12,18
59,1,4:42.0,K. McDaniels misses free throw 2 of 2,,12,18
60,1,4:42.0,,Defensive rebound by A. Iguodala,12,18
61,1,4:29.0,,D. Lee makes 2-pt dunk at rim (assist by K. Thompson),12,20
62,1,4:14.0,Turnover by R. Covington (bad pass; steal by D. Green),,12,20
63,1,4:07.0,,K. Thompson makes 2-pt dunk at rim (assist by S. Curry),12,22
64,1,3:51.0,Shooting foul by K. Thompson (drawn by K. McDaniels),,12,22
65,1,3:51.0,K. McDaniels makes free throw 1 of 2,,13,22
66,1,3:51.0,T. Wroten enters the game for R. Covington,,13,22
67,1,3:51.0,K. McDaniels makes free throw 2 of 2,,14,22
68,1,3:40.0,,D. Lee misses 2-pt hook shot from 2 ft,14,22
69,1,3:39.0,Defensive rebound by J. Grant,,14,22
70,1,3:34.0,Turnover by J. Grant (bad pass),,14,22
71,1,3:20.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green),14,25
72,1,3:01.0,Shooting foul by D. Green (drawn by J. Grant),,14,25
73,1,3:01.0,J. Grant misses free throw 1 of 2,,14,25
74,1,3:01.0,Offensive rebound by Team,,14,25
75,1,3:01.0,,S. Livingston enters the game for K. Thompson,14,25
76,1,3:01.0,J. Grant makes free throw 2 of 2,,15,25
77,1,2:48.0,,Shooting foul by K. McDaniels (drawn by S. Curry),15,25
78,1,2:48.0,,Golden State full timeout,15,25
79,1,2:48.0,R. Covington enters the game for M. Carter-Williams,,15,25
80,1,2:48.0,M. Thomas enters the game for J. Grant,,15,25
81,1,2:48.0,,S. Curry makes free throw 1 of 2,15,26
82,1,2:48.0,,S. Curry makes free throw 2 of 2,15,27
83,1,2:48.0,Turnover by M. Thomas (bad pass; steal by S. Curry),,15,27
84,1,2:43.0,,A. Iguodala makes 2-pt dunk at rim (assist by S. Curry),15,29
85,1,2:29.0,R. Covington makes 2-pt jump shot from 8 ft,,17,29
86,1,2:17.0,,Turnover by D. Lee (bad pass),17,29
87,1,2:04.0,Turnover by K. McDaniels (bad pass; steal by S. Livingston),,17,29
88,1,1:59.0,,Personal foul by F. Aldemir (drawn by A. Iguodala),17,29
89,1,1:52.0,,D. Lee misses 2-pt layup from 1 ft (block by K. McDaniels),17,29
90,1,1:50.0,Defensive rebound by M. Thomas,,17,29
91,1,1:47.0,Turnover by R. Covington (lost ball; steal by D. Green),,17,29
92,1,1:42.0,,S. Curry misses 3-pt jump shot from 25 ft,17,29
93,1,1:39.0,Defensive rebound by R. Covington,,17,29
94,1,1:38.0,Turnover by R. Covington (lost ball; steal by D. Lee),,17,29
95,1,1:25.0,,D. Lee makes 2-pt layup from 1 ft (assist by A. Iguodala),17,31
96,1,1:11.0,Personal foul by S. Curry (drawn by T. Wroten),,17,31
97,1,1:11.0,,J. Holiday enters the game for S. Curry,17,31
98,1,1:04.0,K. McDaniels misses 2-pt layup from 2 ft (block by J. Holiday),,17,31
99,1,1:02.0,,Defensive rebound by Team,17,31
100,1,0:50.0,,Turnover by D. Green (bad pass; steal by T. Wroten),17,31
101,1,0:33.0,T. Wroten misses 2-pt jump shot from 4 ft (block by D. Green),,17,31
102,1,0:33.0,Offensive rebound by Team,,17,31
103,1,0:31.0,R. Covington misses 3-pt jump shot from 23 ft,,17,31
104,1,0:30.0,,Defensive rebound by D. Green,17,31
105,1,0:25.0,,Shooting foul by K. McDaniels (drawn by J. Holiday),17,31
106,1,0:25.0,,J. Holiday makes free throw 1 of 2,17,32
107,1,0:25.0,,H. Barnes enters the game for D. Green,17,32
108,1,0:25.0,J. Grant enters the game for K. McDaniels,,17,32
109,1,0:25.0,,J. Holiday misses free throw 2 of 2,17,32
110,1,0:22.0,Defensive rebound by F. Aldemir,,17,32
111,1,0:03.0,Turnover by T. Wroten (bad pass; steal by S. Livingston),,17,32
112,2,11:46.0,,J. Holiday misses 2-pt dunk at rim,17,32
113,2,11:45.0,,Offensive rebound by J. Holiday,17,32
114,2,11:44.0,,J. Holiday misses 2-pt layup from 2 ft,17,32
115,2,11:43.0,,Offensive rebound by H. Barnes,17,32
116,2,11:38.0,,Turnover by J. Holiday (step out of bounds),17,32
117,2,11:24.0,H. Sims makes 2-pt layup from 2 ft,,19,32
118,2,11:16.0,,Personal foul by K. McDaniels (drawn by J. Holiday),19,32
119,2,11:16.0,J. Sampson enters the game for K. McDaniels,,19,32
120,2,11:05.0,,S. Livingston makes 2-pt jump shot from 15 ft,19,34
121,2,10:47.0,Turnover by T. Wroten (bad pass),,19,34
122,2,10:34.0,,H. Barnes makes 2-pt jump shot from 17 ft (assist by S. Livingston),19,36
123,2,10:15.0,Turnover by N. Noel (lost ball; steal by J. Holiday),,19,36
124,2,10:00.0,,H. Barnes makes 2-pt jump shot from 11 ft,19,38
125,2,10:00.0,Philadelphia full timeout,,19,38
126,2,9:43.0,Turnover by T. Wroten (bad pass; steal by A. Iguodala),,19,38
127,2,9:39.0,,Shooting foul by H. Sims (drawn by H. Barnes),19,38
128,2,9:39.0,,H. Barnes misses free throw 1 of 2,19,38
129,2,9:39.0,,Offensive rebound by Team,19,38
130,2,9:39.0,,H. Barnes makes free throw 2 of 2,19,39
131,2,9:17.0,M. Carter-Williams misses 2-pt jump shot from 17 ft,,19,39
132,2,9:16.0,,Defensive rebound by J. Holiday,19,39
133,2,9:09.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by S. Livingston),19,42
134,2,8:45.0,J. Sampson misses 3-pt jump shot from 26 ft,,19,42
135,2,8:44.0,,Defensive rebound by S. Livingston,19,42
136,2,8:37.0,,J. Holiday misses 2-pt jump shot from 7 ft,19,42
137,2,8:36.0,Defensive rebound by N. Noel,,19,42
138,2,8:20.0,T. Wroten misses 3-pt jump shot from 28 ft,,19,42
139,2,8:18.0,,Defensive rebound by J. Holiday,19,42
140,2,8:10.0,,Turnover by J. Holiday (bad pass; steal by T. Wroten),19,42
141,2,8:09.0,Personal foul by J. Holiday (drawn by T. Wroten),,19,42
142,2,8:09.0,,K. Thompson enters the game for J. Holiday,19,42
143,2,8:09.0,J. Grant enters the game for J. Sampson,,19,42
144,2,8:09.0,R. Covington enters the game for T. Wroten,,19,42
145,2,7:45.0,M. Carter-Williams misses 2-pt jump shot from 5 ft,,19,42
146,2,7:44.0,,Defensive rebound by Team,19,42
147,2,7:30.0,,D. Lee misses 2-pt hook shot from 7 ft,19,42
148,2,7:29.0,Defensive rebound by N. Noel,,19,42
149,2,7:23.0,R. Covington makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),,22,42
150,2,7:00.0,,H. Barnes misses 2-pt jump shot from 19 ft,22,42
151,2,6:59.0,Defensive rebound by H. Sims,,22,42
152,2,6:47.0,N. Noel misses 2-pt hook shot from 5 ft,,22,42
153,2,6:46.0,,Defensive rebound by H. Barnes,22,42
154,2,6:37.0,,D. Lee makes 2-pt layup from 1 ft (assist by S. Livingston),22,44
155,2,6:24.0,Shooting foul by D. Lee (drawn by N. Noel),,22,44
156,2,6:24.0,N. Noel makes 2-pt dunk at rim (assist by M. Carter-Williams),,24,44
157,2,6:24.0,,M. Speights enters the game for D. Lee,24,44
158,2,6:24.0,N. Noel misses free throw 1 of 1,,24,44
159,2,6:24.0,Offensive rebound by Team,,24,44
160,2,6:15.0,J. Grant misses 2-pt jump shot from 9 ft,,24,44
161,2,6:14.0,Offensive rebound by J. Grant,,24,44
162,2,6:13.0,J. Grant misses 2-pt layup from 2 ft (block by M. Speights),,24,44
163,2,6:11.0,Offensive rebound by H. Sims,,24,44
164,2,6:10.0,H. Sims makes 2-pt layup from 2 ft,,26,44
165,2,5:56.0,,M. Speights makes 2-pt jump shot from 17 ft (assist by S. Livingston),26,46
166,2,5:35.0,N. Noel misses 2-pt hook shot from 5 ft,,26,46
167,2,5:34.0,,Defensive rebound by M. Speights,26,46
168,2,5:24.0,,K. Thompson misses 3-pt jump shot from 25 ft,26,46
169,2,5:23.0,Defensive rebound by N. Noel,,26,46
170,2,5:14.0,M. Carter-Williams makes 2-pt layup from 1 ft,,28,46
171,2,5:08.0,,Golden State full timeout,28,46
172,2,5:08.0,,S. Curry enters the game for A. Iguodala,28,46
173,2,5:08.0,,D. Green enters the game for S. Livingston,28,46
174,2,5:08.0,M. Thomas enters the game for N. Noel,,28,46
175,2,5:01.0,,K. Thompson misses 3-pt jump shot from 28 ft,28,46
176,2,5:00.0,Defensive rebound by M. Thomas,,28,46
177,2,4:49.0,Turnover by M. Carter-Williams (bad pass; steal by D. Green),,28,46
178,2,4:37.0,,M. Speights makes 2-pt jump shot from 18 ft (assist by H. Barnes),28,48
179,2,4:18.0,M. Thomas misses 2-pt layup from 1 ft (block by M. Speights),,28,48
180,2,4:16.0,Offensive rebound by M. Thomas,,28,48
181,2,4:14.0,M. Thomas makes 2-pt hook shot from 4 ft,,30,48
182,2,4:08.0,,M. Speights makes 2-pt jump shot from 19 ft (assist by H. Barnes),30,50
183,2,3:43.0,Turnover by M. Carter-Williams (back court),,30,50
184,2,3:37.0,,M. Speights misses 2-pt layup from 1 ft,30,50
185,2,3:35.0,,Offensive rebound by M. Speights,30,50
186,2,3:35.0,,M. Speights misses 2-pt layup at rim,30,50
187,2,3:33.0,Defensive rebound by R. Covington,,30,50
188,2,3:30.0,Personal foul by S. Curry (drawn by M. Carter-Williams),,30,50
189,2,3:30.0,M. Carter-Williams misses free throw 1 of 2,,30,50
190,2,3:30.0,Offensive rebound by Team,,30,50
191,2,3:30.0,F. Aldemir enters the game for H. Sims,,30,50
192,2,3:30.0,M. Carter-Williams makes free throw 2 of 2,,31,50
193,2,3:15.0,,M. Speights makes 2-pt dunk at rim (assist by S. Curry),31,52
194,2,2:59.0,R. Covington misses 2-pt jump shot from 16 ft,,31,52
195,2,2:58.0,Offensive rebound by M. Thomas,,31,52
196,2,2:36.0,M. Carter-Williams misses 2-pt jump shot from 18 ft,,31,52
197,2,2:35.0,,Defensive rebound by K. Thompson,31,52
198,2,2:26.0,,D. Green makes 3-pt jump shot from 26 ft (assist by K. Thompson),31,55
199,2,2:19.0,Philadelphia full timeout,,31,55
200,2,2:19.0,Official timeout,,31,55
201,2,2:19.0,T. Wroten enters the game for J. Grant,,31,55
202,2,1:59.0,Turnover by Team (shot clock),,31,55
203,2,1:46.0,,D. Green misses 2-pt jump shot from 10 ft,31,55
204,2,1:45.0,,Offensive rebound by D. Green,31,55
205,2,1:39.0,,K. Thompson misses 3-pt jump shot from 23 ft,31,55
206,2,1:38.0,Defensive rebound by F. Aldemir,,31,55
207,2,1:26.0,T. Wroten makes 2-pt layup from 2 ft (assist by R. Covington),,33,55
208,2,1:26.0,Shooting foul by M. Speights (drawn by T. Wroten),,33,55
209,2,1:26.0,T. Wroten makes free throw 1 of 1,,34,55
210,2,1:14.0,,D. Green makes 2-pt layup from 1 ft (assist by M. Speights),34,57
211,2,1:14.0,,Shooting foul by M. Thomas (drawn by D. Green),34,57
212,2,1:14.0,,D. Green makes free throw 1 of 1,34,58
213,2,1:00.0,M. Thomas misses 2-pt layup from 2 ft (block by D. Green),,34,58
214,2,0:59.0,Offensive rebound by M. Carter-Williams,,34,58
215,2,0:52.0,Turnover by T. Wroten (lost ball),,34,58
216,2,0:43.0,,K. Thompson misses 3-pt jump shot from 25 ft,34,58
217,2,0:42.0,Defensive rebound by F. Aldemir,,34,58
218,2,0:23.0,R. Covington misses 2-pt jump shot from 4 ft,,34,58
219,2,0:20.0,,Defensive rebound by H. Barnes,34,58
220,2,0:04.0,,K. Thompson makes 3-pt jump shot from 27 ft (assist by S. Curry),34,61
221,2,0:01.0,T. Wroten misses 3-pt jump shot from 50 ft,,34,61
222,2,0:00.0,Offensive rebound by Team,,34,61
223,3,11:43.0,,Turnover by S. Curry (bad pass; steal by K. McDaniels),34,61
224,3,11:22.0,M. Carter-Williams misses 3-pt jump shot from 25 ft,,34,61
225,3,11:21.0,,Defensive rebound by D. Green,34,61
226,3,11:12.0,,M. Speights makes 2-pt jump shot from 19 ft (assist by D. Green),34,63
227,3,10:56.0,Personal foul by S. Curry (drawn by M. Carter-Williams),,34,63
228,3,10:47.0,H. Sims misses 2-pt jump shot from 13 ft,,34,63
229,3,10:46.0,,Defensive rebound by D. Green,34,63
230,3,10:36.0,,Turnover by K. Thompson (lost ball; steal by K. McDaniels),34,63
231,3,10:28.0,H. Sims makes 2-pt layup from 1 ft (assist by N. Noel),,36,63
232,3,10:15.0,,Shooting foul by K. McDaniels (drawn by D. Green),36,63
233,3,10:15.0,,D. Green makes free throw 1 of 2,36,64
234,3,10:15.0,,D. Green makes free throw 2 of 2,36,65
235,3,9:53.0,K. McDaniels makes 2-pt jump shot from 13 ft,,38,65
236,3,9:43.0,,K. Thompson misses 3-pt jump shot from 23 ft,38,65
237,3,9:41.0,Defensive rebound by N. Noel,,38,65
238,3,9:36.0,N. Noel misses 2-pt layup at rim,,38,65
239,3,9:35.0,Offensive rebound by N. Noel,,38,65
240,3,9:35.0,N. Noel misses 2-pt layup at rim,,38,65
241,3,9:34.0,Offensive rebound by H. Sims,,38,65
242,3,9:34.0,H. Sims makes 2-pt layup at rim,,40,65
243,3,9:34.0,Shooting foul by K. Thompson (drawn by H. Sims),,40,65
244,3,9:34.0,H. Sims makes free throw 1 of 1,,41,65
245,3,9:18.0,,M. Speights misses 2-pt jump shot from 5 ft,41,65
246,3,9:16.0,Defensive rebound by K. McDaniels,,41,65
247,3,9:09.0,H. Sims makes 2-pt hook shot from 4 ft (assist by M. Carter-Williams),,43,65
248,3,8:59.0,,D. Green misses 3-pt jump shot from 26 ft,43,65
249,3,8:58.0,,Offensive rebound by M. Speights,43,65
250,3,8:56.0,,M. Speights makes 2-pt jump shot from 4 ft,43,67
251,3,8:39.0,H. Sims misses 2-pt jump shot from 13 ft,,43,67
252,3,8:38.0,,Defensive rebound by S. Curry,43,67
253,3,8:35.0,,S. Curry makes 2-pt jump shot from 18 ft,43,69
254,3,8:34.0,Philadelphia full timeout,,43,69
255,3,8:18.0,Turnover by H. Sims (traveling),,43,69
256,3,8:07.0,Violation by H. Sims (kicked ball),,43,69
257,3,7:57.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by S. Curry),43,72
258,3,7:28.0,Shooting foul by D. Green (drawn by N. Noel),,43,72
259,3,7:28.0,N. Noel makes free throw 1 of 2,,44,72
260,3,7:28.0,N. Noel makes free throw 2 of 2,,45,72
261,3,7:15.0,,Turnover by K. Thompson (bad pass; steal by N. Noel),45,72
262,3,7:05.0,H. Sims misses 2-pt jump shot from 17 ft,,45,72
263,3,7:03.0,,Defensive rebound by K. Thompson,45,72
264,3,6:42.0,,S. Curry misses 3-pt jump shot from 26 ft,45,72
265,3,6:41.0,,Offensive rebound by Team,45,72
266,3,6:41.0,J. Grant enters the game for H. Sims,,45,72
267,3,6:38.0,,Turnover by S. Curry (bad pass; steal by M. Carter-Williams),45,72
268,3,6:31.0,J. Grant misses 2-pt jump shot from 3 ft (block by M. Speights),,45,72
269,3,6:29.0,,Defensive rebound by H. Barnes,45,72
270,3,6:23.0,,Shooting foul by N. Noel (drawn by M. Speights),45,72
271,3,6:23.0,,M. Speights makes free throw 1 of 2,45,73
272,3,6:23.0,,A. Iguodala enters the game for H. Barnes,45,73
273,3,6:23.0,,M. Speights makes free throw 2 of 2,45,74
274,3,6:06.0,R. Covington misses 2-pt jump shot from 14 ft,,45,74
275,3,6:01.0,,Defensive rebound by A. Iguodala,45,74
276,3,5:55.0,,K. Thompson misses 2-pt jump shot from 18 ft,45,74
277,3,5:53.0,Defensive rebound by J. Grant,,45,74
278,3,5:45.0,J. Grant misses 2-pt layup from 1 ft,,45,74
279,3,5:44.0,,Defensive rebound by D. Green,45,74
280,3,5:35.0,,Turnover by K. Thompson (lost ball; steal by R. Covington),45,74
281,3,5:25.0,K. McDaniels makes 2-pt layup from 2 ft (assist by M. Carter-Williams),,47,74
282,3,5:24.0,,Golden State full timeout,47,74
283,3,5:24.0,,L. Barbosa enters the game for M. Speights,47,74
284,3,5:24.0,,D. Lee enters the game for K. Thompson,47,74
285,3,5:24.0,M. Thomas enters the game for R. Covington,,47,74
286,3,5:24.0,T. Wroten enters the game for N. Noel,,47,74
287,3,5:10.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by A. Iguodala),47,77
288,3,4:53.0,J. Grant misses 2-pt jump shot from 4 ft (block by D. Lee),,47,77
289,3,4:51.0,Offensive rebound by M. Thomas,,47,77
290,3,4:50.0,M. Thomas makes 2-pt layup from 2 ft,,49,77
291,3,4:42.0,,L. Barbosa misses 3-pt jump shot from 24 ft,49,77
292,3,4:41.0,Defensive rebound by M. Thomas,,49,77
293,3,4:41.0,Personal foul by D. Green (drawn by M. Thomas),,49,77
294,3,4:32.0,Turnover by M. Thomas (bad pass; steal by S. Curry),,49,77
295,3,4:28.0,,L. Barbosa makes 2-pt layup from 1 ft (assist by S. Curry),49,79
296,3,4:05.0,Turnover by K. McDaniels (traveling),,49,79
297,3,3:56.0,,A. Iguodala makes 3-pt jump shot from 22 ft (assist by S. Curry),49,82
298,3,3:41.0,T. Wroten misses 3-pt jump shot from 28 ft,,49,82
299,3,3:39.0,,Defensive rebound by D. Green,49,82
300,3,3:32.0,,D. Lee misses 2-pt layup from 1 ft (block by T. Wroten),49,82
301,3,3:30.0,Defensive rebound by M. Thomas,,49,82
302,3,3:25.0,T. Wroten misses 2-pt jump shot from 4 ft,,49,82
303,3,3:24.0,,Defensive rebound by S. Curry,49,82
304,3,3:17.0,,A. Iguodala makes 2-pt layup at rim (assist by S. Curry),49,84
305,3,2:59.0,M. Carter-Williams misses 2-pt jump shot from 19 ft,,49,84
306,3,2:58.0,,Defensive rebound by D. Green,49,84
307,3,2:51.0,,Shooting foul by M. Carter-Williams (drawn by D. Lee),49,84
308,3,2:51.0,,D. Lee makes free throw 1 of 2,49,85
309,3,2:51.0,J. Sampson enters the game for K. McDaniels,,49,85
310,3,2:51.0,R. Covington enters the game for M. Carter-Williams,,49,85
311,3,2:51.0,,D. Lee misses free throw 2 of 2,49,85
312,3,2:49.0,Defensive rebound by J. Grant,,49,85
313,3,2:37.0,J. Grant makes 3-pt jump shot from 26 ft (assist by T. Wroten),,52,85
314,3,2:24.0,,D. Green misses 2-pt jump shot from 17 ft,52,85
315,3,2:23.0,Defensive rebound by T. Wroten,,52,85
316,3,2:06.0,M. Thomas makes 2-pt jump shot from 19 ft (assist by T. Wroten),,54,85
317,3,1:51.0,,L. Barbosa makes 3-pt jump shot from 25 ft (assist by D. Green),54,88
318,3,1:42.0,T. Wroten misses 2-pt layup from 2 ft,,54,88
319,3,1:40.0,Offensive rebound by M. Thomas,,54,88
320,3,1:40.0,M. Thomas makes 2-pt tip-in from 1 ft,,56,88
321,3,1:24.0,,L. Barbosa makes 2-pt hook shot from 6 ft,56,90
322,3,1:14.0,Shooting foul by A. Iguodala (drawn by M. Thomas),,56,90
323,3,1:14.0,M. Thomas makes free throw 1 of 2,,57,90
324,3,1:14.0,,S. Livingston enters the game for S. Curry,57,90
325,3,1:14.0,M. Thomas makes free throw 2 of 2,,58,90
326,3,0:53.0,,L. Barbosa makes 2-pt layup from 1 ft,58,92
327,3,0:47.0,Turnover by R. Covington (lost ball),,58,92
328,3,0:36.0,,Shooting foul by J. Sampson (drawn by L. Barbosa),58,92
329,3,0:36.0,,L. Barbosa makes free throw 1 of 2,58,93
330,3,0:36.0,,L. Barbosa makes free throw 2 of 2,58,94
331,3,0:28.0,T. Wroten makes 2-pt layup at rim,,60,94
332,3,0:06.0,,D. Green makes 2-pt jump shot from 12 ft (assist by S. Livingston),60,96
333,3,0:01.0,J. Grant makes 3-pt jump shot from 28 ft (assist by T. Wroten),,63,96
334,4,11:43.0,Turnover by T. Wroten (bad pass; steal by A. Iguodala),,63,96
335,4,11:39.0,,Shooting foul by J. Grant (drawn by L. Barbosa),63,96
336,4,11:39.0,,L. Barbosa makes free throw 1 of 2,63,97
337,4,11:39.0,,L. Barbosa makes free throw 2 of 2,63,98
338,4,11:29.0,T. Wroten makes 2-pt layup from 2 ft,,65,98
339,4,11:13.0,,L. Barbosa makes 3-pt jump shot from 25 ft (assist by D. Lee),65,101
340,4,10:52.0,T. Wroten misses 3-pt jump shot from 25 ft,,65,101
341,4,10:51.0,Offensive rebound by F. Aldemir,,65,101
342,4,10:44.0,Turnover by K. McDaniels (bad pass; steal by A. Iguodala),,65,101
343,4,10:39.0,,Shooting foul by F. Aldemir (drawn by M. Speights),65,101
344,4,10:39.0,,M. Speights makes free throw 1 of 2,65,102
345,4,10:39.0,,M. Speights makes free throw 2 of 2,65,103
346,4,10:27.0,Shooting foul by M. Speights (drawn by J. Grant),,65,103
347,4,10:27.0,J. Grant misses free throw 1 of 2,,65,103
348,4,10:27.0,Offensive rebound by Team,,65,103
349,4,10:27.0,J. Grant misses free throw 2 of 2,,65,103
350,4,10:26.0,Offensive rebound by R. Covington,,65,103
351,4,10:17.0,T. Wroten misses 2-pt layup from 3 ft,,65,103
352,4,10:17.0,,Defensive rebound by Team,65,103
353,4,9:59.0,,Shooting foul by F. Aldemir (drawn by D. Lee),65,103
354,4,9:59.0,,D. Lee makes free throw 1 of 2,65,104
355,4,9:59.0,,J. Holiday enters the game for A. Iguodala,65,104
356,4,9:59.0,,D. Lee makes free throw 2 of 2,65,105
357,4,9:41.0,Personal foul by S. Livingston (drawn by J. Grant),,65,105
358,4,9:41.0,,H. Barnes enters the game for D. Lee,65,105
359,4,9:28.0,T. Wroten makes 3-pt jump shot from 27 ft,,68,105
360,4,9:17.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by S. Livingston),68,108
361,4,9:03.0,R. Covington misses 2-pt layup from 2 ft (block by M. Speights),,68,108
362,4,9:02.0,Offensive rebound by R. Covington,,68,108
363,4,8:57.0,R. Covington misses 2-pt layup from 2 ft,,68,108
364,4,8:55.0,Offensive rebound by F. Aldemir,,68,108
365,4,8:54.0,F. Aldemir makes 2-pt layup from 1 ft,,70,108
366,4,8:41.0,,Shooting foul by J. Grant (drawn by M. Speights),70,108
367,4,8:41.0,Official timeout,,70,108
368,4,8:41.0,,M. Speights makes free throw 1 of 2,70,109
369,4,8:41.0,,M. Speights misses free throw 2 of 2,70,109
370,4,8:39.0,Defensive rebound by F. Aldemir,,70,109
371,4,8:39.0,Personal take foul by L. Barbosa (drawn by F. Aldemir),,70,109
372,4,8:39.0,N. Noel enters the game for J. Grant,,70,109
373,4,8:39.0,,O. Kuzmić enters the game for M. Speights,70,109
374,4,8:23.0,T. Wroten misses 2-pt layup from 2 ft,,70,109
375,4,8:21.0,,Defensive rebound by H. Barnes,70,109
376,4,8:11.0,,O. Kuzmić makes 2-pt dunk at rim (assist by J. Holiday),70,111
377,4,7:45.0,Turnover by N. Noel (bad pass),,70,111
378,4,7:45.0,M. Carter-Williams enters the game for T. Wroten,,70,111
379,4,7:45.0,H. Sims enters the game for F. Aldemir,,70,111
380,4,7:30.0,,S. Livingston makes 2-pt jump shot from 15 ft (assist by O. Kuzmić),70,113
381,4,7:17.0,H. Sims makes 2-pt jump shot from 18 ft (assist by M. Carter-Williams),,72,113
382,4,7:05.0,,H. Barnes misses 3-pt jump shot from 26 ft,72,113
