,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
160,2,5:02.0,45,46,TOR,CHO,0,home,FreeThrow,,,make1,1,J. Valančiūnas,
161,2,5:02.0,45,46,TOR,CHO,0,away,Sub,,,,,M. Williams,C. Zeller
162,2,5:02.0,45,46,TOR,CHO,0,away,Sub,,,,,K. Walker,B. Roberts
163,2,5:02.0,46,46,TOR,CHO,0,home,FreeThrow,,,make1,1,J. Valančiūnas,
164,2,4:45.0,46,48,TOR,CHO,17,away,JS,,8,make2,2,M. Williams,
165,2,4:27.0,46,48,TOR,CHO,18,home,PersonalFoul,DrawnBy,,PersonalFoul,,M. Williams,L. Scola
166,2,4:21.0,46,48,TOR,CHO,6,home,ShootingBlockFoul,DrawnBy,,ShootingBlockingFoul,,F. Kaminsky,D. DeRozan
167,2,4:21.0,47,48,TOR,CHO,0,home,FreeThrow,,,make1,1,D. DeRozan,
168,2,4:21.0,47,48,TOR,CHO,0,away,Sub,,,,,J. Lamb,P. Hairston
169,2,4:21.0,48,48,TOR,CHO,0,home,FreeThrow,,,make1,1,D. DeRozan,
170,2,4:09.0,48,48,TOR,CHO,12,away,JS,,24,miss3,0,K. Walker,
171,2,4:08.0,48,48,TOR,CHO,1,home,DefReb,,,DefReb,,J. Valančiūnas,
172,2,3:55.0,48,48,TOR,CHO,13,home,BadPass,steal,,turnover,,D. Carroll,F. Kaminsky
173,2,3:47.0,48,50,TOR,CHO,8,away,HS,assist,7,make2,2,M. Williams,N. Batum
174,2,3:21.0,48,50,TOR,CHO,26,home,JS,,20,miss2,0,D. Carroll,
175,2,3:20.0,48,50,TOR,CHO,1,home,OffReb,,,OffReb,,K. Lowry,
176,2,3:16.0,50,50,TOR,CHO,4,home,LU,,0,make2,2,K. Lowry,
177,2,3:04.0,50,50,TOR,CHO,12,away,D3SecTech,,,,,,
178,2,3:04.0,50,51,TOR,CHO,0,away,FreeThrow,,,make1,1,N. Batum makes technical free throw,
179,2,2:51.0,50,51,TOR,CHO,13,away,JS,,19,miss2,0,K. Walker,
180,2,2:50.0,50,51,TOR,CHO,1,home,DefReb,,,DefReb,,J. Valančiūnas,
181,2,2:42.0,50,51,TOR,CHO,8,home,ShootingBlockFoul,DrawnBy,,ShootingBlockingFoul,,J. Lamb,K. Lowry
182,2,2:42.0,50,51,TOR,CHO,0,away,Timeout,,,,,,
183,2,2:42.0,51,51,TOR,CHO,0,home,FreeThrow,,,make1,1,K. Lowry,
184,2,2:42.0,52,51,TOR,CHO,0,home,FreeThrow,,,make1,1,K. Lowry,
185,2,2:25.0,52,51,TOR,CHO,17,away,JS,,25,miss3,0,F. Kaminsky,
186,2,2:23.0,52,51,TOR,CHO,2,away,OffReb,,,OffReb,,M. Williams,
187,2,2:09.0,52,53,TOR,CHO,14,away,LU,,1,make2,2,K. Walker,
188,2,1:46.0,55,53,TOR,CHO,23,home,JS,assist,24,make3,3,D. DeRozan,K. Lowry
189,2,1:26.0,55,53,TOR,CHO,20,away,LU,,2,miss2,0,M. Williams,
190,2,1:26.0,55,53,TOR,CHO,0,home,DefReb,,,DefReb,,L. Scola,
191,2,1:13.0,55,53,TOR,CHO,13,home,JS,,25,miss3,0,D. Carroll,
192,2,1:13.0,55,53,TOR,CHO,0,away,DefReb,,,DefReb,,K. Walker,
193,2,1:04.0,55,53,TOR,CHO,9,away,JS,,25,miss3,0,J. Lamb,
194,2,1:03.0,55,53,TOR,CHO,1,home,DefReb,,,DefReb,,L. Scola,
195,2,1:01.0,55,53,TOR,CHO,2,home,Timeout,,,,,,
196,2,1:01.0,55,53,TOR,CHO,0,home,Sub,,,,,C. Joseph,K. Lowry
197,2,0:50.0,55,53,TOR,CHO,11,home,JS,block,3,miss2,0,D. DeRozan,J. Lamb
198,2,0:48.0,55,53,TOR,CHO,2,away,DefReb,,,DefReb,,M. Williams,
199,2,0:38.0,55,53,TOR,CHO,10,away,JS,,25,miss3,0,K. Walker,
200,2,0:37.0,55,53,TOR,CHO,1,away,OffReb,,,OffReb,,F. Kaminsky,
201,2,0:18.0,55,53,TOR,CHO,19,away,ShootingFoul,DrawnBy,,ShootingFoul,,C. Joseph,K. Walker
202,2,0:18.0,55,54,TOR,CHO,0,away,FreeThrow,,,make1,1,K. Walker,
203,2,0:18.0,55,55,TOR,CHO,0,away,FreeThrow,,,make1,1,K. Walker,
204,2,0:06.0,55,55,TOR,CHO,12,home,JS,,22,miss3,0,L. Scola,
205,2,0:05.0,55,55,TOR,CHO,1,away,DefReb,,,DefReb,,J. Lamb,
206,2,0:00.0,55,55,TOR,CHO,5,away,JS,,27,miss3,0,K. Walker,
207,2,0:00.0,55,55,TOR,CHO,0,away,OffReb,,,OffReb,,Team,
208,3,11:49.0,55,57,TOR,CHO,11,away,LU,assist,2,make2,2,C. Zeller,N. Batum
209,3,11:28.0,55,57,TOR,CHO,21,home,OffensiveFoul,DrawnBy,,OffensiveFoul,,J. Valančiūnas,C. Zeller
210,3,11:28.0,55,57,TOR,CHO,0,home,OffensiveFoul,,,turnover,,J. Valančiūnas,
211,3,11:17.0,55,57,TOR,CHO,11,away,JS,,24,miss3,0,P. Hairston,
212,3,11:16.0,55,57,TOR,CHO,1,home,DefReb,,,DefReb,,J. Valančiūnas,
213,3,10:54.0,55,57,TOR,CHO,22,home,JS,,15,miss2,0,D. DeRozan,
214,3,10:53.0,55,57,TOR,CHO,1,home,OffReb,,,OffReb,,J. Valančiūnas,
215,3,10:51.0,55,57,TOR,CHO,2,home,LU,,0,miss2,0,J. Valančiūnas,
216,3,10:50.0,55,57,TOR,CHO,1,away,DefReb,,,DefReb,,C. Zeller,
217,3,10:41.0,55,59,TOR,CHO,9,away,JS,,8,make2,2,K. Walker,
218,3,10:16.0,55,59,TOR,CHO,25,home,JS,block,22,miss3,0,D. Carroll,N. Batum
219,3,10:15.0,55,59,TOR,CHO,1,away,DefReb,,,DefReb,,P. Hairston,
220,3,10:09.0,55,62,TOR,CHO,6,away,JS,,24,make3,3,K. Walker,
221,3,10:09.0,55,62,TOR,CHO,0,home,Timeout,,,,,,
222,3,9:50.0,55,62,TOR,CHO,19,home,JS,,10,miss2,0,D. DeRozan,
223,3,9:49.0,55,62,TOR,CHO,1,away,DefReb,,,DefReb,,N. Batum,
224,3,9:42.0,55,62,TOR,CHO,7,away,BadPass,steal,,turnover,,N. Batum,D. Carroll
225,3,9:35.0,55,62,TOR,CHO,7,home,LU,,1,miss2,0,D. Carroll,
226,3,9:34.0,55,62,TOR,CHO,1,home,OffReb,,,OffReb,,J. Valančiūnas,
227,3,9:32.0,55,62,TOR,CHO,2,home,LU,,0,miss2,0,J. Valančiūnas,
228,3,9:31.0,55,62,TOR,CHO,1,home,OffReb,,,OffReb,,J. Valančiūnas,
229,3,9:28.0,55,62,TOR,CHO,3,home,LU,,1,miss2,0,J. Valančiūnas,
230,3,9:27.0,55,62,TOR,CHO,1,home,OffReb,,,OffReb,,D. Carroll,
231,3,9:27.0,55,62,TOR,CHO,0,home,LU,,1,miss2,0,D. Carroll,
232,3,9:27.0,55,62,TOR,CHO,0,home,OffReb,,,OffReb,,L. Scola,
233,3,9:25.0,55,62,TOR,CHO,2,home,LU,,2,miss2,0,L. Scola,
234,3,9:23.0,55,62,TOR,CHO,2,away,DefReb,,,DefReb,,K. Walker,
235,3,9:15.0,55,62,TOR,CHO,8,away,JS,,25,miss3,0,N. Batum,
236,3,9:15.0,55,62,TOR,CHO,0,home,DefReb,,,DefReb,,L. Scola,
237,3,9:07.0,55,62,TOR,CHO,8,home,LU,,2,miss2,0,J. Valančiūnas,
238,3,9:05.0,55,62,TOR,CHO,2,home,OffReb,,,OffReb,,J. Valančiūnas,
239,3,8:59.0,57,62,TOR,CHO,6,home,HS,,8,make2,2,J. Valančiūnas,
240,3,8:59.0,57,62,TOR,CHO,0,home,ShootingFoul,DrawnBy,,ShootingFoul,,C. Zeller,J. Valančiūnas
241,3,8:59.0,57,62,TOR,CHO,0,home,FreeThrow,,,make1,0,J. Valančiūnas,
242,3,8:58.0,57,62,TOR,CHO,1,away,DefReb,,,DefReb,,C. Zeller,
243,3,8:40.0,57,62,TOR,CHO,18,away,ShootingFoul,DrawnBy,,ShootingFoul,,L. Scola,C. Zeller
244,3,8:40.0,57,63,TOR,CHO,0,away,FreeThrow,,,make1,1,C. Zeller,
245,3,8:40.0,57,64,TOR,CHO,0,away,FreeThrow,,,make1,1,C. Zeller,
246,3,8:23.0,59,64,TOR,CHO,17,home,LU,assist,1,make2,2,L. Scola,K. Lowry
247,3,8:01.0,59,64,TOR,CHO,22,away,JS,,24,miss3,0,P. Hairston,
248,3,8:01.0,59,64,TOR,CHO,0,home,DefReb,,,DefReb,,J. Valančiūnas,
249,3,7:45.0,59,64,TOR,CHO,16,home,JS,block,1,miss2,0,D. DeRozan,K. Walker
250,3,7:43.0,59,64,TOR,CHO,2,away,DefReb,,,DefReb,,K. Walker,
251,3,7:36.0,59,64,TOR,CHO,7,away,BadPass,steal,,turnover,,K. Walker,K. Lowry
252,3,7:36.0,59,64,TOR,CHO,0,home,LU,block,2,miss2,0,L. Scola,C. Zeller
253,3,7:35.0,59,64,TOR,CHO,1,home,OffReb,,,OffReb,,K. Lowry,
254,3,7:30.0,62,64,TOR,CHO,5,home,JS,assist,24,make3,3,D. Carroll,K. Lowry
255,3,7:17.0,62,64,TOR,CHO,13,away,PersonalFoul,DrawnBy,,PersonalFoul,,K. Lowry,M. Williams
256,3,7:06.0,62,64,TOR,CHO,11,away,JS,,12,miss2,0,M. Williams,
257,3,7:06.0,62,64,TOR,CHO,0,home,DefReb,,,DefReb,,L. Scola,
258,3,6:57.0,62,64,TOR,CHO,9,home,JS,,24,miss3,0,K. Lowry,
259,3,6:56.0,62,64,TOR,CHO,1,home,OffReb,,,OffReb,,D. Carroll,
260,3,6:53.0,64,64,TOR,CHO,3,home,LU,,2,make2,2,D. Carroll,
261,3,6:53.0,64,64,TOR,CHO,0,away,Timeout,,,,,,
262,3,6:42.0,64,66,TOR,CHO,11,away,JS,assist,4,make2,2,C. Zeller,N. Batum
263,3,6:19.0,64,66,TOR,CHO,23,home,HS,,5,miss2,0,J. Valančiūnas,
264,3,6:19.0,64,66,TOR,CHO,0,away,DefReb,,,DefReb,,P. Hairston,
265,3,6:09.0,64,68,TOR,CHO,10,away,JS,,13,make2,2,K. Walker,
266,3,5:46.0,64,68,TOR,CHO,23,home,JS,,23,miss3,0,L. Scola,
267,3,5:44.0,64,68,TOR,CHO,2,away,DefReb,,,DefReb,,P. Hairston,
268,3,5:24.0,64,70,TOR,CHO,20,away,DK,assist,0,make2,2,C. Zeller,M. Williams
269,3,5:04.0,64,70,TOR,CHO,20,home,JS,,13,miss2,0,D. DeRozan,
270,3,5:03.0,64,70,TOR,CHO,1,home,OffReb,,,OffReb,,Team,
271,3,5:03.0,64,70,TOR,CHO,0,home,Sub,,,,,T. Ross,D. Carroll
272,3,5:03.0,64,70,TOR,CHO,0,home,Sub,,,,,P. Patterson,L. Scola
273,3,4:47.0,67,70,TOR,CHO,16,home,JS,assist,24,make3,3,T. Ross,K. Lowry
274,3,4:19.0,67,70,TOR,CHO,28,away,JS,,27,miss3,0,M. Williams,
275,3,4:17.0,67,70,TOR,CHO,2,away,OffReb,,,OffReb,,C. Zeller,
276,3,4:17.0,67,70,TOR,CHO,0,home,Sub,,,,,B. Biyombo,J. Valančiūnas
277,3,4:17.0,67,70,TOR,CHO,0,away,Sub,,,,,F. Kaminsky,M. Williams
278,3,4:16.0,67,70,TOR,CHO,1,away,inboundTurnover,,,turnover,,N. Batum,
279,3,4:10.0,67,70,TOR,CHO,6,home,JS,,24,miss3,0,T. Ross,
280,3,4:09.0,67,70,TOR,CHO,1,home,OffReb,,,OffReb,,K. Lowry,
281,3,4:05.0,69,70,TOR,CHO,4,home,LU,,1,make2,2,K. Lowry,
282,3,3:59.0,69,70,TOR,CHO,6,away,PersonalFoul,DrawnBy,,PersonalFoul,,T. Ross,N. Batum
283,3,3:53.0,69,73,TOR,CHO,6,away,JS,assist,24,make3,3,N. Batum,F. Kaminsky
284,3,3:46.0,69,73,TOR,CHO,7,home,ShootingFoul,DrawnBy,,ShootingFoul,,F. Kaminsky,D. DeRozan
285,3,3:46.0,70,73,TOR,CHO,0,home,FreeThrow,,,make1,1,D. DeRozan,
286,3,3:46.0,70,73,TOR,CHO,0,away,Sub,,,,,J. Lamb,P. Hairston
287,3,3:46.0,71,73,TOR,CHO,0,home,FreeThrow,,,make1,1,D. DeRozan,
288,3,3:26.0,71,76,TOR,CHO,20,away,JS,,25,make3,3,K. Walker,
289,3,3:12.0,71,76,TOR,CHO,14,home,JS,,25,miss3,0,P. Patterson,
290,3,3:11.0,71,76,TOR,CHO,1,home,OffReb,,,OffReb,,B. Biyombo,
291,3,3:09.0,71,76,TOR,CHO,2,home,BadPass,steal,,turnover,,B. Biyombo,K. Walker
292,3,3:09.0,71,76,TOR,CHO,0,away,PersonalFoul,DrawnBy,,PersonalFoul,,K. Lowry,K. Walker
293,3,3:09.0,71,76,TOR,CHO,0,home,Sub,,,,,C. Joseph,K. Lowry
294,3,2:51.0,71,76,TOR,CHO,18,away,JS,,20,miss2,0,K. Walker,
295,3,2:51.0,71,76,TOR,CHO,0,home,DefReb,,,DefReb,,B. Biyombo,
296,3,2:37.0,71,76,TOR,CHO,14,home,LU,,2,miss2,0,C. Joseph,
297,3,2:37.0,71,76,TOR,CHO,0,home,OffReb,,,OffReb,,B. Biyombo,
298,3,2:34.0,71,76,TOR,CHO,3,home,LU,block,2,miss2,0,B. Biyombo,C. Zeller
299,3,2:33.0,71,76,TOR,CHO,1,away,DefReb,,,DefReb,,K. Walker,
300,3,2:23.0,71,76,TOR,CHO,10,away,BadPass,,,turnover,,N. Batum,
301,3,2:11.0,71,76,TOR,CHO,12,home,JS,,10,miss2,0,D. DeRozan,
302,3,2:11.0,71,76,TOR,CHO,0,home,OffReb,,,OffReb,,P. Patterson,
303,3,2:00.0,71,76,TOR,CHO,11,home,JS,,4,miss2,0,P. Patterson,
304,3,2:00.0,71,76,TOR,CHO,0,home,OffReb,,,OffReb,,P. Patterson,
305,3,2:00.0,71,76,TOR,CHO,0,home,LU,,1,miss2,0,C. Joseph,
306,3,1:59.0,71,76,TOR,CHO,1,away,DefReb,,,DefReb,,C. Zeller,
307,3,1:42.0,71,76,TOR,CHO,17,away,PersonalFoul,DrawnBy,,PersonalFoul,,D. DeRozan,N. Batum
308,3,1:42.0,71,76,TOR,CHO,0,home,TechnicalFoul,,,TechnicalFoul,,D. DeRozan,
309,3,1:42.0,71,76,TOR,CHO,0,away,FreeThrow,,,make1,0,N. Batum misses technical free throw,
310,3,1:42.0,71,76,TOR,CHO,0,away,OffReb,,,OffReb,,Team,
311,3,1:42.0,71,77,TOR,CHO,0,away,FreeThrow,,,make1,1,N. Batum,
312,3,1:42.0,71,77,TOR,CHO,0,away,Sub,,,,,T. Hansbrough,C. Zeller
