,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
125,2,8:34.0,34,35,DAL,IND,14,home,JS,block,15,miss2,0,R. Felton,R. Stuckey
126,2,8:34.0,34,35,DAL,IND,0,home,OffReb,,,OffReb,,Team,
127,2,8:34.0,34,35,DAL,IND,0,home,ShotClockViolation,,,turnover,,Team,
128,2,8:22.0,34,35,DAL,IND,12,away,ShootingFoul,DrawnBy,,ShootingFoul,,D. Harris,J. Hill
129,2,8:22.0,34,36,DAL,IND,0,away,FreeThrow,,,make1,1,J. Hill,
130,2,8:22.0,34,36,DAL,IND,0,home,Sub,,,,,D. Williams,D. Lee
131,2,8:22.0,34,36,DAL,IND,0,home,Sub,,,,,Z. Pachulia,R. Felton
132,2,8:22.0,34,36,DAL,IND,0,home,Sub,,,,,W. Matthews,D. Harris
133,2,8:22.0,34,37,DAL,IND,0,away,FreeThrow,,,make1,1,J. Hill,
134,2,8:04.0,34,37,DAL,IND,18,home,BadPass,steal,,turnover,,J. Barea,J. Hill
135,2,7:55.0,34,37,DAL,IND,9,away,BadPass,,,turnover,,G. Hill,
136,2,7:43.0,34,37,DAL,IND,12,home,PersonalFoul,,,,,M. Turner,
137,2,7:43.0,34,37,DAL,IND,0,away,Sub,,,,,S. Hill,M. Turner
138,2,7:32.0,34,37,DAL,IND,11,home,LU,,0,miss2,0,Z. Pachulia,
139,2,7:32.0,34,37,DAL,IND,0,home,OffReb,,,OffReb,,Z. Pachulia,
140,2,7:32.0,34,37,DAL,IND,0,home,LU,block,0,miss2,0,Z. Pachulia,C. Miles
141,2,7:32.0,34,37,DAL,IND,0,home,OffReb,,,OffReb,,Team,
142,2,7:29.0,36,37,DAL,IND,3,home,LU,assist,0,make2,2,C. Parsons,D. Williams
143,2,7:10.0,36,39,DAL,IND,19,away,HS,assist,2,make2,2,J. Hill,S. Hill
144,2,7:00.0,36,39,DAL,IND,10,home,D3SecTech,,,,,,
145,2,7:00.0,37,39,DAL,IND,0,home,FreeThrow,,,make1,1,D. Williams makes technical free throw,
146,2,6:54.0,40,39,DAL,IND,6,home,JS,assist,24,make3,3,D. Williams,C. Parsons
147,2,6:40.0,40,39,DAL,IND,14,away,BadPass,steal,,turnover,,C. Miles,D. Williams
148,2,6:34.0,40,39,DAL,IND,6,home,LU,,0,miss2,0,D. Williams,
149,2,6:33.0,40,39,DAL,IND,1,home,OffReb,,,OffReb,,Z. Pachulia,
150,2,6:32.0,42,39,DAL,IND,1,home,LU,,1,make2,2,Z. Pachulia,
151,2,6:16.0,42,39,DAL,IND,16,away,JS,,6,miss2,0,C. Miles,
152,2,6:15.0,42,39,DAL,IND,1,home,DefReb,,,DefReb,,C. Parsons,
153,2,6:09.0,42,39,DAL,IND,6,home,JS,,24,miss3,0,C. Parsons,
154,2,6:07.0,42,39,DAL,IND,2,home,OffReb,,,OffReb,,Z. Pachulia,
155,2,6:06.0,42,39,DAL,IND,1,home,LU,,0,miss2,0,Z. Pachulia,
156,2,6:05.0,42,39,DAL,IND,1,home,OffReb,,,OffReb,,J. Barea,
157,2,5:49.0,42,39,DAL,IND,16,home,JS,,18,miss2,0,J. Barea,
158,2,5:48.0,42,39,DAL,IND,1,away,DefReb,,,DefReb,,S. Hill,
159,2,5:31.0,42,41,DAL,IND,17,away,JS,,14,make2,2,J. Hill,
160,2,5:30.0,42,41,DAL,IND,1,home,Timeout,,,,,,
161,2,5:30.0,42,41,DAL,IND,0,home,Sub,,,,,D. Harris,J. Barea
162,2,5:30.0,42,41,DAL,IND,0,away,Sub,,,,,M. Ellis,G. Hill
163,2,5:30.0,42,41,DAL,IND,0,away,Sub,,,,,I. Mahinmi,J. Hill
164,2,5:30.0,42,41,DAL,IND,0,away,Sub,,,,,P. George,C. Miles
165,2,5:23.0,42,41,DAL,IND,7,home,BadPass,steal,,turnover,,D. Williams,P. George
166,2,5:18.0,42,43,DAL,IND,5,away,LU,assist,1,make2,2,S. Hill,M. Ellis
167,2,4:58.0,42,43,DAL,IND,20,home,JS,,14,miss2,0,Z. Pachulia,
168,2,4:57.0,42,43,DAL,IND,1,away,DefReb,,,DefReb,,S. Hill,
169,2,4:39.0,42,43,DAL,IND,18,away,HS,,4,miss2,0,I. Mahinmi,
170,2,4:38.0,42,43,DAL,IND,1,home,DefReb,,,DefReb,,Z. Pachulia,
171,2,4:18.0,42,43,DAL,IND,20,home,JS,,24,miss3,0,D. Harris,
172,2,4:17.0,42,43,DAL,IND,1,away,DefReb,,,DefReb,,S. Hill,
173,2,3:59.0,42,45,DAL,IND,18,away,HS,assist,6,make2,2,I. Mahinmi,M. Ellis
174,2,3:52.0,42,45,DAL,IND,7,home,Timeout,,,,,,
175,2,3:52.0,42,45,DAL,IND,0,home,Sub,,,,,D. Nowitzki,D. Harris
176,2,3:52.0,42,45,DAL,IND,0,away,Sub,,,,,M. Turner,S. Hill
177,2,3:41.0,42,45,DAL,IND,11,home,LU,block,2,miss2,0,C. Parsons,M. Turner
178,2,3:40.0,42,45,DAL,IND,1,away,DefReb,,,DefReb,,M. Turner,
179,2,3:33.0,42,47,DAL,IND,7,away,DK,assist,0,make2,2,I. Mahinmi,R. Stuckey
180,2,3:16.0,42,47,DAL,IND,17,home,BadPass,steal,,turnover,,D. Williams,M. Ellis
181,2,3:10.0,42,47,DAL,IND,6,away,JS,,24,miss3,0,P. George,
182,2,3:10.0,42,47,DAL,IND,0,home,DefReb,,,DefReb,,Z. Pachulia,
183,2,2:56.0,42,47,DAL,IND,14,away,Timeout,,,,,,
184,2,2:56.0,42,47,DAL,IND,0,home,Sub,,,,,D. Lee,Z. Pachulia
185,2,2:52.0,45,47,DAL,IND,4,home,JS,assist,22,make3,3,D. Williams,C. Parsons
186,2,2:32.0,45,47,DAL,IND,20,away,BadPass,steal,,turnover,,M. Ellis,D. Williams
187,2,2:16.0,47,47,DAL,IND,16,home,JS,assist,12,make2,2,D. Nowitzki,C. Parsons
188,2,2:09.0,47,47,DAL,IND,7,away,PersonalFoul,,,,,D. Williams,
189,2,2:09.0,47,47,DAL,IND,0,away,Sub,,,,,G. Hill,R. Stuckey
190,2,2:04.0,47,49,DAL,IND,5,away,JS,,6,make2,2,M. Ellis,
191,2,2:04.0,47,49,DAL,IND,0,away,ShootingFoul,DrawnBy,,ShootingFoul,,D. Lee,M. Ellis
192,2,2:04.0,47,50,DAL,IND,0,away,FreeThrow,,,make1,1,M. Ellis,
193,2,1:42.0,47,50,DAL,IND,22,home,JS,,17,miss2,0,C. Parsons,
194,2,1:41.0,47,50,DAL,IND,1,away,DefReb,,,DefReb,,Team,
195,2,1:19.0,47,50,DAL,IND,22,away,JS,,23,miss3,0,M. Ellis,
196,2,1:18.0,47,50,DAL,IND,1,home,DefReb,,,DefReb,,W. Matthews,
197,2,1:06.0,47,50,DAL,IND,12,home,JS,,24,miss3,0,D. Williams,
198,2,1:05.0,47,50,DAL,IND,1,away,DefReb,,,DefReb,,I. Mahinmi,
199,2,0:56.0,47,53,DAL,IND,9,away,JS,assist,25,make3,3,M. Turner,P. George
200,2,0:38.0,49,53,DAL,IND,18,home,JS,assist,14,make2,2,D. Nowitzki,W. Matthews
201,2,0:23.0,49,53,DAL,IND,15,away,JS,,22,miss3,0,G. Hill,
202,2,0:22.0,49,53,DAL,IND,1,home,DefReb,,,DefReb,,W. Matthews,
203,2,0:06.0,49,53,DAL,IND,16,home,PersonalTakeFoul,,,PersonalTakeFoul,,G. Hill,
204,2,0:06.0,49,53,DAL,IND,0,home,InboundFoul,,,InboundFoul,,I. Mahinmi,
205,2,0:06.0,50,53,DAL,IND,0,home,FreeThrow,,,make1,1,D. Nowitzki,
206,2,0:06.0,50,53,DAL,IND,0,away,Timeout,,,,,,
207,2,0:06.0,50,53,DAL,IND,0,home,Sub,,,,,D. Harris,D. Lee
208,2,0:06.0,50,53,DAL,IND,0,away,Sub,,,,,J. Hill,I. Mahinmi
209,2,0:06.0,51,53,DAL,IND,0,home,FreeThrow,,,make1,1,D. Nowitzki,
210,2,0:01.0,51,55,DAL,IND,5,away,LU,,0,make2,2,M. Ellis,
211,2,0:00.0,51,55,DAL,IND,1,home,JS,,73,miss3,0,D. Harris,
212,2,0:00.0,51,55,DAL,IND,0,home,OffReb,,,OffReb,,Team,
213,3,11:43.0,53,55,DAL,IND,17,home,JS,assist,16,make2,2,W. Matthews,D. Williams
214,3,11:31.0,53,55,DAL,IND,12,away,OffensiveFoul,DrawnBy,,OffensiveFoul,,M. Turner,C. Parsons
215,3,11:31.0,53,55,DAL,IND,0,away,OffensiveFoul,,,turnover,,M. Turner,
216,3,11:15.0,55,55,DAL,IND,16,home,JS,,12,make2,2,W. Matthews,
217,3,10:56.0,55,55,DAL,IND,19,away,JS,,9,miss2,0,P. George,
218,3,10:55.0,55,55,DAL,IND,1,away,OffReb,,,OffReb,,M. Turner,
219,3,10:55.0,55,57,DAL,IND,0,away,LU,,0,make2,2,M. Turner,
220,3,10:32.0,57,57,DAL,IND,23,home,JS,assist,18,make2,2,D. Nowitzki,D. Williams
221,3,10:21.0,57,57,DAL,IND,11,away,BadPass,steal,,turnover,,G. Hill,D. Nowitzki
222,3,10:13.0,57,57,DAL,IND,8,home,JS,,23,miss3,0,D. Nowitzki,
223,3,10:12.0,57,57,DAL,IND,1,away,DefReb,,,DefReb,,P. George,
224,3,10:04.0,57,57,DAL,IND,8,away,JS,,12,miss2,0,M. Turner,
225,3,10:03.0,57,57,DAL,IND,1,home,DefReb,,,DefReb,,Z. Pachulia,
226,3,9:48.0,57,57,DAL,IND,15,home,BadPass,steal,,turnover,,D. Williams,G. Hill
227,3,9:43.0,57,59,DAL,IND,5,away,LU,assist,1,make2,2,P. George,M. Ellis
228,3,9:25.0,57,59,DAL,IND,18,home,LU,,2,miss2,0,C. Parsons,
229,3,9:24.0,57,59,DAL,IND,1,away,DefReb,,,DefReb,,I. Mahinmi,
230,3,9:19.0,57,59,DAL,IND,5,away,ShootingFoul,DrawnBy,,ShootingFoul,,D. Nowitzki,G. Hill
231,3,9:19.0,57,60,DAL,IND,0,away,FreeThrow,,,make1,1,G. Hill,
232,3,9:19.0,57,61,DAL,IND,0,away,FreeThrow,,,make1,1,G. Hill,
233,3,9:05.0,57,61,DAL,IND,14,home,JS,,23,miss3,0,W. Matthews,
234,3,9:03.0,57,61,DAL,IND,2,away,DefReb,,,DefReb,,M. Turner,
235,3,8:56.0,57,61,DAL,IND,7,away,JS,,23,miss3,0,G. Hill,
236,3,8:54.0,57,61,DAL,IND,2,home,DefReb,,,DefReb,,D. Williams,
237,3,8:44.0,59,61,DAL,IND,10,home,LU,assist,0,make2,2,C. Parsons,Z. Pachulia
238,3,8:24.0,59,61,DAL,IND,20,away,JS,,18,miss2,0,M. Turner,
239,3,8:23.0,59,61,DAL,IND,1,away,OffReb,,,OffReb,,P. George,
240,3,8:17.0,59,64,DAL,IND,6,away,JS,assist,22,make3,3,P. George,G. Hill
241,3,8:06.0,61,64,DAL,IND,11,home,LU,assist,1,make2,2,Z. Pachulia,D. Williams
242,3,7:52.0,61,67,DAL,IND,14,away,JS,assist,24,make3,3,P. George,G. Hill
243,3,7:52.0,61,67,DAL,IND,0,home,Timeout,,,,,,
244,3,7:34.0,61,67,DAL,IND,18,home,BackCourtTurnover,,,turnover,,D. Williams,
245,3,7:15.0,61,69,DAL,IND,19,away,JS,assist,21,make2,2,M. Turner,P. George
246,3,6:50.0,61,69,DAL,IND,25,home,ShootingFoul,DrawnBy,,ShootingFoul,,G. Hill,D. Williams
247,3,6:50.0,62,69,DAL,IND,0,home,FreeThrow,,,make1,1,D. Williams,
248,3,6:50.0,62,69,DAL,IND,0,home,FreeThrow,,,make1,0,D. Williams,
249,3,6:50.0,62,69,DAL,IND,0,home,OffReb,,,OffReb,,Team,
250,3,6:50.0,62,69,DAL,IND,0,home,Sub,,,,,D. Lee,Z. Pachulia
251,3,6:50.0,63,69,DAL,IND,0,home,FreeThrow,,,make1,1,D. Williams,
252,3,6:44.0,63,69,DAL,IND,6,away,LostBall,steal,,turnover,,M. Ellis,W. Matthews
253,3,6:39.0,65,69,DAL,IND,5,home,DK,assist,0,make2,2,D. Lee,W. Matthews
254,3,6:38.0,65,69,DAL,IND,1,away,Timeout,,,,,,
255,3,6:24.0,65,69,DAL,IND,14,away,JS,,20,miss2,0,M. Turner,
256,3,6:23.0,65,69,DAL,IND,1,home,DefReb,,,DefReb,,W. Matthews,
257,3,6:05.0,65,69,DAL,IND,18,home,JS,block,4,miss2,0,W. Matthews,I. Mahinmi
258,3,6:05.0,65,69,DAL,IND,0,home,OffReb,,,OffReb,,Team,
259,3,6:02.0,65,69,DAL,IND,3,home,JS,,12,miss2,0,D. Williams,
260,3,6:01.0,65,69,DAL,IND,1,away,DefReb,,,DefReb,,M. Turner,
261,3,5:54.0,65,69,DAL,IND,7,home,KickBallViolation,,,KickBallViolation,,D. Nowitzki,
262,3,5:54.0,65,69,DAL,IND,0,home,Sub,,,,,R. Felton,D. Nowitzki
