,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
28,1,8:27.0,10,10,WAS,DET,3,home,ShootingFoul,DrawnBy,,ShootingFoul,,S. Johnson,O. Porter
29,1,8:27.0,11,10,WAS,DET,0,home,FreeThrow,,,make1,1,O. Porter,
30,1,8:27.0,11,10,WAS,DET,0,away,Sub,,,,,J. Leuer,S. Johnson
31,1,8:27.0,12,10,WAS,DET,0,home,FreeThrow,,,make1,1,O. Porter,
32,1,8:15.0,12,10,WAS,DET,12,away,ShootingFoul,DrawnBy,,ShootingFoul,,K. Oubre,A. Bradley
33,1,8:15.0,12,10,WAS,DET,0,away,FreeThrow,,,make1,0,A. Bradley,
34,1,8:15.0,12,10,WAS,DET,0,away,OffReb,,,OffReb,,Team,
35,1,8:15.0,12,11,WAS,DET,0,away,FreeThrow,,,make1,1,A. Bradley,
36,1,8:10.0,12,11,WAS,DET,5,home,bad pass,steal,,turnover,,B. Beal,R. Jackson
37,1,8:07.0,12,11,WAS,DET,3,away,LU,block,2,miss2,0,R. Jackson,B. Beal
38,1,8:07.0,12,11,WAS,DET,0,home,DefReb,,,DefReb,,Team,
39,1,7:55.0,14,11,WAS,DET,12,home,JS,assist,18,make2,2,O. Porter,J. Wall
40,1,7:38.0,14,11,WAS,DET,17,away,PersonalFoul,DrawnBy,,PersonalFoul,,B. Beal,A. Bradley
41,1,7:31.0,14,13,WAS,DET,7,away,LU,,1,make2,2,R. Jackson,
42,1,7:16.0,16,13,WAS,DET,15,home,JS,,21,make2,2,J. Wall,
43,1,7:00.0,16,13,WAS,DET,16,away,HS,,13,miss2,0,A. Drummond,
44,1,6:59.0,16,13,WAS,DET,1,home,DefReb,,,DefReb,,K. Oubre,
45,1,6:47.0,18,13,WAS,DET,12,home,LU,assist,1,make2,2,B. Beal,M. Gortat
46,1,6:37.0,18,13,WAS,DET,10,away,Timeout,,,,,,
47,1,6:28.0,18,13,WAS,DET,9,away,JS,,18,miss2,0,T. Harris,
48,1,6:24.0,18,13,WAS,DET,4,home,DefReb,,,DefReb,,J. Wall,
49,1,6:23.0,18,13,WAS,DET,1,home,BadPass,,,turnover,,J. Wall,
50,1,6:13.0,18,15,WAS,DET,10,away,JS,,18,make2,2,T. Harris,
51,1,5:56.0,18,15,WAS,DET,17,home,bad pass,steal,,turnover,,J. Wall,R. Jackson
52,1,5:52.0,18,18,WAS,DET,4,away,JS,assist,23,make3,3,A. Bradley,R. Jackson
53,1,5:37.0,18,18,WAS,DET,15,home,JS,,18,miss2,0,K. Oubre,
54,1,5:34.0,18,18,WAS,DET,3,away,DefReb,,,DefReb,,A. Drummond,
55,1,5:25.0,18,18,WAS,DET,9,away,BadPass,,,turnover,,A. Bradley,
56,1,5:16.0,18,18,WAS,DET,9,home,PersonalFoul,DrawnBy,,PersonalFoul,,R. Jackson,M. Gortat
57,1,5:08.0,20,18,WAS,DET,8,home,LU,assist,2,make2,2,M. Gortat,B. Beal
58,1,4:56.0,20,18,WAS,DET,12,away,JS,,26,miss3,0,R. Jackson,
59,1,4:53.0,20,18,WAS,DET,3,home,DefReb,,,DefReb,,B. Beal,
60,1,4:32.0,22,18,WAS,DET,21,home,LU,assist,1,make2,2,O. Porter,J. Wall
61,1,4:13.0,22,18,WAS,DET,19,away,lost ball,steal,,turnover,,A. Bradley,M. Gortat
