,QUARTER,TIME_REMAINING,ORLANDO_ACTION,LA CLIPPERS_ACTION,ORLANDO_SCORE,LA CLIPPERS_SCORE
102,1,0:45.0,,W. Johnson misses 3-pt jump shot from 23 ft,24,22
103,1,0:44.0,Defensive rebound by A. Nicholson,,24,22
104,1,0:39.0,Turnover by V. Oladipo (discontinued dribble),,24,22
105,1,0:16.0,,W. Johnson misses 3-pt jump shot from 25 ft,24,22
106,1,0:15.0,Defensive rebound by J. Smith,,24,22
107,1,0:03.0,A. Nicholson misses 2-pt hook shot from 4 ft,,24,22
108,1,0:02.0,,Defensive rebound by P. Prigioni,24,22
109,2,11:47.0,,Offensive foul by J. Smith (drawn by V. Oladipo),24,22
110,2,11:47.0,,Turnover by J. Smith (offensive foul),24,22
111,2,11:28.0,S. Napier misses 2-pt jump shot from 21 ft,,24,22
112,2,11:28.0,,Defensive rebound by L. Stephenson,24,22
113,2,11:14.0,,J. Smith misses 2-pt jump shot from 17 ft,24,22
114,2,11:13.0,Defensive rebound by A. Nicholson,,24,22
115,2,11:02.0,A. Nicholson makes 3-pt jump shot from 26 ft (assist by V. Oladipo),,27,22
116,2,10:35.0,,W. Johnson misses 3-pt jump shot from 26 ft,27,22
117,2,10:35.0,Defensive rebound by V. Oladipo,,27,22
118,2,10:23.0,J. Smith misses 2-pt layup from 3 ft,,27,22
119,2,10:22.0,,Defensive rebound by W. Johnson,27,22
120,2,10:15.0,,J. Smith makes 2-pt layup from 3 ft,27,24
121,2,10:05.0,Personal foul by J. Smith (drawn by V. Oladipo),,27,24
122,2,10:05.0,T. Harris enters the game for A. Gordon,,27,24
123,2,10:05.0,N. Vučević enters the game for J. Smith,,27,24
124,2,10:05.0,,J. Crawford enters the game for L. Stephenson,27,24
125,2,9:53.0,N. Vučević misses 2-pt hook shot from 10 ft,,27,24
126,2,9:51.0,,Defensive rebound by P. Pierce,27,24
127,2,9:42.0,,W. Johnson makes 3-pt jump shot from 23 ft (assist by P. Prigioni),27,27
128,2,9:35.0,Orlando full timeout,,27,27
129,2,9:35.0,,D. Jordan enters the game for J. Smith,27,27
130,2,9:22.0,T. Harris misses 2-pt layup from 1 ft,,27,27
131,2,9:22.0,Offensive rebound by N. Vučević,,27,27
132,2,9:21.0,N. Vučević makes 2-pt layup at rim,,29,27
133,2,9:00.0,,Shooting foul by T. Harris (drawn by D. Jordan),29,27
134,2,9:00.0,,D. Jordan makes free throw 1 of 2,29,28
135,2,9:00.0,,D. Jordan misses free throw 2 of 2,29,28
136,2,8:58.0,Defensive rebound by A. Nicholson,,29,28
137,2,8:48.0,Turnover by A. Nicholson (lost ball; steal by P. Pierce),,29,28
138,2,8:43.0,,D. Jordan makes 2-pt dunk at rim (assist by W. Johnson),29,30
139,2,8:29.0,T. Harris misses 2-pt jump shot from 7 ft,,29,30
140,2,8:28.0,,Defensive rebound by W. Johnson,29,30
141,2,8:17.0,,J. Crawford misses 3-pt jump shot from 27 ft,29,30
142,2,8:17.0,Defensive rebound by T. Harris,,29,30
143,2,8:15.0,Shooting foul by P. Pierce (drawn by V. Oladipo),,29,30
144,2,8:15.0,V. Oladipo makes free throw 1 of 2,,30,30
145,2,8:15.0,E. Fournier enters the game for A. Nicholson,,30,30
146,2,8:15.0,V. Oladipo makes free throw 2 of 2,,31,30
147,2,7:49.0,,J. Crawford makes 3-pt jump shot from 27 ft,31,33
148,2,7:30.0,Turnover by N. Vučević (bad pass; steal by W. Johnson),,31,33
149,2,7:26.0,,Shooting foul by E. Fournier (drawn by W. Johnson),31,33
150,2,7:26.0,,W. Johnson makes free throw 1 of 2,31,34
151,2,7:26.0,E. Payton enters the game for S. Napier,,31,34
152,2,7:26.0,,B. Griffin enters the game for P. Pierce,31,34
153,2,7:26.0,,W. Johnson makes free throw 2 of 2,31,35
154,2,7:11.0,T. Harris misses 3-pt jump shot from 24 ft,,31,35
155,2,7:10.0,,Defensive rebound by D. Jordan,31,35
156,2,6:55.0,,W. Johnson makes 3-pt jump shot from 22 ft (assist by B. Griffin),31,38
157,2,6:33.0,E. Fournier misses 3-pt jump shot from 27 ft,,31,38
158,2,6:32.0,,Defensive rebound by B. Griffin,31,38
159,2,6:19.0,,J. Crawford misses 2-pt layup from 1 ft (block by V. Oladipo),31,38
160,2,6:18.0,Defensive rebound by T. Harris,,31,38
161,2,6:06.0,E. Payton makes 2-pt layup from 2 ft (assist by N. Vučević),,33,38
162,2,5:54.0,,B. Griffin misses 2-pt jump shot from 21 ft,33,38
163,2,5:54.0,,Offensive rebound by D. Jordan,33,38
164,2,5:50.0,,D. Jordan makes 2-pt layup from 1 ft,33,40
165,2,5:40.0,E. Payton misses 2-pt layup from 1 ft,,33,40
166,2,5:39.0,Offensive rebound by E. Payton,,33,40
167,2,5:35.0,E. Payton makes 2-pt layup from 2 ft,,35,40
168,2,5:16.0,,J. Crawford makes 3-pt jump shot from 25 ft (assist by P. Prigioni),35,43
169,2,5:16.0,,Shooting foul by E. Fournier (drawn by J. Crawford),35,43
170,2,5:16.0,Official timeout,,35,43
171,2,5:16.0,,A. Rivers enters the game for P. Prigioni,35,43
172,2,5:16.0,C. Frye enters the game for E. Fournier,,35,43
173,2,5:16.0,,J. Crawford makes free throw 1 of 1,35,44
174,2,5:01.0,V. Oladipo misses 2-pt jump shot from 3 ft,,35,44
175,2,5:00.0,Offensive rebound by N. Vučević,,35,44
176,2,4:59.0,N. Vučević makes 2-pt layup from 2 ft,,37,44
177,2,4:40.0,,J. Crawford misses 2-pt jump shot from 17 ft,37,44
178,2,4:39.0,Defensive rebound by E. Payton,,37,44
179,2,4:34.0,T. Harris misses 2-pt jump shot from 5 ft (block by D. Jordan),,37,44
180,2,4:34.0,Offensive rebound by Team,,37,44
181,2,4:25.0,E. Payton makes 2-pt jump shot from 19 ft (assist by V. Oladipo),,39,44
182,2,3:59.0,,B. Griffin misses 2-pt jump shot from 11 ft,39,44
183,2,3:58.0,,Offensive rebound by D. Jordan,39,44
184,2,3:56.0,,D. Jordan makes 2-pt layup from 2 ft,39,46
185,2,3:48.0,Turnover by V. Oladipo (discontinued dribble),,39,46
186,2,3:34.0,,Turnover by A. Rivers (lost ball),39,46
187,2,3:18.0,E. Payton misses 2-pt jump shot from 16 ft,,39,46
188,2,3:17.0,,Defensive rebound by B. Griffin,39,46
189,2,3:14.0,,Turnover by A. Rivers (lost ball; steal by T. Harris),39,46
190,2,3:08.0,N. Vučević makes 2-pt dunk at rim (assist by E. Payton),,41,46
191,2,2:51.0,,J. Crawford misses 2-pt jump shot from 13 ft (block by V. Oladipo),41,46
192,2,2:49.0,Defensive rebound by T. Harris,,41,46
193,2,2:48.0,Shooting foul by W. Johnson (drawn by T. Harris),,41,46
194,2,2:48.0,,LA Clippers full timeout,41,46
195,2,2:48.0,,L. Stephenson enters the game for A. Rivers,41,46
196,2,2:48.0,,P. Prigioni enters the game for W. Johnson,41,46
197,2,2:48.0,T. Harris makes free throw 1 of 2,,42,46
198,2,2:48.0,T. Harris makes free throw 2 of 2,,43,46
199,2,2:23.0,,P. Prigioni misses 3-pt jump shot from 27 ft,43,46
200,2,2:23.0,Defensive rebound by V. Oladipo,,43,46
201,2,2:17.0,V. Oladipo misses 2-pt layup from 1 ft,,43,46
202,2,2:15.0,Offensive rebound by E. Payton,,43,46
203,2,2:13.0,E. Payton makes 2-pt dunk at rim,,45,46
204,2,2:07.0,,B. Griffin makes 2-pt jump shot from 4 ft (assist by L. Stephenson),45,48
205,2,1:50.0,V. Oladipo makes 2-pt jump shot from 4 ft,,47,48
206,2,1:33.0,,J. Crawford makes 3-pt jump shot from 26 ft (assist by B. Griffin),47,51
207,2,1:26.0,Shooting foul by P. Prigioni (drawn by E. Payton),,47,51
208,2,1:26.0,E. Payton makes free throw 1 of 2,,48,51
209,2,1:26.0,E. Payton misses free throw 2 of 2,,48,51
210,2,1:25.0,Offensive rebound by C. Frye,,48,51
211,2,1:18.0,T. Harris misses 3-pt jump shot from 26 ft,,48,51
212,2,1:17.0,Offensive rebound by N. Vučević,,48,51
213,2,1:07.0,V. Oladipo misses 2-pt layup from 3 ft,,48,51
214,2,1:07.0,Offensive rebound by N. Vučević,,48,51
215,2,1:07.0,Shooting foul by J. Crawford (drawn by N. Vučević),,48,51
216,2,1:07.0,N. Vučević makes free throw 1 of 2,,49,51
217,2,1:07.0,,W. Johnson enters the game for J. Crawford,49,51
218,2,1:07.0,N. Vučević makes free throw 2 of 2,,50,51
219,2,0:57.0,,B. Griffin makes 2-pt jump shot from 19 ft (assist by P. Prigioni),50,53
220,2,0:41.0,E. Payton misses 2-pt jump shot from 10 ft,,50,53
221,2,0:40.0,,Defensive rebound by W. Johnson,50,53
222,2,0:35.0,,Turnover by B. Griffin (lost ball; steal by E. Payton),50,53
223,2,0:32.0,E. Payton misses 2-pt jump shot from 12 ft,,50,53
224,2,0:26.0,,Defensive rebound by D. Jordan,50,53
225,2,0:20.0,,LA Clippers full timeout,50,53
226,2,0:20.0,,P. Pierce enters the game for D. Jordan,50,53
227,2,0:20.0,,J. Crawford enters the game for L. Stephenson,50,53
228,2,0:06.0,,W. Johnson misses 3-pt jump shot from 23 ft,50,53
229,2,0:06.0,,Offensive rebound by P. Prigioni,50,53
230,2,0:02.0,,P. Pierce misses 3-pt jump shot from 26 ft,50,53
231,2,0:01.0,,Offensive rebound by Team,50,53
232,3,11:41.0,,B. Griffin misses 2-pt jump shot from 19 ft,50,53
233,3,11:41.0,Defensive rebound by Team,,50,53
234,3,11:29.0,E. Fournier misses 3-pt jump shot from 26 ft,,50,53
235,3,11:29.0,,Defensive rebound by Team,50,53
236,3,11:11.0,,A. Rivers misses 3-pt jump shot from 24 ft,50,53
237,3,11:08.0,,Offensive rebound by D. Jordan,50,53
238,3,11:03.0,,J. Crawford makes 2-pt jump shot from 15 ft,50,55
239,3,10:41.0,E. Payton makes 3-pt jump shot from 26 ft (assist by N. Vučević),,53,55
240,3,10:30.0,,Turnover by B. Griffin (bad pass; steal by E. Payton),53,55
241,3,10:26.0,E. Payton makes 2-pt dunk at rim,,55,55
242,3,10:01.0,,L. Mbah a Moute misses 3-pt jump shot from 24 ft,55,55
243,3,10:01.0,,Offensive rebound by A. Rivers,55,55
244,3,10:01.0,,Personal foul by E. Fournier (drawn by A. Rivers),55,55
245,3,9:53.0,,D. Jordan makes 2-pt layup from 3 ft (assist by J. Crawford),55,57
246,3,9:53.0,,Shooting foul by E. Payton (drawn by D. Jordan),55,57
247,3,9:53.0,,D. Jordan misses free throw 1 of 1,55,57
248,3,9:52.0,Defensive rebound by T. Harris,,55,57
249,3,9:36.0,E. Fournier makes 2-pt jump shot from 4 ft,,57,57
250,3,9:26.0,,B. Griffin makes 2-pt layup from 2 ft (assist by J. Crawford),57,59
251,3,9:08.0,T. Harris misses 3-pt jump shot from 24 ft,,57,59
252,3,9:08.0,Offensive rebound by N. Vučević,,57,59
253,3,9:03.0,N. Vučević makes 2-pt layup from 1 ft,,59,59
254,3,8:46.0,,A. Rivers makes 2-pt jump shot from 7 ft (assist by J. Crawford),59,61
255,3,8:26.0,E. Fournier makes 3-pt jump shot from 26 ft (assist by E. Payton),,62,61
256,3,8:12.0,,A. Rivers misses 2-pt jump shot from 4 ft,62,61
257,3,8:11.0,Defensive rebound by T. Harris,,62,61
258,3,8:05.0,C. Frye makes 3-pt jump shot from 25 ft (assist by E. Payton),,65,61
259,3,8:05.0,,LA Clippers full timeout,65,61
260,3,8:05.0,,P. Prigioni enters the game for A. Rivers,65,61
261,3,7:52.0,,Personal foul by E. Payton (drawn by B. Griffin),65,61
262,3,7:46.0,,Personal foul by E. Fournier (drawn by J. Crawford),65,61
263,3,7:46.0,V. Oladipo enters the game for E. Fournier,,65,61
264,3,7:38.0,,J. Crawford makes 2-pt jump shot from 18 ft (assist by B. Griffin),65,63
265,3,7:24.0,Turnover by C. Frye (traveling),,65,63
266,3,7:06.0,,L. Mbah a Moute misses 3-pt jump shot from 25 ft,65,63
267,3,7:04.0,Defensive rebound by V. Oladipo,,65,63
268,3,6:57.0,T. Harris misses 2-pt layup from 2 ft,,65,63
269,3,6:56.0,,Defensive rebound by D. Jordan,65,63
270,3,6:50.0,,Shooting foul by C. Frye (drawn by B. Griffin),65,63
271,3,6:50.0,,B. Griffin makes free throw 1 of 2,65,64
272,3,6:50.0,,B. Griffin misses free throw 2 of 2,65,64
273,3,6:49.0,Defensive rebound by T. Harris,,65,64
274,3,6:32.0,N. Vučević misses 2-pt jump shot from 20 ft,,65,64
275,3,6:31.0,,Defensive rebound by D. Jordan,65,64
276,3,6:17.0,,D. Jordan misses 2-pt hook shot from 8 ft,65,64
277,3,6:15.0,Defensive rebound by N. Vučević,,65,64
278,3,6:01.0,N. Vučević misses 2-pt hook shot from 11 ft,,65,64
279,3,5:59.0,,Defensive rebound by B. Griffin,65,64
280,3,5:51.0,,J. Crawford misses 2-pt jump shot from 18 ft,65,64
281,3,5:50.0,Defensive rebound by N. Vučević,,65,64
282,3,5:42.0,E. Payton makes 2-pt jump shot from 18 ft,,67,64
283,3,5:37.0,,LA Clippers full timeout,67,64
284,3,5:37.0,A. Gordon enters the game for T. Harris,,67,64
285,3,5:37.0,A. Nicholson enters the game for C. Frye,,67,64
286,3,5:37.0,,W. Johnson enters the game for L. Mbah a Moute,67,64
287,3,5:21.0,,B. Griffin makes 2-pt jump shot from 18 ft,67,66
288,3,5:05.0,V. Oladipo misses 2-pt jump shot from 15 ft,,67,66
289,3,5:04.0,,Defensive rebound by D. Jordan,67,66
290,3,4:52.0,,B. Griffin makes 2-pt jump shot from 17 ft (assist by J. Crawford),67,68
291,3,4:45.0,E. Payton makes 2-pt layup from 2 ft,,69,68
292,3,4:35.0,,W. Johnson misses 3-pt jump shot from 24 ft,69,68
293,3,4:34.0,Defensive rebound by V. Oladipo,,69,68
294,3,4:23.0,V. Oladipo makes 2-pt layup from 2 ft,,71,68
295,3,4:03.0,,B. Griffin misses 2-pt jump shot from 20 ft,71,68
296,3,4:03.0,Defensive rebound by N. Vučević,,71,68
297,3,3:53.0,V. Oladipo makes 3-pt jump shot from 28 ft (assist by E. Payton),,74,68
298,3,3:37.0,,J. Crawford misses 2-pt jump shot from 3 ft,74,68
299,3,3:36.0,Defensive rebound by A. Gordon,,74,68
300,3,3:31.0,A. Gordon makes 2-pt dunk at rim (assist by E. Payton),,76,68
301,3,3:05.0,,J. Crawford misses 2-pt jump shot from 14 ft,76,68
302,3,3:04.0,,Offensive rebound by D. Jordan,76,68
303,3,3:03.0,,D. Jordan makes 2-pt layup from 1 ft,76,70
304,3,2:38.0,Turnover by Team (shot clock),,76,70
305,3,2:38.0,,L. Stephenson enters the game for J. Crawford,76,70
306,3,2:38.0,,J. Smith enters the game for D. Jordan,76,70
307,3,2:31.0,,Personal foul by V. Oladipo (drawn by B. Griffin),76,70
308,3,2:31.0,,B. Griffin makes free throw 1 of 2,76,71
309,3,2:31.0,J. Smith enters the game for N. Vučević,,76,71
310,3,2:31.0,,B. Griffin makes free throw 2 of 2,76,72
311,3,2:13.0,V. Oladipo makes 2-pt layup from 2 ft,,78,72
312,3,2:13.0,Shooting foul by L. Stephenson (drawn by V. Oladipo),,78,72
313,3,2:13.0,V. Oladipo makes free throw 1 of 1,,79,72
314,3,1:58.0,,B. Griffin makes 2-pt jump shot from 20 ft (assist by P. Prigioni),79,74
315,3,1:45.0,V. Oladipo misses 2-pt layup from 2 ft,,79,74
316,3,1:44.0,,Defensive rebound by B. Griffin,79,74
317,3,1:40.0,,Turnover by B. Griffin (bad pass),79,74
318,3,1:30.0,Turnover by A. Gordon (step out of bounds),,79,74
319,3,1:07.0,,J. Smith misses 3-pt jump shot from 25 ft,79,74
320,3,1:06.0,Defensive rebound by A. Gordon,,79,74
321,3,1:02.0,Orlando full timeout,,79,74
322,3,1:02.0,,P. Pierce enters the game for B. Griffin,79,74
323,3,1:02.0,,A. Rivers enters the game for P. Prigioni,79,74
324,3,0:50.0,Turnover by V. Oladipo (lost ball; steal by L. Stephenson),,79,74
325,3,0:26.0,,J. Smith misses 3-pt jump shot from 25 ft,79,74
326,3,0:25.0,Defensive rebound by A. Gordon,,79,74
327,3,0:11.0,Personal foul by A. Rivers (drawn by E. Payton),,79,74
328,3,0:11.0,,L. Mbah a Moute enters the game for P. Pierce,79,74
329,3,0:03.0,E. Payton misses 3-pt jump shot from 26 ft,,79,74
330,3,0:03.0,,Defensive rebound by L. Stephenson,79,74
331,3,0:01.0,,L. Stephenson misses 3-pt jump shot from 61 ft,79,74
332,3,0:00.0,,Offensive rebound by Team,79,74
333,4,11:44.0,V. Oladipo makes 2-pt layup from 1 ft (assist by S. Napier),,81,74
334,4,11:26.0,,W. Johnson makes 3-pt jump shot from 24 ft (assist by J. Smith),81,77
335,4,11:07.0,Shooting foul by A. Rivers (drawn by S. Napier),,81,77
336,4,11:07.0,S. Napier makes free throw 1 of 2,,82,77
337,4,11:07.0,S. Napier makes free throw 2 of 2,,83,77
338,4,10:53.0,,Turnover by P. Pierce (offensive foul),83,77
339,4,10:53.0,Offensive charge foul by P. Pierce (drawn by V. Oladipo),,83,77
340,4,10:34.0,A. Gordon makes 2-pt jump shot from 12 ft (assist by V. Oladipo),,85,77
341,4,10:11.0,,P. Pierce misses 3-pt jump shot from 27 ft,85,77
342,4,10:10.0,Defensive rebound by V. Oladipo,,85,77
343,4,10:02.0,J. Smith misses 2-pt jump shot from 18 ft,,85,77
344,4,10:02.0,Offensive rebound by A. Gordon,,85,77
345,4,10:02.0,A. Gordon makes 2-pt dunk at rim,,87,77
346,4,10:02.0,,LA Clippers full timeout,87,77
347,4,10:02.0,,J. Crawford enters the game for L. Stephenson,87,77
348,4,9:36.0,,P. Pierce misses 2-pt layup from 3 ft (block by J. Smith),87,77
349,4,9:34.0,Defensive rebound by A. Nicholson,,87,77
350,4,9:16.0,V. Oladipo makes 2-pt jump shot from 12 ft,,89,77
351,4,9:02.0,,W. Johnson makes 3-pt jump shot from 24 ft (assist by J. Smith),89,80
352,4,8:45.0,V. Oladipo makes 2-pt jump shot from 22 ft (assist by A. Nicholson),,91,80
353,4,8:37.0,,Personal foul by S. Napier (drawn by A. Rivers),91,80
354,4,8:37.0,,D. Jordan enters the game for J. Smith,91,80
355,4,8:37.0,,B. Griffin enters the game for P. Pierce,91,80
356,4,8:32.0,,Personal foul by J. Smith (drawn by D. Jordan),91,80
357,4,8:27.0,,Turnover by A. Rivers (lost ball),91,80
358,4,8:12.0,V. Oladipo misses 2-pt layup from 2 ft,,91,80
359,4,8:11.0,,Defensive rebound by D. Jordan,91,80
360,4,8:06.0,,Personal foul by A. Gordon (drawn by W. Johnson),91,80
361,4,7:59.0,,J. Crawford makes 3-pt jump shot from 25 ft (assist by A. Rivers),91,83
362,4,7:40.0,A. Nicholson misses 2-pt jump shot from 10 ft,,91,83
363,4,7:39.0,,Defensive rebound by B. Griffin,91,83
364,4,7:32.0,,B. Griffin misses 2-pt jump shot from 3 ft (block by J. Smith),91,83
365,4,7:31.0,Defensive rebound by A. Nicholson,,91,83
366,4,7:26.0,A. Nicholson misses 3-pt jump shot from 26 ft,,91,83
367,4,7:26.0,Offensive rebound by V. Oladipo,,91,83
368,4,7:06.0,S. Napier misses 3-pt jump shot from 24 ft,,91,83
369,4,7:06.0,Offensive rebound by J. Smith,,91,83
370,4,7:02.0,Orlando full timeout,,91,83
371,4,7:02.0,E. Payton enters the game for S. Napier,,91,83
372,4,6:39.0,A. Gordon misses 3-pt jump shot from 26 ft,,91,83
373,4,6:38.0,,Defensive rebound by D. Jordan,91,83
374,4,6:32.0,,J. Crawford makes 3-pt jump shot from 25 ft (assist by A. Rivers),91,86
375,4,6:11.0,A. Nicholson makes 3-pt jump shot from 25 ft (assist by A. Gordon),,94,86
376,4,5:55.0,,Turnover by B. Griffin (bad pass; steal by J. Smith),94,86
377,4,5:48.0,E. Payton misses 2-pt jump shot from 6 ft,,94,86
378,4,5:47.0,,Defensive rebound by W. Johnson,94,86
379,4,5:35.0,,J. Crawford misses 3-pt jump shot from 27 ft,94,86
380,4,5:34.0,Defensive rebound by J. Smith,,94,86
381,4,5:27.0,A. Gordon makes 2-pt layup from 2 ft (assist by E. Payton),,96,86
382,4,5:26.0,,LA Clippers full timeout,96,86
