,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,SACRAMENTO_ACTION,PHILADELPHIA_SCORE,SACRAMENTO_SCORE
119,1,0:20.0,H. Thompson misses 3-pt jump shot from 24 ft,,28,31
120,1,0:20.0,Offensive rebound by J. Okafor,,28,31
121,1,0:19.0,J. Okafor makes 2-pt layup from 2 ft,,30,31
122,1,0:00.0,,M. Belinelli misses 3-pt jump shot from 25 ft,30,31
123,1,0:00.0,Defensive rebound by J. Okafor,,30,31
124,2,11:41.0,H. Thompson misses 3-pt jump shot from 24 ft,,30,31
125,2,11:41.0,,Defensive rebound by Team,30,31
126,2,11:36.0,,Turnover by B. McLemore (lost ball),30,31
127,2,11:21.0,Turnover by T. McConnell (bad pass; steal by M. Belinelli),,30,31
128,2,11:09.0,,O. Casspi misses 3-pt jump shot from 30 ft,30,31
129,2,11:09.0,Defensive rebound by J. Okafor,,30,31
130,2,10:56.0,H. Thompson misses 2-pt jump shot from 6 ft,,30,31
131,2,10:55.0,Offensive rebound by J. Okafor,,30,31
132,2,10:55.0,J. Okafor misses 2-pt layup from 1 ft,,30,31
133,2,10:53.0,Offensive rebound by J. Okafor,,30,31
134,2,10:51.0,J. Okafor misses 2-pt jump shot from 4 ft,,30,31
135,2,10:50.0,,Defensive rebound by O. Casspi,30,31
136,2,10:44.0,,D. Collison makes 2-pt layup at rim,30,33
137,2,10:28.0,J. Okafor makes 2-pt hook shot from 5 ft,,32,33
138,2,10:28.0,Shooting foul by K. Koufos (drawn by J. Okafor),,32,33
139,2,10:28.0,J. Sampson enters the game for N. Stauskas,,32,33
140,2,10:28.0,J. Okafor makes free throw 1 of 1,,33,33
141,2,10:10.0,,K. Koufos makes 2-pt hook shot from 6 ft,33,35
142,2,9:53.0,R. Covington misses 3-pt jump shot from 24 ft,,33,35
143,2,9:51.0,,Defensive rebound by D. Collison,33,35
144,2,9:43.0,,O. Casspi makes 2-pt jump shot from 3 ft (assist by D. Collison),33,37
145,2,9:43.0,Philadelphia full timeout,,33,37
146,2,9:43.0,N. Noel enters the game for J. Okafor,,33,37
147,2,9:32.0,J. Sampson makes 2-pt layup from 2 ft (assist by T. McConnell),,35,37
148,2,9:19.0,,K. Koufos makes 2-pt hook shot from 8 ft (assist by D. Collison),35,39
149,2,8:56.0,H. Thompson misses 2-pt jump shot from 19 ft,,35,39
150,2,8:56.0,,Defensive rebound by D. Collison,35,39
151,2,8:50.0,,B. McLemore makes 2-pt layup from 2 ft (assist by D. Collison),35,41
152,2,8:36.0,Turnover by T. McConnell (traveling),,35,41
153,2,8:36.0,I. Canaan enters the game for H. Thompson,,35,41
154,2,8:28.0,,Shooting foul by T. McConnell (drawn by D. Collison),35,41
155,2,8:28.0,,D. Collison makes free throw 1 of 2,35,42
156,2,8:28.0,,D. Collison makes free throw 2 of 2,35,43
157,2,8:13.0,J. Sampson misses 3-pt jump shot from 23 ft,,35,43
158,2,8:13.0,,Defensive rebound by Team,35,43
159,2,8:00.0,,Shooting foul by R. Covington (drawn by K. Koufos),35,43
160,2,8:00.0,,K. Koufos misses free throw 1 of 2,35,43
161,2,8:00.0,,Offensive rebound by Team,35,43
162,2,8:00.0,I. Smith enters the game for R. Covington,,35,43
163,2,8:00.0,J. Grant enters the game for T. McConnell,,35,43
164,2,8:00.0,,K. Koufos makes free throw 2 of 2,35,44
165,2,7:43.0,Turnover by J. Grant (lost ball),,35,44
166,2,7:43.0,,R. Gay enters the game for O. Casspi,35,44
167,2,7:25.0,,M. Belinelli misses 3-pt jump shot from 27 ft,35,44
168,2,7:23.0,Defensive rebound by N. Noel,,35,44
169,2,7:11.0,J. Sampson misses 2-pt jump shot from 5 ft,,35,44
170,2,7:10.0,Offensive rebound by N. Noel,,35,44
171,2,7:10.0,N. Noel makes 2-pt dunk at rim,,37,44
172,2,6:55.0,,Shooting foul by I. Canaan (drawn by B. McLemore),37,44
173,2,6:55.0,,B. McLemore misses free throw 1 of 2,37,44
174,2,6:55.0,,Offensive rebound by Team,37,44
175,2,6:55.0,,D. Cousins enters the game for K. Koufos,37,44
176,2,6:55.0,,B. McLemore makes free throw 2 of 2,37,45
177,2,6:42.0,I. Smith makes 2-pt jump shot from 6 ft,,39,45
178,2,6:27.0,,R. Gay misses 3-pt jump shot from 24 ft,39,45
179,2,6:26.0,Defensive rebound by J. Grant,,39,45
180,2,6:19.0,Shooting foul by D. Cousins (drawn by N. Noel),,39,45
181,2,6:19.0,N. Noel makes free throw 1 of 2,,40,45
182,2,6:19.0,,R. Rondo enters the game for B. McLemore,40,45
183,2,6:19.0,N. Noel makes free throw 2 of 2,,41,45
184,2,6:06.0,,M. Belinelli makes 2-pt jump shot from 20 ft (assist by R. Rondo),41,47
185,2,5:51.0,N. Noel misses 2-pt jump shot from 16 ft,,41,47
186,2,5:51.0,,Defensive rebound by D. Cousins,41,47
187,2,5:35.0,,D. Cousins misses 2-pt jump shot from 3 ft (block by J. Grant),41,47
188,2,5:33.0,Defensive rebound by I. Canaan,,41,47
189,2,5:32.0,,Violation by R. Gay (def goaltending),41,47
190,2,5:32.0,I. Canaan makes 2-pt layup from 2 ft,,43,47
191,2,5:25.0,,D. Cousins misses 2-pt jump shot from 4 ft (block by J. Grant),43,47
192,2,5:23.0,Defensive rebound by I. Smith,,43,47
193,2,5:19.0,N. Noel makes 2-pt dunk at rim (assist by I. Smith),,45,47
194,2,5:16.0,,Sacramento full timeout,45,47
195,2,5:00.0,,Turnover by R. Rondo (bad pass),45,47
196,2,4:40.0,I. Canaan misses 2-pt layup from 3 ft,,45,47
197,2,4:38.0,Offensive rebound by N. Noel,,45,47
198,2,4:38.0,N. Noel misses 2-pt dunk at rim,,45,47
199,2,4:37.0,,Defensive rebound by R. Rondo,45,47
200,2,4:31.0,,Turnover by D. Collison (bad pass; steal by J. Grant),45,47
201,2,4:27.0,J. Sampson misses 2-pt dunk from 4 ft (block by R. Gay),,45,47
202,2,4:25.0,,Defensive rebound by R. Gay,45,47
203,2,4:17.0,,M. Belinelli makes 3-pt jump shot from 23 ft (assist by R. Gay),45,50
204,2,4:09.0,N. Noel makes 2-pt dunk at rim (assist by I. Smith),,47,50
205,2,3:52.0,,Personal foul by J. Sampson (drawn by R. Rondo),47,50
206,2,3:52.0,H. Thompson enters the game for J. Sampson,,47,50
207,2,3:52.0,,O. Casspi enters the game for D. Collison,47,50
208,2,3:38.0,,O. Casspi misses 3-pt jump shot from 25 ft,47,50
209,2,3:36.0,Defensive rebound by H. Thompson,,47,50
210,2,3:30.0,H. Thompson makes 2-pt layup from 1 ft,,49,50
211,2,3:19.0,,Turnover by R. Rondo (bad pass; steal by J. Grant),49,50
212,2,3:08.0,H. Thompson makes 2-pt jump shot from 21 ft (assist by I. Smith),,51,50
213,2,2:51.0,,Turnover by D. Cousins (lost ball; steal by N. Noel),51,50
214,2,2:43.0,I. Canaan makes 2-pt layup from 2 ft (assist by J. Grant),,53,50
215,2,2:39.0,,Sacramento full timeout,53,50
216,2,2:39.0,Official timeout,,53,50
217,2,2:31.0,,R. Rondo misses 2-pt layup from 2 ft (block by J. Grant),53,50
218,2,2:31.0,,Offensive rebound by Team,53,50
219,2,2:26.0,,M. Belinelli misses 2-pt jump shot from 19 ft,53,50
220,2,2:25.0,Defensive rebound by J. Grant,,53,50
221,2,2:15.0,I. Canaan makes 2-pt jump shot from 19 ft,,55,50
222,2,2:05.0,,Turnover by R. Gay (bad pass; steal by N. Noel),55,50
223,2,1:55.0,N. Noel misses 2-pt layup from 2 ft,,55,50
224,2,1:54.0,,Defensive rebound by O. Casspi,55,50
225,2,1:46.0,,Shooting foul by H. Thompson (drawn by D. Cousins),55,50
226,2,1:46.0,,D. Cousins makes free throw 1 of 2,55,51
227,2,1:46.0,,D. Cousins misses free throw 2 of 2,55,51
228,2,1:43.0,Defensive rebound by J. Grant,,55,51
229,2,1:31.0,H. Thompson misses 3-pt jump shot from 24 ft,,55,51
230,2,1:30.0,,Defensive rebound by R. Rondo,55,51
231,2,1:22.0,,M. Belinelli makes 3-pt jump shot from 24 ft (assist by R. Rondo),55,54
232,2,1:07.0,I. Canaan misses 2-pt jump shot from 4 ft,,55,54
233,2,1:06.0,,Defensive rebound by D. Cousins,55,54
234,2,1:02.0,,D. Collison enters the game for M. Belinelli,55,54
235,2,0:58.0,,R. Gay makes 2-pt layup from 3 ft,55,56
236,2,0:54.0,Philadelphia full timeout,,55,56
237,2,0:46.0,I. Smith misses 3-pt jump shot from 24 ft,,55,56
238,2,0:45.0,,Defensive rebound by O. Casspi,55,56
239,2,0:37.0,,Personal foul by N. Noel (drawn by D. Cousins),55,56
240,2,0:37.0,,D. Cousins makes free throw 1 of 2,55,57
241,2,0:37.0,,M. Belinelli enters the game for R. Gay,55,57
242,2,0:37.0,,D. Cousins misses free throw 2 of 2,55,57
243,2,0:36.0,Defensive rebound by J. Grant,,55,57
244,2,0:31.0,I. Smith makes 2-pt layup from 2 ft,,57,57
245,2,0:14.0,,R. Rondo misses 2-pt layup from 3 ft,57,57
246,2,0:13.0,Defensive rebound by N. Noel,,57,57
247,2,0:06.0,Personal take foul by D. Collison (drawn by I. Smith),,57,57
248,2,0:06.0,,K. Koufos enters the game for D. Cousins,57,57
249,2,0:06.0,R. Covington enters the game for J. Grant,,57,57
250,2,0:00.0,I. Smith misses 3-pt jump shot from 25 ft,,57,57
251,2,0:00.0,Offensive rebound by Team,,57,57
252,3,11:37.0,I. Smith makes 2-pt jump shot from 9 ft,,59,57
253,3,11:24.0,,Shooting foul by J. Sampson (drawn by D. Cousins),59,57
254,3,11:24.0,,D. Cousins makes free throw 1 of 2,59,58
255,3,11:24.0,,D. Cousins makes free throw 2 of 2,59,59
256,3,11:16.0,J. Grant makes 3-pt jump shot from 24 ft (assist by I. Canaan),,62,59
257,3,11:02.0,,Turnover by R. Gay (lost ball; steal by N. Noel),62,59
258,3,11:01.0,Personal foul by R. Rondo (drawn by J. Grant),,62,59
259,3,10:56.0,I. Canaan makes 3-pt jump shot from 24 ft (assist by I. Smith),,65,59
260,3,10:47.0,,Turnover by R. Rondo (bad pass),65,59
261,3,10:26.0,I. Smith misses 2-pt jump shot from 20 ft,,65,59
262,3,10:25.0,,Defensive rebound by D. Cousins,65,59
263,3,9:59.0,,R. Gay misses 3-pt jump shot from 24 ft,65,59
264,3,9:58.0,Defensive rebound by N. Noel,,65,59
265,3,9:53.0,I. Canaan makes 3-pt jump shot from 25 ft,,68,59
266,3,9:53.0,,Sacramento full timeout,68,59
267,3,9:53.0,,D. Collison enters the game for R. Gay,68,59
268,3,9:53.0,,Q. Acy enters the game for B. McLemore,68,59
269,3,9:48.0,,Turnover by D. Cousins (lost ball; steal by I. Smith),68,59
270,3,9:43.0,Shooting foul by D. Cousins (drawn by J. Sampson),,68,59
271,3,9:43.0,J. Sampson makes free throw 1 of 2,,69,59
272,3,9:43.0,J. Sampson misses free throw 2 of 2,,69,59
273,3,9:42.0,,Defensive rebound by Team,69,59
274,3,9:42.0,Loose ball foul by J. Sampson (drawn by Q. Acy),,69,59
275,3,9:27.0,,R. Rondo makes 2-pt layup from 2 ft (assist by D. Cousins),69,61
276,3,9:03.0,J. Grant makes 3-pt jump shot from 22 ft (assist by N. Noel),,72,61
277,3,8:54.0,,Turnover by R. Rondo (lost ball),72,61
278,3,8:54.0,R. Covington enters the game for J. Sampson,,72,61
279,3,8:42.0,Shooting foul by Q. Acy (drawn by J. Grant),,72,61
280,3,8:42.0,J. Grant misses free throw 1 of 2,,72,61
281,3,8:42.0,Offensive rebound by Team,,72,61
282,3,8:42.0,J. Grant makes free throw 2 of 2,,73,61
283,3,8:33.0,,D. Collison makes 2-pt jump shot from 11 ft,73,63
284,3,8:24.0,Personal foul by O. Casspi (drawn by R. Covington),,73,63
285,3,8:10.0,Turnover by J. Grant (lost ball; steal by Q. Acy),,73,63
286,3,7:58.0,,D. Collison makes 3-pt jump shot from 25 ft (assist by O. Casspi),73,66
287,3,7:38.0,Personal foul by D. Cousins (drawn by N. Noel),,73,66
288,3,7:38.0,N. Noel misses free throw 1 of 2,,73,66
289,3,7:38.0,Offensive rebound by Team,,73,66
290,3,7:38.0,N. Noel misses free throw 2 of 2,,73,66
291,3,7:36.0,,Defensive rebound by O. Casspi,73,66
292,3,7:25.0,,D. Collison misses 2-pt jump shot from 15 ft,73,66
293,3,7:24.0,Defensive rebound by J. Grant,,73,66
294,3,7:19.0,N. Noel makes 2-pt dunk at rim (assist by I. Smith),,75,66
295,3,7:12.0,,O. Casspi makes 3-pt jump shot from 26 ft (assist by R. Rondo),75,69
296,3,6:55.0,I. Canaan misses 2-pt jump shot from 5 ft (block by D. Cousins),,75,69
297,3,6:53.0,,Defensive rebound by R. Rondo,75,69
298,3,6:45.0,,D. Collison misses 3-pt jump shot from 24 ft,75,69
299,3,6:45.0,,Offensive rebound by Q. Acy,75,69
300,3,6:39.0,,R. Rondo makes 2-pt jump shot from 17 ft,75,71
301,3,6:30.0,Philadelphia full timeout,,75,71
302,3,6:25.0,I. Canaan makes 3-pt jump shot from 27 ft (assist by N. Noel),,78,71
303,3,6:09.0,,Turnover by D. Cousins (lost ball; steal by N. Noel),78,71
304,3,6:05.0,Personal foul by O. Casspi (drawn by J. Grant),,78,71
305,3,6:05.0,J. Grant makes free throw 1 of 2,,79,71
306,3,6:05.0,J. Okafor enters the game for N. Noel,,79,71
307,3,6:05.0,J. Grant makes free throw 2 of 2,,80,71
308,3,5:53.0,,Shooting foul by J. Grant (drawn by D. Cousins),80,71
309,3,5:53.0,,D. Cousins makes free throw 1 of 2,80,72
310,3,5:53.0,,D. Cousins misses free throw 2 of 2,80,72
311,3,5:51.0,,Offensive rebound by R. Rondo,80,72
312,3,5:45.0,,O. Casspi misses 3-pt jump shot from 28 ft,80,72
313,3,5:45.0,Defensive rebound by Team,,80,72
314,3,5:45.0,Personal foul by R. Rondo (drawn by I. Smith),,80,72
315,3,5:45.0,I. Smith makes free throw 1 of 2,,81,72
316,3,5:45.0,I. Smith makes free throw 2 of 2,,82,72
317,3,5:33.0,,D. Cousins misses 3-pt jump shot from 25 ft,82,72
318,3,5:33.0,Defensive rebound by R. Covington,,82,72
319,3,5:20.0,I. Smith misses 2-pt hook shot from 5 ft,,82,72
320,3,5:20.0,,Defensive rebound by Team,82,72
321,3,5:20.0,Loose ball foul by J. Grant (drawn by Q. Acy),,82,72
322,3,5:04.0,,Shooting foul by J. Okafor (drawn by D. Cousins),82,72
323,3,5:04.0,,D. Cousins makes free throw 1 of 2,82,73
324,3,5:04.0,N. Stauskas enters the game for J. Grant,,82,73
325,3,5:04.0,,D. Cousins misses free throw 2 of 2,82,73
326,3,5:03.0,,Offensive rebound by Team,82,73
327,3,5:03.0,Loose ball foul by R. Covington (drawn by Q. Acy),,82,73
328,3,5:03.0,,Q. Acy makes free throw 1 of 2,82,74
329,3,5:03.0,R. Holmes enters the game for R. Covington,,82,74
330,3,5:03.0,,Q. Acy makes free throw 2 of 2,82,75
331,3,4:38.0,J. Okafor misses 2-pt jump shot from 9 ft,,82,75
332,3,4:38.0,Offensive rebound by R. Holmes,,82,75
333,3,4:35.0,N. Stauskas misses 3-pt jump shot from 24 ft,,82,75
334,3,4:34.0,,Defensive rebound by Q. Acy,82,75
335,3,4:27.0,,D. Collison misses 2-pt layup from 3 ft (block by I. Smith),82,75
336,3,4:26.0,Defensive rebound by J. Okafor,,82,75
337,3,4:20.0,I. Canaan misses 3-pt jump shot from 24 ft,,82,75
338,3,4:19.0,,Defensive rebound by D. Cousins,82,75
339,3,4:09.0,,D. Collison misses 2-pt layup from 2 ft (block by N. Stauskas),82,75
340,3,4:08.0,Defensive rebound by J. Okafor,,82,75
341,3,4:00.0,I. Canaan misses 3-pt jump shot from 23 ft,,82,75
342,3,3:59.0,,Defensive rebound by D. Cousins,82,75
343,3,3:44.0,,D. Cousins misses 2-pt jump shot from 5 ft,82,75
344,3,3:43.0,,Offensive rebound by Q. Acy,82,75
345,3,3:43.0,,Q. Acy misses 2-pt layup from 2 ft,82,75
346,3,3:42.0,,Offensive rebound by O. Casspi,82,75
347,3,3:36.0,,Turnover by R. Rondo (bad pass; steal by J. Okafor),82,75
348,3,3:29.0,Turnover by I. Smith (bad pass; steal by R. Rondo),,82,75
349,3,3:23.0,,D. Collison makes 2-pt layup from 2 ft (assist by R. Rondo),82,77
350,3,3:02.0,I. Canaan misses 2-pt jump shot from 8 ft,,82,77
351,3,3:01.0,,Defensive rebound by Q. Acy,82,77
352,3,2:54.0,,O. Casspi misses 2-pt layup from 2 ft,82,77
353,3,2:53.0,,Offensive rebound by D. Collison,82,77
354,3,2:49.0,,R. Rondo misses 3-pt jump shot from 24 ft,82,77
355,3,2:48.0,Defensive rebound by J. Okafor,,82,77
356,3,2:29.0,I. Smith misses 2-pt jump shot from 7 ft,,82,77
357,3,2:27.0,,Defensive rebound by D. Cousins,82,77
358,3,2:10.0,,R. Rondo makes 2-pt jump shot from 7 ft,82,79
359,3,1:46.0,I. Canaan misses 3-pt jump shot from 23 ft,,82,79
360,3,1:46.0,Offensive rebound by Team,,82,79
361,3,1:46.0,Violation by Team (delay of game),,82,79
362,3,1:46.0,T. McConnell enters the game for I. Smith,,82,79
363,3,1:46.0,,M. Belinelli enters the game for O. Casspi,82,79
364,3,1:46.0,,R. Gay enters the game for D. Cousins,82,79
365,3,1:46.0,,K. Koufos enters the game for Q. Acy,82,79
366,3,1:37.0,T. McConnell misses 2-pt jump shot from 19 ft,,82,79
367,3,1:37.0,Offensive rebound by R. Holmes,,82,79
368,3,1:37.0,R. Covington enters the game for I. Canaan,,82,79
369,3,1:29.0,N. Stauskas misses 3-pt jump shot from 24 ft,,82,79
370,3,1:28.0,,Defensive rebound by D. Collison,82,79
371,3,1:11.0,,D. Collison misses 3-pt jump shot from 24 ft,82,79
372,3,1:11.0,Defensive rebound by T. McConnell,,82,79
373,3,1:00.0,Shooting foul by M. Belinelli (drawn by J. Okafor),,82,79
374,3,1:00.0,J. Okafor misses free throw 1 of 2,,82,79
375,3,1:00.0,Offensive rebound by Team,,82,79
376,3,1:00.0,J. Grant enters the game for R. Covington,,82,79
377,3,1:00.0,J. Sampson enters the game for N. Stauskas,,82,79
378,3,1:00.0,J. Okafor makes free throw 2 of 2,,83,79
379,3,0:51.0,,Turnover by R. Rondo (bad pass),83,79
380,3,0:51.0,N. Stauskas enters the game for J. Sampson,,83,79
381,3,0:51.0,R. Covington enters the game for J. Grant,,83,79
382,3,0:34.0,Shooting foul by K. Koufos (drawn by J. Okafor),,83,79
383,3,0:34.0,J. Okafor misses free throw 1 of 2,,83,79
384,3,0:34.0,Offensive rebound by Team,,83,79
385,3,0:34.0,J. Sampson enters the game for N. Stauskas,,83,79
386,3,0:34.0,J. Grant enters the game for R. Covington,,83,79
387,3,0:34.0,J. Okafor misses free throw 2 of 2,,83,79
388,3,0:32.0,,Defensive rebound by Team,83,79
389,3,0:23.0,,R. Gay makes 2-pt jump shot from 20 ft,83,81
