,QUARTER,TIME_REMAINING,INDIANA_ACTION,LA LAKERS_ACTION,INDIANA_SCORE,LA LAKERS_SCORE
57,1,5:37.0,I. Mahinmi makes 2-pt layup from 1 ft (assist by M. Ellis),,15,6
58,1,5:19.0,,J. Clarkson makes 3-pt jump shot from 24 ft (assist by K. Bryant),15,9
59,1,5:06.0,C. Miles misses 3-pt jump shot from 27 ft,,15,9
60,1,5:05.0,Offensive rebound by I. Mahinmi,,15,9
61,1,4:57.0,Turnover by P. George (lost ball; steal by M. World Peace),,15,9
62,1,4:49.0,,Personal foul by P. George (drawn by K. Bryant),15,9
63,1,4:49.0,J. Hill enters the game for G. Hill,,15,9
64,1,4:49.0,R. Stuckey enters the game for I. Mahinmi,,15,9
65,1,4:40.0,,K. Bryant misses 2-pt jump shot from 11 ft,15,9
66,1,4:38.0,Defensive rebound by J. Hill,,15,9
67,1,4:29.0,C. Miles makes 2-pt layup from 1 ft (assist by M. Ellis),,17,9
68,1,4:15.0,,M. World Peace misses 2-pt jump shot from 19 ft,17,9
69,1,4:14.0,,Offensive rebound by Team,17,9
70,1,4:14.0,Loose ball foul by J. Hill (drawn by R. Hibbert),,17,9
71,1,4:14.0,,R. Hibbert makes free throw 1 of 2,17,10
72,1,4:14.0,,R. Hibbert misses free throw 2 of 2,17,10
73,1,4:13.0,Defensive rebound by P. George,,17,10
74,1,3:56.0,P. George misses 2-pt jump shot from 16 ft,,17,10
75,1,3:56.0,,Defensive rebound by M. World Peace,17,10
76,1,3:34.0,,K. Bryant makes 2-pt layup from 1 ft,17,12
77,1,3:16.0,M. Ellis makes 2-pt jump shot from 18 ft,,19,12
78,1,2:53.0,,K. Bryant misses 2-pt hook shot from 3 ft,19,12
79,1,2:52.0,Defensive rebound by R. Stuckey,,19,12
80,1,2:37.0,J. Hill misses 2-pt jump shot from 15 ft,,19,12
81,1,2:36.0,,Defensive rebound by J. Clarkson,19,12
82,1,2:25.0,,J. Clarkson misses 2-pt layup from 1 ft,19,12
83,1,2:25.0,,Offensive rebound by R. Hibbert,19,12
84,1,2:21.0,,M. World Peace misses 3-pt jump shot from 25 ft,19,12
85,1,2:20.0,Defensive rebound by J. Hill,,19,12
86,1,2:10.0,P. George makes 2-pt jump shot from 4 ft,,21,12
87,1,2:03.0,Indiana full timeout,,21,12
88,1,2:03.0,,L. Nance enters the game for K. Bryant,21,12
89,1,2:03.0,,B. Bass enters the game for R. Hibbert,21,12
90,1,2:03.0,L. Allen enters the game for C. Miles,,21,12
91,1,1:54.0,,N. Young misses 3-pt jump shot from 24 ft,21,12
92,1,1:53.0,Defensive rebound by J. Hill,,21,12
93,1,1:40.0,Personal foul by M. World Peace (drawn by P. George),,21,12
94,1,1:31.0,R. Stuckey makes 2-pt jump shot from 16 ft (assist by M. Ellis),,23,12
95,1,1:05.0,,L. Nance misses 2-pt jump shot from 18 ft,23,12
96,1,1:04.0,,Offensive rebound by Team,23,12
97,1,0:51.0,,L. Nance misses 2-pt jump shot from 17 ft,23,12
98,1,0:50.0,Defensive rebound by L. Allen,,23,12
99,1,0:45.0,R. Stuckey misses 2-pt jump shot from 3 ft (block by L. Nance),,23,12
100,1,0:45.0,Offensive rebound by Team,,23,12
101,1,0:36.0,J. Hill makes 2-pt layup from 1 ft (assist by P. George),,25,12
102,1,0:17.0,,Turnover by L. Nance (traveling),25,12
103,1,0:01.0,P. George makes 3-pt jump shot from 25 ft,,28,12
104,2,11:47.0,Turnover by R. Stuckey (bad pass; steal by L. Nance),,28,12
105,2,11:41.0,,L. Nance misses 2-pt layup from 1 ft,28,12
106,2,11:40.0,Defensive rebound by G. Hill,,28,12
107,2,11:33.0,J. Hill misses 2-pt hook shot from 8 ft,,28,12
108,2,11:31.0,,Defensive rebound by L. Nance,28,12
109,2,11:26.0,,N. Young misses 3-pt jump shot from 24 ft,28,12
110,2,11:24.0,Defensive rebound by J. Hill,,28,12
111,2,11:14.0,R. Stuckey misses 3-pt jump shot from 25 ft,,28,12
112,2,11:13.0,,Defensive rebound by Team,28,12
113,2,10:51.0,,D. Russell misses 2-pt jump shot from 19 ft,28,12
114,2,10:50.0,Defensive rebound by L. Allen,,28,12
115,2,10:33.0,J. Hill misses 2-pt jump shot from 15 ft,,28,12
116,2,10:33.0,Offensive rebound by L. Allen,,28,12
117,2,10:30.0,L. Allen makes 2-pt layup from 1 ft,,30,12
118,2,10:11.0,,M. World Peace misses 2-pt layup from 2 ft,30,12
119,2,10:11.0,Defensive rebound by L. Allen,,30,12
120,2,10:06.0,Turnover by G. Hill (bad pass),,30,12
121,2,9:54.0,,N. Young misses 3-pt jump shot from 25 ft,30,12
122,2,9:54.0,Defensive rebound by L. Allen,,30,12
123,2,9:49.0,Turnover by C. Budinger (lost ball; steal by M. World Peace),,30,12
124,2,9:39.0,,L. Nance makes 2-pt layup from 2 ft (assist by D. Russell),30,14
125,2,9:13.0,Turnover by Team (shot clock),,30,14
126,2,9:13.0,,K. Bryant enters the game for N. Young,30,14
127,2,8:50.0,,K. Bryant misses 2-pt jump shot from 19 ft,30,14
128,2,8:49.0,,Offensive rebound by L. Nance,30,14
129,2,8:47.0,,L. Nance misses 2-pt layup at rim,30,14
130,2,8:46.0,,Offensive rebound by B. Bass,30,14
131,2,8:44.0,,B. Bass makes 2-pt dunk at rim,30,16
132,2,8:34.0,L. Allen misses 2-pt jump shot from 20 ft,,30,16
133,2,8:32.0,Offensive rebound by J. Hill,,30,16
134,2,8:29.0,J. Hill makes 2-pt layup at rim,,32,16
135,2,8:17.0,,M. World Peace misses 3-pt jump shot from 25 ft,32,16
136,2,8:17.0,Defensive rebound by J. Hill,,32,16
137,2,8:10.0,L. Allen makes 2-pt layup from 1 ft (assist by R. Stuckey),,34,16
138,2,7:47.0,,B. Bass makes 2-pt jump shot from 14 ft,34,18
139,2,7:26.0,J. Hill misses 2-pt jump shot from 18 ft,,34,18
140,2,7:26.0,,Defensive rebound by B. Bass,34,18
141,2,7:07.0,,K. Bryant misses 2-pt jump shot from 6 ft,34,18
142,2,7:07.0,Defensive rebound by L. Allen,,34,18
143,2,6:59.0,R. Stuckey misses 2-pt jump shot from 17 ft,,34,18
144,2,6:59.0,,Defensive rebound by D. Russell,34,18
145,2,6:53.0,,D. Russell makes 2-pt jump shot from 13 ft,34,20
146,2,6:53.0,Indiana full timeout,,34,20
147,2,6:53.0,,R. Hibbert enters the game for B. Bass,34,20
148,2,6:53.0,,J. Randle enters the game for L. Nance,34,20
149,2,6:43.0,C. Budinger makes 2-pt jump shot from 10 ft (assist by G. Hill),,36,20
150,2,6:30.0,,Shooting foul by C. Budinger (drawn by K. Bryant),36,20
151,2,6:30.0,,K. Bryant makes free throw 1 of 2,36,21
152,2,6:30.0,,K. Bryant makes free throw 2 of 2,36,22
153,2,6:17.0,R. Stuckey makes 2-pt jump shot from 11 ft (assist by J. Hill),,38,22
154,2,6:10.0,,Personal foul by J. Hill (drawn by R. Hibbert),38,22
155,2,6:10.0,,J. Clarkson enters the game for M. World Peace,38,22
156,2,6:10.0,I. Mahinmi enters the game for J. Hill,,38,22
157,2,5:56.0,,K. Bryant misses 2-pt jump shot from 11 ft,38,22
158,2,5:55.0,Defensive rebound by I. Mahinmi,,38,22
159,2,5:48.0,R. Stuckey misses 2-pt layup from 2 ft,,38,22
160,2,5:47.0,,Defensive rebound by J. Clarkson,38,22
161,2,5:44.0,,Shooting foul by G. Hill (drawn by J. Clarkson),38,22
162,2,5:44.0,Official timeout,,38,22
163,2,5:44.0,M. Ellis enters the game for G. Hill,,38,22
164,2,5:44.0,,J. Clarkson makes free throw 1 of 2,38,23
165,2,5:44.0,,J. Clarkson makes free throw 2 of 2,38,24
166,2,5:20.0,R. Stuckey misses 2-pt jump shot from 10 ft,,38,24
167,2,5:18.0,,Defensive rebound by K. Bryant,38,24
168,2,5:11.0,,J. Randle misses 2-pt jump shot from 16 ft,38,24
169,2,5:10.0,Defensive rebound by I. Mahinmi,,38,24
170,2,4:59.0,Turnover by M. Ellis (bad pass),,38,24
171,2,4:39.0,,J. Randle misses 2-pt jump shot from 17 ft,38,24
172,2,4:38.0,Defensive rebound by R. Stuckey,,38,24
173,2,4:28.0,L. Allen misses 2-pt jump shot from 15 ft,,38,24
174,2,4:28.0,,Defensive rebound by R. Hibbert,38,24
175,2,4:16.0,,J. Clarkson makes 2-pt jump shot from 7 ft,38,26
176,2,4:08.0,Personal take foul by J. Clarkson (drawn by M. Ellis),,38,26
177,2,4:08.0,P. George enters the game for R. Stuckey,,38,26
178,2,4:08.0,C. Miles enters the game for L. Allen,,38,26
179,2,4:08.0,G. Hill enters the game for C. Budinger,,38,26
180,2,4:08.0,,LA Lakers full timeout,38,26
181,2,3:58.0,G. Hill makes 2-pt layup from 1 ft (assist by I. Mahinmi),,40,26
182,2,3:43.0,,D. Russell misses 2-pt layup from 2 ft,40,26
183,2,3:42.0,,Offensive rebound by D. Russell,40,26
184,2,3:40.0,,D. Russell makes 2-pt layup at rim,40,28
185,2,3:29.0,C. Miles misses 2-pt jump shot from 11 ft (block by R. Hibbert),,40,28
186,2,3:28.0,,Defensive rebound by D. Russell,40,28
187,2,3:13.0,,J. Clarkson makes 3-pt jump shot from 23 ft (assist by D. Russell),40,31
188,2,3:02.0,Turnover by I. Mahinmi (lost ball),,40,31
189,2,2:48.0,,K. Bryant makes 2-pt jump shot from 19 ft (assist by D. Russell),40,33
190,2,2:39.0,G. Hill misses 3-pt jump shot from 24 ft,,40,33
191,2,2:38.0,,Defensive rebound by J. Randle,40,33
192,2,2:28.0,,J. Randle misses 2-pt layup from 1 ft,40,33
193,2,2:27.0,,Offensive rebound by R. Hibbert,40,33
194,2,2:27.0,,LA Lakers full timeout,40,33
195,2,2:27.0,,M. World Peace enters the game for J. Randle,40,33
196,2,2:24.0,,D. Russell misses 3-pt jump shot from 24 ft,40,33
197,2,2:23.0,Defensive rebound by I. Mahinmi,,40,33
198,2,1:58.0,M. Ellis makes 2-pt jump shot from 13 ft,,42,33
199,2,1:43.0,,K. Bryant misses 3-pt jump shot from 24 ft (block by P. George),42,33
200,2,1:41.0,Defensive rebound by M. Ellis,,42,33
201,2,1:40.0,Shooting foul by J. Clarkson (drawn by P. George),,42,33
202,2,1:40.0,P. George makes free throw 1 of 2,,43,33
203,2,1:40.0,P. George makes free throw 2 of 2,,44,33
204,2,1:25.0,,M. World Peace misses 2-pt layup from 1 ft,44,33
205,2,1:24.0,Defensive rebound by I. Mahinmi,,44,33
206,2,1:17.0,P. George misses 3-pt jump shot from 24 ft,,44,33
207,2,1:17.0,,Defensive rebound by J. Clarkson,44,33
208,2,1:02.0,,K. Bryant misses 2-pt jump shot from 5 ft,44,33
209,2,1:02.0,,Offensive rebound by R. Hibbert,44,33
210,2,1:00.0,,R. Hibbert makes 2-pt dunk at rim,44,35
211,2,0:53.0,Shooting foul by R. Hibbert (drawn by G. Hill),,44,35
212,2,0:53.0,G. Hill makes free throw 1 of 2,,45,35
213,2,0:53.0,G. Hill makes free throw 2 of 2,,46,35
214,2,0:41.0,,K. Bryant misses 2-pt jump shot from 19 ft,46,35
215,2,0:40.0,,Offensive rebound by M. World Peace,46,35
216,2,0:37.0,,M. World Peace misses 2-pt layup from 1 ft,46,35
217,2,0:36.0,Defensive rebound by I. Mahinmi,,46,35
218,2,0:30.0,C. Miles misses 3-pt jump shot from 25 ft,,46,35
219,2,0:29.0,,Defensive rebound by R. Hibbert,46,35
220,2,0:21.0,,Turnover by Team (turnover),46,35
221,2,0:21.0,Indiana full timeout,,46,35
222,2,0:03.0,P. George makes 2-pt layup from 2 ft (assist by M. Ellis),,48,35
223,3,11:44.0,I. Mahinmi makes 2-pt dunk at rim (assist by M. Ellis),,50,35
224,3,11:19.0,,J. Randle makes 2-pt hook shot from 1 ft,50,37
225,3,11:11.0,C. Miles makes 3-pt jump shot from 25 ft (assist by G. Hill),,53,37
226,3,11:01.0,,Personal foul by C. Miles (drawn by J. Randle),53,37
227,3,10:49.0,,J. Randle makes 2-pt jump shot from 9 ft,53,39
228,3,10:34.0,P. George misses 3-pt jump shot from 25 ft,,53,39
229,3,10:34.0,,Defensive rebound by D. Russell,53,39
230,3,10:22.0,,Turnover by Team (back court),53,39
231,3,10:06.0,Turnover by M. Ellis (lost ball; steal by K. Bryant),,53,39
232,3,9:53.0,,R. Hibbert makes 2-pt dunk at rim (assist by K. Bryant),53,41
233,3,9:43.0,Personal foul by R. Hibbert (drawn by I. Mahinmi),,53,41
234,3,9:36.0,P. George makes 2-pt layup at rim (assist by I. Mahinmi),,55,41
235,3,9:25.0,,Personal foul by I. Mahinmi (drawn by R. Hibbert),55,41
236,3,9:21.0,,J. Clarkson makes 2-pt jump shot from 18 ft (assist by R. Hibbert),55,43
237,3,9:10.0,C. Miles makes 3-pt jump shot from 24 ft (assist by G. Hill),,58,43
238,3,8:55.0,,Turnover by R. Hibbert (lost ball; steal by G. Hill),58,43
239,3,8:49.0,C. Miles misses 3-pt jump shot from 24 ft,,58,43
240,3,8:46.0,Offensive rebound by P. George,,58,43
241,3,8:39.0,Shooting foul by J. Clarkson (drawn by P. George),,58,43
242,3,8:39.0,P. George makes free throw 1 of 2,,59,43
243,3,8:39.0,P. George makes free throw 2 of 2,,60,43
244,3,8:28.0,,D. Russell makes 2-pt jump shot from 18 ft,60,45
245,3,8:20.0,P. George misses 3-pt jump shot from 24 ft,,60,45
246,3,8:19.0,,Defensive rebound by J. Randle,60,45
247,3,8:03.0,,J. Clarkson misses 2-pt jump shot from 11 ft,60,45
248,3,8:02.0,Defensive rebound by M. Ellis,,60,45
249,3,7:47.0,P. George makes 3-pt jump shot from 26 ft,,63,45
250,3,7:34.0,,D. Russell misses 2-pt jump shot from 17 ft,63,45
251,3,7:32.0,Defensive rebound by I. Mahinmi,,63,45
252,3,7:22.0,P. George misses 3-pt jump shot from 24 ft,,63,45
253,3,7:21.0,,Defensive rebound by R. Hibbert,63,45
254,3,7:13.0,,Shooting foul by I. Mahinmi (drawn by J. Randle),63,45
255,3,7:13.0,,J. Randle misses free throw 1 of 2,63,45
256,3,7:13.0,,Offensive rebound by Team,63,45
257,3,7:13.0,,J. Randle makes free throw 2 of 2,63,46
258,3,6:53.0,Shooting foul by R. Hibbert (drawn by M. Ellis),,63,46
259,3,6:53.0,M. Ellis makes free throw 1 of 2,,64,46
260,3,6:53.0,,N. Young enters the game for D. Russell,64,46
261,3,6:53.0,M. Ellis makes free throw 2 of 2,,65,46
262,3,6:42.0,,Offensive foul by J. Randle (drawn by C. Miles),65,46
263,3,6:42.0,,Turnover by J. Randle (offensive foul),65,46
264,3,6:30.0,G. Hill misses 2-pt layup from 2 ft,,65,46
265,3,6:27.0,,Defensive rebound by J. Randle,65,46
266,3,6:25.0,,Turnover by J. Randle (bad pass; steal by P. George),65,46
267,3,6:20.0,P. George makes 3-pt jump shot from 24 ft,,68,46
268,3,6:11.0,,LA Lakers full timeout,68,46
269,3,6:05.0,,N. Young makes 3-pt jump shot from 22 ft (assist by J. Clarkson),68,49
270,3,5:43.0,C. Miles misses 3-pt jump shot from 23 ft,,68,49
271,3,5:42.0,,Defensive rebound by R. Hibbert,68,49
272,3,5:34.0,,Shooting foul by C. Miles (drawn by R. Hibbert),68,49
273,3,5:34.0,,M. World Peace enters the game for K. Bryant,68,49
274,3,5:34.0,,R. Hibbert misses free throw 1 of 2,68,49
275,3,5:34.0,,Offensive rebound by Team,68,49
276,3,5:34.0,,R. Hibbert makes free throw 2 of 2,68,50
277,3,5:20.0,G. Hill misses 3-pt jump shot from 24 ft,,68,50
278,3,5:19.0,,Defensive rebound by J. Clarkson,68,50
279,3,5:04.0,,J. Randle misses 2-pt jump shot from 3 ft,68,50
280,3,5:04.0,Defensive rebound by I. Mahinmi,,68,50
281,3,4:55.0,G. Hill misses 2-pt jump shot from 18 ft,,68,50
282,3,4:55.0,Offensive rebound by I. Mahinmi,,68,50
283,3,4:52.0,Turnover by I. Mahinmi (lost ball; steal by J. Clarkson),,68,50
284,3,4:46.0,,M. World Peace misses 2-pt jump shot from 3 ft (block by I. Mahinmi),68,50
285,3,4:45.0,,Offensive rebound by N. Young,68,50
286,3,4:41.0,,N. Young makes 3-pt jump shot from 24 ft,68,53
287,3,4:31.0,G. Hill makes 2-pt layup from 1 ft,,70,53
288,3,4:31.0,,Technical foul by N. Young,70,53
289,3,4:31.0,P. George misses technical free throw,,70,53
290,3,4:31.0,,Offensive rebound by Team,70,53
291,3,4:31.0,J. Hill enters the game for I. Mahinmi,,70,53
292,3,4:31.0,R. Stuckey enters the game for G. Hill,,70,53
293,3,4:31.0,,L. Nance enters the game for J. Randle,70,53
294,3,4:16.0,,N. Young makes 3-pt jump shot from 25 ft,70,56
295,3,4:03.0,Turnover by M. Ellis (bad pass; steal by R. Hibbert),,70,56
296,3,3:55.0,,N. Young misses 3-pt jump shot from 24 ft,70,56
297,3,3:54.0,Defensive rebound by R. Stuckey,,70,56
298,3,3:52.0,,Violation by J. Clarkson (def goaltending),70,56
299,3,3:52.0,R. Stuckey makes 2-pt layup from 1 ft,,72,56
300,3,3:52.0,Shooting foul by N. Young (drawn by R. Stuckey),,72,56
301,3,3:52.0,R. Stuckey makes free throw 1 of 1,,73,56
302,3,3:36.0,,J. Clarkson makes 2-pt hook shot from 3 ft,73,58
303,3,3:19.0,P. George makes 2-pt jump shot from 9 ft,,75,58
304,3,2:59.0,,N. Young makes 3-pt jump shot from 23 ft (assist by M. World Peace),75,61
305,3,2:51.0,P. George makes 3-pt jump shot from 25 ft (assist by C. Miles),,78,61
306,3,2:35.0,,N. Young misses 3-pt jump shot from 27 ft,78,61
307,3,2:34.0,Defensive rebound by C. Miles,,78,61
308,3,2:26.0,C. Miles misses 3-pt jump shot from 25 ft,,78,61
309,3,2:25.0,,Defensive rebound by J. Clarkson,78,61
310,3,2:19.0,,J. Clarkson misses 2-pt jump shot from 7 ft,78,61
311,3,2:18.0,,Offensive rebound by J. Clarkson,78,61
312,3,2:14.0,,L. Nance misses 2-pt jump shot from 3 ft,78,61
313,3,2:13.0,,Offensive rebound by L. Nance,78,61
314,3,2:10.0,,L. Nance makes 2-pt layup at rim,78,63
315,3,2:10.0,Indiana full timeout,,78,63
316,3,2:10.0,,B. Bass enters the game for R. Hibbert,78,63
317,3,2:10.0,L. Allen enters the game for C. Miles,,78,63
318,3,1:52.0,R. Stuckey misses 2-pt jump shot from 20 ft,,78,63
319,3,1:51.0,,Defensive rebound by J. Clarkson,78,63
320,3,1:32.0,,J. Clarkson misses 3-pt jump shot from 27 ft,78,63
321,3,1:32.0,,Offensive rebound by M. World Peace,78,63
322,3,1:15.0,,Turnover by L. Nance (bad pass; steal by P. George),78,63
323,3,1:02.0,,M. World Peace misses 3-pt jump shot from 25 ft,78,63
324,3,1:01.0,Defensive rebound by J. Hill,,78,63
325,3,0:56.0,L. Allen misses 2-pt layup from 2 ft (block by L. Nance),,78,63
326,3,0:54.0,,Defensive rebound by B. Bass,78,63
327,3,0:44.0,,Personal foul by J. Hill (drawn by M. World Peace),78,63
328,3,0:44.0,,M. World Peace makes free throw 1 of 2,78,64
329,3,0:44.0,,M. World Peace makes free throw 2 of 2,78,65
330,3,0:37.0,Turnover by M. Ellis (traveling),,78,65
331,3,0:31.0,,N. Young misses 2-pt jump shot from 19 ft,78,65
332,3,0:30.0,,Offensive rebound by B. Bass,78,65
333,3,0:08.0,,B. Bass misses 2-pt jump shot from 18 ft,78,65
334,3,0:04.0,Defensive rebound by R. Stuckey,,78,65
335,3,0:01.0,Personal foul by L. Nance (drawn by R. Stuckey),,78,65
336,3,0:01.0,R. Stuckey makes free throw 1 of 2,,79,65
337,3,0:01.0,R. Stuckey makes free throw 2 of 2,,80,65
338,4,11:39.0,,N. Young makes 2-pt jump shot from 16 ft,80,67
339,4,11:19.0,L. Allen makes 2-pt jump shot from 10 ft (assist by R. Stuckey),,82,67
340,4,11:04.0,,D. Russell makes 2-pt jump shot from 3 ft,82,69
341,4,10:52.0,Def 3 sec tech foul by L. Nance,,82,69
342,4,10:52.0,G. Hill misses technical free throw,,82,69
343,4,10:52.0,Offensive rebound by Team,,82,69
344,4,10:44.0,J. Hill misses 2-pt jump shot from 8 ft,,82,69
345,4,10:44.0,Offensive rebound by Team,,82,69
346,4,10:35.0,R. Stuckey misses 2-pt jump shot from 16 ft,,82,69
347,4,10:34.0,,Defensive rebound by K. Bryant,82,69
348,4,10:26.0,,K. Bryant misses 2-pt jump shot from 19 ft,82,69
349,4,10:25.0,Defensive rebound by R. Stuckey,,82,69
350,4,10:20.0,C. Budinger misses 2-pt layup at rim,,82,69
351,4,10:19.0,,Defensive rebound by K. Bryant,82,69
352,4,10:10.0,,Personal foul by J. Hill (drawn by L. Nance),82,69
353,4,9:57.0,,K. Bryant misses 2-pt jump shot from 15 ft,82,69
354,4,9:56.0,Defensive rebound by G. Hill,,82,69
355,4,9:51.0,G. Hill misses 2-pt layup from 1 ft,,82,69
356,4,9:48.0,Offensive rebound by J. Hill,,82,69
357,4,9:45.0,J. Hill makes 2-pt dunk at rim,,84,69
358,4,9:29.0,,N. Young makes 2-pt jump shot from 13 ft (assist by B. Bass),84,71
359,4,9:13.0,C. Budinger misses 3-pt jump shot from 24 ft,,84,71
360,4,9:12.0,,Defensive rebound by D. Russell,84,71
361,4,9:05.0,,D. Russell misses 3-pt jump shot from 24 ft,84,71
362,4,9:03.0,Defensive rebound by J. Hill,,84,71
363,4,9:02.0,Personal foul by N. Young (drawn by R. Stuckey),,84,71
364,4,9:02.0,,J. Clarkson enters the game for D. Russell,84,71
365,4,9:02.0,,J. Randle enters the game for L. Nance,84,71
366,4,9:00.0,Personal foul by N. Young (drawn by R. Stuckey),,84,71
367,4,8:49.0,G. Hill misses 2-pt layup from 1 ft,,84,71
368,4,8:48.0,,Defensive rebound by N. Young,84,71
369,4,8:41.0,,Shooting foul by G. Hill (drawn by N. Young),84,71
370,4,8:41.0,Official timeout,,84,71
371,4,8:41.0,I. Mahinmi enters the game for J. Hill,,84,71
372,4,8:41.0,P. George enters the game for C. Budinger,,84,71
373,4,8:41.0,,N. Young misses free throw 1 of 2,84,71
374,4,8:41.0,,Offensive rebound by Team,84,71
375,4,8:41.0,,N. Young misses free throw 2 of 2,84,71
376,4,8:40.0,Defensive rebound by L. Allen,,84,71
377,4,8:30.0,Personal foul by J. Randle (drawn by G. Hill),,84,71
378,4,8:23.0,P. George misses 2-pt jump shot from 16 ft,,84,71
379,4,8:21.0,Offensive rebound by R. Stuckey,,84,71
380,4,8:19.0,R. Stuckey misses 2-pt layup from 2 ft,,84,71
381,4,8:18.0,,Defensive rebound by J. Clarkson,84,71
382,4,7:58.0,,Shooting foul by G. Hill (drawn by K. Bryant),84,71
383,4,7:58.0,,K. Bryant misses free throw 1 of 2,84,71
384,4,7:58.0,,Offensive rebound by Team,84,71
385,4,7:58.0,,K. Bryant makes free throw 2 of 2,84,72
386,4,7:42.0,Personal foul by J. Randle (drawn by P. George),,84,72
387,4,7:42.0,,M. World Peace enters the game for K. Bryant,84,72
388,4,7:39.0,Turnover by P. George (bad pass),,84,72
389,4,7:24.0,,N. Young makes 3-pt jump shot from 24 ft,84,75
390,4,7:12.0,Shooting foul by B. Bass (drawn by R. Stuckey),,84,75
391,4,7:12.0,R. Stuckey makes free throw 1 of 2,,85,75
392,4,7:12.0,C. Miles enters the game for L. Allen,,85,75
393,4,7:12.0,R. Stuckey makes free throw 2 of 2,,86,75
394,4,7:03.0,,B. Bass makes 2-pt jump shot from 17 ft (assist by J. Clarkson),86,77
395,4,6:40.0,C. Miles misses 2-pt jump shot from 3 ft,,86,77
396,4,6:40.0,Offensive rebound by C. Miles,,86,77
