,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MIAMI_ACTION,MEMPHIS_SCORE,MIAMI_SCORE
37,1,6:15.0,M. Gasol misses 2-pt jump shot from 9 ft,,8,11
38,1,6:14.0,,Defensive rebound by C. Bosh,8,11
39,1,5:57.0,,G. Dragić misses 3-pt jump shot from 23 ft,8,11
40,1,5:56.0,Defensive rebound by M. Barnes,,8,11
41,1,5:46.0,M. Conley misses 2-pt jump shot from 13 ft,,8,11
42,1,5:44.0,Offensive rebound by Team,,8,11
43,1,5:44.0,,Miami full timeout,8,11
44,1,5:44.0,,J. Winslow enters the game for C. Bosh,8,11
45,1,5:42.0,J. Green makes 2-pt dunk at rim (assist by M. Barnes),,10,11
46,1,5:20.0,,D. Wade misses 2-pt jump shot from 10 ft,10,11
47,1,5:19.0,Defensive rebound by M. Barnes,,10,11
48,1,5:06.0,Turnover by J. Green (bad pass; steal by G. Dragić),,10,11
49,1,4:59.0,,Turnover by G. Dragić (bad pass; steal by M. Barnes),10,11
50,1,4:57.0,Personal foul by D. Wade (drawn by M. Barnes),,10,11
51,1,4:57.0,M. Chalmers enters the game for M. Barnes,,10,11
52,1,4:57.0,Z. Randolph enters the game for M. Conley,,10,11
53,1,4:42.0,M. Gasol makes 2-pt jump shot from 13 ft (assist by M. Chalmers),,12,11
54,1,4:22.0,,L. Deng misses 3-pt jump shot from 22 ft,12,11
55,1,4:21.0,Defensive rebound by Z. Randolph,,12,11
56,1,4:18.0,Shooting foul by J. Winslow (drawn by J. Green),,12,11
57,1,4:18.0,J. Green makes free throw 1 of 2,,13,11
58,1,4:18.0,J. Green makes free throw 2 of 2,,14,11
59,1,4:02.0,,D. Wade makes 2-pt layup from 2 ft,14,13
60,1,3:44.0,M. Gasol makes 2-pt hook shot from 6 ft (assist by Z. Randolph),,16,13
61,1,3:19.0,,J. Winslow misses 3-pt jump shot from 23 ft,16,13
62,1,3:18.0,Defensive rebound by M. Gasol,,16,13
63,1,3:12.0,M. Chalmers misses 2-pt layup from 2 ft,,16,13
64,1,3:11.0,,Defensive rebound by G. Dragić,16,13
65,1,2:58.0,,D. Wade misses 2-pt jump shot from 14 ft,16,13
66,1,2:56.0,,Offensive rebound by Team,16,13
67,1,2:56.0,Loose ball foul by M. Chalmers (drawn by H. Whiteside),,16,13
68,1,2:56.0,Memphis full timeout,,16,13
69,1,2:56.0,,C. Bosh enters the game for H. Whiteside,16,13
70,1,2:56.0,,G. Green enters the game for D. Wade,16,13
71,1,2:40.0,,G. Green misses 2-pt jump shot from 16 ft,16,13
72,1,2:39.0,Defensive rebound by Z. Randolph,,16,13
73,1,2:26.0,M. Chalmers makes 2-pt layup from 2 ft (assist by Z. Randolph),,18,13
74,1,2:09.0,,L. Deng misses 2-pt hook shot from 3 ft,18,13
75,1,2:08.0,Defensive rebound by Z. Randolph,,18,13
76,1,2:00.0,J. Green makes 2-pt layup from 1 ft (assist by M. Gasol),,20,13
77,1,2:00.0,Shooting foul by G. Dragić (drawn by J. Green),,20,13
78,1,2:00.0,,U. Haslem enters the game for L. Deng,20,13
79,1,2:00.0,J. Green makes free throw 1 of 1,,21,13
80,1,1:48.0,,G. Dragić misses 2-pt jump shot from 16 ft,21,13
81,1,1:47.0,Defensive rebound by C. Lee,,21,13
82,1,1:34.0,Z. Randolph makes 2-pt jump shot from 13 ft,,23,13
83,1,1:07.0,,G. Green makes 3-pt jump shot from 23 ft (assist by G. Dragić),23,16
84,1,0:53.0,J. Green makes 2-pt layup from 1 ft (assist by Z. Randolph),,25,16
85,1,0:38.0,,G. Green makes 2-pt jump shot from 2 ft (assist by C. Bosh),25,18
86,1,0:28.0,Shooting foul by U. Haslem (drawn by Z. Randolph),,25,18
87,1,0:28.0,M. Chalmers makes free throw 1 of 2,,26,18
88,1,0:28.0,J. Green enters the game for M. Gasol,,26,18
89,1,0:28.0,,B. Udrih enters the game for G. Dragić,26,18
90,1,0:28.0,M. Chalmers makes free throw 2 of 2,,27,18
91,1,0:11.0,,G. Green makes 3-pt jump shot from 24 ft (assist by U. Haslem),27,21
92,1,0:02.0,J. Green misses 2-pt jump shot from 10 ft,,27,21
93,1,0:01.0,Offensive rebound by J. Green,,27,21
94,1,0:00.0,J. Green misses 2-pt layup from 1 ft,,27,21
95,1,0:00.0,Offensive rebound by Team,,27,21
96,2,11:41.0,,C. Bosh misses 2-pt hook shot from 4 ft,27,21
97,2,11:40.0,Defensive rebound by J. Green,,27,21
98,2,11:24.0,J. Green makes 2-pt layup from 2 ft (assist by J. Green),,29,21
99,2,11:09.0,,C. Bosh makes 3-pt jump shot from 23 ft (assist by J. Winslow),29,24
100,2,10:45.0,Z. Randolph makes 2-pt hook shot from 8 ft,,31,24
101,2,10:32.0,,U. Haslem makes 2-pt layup from 1 ft (assist by B. Udrih),31,26
102,2,10:21.0,M. Chalmers makes 2-pt jump shot from 5 ft,,33,26
103,2,10:05.0,,G. Green makes 2-pt jump shot from 10 ft,33,28
104,2,9:50.0,J. Green makes 2-pt jump shot from 8 ft,,35,28
105,2,9:40.0,,Personal foul by J. Green (drawn by C. Bosh),35,28
106,2,9:29.0,,C. Bosh makes 2-pt layup from 4 ft,35,30
107,2,9:16.0,Turnover by J. Green (bad pass; steal by B. Udrih),,35,30
108,2,9:15.0,,Personal foul by Z. Randolph (drawn by B. Udrih),35,30
109,2,9:01.0,,B. Udrih makes 2-pt layup from 2 ft,35,32
110,2,8:53.0,Memphis full timeout,,35,32
111,2,8:53.0,M. Gasol enters the game for J. Green,,35,32
112,2,8:43.0,Personal foul by U. Haslem (drawn by Z. Randolph),,35,32
113,2,8:35.0,Shooting foul by B. Udrih (drawn by M. Chalmers),,35,32
114,2,8:35.0,M. Chalmers misses free throw 1 of 2,,35,32
115,2,8:35.0,Offensive rebound by Team,,35,32
116,2,8:35.0,M. Chalmers makes free throw 2 of 2,,36,32
117,2,8:25.0,,B. Udrih makes 2-pt jump shot from 14 ft (assist by C. Bosh),36,34
118,2,8:06.0,Z. Randolph misses 2-pt jump shot from 16 ft,,36,34
119,2,8:05.0,,Defensive rebound by B. Udrih,36,34
120,2,7:55.0,,Shooting foul by J. Green (drawn by B. Udrih),36,34
121,2,7:55.0,,B. Udrih makes free throw 1 of 2,36,35
122,2,7:55.0,M. Conley enters the game for M. Chalmers,,36,35
123,2,7:55.0,C. Lee enters the game for J. Green,,36,35
124,2,7:55.0,,B. Udrih makes free throw 2 of 2,36,36
125,2,7:36.0,M. Conley misses 3-pt jump shot from 25 ft,,36,36
126,2,7:35.0,,Defensive rebound by J. Winslow,36,36
127,2,7:30.0,,Turnover by J. Winslow (bad pass; steal by M. Conley),36,36
128,2,7:26.0,M. Conley misses 2-pt layup from 2 ft (block by J. Winslow),,36,36
129,2,7:25.0,Offensive rebound by M. Barnes,,36,36
130,2,7:24.0,M. Barnes makes 2-pt layup from 1 ft,,38,36
131,2,7:09.0,,H. Whiteside enters the game for C. Bosh,38,36
132,2,7:09.0,,L. Deng enters the game for U. Haslem,38,36
133,2,7:09.0,,D. Wade enters the game for J. Winslow,38,36
134,2,6:58.0,,D. Wade misses 2-pt jump shot from 8 ft,38,36
135,2,6:57.0,Defensive rebound by M. Barnes,,38,36
136,2,6:47.0,Z. Randolph makes 2-pt layup from 1 ft (assist by M. Barnes),,40,36
137,2,6:30.0,,H. Whiteside makes 2-pt layup from 2 ft (assist by D. Wade),40,38
138,2,6:06.0,Z. Randolph makes 2-pt jump shot from 4 ft (assist by C. Lee),,42,38
139,2,5:42.0,,B. Udrih misses 2-pt jump shot from 22 ft,42,38
140,2,5:41.0,,Offensive rebound by L. Deng,42,38
141,2,5:39.0,,L. Deng makes 2-pt layup from 1 ft,42,40
142,2,5:18.0,M. Conley makes 2-pt jump shot from 11 ft,,44,40
143,2,5:08.0,,Miami full timeout,44,40
144,2,5:08.0,J. Green enters the game for Z. Randolph,,44,40
145,2,5:08.0,,G. Dragić enters the game for B. Udrih,44,40
146,2,4:54.0,,D. Wade misses 2-pt jump shot from 13 ft,44,40
147,2,4:52.0,Defensive rebound by M. Barnes,,44,40
148,2,4:30.0,J. Green misses 2-pt hook shot from 9 ft,,44,40
149,2,4:28.0,,Defensive rebound by H. Whiteside,44,40
150,2,4:21.0,,Personal foul by M. Conley (drawn by G. Green),44,40
151,2,4:07.0,,L. Deng makes 2-pt layup from 2 ft,44,42
152,2,3:54.0,M. Barnes makes 3-pt jump shot from 24 ft (assist by M. Conley),,47,42
153,2,3:30.0,,D. Wade makes 2-pt jump shot from 16 ft,47,44
154,2,3:12.0,M. Gasol misses 2-pt jump shot from 16 ft,,47,44
155,2,3:10.0,,Defensive rebound by H. Whiteside,47,44
156,2,3:05.0,,G. Green misses 3-pt jump shot from 24 ft,47,44
157,2,3:04.0,Defensive rebound by M. Barnes,,47,44
158,2,2:57.0,C. Lee makes 2-pt jump shot from 12 ft (assist by J. Green),,49,44
159,2,2:38.0,,Personal foul by C. Lee (drawn by G. Dragić),49,44
160,2,2:38.0,Official timeout,,49,44
161,2,2:38.0,,G. Dragić makes free throw 1 of 2,49,45
162,2,2:38.0,,G. Dragić makes free throw 2 of 2,49,46
163,2,2:24.0,M. Gasol makes 2-pt jump shot from 17 ft (assist by M. Barnes),,51,46
164,2,2:06.0,,G. Green misses 3-pt jump shot from 23 ft,51,46
165,2,2:05.0,Defensive rebound by M. Barnes,,51,46
166,2,2:02.0,J. Green makes 2-pt jump shot from 4 ft (assist by M. Barnes),,53,46
167,2,2:02.0,Shooting foul by L. Deng (drawn by J. Green),,53,46
168,2,2:02.0,,C. Bosh enters the game for L. Deng,53,46
169,2,2:02.0,J. Green makes free throw 1 of 1,,54,46
170,2,1:42.0,,G. Dragić misses 3-pt jump shot from 23 ft,54,46
171,2,1:41.0,Defensive rebound by J. Green,,54,46
172,2,1:33.0,J. Green makes 2-pt hook shot from 5 ft,,56,46
173,2,1:11.0,,Shooting foul by M. Conley (drawn by G. Dragić),56,46
174,2,1:11.0,,G. Dragić makes 2-pt jump shot from 8 ft,56,48
175,2,1:11.0,,G. Dragić misses free throw 1 of 1,56,48
176,2,1:10.0,Defensive rebound by M. Barnes,,56,48
177,2,0:50.0,C. Lee misses 2-pt layup from 4 ft,,56,48
178,2,0:50.0,Offensive rebound by Team,,56,48
179,2,0:50.0,,Loose ball foul by D. Wade (drawn by M. Gasol),56,48
180,2,0:29.0,M. Barnes misses 3-pt jump shot from 24 ft,,56,48
181,2,0:28.0,Offensive rebound by Team,,56,48
182,2,0:27.0,,J. Winslow enters the game for D. Wade,56,48
183,2,0:03.0,Turnover by M. Conley (bad pass; steal by H. Whiteside),,56,48
184,2,0:00.0,,G. Dragić misses 3-pt jump shot from 43 ft,56,48
185,2,0:00.0,,Offensive rebound by Team,56,48
186,3,11:45.0,,Turnover by D. Wade (bad pass; steal by M. Barnes),56,48
187,3,11:39.0,C. Lee makes 2-pt jump shot from 13 ft,,58,48
188,3,11:18.0,,Personal foul by M. Conley (drawn by G. Dragić),58,48
189,3,11:06.0,,D. Wade misses 2-pt jump shot from 21 ft,58,48
190,3,11:05.0,Defensive rebound by M. Barnes,,58,48
191,3,10:42.0,M. Gasol misses 2-pt jump shot from 21 ft,,58,48
192,3,10:41.0,,Defensive rebound by H. Whiteside,58,48
193,3,10:24.0,,Shooting foul by J. Green (drawn by C. Bosh),58,48
194,3,10:24.0,,C. Bosh makes free throw 1 of 2,58,49
195,3,10:24.0,,C. Bosh makes free throw 2 of 2,58,50
196,3,10:05.0,C. Lee makes 2-pt jump shot from 18 ft (assist by M. Gasol),,60,50
197,3,9:45.0,,Turnover by C. Bosh (bad pass; steal by C. Lee),60,50
198,3,9:39.0,Turnover by J. Green (lost ball; steal by C. Bosh),,60,50
199,3,9:36.0,,Shooting foul by M. Gasol (drawn by C. Bosh),60,50
200,3,9:36.0,,C. Bosh makes free throw 1 of 2,60,51
201,3,9:36.0,,C. Bosh makes free throw 2 of 2,60,52
202,3,9:20.0,M. Barnes makes 3-pt jump shot from 23 ft (assist by M. Conley),,63,52
203,3,8:57.0,,D. Wade misses 2-pt jump shot from 19 ft,63,52
204,3,8:56.0,Defensive rebound by M. Barnes,,63,52
205,3,8:37.0,M. Gasol makes 2-pt hook shot from 8 ft,,65,52
206,3,8:37.0,,Miami full timeout,65,52
207,3,8:24.0,,G. Dragić misses 2-pt jump shot from 3 ft (block by M. Conley),65,52
208,3,8:23.0,,Offensive rebound by Team,65,52
209,3,8:18.0,,G. Dragić misses 3-pt jump shot from 23 ft,65,52
210,3,8:17.0,Defensive rebound by M. Barnes,,65,52
211,3,8:01.0,J. Green misses 2-pt jump shot from 4 ft,,65,52
212,3,8:00.0,,Defensive rebound by H. Whiteside,65,52
213,3,7:55.0,,Turnover by G. Dragić (lost ball; steal by M. Conley),65,52
214,3,7:41.0,J. Green makes 2-pt jump shot from 21 ft,,67,52
215,3,7:22.0,,D. Wade makes 2-pt layup from 2 ft (assist by L. Deng),67,54
216,3,7:02.0,Turnover by M. Gasol (kicked ball),,67,54
217,3,6:49.0,,L. Deng misses 3-pt jump shot from 24 ft,67,54
218,3,6:48.0,Defensive rebound by J. Green,,67,54
219,3,6:42.0,M. Conley makes 3-pt jump shot from 23 ft (assist by C. Lee),,70,54
220,3,6:21.0,,C. Bosh misses 3-pt jump shot from 24 ft,70,54
221,3,6:20.0,,Offensive rebound by H. Whiteside,70,54
222,3,6:20.0,,Shooting foul by M. Conley (drawn by H. Whiteside),70,54
223,3,6:20.0,,H. Whiteside makes 2-pt layup from 2 ft,70,56
224,3,6:20.0,,G. Green enters the game for D. Wade,70,56
225,3,6:20.0,M. Chalmers enters the game for M. Conley,,70,56
226,3,6:20.0,,H. Whiteside misses free throw 1 of 1,70,56
227,3,6:19.0,Defensive rebound by M. Barnes,,70,56
228,3,6:00.0,J. Green misses 2-pt jump shot from 13 ft,,70,56
229,3,5:59.0,,Defensive rebound by L. Deng,70,56
230,3,5:39.0,,G. Green misses 3-pt jump shot from 23 ft,70,56
231,3,5:38.0,Defensive rebound by Team,,70,56
232,3,5:38.0,,J. Winslow enters the game for H. Whiteside,70,56
233,3,5:19.0,Turnover by M. Barnes (bad pass),,70,56
234,3,5:19.0,Z. Randolph enters the game for M. Gasol,,70,56
235,3,5:06.0,,G. Dragić makes 2-pt layup at rim,70,58
236,3,4:43.0,M. Barnes makes 3-pt jump shot from 25 ft (assist by J. Green),,73,58
237,3,4:27.0,,Shooting foul by M. Barnes (drawn by G. Green),73,58
238,3,4:27.0,,G. Green misses free throw 1 of 2,73,58
239,3,4:27.0,,Offensive rebound by Team,73,58
240,3,4:27.0,,G. Green makes free throw 2 of 2,73,59
241,3,4:07.0,J. Green makes 2-pt layup from 2 ft,,75,59
242,3,3:43.0,,L. Deng makes 2-pt jump shot from 16 ft (assist by J. Winslow),75,61
243,3,3:26.0,Turnover by M. Chalmers (bad pass),,75,61
244,3,3:15.0,,C. Bosh makes 2-pt jump shot from 22 ft (assist by G. Dragić),75,63
245,3,3:14.0,Memphis full timeout,,75,63
246,3,3:14.0,J. Green enters the game for C. Lee,,75,63
247,3,3:01.0,M. Chalmers misses 2-pt jump shot from 20 ft,,75,63
248,3,3:00.0,,Defensive rebound by J. Winslow,75,63
249,3,2:48.0,,L. Deng makes 2-pt layup from 2 ft (assist by G. Dragić),75,65
250,3,2:28.0,,Offensive charge foul by M. Chalmers (drawn by L. Deng),75,65
251,3,2:28.0,Turnover by M. Chalmers (offensive foul),,75,65
252,3,2:15.0,,G. Dragić makes 2-pt layup from 1 ft,75,67
253,3,1:55.0,Z. Randolph misses 2-pt jump shot from 19 ft,,75,67
254,3,1:54.0,,Defensive rebound by L. Deng,75,67
255,3,1:35.0,,J. Winslow misses 2-pt jump shot from 19 ft,75,67
256,3,1:34.0,Defensive rebound by Z. Randolph,,75,67
257,3,1:29.0,Personal block foul by L. Deng (drawn by M. Chalmers),,75,67
258,3,1:27.0,Turnover by J. Green (bad pass; steal by J. Winslow),,75,67
259,3,1:21.0,,C. Bosh makes 2-pt layup from 2 ft (assist by J. Winslow),75,69
260,3,1:00.0,J. Green makes 3-pt jump shot from 23 ft (assist by M. Chalmers),,78,69
261,3,0:41.0,,J. Winslow misses 3-pt jump shot from 24 ft,78,69
262,3,0:40.0,,Offensive rebound by Team,78,69
263,3,0:40.0,Loose ball foul by M. Chalmers (drawn by C. Bosh),,78,69
264,3,0:40.0,,C. Bosh makes free throw 1 of 2,78,70
265,3,0:40.0,,C. Bosh makes free throw 2 of 2,78,71
266,3,0:24.0,Turnover by M. Barnes (bad pass; steal by L. Deng),,78,71
267,3,0:01.0,,C. Bosh misses 2-pt jump shot from 17 ft,78,71
268,3,0:00.0,,Offensive rebound by Team,78,71
269,4,11:43.0,Z. Randolph misses 2-pt hook shot from 4 ft,,78,71
270,4,11:42.0,Offensive rebound by J. Green,,78,71
271,4,11:42.0,J. Green makes 2-pt layup from 1 ft,,80,71
272,4,11:21.0,,H. Whiteside misses 2-pt layup from 1 ft (block by J. Green),80,71
273,4,11:20.0,Defensive rebound by M. Barnes,,80,71
274,4,11:14.0,M. Chalmers misses 3-pt jump shot from 23 ft,,80,71
275,4,11:13.0,,Defensive rebound by D. Wade,80,71
276,4,10:48.0,,J. Winslow makes 3-pt jump shot from 24 ft (assist by D. Wade),80,74
277,4,10:30.0,J. Green misses 2-pt layup from 1 ft,,80,74
278,4,10:29.0,,Defensive rebound by H. Whiteside,80,74
279,4,10:15.0,,D. Wade misses 2-pt jump shot from 9 ft,80,74
280,4,10:14.0,Defensive rebound by Z. Randolph,,80,74
281,4,9:56.0,M. Barnes makes 2-pt layup at rim (assist by Z. Randolph),,82,74
282,4,9:46.0,,Personal foul by M. Barnes (drawn by J. Winslow),82,74
283,4,9:46.0,M. Gasol enters the game for J. Green,,82,74
284,4,9:46.0,C. Lee enters the game for J. Green,,82,74
285,4,9:46.0,,B. Udrih enters the game for L. Deng,82,74
286,4,9:37.0,,D. Wade makes 2-pt layup from 2 ft,82,76
287,4,9:19.0,Turnover by M. Barnes (bad pass; steal by G. Green),,82,76
288,4,9:13.0,,B. Udrih misses 2-pt jump shot from 3 ft,82,76
289,4,9:13.0,,Offensive rebound by D. Wade,82,76
290,4,9:13.0,,D. Wade makes 2-pt layup from 1 ft,82,78
291,4,9:13.0,Memphis full timeout,,82,78
292,4,9:13.0,J. Green enters the game for M. Barnes,,82,78
293,4,8:59.0,C. Lee misses 3-pt jump shot from 22 ft,,82,78
294,4,8:58.0,,Defensive rebound by H. Whiteside,82,78
295,4,8:47.0,,D. Wade misses 2-pt jump shot from 11 ft,82,78
296,4,8:46.0,,Offensive rebound by H. Whiteside,82,78
297,4,8:46.0,,Shooting foul by C. Lee (drawn by H. Whiteside),82,78
298,4,8:46.0,,H. Whiteside makes free throw 1 of 2,82,79
299,4,8:46.0,,H. Whiteside misses free throw 2 of 2,82,79
300,4,8:45.0,Defensive rebound by Z. Randolph,,82,79
301,4,8:32.0,M. Chalmers makes 2-pt layup from 2 ft,,84,79
302,4,8:12.0,,J. Winslow misses 3-pt jump shot from 23 ft,84,79
303,4,8:11.0,Defensive rebound by M. Gasol,,84,79
304,4,7:56.0,Z. Randolph makes 2-pt jump shot from 4 ft (assist by M. Gasol),,86,79
305,4,7:56.0,Shooting foul by D. Wade (drawn by Z. Randolph),,86,79
306,4,7:56.0,Z. Randolph misses free throw 1 of 1,,86,79
307,4,7:55.0,,Defensive rebound by B. Udrih,86,79
308,4,7:32.0,,B. Udrih misses 2-pt jump shot from 12 ft,86,79
309,4,7:32.0,Defensive rebound by Team,,86,79
310,4,7:14.0,J. Green misses 3-pt jump shot from 24 ft,,86,79
311,4,7:13.0,,Defensive rebound by B. Udrih,86,79
312,4,6:59.0,,B. Udrih misses 3-pt jump shot from 23 ft,86,79
313,4,6:58.0,,Offensive rebound by H. Whiteside,86,79
314,4,6:57.0,,Turnover by H. Whiteside (lost ball; steal by C. Lee),86,79
315,4,6:56.0,Personal foul by H. Whiteside (drawn by J. Green),,86,79
316,4,6:47.0,Personal foul by B. Udrih (drawn by M. Chalmers),,86,79
317,4,6:39.0,M. Chalmers makes 2-pt layup from 2 ft,,88,79
318,4,6:39.0,Shooting foul by H. Whiteside (drawn by M. Chalmers),,88,79
319,4,6:39.0,M. Chalmers makes free throw 1 of 1,,89,79
320,4,6:35.0,,Miami full timeout,89,79
321,4,6:35.0,,C. Bosh enters the game for H. Whiteside,89,79
322,4,6:35.0,,G. Dragić enters the game for D. Wade,89,79
323,4,6:35.0,,L. Deng enters the game for B. Udrih,89,79
324,4,6:25.0,,Turnover by G. Dragić (lost ball; steal by C. Lee),89,79
325,4,6:21.0,J. Green misses 2-pt jump shot from 6 ft,,89,79
326,4,6:17.0,,Defensive rebound by C. Bosh,89,79
327,4,6:16.0,,Personal foul by M. Chalmers (drawn by C. Bosh),89,79
328,4,6:03.0,,G. Dragić misses 2-pt jump shot from 5 ft,89,79
329,4,6:01.0,,Offensive rebound by G. Dragić,89,79
330,4,5:53.0,,C. Bosh makes 3-pt jump shot from 24 ft (assist by G. Dragić),89,82
331,4,5:24.0,M. Gasol misses 2-pt jump shot from 21 ft,,89,82
332,4,5:23.0,Offensive rebound by Team,,89,82
333,4,5:22.0,Turnover by Team (shot clock),,89,82
334,4,5:22.0,M. Conley enters the game for M. Chalmers,,89,82
335,4,5:12.0,,C. Bosh makes 2-pt layup at rim (assist by G. Dragić),89,84
336,4,5:12.0,Memphis full timeout,,89,84
337,4,4:49.0,J. Green makes 3-pt jump shot from 24 ft,,92,84
338,4,4:21.0,,J. Winslow makes 3-pt jump shot from 22 ft (assist by G. Dragić),92,87
339,4,3:51.0,J. Green misses 3-pt jump shot from 23 ft,,92,87
340,4,3:50.0,Offensive rebound by M. Gasol,,92,87
341,4,3:47.0,Z. Randolph makes 2-pt jump shot from 4 ft (assist by M. Conley),,94,87
342,4,3:24.0,,G. Dragić misses 2-pt jump shot from 4 ft,94,87
343,4,3:22.0,Defensive rebound by M. Gasol,,94,87
344,4,3:22.0,Personal foul by G. Dragić (drawn by M. Gasol),,94,87
345,4,3:22.0,M. Gasol misses free throw 1 of 2,,94,87
346,4,3:22.0,Offensive rebound by Team,,94,87
347,4,3:22.0,,D. Wade enters the game for J. Winslow,94,87
348,4,3:22.0,M. Gasol makes free throw 2 of 2,,95,87
349,4,3:12.0,,Shooting foul by J. Green (drawn by L. Deng),95,87
350,4,3:12.0,,L. Deng makes free throw 1 of 2,95,88
351,4,3:12.0,M. Barnes enters the game for Z. Randolph,,95,88
352,4,3:12.0,,L. Deng makes free throw 2 of 2,95,89
353,4,2:53.0,M. Conley makes 2-pt jump shot from 6 ft,,97,89
354,4,2:34.0,,G. Green makes 2-pt layup from 1 ft,97,91
355,4,2:20.0,M. Barnes misses 3-pt jump shot from 23 ft,,97,91
356,4,2:17.0,,Defensive rebound by C. Bosh,97,91
357,4,2:08.0,,D. Wade misses 2-pt jump shot from 9 ft,97,91
358,4,2:05.0,Defensive rebound by M. Gasol,,97,91
359,4,2:01.0,M. Conley misses 2-pt jump shot from 18 ft,,97,91
360,4,1:58.0,,Defensive rebound by G. Green,97,91
361,4,1:55.0,,Turnover by D. Wade (bad pass; steal by C. Lee),97,91
362,4,1:55.0,Memphis full timeout,,97,91
363,4,1:41.0,C. Lee misses 2-pt jump shot from 16 ft,,97,91
364,4,1:40.0,,Defensive rebound by D. Wade,97,91
365,4,1:31.0,,Shooting foul by M. Barnes (drawn by G. Green),97,91
366,4,1:31.0,,G. Green makes free throw 1 of 3,97,92
367,4,1:31.0,,G. Green makes free throw 2 of 3,97,93
368,4,1:31.0,,G. Green makes free throw 3 of 3,97,94
369,4,1:12.0,M. Conley misses 2-pt jump shot from 9 ft,,97,94
370,4,1:11.0,,Defensive rebound by L. Deng,97,94
371,4,1:00.0,,D. Wade makes 2-pt layup from 1 ft,97,96
372,4,0:37.0,J. Green misses 3-pt jump shot from 22 ft,,97,96
373,4,0:36.0,,Defensive rebound by D. Wade,97,96
374,4,0:22.0,,D. Wade makes 2-pt jump shot from 18 ft,97,98
375,4,0:22.0,Memphis full timeout,,97,98
376,4,0:22.0,,J. Winslow enters the game for G. Dragić,97,98
377,4,0:22.0,Z. Randolph enters the game for M. Barnes,,97,98
378,4,0:01.0,Turnover by M. Conley (bad pass; steal by J. Winslow),,97,98
379,4,0:01.0,,Personal foul by C. Lee (drawn by J. Winslow),97,98
380,4,0:01.0,,J. Winslow makes free throw 1 of 2,97,99
381,4,0:01.0,,J. Winslow makes free throw 2 of 2,97,100
382,4,0:00.0,M. Conley misses 3-pt jump shot from 64 ft,,97,100
383,4,0:00.0,Offensive rebound by Team,,97,100
