,QUARTER,TIME_REMAINING,DENVER_ACTION,NEW ORLEANS_ACTION,DENVER_SCORE,NEW ORLEANS_SCORE
147,2,5:04.0,,Offensive foul by A. Ajinça (drawn by D. Augustin),50,44
148,2,5:04.0,,Turnover by A. Ajinça (offensive foul),50,44
149,2,4:52.0,Turnover by W. Barton (bad pass; steal by A. Ajinça),,50,44
150,2,4:48.0,,Turnover by J. Ennis (lost ball; steal by A. Toupane),50,44
151,2,4:40.0,Turnover by J. Lauvergne (3 sec),,50,44
152,2,4:27.0,,A. Ajinça makes 2-pt dunk at rim (assist by T. Frazier),50,46
153,2,4:09.0,Turnover by D. Augustin (bad pass; steal by A. Ajinça),,50,46
154,2,3:59.0,,D. Cunningham misses 3-pt jump shot from 24 ft,50,46
155,2,3:58.0,Defensive rebound by Team,,50,46
156,2,3:57.0,N. Jokić enters the game for J. Lauvergne,,50,46
157,2,3:57.0,G. Harris enters the game for A. Toupane,,50,46
158,2,3:44.0,Personal foul by A. Ajinça,,50,46
159,2,3:44.0,,K. Perkins enters the game for A. Ajinça,50,46
160,2,3:38.0,Turnover by D. Augustin (bad pass; steal by D. Cunningham),,50,46
161,2,3:33.0,,T. Douglas makes 2-pt layup at rim,50,48
162,2,3:14.0,D. Augustin makes 2-pt layup from 1 ft,,52,48
163,2,2:52.0,Denver full timeout,,52,48
164,2,2:52.0,,L. Babbitt enters the game for J. Ennis,52,48
165,2,2:52.0,K. Faried enters the game for D. Arthur,,52,48
166,2,2:50.0,,T. Douglas makes 3-pt jump shot from 23 ft (assist by T. Frazier),52,51
167,2,2:27.0,N. Jokić misses 2-pt jump shot from 3 ft,,52,51
168,2,2:26.0,Offensive rebound by K. Faried,,52,51
169,2,2:26.0,K. Faried misses 2-pt layup at rim,,52,51
170,2,2:26.0,,Defensive rebound by Team,52,51
171,2,2:13.0,,K. Perkins makes 2-pt jump shot from 6 ft (assist by T. Frazier),52,53
172,2,1:58.0,Turnover by W. Barton (traveling),,52,53
173,2,1:53.0,,T. Frazier makes 3-pt jump shot from 25 ft (assist by T. Douglas),52,56
174,2,1:40.0,Personal foul by K. Perkins,,52,56
175,2,1:30.0,W. Barton misses 2-pt jump shot from 10 ft,,52,56
176,2,1:29.0,,Defensive rebound by D. Cunningham,52,56
177,2,1:06.0,,T. Frazier misses 2-pt jump shot from 8 ft,52,56
178,2,1:05.0,Defensive rebound by N. Jokić,,52,56
179,2,0:49.0,K. Faried misses 2-pt jump shot from 8 ft,,52,56
180,2,0:49.0,Offensive rebound by N. Jokić,,52,56
181,2,0:49.0,N. Jokić makes 2-pt layup at rim,,54,56
182,2,0:33.0,,L. Babbitt misses 2-pt jump shot from 7 ft,54,56
183,2,0:32.0,Defensive rebound by K. Faried,,54,56
184,2,0:09.0,K. Faried misses 2-pt hook shot from 7 ft,,54,56
185,2,0:08.0,Offensive rebound by K. Faried,,54,56
186,2,0:02.0,,Offensive charge foul by G. Harris (drawn by T. Frazier),54,56
187,2,0:02.0,Turnover by G. Harris (offensive foul),,54,56
188,2,0:00.0,,T. Frazier misses 3-pt jump shot from 35 ft,54,56
189,2,0:00.0,,Offensive rebound by Team,54,56
190,3,11:41.0,,L. Babbitt misses 3-pt jump shot from 26 ft,54,56
191,3,11:40.0,,Offensive rebound by D. Cunningham,54,56
192,3,11:38.0,,Turnover by D. Cunningham (back court),54,56
193,3,11:22.0,K. Faried makes 2-pt layup from 1 ft (assist by N. Jokić),,56,56
194,3,10:59.0,,L. Babbitt misses 2-pt jump shot from 9 ft (block by N. Jokić),56,56
195,3,10:57.0,Defensive rebound by N. Jokić,,56,56
196,3,10:51.0,E. Mudiay misses 2-pt jump shot from 16 ft,,56,56
197,3,10:50.0,,Defensive rebound by J. Hamilton,56,56
198,3,10:39.0,,Turnover by J. Hamilton (lost ball; steal by G. Harris),56,56
199,3,10:35.0,G. Harris makes 2-pt dunk at rim,,58,56
200,3,10:07.0,,L. Babbitt makes 2-pt hook shot from 6 ft (assist by T. Douglas),58,58
201,3,9:45.0,E. Mudiay makes 3-pt jump shot from 25 ft (assist by J. Sampson),,61,58
202,3,9:31.0,,T. Douglas makes 2-pt jump shot from 20 ft (assist by Ö. Aşık),61,60
203,3,9:19.0,K. Faried misses 2-pt jump shot from 6 ft,,61,60
204,3,9:18.0,,Defensive rebound by Ö. Aşık,61,60
205,3,9:11.0,,D. Cunningham misses 2-pt layup from 2 ft,61,60
206,3,9:11.0,Defensive rebound by N. Jokić,,61,60
207,3,8:58.0,J. Sampson misses 2-pt jump shot from 7 ft,,61,60
208,3,8:56.0,Offensive rebound by K. Faried,,61,60
209,3,8:56.0,K. Faried misses 2-pt layup at rim,,61,60
210,3,8:55.0,,Defensive rebound by Ö. Aşık,61,60
211,3,8:49.0,,J. Hamilton makes 3-pt jump shot from 24 ft (assist by T. Douglas),61,63
212,3,8:28.0,N. Jokić misses 3-pt jump shot from 24 ft,,61,63
213,3,8:27.0,,Defensive rebound by J. Hamilton,61,63
214,3,8:19.0,,T. Douglas misses 3-pt jump shot from 25 ft,61,63
215,3,8:18.0,Defensive rebound by N. Jokić,,61,63
216,3,8:01.0,Turnover by J. Sampson (lost ball; steal by J. Hamilton),,61,63
217,3,7:55.0,,J. Hamilton misses 3-pt jump shot from 22 ft,61,63
218,3,7:54.0,Defensive rebound by K. Faried,,61,63
219,3,7:41.0,Denver full timeout,,61,63
220,3,7:30.0,E. Mudiay makes 3-pt jump shot from 25 ft,,64,63
221,3,7:13.0,,L. Babbitt misses 2-pt jump shot from 4 ft (block by J. Sampson),64,63
222,3,7:12.0,,Offensive rebound by Team,64,63
223,3,7:04.0,,J. Hamilton misses 2-pt jump shot from 9 ft,64,63
224,3,7:03.0,Defensive rebound by N. Jokić,,64,63
225,3,6:53.0,G. Harris misses 3-pt jump shot from 24 ft,,64,63
226,3,6:52.0,,Defensive rebound by J. Hamilton,64,63
227,3,6:40.0,,L. Babbitt makes 2-pt jump shot from 15 ft (assist by D. Cunningham),64,65
228,3,6:26.0,G. Harris misses 2-pt jump shot from 19 ft,,64,65
229,3,6:25.0,,Defensive rebound by L. Babbitt,64,65
230,3,6:16.0,,T. Douglas makes 2-pt layup from 1 ft (assist by L. Babbitt),64,67
231,3,6:15.0,Denver full timeout,,64,67
232,3,6:15.0,,J. Ennis enters the game for D. Cunningham,64,67
233,3,5:56.0,N. Jokić makes 2-pt jump shot from 11 ft (assist by G. Harris),,66,67
234,3,5:37.0,,Ö. Aşık misses 2-pt layup at rim,66,67
235,3,5:36.0,Defensive rebound by K. Faried,,66,67
236,3,5:27.0,N. Jokić makes 3-pt jump shot from 25 ft (assist by K. Faried),,69,67
237,3,5:04.0,,Turnover by T. Douglas (bad pass; steal by K. Faried),69,67
238,3,4:59.0,Shooting foul by T. Douglas (drawn by K. Faried),,69,67
239,3,4:59.0,K. Faried makes free throw 1 of 2,,70,67
240,3,4:59.0,,A. Ajinça enters the game for Ö. Aşık,70,67
241,3,4:59.0,K. Faried misses free throw 2 of 2,,70,67
242,3,4:59.0,,Defensive rebound by A. Ajinça,70,67
243,3,4:38.0,,L. Babbitt misses 2-pt jump shot from 4 ft,70,67
244,3,4:37.0,Defensive rebound by J. Sampson,,70,67
245,3,4:32.0,,Offensive charge foul by N. Jokić (drawn by J. Ennis),70,67
246,3,4:32.0,Turnover by N. Jokić (offensive foul),,70,67
247,3,4:32.0,,T. Frazier enters the game for T. Douglas,70,67
248,3,4:20.0,,J. Ennis makes 3-pt jump shot from 25 ft (assist by L. Babbitt),70,70
249,3,3:56.0,E. Mudiay misses 2-pt jump shot from 10 ft,,70,70
