,QUARTER,TIME_REMAINING,ATLANTA_ACTION,HOUSTON_ACTION,ATLANTA_SCORE,HOUSTON_SCORE
316,3,1:28.0,Turnover by K. Bazemore (step out of bounds),,82,89
317,3,1:17.0,,J. Harden makes 3-pt jump shot from 24 ft,82,92
318,3,0:58.0,K. Bazemore misses 3-pt jump shot from 24 ft,,82,92
319,3,0:57.0,,Defensive rebound by D. Motiejūnas,82,92
320,3,0:43.0,,C. Brewer misses 3-pt jump shot from 24 ft,82,92
321,3,0:42.0,Defensive rebound by Team,,82,92
322,3,0:42.0,K. Korver enters the game for K. Bazemore,,82,92
323,3,0:42.0,,T. Ariza enters the game for T. Lawson,82,92
324,3,0:31.0,S. Mack misses 2-pt jump shot from 16 ft,,82,92
325,3,0:30.0,,Defensive rebound by D. Motiejūnas,82,92
326,3,0:06.0,,J. Harden misses 3-pt jump shot from 23 ft,82,92
327,3,0:05.0,Defensive rebound by A. Horford,,82,92
328,3,0:00.0,S. Mack makes 2-pt layup from 1 ft (assist by A. Horford),,84,92
329,3,0:00.0,Shooting foul by J. Harden (drawn by S. Mack),,84,92
330,3,0:00.0,E. Tavares enters the game for M. Scott,,84,92
331,3,0:00.0,S. Mack makes free throw 1 of 1,,85,92
332,4,11:36.0,,T. Lawson makes 2-pt jump shot from 18 ft (assist by D. Howard),85,94
333,4,11:27.0,A. Horford misses 2-pt jump shot from 9 ft,,85,94
334,4,11:26.0,,Defensive rebound by D. Howard,85,94
335,4,11:15.0,,D. Howard makes 2-pt dunk at rim (assist by C. Brewer),85,96
336,4,11:15.0,,Shooting foul by L. Patterson (drawn by D. Howard),85,96
337,4,11:15.0,,D. Howard misses free throw 1 of 1,85,96
338,4,11:15.0,Defensive rebound by A. Horford,,85,96
339,4,10:56.0,Def 3 sec tech foul by D. Motiejūnas,,85,96
340,4,10:56.0,K. Korver makes technical free throw,,86,96
341,4,10:46.0,M. Scott makes 2-pt layup from 1 ft (assist by S. Mack),,88,96
342,4,10:32.0,,T. Lawson makes 2-pt jump shot from 16 ft,88,98
343,4,10:11.0,S. Mack misses 2-pt layup from 1 ft,,88,98
344,4,10:10.0,,Defensive rebound by D. Howard,88,98
345,4,9:51.0,,Turnover by T. Ariza (lost ball; steal by M. Scott),88,98
346,4,9:45.0,L. Patterson makes 2-pt layup at rim (assist by K. Korver),,90,98
347,4,9:45.0,Shooting foul by C. Brewer (drawn by L. Patterson),,90,98
348,4,9:45.0,,C. Capela enters the game for D. Motiejūnas,90,98
349,4,9:45.0,L. Patterson makes free throw 1 of 1,,91,98
350,4,9:30.0,,T. Ariza misses 3-pt jump shot from 24 ft,91,98
351,4,9:29.0,Defensive rebound by L. Patterson,,91,98
352,4,9:21.0,K. Korver misses 3-pt jump shot from 24 ft,,91,98
353,4,9:20.0,,Defensive rebound by C. Capela,91,98
354,4,9:09.0,,Turnover by C. Brewer (bad pass),91,98
355,4,9:01.0,A. Horford makes 3-pt jump shot from 24 ft (assist by M. Scott),,94,98
356,4,8:54.0,,Houston full timeout,94,98
357,4,8:54.0,,P. Beverley enters the game for T. Lawson,94,98
358,4,8:54.0,,J. Harden enters the game for C. Brewer,94,98
359,4,8:40.0,,Shooting foul by L. Patterson (drawn by J. Harden),94,98
360,4,8:40.0,,J. Harden makes free throw 1 of 3,94,99
361,4,8:40.0,,J. Harden makes free throw 2 of 3,94,100
362,4,8:40.0,K. Bazemore enters the game for L. Patterson,,94,100
363,4,8:40.0,,J. Harden makes free throw 3 of 3,94,101
364,4,8:21.0,S. Mack misses 3-pt jump shot from 24 ft,,94,101
365,4,8:20.0,,Defensive rebound by J. Harden,94,101
366,4,8:12.0,,Shooting foul by M. Scott (drawn by D. Howard),94,101
367,4,8:12.0,,D. Howard makes 2-pt dunk at rim (assist by P. Beverley),94,103
368,4,8:12.0,J. Teague enters the game for S. Mack,,94,103
369,4,8:12.0,,D. Howard misses free throw 1 of 1,94,103
370,4,8:12.0,Defensive rebound by K. Bazemore,,94,103
371,4,7:57.0,A. Horford misses 2-pt layup at rim,,94,103
372,4,7:56.0,Offensive rebound by Team,,94,103
373,4,7:56.0,P. Millsap enters the game for M. Scott,,94,103
374,4,7:39.0,J. Teague misses 2-pt layup at rim,,94,103
375,4,7:38.0,Offensive rebound by P. Millsap,,94,103
376,4,7:36.0,P. Millsap misses 2-pt layup from 1 ft,,94,103
377,4,7:35.0,Offensive rebound by P. Millsap,,94,103
378,4,7:33.0,Turnover by P. Millsap (lost ball; steal by C. Capela),,94,103
379,4,7:28.0,,J. Harden misses 2-pt layup at rim,94,103
380,4,7:27.0,Defensive rebound by A. Horford,,94,103
381,4,7:20.0,J. Teague makes 3-pt jump shot from 23 ft (assist by A. Horford),,97,103
382,4,7:09.0,,T. Ariza misses 3-pt jump shot from 23 ft,97,103
383,4,7:07.0,Defensive rebound by P. Millsap,,97,103
384,4,6:58.0,K. Bazemore makes 2-pt jump shot from 3 ft (assist by P. Millsap),,99,103
385,4,6:34.0,,Offensive foul by D. Howard (drawn by P. Millsap),99,103
386,4,6:34.0,,Turnover by D. Howard (offensive foul),99,103
387,4,6:34.0,T. Sefolosha enters the game for K. Korver,,99,103
388,4,6:34.0,,D. Motiejūnas enters the game for D. Howard,99,103
389,4,6:18.0,Shooting block foul by T. Ariza (drawn by K. Bazemore),,99,103
390,4,6:18.0,K. Bazemore makes free throw 1 of 2,,100,103
391,4,6:18.0,K. Bazemore misses free throw 2 of 2,,100,103
392,4,6:18.0,,Defensive rebound by C. Capela,100,103
393,4,5:55.0,,J. Harden misses 3-pt jump shot from 23 ft,100,103
394,4,5:54.0,Defensive rebound by J. Teague,,100,103
395,4,5:50.0,J. Teague makes 2-pt jump shot from 11 ft,,102,103
396,4,5:25.0,,T. Ariza misses 2-pt jump shot from 8 ft,102,103
397,4,5:24.0,Defensive rebound by A. Horford,,102,103
398,4,5:15.0,,Violation by C. Capela (kicked ball),102,103
399,4,5:15.0,Official timeout,,102,103
400,4,5:15.0,,D. Howard enters the game for C. Capela,102,103
401,4,5:15.0,,T. Lawson enters the game for P. Beverley,102,103
402,4,5:15.0,K. Korver enters the game for T. Sefolosha,,102,103
403,4,5:09.0,P. Millsap makes 2-pt layup from 2 ft,,104,103
404,4,4:55.0,,Shooting foul by K. Korver (drawn by D. Howard),104,103
405,4,4:55.0,,D. Howard misses free throw 1 of 2,104,103
406,4,4:55.0,,Offensive rebound by Team,104,103
407,4,4:55.0,,D. Howard makes free throw 2 of 2,104,104
408,4,4:43.0,J. Teague makes 2-pt layup at rim,,106,104
409,4,4:43.0,Shooting foul by J. Harden (drawn by J. Teague),,106,104
410,4,4:43.0,T. Sefolosha enters the game for K. Korver,,106,104
411,4,4:43.0,,C. Capela enters the game for D. Motiejūnas,106,104
412,4,4:43.0,J. Teague makes free throw 1 of 1,,107,104
413,4,4:36.0,,Personal foul by K. Bazemore (drawn by J. Harden),107,104
414,4,4:36.0,,J. Harden makes free throw 1 of 2,107,105
415,4,4:36.0,K. Korver enters the game for T. Sefolosha,,107,105
416,4,4:36.0,,J. Harden makes free throw 2 of 2,107,106
417,4,4:17.0,J. Teague misses 2-pt jump shot from 7 ft,,107,106
418,4,4:16.0,,Defensive rebound by D. Howard,107,106
419,4,4:08.0,,T. Lawson misses 2-pt jump shot from 18 ft,107,106
420,4,4:07.0,,Offensive rebound by Team,107,106
421,4,3:57.0,,Def 3 sec tech foul by A. Horford,107,106
422,4,3:57.0,,J. Harden makes technical free throw,107,107
423,4,3:57.0,,Personal take foul by A. Horford,107,107
424,4,3:57.0,,C. Capela misses free throw 1 of 2,107,107
425,4,3:57.0,,Offensive rebound by Team,107,107
426,4,3:57.0,,C. Capela makes free throw 2 of 2,107,108
427,4,3:34.0,K. Korver misses 2-pt jump shot from 13 ft,,107,108
428,4,3:32.0,Offensive rebound by P. Millsap,,107,108
429,4,3:31.0,Atlanta full timeout,,107,108
430,4,3:21.0,J. Teague misses 2-pt layup from 1 ft,,107,108
431,4,3:20.0,Offensive rebound by A. Horford,,107,108
432,4,3:20.0,A. Horford makes 2-pt layup at rim,,109,108
433,4,3:17.0,,Personal take foul by A. Horford (drawn by D. Howard),109,108
434,4,3:17.0,,D. Howard misses free throw 1 of 2,109,108
435,4,3:17.0,,Offensive rebound by Team,109,108
436,4,3:17.0,,D. Howard makes free throw 2 of 2,109,109
437,4,3:01.0,Shooting foul by C. Capela (drawn by K. Bazemore),,109,109
438,4,3:01.0,K. Bazemore makes free throw 1 of 2,,110,109
439,4,3:01.0,K. Bazemore makes free throw 2 of 2,,111,109
440,4,3:00.0,,Personal take foul by A. Horford (drawn by C. Capela),111,109
441,4,3:00.0,,C. Capela misses free throw 1 of 2,111,109
442,4,3:00.0,,Offensive rebound by Team,111,109
443,4,3:00.0,,C. Capela makes free throw 2 of 2,111,110
444,4,2:36.0,J. Teague misses 2-pt jump shot from 4 ft,,111,110
445,4,2:34.0,Offensive rebound by K. Korver,,111,110
446,4,2:24.0,K. Korver misses 3-pt jump shot from 24 ft,,111,110
447,4,2:22.0,Offensive rebound by A. Horford,,111,110
448,4,2:21.0,Personal foul by J. Harden (drawn by A. Horford),,111,110
449,4,2:21.0,A. Horford misses free throw 1 of 2,,111,110
450,4,2:21.0,Offensive rebound by Team,,111,110
451,4,2:21.0,,D. Motiejūnas enters the game for C. Capela,111,110
452,4,2:21.0,T. Sefolosha enters the game for P. Millsap,,111,110
453,4,2:21.0,A. Horford makes free throw 2 of 2,,112,110
454,4,2:19.0,,Personal take foul by T. Sefolosha (drawn by D. Howard),112,110
455,4,2:19.0,,D. Howard misses free throw 1 of 2,112,110
456,4,2:19.0,,Offensive rebound by Team,112,110
457,4,2:19.0,P. Millsap enters the game for T. Sefolosha,,112,110
458,4,2:19.0,,D. Howard makes free throw 2 of 2,112,111
459,4,2:09.0,K. Korver misses 3-pt jump shot from 25 ft,,112,111
460,4,2:08.0,,Defensive rebound by D. Motiejūnas,112,111
461,4,2:04.0,,Personal take foul by J. Teague (drawn by D. Howard),112,111
462,4,2:04.0,,D. Howard makes free throw 1 of 2,112,112
463,4,2:04.0,,C. Capela enters the game for D. Motiejūnas,112,112
464,4,2:04.0,,D. Howard makes free throw 2 of 2,112,113
465,4,1:51.0,J. Teague misses 2-pt layup from 1 ft,,112,113
466,4,1:50.0,,Defensive rebound by D. Howard,112,113
467,4,1:44.0,,J. Harden misses 2-pt layup from 2 ft,112,113
468,4,1:43.0,Defensive rebound by A. Horford,,112,113
469,4,1:38.0,K. Korver misses 3-pt jump shot from 24 ft,,112,113
470,4,1:37.0,,Defensive rebound by C. Capela,112,113
471,4,1:32.0,,D. Howard makes 2-pt dunk at rim (assist by J. Harden),112,115
472,4,1:13.0,K. Bazemore makes 3-pt jump shot from 24 ft (assist by K. Korver),,115,115
473,4,0:49.0,,Turnover by Team (shot clock),115,115
474,4,0:49.0,Atlanta full timeout,,115,115
475,4,0:49.0,,C. Brewer enters the game for T. Lawson,115,115
476,4,0:33.0,A. Horford makes 2-pt jump shot from 4 ft (assist by K. Bazemore),,117,115
477,4,0:14.0,,T. Ariza misses 2-pt layup from 1 ft (block by P. Millsap),117,115
478,4,0:13.0,,Offensive rebound by D. Howard,117,115
479,4,0:12.0,,D. Howard misses 2-pt layup at rim (block by P. Millsap),117,115
480,4,0:12.0,Defensive rebound by J. Teague,,117,115
481,4,0:12.0,Personal foul by C. Brewer (drawn by J. Teague),,117,115
482,4,0:12.0,J. Teague makes free throw 1 of 2,,118,115
483,4,0:12.0,T. Sefolosha enters the game for K. Korver,,118,115
484,4,0:12.0,J. Teague makes free throw 2 of 2,,119,115
485,4,0:12.0,,Houston full timeout,119,115
486,4,0:12.0,,J. Terry enters the game for C. Capela,119,115
487,4,0:06.0,,J. Harden misses 2-pt layup from 1 ft,119,115
488,4,0:05.0,Defensive rebound by A. Horford,,119,115
489,4,0:05.0,Personal take foul by D. Howard (drawn by A. Horford),,119,115
490,4,0:05.0,A. Horford makes free throw 1 of 2,,120,115
491,4,0:05.0,A. Horford makes free throw 2 of 2,,121,115
492,4,0:05.0,,Houston full timeout,121,115
493,4,0:01.0,,J. Harden misses 2-pt jump shot from 16 ft,121,115
494,4,0:00.0,,Offensive rebound by Team,121,115
