,QUARTER,TIME_REMAINING,PORTLAND_ACTION,INDIANA_ACTION,PORTLAND_SCORE,INDIANA_SCORE
209,2,0:34.0,A. Aminu makes free throw 2 of 3,,64,52
210,2,0:34.0,N. Vonleh enters the game for M. Leonard,,64,52
211,2,0:34.0,,Indiana full timeout,64,52
212,2,0:34.0,,M. Ellis enters the game for S. Hill,64,52
213,2,0:34.0,A. Aminu misses free throw 3 of 3,,64,52
214,2,0:34.0,,Defensive rebound by G. Hill,64,52
215,2,0:21.0,,M. Ellis misses 2-pt layup at rim (block by C. McCollum),64,52
216,2,0:20.0,,Offensive rebound by M. Turner,64,52
217,2,0:17.0,,M. Turner misses 2-pt layup at rim,64,52
218,2,0:17.0,,Offensive rebound by M. Ellis,64,52
219,2,0:17.0,,Technical foul by Team,64,52
220,2,0:17.0,D. Lillard makes technical free throw,,65,52
221,2,0:04.0,,M. Turner makes 2-pt jump shot from 18 ft (assist by G. Hill),65,54
222,2,0:00.0,M. Plumlee misses 3-pt jump shot from 27 ft,,65,54
223,2,0:00.0,Offensive rebound by Team,,65,54
224,3,11:49.0,,P. George misses 3-pt jump shot from 24 ft,65,54
225,3,11:48.0,Defensive rebound by D. Lillard,,65,54
226,3,11:31.0,Turnover by A. Aminu (bad pass; steal by I. Mahinmi),,65,54
227,3,11:20.0,,G. Hill makes 2-pt jump shot from 17 ft,65,56
228,3,11:02.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by A. Aminu),,68,56
229,3,10:51.0,,P. George makes 2-pt jump shot from 11 ft,68,58
230,3,10:38.0,C. McCollum makes 2-pt layup from 1 ft,,70,58
231,3,10:25.0,,Personal foul by N. Vonleh (drawn by M. Turner),70,58
232,3,10:18.0,,Shooting foul by D. Lillard (drawn by G. Hill),70,58
233,3,10:18.0,,G. Hill makes free throw 1 of 2,70,59
234,3,10:18.0,,G. Hill makes free throw 2 of 2,70,60
235,3,10:05.0,D. Lillard misses 3-pt jump shot from 30 ft,,70,60
236,3,10:05.0,,Defensive rebound by M. Turner,70,60
237,3,9:53.0,,M. Turner misses 2-pt jump shot from 19 ft,70,60
238,3,9:52.0,Defensive rebound by D. Lillard,,70,60
239,3,9:35.0,Personal block foul by I. Mahinmi (drawn by C. McCollum),,70,60
240,3,9:31.0,A. Aminu makes 2-pt layup at rim (assist by M. Plumlee),,72,60
241,3,9:11.0,,M. Ellis misses 2-pt jump shot from 20 ft,72,60
242,3,9:11.0,Defensive rebound by A. Aminu,,72,60
243,3,9:04.0,A. Aminu makes 2-pt layup from 2 ft,,74,60
244,3,9:04.0,Shooting foul by P. George (drawn by A. Aminu),,74,60
245,3,9:04.0,A. Aminu misses free throw 1 of 1,,74,60
246,3,9:04.0,,Defensive rebound by P. George,74,60
247,3,8:56.0,,Turnover by P. George (lost ball),74,60
248,3,8:37.0,Turnover by C. McCollum (bad pass),,74,60
249,3,8:21.0,,G. Hill makes 3-pt jump shot from 27 ft (assist by P. George),74,63
250,3,8:00.0,Turnover by C. McCollum (bad pass; steal by M. Turner),,74,63
251,3,7:47.0,,M. Ellis misses 3-pt jump shot from 26 ft,74,63
252,3,7:46.0,Defensive rebound by M. Plumlee,,74,63
253,3,7:37.0,C. McCollum misses 2-pt jump shot from 17 ft,,74,63
254,3,7:37.0,,Defensive rebound by M. Ellis,74,63
255,3,7:34.0,,Turnover by M. Ellis (bad pass),74,63
256,3,7:12.0,N. Vonleh makes 3-pt jump shot from 28 ft (assist by A. Aminu),,77,63
257,3,6:57.0,,P. George misses 2-pt jump shot from 19 ft,77,63
258,3,6:56.0,Defensive rebound by M. Plumlee,,77,63
259,3,6:41.0,D. Lillard misses 2-pt layup from 2 ft (block by M. Turner),,77,63
260,3,6:39.0,,Defensive rebound by I. Mahinmi,77,63
261,3,6:36.0,,Shooting foul by M. Plumlee (drawn by G. Hill),77,63
262,3,6:36.0,,G. Hill makes free throw 1 of 2,77,64
263,3,6:36.0,,G. Hill misses free throw 2 of 2,77,64
264,3,6:36.0,Defensive rebound by M. Plumlee,,77,64
265,3,6:19.0,D. Lillard misses 2-pt jump shot from 15 ft,,77,64
266,3,6:18.0,,Defensive rebound by M. Turner,77,64
267,3,6:14.0,,Shooting block foul by C. McCollum (drawn by M. Ellis),77,64
268,3,6:14.0,,M. Ellis makes free throw 1 of 2,77,65
269,3,6:14.0,,M. Ellis makes free throw 2 of 2,77,66
270,3,5:52.0,N. Vonleh misses 2-pt layup at rim,,77,66
271,3,5:51.0,,Defensive rebound by G. Hill,77,66
272,3,5:31.0,,Def 3 sec tech foul by N. Vonleh,77,66
273,3,5:31.0,,Indiana full timeout,77,66
274,3,5:31.0,M. Leonard enters the game for N. Vonleh,,77,66
275,3,5:31.0,A. Crabbe enters the game for C. McCollum,,77,66
276,3,5:31.0,,P. George makes technical free throw,77,67
277,3,5:18.0,,P. George misses 2-pt jump shot from 17 ft,77,67
278,3,5:17.0,Defensive rebound by D. Lillard,,77,67
279,3,5:17.0,,Loose ball foul by I. Mahinmi (drawn by D. Lillard),77,67
280,3,5:17.0,,J. Hill enters the game for I. Mahinmi,77,67
281,3,5:17.0,,Violation by Team (delay of game),77,67
282,3,5:00.0,Turnover by A. Crabbe (bad pass; steal by M. Ellis),,77,67
283,3,4:52.0,,P. George makes 2-pt jump shot from 16 ft,77,69
284,3,4:32.0,D. Lillard makes 2-pt jump shot from 6 ft,,79,69
285,3,4:17.0,,M. Ellis misses 2-pt jump shot from 14 ft,79,69
286,3,4:16.0,Defensive rebound by M. Plumlee,,79,69
287,3,4:06.0,A. Aminu makes 2-pt layup from 2 ft (assist by M. Plumlee),,81,69
288,3,3:53.0,,G. Hill misses 3-pt jump shot from 23 ft,81,69
289,3,3:52.0,,Offensive rebound by M. Turner,81,69
290,3,3:50.0,,M. Turner misses 2-pt layup from 2 ft,81,69
291,3,3:49.0,,Offensive rebound by J. Hill,81,69
292,3,3:47.0,,J. Hill makes 2-pt layup at rim,81,71
293,3,3:34.0,Personal foul by M. Turner (drawn by D. Lillard),,81,71
294,3,3:34.0,G. Henderson enters the game for A. Aminu,,81,71
295,3,3:34.0,E. Davis enters the game for M. Plumlee,,81,71
296,3,3:34.0,,R. Stuckey enters the game for G. Hill,81,71
297,3,3:26.0,D. Lillard misses 2-pt jump shot from 14 ft,,81,71
298,3,3:26.0,,Defensive rebound by J. Hill,81,71
299,3,3:14.0,,P. George misses 2-pt jump shot from 5 ft (block by D. Lillard),81,71
300,3,3:13.0,Defensive rebound by A. Crabbe,,81,71
301,3,2:59.0,D. Lillard misses 2-pt layup at rim,,81,71
302,3,2:58.0,,Defensive rebound by M. Turner,81,71
303,3,2:53.0,,Shooting foul by G. Henderson (drawn by M. Ellis),81,71
304,3,2:53.0,,M. Ellis makes 2-pt layup at rim,81,73
305,3,2:53.0,Portland full timeout,,81,73
306,3,2:53.0,C. McCollum enters the game for D. Lillard,,81,73
307,3,2:53.0,,M. Ellis makes free throw 1 of 1,81,74
308,3,2:44.0,Turnover by C. McCollum (bad pass; steal by M. Ellis),,81,74
309,3,2:35.0,,M. Turner misses 2-pt layup from 1 ft (block by E. Davis),81,74
310,3,2:33.0,,Offensive rebound by M. Turner,81,74
311,3,2:28.0,,M. Ellis makes 3-pt jump shot from 24 ft,81,77
312,3,2:15.0,Personal foul by M. Turner (drawn by M. Leonard),,81,77
313,3,2:15.0,M. Leonard makes free throw 1 of 2,,82,77
314,3,2:15.0,M. Leonard misses free throw 2 of 2,,82,77
315,3,2:15.0,,Defensive rebound by M. Ellis,82,77
316,3,2:00.0,,P. George misses 2-pt jump shot from 17 ft,82,77
317,3,1:58.0,Defensive rebound by M. Leonard,,82,77
318,3,1:45.0,M. Leonard misses 3-pt jump shot from 25 ft,,82,77
319,3,1:44.0,,Defensive rebound by M. Turner,82,77
320,3,1:29.0,,R. Stuckey misses 3-pt jump shot from 25 ft,82,77
321,3,1:29.0,Defensive rebound by Team,,82,77
322,3,1:29.0,,S. Hill enters the game for P. George,82,77
323,3,1:18.0,A. Crabbe misses 3-pt jump shot from 26 ft,,82,77
324,3,1:17.0,,Defensive rebound by S. Hill,82,77
325,3,1:05.0,,M. Ellis misses 3-pt jump shot from 24 ft,82,77
326,3,1:05.0,Defensive rebound by A. Crabbe,,82,77
327,3,0:59.0,Personal foul by M. Ellis (drawn by G. Henderson),,82,77
328,3,0:59.0,G. Henderson makes free throw 1 of 2,,83,77
329,3,0:59.0,G. Henderson makes free throw 2 of 2,,84,77
330,3,0:46.0,,Personal foul by A. Crabbe (drawn by R. Stuckey),84,77
331,3,0:46.0,,R. Stuckey misses free throw 1 of 2,84,77
332,3,0:46.0,,Offensive rebound by Team,84,77
333,3,0:46.0,,R. Stuckey misses free throw 2 of 2,84,77
334,3,0:46.0,Defensive rebound by G. Henderson,,84,77
335,3,0:32.0,C. McCollum misses 2-pt jump shot from 17 ft,,84,77
336,3,0:32.0,,Defensive rebound by R. Stuckey,84,77
337,3,0:25.0,,Turnover by R. Stuckey (bad pass; steal by G. Henderson),84,77
338,3,0:03.0,C. McCollum misses 2-pt jump shot from 17 ft,,84,77
339,3,0:03.0,Offensive rebound by E. Davis,,84,77
340,3,0:00.0,M. Leonard makes 3-pt jump shot from 26 ft (assist by E. Davis),,87,77
341,4,11:46.0,M. Leonard makes 3-pt jump shot from 26 ft (assist by G. Henderson),,90,77
342,4,11:20.0,,G. Hill makes 2-pt jump shot from 18 ft,90,79
343,4,11:01.0,M. Leonard makes 2-pt jump shot from 12 ft,,92,79
344,4,10:39.0,,G. Hill misses 2-pt jump shot from 16 ft,92,79
345,4,10:39.0,,Offensive rebound by J. Hill,92,79
346,4,10:36.0,,J. Hill misses 2-pt jump shot from 6 ft,92,79
347,4,10:35.0,Defensive rebound by E. Davis,,92,79
348,4,10:15.0,M. Leonard makes 3-pt jump shot from 26 ft (assist by G. Henderson),,95,79
349,4,10:15.0,,Indiana full timeout,95,79
350,4,10:15.0,,C. Budinger enters the game for L. Allen,95,79
351,4,10:01.0,,Shooting foul by M. Leonard (drawn by J. Hill),95,79
352,4,10:01.0,,J. Hill makes free throw 1 of 2,95,80
353,4,10:01.0,,J. Hill makes free throw 2 of 2,95,81
354,4,9:49.0,G. Henderson makes 2-pt jump shot from 14 ft (assist by C. McCollum),,97,81
355,4,9:26.0,,J. Hill makes 2-pt jump shot from 13 ft,97,83
356,4,9:08.0,C. McCollum makes 3-pt jump shot from 25 ft,,100,83
357,4,8:48.0,,R. Stuckey misses 2-pt layup from 2 ft,100,83
358,4,8:47.0,,Offensive rebound by G. Hill,100,83
359,4,8:31.0,,G. Hill misses 2-pt layup from 1 ft,100,83
360,4,8:30.0,Defensive rebound by E. Davis,,100,83
361,4,8:15.0,C. McCollum misses 2-pt layup from 1 ft (block by J. Hill),,100,83
362,4,8:15.0,Offensive rebound by Team,,100,83
363,4,8:15.0,D. Lillard enters the game for C. McCollum,,100,83
364,4,8:15.0,A. Aminu enters the game for M. Leonard,,100,83
365,4,8:15.0,,M. Ellis enters the game for R. Stuckey,100,83
366,4,8:15.0,,P. George enters the game for C. Budinger,100,83
367,4,8:10.0,A. Crabbe misses 2-pt jump shot from 11 ft,,100,83
368,4,8:09.0,Offensive rebound by E. Davis,,100,83
369,4,8:02.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by G. Henderson),,103,83
370,4,7:48.0,,M. Ellis makes 2-pt layup at rim (assist by J. Hill),103,85
371,4,7:24.0,G. Henderson misses 2-pt jump shot from 20 ft,,103,85
372,4,7:23.0,,Defensive rebound by S. Hill,103,85
373,4,7:05.0,,P. George misses 2-pt jump shot from 3 ft,103,85
374,4,7:04.0,,Offensive rebound by G. Hill,103,85
375,4,7:02.0,,G. Hill misses 2-pt layup at rim,103,85
376,4,7:01.0,,Offensive rebound by J. Hill,103,85
377,4,7:01.0,,Shooting foul by E. Davis (drawn by J. Hill),103,85
378,4,7:01.0,,J. Hill makes 2-pt jump shot from 4 ft,103,87
379,4,7:01.0,,M. Turner enters the game for S. Hill,103,87
380,4,7:01.0,,J. Hill makes free throw 1 of 1,103,88
381,4,6:38.0,A. Crabbe makes 3-pt jump shot from 25 ft (assist by A. Aminu),,106,88
382,4,6:25.0,,Indiana full timeout,106,88
383,4,6:25.0,M. Plumlee enters the game for A. Crabbe,,106,88
384,4,6:14.0,,M. Ellis misses 2-pt jump shot from 14 ft,106,88
385,4,6:13.0,,Offensive rebound by M. Ellis,106,88
386,4,5:55.0,,Turnover by P. George (bad pass; steal by E. Davis),106,88
387,4,5:38.0,G. Henderson makes 3-pt jump shot from 23 ft (assist by M. Plumlee),,109,88
388,4,5:37.0,,Indiana full timeout,109,88
389,4,5:37.0,,G. Robinson enters the game for P. George,109,88
390,4,5:37.0,,J. Young enters the game for M. Turner,109,88
