,QUARTER,TIME_REMAINING,HOUSTON_ACTION,BROOKLYN_ACTION,HOUSTON_SCORE,BROOKLYN_SCORE
57,1,4:10.0,Turnover by C. Capela (bad pass; steal by J. Jack),,11,17
58,1,4:05.0,,J. Johnson makes 2-pt layup from 1 ft (assist by T. Young),11,19
59,1,3:59.0,Houston full timeout,,11,19
60,1,3:59.0,D. Howard enters the game for C. Capela,,11,19
61,1,3:59.0,T. Jones enters the game for D. Motiejūnas,,11,19
62,1,3:39.0,T. Lawson misses 2-pt jump shot from 22 ft,,11,19
63,1,3:37.0,,Defensive rebound by B. Bogdanović,11,19
64,1,3:21.0,,J. Johnson misses 2-pt jump shot from 7 ft (block by D. Howard),11,19
65,1,3:19.0,,Offensive rebound by J. Johnson,11,19
66,1,3:16.0,,B. Bogdanović makes 3-pt jump shot from 22 ft (assist by J. Johnson),11,22
67,1,3:06.0,J. Harden misses 2-pt jump shot from 17 ft,,11,22
68,1,3:03.0,,Defensive rebound by T. Robinson,11,22
69,1,2:57.0,,J. Johnson misses 3-pt jump shot from 23 ft,11,22
70,1,2:56.0,,Offensive rebound by B. Bogdanović,11,22
71,1,2:55.0,,B. Bogdanović makes 2-pt layup from 1 ft,11,24
72,1,2:42.0,C. Brewer makes 3-pt jump shot from 24 ft (assist by T. Lawson),,14,24
73,1,2:30.0,,Shooting foul by J. Harden (drawn by B. Bogdanović),14,24
74,1,2:30.0,,B. Bogdanović misses free throw 1 of 2,14,24
75,1,2:30.0,,Offensive rebound by Team,14,24
76,1,2:30.0,M. Thornton enters the game for J. Harden,,14,24
77,1,2:30.0,,B. Bogdanović misses free throw 2 of 2,14,24
78,1,2:28.0,Defensive rebound by D. Howard,,14,24
79,1,2:08.0,C. Brewer makes 3-pt jump shot from 23 ft (assist by T. Jones),,17,24
80,1,1:51.0,,Turnover by T. Robinson (lost ball; steal by T. Jones),17,24
81,1,1:46.0,T. Jones misses 2-pt layup from 1 ft (block by T. Robinson),,17,24
82,1,1:44.0,,Defensive rebound by T. Young,17,24
83,1,1:36.0,,T. Young makes 2-pt layup from 1 ft,17,26
84,1,1:24.0,T. Jones misses 3-pt jump shot from 24 ft,,17,26
85,1,1:23.0,Offensive rebound by D. Howard,,17,26
86,1,1:22.0,Shooting foul by T. Robinson (drawn by D. Howard),,17,26
87,1,1:22.0,D. Howard makes free throw 1 of 2,,18,26
88,1,1:22.0,,B. Lopez enters the game for T. Young,18,26
89,1,1:22.0,,S. Larkin enters the game for J. Jack,18,26
90,1,1:22.0,,W. Ellington enters the game for J. Johnson,18,26
91,1,1:22.0,D. Howard makes free throw 2 of 2,,19,26
92,1,1:09.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by S. Larkin),19,29
93,1,1:02.0,T. Lawson misses 2-pt layup from 1 ft (block by T. Robinson),,19,29
94,1,1:00.0,Offensive rebound by C. Brewer,,19,29
95,1,0:58.0,M. Thornton makes 3-pt jump shot from 23 ft (assist by C. Brewer),,22,29
96,1,0:42.0,,B. Bogdanović misses 2-pt jump shot from 9 ft,22,29
97,1,0:42.0,,Offensive rebound by B. Lopez,22,29
98,1,0:42.0,,B. Lopez makes 2-pt layup from 2 ft,22,31
99,1,0:30.0,D. Howard makes 2-pt dunk at rim (assist by M. Thornton),,24,31
100,1,0:06.0,,T. Robinson misses 2-pt jump shot from 14 ft,24,31
101,1,0:05.0,Defensive rebound by M. Thornton,,24,31
102,1,0:01.0,M. Thornton misses 3-pt jump shot from 27 ft,,24,31
103,1,0:00.0,Offensive rebound by Team,,24,31
104,2,11:45.0,,B. Lopez misses 2-pt jump shot from 7 ft,24,31
105,2,11:44.0,,Offensive rebound by B. Lopez,24,31
106,2,11:42.0,,B. Lopez makes 2-pt dunk at rim,24,33
107,2,11:25.0,Turnover by D. Howard (lost ball),,24,33
108,2,11:09.0,,S. Larkin misses 2-pt layup from 2 ft (block by D. Howard),24,33
109,2,11:07.0,Defensive rebound by M. Thornton,,24,33
110,2,11:01.0,C. Brewer misses 3-pt jump shot from 22 ft,,24,33
111,2,11:00.0,Offensive rebound by T. Jones,,24,33
112,2,10:55.0,Personal foul by W. Ellington (drawn by D. Howard),,24,33
113,2,10:43.0,M. Thornton misses 2-pt layup from 3 ft (block by B. Lopez),,24,33
114,2,10:42.0,Offensive rebound by Team,,24,33
115,2,10:42.0,,J. Johnson enters the game for B. Bogdanović,24,33
116,2,10:42.0,C. Capela enters the game for D. Howard,,24,33
117,2,10:36.0,T. Jones makes 3-pt jump shot from 27 ft (assist by M. Thornton),,27,33
118,2,10:20.0,,Personal foul by C. Capela (drawn by B. Lopez),27,33
119,2,10:13.0,,Shooting foul by T. Jones (drawn by S. Larkin),27,33
120,2,10:13.0,,S. Larkin makes free throw 1 of 2,27,34
121,2,10:13.0,,S. Larkin makes free throw 2 of 2,27,35
122,2,9:56.0,Turnover by C. Capela (bad pass; steal by J. Johnson),,27,35
123,2,9:52.0,,W. Ellington misses 2-pt layup from 1 ft,27,35
124,2,9:51.0,Defensive rebound by T. Jones,,27,35
125,2,9:39.0,M. Thornton makes 3-pt jump shot from 23 ft (assist by T. Jones),,30,35
126,2,9:23.0,,T. Robinson makes 2-pt dunk at rim (assist by S. Larkin),30,37
127,2,9:23.0,,Shooting foul by C. Capela (drawn by T. Robinson),30,37
128,2,9:23.0,P. Beverley enters the game for T. Lawson,,30,37
129,2,9:23.0,D. Motiejūnas enters the game for C. Brewer,,30,37
130,2,9:23.0,J. Harden enters the game for T. Jones,,30,37
131,2,9:23.0,,T. Robinson makes free throw 1 of 1,30,38
132,2,9:11.0,P. Beverley misses 2-pt jump shot from 5 ft (block by B. Lopez),,30,38
133,2,9:10.0,Offensive rebound by C. Capela,,30,38
134,2,9:08.0,C. Capela misses 2-pt layup at rim (block by B. Lopez),,30,38
135,2,9:06.0,,Defensive rebound by T. Robinson,30,38
136,2,8:59.0,,W. Ellington misses 2-pt jump shot from 16 ft,30,38
137,2,8:57.0,Defensive rebound by C. Capela,,30,38
138,2,8:50.0,Personal foul by T. Robinson (drawn by C. Capela),,30,38
139,2,8:50.0,Official timeout,,30,38
140,2,8:50.0,,T. Young enters the game for T. Robinson,30,38
141,2,8:35.0,Turnover by Team (shot clock),,30,38
142,2,8:22.0,,S. Larkin misses 2-pt jump shot from 15 ft,30,38
143,2,8:21.0,Defensive rebound by M. Thornton,,30,38
144,2,8:11.0,Turnover by M. Thornton (bad pass; steal by T. Young),,30,38
145,2,8:04.0,,W. Ellington misses 3-pt jump shot from 24 ft,30,38
146,2,8:03.0,Defensive rebound by C. Capela,,30,38
147,2,7:55.0,P. Beverley misses 3-pt jump shot from 23 ft,,30,38
148,2,7:54.0,Offensive rebound by Team,,30,38
149,2,7:50.0,Personal foul by J. Johnson (drawn by J. Harden),,30,38
150,2,7:40.0,Turnover by D. Motiejūnas (bad pass),,30,38
151,2,7:40.0,,J. Jack enters the game for W. Ellington,30,38
152,2,7:22.0,,J. Johnson misses 2-pt jump shot from 13 ft,30,38
153,2,7:20.0,Defensive rebound by D. Motiejūnas,,30,38
154,2,7:16.0,C. Capela misses 2-pt layup from 1 ft,,30,38
155,2,7:15.0,,Defensive rebound by T. Young,30,38
156,2,7:07.0,,J. Johnson misses 3-pt jump shot from 24 ft,30,38
157,2,7:06.0,Defensive rebound by M. Thornton,,30,38
158,2,7:03.0,Turnover by J. Harden (offensive foul),,30,38
159,2,7:03.0,,Offensive charge foul by J. Harden (drawn by J. Jack),30,38
160,2,7:03.0,T. Jones enters the game for C. Capela,,30,38
161,2,7:03.0,D. Howard enters the game for D. Motiejūnas,,30,38
162,2,6:46.0,,T. Young makes 2-pt layup at rim (assist by J. Johnson),30,40
163,2,6:20.0,M. Thornton makes 3-pt jump shot from 27 ft (assist by P. Beverley),,33,40
164,2,6:11.0,,Shooting foul by D. Howard (drawn by B. Lopez),33,40
165,2,6:11.0,,B. Lopez makes free throw 1 of 2,33,41
166,2,6:11.0,C. Brewer enters the game for M. Thornton,,33,41
167,2,6:11.0,,B. Lopez makes free throw 2 of 2,33,42
168,2,5:45.0,C. Brewer makes 3-pt jump shot from 24 ft,,36,42
169,2,5:29.0,,Turnover by S. Larkin (lost ball; steal by P. Beverley),36,42
170,2,5:24.0,C. Brewer makes 2-pt layup from 2 ft (assist by P. Beverley),,38,42
171,2,5:11.0,,Shooting foul by P. Beverley (drawn by B. Lopez),38,42
172,2,5:11.0,,Brooklyn full timeout,38,42
173,2,5:11.0,,B. Bogdanović enters the game for S. Larkin,38,42
174,2,5:11.0,,B. Lopez makes free throw 1 of 2,38,43
175,2,5:11.0,,B. Lopez makes free throw 2 of 2,38,44
176,2,4:56.0,C. Brewer misses 3-pt jump shot from 24 ft,,38,44
177,2,4:55.0,,Defensive rebound by J. Johnson,38,44
178,2,4:46.0,,Turnover by J. Johnson (bad pass; steal by P. Beverley),38,44
179,2,4:41.0,D. Howard makes 2-pt dunk at rim (assist by C. Brewer),,40,44
180,2,4:27.0,,J. Jack makes 2-pt jump shot from 20 ft,40,46
181,2,4:15.0,Turnover by J. Harden (bad pass; steal by T. Young),,40,46
182,2,4:07.0,,B. Bogdanović makes 2-pt layup from 4 ft (assist by T. Young),40,48
183,2,3:50.0,C. Brewer misses 2-pt layup from 1 ft,,40,48
184,2,3:48.0,,Defensive rebound by T. Young,40,48
185,2,3:40.0,,B. Lopez misses 2-pt jump shot from 8 ft,40,48
186,2,3:39.0,Defensive rebound by T. Jones,,40,48
187,2,3:21.0,T. Jones makes 2-pt hook shot from 9 ft,,42,48
188,2,3:21.0,Violation by Team (delay of game),,42,48
189,2,2:58.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by T. Young),42,51
190,2,2:46.0,J. Harden misses 2-pt layup from 3 ft,,42,51
191,2,2:45.0,,Defensive rebound by Team,42,51
192,2,2:45.0,Loose ball foul by T. Jones (drawn by B. Lopez),,42,51
193,2,2:45.0,Houston full timeout,,42,51
194,2,2:45.0,C. Capela enters the game for D. Howard,,42,51
195,2,2:45.0,,B. Lopez makes free throw 1 of 2,42,52
196,2,2:45.0,,B. Lopez makes free throw 2 of 2,42,53
197,2,2:36.0,Shooting foul by B. Lopez (drawn by J. Harden),,42,53
198,2,2:36.0,J. Harden makes free throw 1 of 2,,43,53
199,2,2:36.0,J. Harden makes free throw 2 of 2,,44,53
200,2,2:16.0,,Turnover by J. Jack (lost ball; steal by P. Beverley),44,53
201,2,2:09.0,C. Capela misses 2-pt layup from 1 ft,,44,53
202,2,2:08.0,,Defensive rebound by T. Young,44,53
203,2,2:00.0,,J. Jack misses 3-pt jump shot from 24 ft,44,53
204,2,1:58.0,Defensive rebound by J. Harden,,44,53
205,2,1:55.0,J. Harden misses 3-pt jump shot from 24 ft,,44,53
206,2,1:54.0,,Defensive rebound by J. Jack,44,53
207,2,1:48.0,,Turnover by T. Young (lost ball; steal by C. Brewer),44,53
208,2,1:31.0,J. Harden misses 3-pt jump shot from 25 ft,,44,53
209,2,1:30.0,,Defensive rebound by J. Jack,44,53
210,2,1:10.0,,T. Young misses 2-pt hook shot from 5 ft,44,53
211,2,1:09.0,,Offensive rebound by T. Young,44,53
212,2,1:08.0,,Turnover by T. Young (bad pass),44,53
213,2,0:49.0,P. Beverley misses 3-pt jump shot from 25 ft,,44,53
214,2,0:48.0,,Defensive rebound by B. Lopez,44,53
215,2,0:37.0,,B. Lopez makes 2-pt jump shot from 7 ft,44,55
216,2,0:15.0,Turnover by J. Harden (lost ball; steal by J. Johnson),,44,55
217,2,0:11.0,,T. Young makes 2-pt dunk at rim (assist by J. Jack),44,57
218,2,0:00.0,P. Beverley makes 2-pt jump shot from 11 ft,,46,57
219,3,11:38.0,,J. Jack makes 2-pt jump shot from 20 ft (assist by B. Bogdanović),46,59
220,3,11:13.0,C. Capela makes 2-pt hook shot from 8 ft (assist by J. Harden),,48,59
221,3,10:57.0,,B. Bogdanović misses 3-pt jump shot from 22 ft,48,59
222,3,10:56.0,Defensive rebound by C. Capela,,48,59
223,3,10:47.0,Turnover by J. Harden (traveling),,48,59
224,3,10:32.0,,Turnover by B. Lopez (bad pass),48,59
225,3,10:21.0,Turnover by C. Capela (bad pass),,48,59
226,3,10:10.0,,Turnover by J. Jack (bad pass; steal by P. Beverley),48,59
227,3,10:04.0,C. Brewer makes 2-pt layup from 2 ft (assist by J. Harden),,50,59
228,3,9:49.0,,J. Johnson makes 2-pt jump shot from 16 ft (assist by J. Jack),50,61
229,3,9:22.0,P. Beverley misses 3-pt jump shot from 24 ft,,50,61
230,3,9:21.0,,Defensive rebound by B. Bogdanović,50,61
231,3,9:13.0,,Turnover by J. Jack (bad pass; steal by J. Harden),50,61
232,3,9:09.0,P. Beverley makes 2-pt layup from 2 ft (assist by J. Harden),,52,61
233,3,8:52.0,,Turnover by B. Lopez (lost ball; steal by C. Brewer),52,61
234,3,8:50.0,Turnover by C. Brewer (bad pass),,52,61
235,3,8:39.0,,J. Jack makes 2-pt jump shot from 19 ft,52,63
236,3,8:26.0,P. Beverley misses 3-pt jump shot from 25 ft,,52,63
237,3,8:25.0,,Defensive rebound by T. Young,52,63
238,3,8:14.0,,B. Lopez makes 2-pt jump shot from 11 ft (assist by J. Jack),52,65
239,3,8:14.0,Houston full timeout,,52,65
240,3,8:14.0,T. Jones enters the game for D. Howard,,52,65
241,3,8:05.0,Shooting foul by J. Jack (drawn by J. Harden),,52,65
242,3,8:05.0,J. Harden makes free throw 1 of 2,,53,65
243,3,8:05.0,J. Harden makes free throw 2 of 2,,54,65
244,3,7:50.0,,B. Bogdanović misses 2-pt layup from 1 ft,54,65
245,3,7:49.0,Defensive rebound by C. Capela,,54,65
246,3,7:42.0,J. Harden misses 3-pt jump shot from 24 ft,,54,65
247,3,7:41.0,,Defensive rebound by J. Jack,54,65
248,3,7:29.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by J. Johnson),54,68
249,3,6:59.0,C. Brewer makes 2-pt jump shot from 20 ft,,56,68
250,3,6:49.0,,T. Young makes 2-pt jump shot from 17 ft (assist by J. Jack),56,70
251,3,6:31.0,Turnover by C. Brewer (bad pass; steal by T. Young),,56,70
252,3,6:27.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by J. Johnson),56,72
253,3,6:00.0,T. Jones misses 2-pt jump shot from 17 ft,,56,72
254,3,5:59.0,,Defensive rebound by T. Young,56,72
255,3,5:42.0,,B. Lopez makes 2-pt layup from 2 ft (assist by J. Jack),56,74
256,3,5:42.0,Houston full timeout,,56,74
257,3,5:42.0,D. Howard enters the game for C. Capela,,56,74
258,3,5:42.0,M. Thornton enters the game for T. Jones,,56,74
259,3,5:42.0,,T. Robinson enters the game for B. Lopez,56,74
260,3,5:26.0,M. Thornton makes 2-pt jump shot from 7 ft,,58,74
261,3,5:13.0,,Personal foul by P. Beverley (drawn by J. Jack),58,74
262,3,5:10.0,,Personal foul by P. Beverley (drawn by J. Jack),58,74
263,3,5:10.0,T. Lawson enters the game for P. Beverley,,58,74
264,3,5:04.0,,T. Robinson misses 2-pt layup from 1 ft,58,74
265,3,5:03.0,Defensive rebound by D. Howard,,58,74
266,3,4:59.0,Turnover by J. Harden (bad pass; steal by J. Jack),,58,74
267,3,4:53.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,58,74
268,3,4:51.0,Defensive rebound by D. Howard,,58,74
269,3,4:44.0,C. Brewer misses 3-pt jump shot from 23 ft,,58,74
270,3,4:43.0,,Defensive rebound by T. Robinson,58,74
271,3,4:35.0,,T. Young misses 2-pt layup from 2 ft,58,74
272,3,4:34.0,Defensive rebound by J. Harden,,58,74
273,3,4:26.0,Personal foul by T. Robinson (drawn by D. Howard),,58,74
274,3,4:26.0,,Brooklyn full timeout,58,74
275,3,4:26.0,J. Terry enters the game for C. Brewer,,58,74
276,3,4:26.0,,W. Ellington enters the game for B. Bogdanović,58,74
277,3,4:10.0,M. Thornton makes 2-pt jump shot from 12 ft,,60,74
278,3,3:51.0,,W. Ellington misses 3-pt jump shot from 24 ft,60,74
279,3,3:50.0,Defensive rebound by D. Howard,,60,74
280,3,3:42.0,M. Thornton makes 2-pt layup from 3 ft,,62,74
281,3,3:31.0,,J. Jack misses 2-pt jump shot from 18 ft,62,74
282,3,3:30.0,Defensive rebound by D. Howard,,62,74
283,3,3:29.0,Personal foul by T. Robinson (drawn by D. Howard),,62,74
284,3,3:29.0,,B. Lopez enters the game for T. Robinson,62,74
285,3,3:12.0,Turnover by J. Harden (bad pass; steal by J. Jack),,62,74
286,3,2:52.0,,W. Ellington makes 2-pt jump shot from 17 ft (assist by J. Johnson),62,76
287,3,2:40.0,D. Howard makes 2-pt layup from 1 ft (assist by J. Harden),,64,76
288,3,2:40.0,Shooting foul by J. Jack (drawn by D. Howard),,64,76
289,3,2:40.0,C. Brewer enters the game for J. Harden,,64,76
290,3,2:40.0,,S. Larkin enters the game for J. Johnson,64,76
291,3,2:40.0,D. Howard misses free throw 1 of 1,,64,76
292,3,2:39.0,,Defensive rebound by T. Young,64,76
293,3,2:29.0,,Turnover by J. Jack (lost ball; steal by D. Howard),64,76
294,3,2:19.0,C. Brewer makes 3-pt jump shot from 24 ft (assist by T. Lawson),,67,76
295,3,2:19.0,,Brooklyn full timeout,67,76
296,3,2:06.0,,Turnover by B. Lopez (lost ball; steal by J. Terry),67,76
297,3,1:55.0,J. Terry misses 3-pt jump shot from 22 ft,,67,76
298,3,1:54.0,Offensive rebound by C. Brewer,,67,76
299,3,1:52.0,C. Brewer makes 2-pt layup from 1 ft,,69,76
300,3,1:35.0,,Personal foul by C. Brewer (drawn by S. Larkin),69,76
301,3,1:27.0,,J. Jack misses 2-pt jump shot from 9 ft,69,76
302,3,1:26.0,Defensive rebound by J. Terry,,69,76
303,3,1:17.0,M. Thornton misses 2-pt layup from 2 ft,,69,76
304,3,1:16.0,,Defensive rebound by W. Ellington,69,76
305,3,1:05.0,,T. Young makes 2-pt jump shot from 8 ft (assist by S. Larkin),69,78
306,3,0:51.0,Turnover by C. Brewer (lost ball; steal by S. Larkin),,69,78
307,3,0:47.0,,W. Ellington misses 2-pt layup from 1 ft,69,78
308,3,0:45.0,,Offensive rebound by T. Young,69,78
309,3,0:43.0,,Brooklyn full timeout,69,78
310,3,0:43.0,,J. Johnson enters the game for T. Young,69,78
311,3,0:43.0,,Turnover by W. Ellington (bad pass; steal by D. Howard),69,78
312,3,0:39.0,Turnover by D. Howard (bad pass; steal by S. Larkin),,69,78
313,3,0:34.0,,J. Jack misses 2-pt layup from 2 ft (block by T. Lawson),69,78
314,3,0:34.0,,Offensive rebound by W. Ellington,69,78
315,3,0:33.0,,W. Ellington makes 2-pt layup from 2 ft,69,80
316,3,0:22.0,J. Terry makes 3-pt jump shot from 23 ft (assist by M. Thornton),,72,80
317,3,0:01.0,,Turnover by S. Larkin (bad pass; steal by C. Brewer),72,80
318,4,11:47.0,J. Terry misses 2-pt jump shot from 5 ft,,72,80
319,4,11:47.0,,Defensive rebound by B. Lopez,72,80
320,4,11:35.0,,Turnover by S. Larkin (bad pass; steal by J. Terry),72,80
321,4,11:23.0,M. Thornton misses 3-pt jump shot from 24 ft,,72,80
322,4,11:22.0,,Defensive rebound by Team,72,80
323,4,11:03.0,,Turnover by B. Lopez (bad pass; steal by T. Lawson),72,80
324,4,11:00.0,Personal foul by B. Bogdanović (drawn by J. Terry),,72,80
325,4,10:49.0,C. Capela makes 2-pt layup from 1 ft (assist by T. Lawson),,74,80
326,4,10:30.0,,J. Johnson makes 2-pt jump shot from 7 ft,74,82
327,4,10:06.0,Turnover by C. Brewer (lost ball; steal by B. Lopez),,74,82
328,4,9:51.0,,B. Lopez makes 2-pt layup from 2 ft (assist by J. Johnson),74,84
329,4,9:36.0,M. Thornton misses 2-pt jump shot from 10 ft,,74,84
330,4,9:35.0,Offensive rebound by C. Capela,,74,84
331,4,9:31.0,M. Thornton makes 3-pt jump shot from 24 ft (assist by T. Lawson),,77,84
332,4,9:06.0,,J. Johnson misses 2-pt jump shot from 13 ft,77,84
333,4,9:05.0,Defensive rebound by M. Thornton,,77,84
334,4,8:59.0,M. Thornton makes 3-pt jump shot from 26 ft,,80,84
335,4,8:58.0,,Brooklyn full timeout,80,84
336,4,8:58.0,,T. Young enters the game for B. Lopez,80,84
337,4,8:48.0,,Turnover by S. Larkin (bad pass; steal by M. Thornton),80,84
338,4,8:45.0,M. Thornton makes 2-pt layup from 2 ft,,82,84
339,4,8:28.0,,J. Johnson makes 3-pt jump shot from 22 ft (assist by T. Young),82,87
340,4,8:10.0,C. Brewer misses 3-pt jump shot from 24 ft,,82,87
341,4,8:08.0,,Defensive rebound by J. Johnson,82,87
342,4,7:52.0,,J. Johnson makes 2-pt jump shot from 7 ft,82,89
343,4,7:38.0,M. Thornton makes 2-pt jump shot from 16 ft,,84,89
344,4,7:20.0,,B. Bogdanović misses 2-pt jump shot from 17 ft,84,89
345,4,7:19.0,,Offensive rebound by J. Johnson,84,89
346,4,7:15.0,Violation by C. Capela (def goaltending),,84,89
347,4,7:15.0,,T. Young makes 2-pt layup from 2 ft,84,91
348,4,7:08.0,Shooting foul by T. Young (drawn by M. Thornton),,84,91
349,4,7:08.0,M. Thornton makes free throw 1 of 3,,85,91
350,4,7:08.0,M. Thornton makes free throw 2 of 3,,86,91
351,4,7:08.0,,J. Jack enters the game for S. Larkin,86,91
352,4,7:08.0,J. Harden enters the game for C. Brewer,,86,91
353,4,7:08.0,M. Thornton makes free throw 3 of 3,,87,91
354,4,6:52.0,,T. Young makes 2-pt layup from 2 ft,87,93
355,4,6:36.0,M. Thornton makes 2-pt jump shot from 5 ft (assist by T. Lawson),,89,93
356,4,6:19.0,,J. Johnson makes 2-pt jump shot from 21 ft,89,95
357,4,6:07.0,T. Lawson misses 2-pt layup from 2 ft,,89,95
358,4,6:05.0,,Defensive rebound by T. Young,89,95
359,4,6:01.0,,Turnover by T. Young (bad pass; steal by J. Harden),89,95
360,4,5:58.0,J. Harden misses 2-pt layup from 2 ft,,89,95
361,4,5:56.0,,Defensive rebound by T. Young,89,95
362,4,5:54.0,,Shooting foul by J. Terry (drawn by J. Johnson),89,95
363,4,5:54.0,,M. Brown enters the game for W. Ellington,89,95
364,4,5:54.0,P. Beverley enters the game for T. Lawson,,89,95
365,4,5:54.0,D. Howard enters the game for C. Capela,,89,95
366,4,5:54.0,,J. Johnson makes free throw 1 of 2,89,96
367,4,5:54.0,,B. Lopez enters the game for T. Young,89,96
368,4,5:54.0,,J. Johnson misses free throw 2 of 2,89,96
369,4,5:48.0,Defensive rebound by M. Thornton,,89,96
370,4,5:29.0,D. Howard misses 2-pt layup from 1 ft,,89,96
371,4,5:28.0,,Defensive rebound by M. Brown,89,96
372,4,5:06.0,,J. Johnson misses 3-pt jump shot from 25 ft,89,96
373,4,5:05.0,Defensive rebound by D. Howard,,89,96
374,4,5:02.0,Personal foul by J. Johnson (drawn by J. Harden),,89,96
375,4,4:51.0,M. Thornton makes 2-pt jump shot from 13 ft,,91,96
376,4,4:27.0,,M. Brown makes 3-pt jump shot from 23 ft (assist by J. Johnson),91,99
377,4,4:16.0,Turnover by D. Howard (lost ball; steal by B. Bogdanović),,91,99
378,4,3:59.0,,M. Brown misses 3-pt jump shot from 24 ft,91,99
379,4,3:58.0,Defensive rebound by J. Harden,,91,99
380,4,3:54.0,Turnover by J. Harden (bad pass),,91,99
381,4,3:37.0,,Turnover by B. Lopez (bad pass; steal by M. Thornton),91,99
382,4,3:29.0,J. Terry misses 3-pt jump shot from 22 ft,,91,99
