,QUARTER,TIME_REMAINING,PORTLAND_ACTION,BOSTON_ACTION,PORTLAND_SCORE,BOSTON_SCORE
64,1,3:53.0,E. Davis enters the game for M. Plumlee,,26,16
65,1,3:46.0,,E. Turner misses 2-pt jump shot from 15 ft,26,16
66,1,3:45.0,Defensive rebound by M. Harkless,,26,16
67,1,3:34.0,D. Lillard makes 2-pt layup from 1 ft,,28,16
68,1,3:31.0,,I. Thomas makes 2-pt layup at rim,28,18
69,1,3:31.0,,Shooting foul by A. Crabbe (drawn by I. Thomas),28,18
70,1,3:31.0,,T. Zeller enters the game for J. Sullinger,28,18
71,1,3:31.0,,I. Thomas makes free throw 1 of 1,28,19
72,1,3:17.0,Shooting foul by J. Crowder (drawn by E. Davis),,28,19
73,1,3:17.0,E. Davis misses free throw 1 of 2,,28,19
74,1,3:17.0,Offensive rebound by Team,,28,19
75,1,3:17.0,E. Davis makes free throw 2 of 2,,29,19
76,1,2:57.0,,J. Crowder makes 3-pt jump shot from 23 ft (assist by M. Smart),29,22
77,1,2:47.0,Portland full timeout,,29,22
78,1,2:42.0,G. Henderson misses 2-pt jump shot from 3 ft (block by E. Turner),,29,22
79,1,2:41.0,Offensive rebound by G. Henderson,,29,22
80,1,2:36.0,M. Harkless misses 3-pt jump shot from 23 ft,,29,22
81,1,2:35.0,,Defensive rebound by T. Zeller,29,22
82,1,2:21.0,,I. Thomas misses 3-pt jump shot from 26 ft,29,22
83,1,2:20.0,Defensive rebound by D. Lillard,,29,22
84,1,2:03.0,D. Lillard misses 2-pt layup at rim,,29,22
85,1,2:02.0,,Defensive rebound by T. Zeller,29,22
86,1,1:50.0,,Shooting foul by A. Crabbe (drawn by M. Smart),29,22
87,1,1:50.0,,M. Smart makes free throw 1 of 3,29,23
88,1,1:50.0,,M. Smart makes free throw 2 of 3,29,24
89,1,1:50.0,,J. Jerebko enters the game for I. Thomas,29,24
90,1,1:50.0,,M. Smart makes free throw 3 of 3,29,25
91,1,1:39.0,Personal foul by J. Crowder (drawn by E. Davis),,29,25
92,1,1:32.0,Turnover by D. Lillard (lost ball; steal by E. Turner),,29,25
93,1,1:20.0,,M. Smart misses 3-pt jump shot from 25 ft,29,25
94,1,1:19.0,Defensive rebound by M. Harkless,,29,25
95,1,1:09.0,D. Lillard makes 2-pt layup from 1 ft,,31,25
96,1,1:02.0,,Personal foul by G. Henderson (drawn by M. Smart),31,25
97,1,1:02.0,,M. Smart makes free throw 1 of 2,31,26
98,1,1:02.0,,M. Smart misses free throw 2 of 2,31,26
99,1,1:02.0,Defensive rebound by M. Harkless,,31,26
100,1,0:39.0,G. Henderson misses 2-pt jump shot from 21 ft,,31,26
101,1,0:39.0,,Defensive rebound by J. Jerebko,31,26
102,1,0:38.0,,Personal foul by E. Davis (drawn by J. Jerebko),31,26
103,1,0:38.0,,J. Jerebko makes free throw 1 of 2,31,27
104,1,0:38.0,,J. Jerebko makes free throw 2 of 2,31,28
105,1,0:33.0,D. Lillard misses 2-pt jump shot from 5 ft,,31,28
106,1,0:32.0,Offensive rebound by M. Harkless,,31,28
107,1,0:32.0,M. Harkless misses 2-pt layup from 1 ft (block by J. Jerebko),,31,28
108,1,0:30.0,,Defensive rebound by J. Jerebko,31,28
109,1,0:23.0,,J. Crowder misses 3-pt jump shot from 25 ft,31,28
110,1,0:21.0,Defensive rebound by E. Davis,,31,28
111,1,0:08.0,Personal take foul by T. Zeller (drawn by E. Davis),,31,28
112,1,0:08.0,E. Davis makes free throw 1 of 2,,32,28
113,1,0:08.0,,I. Thomas enters the game for J. Jerebko,32,28
114,1,0:08.0,E. Davis makes free throw 2 of 2,,33,28
115,1,0:03.0,,I. Thomas makes 2-pt layup from 1 ft,33,30
116,1,0:01.0,D. Lillard misses 3-pt jump shot from 35 ft,,33,30
117,1,0:00.0,Offensive rebound by Team,,33,30
118,2,11:47.0,,E. Turner misses 2-pt jump shot from 8 ft,33,30
119,2,11:46.0,,Offensive rebound by Team,33,30
120,2,11:46.0,Loose ball foul by A. Crabbe (drawn by M. Smart),,33,30
121,2,11:40.0,,T. Zeller misses 2-pt jump shot from 18 ft,33,30
122,2,11:39.0,,Offensive rebound by M. Smart,33,30
123,2,11:39.0,,M. Smart makes 2-pt layup from 1 ft,33,32
124,2,11:21.0,G. Henderson misses 2-pt jump shot from 15 ft,,33,32
125,2,11:20.0,,Defensive rebound by M. Smart,33,32
126,2,11:08.0,,A. Bradley makes 2-pt layup at rim (assist by M. Smart),33,34
127,2,10:57.0,C. McCollum makes 2-pt layup at rim,,35,34
128,2,10:30.0,Violation by G. Henderson (def goaltending),,35,34
129,2,10:30.0,,J. Jerebko makes 2-pt layup at rim (assist by E. Turner),35,36
130,2,10:10.0,M. Leonard makes 3-pt jump shot from 24 ft (assist by C. McCollum),,38,36
131,2,9:50.0,,M. Smart misses 3-pt jump shot from 25 ft,38,36
132,2,9:50.0,Defensive rebound by Team,,38,36
133,2,9:50.0,,Loose ball foul by J. Jerebko (drawn by A. Crabbe),38,36
134,2,9:50.0,M. Harkless enters the game for A. Crabbe,,38,36
135,2,9:39.0,Offensive foul by M. Leonard (drawn by M. Smart),,38,36
136,2,9:39.0,Turnover by M. Leonard (offensive foul),,38,36
137,2,9:28.0,,E. Turner misses 2-pt jump shot from 13 ft,38,36
138,2,9:27.0,Defensive rebound by E. Davis,,38,36
139,2,9:19.0,C. McCollum makes 3-pt jump shot from 24 ft,,41,36
140,2,9:04.0,,A. Bradley makes 2-pt jump shot from 19 ft (assist by T. Zeller),41,38
141,2,8:50.0,M. Leonard misses 2-pt jump shot from 16 ft,,41,38
142,2,8:49.0,,Defensive rebound by M. Smart,41,38
143,2,8:38.0,,E. Turner misses 2-pt jump shot from 14 ft,41,38
144,2,8:37.0,Defensive rebound by E. Davis,,41,38
145,2,8:33.0,Personal foul by A. Bradley (drawn by C. McCollum),,41,38
146,2,8:33.0,Official timeout,,41,38
147,2,8:18.0,Turnover by M. Leonard (lost ball; steal by M. Smart),,41,38
148,2,8:03.0,,A. Bradley makes 2-pt jump shot from 19 ft (assist by E. Turner),41,40
149,2,7:45.0,E. Davis misses 2-pt hook shot from 8 ft,,41,40
150,2,7:44.0,,Defensive rebound by J. Jerebko,41,40
151,2,7:31.0,,J. Jerebko misses 2-pt jump shot from 8 ft (block by C. McCollum),41,40
152,2,7:29.0,,Offensive rebound by M. Smart,41,40
153,2,7:26.0,,M. Smart makes 3-pt jump shot from 25 ft,41,43
154,2,7:07.0,G. Henderson misses 3-pt jump shot from 22 ft,,41,43
155,2,7:04.0,Offensive rebound by E. Davis,,41,43
156,2,7:03.0,E. Davis misses 2-pt layup at rim,,41,43
157,2,7:01.0,,Defensive rebound by E. Turner,41,43
158,2,6:55.0,,T. Zeller misses 2-pt layup from 1 ft,41,43
159,2,6:54.0,Defensive rebound by E. Davis,,41,43
160,2,6:45.0,Shooting foul by T. Zeller (drawn by G. Henderson),,41,43
161,2,6:45.0,G. Henderson makes free throw 1 of 2,,42,43
162,2,6:45.0,M. Plumlee enters the game for E. Davis,,42,43
163,2,6:45.0,G. Henderson makes free throw 2 of 2,,43,43
164,2,6:24.0,,A. Bradley misses 2-pt jump shot from 16 ft,43,43
165,2,6:23.0,,Offensive rebound by J. Jerebko,43,43
166,2,6:16.0,,E. Turner misses 2-pt jump shot from 16 ft,43,43
167,2,6:15.0,Defensive rebound by M. Plumlee,,43,43
168,2,6:06.0,A. Aminu enters the game for M. Harkless,,43,43
169,2,6:06.0,,J. Sullinger enters the game for T. Zeller,43,43
170,2,6:02.0,G. Henderson misses 2-pt jump shot from 15 ft,,43,43
171,2,6:01.0,,Defensive rebound by J. Sullinger,43,43
172,2,5:50.0,,A. Bradley misses 2-pt jump shot from 18 ft,43,43
173,2,5:49.0,Defensive rebound by M. Leonard,,43,43
174,2,5:43.0,Shooting block foul by J. Jerebko (drawn by C. McCollum),,43,43
175,2,5:43.0,,Boston full timeout,43,43
176,2,5:43.0,,I. Thomas enters the game for M. Smart,43,43
177,2,5:43.0,D. Lillard enters the game for G. Henderson,,43,43
178,2,5:43.0,C. McCollum makes free throw 1 of 2,,44,43
179,2,5:43.0,C. McCollum makes free throw 2 of 2,,45,43
180,2,5:22.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by E. Turner),45,46
181,2,4:58.0,Shooting foul by I. Thomas (drawn by C. McCollum),,45,46
182,2,4:58.0,C. McCollum makes free throw 1 of 2,,46,46
183,2,4:58.0,,J. Crowder enters the game for J. Jerebko,46,46
184,2,4:58.0,G. Henderson enters the game for M. Leonard,,46,46
185,2,4:58.0,C. McCollum makes free throw 2 of 2,,47,46
186,2,4:47.0,,Personal foul by D. Lillard (drawn by I. Thomas),47,46
187,2,4:47.0,,M. Smart enters the game for E. Turner,47,46
188,2,4:40.0,,A. Bradley misses 2-pt jump shot from 18 ft,47,46
189,2,4:39.0,Defensive rebound by A. Aminu,,47,46
190,2,4:26.0,M. Plumlee makes 2-pt jump shot from 14 ft,,49,46
191,2,4:19.0,,Personal foul by G. Henderson (drawn by I. Thomas),49,46
192,2,4:04.0,,I. Thomas makes 2-pt jump shot from 5 ft,49,48
193,2,3:51.0,A. Aminu misses 3-pt jump shot from 23 ft,,49,48
194,2,3:50.0,,Defensive rebound by M. Smart,49,48
195,2,3:36.0,,Shooting foul by M. Plumlee (drawn by J. Sullinger),49,48
196,2,3:36.0,,J. Sullinger makes free throw 1 of 2,49,49
197,2,3:36.0,,J. Sullinger makes free throw 2 of 2,49,50
198,2,3:25.0,D. Lillard makes 2-pt layup from 2 ft (assist by M. Plumlee),,51,50
199,2,3:20.0,,I. Thomas misses 2-pt layup at rim (block by M. Plumlee),51,50
200,2,3:19.0,,Offensive rebound by Team,51,50
201,2,3:17.0,,A. Bradley misses 2-pt jump shot from 17 ft,51,50
202,2,3:16.0,Defensive rebound by M. Plumlee,,51,50
203,2,3:09.0,Personal foul by I. Thomas (drawn by D. Lillard),,51,50
204,2,3:09.0,D. Lillard misses free throw 1 of 2,,51,50
205,2,3:09.0,Offensive rebound by Team,,51,50
206,2,3:09.0,D. Lillard makes free throw 2 of 2,,52,50
207,2,2:51.0,,J. Sullinger makes 2-pt dunk at rim,52,52
208,2,2:28.0,D. Lillard misses 3-pt jump shot from 27 ft,,52,52
209,2,2:25.0,,Defensive rebound by I. Thomas,52,52
210,2,2:16.0,,Shooting foul by M. Plumlee (drawn by I. Thomas),52,52
211,2,2:16.0,Portland full timeout,,52,52
212,2,2:16.0,,I. Thomas makes free throw 1 of 2,52,53
213,2,2:16.0,,I. Thomas makes free throw 2 of 2,52,54
214,2,2:06.0,Turnover by D. Lillard (bad pass; steal by M. Smart),,52,54
215,2,2:02.0,,M. Smart makes 2-pt dunk from 1 ft,52,56
216,2,1:35.0,G. Henderson makes 2-pt jump shot from 17 ft (assist by M. Plumlee),,54,56
217,2,1:18.0,,J. Crowder makes 2-pt layup from 1 ft (assist by J. Sullinger),54,58
218,2,1:00.0,M. Plumlee misses 2-pt jump shot from 18 ft,,54,58
219,2,1:00.0,,Defensive rebound by J. Sullinger,54,58
220,2,0:38.0,,J. Crowder misses 2-pt jump shot from 19 ft,54,58
221,2,0:37.0,Defensive rebound by G. Henderson,,54,58
222,2,0:36.0,Personal foul by J. Sullinger (drawn by G. Henderson),,54,58
223,2,0:36.0,G. Henderson makes free throw 1 of 2,,55,58
224,2,0:36.0,E. Davis enters the game for M. Plumlee,,55,58
225,2,0:36.0,G. Henderson misses free throw 2 of 2,,55,58
226,2,0:36.0,,Defensive rebound by M. Smart,55,58
227,2,0:30.0,,I. Thomas makes 3-pt jump shot from 27 ft,55,61
228,2,0:13.0,C. McCollum misses 2-pt layup from 1 ft (block by J. Sullinger),,55,61
229,2,0:12.0,Offensive rebound by E. Davis,,55,61
230,2,0:10.0,C. McCollum misses 3-pt jump shot from 23 ft,,55,61
231,2,0:09.0,,Defensive rebound by Team,55,61
232,2,0:01.0,,J. Crowder misses 3-pt jump shot from 25 ft,55,61
233,2,0:00.0,,Offensive rebound by Team,55,61
234,3,11:48.0,,J. Crowder misses 2-pt jump shot from 21 ft,55,61
235,3,11:46.0,,Offensive rebound by A. Johnson,55,61
236,3,11:46.0,,A. Johnson makes 2-pt layup at rim,55,63
237,3,11:23.0,A. Aminu misses 2-pt jump shot from 19 ft,,55,63
238,3,11:23.0,Offensive rebound by M. Plumlee,,55,63
239,3,11:21.0,N. Vonleh misses 2-pt layup from 1 ft (block by J. Sullinger),,55,63
240,3,11:20.0,,Defensive rebound by I. Thomas,55,63
241,3,11:11.0,,J. Sullinger makes 2-pt layup at rim (assist by I. Thomas),55,65
242,3,10:59.0,C. McCollum misses 2-pt jump shot from 18 ft,,55,65
243,3,10:58.0,,Defensive rebound by J. Crowder,55,65
244,3,10:48.0,,J. Sullinger makes 2-pt hook shot from 10 ft,55,67
245,3,10:48.0,,Shooting foul by M. Plumlee (drawn by J. Sullinger),55,67
246,3,10:48.0,,J. Sullinger makes free throw 1 of 1,55,68
247,3,10:26.0,D. Lillard makes 3-pt jump shot from 26 ft,,58,68
248,3,10:08.0,,J. Crowder misses 3-pt jump shot from 23 ft,58,68
249,3,10:05.0,,Offensive rebound by A. Johnson,58,68
250,3,9:58.0,,I. Thomas misses 2-pt layup at rim,58,68
251,3,9:58.0,,Offensive rebound by A. Johnson,58,68
252,3,9:58.0,,A. Johnson misses 2-pt layup at rim,58,68
253,3,9:56.0,Defensive rebound by A. Aminu,,58,68
254,3,9:51.0,Shooting foul by A. Bradley (drawn by M. Plumlee),,58,68
255,3,9:51.0,M. Plumlee misses free throw 1 of 2,,58,68
256,3,9:51.0,Offensive rebound by Team,,58,68
257,3,9:51.0,M. Plumlee makes free throw 2 of 2,,59,68
258,3,9:40.0,,A. Johnson misses 2-pt jump shot from 3 ft (block by C. McCollum),59,68
259,3,9:39.0,,Offensive rebound by A. Johnson,59,68
260,3,9:37.0,,A. Johnson misses 2-pt layup at rim,59,68
261,3,9:37.0,,Offensive rebound by J. Sullinger,59,68
262,3,9:37.0,,J. Sullinger makes 2-pt layup at rim,59,70
263,3,9:37.0,Portland full timeout,,59,70
264,3,9:20.0,C. McCollum misses 2-pt jump shot from 3 ft,,59,70
265,3,9:19.0,Offensive rebound by N. Vonleh,,59,70
266,3,9:19.0,N. Vonleh misses 2-pt layup from 1 ft,,59,70
267,3,9:18.0,,Defensive rebound by I. Thomas,59,70
268,3,9:13.0,,A. Bradley misses 3-pt jump shot from 24 ft,59,70
269,3,9:12.0,,Offensive rebound by A. Johnson,59,70
270,3,9:12.0,,A. Johnson makes 2-pt layup at rim,59,72
271,3,8:53.0,D. Lillard misses 3-pt jump shot from 26 ft,,59,72
272,3,8:52.0,,Defensive rebound by J. Sullinger,59,72
273,3,8:31.0,,J. Sullinger makes 2-pt layup at rim,59,74
274,3,8:08.0,C. McCollum misses 3-pt jump shot from 25 ft,,59,74
275,3,8:06.0,,Defensive rebound by J. Crowder,59,74
276,3,8:04.0,,Personal take foul by C. McCollum (drawn by I. Thomas),59,74
277,3,8:04.0,M. Leonard enters the game for N. Vonleh,,59,74
278,3,7:49.0,,Personal foul by M. Leonard (drawn by I. Thomas),59,74
279,3,7:45.0,,J. Crowder misses 3-pt jump shot from 24 ft,59,74
280,3,7:44.0,Defensive rebound by D. Lillard,,59,74
281,3,7:36.0,Personal block foul by J. Sullinger (drawn by D. Lillard),,59,74
282,3,7:29.0,D. Lillard misses 2-pt jump shot from 5 ft,,59,74
283,3,7:28.0,,Defensive rebound by J. Sullinger,59,74
284,3,7:22.0,,I. Thomas makes 3-pt jump shot from 24 ft,59,77
285,3,6:52.0,M. Plumlee makes 2-pt layup at rim (assist by A. Aminu),,61,77
286,3,6:42.0,,I. Thomas misses 3-pt jump shot from 26 ft,61,77
287,3,6:41.0,Defensive rebound by A. Aminu,,61,77
288,3,6:28.0,C. McCollum misses 2-pt layup at rim,,61,77
289,3,6:26.0,,Defensive rebound by J. Crowder,61,77
290,3,6:13.0,,J. Crowder misses 3-pt jump shot from 26 ft,61,77
291,3,6:12.0,Defensive rebound by M. Plumlee,,61,77
292,3,6:02.0,D. Lillard misses 2-pt layup from 1 ft (block by A. Johnson),,61,77
293,3,6:01.0,,Defensive rebound by A. Bradley,61,77
294,3,5:57.0,,A. Bradley makes 2-pt jump shot from 18 ft,61,79
295,3,5:57.0,Portland full timeout,,61,79
296,3,5:57.0,A. Crabbe enters the game for A. Aminu,,61,79
297,3,5:40.0,Turnover by C. McCollum (lost ball; steal by A. Bradley),,61,79
298,3,5:39.0,,Shooting foul by M. Plumlee (drawn by A. Bradley),61,79
299,3,5:39.0,,A. Bradley makes free throw 1 of 2,61,80
300,3,5:39.0,,A. Bradley makes free throw 2 of 2,61,81
301,3,5:19.0,C. McCollum misses 2-pt jump shot from 19 ft,,61,81
302,3,5:19.0,,Defensive rebound by J. Crowder,61,81
303,3,4:56.0,,J. Sullinger misses 2-pt jump shot from 11 ft,61,81
304,3,4:54.0,Defensive rebound by A. Crabbe,,61,81
305,3,4:46.0,Turnover by D. Lillard (bad pass; steal by A. Bradley),,61,81
306,3,4:40.0,,I. Thomas makes 2-pt layup from 1 ft (assist by A. Bradley),61,83
307,3,4:16.0,M. Leonard misses 3-pt jump shot from 25 ft,,61,83
308,3,4:16.0,,Defensive rebound by J. Sullinger,61,83
309,3,4:05.0,E. Davis enters the game for M. Plumlee,,61,83
310,3,4:05.0,,E. Turner enters the game for I. Thomas,61,83
311,3,4:05.0,,M. Smart enters the game for A. Johnson,61,83
312,3,3:58.0,,M. Smart misses 3-pt jump shot from 23 ft,61,83
313,3,3:57.0,Defensive rebound by A. Crabbe,,61,83
314,3,3:38.0,M. Leonard misses 2-pt jump shot from 13 ft,,61,83
315,3,3:37.0,,Defensive rebound by J. Sullinger,61,83
316,3,3:32.0,,A. Bradley makes 2-pt layup from 1 ft (assist by J. Sullinger),61,85
317,3,3:18.0,D. Lillard makes 2-pt jump shot from 7 ft,,63,85
318,3,3:06.0,,E. Turner misses 2-pt jump shot from 17 ft,63,85
319,3,3:05.0,Defensive rebound by M. Leonard,,63,85
320,3,2:57.0,D. Lillard misses 3-pt jump shot from 28 ft,,63,85
321,3,2:56.0,,Defensive rebound by J. Crowder,63,85
322,3,2:44.0,,Shooting foul by C. McCollum (drawn by J. Crowder),63,85
323,3,2:44.0,,J. Crowder makes free throw 1 of 2,63,86
324,3,2:44.0,,T. Zeller enters the game for J. Sullinger,63,86
325,3,2:44.0,,J. Crowder makes free throw 2 of 2,63,87
326,3,2:22.0,Turnover by M. Leonard (bad pass),,63,87
327,3,2:11.0,,A. Bradley makes 2-pt jump shot from 20 ft (assist by T. Zeller),63,89
328,3,1:47.0,C. McCollum misses 2-pt jump shot from 7 ft,,63,89
329,3,1:46.0,,Defensive rebound by E. Turner,63,89
330,3,1:41.0,,Boston full timeout,63,89
331,3,1:41.0,M. Harkless enters the game for E. Davis,,63,89
332,3,1:28.0,,M. Smart misses 2-pt jump shot from 7 ft,63,89
333,3,1:27.0,Defensive rebound by M. Leonard,,63,89
334,3,1:11.0,M. Harkless makes 2-pt jump shot from 7 ft,,65,89
335,3,1:00.0,,T. Zeller makes 2-pt jump shot from 20 ft (assist by J. Crowder),65,91
336,3,0:50.0,Personal foul by A. Bradley (drawn by D. Lillard),,65,91
337,3,0:46.0,A. Crabbe makes 2-pt layup at rim (assist by M. Leonard),,67,91
338,3,0:29.0,,A. Bradley misses 3-pt jump shot from 24 ft,67,91
339,3,0:28.0,Defensive rebound by M. Leonard,,67,91
340,3,0:18.0,A. Crabbe misses 3-pt jump shot from 25 ft,,67,91
341,3,0:17.0,,Defensive rebound by J. Crowder,67,91
342,3,0:01.0,,M. Smart misses 3-pt jump shot from 25 ft,67,91
343,3,0:00.0,,Offensive rebound by Team,67,91
344,4,11:47.0,Turnover by M. Leonard (offensive foul),,67,91
345,4,11:47.0,Offensive foul by M. Leonard (drawn by I. Thomas),,67,91
346,4,11:32.0,,I. Thomas misses 2-pt jump shot from 4 ft (block by D. Lillard),67,91
347,4,11:31.0,,Offensive rebound by I. Thomas,67,91
348,4,11:25.0,,J. Jerebko misses 3-pt jump shot from 23 ft,67,91
349,4,11:24.0,Defensive rebound by M. Leonard,,67,91
350,4,11:14.0,M. Harkless misses 2-pt jump shot from 5 ft (block by J. Jerebko),,67,91
351,4,11:13.0,Offensive rebound by M. Harkless,,67,91
352,4,11:09.0,M. Harkless makes 3-pt jump shot from 24 ft,,70,91
353,4,10:50.0,,Shooting foul by M. Harkless (drawn by J. Jerebko),70,91
354,4,10:50.0,,J. Jerebko makes free throw 1 of 2,70,92
355,4,10:50.0,,J. Jerebko makes free throw 2 of 2,70,93
356,4,10:34.0,M. Leonard misses 2-pt jump shot from 18 ft,,70,93
357,4,10:33.0,,Defensive rebound by M. Smart,70,93
358,4,10:21.0,,M. Smart makes 2-pt layup at rim (assist by E. Turner),70,95
359,4,10:02.0,D. Lillard makes 3-pt jump shot from 27 ft (assist by M. Leonard),,73,95
360,4,9:44.0,,I. Thomas makes 2-pt layup from 1 ft,73,97
361,4,9:29.0,A. Crabbe misses 2-pt jump shot from 15 ft,,73,97
362,4,9:28.0,Offensive rebound by A. Crabbe,,73,97
363,4,9:25.0,M. Harkless misses 3-pt jump shot from 25 ft,,73,97
364,4,9:24.0,,Defensive rebound by M. Smart,73,97
365,4,9:15.0,,J. Jerebko misses 3-pt jump shot from 24 ft,73,97
366,4,9:14.0,Defensive rebound by M. Leonard,,73,97
367,4,9:06.0,A. Crabbe makes 3-pt jump shot from 24 ft (assist by D. Lillard),,76,97
368,4,8:45.0,,J. Jerebko makes 2-pt layup at rim (assist by E. Turner),76,99
369,4,8:17.0,M. Leonard makes 2-pt hook shot from 6 ft,,78,99
370,4,7:58.0,,J. Jerebko misses 2-pt dunk at rim,78,99
371,4,7:57.0,Defensive rebound by M. Leonard,,78,99
372,4,7:54.0,Turnover by M. Leonard (bad pass; steal by E. Turner),,78,99
373,4,7:45.0,,E. Turner makes 2-pt layup from 2 ft,78,101
374,4,7:45.0,Portland full timeout,,78,101
375,4,7:45.0,B. Roberts enters the game for C. McCollum,,78,101
376,4,7:45.0,N. Vonleh enters the game for D. Lillard,,78,101
377,4,7:45.0,P. Connaughton enters the game for M. Leonard,,78,101
378,4,7:31.0,N. Vonleh misses 2-pt jump shot from 17 ft,,78,101
379,4,7:30.0,,Defensive rebound by M. Smart,78,101
380,4,7:28.0,,I. Thomas makes 2-pt layup from 1 ft (assist by M. Smart),78,103
381,4,7:28.0,,Shooting foul by N. Vonleh (drawn by I. Thomas),78,103
382,4,7:28.0,,I. Thomas makes free throw 1 of 1,78,104
383,4,7:13.0,A. Crabbe misses 3-pt jump shot from 25 ft,,78,104
384,4,7:12.0,,Defensive rebound by T. Zeller,78,104
385,4,6:57.0,,Turnover by E. Turner (bad pass; steal by N. Vonleh),78,104
