,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,CLEVELAND_ACTION,MEMPHIS_SCORE,CLEVELAND_SCORE
89,1,1:52.0,V. Carter makes 2-pt jump shot from 17 ft (assist by J. Green),,26,19
90,1,1:26.0,,I. Shumpert makes 2-pt hook shot from 7 ft,26,21
91,1,1:13.0,V. Carter makes 3-pt jump shot from 25 ft (assist by J. Martin),,29,21
92,1,1:00.0,,T. Thompson makes 2-pt jump shot from 7 ft,29,23
93,1,0:44.0,L. Stephenson misses 2-pt jump shot from 15 ft,,29,23
94,1,0:43.0,,Defensive rebound by L. James,29,23
95,1,0:34.0,,L. James misses 2-pt layup from 1 ft,29,23
96,1,0:32.0,Defensive rebound by V. Carter,,29,23
97,1,0:31.0,Shooting foul by M. Dellavedova (drawn by J. Green),,29,23
98,1,0:31.0,J. Green makes free throw 1 of 2,,30,23
99,1,0:31.0,,C. Frye enters the game for K. Love,30,23
100,1,0:31.0,J. Green makes free throw 2 of 2,,31,23
101,1,0:15.0,,T. Thompson makes 2-pt jump shot from 12 ft (assist by C. Frye),31,25
102,1,0:01.0,L. Stephenson makes 2-pt jump shot from 20 ft,,33,25
103,2,11:48.0,,T. Thompson misses 2-pt layup from 2 ft (block by V. Carter),33,25
104,2,11:46.0,Defensive rebound by J. Green,,33,25
105,2,11:35.0,Turnover by V. Carter (bad pass),,33,25
106,2,11:20.0,,M. Dellavedova misses 2-pt jump shot from 10 ft,33,25
107,2,11:18.0,Defensive rebound by L. Stephenson,,33,25
108,2,11:05.0,J. Green misses 3-pt jump shot from 25 ft,,33,25
109,2,11:05.0,,Defensive rebound by I. Shumpert,33,25
110,2,10:50.0,,I. Shumpert misses 2-pt jump shot from 14 ft,33,25
111,2,10:50.0,Defensive rebound by J. Green,,33,25
112,2,10:41.0,Turnover by J. Martin (lost ball; steal by I. Shumpert),,33,25
113,2,10:38.0,,I. Shumpert makes 2-pt layup at rim,33,27
114,2,10:17.0,V. Carter misses 2-pt jump shot from 8 ft,,33,27
115,2,10:17.0,Offensive rebound by J. Green,,33,27
116,2,10:16.0,J. Green misses 2-pt layup from 3 ft (block by T. Thompson),,33,27
117,2,10:14.0,,Defensive rebound by M. Dellavedova,33,27
118,2,10:06.0,,K. Irving makes 3-pt jump shot from 24 ft (assist by C. Frye),33,30
119,2,9:58.0,Memphis full timeout,,33,30
120,2,9:58.0,R. Hollins enters the game for J. Martin,,33,30
121,2,9:50.0,L. Stephenson misses 2-pt jump shot from 17 ft,,33,30
122,2,9:49.0,,Defensive rebound by I. Shumpert,33,30
123,2,9:43.0,,T. Thompson makes 2-pt layup at rim (assist by I. Shumpert),33,32
124,2,9:43.0,,Shooting foul by R. Hollins (drawn by T. Thompson),33,32
125,2,9:43.0,,T. Thompson misses free throw 1 of 1,33,32
126,2,9:42.0,Defensive rebound by J. Green,,33,32
127,2,9:32.0,M. Chalmers makes 2-pt jump shot from 12 ft (assist by J. Green),,35,32
128,2,9:32.0,Shooting foul by K. Irving (drawn by M. Chalmers),,35,32
129,2,9:32.0,M. Chalmers makes free throw 1 of 1,,36,32
130,2,9:13.0,,Personal foul by M. Chalmers (drawn by T. Thompson),36,32
131,2,8:59.0,,I. Shumpert misses 3-pt jump shot from 24 ft,36,32
132,2,8:59.0,,Offensive rebound by C. Frye,36,32
133,2,8:53.0,,C. Frye misses 3-pt jump shot from 24 ft,36,32
134,2,8:53.0,Defensive rebound by L. Stephenson,,36,32
135,2,8:47.0,J. Green misses 2-pt layup at rim (block by C. Frye),,36,32
136,2,8:46.0,,Defensive rebound by I. Shumpert,36,32
137,2,8:37.0,,C. Frye makes 2-pt jump shot from 17 ft (assist by M. Dellavedova),36,34
138,2,8:24.0,Offensive foul by R. Hollins (drawn by T. Thompson),,36,34
139,2,8:24.0,Turnover by R. Hollins (offensive foul),,36,34
140,2,8:10.0,,Offensive foul by C. Frye (drawn by L. Stephenson),36,34
141,2,8:10.0,,Turnover by C. Frye (offensive foul),36,34
142,2,7:56.0,L. Stephenson makes 2-pt layup from 2 ft (assist by M. Chalmers),,38,34
143,2,7:45.0,,M. Dellavedova misses 2-pt jump shot from 6 ft,38,34
144,2,7:43.0,Defensive rebound by M. Chalmers,,38,34
145,2,7:39.0,L. Stephenson misses 2-pt layup from 1 ft,,38,34
146,2,7:37.0,,Defensive rebound by C. Frye,38,34
147,2,7:35.0,Offensive charge foul by T. Thompson (drawn by R. Hollins),,38,34
148,2,7:35.0,,Turnover by T. Thompson (offensive foul),38,34
149,2,7:35.0,,J. Smith enters the game for M. Dellavedova,38,34
150,2,7:35.0,T. Allen enters the game for V. Carter,,38,34
151,2,7:35.0,,K. Love enters the game for C. Frye,38,34
152,2,7:15.0,T. Allen misses 2-pt layup from 1 ft (block by T. Thompson),,38,34
153,2,7:13.0,,Defensive rebound by T. Thompson,38,34
154,2,7:04.0,,J. Smith misses 3-pt jump shot from 24 ft,38,34
155,2,7:02.0,,Offensive rebound by K. Love,38,34
156,2,7:01.0,,K. Love misses 2-pt layup from 1 ft (block by T. Allen),38,34
157,2,7:00.0,,Offensive rebound by K. Love,38,34
158,2,7:00.0,,Shooting foul by R. Hollins (drawn by K. Love),38,34
159,2,7:00.0,,K. Love makes free throw 1 of 2,38,35
160,2,7:00.0,J. Martin enters the game for R. Hollins,,38,35
161,2,7:00.0,,K. Love makes free throw 2 of 2,38,36
162,2,6:47.0,M. Chalmers misses 2-pt jump shot from 5 ft (block by K. Love),,38,36
163,2,6:46.0,,Defensive rebound by T. Thompson,38,36
164,2,6:40.0,,K. Irving makes 2-pt layup at rim,38,38
165,2,6:22.0,J. Green misses 3-pt jump shot from 24 ft,,38,38
166,2,6:21.0,Offensive rebound by Team,,38,38
167,2,6:16.0,M. Chalmers makes 2-pt layup at rim (assist by T. Allen),,40,38
168,2,6:16.0,Shooting foul by T. Thompson (drawn by M. Chalmers),,40,38
169,2,6:16.0,,L. James enters the game for T. Thompson,40,38
170,2,6:16.0,M. Chalmers misses free throw 1 of 1,,40,38
171,2,6:15.0,,Defensive rebound by L. James,40,38
172,2,5:58.0,,K. Love misses 2-pt jump shot from 13 ft,40,38
173,2,5:57.0,Defensive rebound by J. Green,,40,38
174,2,5:48.0,L. Stephenson misses 2-pt dunk at rim,,40,38
175,2,5:45.0,,Defensive rebound by L. James,40,38
176,2,5:45.0,Official timeout,,40,38
177,2,5:45.0,Technical foul by L. Stephenson,,40,38
178,2,5:45.0,P. Hairston enters the game for L. Stephenson,,40,38
179,2,5:45.0,,K. Irving misses technical free throw,40,38
180,2,5:45.0,,Offensive rebound by Team,40,38
181,2,5:45.0,,Turnover by K. Love (bad pass; steal by J. Green),40,38
182,2,5:42.0,J. Green misses 2-pt layup from 2 ft (block by K. Irving),,40,38
183,2,5:41.0,Offensive rebound by P. Hairston,,40,38
184,2,5:39.0,P. Hairston makes 2-pt layup from 1 ft,,42,38
185,2,5:24.0,,Personal foul by T. Allen (drawn by K. Irving),42,38
186,2,5:18.0,,Personal foul by T. Allen (drawn by K. Love),42,38
187,2,5:18.0,,K. Love makes free throw 1 of 2,42,39
188,2,5:18.0,,K. Love makes free throw 2 of 2,42,40
189,2,5:01.0,M. Chalmers makes 2-pt jump shot from 4 ft,,44,40
190,2,4:47.0,,Turnover by L. James (bad pass; steal by J. Green),44,40
191,2,4:45.0,T. Allen makes 2-pt layup at rim,,46,40
192,2,4:45.0,Shooting foul by I. Shumpert (drawn by T. Allen),,46,40
193,2,4:45.0,T. Allen makes free throw 1 of 1,,47,40
194,2,4:34.0,,Turnover by K. Love (bad pass; steal by M. Chalmers),47,40
195,2,4:26.0,P. Hairston misses 3-pt jump shot from 22 ft,,47,40
196,2,4:23.0,Offensive rebound by J. Green,,47,40
197,2,4:23.0,J. Green misses 2-pt layup from 1 ft,,47,40
198,2,4:19.0,,Defensive rebound by K. Love,47,40
199,2,4:19.0,,Shooting foul by J. Martin (drawn by L. James),47,40
200,2,4:19.0,Technical foul by P. Hairston,,47,40
201,2,4:19.0,,K. Irving makes technical free throw,47,41
202,2,4:19.0,,T. Mozgov enters the game for K. Irving,47,41
203,2,4:19.0,,M. Dellavedova enters the game for I. Shumpert,47,41
204,2,4:19.0,V. Carter enters the game for J. Martin,,47,41
205,2,4:19.0,,L. James misses free throw 1 of 2,47,41
206,2,4:19.0,,Offensive rebound by Team,47,41
207,2,4:19.0,,L. James makes free throw 2 of 2,47,42
208,2,4:02.0,Shooting foul by T. Mozgov (drawn by J. Green),,47,42
209,2,4:02.0,J. Green makes free throw 1 of 2,,48,42
210,2,4:02.0,J. Green makes free throw 2 of 2,,49,42
211,2,3:51.0,,Personal foul by V. Carter (drawn by K. Love),49,42
212,2,3:51.0,,K. Love makes free throw 1 of 2,49,43
213,2,3:51.0,,K. Love makes free throw 2 of 2,49,44
214,2,3:38.0,M. Chalmers makes 2-pt layup at rim (assist by J. Green),,51,44
215,2,3:30.0,,Turnover by M. Dellavedova (bad pass; steal by J. Green),51,44
216,2,3:26.0,J. Green makes 2-pt dunk at rim,,53,44
217,2,3:26.0,,Cleveland full timeout,53,44
218,2,3:05.0,,J. Smith misses 3-pt jump shot from 26 ft,53,44
219,2,3:05.0,,Offensive rebound by J. Smith,53,44
220,2,2:55.0,,J. Smith misses 3-pt jump shot from 26 ft,53,44
221,2,2:55.0,,Offensive rebound by T. Mozgov,53,44
222,2,2:47.0,,K. Love misses 3-pt jump shot from 23 ft,53,44
223,2,2:46.0,Defensive rebound by T. Allen,,53,44
224,2,2:39.0,T. Allen makes 2-pt layup at rim,,55,44
225,2,2:27.0,,L. James makes 2-pt layup from 1 ft (assist by M. Dellavedova),55,46
226,2,2:14.0,V. Carter makes 3-pt jump shot from 28 ft (assist by M. Chalmers),,58,46
227,2,1:56.0,,Turnover by T. Mozgov (lost ball; steal by V. Carter),58,46
228,2,1:47.0,Memphis full timeout,,58,46
229,2,1:47.0,,I. Shumpert enters the game for T. Mozgov,58,46
230,2,1:47.0,L. Stephenson enters the game for J. Green,,58,46
231,2,1:47.0,J. Martin enters the game for T. Allen,,58,46
232,2,1:39.0,Turnover by V. Carter (traveling),,58,46
233,2,1:23.0,,L. James makes 2-pt layup at rim (assist by M. Dellavedova),58,48
234,2,1:23.0,,Shooting foul by P. Hairston (drawn by L. James),58,48
235,2,1:23.0,,L. James makes free throw 1 of 1,58,49
236,2,0:59.0,M. Chalmers misses 2-pt jump shot from 16 ft,,58,49
237,2,0:58.0,,Defensive rebound by K. Love,58,49
238,2,0:55.0,,L. James misses 2-pt jump shot from 3 ft (block by P. Hairston),58,49
239,2,0:55.0,,Offensive rebound by Team,58,49
240,2,0:55.0,,Offensive foul by M. Dellavedova (drawn by M. Chalmers),58,49
241,2,0:55.0,,Turnover by M. Dellavedova (offensive foul),58,49
242,2,0:42.0,J. Martin misses 2-pt layup from 1 ft,,58,49
243,2,0:39.0,,Defensive rebound by J. Smith,58,49
244,2,0:35.0,,Offensive foul by L. James (drawn by J. Martin),58,49
245,2,0:35.0,,Turnover by L. James (offensive foul),58,49
246,2,0:24.0,M. Chalmers misses 3-pt jump shot from 23 ft,,58,49
247,2,0:22.0,Offensive rebound by J. Martin,,58,49
248,2,0:04.0,M. Chalmers misses 2-pt jump shot from 13 ft,,58,49
249,2,0:02.0,,Defensive rebound by M. Dellavedova,58,49
250,3,11:51.0,,J. Smith makes 3-pt jump shot from 24 ft (assist by K. Irving),58,52
251,3,11:32.0,P. Hairston misses 3-pt jump shot from 29 ft,,58,52
252,3,11:31.0,,Defensive rebound by L. James,58,52
253,3,11:27.0,,Cleveland full timeout,58,52
254,3,11:09.0,,K. Love misses 3-pt jump shot from 22 ft,58,52
255,3,11:09.0,Defensive rebound by J. Green,,58,52
256,3,10:53.0,P. Hairston misses 2-pt jump shot from 10 ft,,58,52
257,3,10:52.0,Offensive rebound by J. Green,,58,52
258,3,10:48.0,J. Green makes 2-pt layup from 1 ft,,60,52
259,3,10:42.0,,Shooting foul by R. Hollins (drawn by K. Irving),60,52
260,3,10:42.0,,K. Irving makes free throw 1 of 2,60,53
261,3,10:42.0,,K. Irving makes free throw 2 of 2,60,54
262,3,10:28.0,M. Chalmers misses 2-pt jump shot from 8 ft,,60,54
263,3,10:25.0,,Defensive rebound by K. Love,60,54
264,3,10:11.0,,L. James makes 2-pt layup from 2 ft (assist by K. Irving),60,56
265,3,9:53.0,T. Allen misses 2-pt jump shot from 15 ft,,60,56
266,3,9:53.0,,Defensive rebound by K. Irving,60,56
267,3,9:48.0,,Turnover by K. Irving (bad pass; steal by M. Chalmers),60,56
268,3,9:42.0,T. Allen makes 2-pt dunk at rim (assist by M. Chalmers),,62,56
269,3,9:28.0,,J. Smith misses 3-pt jump shot from 25 ft,62,56
270,3,9:28.0,,Offensive rebound by Team,62,56
271,3,9:28.0,Loose ball foul by R. Hollins (drawn by K. Love),,62,56
272,3,9:28.0,V. Carter enters the game for R. Hollins,,62,56
273,3,9:19.0,,Turnover by K. Love (lost ball; steal by T. Allen),62,56
274,3,9:10.0,T. Allen makes 2-pt jump shot from 4 ft,,64,56
275,3,9:00.0,,Turnover by K. Irving (bad pass),64,56
276,3,8:45.0,M. Chalmers misses 3-pt jump shot from 23 ft,,64,56
277,3,8:44.0,,Defensive rebound by K. Love,64,56
278,3,8:43.0,Personal foul by M. Dellavedova (drawn by M. Chalmers),,64,56
279,3,8:43.0,,Personal foul by M. Chalmers,64,56
280,3,8:34.0,,Turnover by M. Dellavedova (bad pass; steal by V. Carter),64,56
281,3,8:26.0,V. Carter misses 3-pt jump shot from 24 ft,,64,56
282,3,8:23.0,Offensive rebound by T. Allen,,64,56
283,3,8:18.0,Turnover by T. Allen (bad pass; steal by K. Irving),,64,56
284,3,8:13.0,,L. James misses 2-pt layup from 2 ft (block by J. Green),64,56
285,3,8:12.0,,Offensive rebound by L. James,64,56
286,3,8:03.0,,L. James makes 2-pt dunk at rim,64,58
287,3,7:55.0,T. Allen makes 2-pt layup at rim,,66,58
288,3,7:42.0,,Turnover by K. Irving (bad pass; steal by T. Allen),66,58
289,3,7:39.0,Shooting foul by J. Smith (drawn by P. Hairston),,66,58
290,3,7:39.0,P. Hairston makes free throw 1 of 2,,67,58
291,3,7:39.0,P. Hairston makes free throw 2 of 2,,68,58
292,3,7:31.0,,K. Irving makes 2-pt layup at rim,68,60
293,3,7:12.0,Personal foul by J. Smith (drawn by M. Chalmers),,68,60
294,3,7:06.0,Shooting foul by J. Smith (drawn by V. Carter),,68,60
295,3,7:06.0,V. Carter makes free throw 1 of 2,,69,60
296,3,7:06.0,V. Carter misses free throw 2 of 2,,69,60
297,3,7:05.0,,Defensive rebound by J. Smith,69,60
298,3,6:50.0,,K. Love misses 2-pt layup from 1 ft,69,60
299,3,6:49.0,Defensive rebound by P. Hairston,,69,60
300,3,6:48.0,,Technical foul by K. Love,69,60
301,3,6:48.0,P. Hairston makes technical free throw,,70,60
302,3,6:37.0,T. Allen makes 2-pt layup from 1 ft (assist by M. Chalmers),,72,60
303,3,6:20.0,,J. Smith makes 2-pt layup from 1 ft (assist by L. James),72,62
304,3,5:53.0,V. Carter misses 2-pt jump shot from 5 ft,,72,62
305,3,5:53.0,Offensive rebound by J. Green,,72,62
306,3,5:53.0,J. Green makes 2-pt dunk at rim,,74,62
307,3,5:46.0,,Personal foul by T. Allen (drawn by M. Dellavedova),74,62
308,3,5:46.0,,I. Shumpert enters the game for M. Dellavedova,74,62
309,3,5:46.0,,T. Thompson enters the game for K. Love,74,62
310,3,5:39.0,,Turnover by K. Irving (lost ball; steal by M. Chalmers),74,62
311,3,5:34.0,T. Allen misses 2-pt layup from 1 ft,,74,62
312,3,5:31.0,,Defensive rebound by L. James,74,62
313,3,5:16.0,,I. Shumpert makes 3-pt jump shot from 25 ft (assist by L. James),74,65
314,3,4:58.0,M. Chalmers makes 3-pt jump shot from 24 ft (assist by V. Carter),,77,65
315,3,4:45.0,,J. Smith misses 3-pt jump shot from 23 ft,77,65
316,3,4:45.0,Defensive rebound by J. Green,,77,65
317,3,4:24.0,V. Carter makes 2-pt jump shot from 4 ft (assist by M. Chalmers),,79,65
318,3,4:10.0,,K. Irving misses 3-pt jump shot from 26 ft,79,65
319,3,4:10.0,Defensive rebound by M. Chalmers,,79,65
320,3,4:03.0,T. Allen misses 2-pt layup from 3 ft (block by J. Smith),,79,65
321,3,4:02.0,,Defensive rebound by L. James,79,65
322,3,3:59.0,,Shooting foul by V. Carter (drawn by L. James),79,65
323,3,3:59.0,,L. James makes free throw 1 of 2,79,66
324,3,3:59.0,J. Martin enters the game for J. Green,,79,66
325,3,3:59.0,,M. Dellavedova enters the game for K. Irving,79,66
326,3,3:59.0,,R. Jefferson enters the game for J. Smith,79,66
327,3,3:59.0,,L. James makes free throw 2 of 2,79,67
328,3,3:45.0,V. Carter misses 2-pt jump shot from 19 ft,,79,67
329,3,3:45.0,,Defensive rebound by Team,79,67
330,3,3:45.0,Loose ball foul by T. Allen (drawn by I. Shumpert),,79,67
331,3,3:45.0,,I. Shumpert makes free throw 1 of 2,79,68
332,3,3:45.0,L. Stephenson enters the game for T. Allen,,79,68
333,3,3:45.0,,I. Shumpert makes free throw 2 of 2,79,69
334,3,3:28.0,Turnover by J. Martin (offensive foul),,79,69
335,3,3:28.0,,Offensive charge foul by J. Martin (drawn by L. James),79,69
336,3,3:13.0,,M. Dellavedova misses 3-pt jump shot from 25 ft,79,69
337,3,3:13.0,Defensive rebound by V. Carter,,79,69
338,3,3:10.0,Memphis full timeout,,79,69
339,3,2:50.0,L. Stephenson makes 3-pt jump shot from 25 ft (assist by M. Chalmers),,82,69
340,3,2:25.0,,M. Dellavedova misses 3-pt jump shot from 25 ft,82,69
341,3,2:25.0,Defensive rebound by L. Stephenson,,82,69
342,3,2:17.0,Turnover by L. Stephenson (bad pass; steal by L. James),,82,69
343,3,2:11.0,,L. James makes 2-pt dunk at rim,82,71
344,3,1:46.0,Turnover by Team (shot clock),,82,71
345,3,1:30.0,,R. Jefferson misses 3-pt jump shot from 22 ft,82,71
346,3,1:30.0,,Offensive rebound by Team,82,71
347,3,1:30.0,Loose ball foul by J. Martin (drawn by T. Thompson),,82,71
348,3,1:30.0,,T. Thompson makes free throw 1 of 2,82,72
349,3,1:30.0,,K. Irving enters the game for L. James,82,72
350,3,1:30.0,,T. Thompson misses free throw 2 of 2,82,72
351,3,1:28.0,,Offensive rebound by R. Jefferson,82,72
352,3,1:13.0,,K. Irving makes 2-pt jump shot from 8 ft (assist by R. Jefferson),82,74
353,3,0:55.0,Turnover by M. Chalmers (lost ball; steal by K. Irving),,82,74
354,3,0:49.0,,Turnover by M. Dellavedova (bad pass),82,74
355,3,0:29.0,V. Carter misses 3-pt jump shot from 26 ft,,82,74
356,3,0:28.0,,Defensive rebound by K. Irving,82,74
357,3,0:09.0,Offensive charge foul by K. Irving (drawn by M. Chalmers),,82,74
358,3,0:09.0,,Turnover by K. Irving (offensive foul),82,74
359,3,0:09.0,J. Green enters the game for J. Martin,,82,74
360,3,0:09.0,,J. Smith enters the game for M. Dellavedova,82,74
361,3,0:05.0,Personal foul by R. Jefferson (drawn by M. Chalmers),,82,74
362,3,0:00.0,J. Green misses 2-pt jump shot from 5 ft,,82,74
363,3,0:00.0,,Defensive rebound by T. Thompson,82,74
364,4,11:44.0,L. Stephenson makes 2-pt layup from 2 ft,,84,74
365,4,11:27.0,,Shooting foul by V. Carter (drawn by K. Irving),84,74
366,4,11:27.0,,K. Irving makes free throw 1 of 2,84,75
367,4,11:27.0,,K. Irving makes free throw 2 of 2,84,76
368,4,11:07.0,P. Hairston misses 2-pt jump shot from 5 ft (block by T. Thompson),,84,76
369,4,11:06.0,,Defensive rebound by R. Jefferson,84,76
370,4,11:02.0,,R. Jefferson makes 2-pt layup from 1 ft (assist by K. Irving),84,78
371,4,10:42.0,P. Hairston misses 3-pt jump shot from 25 ft,,84,78
372,4,10:41.0,Offensive rebound by V. Carter,,84,78
373,4,10:30.0,Turnover by V. Carter (bad pass; steal by R. Jefferson),,84,78
374,4,10:23.0,,M. Dellavedova makes 2-pt jump shot from 7 ft (assist by R. Jefferson),84,80
375,4,10:23.0,Memphis full timeout,,84,80
376,4,10:23.0,T. Allen enters the game for P. Hairston,,84,80
377,4,10:09.0,L. Stephenson misses 2-pt jump shot from 17 ft,,84,80
378,4,10:09.0,,Defensive rebound by T. Thompson,84,80
379,4,10:03.0,,Turnover by K. Irving (lost ball; steal by L. Stephenson),84,80
380,4,10:00.0,L. Stephenson makes 2-pt layup at rim,,86,80
381,4,10:00.0,Shooting foul by R. Jefferson (drawn by L. Stephenson),,86,80
382,4,10:00.0,L. Stephenson misses free throw 1 of 1,,86,80
383,4,10:00.0,,Defensive rebound by I. Shumpert,86,80
384,4,9:38.0,,R. Jefferson misses 2-pt jump shot from 9 ft,86,80
385,4,9:36.0,Defensive rebound by L. Stephenson,,86,80
386,4,9:25.0,J. Green makes 2-pt jump shot from 14 ft (assist by L. Stephenson),,88,80
387,4,9:10.0,,M. Dellavedova misses 3-pt jump shot from 23 ft,88,80
388,4,9:09.0,Defensive rebound by V. Carter,,88,80
389,4,8:52.0,T. Allen makes 2-pt layup at rim (assist by J. Green),,90,80
390,4,8:52.0,,Cleveland full timeout,90,80
391,4,8:52.0,P. Hairston enters the game for M. Chalmers,,90,80
392,4,8:52.0,R. Hollins enters the game for V. Carter,,90,80
