,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MILWAUKEE_ACTION,MEMPHIS_SCORE,MILWAUKEE_SCORE
77,1,2:39.0,Defensive rebound by M. Barnes,,27,24
78,1,2:22.0,M. Barnes makes 3-pt jump shot from 24 ft (assist by B. Weber),,30,24
79,1,2:03.0,,Shooting foul by J. Martin (drawn by D. Inglis),30,24
80,1,2:03.0,,D. Inglis makes free throw 1 of 2,30,25
81,1,2:03.0,,M. Plumlee enters the game for G. Monroe,30,25
82,1,2:03.0,,D. Inglis makes free throw 2 of 2,30,26
83,1,1:42.0,Turnover by J. Martin (bad pass; steal by G. Antetokounmpo),,30,26
84,1,1:36.0,,D. Inglis makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),30,28
85,1,1:29.0,Memphis full timeout,,30,28
86,1,1:22.0,B. Weber misses 2-pt jump shot from 9 ft (block by R. Vaughn),,30,28
87,1,1:20.0,Offensive rebound by B. Weber,,30,28
88,1,1:16.0,B. Weber misses 2-pt hook shot from 7 ft,,30,28
89,1,1:15.0,,Defensive rebound by M. Plumlee,30,28
90,1,1:06.0,,M. Plumlee makes 2-pt dunk at rim (assist by G. Antetokounmpo),30,30
91,1,0:42.0,Turnover by R. McCallum (bad pass),,30,30
92,1,0:32.0,,T. Ennis misses 2-pt layup at rim (block by A. Stepheson),30,30
93,1,0:31.0,Defensive rebound by B. Weber,,30,30
94,1,0:12.0,M. Barnes makes 2-pt layup at rim,,32,30
95,1,0:06.0,,G. Antetokounmpo makes 2-pt jump shot from 4 ft,32,32
96,1,0:02.0,M. Barnes misses 3-pt jump shot from 27 ft,,32,32
97,1,0:00.0,Offensive rebound by Team,,32,32
98,2,11:46.0,,T. Ennis misses 2-pt layup from 1 ft,32,32
99,2,11:45.0,,Offensive rebound by M. Plumlee,32,32
100,2,11:45.0,,M. Plumlee makes 2-pt layup at rim,32,34
101,2,11:29.0,L. Stephenson misses 2-pt jump shot from 16 ft,,32,34
102,2,11:27.0,Offensive rebound by J. Green,,32,34
103,2,11:21.0,J. Green misses 2-pt layup from 4 ft,,32,34
104,2,11:19.0,,Defensive rebound by D. Inglis,32,34
105,2,11:16.0,,Personal foul by L. Stephenson,32,34
106,2,11:10.0,,Turnover by R. Vaughn (lost ball; steal by X. Munford),32,34
107,2,10:59.0,L. Stephenson misses 2-pt jump shot from 12 ft,,32,34
108,2,10:58.0,,Defensive rebound by R. Vaughn,32,34
109,2,10:43.0,,Turnover by R. Vaughn (bad pass),32,34
110,2,10:33.0,X. Munford misses 2-pt jump shot from 14 ft,,32,34
111,2,10:31.0,,Defensive rebound by M. Plumlee,32,34
112,2,10:16.0,,J. Parker misses 2-pt jump shot from 19 ft,32,34
113,2,10:15.0,Defensive rebound by A. Stepheson,,32,34
114,2,10:10.0,R. McCallum misses 2-pt layup from 1 ft (block by D. Inglis),,32,34
115,2,10:10.0,Offensive rebound by Team,,32,34
116,2,10:02.0,R. McCallum makes 2-pt jump shot from 10 ft (assist by J. Green),,34,34
117,2,9:44.0,,M. Plumlee makes 2-pt hook shot from 6 ft,34,36
118,2,9:30.0,L. Stephenson makes 2-pt layup from 4 ft,,36,36
119,2,9:30.0,Shooting foul by M. Plumlee (drawn by L. Stephenson),,36,36
120,2,9:30.0,R. Hollins enters the game for A. Stepheson,,36,36
121,2,9:30.0,L. Stephenson makes free throw 1 of 1,,37,36
122,2,9:17.0,,M. Plumlee misses 2-pt hook shot from 5 ft,37,36
123,2,9:16.0,,Offensive rebound by Team,37,36
124,2,9:16.0,Loose ball foul by X. Munford,,37,36
125,2,9:12.0,,J. Parker misses 2-pt jump shot from 16 ft,37,36
126,2,9:11.0,Defensive rebound by L. Stephenson,,37,36
127,2,9:00.0,R. Hollins makes 2-pt hook shot from 11 ft (assist by L. Stephenson),,39,36
128,2,8:40.0,,J. Parker misses 3-pt jump shot from 24 ft,39,36
129,2,8:38.0,Defensive rebound by L. Stephenson,,39,36
130,2,8:29.0,R. Hollins misses 2-pt hook shot from 6 ft,,39,36
131,2,8:27.0,,Defensive rebound by J. Parker,39,36
132,2,8:24.0,,Milwaukee full timeout,39,36
133,2,8:24.0,,J. Bayless enters the game for D. Inglis,39,36
134,2,8:24.0,,K. Middleton enters the game for T. Ennis,39,36
135,2,8:19.0,,Shooting foul by J. Green (drawn by J. Parker),39,36
136,2,8:19.0,,J. Parker misses free throw 1 of 2,39,36
137,2,8:19.0,,Offensive rebound by Team,39,36
138,2,8:19.0,,J. Parker makes free throw 2 of 2,39,37
139,2,8:05.0,X. Munford misses 2-pt jump shot from 7 ft,,39,37
140,2,8:04.0,,Defensive rebound by R. Vaughn,39,37
141,2,7:56.0,,Turnover by K. Middleton (lost ball; steal by X. Munford),39,37
142,2,7:37.0,L. Stephenson misses 2-pt jump shot from 15 ft,,39,37
143,2,7:36.0,,Defensive rebound by M. Plumlee,39,37
144,2,7:25.0,,J. Bayless makes 2-pt jump shot from 17 ft (assist by M. Plumlee),39,39
145,2,7:02.0,L. Stephenson makes 2-pt jump shot from 18 ft,,41,39
146,2,6:47.0,,J. Parker misses 2-pt layup from 2 ft,41,39
147,2,6:45.0,Defensive rebound by R. Hollins,,41,39
148,2,6:39.0,J. Green makes 2-pt dunk at rim (assist by L. Stephenson),,43,39
149,2,6:23.0,,R. Vaughn misses 2-pt dunk at rim,43,39
150,2,6:20.0,,Offensive rebound by K. Middleton,43,39
151,2,6:15.0,,K. Middleton misses 3-pt jump shot from 26 ft,43,39
152,2,6:13.0,Defensive rebound by X. Munford,,43,39
153,2,5:53.0,Turnover by X. Munford (bad pass),,43,39
154,2,5:53.0,Official timeout,,43,39
155,2,5:53.0,,G. Monroe enters the game for R. Vaughn,43,39
156,2,5:53.0,,G. Antetokounmpo enters the game for M. Plumlee,43,39
157,2,5:53.0,T. Allen enters the game for X. Munford,,43,39
158,2,5:39.0,,J. Bayless misses 2-pt jump shot from 4 ft,43,39
159,2,5:38.0,Defensive rebound by R. Hollins,,43,39
160,2,5:17.0,L. Stephenson makes 2-pt layup from 1 ft,,45,39
161,2,5:03.0,,Turnover by J. Bayless (bad pass; steal by L. Stephenson),45,39
162,2,5:00.0,Turnover by L. Stephenson (lost ball),,45,39
163,2,4:50.0,,G. Antetokounmpo misses 3-pt jump shot from 25 ft,45,39
164,2,4:48.0,Defensive rebound by T. Allen,,45,39
165,2,4:33.0,R. McCallum misses 2-pt jump shot from 21 ft,,45,39
166,2,4:32.0,Offensive rebound by R. Hollins,,45,39
167,2,4:19.0,Turnover by R. McCallum (bad pass),,45,39
168,2,3:55.0,,Shooting foul by T. Allen (drawn by J. Bayless),45,39
169,2,3:55.0,,J. Bayless misses free throw 1 of 2,45,39
170,2,3:55.0,,Offensive rebound by Team,45,39
171,2,3:55.0,M. Barnes enters the game for R. McCallum,,45,39
172,2,3:55.0,,J. Bayless misses free throw 2 of 2,45,39
173,2,3:53.0,Defensive rebound by R. Hollins,,45,39
174,2,3:31.0,L. Stephenson makes 2-pt jump shot from 18 ft,,47,39
175,2,3:13.0,,J. Parker misses 2-pt jump shot from 3 ft,47,39
176,2,3:12.0,Defensive rebound by R. Hollins,,47,39
177,2,2:56.0,T. Allen misses 2-pt jump shot from 10 ft,,47,39
178,2,2:54.0,,Defensive rebound by G. Monroe,47,39
179,2,2:31.0,,Turnover by G. Antetokounmpo (bad pass; steal by J. Green),47,39
180,2,2:29.0,T. Allen makes 2-pt dunk from 2 ft (assist by M. Barnes),,49,39
181,2,2:29.0,,Milwaukee full timeout,49,39
182,2,2:29.0,Memphis full timeout,,49,39
183,2,2:29.0,J. Martin enters the game for R. Hollins,,49,39
184,2,2:29.0,,J. Henson enters the game for J. Parker,49,39
185,2,2:13.0,,G. Monroe misses 2-pt layup from 2 ft,49,39
186,2,2:11.0,,Offensive rebound by G. Antetokounmpo,49,39
187,2,2:11.0,,G. Antetokounmpo makes 2-pt layup from 4 ft,49,41
188,2,2:03.0,Personal foul by G. Antetokounmpo,,49,41
189,2,1:51.0,J. Green misses 2-pt hook shot from 5 ft,,49,41
190,2,1:51.0,Offensive rebound by T. Allen,,49,41
191,2,1:48.0,T. Allen misses 2-pt layup from 2 ft (block by J. Henson),,49,41
192,2,1:47.0,,Defensive rebound by G. Antetokounmpo,49,41
193,2,1:38.0,,K. Middleton makes 2-pt layup from 3 ft (assist by G. Antetokounmpo),49,43
194,2,1:14.0,L. Stephenson misses 2-pt jump shot from 8 ft (block by G. Monroe),,49,43
195,2,1:13.0,Offensive rebound by J. Green,,49,43
196,2,1:13.0,J. Green makes 2-pt layup from 1 ft,,51,43
197,2,0:56.0,,K. Middleton makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),51,46
198,2,0:35.0,T. Allen makes 2-pt layup from 1 ft (assist by L. Stephenson),,53,46
199,2,0:30.0,,Personal foul by T. Allen,53,46
200,2,0:30.0,,G. Antetokounmpo misses free throw 1 of 2,53,46
201,2,0:30.0,,Offensive rebound by Team,53,46
202,2,0:30.0,X. Munford enters the game for T. Allen,,53,46
203,2,0:30.0,,G. Antetokounmpo makes free throw 2 of 2,53,47
204,2,0:09.0,M. Barnes misses 3-pt jump shot from 24 ft,,53,47
205,2,0:08.0,,Defensive rebound by G. Monroe,53,47
206,2,0:03.0,,K. Middleton misses 3-pt jump shot from 24 ft,53,47
207,2,0:00.0,,Offensive rebound by J. Henson,53,47
208,3,11:52.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by J. Bayless),53,49
209,3,11:32.0,M. Barnes misses 3-pt jump shot from 24 ft,,53,49
210,3,11:31.0,,Defensive rebound by J. Bayless,53,49
211,3,11:18.0,,K. Middleton makes 2-pt jump shot from 6 ft (assist by G. Antetokounmpo),53,51
212,3,11:06.0,Personal foul by K. Middleton,,53,51
213,3,10:51.0,L. Stephenson misses 2-pt jump shot from 19 ft,,53,51
214,3,10:50.0,,Defensive rebound by G. Antetokounmpo,53,51
215,3,10:37.0,,G. Monroe makes 2-pt layup from 1 ft,53,53
216,3,10:37.0,,Shooting foul by R. Hollins (drawn by G. Monroe),53,53
217,3,10:37.0,,G. Monroe makes free throw 1 of 1,53,54
218,3,10:19.0,J. Green makes 2-pt dunk at rim (assist by T. Allen),,55,54
219,3,10:04.0,,J. Bayless misses 3-pt jump shot from 24 ft,55,54
220,3,10:03.0,Defensive rebound by R. Hollins,,55,54
221,3,9:47.0,J. Green misses 2-pt layup at rim,,55,54
222,3,9:45.0,,Defensive rebound by G. Monroe,55,54
223,3,9:35.0,,G. Monroe makes 2-pt hook shot from 3 ft (assist by G. Antetokounmpo),55,56
224,3,9:18.0,R. Hollins misses 2-pt dunk at rim (block by G. Antetokounmpo),,55,56
225,3,9:18.0,Offensive rebound by Team,,55,56
226,3,9:12.0,R. Hollins misses 2-pt layup from 2 ft (block by J. Parker),,55,56
227,3,9:12.0,Offensive rebound by Team,,55,56
228,3,9:09.0,M. Barnes misses 3-pt jump shot from 25 ft,,55,56
229,3,9:08.0,,Defensive rebound by G. Monroe,55,56
230,3,8:46.0,,J. Parker misses 2-pt layup from 2 ft,55,56
231,3,8:45.0,Defensive rebound by R. Hollins,,55,56
232,3,8:35.0,J. Green misses 2-pt layup from 1 ft,,55,56
233,3,8:32.0,,Defensive rebound by G. Antetokounmpo,55,56
234,3,8:27.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,55,58
235,3,8:27.0,Memphis full timeout,,55,58
236,3,8:06.0,R. Hollins makes 2-pt dunk at rim (assist by T. Allen),,57,58
237,3,7:47.0,,Shooting foul by L. Stephenson (drawn by J. Bayless),57,58
238,3,7:47.0,,J. Bayless makes free throw 1 of 2,57,59
239,3,7:47.0,,J. Bayless makes free throw 2 of 2,57,60
240,3,7:23.0,Turnover by Team (shot clock),,57,60
241,3,7:10.0,,K. Middleton misses 2-pt jump shot from 20 ft,57,60
242,3,7:08.0,Defensive rebound by M. Barnes,,57,60
243,3,6:47.0,Shooting foul by J. Bayless (drawn by T. Allen),,57,60
244,3,6:47.0,T. Allen makes free throw 1 of 2,,58,60
245,3,6:47.0,J. Martin enters the game for J. Green,,58,60
246,3,6:47.0,B. Weber enters the game for R. Hollins,,58,60
247,3,6:47.0,T. Allen makes free throw 2 of 2,,59,60
248,3,6:31.0,,Turnover by G. Monroe (bad pass; steal by T. Allen),59,60
249,3,6:19.0,L. Stephenson makes 2-pt hook shot from 3 ft,,61,60
250,3,6:01.0,,G. Monroe makes 2-pt hook shot from 4 ft (assist by G. Antetokounmpo),61,62
251,3,5:40.0,M. Barnes misses 2-pt hook shot from 6 ft,,61,62
252,3,5:39.0,,Defensive rebound by G. Monroe,61,62
253,3,5:31.0,,Shooting foul by M. Barnes (drawn by G. Antetokounmpo),61,62
254,3,5:31.0,,G. Antetokounmpo makes free throw 1 of 2,61,63
255,3,5:31.0,,G. Antetokounmpo makes free throw 2 of 2,61,64
256,3,5:15.0,L. Stephenson makes 2-pt jump shot from 15 ft (assist by J. Martin),,63,64
257,3,4:57.0,,J. Bayless misses 3-pt jump shot from 23 ft,63,64
258,3,4:56.0,Defensive rebound by M. Barnes,,63,64
259,3,4:34.0,J. Martin makes 2-pt jump shot from 5 ft (assist by L. Stephenson),,65,64
260,3,4:23.0,,Personal foul by B. Weber,65,64
261,3,4:23.0,A. Stepheson enters the game for L. Stephenson,,65,64
262,3,4:23.0,,T. Ennis enters the game for J. Bayless,65,64
263,3,4:15.0,,K. Middleton misses 2-pt jump shot from 12 ft,65,64
264,3,4:14.0,Defensive rebound by T. Allen,,65,64
265,3,3:58.0,Turnover by M. Barnes (lost ball; steal by K. Middleton),,65,64
266,3,3:54.0,,K. Middleton misses 2-pt layup at rim (block by M. Barnes),65,64
267,3,3:54.0,,Offensive rebound by Team,65,64
268,3,3:40.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,65,64
269,3,3:36.0,,Offensive rebound by G. Antetokounmpo,65,64
270,3,3:36.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,65,66
271,3,3:19.0,J. Martin misses 2-pt jump shot from 20 ft,,65,66
272,3,3:17.0,Offensive rebound by A. Stepheson,,65,66
273,3,3:02.0,A. Stepheson misses 2-pt layup at rim,,65,66
274,3,3:00.0,Offensive rebound by A. Stepheson,,65,66
275,3,3:00.0,A. Stepheson makes 2-pt layup from 1 ft,,67,66
276,3,2:43.0,,J. Parker misses 2-pt jump shot from 14 ft,67,66
277,3,2:41.0,Defensive rebound by M. Barnes,,67,66
278,3,2:36.0,Turnover by M. Barnes (bad pass),,67,66
279,3,2:36.0,,Milwaukee full timeout,67,66
280,3,2:36.0,,D. Inglis enters the game for J. Parker,67,66
281,3,2:36.0,X. Munford enters the game for T. Allen,,67,66
282,3,2:18.0,,D. Inglis misses 3-pt jump shot from 22 ft,67,66
283,3,2:17.0,Defensive rebound by B. Weber,,67,66
284,3,1:58.0,Turnover by J. Martin (bad pass; steal by K. Middleton),,67,66
285,3,1:46.0,,K. Middleton misses 2-pt jump shot from 9 ft,67,66
286,3,1:45.0,Defensive rebound by J. Martin,,67,66
287,3,1:35.0,J. Martin misses 2-pt layup at rim (block by G. Antetokounmpo),,67,66
288,3,1:32.0,,Defensive rebound by T. Ennis,67,66
289,3,1:29.0,,D. Inglis makes 2-pt layup from 1 ft (assist by T. Ennis),67,68
290,3,1:16.0,M. Barnes misses 2-pt layup from 1 ft (block by G. Antetokounmpo),,67,68
291,3,1:16.0,Offensive rebound by Team,,67,68
292,3,1:16.0,R. Hollins enters the game for J. Martin,,67,68
293,3,1:16.0,,M. Plumlee enters the game for G. Monroe,67,68
294,3,1:10.0,Shooting foul by K. Middleton (drawn by X. Munford),,67,68
295,3,1:10.0,X. Munford makes free throw 1 of 2,,68,68
296,3,1:10.0,X. Munford makes free throw 2 of 2,,69,68
297,3,0:48.0,,Turnover by K. Middleton (lost ball; steal by B. Weber),69,68
298,3,0:40.0,X. Munford misses 3-pt jump shot from 24 ft,,69,68
299,3,0:39.0,Offensive rebound by R. Hollins,,69,68
300,3,0:39.0,Shooting foul by T. Ennis (drawn by R. Hollins),,69,68
301,3,0:39.0,R. Hollins makes free throw 1 of 2,,70,68
302,3,0:39.0,R. Hollins makes free throw 2 of 2,,71,68
303,3,0:29.0,,K. Middleton misses 3-pt jump shot from 24 ft,71,68
304,3,0:28.0,Defensive rebound by M. Barnes,,71,68
305,3,0:05.0,B. Weber makes 2-pt jump shot from 12 ft (assist by M. Barnes),,73,68
306,4,11:39.0,Turnover by M. Barnes (bad pass; steal by J. Henson),,73,68
307,4,11:27.0,,T. Ennis makes 2-pt jump shot from 14 ft,73,70
308,4,11:05.0,A. Stepheson misses 2-pt layup from 1 ft (block by M. Plumlee),,73,70
309,4,11:03.0,Offensive rebound by A. Stepheson,,73,70
310,4,11:01.0,Turnover by R. Hollins (lost ball; steal by J. Henson),,73,70
311,4,10:58.0,,Personal foul by X. Munford,73,70
312,4,10:58.0,,D. Inglis makes free throw 1 of 2,73,71
313,4,10:58.0,J. Green enters the game for A. Stepheson,,73,71
314,4,10:58.0,,D. Inglis makes free throw 2 of 2,73,72
315,4,10:36.0,J. Green misses 2-pt jump shot from 19 ft,,73,72
316,4,10:34.0,,Defensive rebound by D. Inglis,73,72
317,4,10:14.0,,T. Ennis misses 2-pt layup from 2 ft (block by J. Green),73,72
318,4,10:13.0,,Offensive rebound by J. Henson,73,72
319,4,10:12.0,L. Stephenson enters the game for M. Barnes,,73,72
320,4,10:12.0,R. McCallum enters the game for X. Munford,,73,72
321,4,10:12.0,,Turnover by Team (shot clock),73,72
322,4,9:50.0,Turnover by L. Stephenson (bad pass; steal by T. Ennis),,73,72
323,4,9:47.0,,D. Inglis makes 2-pt dunk from 1 ft,73,74
324,4,9:47.0,Memphis full timeout,,73,74
325,4,9:47.0,T. Allen enters the game for B. Weber,,73,74
326,4,9:27.0,L. Stephenson misses 2-pt jump shot from 9 ft,,73,74
327,4,9:26.0,Offensive rebound by R. Hollins,,73,74
328,4,9:19.0,L. Stephenson misses 2-pt jump shot from 9 ft,,73,74
329,4,9:18.0,,Defensive rebound by M. Plumlee,73,74
330,4,9:03.0,,Turnover by M. Plumlee (lost ball),73,74
331,4,8:39.0,R. McCallum makes 2-pt jump shot from 16 ft,,75,74
332,4,8:24.0,,M. Plumlee makes 2-pt hook shot from 7 ft (assist by T. Ennis),75,76
333,4,7:56.0,R. McCallum misses 3-pt jump shot from 25 ft,,75,76
334,4,7:55.0,,Defensive rebound by D. Inglis,75,76
335,4,7:47.0,,J. Henson makes 2-pt hook shot from 3 ft (assist by T. Ennis),75,78
336,4,7:31.0,J. Green misses 2-pt layup from 1 ft,,75,78
337,4,7:29.0,,Defensive rebound by M. Plumlee,75,78
338,4,7:18.0,,R. Vaughn misses 3-pt jump shot from 24 ft,75,78
339,4,7:17.0,Defensive rebound by R. McCallum,,75,78
340,4,7:01.0,Personal foul by T. Ennis,,75,78
341,4,7:01.0,J. Martin enters the game for R. Hollins,,75,78
342,4,6:53.0,T. Allen misses 2-pt layup at rim (block by D. Inglis),,75,78
343,4,6:51.0,,Defensive rebound by T. Ennis,75,78
344,4,6:46.0,,R. Vaughn makes 3-pt jump shot from 25 ft (assist by D. Inglis),75,81
345,4,6:32.0,J. Martin misses 2-pt layup at rim (block by M. Plumlee),,75,81
346,4,6:31.0,Offensive rebound by J. Martin,,75,81
347,4,6:30.0,J. Martin misses 2-pt layup from 2 ft,,75,81
348,4,6:28.0,,Defensive rebound by T. Ennis,75,81
349,4,6:11.0,,J. Henson misses 2-pt jump shot from 6 ft,75,81
350,4,6:06.0,Defensive rebound by L. Stephenson,,75,81
351,4,5:56.0,L. Stephenson misses 2-pt layup from 1 ft (block by J. Henson),,75,81
352,4,5:54.0,,Defensive rebound by D. Inglis,75,81
353,4,5:47.0,,T. Ennis makes 2-pt layup at rim,75,83
354,4,5:47.0,Memphis full timeout,,75,83
355,4,5:47.0,Official timeout,,75,83
356,4,5:47.0,M. Barnes enters the game for R. McCallum,,75,83
357,4,5:37.0,Turnover by L. Stephenson (bad pass),,75,83
358,4,5:12.0,,R. Vaughn makes 2-pt jump shot from 15 ft (assist by D. Inglis),75,85
359,4,4:59.0,T. Allen makes 2-pt layup at rim (assist by M. Barnes),,77,85
360,4,4:47.0,,T. Ennis makes 2-pt layup from 1 ft,77,87
361,4,4:47.0,,Shooting foul by T. Allen (drawn by T. Ennis),77,87
362,4,4:47.0,,T. Ennis makes free throw 1 of 1,77,88
363,4,4:37.0,J. Martin misses 2-pt jump shot from 18 ft,,77,88
364,4,4:35.0,Offensive rebound by T. Allen,,77,88
365,4,4:29.0,M. Barnes misses 2-pt jump shot from 19 ft,,77,88
366,4,4:28.0,Offensive rebound by J. Martin,,77,88
367,4,4:27.0,Shooting foul by M. Plumlee (drawn by J. Martin),,77,88
368,4,4:27.0,J. Martin makes free throw 1 of 2,,78,88
369,4,4:27.0,J. Martin misses free throw 2 of 2,,78,88
370,4,4:27.0,,Defensive rebound by T. Ennis,78,88
371,4,4:13.0,,T. Ennis misses 2-pt jump shot from 10 ft,78,88
372,4,4:11.0,,Offensive rebound by T. Ennis,78,88
373,4,4:04.0,,Personal foul by L. Stephenson,78,88
374,4,3:54.0,,Turnover by J. Henson (offensive goaltending),78,88
375,4,3:47.0,Personal foul by R. Vaughn,,78,88
376,4,3:43.0,J. Green misses 2-pt jump shot from 6 ft (block by D. Inglis),,78,88
377,4,3:43.0,Offensive rebound by L. Stephenson,,78,88
378,4,3:43.0,Flagrant foul type 1 by J. Henson,,78,88
379,4,3:43.0,,Technical foul by J. Henson,78,88
380,4,3:43.0,M. Barnes makes technical free throw,,79,88
381,4,3:43.0,L. Stephenson makes flagrant free throw 1 of 2,,80,88
382,4,3:43.0,L. Stephenson makes flagrant free throw 2 of 2,,81,88
383,4,3:36.0,J. Green misses 2-pt layup at rim (block by M. Plumlee),,81,88
384,4,3:34.0,Offensive rebound by M. Barnes,,81,88
385,4,3:25.0,Turnover by M. Barnes (lost ball; steal by M. Plumlee),,81,88
