,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PHOENIX_ACTION,WASHINGTON_SCORE,PHOENIX_SCORE
71,1,3:44.0,,M. Teletović misses 2-pt jump shot from 6 ft (block by M. Morris),14,19
72,1,3:44.0,Offensive rebound by M. Morris,,14,19
73,1,3:34.0,J. Wall makes 2-pt jump shot from 16 ft,,16,19
74,1,3:17.0,,D. Booker makes 2-pt jump shot from 19 ft (assist by T. Chandler),16,21
75,1,3:03.0,M. Morris makes 2-pt jump shot from 20 ft (assist by J. Wall),,18,21
76,1,2:51.0,,M. Teletović misses 3-pt jump shot from 24 ft,18,21
77,1,2:48.0,Defensive rebound by M. Gortat,,18,21
78,1,2:35.0,O. Porter misses 3-pt jump shot from 25 ft,,18,21
79,1,2:33.0,,Defensive rebound by M. Teletović,18,21
80,1,2:26.0,,D. Booker misses 3-pt jump shot from 24 ft,18,21
81,1,2:24.0,,Offensive rebound by M. Teletović,18,21
82,1,2:19.0,,D. Booker misses 2-pt jump shot from 8 ft,18,21
83,1,2:19.0,Defensive rebound by Team,,18,21
84,1,2:19.0,,Loose ball foul by T. Chandler,18,21
85,1,2:19.0,Washington full timeout,,18,21
86,1,2:19.0,,J. Jenkins enters the game for D. Booker,18,21
87,1,2:19.0,J. Dudley enters the game for M. Morris,,18,21
88,1,2:19.0,N. Hilário enters the game for M. Gortat,,18,21
89,1,2:06.0,J. Dudley misses 2-pt jump shot from 19 ft,,18,21
90,1,2:04.0,,Defensive rebound by J. Jenkins,18,21
91,1,1:50.0,,R. Price misses 3-pt jump shot from 23 ft,18,21
92,1,1:48.0,Defensive rebound by N. Hilário,,18,21
93,1,1:40.0,J. Dudley makes 3-pt jump shot from 24 ft (assist by J. Wall),,21,21
94,1,1:13.0,,M. Teletović misses 2-pt jump shot from 5 ft,21,21
95,1,1:12.0,,Offensive rebound by M. Teletović,21,21
96,1,1:12.0,,M. Teletović makes 2-pt jump shot from 5 ft,21,23
97,1,1:12.0,,Shooting foul by J. Dudley (drawn by M. Teletović),21,23
98,1,1:12.0,,M. Teletović makes free throw 1 of 1,21,24
99,1,1:00.0,J. Wall misses 2-pt jump shot from 9 ft,,21,24
100,1,0:59.0,Offensive rebound by O. Porter,,21,24
101,1,0:59.0,O. Porter makes 2-pt layup from 1 ft,,23,24
102,1,0:40.0,,Turnover by R. Price (bad pass),23,24
103,1,0:35.0,J. Wall makes 2-pt jump shot from 18 ft,,25,24
104,1,0:10.0,,Shooting foul by J. Wall (drawn by J. Jenkins),25,24
105,1,0:10.0,,J. Jenkins makes free throw 1 of 2,25,25
106,1,0:10.0,,J. Jenkins makes free throw 2 of 2,25,26
107,1,0:01.0,J. Wall misses 2-pt layup from 2 ft,,25,26
108,1,0:00.0,,Defensive rebound by M. Teletović,25,26
109,2,11:43.0,,Turnover by C. Budinger (bad pass; steal by G. Temple),25,26
110,2,11:33.0,R. Sessions misses 2-pt jump shot from 8 ft (block by C. Budinger),,25,26
111,2,11:30.0,,Defensive rebound by C. Budinger,25,26
112,2,11:29.0,,J. Jenkins makes 2-pt layup from 2 ft (assist by C. Budinger),25,28
113,2,11:20.0,R. Sessions misses 2-pt layup from 1 ft,,25,28
114,2,11:16.0,,Defensive rebound by A. Len,25,28
115,2,11:07.0,,A. Goodwin makes 2-pt layup from 2 ft,25,30
116,2,10:50.0,N. Hilário misses 2-pt hook shot from 4 ft,,25,30
117,2,10:46.0,,Defensive rebound by M. Teletović,25,30
118,2,10:40.0,,Personal foul by J. Dudley,25,30
119,2,10:26.0,,M. Teletović misses 2-pt jump shot from 4 ft,25,30
120,2,10:25.0,,Offensive rebound by Team,25,30
121,2,10:22.0,,A. Goodwin misses 2-pt layup from 2 ft,25,30
122,2,10:20.0,Defensive rebound by N. Hilário,,25,30
123,2,10:14.0,B. Beal makes 3-pt jump shot from 23 ft (assist by J. Dudley),,28,30
124,2,9:55.0,,A. Len misses 2-pt jump shot from 14 ft (block by N. Hilário),28,30
125,2,9:52.0,Defensive rebound by N. Hilário,,28,30
126,2,9:42.0,G. Temple makes 2-pt layup from 1 ft (assist by N. Hilário),,30,30
127,2,9:32.0,,Personal foul by N. Hilário,30,30
128,2,9:26.0,,A. Goodwin makes 2-pt layup from 1 ft,30,32
129,2,9:16.0,R. Sessions misses 2-pt jump shot from 8 ft,,30,32
130,2,9:14.0,Offensive rebound by N. Hilário,,30,32
131,2,9:06.0,B. Beal makes 2-pt jump shot from 11 ft,,32,32
132,2,8:55.0,,Turnover by A. Goodwin (bad pass),32,32
133,2,8:55.0,Official timeout,,32,32
134,2,8:47.0,Shooting foul by A. Len (drawn by N. Hilário),,32,32
135,2,8:47.0,N. Hilário misses free throw 1 of 2,,32,32
136,2,8:47.0,Offensive rebound by Team,,32,32
137,2,8:47.0,,T. Chandler enters the game for A. Len,32,32
138,2,8:47.0,N. Hilário misses free throw 2 of 2,,32,32
139,2,8:45.0,,Defensive rebound by T. Chandler,32,32
140,2,8:27.0,,M. Teletović makes 2-pt jump shot from 4 ft,32,34
141,2,8:11.0,N. Hilário makes 2-pt jump shot from 15 ft (assist by G. Temple),,34,34
142,2,7:53.0,,Turnover by C. Budinger (bad pass),34,34
143,2,7:36.0,R. Sessions misses 2-pt jump shot from 15 ft,,34,34
144,2,7:34.0,,Defensive rebound by T. Chandler,34,34
145,2,7:24.0,,C. Budinger makes 3-pt jump shot from 25 ft (assist by A. Goodwin),34,37
146,2,7:17.0,B. Beal misses 2-pt layup from 1 ft,,34,37
147,2,7:14.0,,Defensive rebound by T. Chandler,34,37
148,2,7:04.0,,A. Goodwin makes 2-pt jump shot from 4 ft,34,39
149,2,6:51.0,Turnover by N. Hilário (lost ball; steal by A. Goodwin),,34,39
150,2,6:51.0,Loose ball foul by N. Hilário,,34,39
151,2,6:51.0,M. Morris enters the game for J. Dudley,,34,39
152,2,6:51.0,J. Wall enters the game for R. Sessions,,34,39
153,2,6:32.0,,M. Teletović makes 2-pt jump shot from 20 ft (assist by A. Goodwin),34,41
154,2,6:18.0,Shooting foul by A. Goodwin (drawn by J. Wall),,34,41
155,2,6:18.0,J. Wall makes free throw 1 of 2,,35,41
156,2,6:18.0,J. Wall makes free throw 2 of 2,,36,41
157,2,6:04.0,,M. Teletović misses 2-pt jump shot from 11 ft,36,41
158,2,6:00.0,Defensive rebound by M. Morris,,36,41
159,2,5:53.0,M. Morris makes 2-pt dunk at rim (assist by J. Wall),,38,41
160,2,5:38.0,,Shooting foul by G. Temple (drawn by J. Jenkins),38,41
161,2,5:38.0,,J. Jenkins makes 2-pt layup from 2 ft,38,43
162,2,5:38.0,,Phoenix full timeout,38,43
163,2,5:38.0,M. Gortat enters the game for N. Hilário,,38,43
164,2,5:38.0,,D. Booker enters the game for C. Budinger,38,43
165,2,5:38.0,,J. Jenkins makes free throw 1 of 1,38,44
166,2,5:14.0,G. Temple misses 3-pt jump shot from 23 ft,,38,44
167,2,5:12.0,,Defensive rebound by T. Chandler,38,44
168,2,4:56.0,,M. Teletović makes 2-pt layup from 1 ft (assist by A. Goodwin),38,46
169,2,4:42.0,M. Morris makes 2-pt jump shot from 6 ft (assist by B. Beal),,40,46
170,2,4:22.0,,Turnover by M. Teletović (bad pass),40,46
171,2,4:22.0,,P. Tucker enters the game for J. Jenkins,40,46
172,2,4:22.0,O. Porter enters the game for B. Beal,,40,46
173,2,4:09.0,M. Gortat makes 2-pt hook shot from 5 ft,,42,46
174,2,4:09.0,Shooting foul by T. Chandler (drawn by M. Gortat),,42,46
175,2,4:09.0,,R. Price enters the game for A. Goodwin,42,46
176,2,4:09.0,M. Gortat misses free throw 1 of 1,,42,46
177,2,4:08.0,Offensive rebound by M. Gortat,,42,46
178,2,4:06.0,M. Gortat misses 2-pt jump shot from 7 ft,,42,46
179,2,4:03.0,,Defensive rebound by T. Chandler,42,46
180,2,3:46.0,,D. Booker misses 2-pt jump shot from 20 ft,42,46
181,2,3:43.0,Defensive rebound by M. Morris,,42,46
182,2,3:38.0,Shooting foul by M. Teletović (drawn by M. Gortat),,42,46
183,2,3:38.0,M. Gortat makes free throw 1 of 2,,43,46
184,2,3:38.0,M. Gortat misses free throw 2 of 2,,43,46
185,2,3:37.0,,Defensive rebound by T. Chandler,43,46
186,2,3:18.0,,M. Teletović misses 3-pt jump shot from 25 ft,43,46
187,2,3:17.0,,Offensive rebound by P. Tucker,43,46
188,2,3:14.0,,D. Booker misses 3-pt jump shot from 26 ft,43,46
189,2,3:12.0,Defensive rebound by J. Wall,,43,46
190,2,3:01.0,J. Wall misses 2-pt jump shot from 15 ft,,43,46
191,2,2:57.0,,Defensive rebound by M. Teletović,43,46
192,2,2:53.0,,Shooting foul by M. Gortat (drawn by T. Chandler),43,46
193,2,2:53.0,Washington full timeout,,43,46
194,2,2:53.0,,T. Chandler misses free throw 1 of 2,43,46
195,2,2:53.0,,Offensive rebound by Team,43,46
196,2,2:53.0,,T. Chandler misses free throw 2 of 2,43,46
197,2,2:52.0,Defensive rebound by M. Gortat,,43,46
198,2,2:41.0,J. Wall makes 2-pt jump shot from 10 ft,,45,46
199,2,2:18.0,,P. Tucker misses 2-pt jump shot from 16 ft,45,46
200,2,2:15.0,Defensive rebound by M. Gortat,,45,46
201,2,2:08.0,Turnover by J. Wall (bad pass),,45,46
202,2,1:47.0,,Shooting foul by G. Temple (drawn by T. Chandler),45,46
203,2,1:47.0,,T. Chandler makes free throw 1 of 2,45,47
204,2,1:47.0,J. Hickson enters the game for M. Gortat,,45,47
205,2,1:47.0,R. Sessions enters the game for J. Wall,,45,47
206,2,1:47.0,,T. Chandler makes free throw 2 of 2,45,48
207,2,1:34.0,Personal foul by P. Tucker,,45,48
208,2,1:34.0,M. Morris makes free throw 1 of 2,,46,48
209,2,1:34.0,B. Beal enters the game for G. Temple,,46,48
210,2,1:34.0,M. Morris makes free throw 2 of 2,,47,48
211,2,1:22.0,,D. Booker misses 2-pt jump shot from 19 ft,47,48
212,2,1:19.0,Defensive rebound by M. Morris,,47,48
213,2,1:09.0,M. Morris misses 2-pt jump shot from 15 ft,,47,48
214,2,1:07.0,,Defensive rebound by P. Tucker,47,48
215,2,1:04.0,,Turnover by P. Tucker (bad pass; steal by M. Morris),47,48
216,2,1:04.0,Personal foul by R. Price,,47,48
217,2,1:04.0,M. Morris makes free throw 1 of 2,,48,48
218,2,1:04.0,M. Morris misses free throw 2 of 2,,48,48
219,2,1:02.0,,Defensive rebound by T. Chandler,48,48
220,2,0:51.0,,Turnover by R. Price (bad pass),48,48
221,2,0:35.0,B. Beal misses 3-pt jump shot from 24 ft,,48,48
222,2,0:33.0,,Defensive rebound by T. Chandler,48,48
223,2,0:31.0,,Shooting foul by B. Beal (drawn by P. Tucker),48,48
224,2,0:31.0,,P. Tucker makes free throw 1 of 2,48,49
225,2,0:31.0,M. Thornton enters the game for B. Beal,,48,49
226,2,0:31.0,,P. Tucker makes free throw 2 of 2,48,50
227,2,0:15.0,J. Hickson misses 2-pt jump shot from 9 ft,,48,50
228,2,0:14.0,,Defensive rebound by P. Tucker,48,50
229,2,0:10.0,,M. Teletović makes 2-pt layup from 1 ft (assist by R. Price),48,52
230,2,0:03.0,Personal foul by M. Teletović,,48,52
231,2,0:03.0,,Phoenix full timeout,48,52
232,2,0:03.0,R. Sessions makes free throw 1 of 2,,49,52
233,2,0:03.0,R. Sessions makes free throw 2 of 2,,50,52
234,3,11:49.0,,Personal foul by M. Morris,50,52
235,3,11:37.0,,R. Price makes 3-pt jump shot from 24 ft (assist by T. Chandler),50,55
236,3,11:20.0,B. Beal misses 3-pt jump shot from 26 ft,,50,55
237,3,11:18.0,,Defensive rebound by A. Len,50,55
238,3,11:05.0,,A. Len misses 2-pt jump shot from 17 ft,50,55
239,3,11:03.0,,Offensive rebound by R. Price,50,55
240,3,11:00.0,,P. Tucker makes 3-pt jump shot from 24 ft (assist by R. Price),50,58
241,3,10:47.0,M. Morris makes 3-pt jump shot from 25 ft (assist by B. Beal),,53,58
242,3,10:21.0,,R. Price misses 2-pt jump shot from 12 ft,53,58
243,3,10:18.0,Defensive rebound by J. Wall,,53,58
244,3,10:13.0,O. Porter misses 3-pt jump shot from 22 ft,,53,58
245,3,10:10.0,,Defensive rebound by R. Price,53,58
246,3,9:50.0,,R. Price misses 3-pt jump shot from 22 ft,53,58
247,3,9:48.0,Defensive rebound by J. Wall,,53,58
248,3,9:25.0,B. Beal makes 3-pt jump shot from 24 ft (assist by J. Wall),,56,58
249,3,9:11.0,,D. Booker misses 2-pt layup from 2 ft,56,58
250,3,9:08.0,,Offensive rebound by T. Chandler,56,58
251,3,9:08.0,,T. Chandler makes 2-pt dunk at rim,56,60
252,3,8:59.0,M. Morris misses 2-pt jump shot from 18 ft,,56,60
253,3,8:57.0,,Defensive rebound by D. Booker,56,60
254,3,8:52.0,,Turnover by D. Booker (bad pass; steal by B. Beal),56,60
255,3,8:50.0,Turnover by B. Beal (bad pass; steal by P. Tucker),,56,60
256,3,8:47.0,,Shooting foul by M. Morris (drawn by A. Len),56,60
257,3,8:47.0,,A. Len makes free throw 1 of 2,56,61
258,3,8:47.0,,A. Len makes free throw 2 of 2,56,62
259,3,8:37.0,J. Wall misses 3-pt jump shot from 25 ft,,56,62
260,3,8:36.0,,Defensive rebound by P. Tucker,56,62
261,3,8:36.0,,Personal foul by B. Beal,56,62
262,3,8:17.0,,A. Len makes 2-pt jump shot from 15 ft (assist by R. Price),56,64
263,3,8:03.0,Shooting foul by D. Booker (drawn by B. Beal),,56,64
264,3,8:03.0,B. Beal makes free throw 1 of 2,,57,64
265,3,8:03.0,B. Beal makes free throw 2 of 2,,58,64
266,3,7:49.0,,A. Len misses 2-pt jump shot from 19 ft,58,64
267,3,7:46.0,,Offensive rebound by P. Tucker,58,64
268,3,7:45.0,,P. Tucker makes 2-pt jump shot from 16 ft,58,66
269,3,7:26.0,B. Beal misses 2-pt layup from 2 ft,,58,66
270,3,7:26.0,,Defensive rebound by Team,58,66
271,3,7:07.0,,A. Len misses 2-pt jump shot from 10 ft,58,66
272,3,7:04.0,Defensive rebound by O. Porter,,58,66
273,3,6:48.0,M. Gortat makes 2-pt jump shot from 14 ft (assist by M. Morris),,60,66
274,3,6:34.0,,T. Chandler misses 2-pt hook shot from 4 ft,60,66
275,3,6:31.0,Defensive rebound by M. Gortat,,60,66
276,3,6:26.0,M. Morris makes 3-pt jump shot from 25 ft (assist by J. Wall),,63,66
277,3,6:25.0,,Phoenix full timeout,63,66
278,3,6:18.0,,D. Booker misses 2-pt jump shot from 20 ft,63,66
279,3,6:12.0,,Offensive rebound by T. Chandler,63,66
280,3,6:12.0,,T. Chandler makes 2-pt layup from 1 ft,63,68
281,3,5:57.0,M. Morris makes 2-pt jump shot from 16 ft,,65,68
282,3,5:32.0,,A. Len misses 2-pt jump shot from 15 ft,65,68
283,3,5:31.0,Defensive rebound by M. Morris,,65,68
284,3,5:21.0,M. Morris misses 3-pt jump shot from 25 ft,,65,68
285,3,5:19.0,,Defensive rebound by A. Len,65,68
286,3,5:03.0,,P. Tucker misses 2-pt jump shot from 15 ft,65,68
287,3,5:00.0,Defensive rebound by M. Morris,,65,68
288,3,4:51.0,M. Gortat misses 2-pt jump shot from 3 ft,,65,68
289,3,4:45.0,,Defensive rebound by A. Len,65,68
290,3,4:42.0,,P. Tucker misses 2-pt layup from 2 ft (block by M. Gortat),65,68
291,3,4:40.0,,Offensive rebound by P. Tucker,65,68
292,3,4:38.0,,P. Tucker misses 2-pt layup from 1 ft,65,68
293,3,4:35.0,,Offensive rebound by T. Chandler,65,68
294,3,4:35.0,,T. Chandler misses 2-pt layup from 1 ft,65,68
295,3,4:33.0,,Offensive rebound by T. Chandler,65,68
296,3,4:33.0,,T. Chandler makes 2-pt layup from 2 ft,65,70
297,3,4:31.0,Turnover by J. Wall (bad pass),,65,70
298,3,4:21.0,,Turnover by A. Len (bad pass),65,70
299,3,4:02.0,J. Wall misses 2-pt jump shot from 16 ft,,65,70
300,3,4:02.0,Offensive rebound by Team,,65,70
301,3,4:02.0,,Loose ball foul by A. Len,65,70
302,3,4:02.0,,M. Teletović enters the game for A. Len,65,70
303,3,3:53.0,M. Gortat makes 2-pt layup from 1 ft (assist by B. Beal),,67,70
304,3,3:38.0,,D. Booker misses 3-pt jump shot from 25 ft,67,70
305,3,3:36.0,Defensive rebound by M. Gortat,,67,70
306,3,3:26.0,B. Beal makes 3-pt jump shot from 24 ft (assist by J. Wall),,70,70
307,3,3:12.0,,Personal block foul by B. Beal,70,70
308,3,3:12.0,G. Temple enters the game for B. Beal,,70,70
309,3,3:07.0,,M. Teletović makes 3-pt jump shot from 24 ft (assist by R. Price),70,73
310,3,2:43.0,O. Porter makes 3-pt jump shot from 22 ft (assist by J. Wall),,73,73
311,3,2:32.0,,P. Tucker misses 2-pt layup from 2 ft (block by M. Morris),73,73
312,3,2:30.0,Defensive rebound by J. Wall,,73,73
313,3,2:21.0,Turnover by O. Porter (lost ball),,73,73
314,3,2:21.0,Washington full timeout,,73,73
315,3,2:09.0,,R. Price misses 3-pt jump shot from 25 ft,73,73
316,3,2:09.0,,Offensive rebound by Team,73,73
317,3,2:09.0,,J. Jenkins enters the game for R. Price,73,73
318,3,2:04.0,,D. Booker misses 2-pt jump shot from 13 ft,73,73
319,3,2:04.0,,Offensive rebound by Team,73,73
320,3,2:00.0,,T. Chandler misses 2-pt jump shot from 16 ft,73,73
321,3,1:59.0,Defensive rebound by J. Wall,,73,73
322,3,1:51.0,Shooting foul by D. Booker (drawn by O. Porter),,73,73
323,3,1:51.0,O. Porter makes free throw 1 of 2,,74,73
324,3,1:51.0,N. Hilário enters the game for M. Gortat,,74,73
325,3,1:51.0,O. Porter makes free throw 2 of 2,,75,73
326,3,1:39.0,,Personal foul by G. Temple,75,73
327,3,1:39.0,,M. Teletović makes free throw 1 of 2,75,74
328,3,1:39.0,,M. Teletović makes free throw 2 of 2,75,75
329,3,1:25.0,M. Morris makes 2-pt jump shot from 11 ft (assist by N. Hilário),,77,75
330,3,1:03.0,Violation by N. Hilário (kicked ball),,77,75
331,3,0:59.0,,P. Tucker misses 3-pt jump shot from 23 ft,77,75
332,3,0:57.0,Defensive rebound by J. Wall,,77,75
333,3,0:52.0,J. Wall misses 2-pt jump shot from 17 ft,,77,75
334,3,0:48.0,,Defensive rebound by M. Teletović,77,75
335,3,0:41.0,,Personal foul by N. Hilário,77,75
336,3,0:41.0,,M. Teletović makes free throw 1 of 2,77,76
337,3,0:41.0,,A. Williams enters the game for T. Chandler,77,76
338,3,0:41.0,,M. Teletović makes free throw 2 of 2,77,77
339,3,0:30.0,O. Porter misses 3-pt jump shot from 23 ft,,77,77
340,3,0:29.0,,Defensive rebound by M. Teletović,77,77
341,3,0:09.0,,D. Booker makes 2-pt layup from 2 ft,77,79
342,3,0:00.0,G. Temple misses 3-pt jump shot from 23 ft,,77,79
343,3,0:00.0,Offensive rebound by Team,,77,79
344,4,11:50.0,Turnover by G. Temple (bad pass; steal by J. Jenkins),,77,79
345,4,11:26.0,,C. Budinger misses 3-pt jump shot from 23 ft,77,79
346,4,11:24.0,Defensive rebound by J. Wall,,77,79
347,4,11:22.0,Turnover by J. Wall (bad pass; steal by J. Jenkins),,77,79
348,4,11:18.0,,Shooting foul by N. Hilário (drawn by C. Budinger),77,79
349,4,11:18.0,,C. Budinger makes free throw 1 of 2,77,80
350,4,11:18.0,,C. Budinger misses free throw 2 of 2,77,80
351,4,11:16.0,Defensive rebound by G. Temple,,77,80
352,4,10:58.0,N. Hilário makes 2-pt hook shot from 6 ft,,79,80
353,4,10:41.0,,J. Jenkins makes 2-pt jump shot from 18 ft,79,82
354,4,10:21.0,N. Hilário misses 2-pt jump shot from 18 ft,,79,82
355,4,10:19.0,,Defensive rebound by C. Budinger,79,82
356,4,10:12.0,Violation by G. Temple (kicked ball),,79,82
357,4,10:12.0,R. Sessions enters the game for G. Temple,,79,82
358,4,10:04.0,,A. Len misses 2-pt layup from 2 ft,79,82
359,4,10:02.0,Defensive rebound by N. Hilário,,79,82
360,4,9:53.0,B. Beal makes 2-pt layup from 1 ft,,81,82
361,4,9:37.0,,Personal foul by J. Dudley,81,82
362,4,9:31.0,,M. Teletović misses 3-pt jump shot from 24 ft,81,82
363,4,9:29.0,Defensive rebound by B. Beal,,81,82
364,4,9:24.0,B. Beal misses 2-pt layup at rim,,81,82
365,4,9:21.0,,Defensive rebound by A. Len,81,82
366,4,9:17.0,,C. Budinger makes 2-pt layup from 1 ft (assist by J. Jenkins),81,84
367,4,9:05.0,,Violation by C. Budinger (kicked ball),81,84
368,4,8:57.0,J. Wall makes 2-pt jump shot from 18 ft,,83,84
369,4,8:46.0,,A. Goodwin makes 2-pt layup from 1 ft,83,86
370,4,8:44.0,,Technical foul by A. Len,83,86
371,4,8:44.0,Technical foul by N. Hilário,,83,86
372,4,8:44.0,Official timeout,,83,86
373,4,8:26.0,N. Hilário makes 2-pt layup from 2 ft (assist by J. Wall),,85,86
374,4,8:13.0,Offensive charge foul by A. Goodwin (drawn by N. Hilário),,85,86
375,4,8:13.0,,Turnover by A. Goodwin (offensive foul),85,86
376,4,7:56.0,R. Sessions makes 2-pt jump shot from 14 ft,,87,86
377,4,7:38.0,,Turnover by C. Budinger (bad pass),87,86
378,4,7:20.0,B. Beal makes 2-pt layup from 1 ft,,89,86
379,4,7:20.0,,Phoenix full timeout,89,86
380,4,7:20.0,,D. Booker enters the game for M. Teletović,89,86
381,4,7:20.0,,R. Price enters the game for J. Jenkins,89,86
382,4,7:20.0,,T. Chandler enters the game for C. Budinger,89,86
383,4,7:20.0,,P. Tucker enters the game for A. Goodwin,89,86
384,4,7:07.0,,Turnover by D. Booker (bad pass; steal by J. Dudley),89,86
385,4,7:00.0,J. Wall makes 2-pt jump shot from 17 ft,,91,86
386,4,6:47.0,,D. Booker misses 2-pt jump shot from 11 ft,91,86
387,4,6:45.0,,Offensive rebound by T. Chandler,91,86
388,4,6:45.0,,A. Len misses 2-pt layup from 1 ft,91,86
389,4,6:42.0,Defensive rebound by N. Hilário,,91,86
390,4,6:37.0,Turnover by N. Hilário (offensive foul),,91,86
391,4,6:37.0,Offensive foul by N. Hilário (drawn by D. Booker),,91,86
392,4,6:19.0,,Turnover by P. Tucker (bad pass; steal by J. Wall),91,86
393,4,6:14.0,B. Beal misses 3-pt jump shot from 23 ft,,91,86
394,4,6:13.0,,Defensive rebound by D. Booker,91,86
395,4,6:13.0,Loose ball foul by J. Dudley,,91,86
396,4,5:52.0,,Turnover by A. Len (bad pass; steal by J. Wall),91,86
397,4,5:47.0,Turnover by J. Wall (lost ball),,91,86
398,4,5:33.0,,M. Teletović enters the game for A. Len,91,86
