,QUARTER,TIME_REMAINING,NEW YORK_ACTION,DENVER_ACTION,NEW YORK_SCORE,DENVER_SCORE
44,1,6:03.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,10,12
45,1,6:03.0,,Defensive rebound by N. Jokić,10,12
46,1,5:54.0,,Turnover by N. Jokić (bad pass),10,12
47,1,5:34.0,Turnover by C. Anthony (step out of bounds),,10,12
48,1,5:34.0,D. Williams enters the game for K. Porziņģis,,10,12
49,1,5:11.0,,E. Mudiay makes 2-pt jump shot from 16 ft (assist by G. Harris),10,14
50,1,4:49.0,Turnover by C. Anthony (lost ball; steal by J. Sampson),,10,14
51,1,4:43.0,,G. Harris makes 2-pt layup from 1 ft,10,16
52,1,4:33.0,New York full timeout,,10,16
53,1,4:33.0,L. Galloway enters the game for R. Lopez,,10,16
54,1,4:33.0,K. O'Quinn enters the game for A. Afflalo,,10,16
55,1,4:30.0,Personal foul by J. Sampson,,10,16
56,1,4:22.0,K. O'Quinn makes 2-pt jump shot from 17 ft (assist by D. Williams),,12,16
57,1,3:54.0,,E. Mudiay misses 2-pt jump shot from 16 ft,12,16
58,1,3:53.0,,Offensive rebound by K. Faried,12,16
59,1,3:52.0,,K. Faried makes 2-pt layup from 1 ft,12,18
60,1,3:39.0,D. Williams makes 3-pt jump shot from 23 ft (assist by J. Calderón),,15,18
61,1,3:23.0,,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),15,20
62,1,3:23.0,,Shooting foul by L. Galloway (drawn by G. Harris),15,20
63,1,3:23.0,,G. Harris makes free throw 1 of 1,15,21
64,1,3:07.0,Shooting foul by J. Sampson (drawn by C. Anthony),,15,21
65,1,3:07.0,C. Anthony makes free throw 1 of 2,,16,21
66,1,3:07.0,,W. Barton enters the game for G. Harris,16,21
67,1,3:07.0,,D. Arthur enters the game for J. Sampson,16,21
68,1,3:07.0,C. Anthony makes free throw 2 of 2,,17,21
69,1,2:48.0,,K. Faried makes 2-pt dunk at rim (assist by W. Barton),17,23
70,1,2:35.0,C. Anthony makes 2-pt layup from 1 ft (assist by K. O'Quinn),,19,23
71,1,2:35.0,Shooting foul by D. Arthur (drawn by C. Anthony),,19,23
72,1,2:35.0,C. Anthony makes free throw 1 of 1,,20,23
73,1,2:28.0,,Offensive foul by K. Faried (drawn by J. Calderón),20,23
74,1,2:28.0,,Turnover by K. Faried (offensive foul),20,23
75,1,2:28.0,,A. Toupane enters the game for K. Faried,20,23
76,1,2:16.0,J. Calderón makes 2-pt jump shot from 7 ft,,22,23
77,1,2:05.0,,W. Barton makes 2-pt layup from 2 ft (assist by N. Jokić),22,25
78,1,1:59.0,Offensive foul by K. O'Quinn (drawn by N. Jokić),,22,25
79,1,1:59.0,Turnover by K. O'Quinn (offensive foul),,22,25
80,1,1:59.0,J. Grant enters the game for J. Calderón,,22,25
81,1,1:43.0,,N. Jokić misses 2-pt jump shot from 16 ft,22,25
82,1,1:42.0,Defensive rebound by J. Grant,,22,25
83,1,1:27.0,C. Anthony misses 2-pt jump shot from 17 ft,,22,25
84,1,1:27.0,,Defensive rebound by N. Jokić,22,25
85,1,1:19.0,,E. Mudiay misses 2-pt jump shot from 16 ft,22,25
86,1,1:18.0,Defensive rebound by L. Galloway,,22,25
87,1,1:15.0,Turnover by L. Galloway (bad pass; steal by W. Barton),,22,25
88,1,1:09.0,,D. Arthur makes 2-pt layup from 2 ft (assist by W. Barton),22,27
89,1,0:58.0,Personal foul by A. Toupane,,22,27
90,1,0:58.0,,J. Lauvergne enters the game for N. Jokić,22,27
91,1,0:50.0,L. Galloway misses 3-pt jump shot from 24 ft,,22,27
92,1,0:48.0,,Defensive rebound by J. Lauvergne,22,27
93,1,0:42.0,,E. Mudiay makes 2-pt layup from 1 ft,22,29
94,1,0:22.0,D. Williams makes 3-pt jump shot from 24 ft (assist by C. Anthony),,25,29
95,1,0:05.0,,E. Mudiay makes 2-pt layup from 2 ft,25,31
96,2,11:50.0,L. Galloway makes 2-pt layup from 1 ft (assist by D. Williams),,27,31
97,2,11:50.0,Shooting foul by J. Lauvergne (drawn by L. Galloway),,27,31
98,2,11:50.0,L. Galloway misses free throw 1 of 1,,27,31
99,2,11:50.0,,Defensive rebound by J. Lauvergne,27,31
100,2,11:28.0,,W. Barton misses 2-pt jump shot from 17 ft,27,31
101,2,11:27.0,Defensive rebound by D. Williams,,27,31
102,2,11:27.0,Shooting block foul by D. Arthur (drawn by D. Williams),,27,31
103,2,11:27.0,D. Williams makes free throw 1 of 2,,28,31
104,2,11:27.0,D. Williams makes free throw 2 of 2,,29,31
105,2,11:07.0,,A. Toupane misses 3-pt jump shot from 23 ft,29,31
106,2,11:06.0,Defensive rebound by J. Grant,,29,31
107,2,11:00.0,,Violation by A. Toupane (kicked ball),29,31
108,2,11:00.0,,M. Miller enters the game for D. Arthur,29,31
109,2,10:45.0,D. Williams misses 3-pt jump shot from 23 ft,,29,31
110,2,10:44.0,,Defensive rebound by W. Barton,29,31
111,2,10:36.0,,J. Lauvergne makes 2-pt jump shot from 19 ft (assist by A. Toupane),29,33
112,2,10:19.0,K. Séraphin makes 2-pt jump shot from 19 ft (assist by D. Williams),,31,33
113,2,10:00.0,,A. Toupane misses 3-pt jump shot from 24 ft,31,33
114,2,9:59.0,Defensive rebound by D. Williams,,31,33
115,2,9:53.0,D. Williams makes 2-pt layup from 2 ft,,33,33
116,2,9:33.0,,J. Lauvergne misses 2-pt jump shot from 17 ft,33,33
117,2,9:32.0,Defensive rebound by A. Afflalo,,33,33
118,2,9:25.0,Turnover by K. Séraphin (step out of bounds),,33,33
119,2,9:08.0,,W. Barton misses 2-pt jump shot from 6 ft,33,33
120,2,9:07.0,Defensive rebound by J. Grant,,33,33
121,2,9:03.0,J. Grant makes 2-pt layup from 1 ft,,35,33
122,2,9:03.0,,Denver full timeout,35,33
123,2,8:47.0,,W. Barton misses 2-pt layup from 2 ft (block by J. Grant),35,33
124,2,8:46.0,,Offensive rebound by W. Barton,35,33
125,2,8:45.0,,W. Barton makes 2-pt layup at rim,35,35
126,2,8:30.0,D. Williams makes 2-pt jump shot from 16 ft,,37,35
127,2,8:17.0,,Personal foul by J. Grant,37,35
128,2,8:11.0,,D. Augustin makes 3-pt jump shot from 23 ft (assist by J. Lauvergne),37,38
129,2,7:48.0,L. Galloway misses 2-pt jump shot from 20 ft,,37,38
130,2,7:48.0,,Defensive rebound by J. Lauvergne,37,38
131,2,7:36.0,,Shooting foul by K. Séraphin (drawn by W. Barton),37,38
132,2,7:36.0,,W. Barton misses free throw 1 of 2,37,38
133,2,7:36.0,,Offensive rebound by Team,37,38
134,2,7:36.0,C. Anthony enters the game for L. Galloway,,37,38
135,2,7:36.0,,W. Barton misses free throw 2 of 2,37,38
136,2,7:34.0,Defensive rebound by J. Grant,,37,38
137,2,7:34.0,Personal foul by W. Barton,,37,38
138,2,7:23.0,Personal foul by A. Toupane,,37,38
139,2,7:23.0,,J. Sampson enters the game for M. Miller,37,38
140,2,7:09.0,Shooting foul by J. Lauvergne (drawn by J. Grant),,37,38
141,2,7:09.0,J. Grant makes free throw 1 of 2,,38,38
142,2,7:09.0,J. Grant makes free throw 2 of 2,,39,38
143,2,6:53.0,,W. Barton makes 2-pt jump shot from 20 ft,39,40
144,2,6:35.0,C. Anthony makes 2-pt layup from 2 ft (assist by J. Grant),,41,40
145,2,6:35.0,,Violation by J. Lauvergne (def goaltending),41,40
146,2,6:21.0,,Shooting foul by K. Séraphin (drawn by D. Augustin),41,40
147,2,6:21.0,,D. Augustin makes free throw 1 of 2,41,41
148,2,6:21.0,R. Lopez enters the game for K. Séraphin,,41,41
149,2,6:21.0,K. Porziņģis enters the game for D. Williams,,41,41
150,2,6:21.0,,N. Jokić enters the game for J. Lauvergne,41,41
151,2,6:21.0,,G. Harris enters the game for A. Toupane,41,41
152,2,6:21.0,,D. Augustin makes free throw 2 of 2,41,42
153,2,6:01.0,Turnover by K. Porziņģis (3 sec),,41,42
154,2,6:01.0,,K. Faried enters the game for W. Barton,41,42
155,2,5:48.0,,G. Harris makes 3-pt jump shot from 23 ft (assist by D. Augustin),41,45
156,2,5:31.0,K. Porziņģis misses 2-pt jump shot from 16 ft,,41,45
157,2,5:30.0,,Defensive rebound by J. Sampson,41,45
158,2,5:23.0,,K. Faried makes 2-pt dunk at rim (assist by D. Augustin),41,47
159,2,5:11.0,New York full timeout,,41,47
160,2,5:11.0,J. Calderón enters the game for J. Grant,,41,47
161,2,5:11.0,,E. Mudiay enters the game for D. Augustin,41,47
162,2,5:00.0,A. Afflalo misses 2-pt jump shot from 6 ft,,41,47
163,2,4:59.0,,Defensive rebound by K. Faried,41,47
164,2,4:34.0,,E. Mudiay misses 2-pt layup from 2 ft,41,47
165,2,4:34.0,Defensive rebound by R. Lopez,,41,47
166,2,4:18.0,Turnover by C. Anthony (lost ball; steal by G. Harris),,41,47
167,2,4:14.0,,Personal foul by K. Porziņģis,41,47
168,2,4:14.0,D. Williams enters the game for K. Porziņģis,,41,47
169,2,4:00.0,,K. Faried misses 2-pt jump shot from 15 ft,41,47
170,2,3:59.0,Defensive rebound by C. Anthony,,41,47
171,2,3:58.0,Turnover by C. Anthony (lost ball; steal by N. Jokić),,41,47
172,2,3:53.0,,N. Jokić makes 2-pt jump shot from 3 ft,41,49
173,2,3:41.0,J. Calderón misses 2-pt jump shot from 18 ft,,41,49
174,2,3:40.0,,Defensive rebound by N. Jokić,41,49
175,2,3:36.0,,K. Faried makes 2-pt dunk at rim (assist by N. Jokić),41,51
176,2,3:21.0,D. Williams misses 2-pt jump shot from 16 ft,,41,51
177,2,3:20.0,,Defensive rebound by K. Faried,41,51
178,2,3:10.0,,K. Faried misses 2-pt layup from 2 ft,41,51
179,2,3:09.0,,Offensive rebound by N. Jokić,41,51
180,2,3:09.0,,N. Jokić makes 2-pt layup from 1 ft,41,53
181,2,2:48.0,R. Lopez misses 2-pt jump shot from 19 ft,,41,53
182,2,2:47.0,,Defensive rebound by G. Harris,41,53
183,2,2:26.0,,G. Harris makes 3-pt jump shot from 24 ft (assist by E. Mudiay),41,56
184,2,2:08.0,C. Anthony makes 2-pt dunk at rim (assist by A. Afflalo),,43,56
185,2,2:08.0,Violation by Team (jump ball),,43,56
186,2,1:54.0,,K. Faried makes 2-pt dunk at rim (assist by E. Mudiay),43,58
187,2,1:41.0,Personal foul by G. Harris,,43,58
188,2,1:41.0,Official timeout,,43,58
189,2,1:41.0,K. O'Quinn enters the game for R. Lopez,,43,58
190,2,1:41.0,C. Anthony makes free throw 1 of 2,,44,58
191,2,1:41.0,C. Anthony makes free throw 2 of 2,,45,58
192,2,1:27.0,,N. Jokić misses 2-pt jump shot from 16 ft,45,58
193,2,1:26.0,Defensive rebound by J. Calderón,,45,58
194,2,1:10.0,D. Williams misses 2-pt layup at rim,,45,58
195,2,1:09.0,Offensive rebound by K. O'Quinn,,45,58
196,2,1:06.0,K. O'Quinn makes 2-pt layup from 2 ft,,47,58
197,2,0:47.0,,J. Sampson makes 2-pt layup from 1 ft (assist by G. Harris),47,60
198,2,0:33.0,C. Anthony misses 2-pt jump shot from 13 ft,,47,60
199,2,0:32.0,,Defensive rebound by E. Mudiay,47,60
200,2,0:25.0,,E. Mudiay misses 2-pt jump shot from 6 ft,47,60
201,2,0:24.0,Defensive rebound by J. Calderón,,47,60
202,2,0:05.0,K. O'Quinn makes 2-pt jump shot from 21 ft (assist by J. Calderón),,49,60
203,2,0:04.0,,Turnover by G. Harris (lost ball),49,60
204,2,0:01.0,C. Anthony misses 3-pt jump shot from 26 ft,,49,60
205,2,0:00.0,Offensive rebound by Team,,49,60
206,3,11:47.0,Personal foul by J. Sampson,,49,60
207,3,11:39.0,Shooting foul by J. Sampson (drawn by C. Anthony),,49,60
208,3,11:39.0,C. Anthony makes free throw 1 of 2,,50,60
209,3,11:39.0,,D. Arthur enters the game for J. Sampson,50,60
210,3,11:39.0,C. Anthony makes free throw 2 of 2,,51,60
211,3,11:18.0,,E. Mudiay misses 2-pt layup from 1 ft (block by J. Calderón),51,60
212,3,11:18.0,Defensive rebound by Team,,51,60
213,3,11:05.0,J. Calderón makes 2-pt layup from 2 ft (assist by K. Porziņģis),,53,60
214,3,10:40.0,,E. Mudiay misses 2-pt jump shot from 19 ft,53,60
215,3,10:39.0,,Offensive rebound by K. Faried,53,60
216,3,10:39.0,,K. Faried misses 2-pt layup from 1 ft,53,60
217,3,10:36.0,Defensive rebound by R. Lopez,,53,60
218,3,10:30.0,A. Afflalo makes 3-pt jump shot from 26 ft (assist by J. Calderón),,56,60
219,3,10:29.0,,Denver full timeout,56,60
220,3,10:15.0,,N. Jokić makes 2-pt layup from 2 ft (assist by D. Arthur),56,62
221,3,10:05.0,A. Afflalo misses 3-pt jump shot from 24 ft,,56,62
222,3,10:03.0,,Defensive rebound by N. Jokić,56,62
223,3,9:48.0,,E. Mudiay makes 3-pt jump shot from 25 ft (assist by G. Harris),56,65
224,3,9:29.0,Personal foul by D. Arthur,,56,65
225,3,9:16.0,C. Anthony makes 2-pt jump shot from 17 ft,,58,65
226,3,9:03.0,,N. Jokić misses 2-pt layup at rim (block by K. Porziņģis),58,65
227,3,9:01.0,Defensive rebound by J. Calderón,,58,65
228,3,8:42.0,C. Anthony misses 3-pt jump shot from 24 ft,,58,65
229,3,8:41.0,,Defensive rebound by E. Mudiay,58,65
230,3,8:30.0,,K. Faried makes 2-pt jump shot from 19 ft (assist by G. Harris),58,67
231,3,8:11.0,K. Porziņģis misses 3-pt jump shot from 23 ft,,58,67
232,3,8:10.0,,Defensive rebound by K. Faried,58,67
233,3,7:56.0,,N. Jokić misses 2-pt jump shot from 3 ft,58,67
234,3,7:55.0,,Offensive rebound by K. Faried,58,67
235,3,7:55.0,,Shooting foul by C. Anthony (drawn by K. Faried),58,67
236,3,7:55.0,,K. Faried makes free throw 1 of 2,58,68
237,3,7:55.0,D. Williams enters the game for K. Porziņģis,,58,68
238,3,7:55.0,,K. Faried makes free throw 2 of 2,58,69
239,3,7:38.0,Turnover by D. Williams (lost ball; steal by K. Faried),,58,69
240,3,7:35.0,,K. Faried misses 2-pt layup at rim (block by C. Anthony),58,69
241,3,7:34.0,,Offensive rebound by Team,58,69
242,3,7:23.0,,N. Jokić misses 2-pt layup from 3 ft (block by C. Anthony),58,69
243,3,7:21.0,Defensive rebound by A. Afflalo,,58,69
244,3,7:19.0,Offensive foul by R. Lopez (drawn by E. Mudiay),,58,69
245,3,7:19.0,Turnover by R. Lopez (offensive foul),,58,69
246,3,7:19.0,K. O'Quinn enters the game for R. Lopez,,58,69
247,3,7:06.0,,E. Mudiay misses 2-pt jump shot from 5 ft,58,69
248,3,7:03.0,Defensive rebound by A. Afflalo,,58,69
249,3,6:55.0,C. Anthony makes 3-pt jump shot from 24 ft (assist by A. Afflalo),,61,69
250,3,6:35.0,,N. Jokić misses 2-pt layup from 2 ft,61,69
251,3,6:33.0,,Offensive rebound by N. Jokić,61,69
252,3,6:33.0,,N. Jokić misses 2-pt layup from 2 ft (block by K. O'Quinn),61,69
253,3,6:30.0,Defensive rebound by D. Williams,,61,69
254,3,6:19.0,K. O'Quinn misses 3-pt jump shot from 24 ft,,61,69
255,3,6:18.0,,Defensive rebound by G. Harris,61,69
256,3,6:13.0,,Shooting foul by C. Anthony (drawn by K. Faried),61,69
257,3,6:13.0,,K. Faried misses free throw 1 of 2,61,69
258,3,6:13.0,,Offensive rebound by Team,61,69
259,3,6:13.0,,K. Faried makes free throw 2 of 2,61,70
260,3,5:58.0,D. Williams misses 2-pt jump shot from 21 ft,,61,70
261,3,5:57.0,,Defensive rebound by N. Jokić,61,70
262,3,5:44.0,,G. Harris makes 2-pt layup from 1 ft,61,72
263,3,5:44.0,New York full timeout,,61,72
264,3,5:44.0,J. Grant enters the game for A. Afflalo,,61,72
265,3,5:44.0,L. Galloway enters the game for J. Calderón,,61,72
266,3,5:30.0,L. Galloway misses 2-pt jump shot from 22 ft,,61,72
267,3,5:30.0,Offensive rebound by K. O'Quinn,,61,72
268,3,5:24.0,C. Anthony misses 2-pt jump shot from 18 ft,,61,72
269,3,5:24.0,Offensive rebound by D. Williams,,61,72
270,3,5:10.0,D. Williams misses 2-pt layup from 1 ft (block by K. Faried),,61,72
271,3,5:09.0,,Defensive rebound by N. Jokić,61,72
272,3,5:03.0,,K. Faried makes 2-pt dunk at rim (assist by E. Mudiay),61,74
273,3,4:40.0,L. Galloway misses 2-pt jump shot from 21 ft,,61,74
274,3,4:39.0,,Defensive rebound by E. Mudiay,61,74
275,3,4:38.0,,Personal foul by J. Grant,61,74
276,3,4:38.0,K. Séraphin enters the game for D. Williams,,61,74
277,3,4:31.0,,K. Faried misses 2-pt jump shot from 10 ft,61,74
278,3,4:30.0,Defensive rebound by K. O'Quinn,,61,74
279,3,4:17.0,K. O'Quinn makes 2-pt jump shot from 5 ft (assist by J. Grant),,63,74
280,3,4:06.0,,E. Mudiay misses 2-pt layup from 1 ft,63,74
281,3,4:05.0,Defensive rebound by K. Séraphin,,63,74
282,3,3:47.0,K. Séraphin misses 2-pt jump shot from 20 ft,,63,74
283,3,3:46.0,,Defensive rebound by G. Harris,63,74
284,3,3:37.0,,Def 3 sec tech foul by K. O'Quinn,63,74
285,3,3:37.0,,G. Harris makes technical free throw,63,75
286,3,3:37.0,,J. Lauvergne enters the game for N. Jokić,63,75
287,3,3:37.0,,W. Barton enters the game for K. Faried,63,75
288,3,3:30.0,,E. Mudiay misses 2-pt jump shot from 6 ft,63,75
289,3,3:29.0,Defensive rebound by C. Anthony,,63,75
290,3,3:22.0,K. O'Quinn makes 2-pt layup from 1 ft (assist by C. Anthony),,65,75
291,3,3:12.0,,D. Arthur makes 2-pt jump shot from 20 ft (assist by E. Mudiay),65,77
292,3,2:56.0,K. Séraphin misses 2-pt hook shot from 9 ft,,65,77
293,3,2:54.0,Offensive rebound by C. Anthony,,65,77
294,3,2:54.0,C. Anthony makes 2-pt layup from 1 ft,,67,77
295,3,2:30.0,,E. Mudiay misses 3-pt jump shot from 25 ft,67,77
296,3,2:29.0,Defensive rebound by K. O'Quinn,,67,77
297,3,2:15.0,Shooting foul by E. Mudiay (drawn by J. Grant),,67,77
298,3,2:15.0,J. Grant misses free throw 1 of 2,,67,77
299,3,2:15.0,Offensive rebound by Team,,67,77
300,3,2:15.0,,D. Augustin enters the game for E. Mudiay,67,77
301,3,2:15.0,,A. Toupane enters the game for G. Harris,67,77
302,3,2:15.0,J. Grant makes free throw 2 of 2,,68,77
303,3,1:57.0,,D. Augustin misses 2-pt layup from 2 ft,68,77
304,3,1:56.0,Defensive rebound by J. Grant,,68,77
305,3,1:42.0,C. Anthony misses 2-pt jump shot from 17 ft,,68,77
306,3,1:41.0,,Defensive rebound by W. Barton,68,77
307,3,1:31.0,,D. Arthur makes 3-pt jump shot from 25 ft (assist by J. Lauvergne),68,80
308,3,1:10.0,K. Séraphin misses 2-pt dunk at rim,,68,80
309,3,1:10.0,,Defensive rebound by D. Augustin,68,80
310,3,1:02.0,,J. Lauvergne misses 2-pt jump shot from 21 ft,68,80
311,3,1:02.0,Defensive rebound by L. Galloway,,68,80
312,3,0:49.0,K. O'Quinn misses 2-pt jump shot from 18 ft,,68,80
313,3,0:48.0,,Defensive rebound by J. Lauvergne,68,80
314,3,0:41.0,,W. Barton misses 2-pt layup from 1 ft,68,80
315,3,0:40.0,,Offensive rebound by Team,68,80
316,3,0:40.0,Loose ball foul by K. Séraphin,,68,80
317,3,0:40.0,K. Porziņģis enters the game for K. O'Quinn,,68,80
318,3,0:40.0,A. Afflalo enters the game for C. Anthony,,68,80
319,3,0:30.0,,A. Toupane misses 3-pt jump shot from 23 ft,68,80
320,3,0:29.0,Defensive rebound by K. Porziņģis,,68,80
321,3,0:21.0,Turnover by J. Grant (bad pass; steal by J. Lauvergne),,68,80
322,3,0:18.0,,A. Toupane makes 2-pt dunk at rim (assist by J. Lauvergne),68,82
323,3,0:05.0,Personal block foul by D. Arthur,,68,82
324,3,0:05.0,L. Galloway misses free throw 1 of 2,,68,82
325,3,0:05.0,Offensive rebound by Team,,68,82
326,3,0:05.0,L. Galloway misses free throw 2 of 2,,68,82
327,3,0:04.0,,Defensive rebound by J. Lauvergne,68,82
328,3,0:01.0,,D. Augustin misses 3-pt jump shot from 26 ft,68,82
329,3,0:00.0,,Offensive rebound by Team,68,82
330,4,11:39.0,,N. Jokić makes 2-pt layup from 1 ft (assist by J. Lauvergne),68,84
331,4,11:23.0,Shooting foul by A. Toupane (drawn by A. Afflalo),,68,84
332,4,11:23.0,A. Afflalo makes free throw 1 of 2,,69,84
333,4,11:23.0,A. Afflalo makes free throw 2 of 2,,70,84
334,4,11:10.0,,Turnover by D. Augustin (bad pass),70,84
335,4,10:58.0,A. Afflalo makes 2-pt jump shot from 8 ft (assist by K. Porziņģis),,72,84
336,4,10:37.0,,N. Jokić misses 2-pt layup from 2 ft,72,84
337,4,10:37.0,Defensive rebound by Team,,72,84
338,4,10:37.0,,Loose ball foul by J. Lauvergne,72,84
339,4,10:22.0,K. Porziņģis misses 2-pt jump shot from 4 ft,,72,84
340,4,10:21.0,,Defensive rebound by J. Lauvergne,72,84
341,4,10:11.0,,N. Jokić misses 2-pt layup from 1 ft (block by K. Séraphin),72,84
342,4,10:10.0,Defensive rebound by K. Porziņģis,,72,84
343,4,10:08.0,Shooting foul by J. Lauvergne (drawn by L. Galloway),,72,84
344,4,10:08.0,L. Galloway makes free throw 1 of 2,,73,84
345,4,10:08.0,L. Galloway makes free throw 2 of 2,,74,84
346,4,9:54.0,,N. Jokić misses 3-pt jump shot from 24 ft,74,84
347,4,9:53.0,Defensive rebound by J. Grant,,74,84
348,4,9:33.0,Turnover by K. Porziņģis (bad pass; steal by A. Toupane),,74,84
349,4,9:25.0,,A. Toupane makes 2-pt layup at rim (assist by W. Barton),74,86
350,4,9:25.0,,Shooting foul by A. Afflalo (drawn by A. Toupane),74,86
351,4,9:25.0,,A. Toupane makes free throw 1 of 1,74,87
352,4,9:11.0,K. Porziņģis makes 2-pt jump shot from 21 ft (assist by L. Galloway),,76,87
353,4,8:56.0,,Personal foul by L. Galloway,76,87
354,4,8:56.0,Official timeout,,76,87
355,4,8:56.0,C. Anthony enters the game for K. Séraphin,,76,87
356,4,8:47.0,,N. Jokić makes 2-pt layup from 1 ft (assist by D. Augustin),76,89
357,4,8:32.0,Shooting foul by J. Lauvergne (drawn by C. Anthony),,76,89
358,4,8:32.0,C. Anthony makes free throw 1 of 2,,77,89
359,4,8:32.0,,D. Arthur enters the game for J. Lauvergne,77,89
360,4,8:32.0,C. Anthony makes free throw 2 of 2,,78,89
361,4,8:18.0,,D. Augustin misses 3-pt jump shot from 25 ft,78,89
362,4,8:17.0,Defensive rebound by K. Porziņģis,,78,89
363,4,8:04.0,Shooting foul by W. Barton (drawn by J. Grant),,78,89
364,4,8:04.0,J. Grant makes free throw 1 of 2,,79,89
365,4,8:04.0,,G. Harris enters the game for A. Toupane,79,89
366,4,8:04.0,J. Grant makes free throw 2 of 2,,80,89
367,4,7:39.0,,G. Harris misses 2-pt jump shot from 18 ft,80,89
368,4,7:38.0,,Offensive rebound by Team,80,89
369,4,7:38.0,Loose ball foul by J. Grant,,80,89
370,4,7:31.0,,Shooting foul by J. Grant (drawn by N. Jokić),80,89
371,4,7:31.0,,N. Jokić misses free throw 1 of 2,80,89
372,4,7:31.0,,Offensive rebound by Team,80,89
373,4,7:31.0,,N. Jokić misses free throw 2 of 2,80,89
374,4,7:28.0,Defensive rebound by J. Grant,,80,89
375,4,7:26.0,Turnover by J. Grant (bad pass; steal by W. Barton),,80,89
376,4,7:19.0,,G. Harris misses 3-pt jump shot from 26 ft,80,89
377,4,7:19.0,Defensive rebound by K. Porziņģis,,80,89
378,4,7:12.0,A. Afflalo misses 2-pt layup from 1 ft,,80,89
379,4,7:11.0,Offensive rebound by C. Anthony,,80,89
380,4,7:09.0,C. Anthony misses 2-pt layup from 1 ft (block by N. Jokić),,80,89
381,4,7:07.0,,Defensive rebound by G. Harris,80,89
382,4,7:01.0,,D. Augustin misses 3-pt jump shot from 24 ft,80,89
383,4,7:00.0,,Offensive rebound by W. Barton,80,89
384,4,6:52.0,,D. Arthur misses 2-pt hook shot from 3 ft,80,89
385,4,6:51.0,Defensive rebound by K. Porziņģis,,80,89
386,4,6:42.0,K. Porziņģis makes 2-pt layup from 1 ft (assist by C. Anthony),,82,89
