,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DETROIT_ACTION,CLEVELAND_SCORE,DETROIT_SCORE
249,3,10:02.0,,R. Jackson misses 2-pt jump shot from 5 ft (block by T. Thompson),71,58
250,3,10:01.0,Defensive rebound by L. James,,71,58
251,3,9:56.0,K. Love misses 2-pt layup at rim,,71,58
252,3,9:56.0,Offensive rebound by L. James,,71,58
253,3,9:53.0,L. James misses 2-pt layup at rim,,71,58
254,3,9:52.0,,Defensive rebound by K. Caldwell-Pope,71,58
255,3,9:44.0,,A. Tolliver misses 3-pt jump shot from 25 ft,71,58
256,3,9:44.0,Defensive rebound by T. Thompson,,71,58
257,3,9:30.0,L. James makes 2-pt jump shot from 16 ft,,73,58
258,3,9:30.0,,Detroit full timeout,73,58
259,3,9:20.0,,Personal foul by J. Smith (drawn by K. Caldwell-Pope),73,58
260,3,9:19.0,,Turnover by M. Morris (bad pass),73,58
261,3,9:07.0,J. Smith misses 2-pt layup at rim,,73,58
262,3,9:04.0,,Defensive rebound by A. Tolliver,73,58
263,3,8:58.0,,A. Tolliver makes 3-pt jump shot from 26 ft (assist by K. Caldwell-Pope),73,61
264,3,8:39.0,K. Love misses 2-pt jump shot from 20 ft,,73,61
265,3,8:39.0,,Defensive rebound by K. Caldwell-Pope,73,61
266,3,8:35.0,,K. Caldwell-Pope makes 2-pt layup at rim,73,63
267,3,8:35.0,Cleveland full timeout,,73,63
268,3,8:35.0,,E. İlyasova enters the game for A. Tolliver,73,63
269,3,8:27.0,Offensive foul by J. Smith (drawn by M. Morris),,73,63
270,3,8:27.0,Turnover by J. Smith (offensive foul),,73,63
271,3,8:11.0,,M. Morris makes 2-pt jump shot from 15 ft,73,65
272,3,7:51.0,K. Love makes 3-pt jump shot from 27 ft (assist by L. James),,76,65
273,3,7:34.0,,E. İlyasova misses 3-pt jump shot from 22 ft,76,65
274,3,7:33.0,Defensive rebound by T. Thompson,,76,65
275,3,7:25.0,K. Irving misses 3-pt jump shot from 25 ft,,76,65
276,3,7:25.0,,Defensive rebound by A. Drummond,76,65
277,3,6:59.0,,R. Jackson misses 2-pt jump shot from 7 ft,76,65
278,3,6:59.0,Defensive rebound by K. Love,,76,65
279,3,6:44.0,J. Smith misses 3-pt jump shot from 26 ft,,76,65
280,3,6:43.0,,Defensive rebound by K. Caldwell-Pope,76,65
281,3,6:40.0,Personal foul by M. Morris (drawn by L. James),,76,65
282,3,6:40.0,,Personal foul by L. James,76,65
283,3,6:40.0,,S. Johnson enters the game for M. Morris,76,65
284,3,6:19.0,,A. Drummond makes 2-pt hook shot from 8 ft (assist by R. Jackson),76,67
285,3,6:12.0,Personal foul by S. Johnson (drawn by L. James),,76,67
286,3,6:04.0,K. Love misses 2-pt jump shot from 3 ft,,76,67
287,3,6:04.0,Offensive rebound by T. Thompson,,76,67
288,3,6:04.0,Shooting foul by E. İlyasova (drawn by T. Thompson),,76,67
289,3,6:04.0,T. Thompson makes free throw 1 of 2,,77,67
290,3,6:04.0,T. Thompson makes free throw 2 of 2,,78,67
291,3,5:44.0,,K. Caldwell-Pope makes 2-pt jump shot from 16 ft,78,69
292,3,5:35.0,K. Irving makes 2-pt layup at rim,,80,69
293,3,5:16.0,,Turnover by R. Jackson (lost ball; steal by L. James),80,69
294,3,5:13.0,L. James misses 2-pt dunk at rim,,80,69
295,3,5:08.0,Offensive rebound by T. Thompson,,80,69
296,3,5:04.0,K. Love makes 3-pt jump shot from 26 ft (assist by L. James),,83,69
297,3,4:47.0,,R. Jackson misses 2-pt jump shot from 5 ft,83,69
298,3,4:46.0,Defensive rebound by T. Thompson,,83,69
299,3,4:29.0,K. Irving makes 2-pt jump shot from 11 ft,,85,69
300,3,4:13.0,Offensive charge foul by E. İlyasova (drawn by K. Irving),,85,69
301,3,4:13.0,,Turnover by E. İlyasova (offensive foul),85,69
302,3,4:13.0,M. Dellavedova enters the game for K. Irving,,85,69
303,3,4:13.0,,A. Tolliver enters the game for E. İlyasova,85,69
304,3,4:04.0,Shooting foul by A. Drummond (drawn by L. James),,85,69
305,3,4:04.0,L. James makes free throw 1 of 2,,86,69
306,3,4:04.0,L. James makes free throw 2 of 2,,87,69
307,3,3:52.0,,R. Jackson makes 2-pt dunk at rim,87,71
308,3,3:25.0,J. Smith makes 3-pt jump shot from 23 ft (assist by L. James),,90,71
309,3,3:10.0,,A. Drummond makes 2-pt layup at rim (assist by A. Tolliver),90,73
310,3,2:53.0,L. James makes 2-pt jump shot from 11 ft,,92,73
311,3,2:31.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,92,73
312,3,2:31.0,Defensive rebound by T. Thompson,,92,73
313,3,2:29.0,Turnover by T. Thompson (bad pass; steal by A. Drummond),,92,73
314,3,2:25.0,,A. Drummond makes 2-pt hook shot from 8 ft,92,75
315,3,2:25.0,,Shooting foul by T. Thompson (drawn by A. Drummond),92,75
316,3,2:25.0,I. Shumpert enters the game for J. Smith,,92,75
317,3,2:25.0,T. Mozgov enters the game for T. Thompson,,92,75
318,3,2:25.0,,B. Jennings enters the game for R. Jackson,92,75
319,3,2:25.0,,A. Drummond misses free throw 1 of 1,92,75
320,3,2:24.0,Defensive rebound by L. James,,92,75
321,3,2:08.0,K. Love misses 2-pt jump shot from 15 ft,,92,75
322,3,2:07.0,,Defensive rebound by S. Johnson,92,75
323,3,2:02.0,,S. Johnson misses 2-pt layup at rim,92,75
324,3,2:01.0,,Offensive rebound by K. Caldwell-Pope,92,75
325,3,2:00.0,,K. Caldwell-Pope misses 2-pt dunk at rim,92,75
326,3,1:55.0,Defensive rebound by M. Dellavedova,,92,75
327,3,1:41.0,T. Mozgov makes 2-pt layup at rim (assist by K. Love),,94,75
328,3,1:27.0,,Shooting foul by T. Mozgov (drawn by A. Drummond),94,75
329,3,1:27.0,,A. Drummond makes free throw 1 of 2,94,76
330,3,1:27.0,R. Jefferson enters the game for K. Love,,94,76
331,3,1:27.0,,A. Drummond misses free throw 2 of 2,94,76
332,3,1:26.0,Defensive rebound by Team,,94,76
333,3,1:14.0,Shooting foul by B. Jennings (drawn by M. Dellavedova),,94,76
334,3,1:14.0,M. Dellavedova makes free throw 1 of 2,,95,76
335,3,1:14.0,M. Dellavedova makes free throw 2 of 2,,96,76
336,3,0:59.0,,Shooting foul by R. Jefferson (drawn by A. Tolliver),96,76
