,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,ATLANTA_ACTION,MEMPHIS_SCORE,ATLANTA_SCORE
171,2,6:08.0,M. Barnes enters the game for A. Stepheson,,33,29
172,2,5:55.0,Turnover by J. Green (lost ball; steal by K. Humphries),,33,29
173,2,5:46.0,,Shooting foul by M. Barnes (drawn by P. Millsap),33,29
174,2,5:46.0,,P. Millsap makes free throw 1 of 2,33,30
175,2,5:46.0,T. Allen enters the game for P. Hairston,,33,30
176,2,5:46.0,,P. Millsap makes free throw 2 of 2,33,31
177,2,5:30.0,Shooting foul by K. Humphries (drawn by L. Stephenson),,33,31
178,2,5:30.0,L. Stephenson makes free throw 1 of 2,,34,31
179,2,5:30.0,L. Stephenson makes free throw 2 of 2,,35,31
180,2,5:18.0,,K. Bazemore misses 3-pt jump shot from 24 ft,35,31
181,2,5:16.0,Defensive rebound by Team,,35,31
182,2,5:07.0,B. Weber misses 2-pt jump shot from 20 ft,,35,31
183,2,5:06.0,,Defensive rebound by P. Millsap,35,31
184,2,4:55.0,,P. Millsap misses 2-pt layup from 2 ft,35,31
185,2,4:53.0,Defensive rebound by L. Stephenson,,35,31
186,2,4:38.0,Turnover by T. Allen (lost ball),,35,31
187,2,4:38.0,,K. Hinrich enters the game for J. Teague,35,31
188,2,4:26.0,,Shooting foul by T. Allen (drawn by P. Millsap),35,31
189,2,4:26.0,,P. Millsap makes free throw 1 of 2,35,32
190,2,4:26.0,,P. Millsap makes free throw 2 of 2,35,33
191,2,4:06.0,T. Allen misses 2-pt jump shot from 6 ft,,35,33
192,2,4:05.0,Offensive rebound by T. Allen,,35,33
193,2,4:04.0,T. Allen misses 2-pt layup from 1 ft,,35,33
194,2,4:00.0,Offensive rebound by J. Green,,35,33
195,2,4:00.0,J. Green makes 2-pt layup at rim,,37,33
196,2,3:50.0,,Shooting foul by M. Barnes (drawn by K. Humphries),37,33
197,2,3:50.0,,K. Humphries makes free throw 1 of 2,37,34
198,2,3:50.0,,K. Humphries makes free throw 2 of 2,37,35
199,2,3:33.0,Turnover by M. Barnes (bad pass),,37,35
200,2,3:12.0,,P. Millsap makes 2-pt jump shot from 10 ft,37,37
201,2,3:03.0,T. Allen misses 2-pt layup from 2 ft,,37,37
202,2,3:02.0,,Defensive rebound by K. Humphries,37,37
203,2,2:49.0,,Turnover by K. Humphries (lost ball; steal by T. Allen),37,37
204,2,2:45.0,T. Allen misses 2-pt layup from 1 ft (block by K. Bazemore),,37,37
205,2,2:43.0,,Defensive rebound by P. Millsap,37,37
206,2,2:38.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by K. Hinrich),37,40
207,2,2:29.0,Memphis full timeout,,37,40
208,2,2:29.0,Official timeout,,37,40
209,2,2:29.0,J. Martin enters the game for T. Allen,,37,40
210,2,2:29.0,,A. Horford enters the game for K. Humphries,37,40
211,2,2:10.0,J. Martin misses 2-pt layup from 1 ft,,37,40
212,2,2:08.0,,Defensive rebound by K. Korver,37,40
213,2,1:55.0,,A. Horford makes 2-pt layup at rim (assist by K. Bazemore),37,42
214,2,1:29.0,J. Green misses 2-pt jump shot from 6 ft,,37,42
215,2,1:26.0,Offensive rebound by J. Martin,,37,42
216,2,1:26.0,J. Martin makes 2-pt layup at rim,,39,42
217,2,1:15.0,,Shooting foul by J. Green (drawn by A. Horford),39,42
218,2,1:15.0,,A. Horford makes free throw 1 of 2,39,43
219,2,1:15.0,,A. Horford makes free throw 2 of 2,39,44
220,2,1:02.0,M. Barnes misses 2-pt jump shot from 19 ft,,39,44
221,2,1:01.0,,Defensive rebound by K. Hinrich,39,44
222,2,0:52.0,,A. Horford makes 3-pt jump shot from 23 ft (assist by P. Millsap),39,47
223,2,0:39.0,L. Stephenson misses 3-pt jump shot from 24 ft,,39,47
224,2,0:38.0,,Defensive rebound by K. Bazemore,39,47
225,2,0:30.0,,K. Bazemore misses 2-pt layup from 2 ft,39,47
226,2,0:30.0,,Offensive rebound by A. Horford,39,47
227,2,0:30.0,,A. Horford makes 2-pt dunk at rim,39,49
228,2,0:08.0,L. Stephenson makes 2-pt layup from 1 ft,,41,49
229,2,0:02.0,,P. Millsap misses 3-pt jump shot from 24 ft,41,49
230,2,0:01.0,Defensive rebound by M. Barnes,,41,49
231,3,11:49.0,Turnover by R. Hollins (back court),,41,49
232,3,11:29.0,,Turnover by K. Korver (lost ball),41,49
233,3,11:22.0,Personal foul by J. Teague,,41,49
234,3,11:13.0,M. Barnes misses 2-pt jump shot from 21 ft,,41,49
235,3,11:12.0,,Defensive rebound by A. Horford,41,49
236,3,11:05.0,,J. Teague misses 3-pt jump shot from 24 ft,41,49
237,3,11:03.0,Defensive rebound by R. Hollins,,41,49
238,3,10:57.0,Turnover by M. Barnes (bad pass; steal by K. Korver),,41,49
239,3,10:46.0,,K. Bazemore misses 2-pt layup at rim,41,49
240,3,10:44.0,Defensive rebound by T. Allen,,41,49
241,3,10:28.0,T. Allen makes 3-pt jump shot from 23 ft (assist by B. Weber),,44,49
242,3,10:09.0,,J. Teague misses 3-pt jump shot from 24 ft,44,49
243,3,10:07.0,Defensive rebound by J. Green,,44,49
244,3,9:49.0,J. Green misses 3-pt jump shot from 23 ft,,44,49
245,3,9:47.0,,Defensive rebound by K. Bazemore,44,49
246,3,9:31.0,,K. Korver misses 2-pt jump shot from 15 ft,44,49
247,3,9:30.0,Defensive rebound by T. Allen,,44,49
248,3,9:12.0,T. Allen makes 2-pt layup from 1 ft (assist by B. Weber),,46,49
249,3,8:58.0,,J. Teague makes 2-pt jump shot from 5 ft,46,51
250,3,8:35.0,J. Green misses 2-pt hook shot from 9 ft,,46,51
251,3,8:34.0,,Defensive rebound by A. Horford,46,51
252,3,8:25.0,,K. Korver makes 2-pt layup from 1 ft (assist by P. Millsap),46,53
253,3,8:05.0,Turnover by M. Barnes (lost ball),,46,53
254,3,7:52.0,,A. Horford makes 2-pt layup from 1 ft (assist by J. Teague),46,55
255,3,7:29.0,T. Allen makes 2-pt layup from 1 ft,,48,55
256,3,7:18.0,,Shooting foul by J. Green (drawn by P. Millsap),48,55
257,3,7:18.0,,P. Millsap makes free throw 1 of 2,48,56
258,3,7:18.0,J. Martin enters the game for J. Green,,48,56
259,3,7:18.0,,P. Millsap misses free throw 2 of 2,48,56
260,3,7:18.0,Defensive rebound by M. Barnes,,48,56
261,3,7:18.0,Memphis full timeout,,48,56
262,3,7:18.0,,T. Sefolosha enters the game for K. Korver,48,56
263,3,7:02.0,M. Barnes misses 3-pt jump shot from 24 ft,,48,56
264,3,7:01.0,Offensive rebound by J. Martin,,48,56
265,3,6:58.0,J. Martin misses 2-pt layup from 1 ft (block by P. Millsap),,48,56
266,3,6:56.0,,Defensive rebound by J. Teague,48,56
267,3,6:52.0,,T. Sefolosha makes 2-pt dunk at rim (assist by J. Teague),48,58
268,3,6:24.0,M. Barnes misses 2-pt jump shot from 15 ft,,48,58
269,3,6:24.0,Offensive rebound by Team,,48,58
270,3,6:24.0,A. Stepheson enters the game for R. Hollins,,48,58
271,3,6:14.0,Turnover by J. Martin (lost ball),,48,58
272,3,6:14.0,,K. Korver enters the game for K. Bazemore,48,58
273,3,5:55.0,R. McCallum enters the game for T. Allen,,48,58
274,3,5:52.0,,P. Millsap misses 2-pt jump shot from 17 ft,48,58
275,3,5:51.0,Defensive rebound by M. Barnes,,48,58
276,3,5:37.0,R. McCallum misses 2-pt jump shot from 10 ft,,48,58
277,3,5:32.0,,Defensive rebound by T. Sefolosha,48,58
278,3,5:29.0,,Shooting foul by R. McCallum (drawn by T. Sefolosha),48,58
279,3,5:29.0,,T. Sefolosha makes free throw 1 of 2,48,59
280,3,5:29.0,,K. Humphries enters the game for A. Horford,48,59
281,3,5:29.0,L. Stephenson enters the game for M. Barnes,,48,59
282,3,5:29.0,,T. Sefolosha misses free throw 2 of 2,48,59
283,3,5:28.0,Defensive rebound by L. Stephenson,,48,59
284,3,5:04.0,A. Stepheson misses 2-pt jump shot from 14 ft,,48,59
285,3,5:01.0,Offensive rebound by B. Weber,,48,59
286,3,4:58.0,B. Weber misses 3-pt jump shot from 24 ft,,48,59
287,3,4:57.0,,Defensive rebound by T. Sefolosha,48,59
288,3,4:53.0,,Shooting foul by R. McCallum (drawn by K. Humphries),48,59
289,3,4:53.0,,K. Humphries misses free throw 1 of 2,48,59
290,3,4:53.0,,Offensive rebound by Team,48,59
291,3,4:53.0,,K. Hinrich enters the game for J. Teague,48,59
292,3,4:53.0,,K. Humphries misses free throw 2 of 2,48,59
293,3,4:52.0,Defensive rebound by J. Martin,,48,59
294,3,4:31.0,Shooting foul by K. Korver (drawn by J. Martin),,48,59
295,3,4:31.0,J. Martin makes free throw 1 of 2,,49,59
296,3,4:31.0,P. Hairston enters the game for B. Weber,,49,59
297,3,4:31.0,J. Martin makes free throw 2 of 2,,50,59
298,3,4:14.0,,K. Humphries misses 2-pt layup from 3 ft (block by A. Stepheson),50,59
299,3,4:11.0,,Offensive rebound by K. Humphries,50,59
300,3,4:10.0,,Turnover by K. Humphries (bad pass; steal by R. McCallum),50,59
301,3,4:06.0,J. Martin misses 2-pt jump shot from 18 ft,,50,59
302,3,4:04.0,,Defensive rebound by K. Hinrich,50,59
303,3,3:51.0,,Personal foul by J. Martin,50,59
304,3,3:51.0,,T. Hardaway enters the game for K. Korver,50,59
305,3,3:47.0,,P. Millsap makes 2-pt hook shot from 10 ft,50,61
306,3,3:33.0,Turnover by R. McCallum (bad pass),,50,61
307,3,3:15.0,,K. Humphries makes 3-pt jump shot from 24 ft (assist by K. Hinrich),50,64
308,3,2:54.0,P. Hairston makes 2-pt layup from 2 ft (assist by A. Stepheson),,52,64
309,3,2:50.0,,Atlanta full timeout,52,64
310,3,2:36.0,,T. Hardaway misses 3-pt jump shot from 24 ft,52,64
311,3,2:34.0,,Offensive rebound by K. Humphries,52,64
312,3,2:21.0,,P. Millsap misses 2-pt layup from 1 ft,52,64
313,3,2:19.0,,Offensive rebound by K. Humphries,52,64
314,3,2:06.0,,P. Millsap misses 2-pt layup from 3 ft (block by A. Stepheson),52,64
315,3,2:06.0,,Offensive rebound by Team,52,64
316,3,2:06.0,,A. Horford enters the game for P. Millsap,52,64
317,3,2:01.0,,Turnover by T. Hardaway (lost ball; steal by J. Martin),52,64
318,3,1:39.0,Shooting foul by K. Humphries (drawn by L. Stephenson),,52,64
319,3,1:39.0,L. Stephenson makes free throw 1 of 2,,53,64
320,3,1:39.0,L. Stephenson makes free throw 2 of 2,,54,64
321,3,1:23.0,,A. Horford makes 2-pt layup from 1 ft (assist by K. Humphries),54,66
322,3,1:08.0,Turnover by J. Martin (lost ball; steal by K. Hinrich),,54,66
323,3,1:02.0,,T. Sefolosha makes 2-pt layup at rim (assist by A. Horford),54,68
324,3,0:45.0,L. Stephenson makes 2-pt layup from 1 ft,,56,68
325,3,0:37.0,,K. Hinrich misses 2-pt layup from 1 ft,56,68
326,3,0:36.0,,Offensive rebound by K. Hinrich,56,68
327,3,0:34.0,,T. Hardaway makes 3-pt jump shot from 23 ft (assist by K. Hinrich),56,71
328,3,0:20.0,P. Hairston misses 3-pt jump shot from 23 ft,,56,71
329,3,0:19.0,Offensive rebound by A. Stepheson,,56,71
330,3,0:18.0,Shooting foul by K. Humphries (drawn by A. Stepheson),,56,71
331,3,0:18.0,A. Stepheson makes free throw 1 of 2,,57,71
332,3,0:18.0,,K. Korver enters the game for T. Sefolosha,57,71
333,3,0:18.0,B. Weber enters the game for J. Martin,,57,71
334,3,0:18.0,A. Stepheson makes free throw 2 of 2,,58,71
335,3,0:04.0,,K. Hinrich misses 3-pt jump shot from 25 ft,58,71
336,3,0:03.0,Defensive rebound by L. Stephenson,,58,71
337,3,0:00.0,L. Stephenson misses 3-pt jump shot from 40 ft,,58,71
338,3,0:00.0,Offensive rebound by Team,,58,71
339,4,11:45.0,,A. Horford misses 2-pt dunk at rim,58,71
340,4,11:44.0,Defensive rebound by L. Stephenson,,58,71
341,4,11:20.0,R. McCallum misses 2-pt jump shot from 19 ft,,58,71
342,4,11:19.0,,Defensive rebound by M. Scott,58,71
343,4,11:14.0,,J. Teague makes 3-pt jump shot from 24 ft (assist by M. Scott),58,74
344,4,10:50.0,P. Hairston makes 2-pt layup from 1 ft (assist by L. Stephenson),,60,74
345,4,10:39.0,,M. Scott misses 2-pt jump shot from 7 ft,60,74
346,4,10:37.0,Defensive rebound by L. Stephenson,,60,74
347,4,10:28.0,R. McCallum misses 2-pt jump shot from 19 ft,,60,74
348,4,10:27.0,,Defensive rebound by T. Sefolosha,60,74
349,4,10:17.0,,T. Sefolosha misses 3-pt jump shot from 24 ft,60,74
350,4,10:16.0,Defensive rebound by A. Stepheson,,60,74
351,4,10:02.0,A. Stepheson makes 2-pt hook shot from 4 ft (assist by L. Stephenson),,62,74
352,4,9:51.0,,A. Horford misses 3-pt jump shot from 24 ft,62,74
353,4,9:51.0,Defensive rebound by R. McCallum,,62,74
354,4,9:51.0,Personal foul by A. Horford,,62,74
355,4,9:51.0,R. Hollins enters the game for A. Stepheson,,62,74
356,4,9:34.0,P. Hairston makes 2-pt layup from 1 ft,,64,74
357,4,9:20.0,,A. Horford makes 2-pt layup from 3 ft (assist by J. Teague),64,76
358,4,8:58.0,R. Hollins makes 2-pt layup at rim (assist by L. Stephenson),,66,76
359,4,8:44.0,,J. Teague makes 2-pt layup from 1 ft,66,78
360,4,8:37.0,Personal foul by J. Teague,,66,78
361,4,8:37.0,Official timeout,,66,78
362,4,8:37.0,,K. Bazemore enters the game for M. Scott,66,78
363,4,8:29.0,R. McCallum misses 2-pt jump shot from 11 ft,,66,78
364,4,8:28.0,,Defensive rebound by T. Sefolosha,66,78
365,4,8:12.0,,T. Sefolosha makes 3-pt jump shot from 23 ft (assist by J. Teague),66,81
366,4,8:01.0,L. Stephenson misses 2-pt jump shot from 5 ft,,66,81
367,4,8:00.0,Offensive rebound by R. McCallum,,66,81
368,4,7:45.0,R. McCallum makes 3-pt jump shot from 24 ft (assist by L. Stephenson),,69,81
369,4,7:29.0,,J. Teague makes 2-pt jump shot from 11 ft,69,83
370,4,7:09.0,P. Hairston misses 3-pt jump shot from 24 ft,,69,83
371,4,7:06.0,Offensive rebound by B. Weber,,69,83
372,4,7:05.0,Shooting foul by T. Sefolosha (drawn by P. Hairston),,69,83
373,4,7:05.0,P. Hairston makes free throw 1 of 2,,70,83
374,4,7:05.0,,K. Korver enters the game for T. Hardaway,70,83
375,4,7:05.0,P. Hairston misses free throw 2 of 2,,70,83
376,4,7:03.0,,Defensive rebound by T. Sefolosha,70,83
377,4,7:00.0,,Turnover by T. Sefolosha (bad pass; steal by B. Weber),70,83
378,4,6:55.0,P. Hairston misses 3-pt jump shot from 24 ft,,70,83
379,4,6:54.0,,Defensive rebound by K. Bazemore,70,83
380,4,6:36.0,,K. Bazemore misses 2-pt layup from 2 ft (block by R. McCallum),70,83
381,4,6:35.0,Defensive rebound by Team,,70,83
382,4,6:22.0,P. Hairston misses 2-pt jump shot from 3 ft (block by A. Horford),,70,83
383,4,6:19.0,,Defensive rebound by T. Sefolosha,70,83
384,4,6:18.0,,Turnover by T. Sefolosha (lost ball; steal by B. Weber),70,83
385,4,6:14.0,R. McCallum makes 2-pt layup from 1 ft,,72,83
386,4,5:54.0,,A. Horford misses 2-pt jump shot from 6 ft,72,83
387,4,5:53.0,Defensive rebound by P. Hairston,,72,83
388,4,5:52.0,Memphis full timeout,,72,83
389,4,5:52.0,,P. Millsap enters the game for A. Horford,72,83
390,4,5:52.0,,K. Hinrich enters the game for J. Teague,72,83
391,4,5:52.0,J. Green enters the game for R. Hollins,,72,83
