,QUARTER,TIME_REMAINING,MIAMI_ACTION,PHOENIX_ACTION,MIAMI_SCORE,PHOENIX_SCORE
121,2,9:31.0,,A. Goodwin misses free throw 2 of 2,25,27
122,2,9:30.0,,Offensive rebound by M. Morris,25,27
123,2,9:22.0,,T. Warren misses 2-pt jump shot from 14 ft,25,27
124,2,9:20.0,Defensive rebound by A. Stoudemire,,25,27
125,2,9:11.0,Turnover by T. Johnson (bad pass; steal by D. Booker),,25,27
126,2,9:05.0,,A. Goodwin misses 2-pt jump shot from 3 ft (block by A. Stoudemire),25,27
127,2,9:02.0,Defensive rebound by T. Johnson,,25,27
128,2,9:01.0,Shooting foul by D. Booker (drawn by G. Green),,25,27
129,2,9:01.0,G. Green makes free throw 1 of 2,,26,27
130,2,9:01.0,G. Green makes free throw 2 of 2,,27,27
131,2,8:41.0,,D. Booker misses 3-pt jump shot from 24 ft,27,27
132,2,8:39.0,Defensive rebound by T. Johnson,,27,27
133,2,8:34.0,G. Green misses 3-pt jump shot from 26 ft,,27,27
134,2,8:33.0,,Defensive rebound by Team,27,27
135,2,8:33.0,Loose ball foul by J. Winslow (drawn by A. Goodwin),,27,27
136,2,8:33.0,Official timeout,,27,27
137,2,8:33.0,,M. Teletović enters the game for A. Len,27,27
138,2,8:18.0,,M. Morris makes 2-pt layup from 2 ft,27,29
139,2,7:59.0,Personal foul by M. Morris (drawn by C. Bosh),,27,29
140,2,7:51.0,Shooting foul by M. Morris (drawn by C. Bosh),,27,29
141,2,7:51.0,C. Bosh makes free throw 1 of 2,,28,29
142,2,7:51.0,G. Dragić enters the game for T. Johnson,,28,29
143,2,7:51.0,C. Bosh makes free throw 2 of 2,,29,29
144,2,7:38.0,,M. Teletović makes 2-pt jump shot from 8 ft (assist by D. Booker),29,31
145,2,7:27.0,Miami full timeout,,29,31
146,2,7:15.0,D. Wade enters the game for J. Winslow,,29,31
147,2,7:10.0,G. Green makes 2-pt jump shot from 13 ft,,31,31
148,2,6:56.0,,Turnover by M. Morris (lost ball; steal by G. Green),31,31
149,2,6:51.0,D. Wade makes 2-pt layup at rim (assist by G. Dragić),,33,31
150,2,6:35.0,,M. Morris misses 2-pt dunk at rim (block by A. Stoudemire),33,31
151,2,6:34.0,,Offensive rebound by Team,33,31
152,2,6:24.0,,Turnover by D. Booker (bad pass; steal by D. Wade),33,31
153,2,6:20.0,G. Green makes 2-pt dunk at rim (assist by D. Wade),,35,31
154,2,6:16.0,,Phoenix full timeout,35,31
155,2,6:16.0,,P. Tucker enters the game for D. Booker,35,31
156,2,6:16.0,,B. Knight enters the game for A. Goodwin,35,31
157,2,6:16.0,L. Deng enters the game for C. Bosh,,35,31
158,2,6:03.0,,Turnover by M. Teletović (bad pass),35,31
159,2,5:43.0,Personal foul by M. Morris (drawn by L. Deng),,35,31
160,2,5:43.0,,T. Chandler enters the game for M. Morris,35,31
161,2,5:32.0,Shooting foul by T. Warren (drawn by D. Wade),,35,31
162,2,5:32.0,D. Wade makes free throw 1 of 2,,36,31
163,2,5:32.0,H. Whiteside enters the game for A. Stoudemire,,36,31
164,2,5:32.0,D. Wade makes free throw 2 of 2,,37,31
165,2,5:22.0,,T. Chandler misses 2-pt layup from 1 ft,37,31
166,2,5:20.0,Defensive rebound by G. Green,,37,31
167,2,5:12.0,D. Wade makes 2-pt jump shot from 11 ft,,39,31
168,2,4:52.0,,B. Knight misses 3-pt jump shot from 25 ft,39,31
169,2,4:50.0,,Offensive rebound by M. Teletović,39,31
170,2,4:48.0,,M. Teletović makes 2-pt jump shot from 13 ft,39,33
171,2,4:30.0,H. Whiteside misses 2-pt hook shot from 4 ft,,39,33
172,2,4:27.0,,Defensive rebound by T. Chandler,39,33
173,2,4:18.0,,T. Warren misses 3-pt jump shot from 23 ft,39,33
174,2,4:16.0,Defensive rebound by H. Whiteside,,39,33
175,2,4:04.0,G. Dragić makes 2-pt jump shot from 9 ft,,41,33
176,2,3:38.0,,B. Knight misses 2-pt jump shot from 12 ft,41,33
177,2,3:35.0,Defensive rebound by G. Green,,41,33
178,2,3:18.0,Shooting foul by T. Warren (drawn by L. Deng),,41,33
179,2,3:18.0,L. Deng makes free throw 1 of 2,,42,33
180,2,3:18.0,,J. Leuer enters the game for M. Teletović,42,33
181,2,3:18.0,L. Deng makes free throw 2 of 2,,43,33
182,2,2:58.0,,Shooting foul by D. Wade (drawn by P. Tucker),43,33
183,2,2:58.0,,P. Tucker makes free throw 1 of 2,43,34
184,2,2:58.0,,P. Tucker misses free throw 2 of 2,43,34
185,2,2:57.0,Defensive rebound by H. Whiteside,,43,34
186,2,2:38.0,D. Wade makes 2-pt dunk at rim,,45,34
187,2,2:18.0,,B. Knight makes 2-pt jump shot from 4 ft,45,36
188,2,1:57.0,G. Dragić misses 3-pt jump shot from 24 ft,,45,36
189,2,1:55.0,,Defensive rebound by T. Chandler,45,36
190,2,1:49.0,,B. Knight makes 2-pt jump shot from 5 ft,45,38
191,2,1:26.0,G. Dragić makes 2-pt jump shot from 15 ft,,47,38
192,2,1:15.0,,Turnover by B. Knight (bad pass; steal by L. Deng),47,38
193,2,1:12.0,Shooting foul by J. Leuer (drawn by D. Wade),,47,38
194,2,1:12.0,D. Wade makes free throw 1 of 2,,48,38
195,2,1:12.0,C. Bosh enters the game for H. Whiteside,,48,38
196,2,1:12.0,D. Wade makes free throw 2 of 2,,49,38
197,2,1:02.0,,B. Knight misses 2-pt jump shot from 16 ft,49,38
198,2,1:00.0,,Offensive rebound by T. Chandler,49,38
199,2,0:59.0,,T. Chandler makes 2-pt dunk at rim,49,40
200,2,0:46.0,C. Bosh misses 2-pt jump shot from 16 ft,,49,40
201,2,0:44.0,,Defensive rebound by B. Knight,49,40
202,2,0:36.0,,Personal foul by G. Dragić (drawn by T. Chandler),49,40
203,2,0:36.0,,Phoenix full timeout,49,40
204,2,0:36.0,J. Winslow enters the game for G. Dragić,,49,40
205,2,0:33.0,,B. Knight misses 3-pt jump shot from 25 ft,49,40
206,2,0:31.0,Defensive rebound by L. Deng,,49,40
207,2,0:25.0,Miami full timeout,,49,40
208,2,0:25.0,G. Dragić enters the game for J. Winslow,,49,40
209,2,0:13.0,C. Bosh makes 2-pt jump shot from 6 ft (assist by D. Wade),,51,40
210,2,0:01.0,,Turnover by P. Tucker (lost ball),51,40
211,2,0:01.0,,Loose ball foul by P. Tucker (drawn by G. Green),51,40
212,2,0:01.0,G. Green makes free throw 1 of 2,,52,40
213,2,0:01.0,G. Green makes free throw 2 of 2,,53,40
214,3,11:46.0,,J. Leuer makes 2-pt jump shot from 11 ft,53,42
215,3,11:24.0,L. Deng misses 2-pt jump shot from 20 ft,,53,42
216,3,11:22.0,,Defensive rebound by J. Leuer,53,42
217,3,11:03.0,,P. Tucker makes 2-pt jump shot from 4 ft,53,44
218,3,10:49.0,H. Whiteside makes 2-pt jump shot from 4 ft (assist by G. Dragić),,55,44
219,3,10:49.0,Shooting foul by T. Chandler (drawn by H. Whiteside),,55,44
220,3,10:49.0,H. Whiteside misses free throw 1 of 1,,55,44
221,3,10:48.0,,Defensive rebound by J. Leuer,55,44
222,3,10:31.0,,Offensive foul by J. Leuer (drawn by D. Wade),55,44
223,3,10:31.0,,Turnover by J. Leuer (offensive foul),55,44
224,3,10:16.0,H. Whiteside misses 2-pt jump shot from 16 ft,,55,44
225,3,10:14.0,,Defensive rebound by J. Leuer,55,44
226,3,10:09.0,,T. Chandler makes 2-pt dunk at rim (assist by B. Knight),55,46
227,3,9:43.0,L. Deng makes 2-pt jump shot from 7 ft (assist by G. Dragić),,57,46
228,3,9:33.0,,D. Booker misses 3-pt jump shot from 25 ft,57,46
229,3,9:31.0,,Offensive rebound by J. Leuer,57,46
230,3,9:27.0,,J. Leuer misses 2-pt hook shot from 8 ft,57,46
231,3,9:25.0,Defensive rebound by H. Whiteside,,57,46
232,3,9:02.0,C. Bosh misses 2-pt jump shot from 17 ft,,57,46
233,3,9:00.0,Offensive rebound by H. Whiteside,,57,46
234,3,8:58.0,H. Whiteside misses 2-pt layup from 1 ft,,57,46
235,3,8:53.0,,Defensive rebound by T. Chandler,57,46
236,3,8:51.0,,Personal foul by G. Dragić (drawn by B. Knight),57,46
237,3,8:51.0,,B. Knight makes free throw 1 of 2,57,47
238,3,8:51.0,,B. Knight makes free throw 2 of 2,57,48
239,3,8:37.0,H. Whiteside misses 2-pt layup from 2 ft,,57,48
240,3,8:34.0,,Defensive rebound by P. Tucker,57,48
241,3,8:29.0,,B. Knight makes 3-pt jump shot from 24 ft,57,51
242,3,8:28.0,Miami full timeout,,57,51
243,3,8:10.0,D. Wade makes 2-pt jump shot from 18 ft,,59,51
244,3,7:52.0,,B. Knight makes 2-pt jump shot from 13 ft (assist by J. Leuer),59,53
245,3,7:52.0,,Shooting foul by G. Dragić (drawn by B. Knight),59,53
246,3,7:52.0,,B. Knight makes free throw 1 of 1,59,54
247,3,7:28.0,Turnover by Team (shot clock),,59,54
248,3,7:14.0,,J. Leuer misses 3-pt jump shot from 23 ft,59,54
249,3,7:12.0,,Offensive rebound by D. Booker,59,54
250,3,7:03.0,,B. Knight misses 3-pt jump shot from 24 ft,59,54
251,3,7:01.0,Defensive rebound by L. Deng,,59,54
252,3,6:42.0,D. Wade misses 2-pt jump shot from 17 ft,,59,54
253,3,6:41.0,Offensive rebound by H. Whiteside,,59,54
254,3,6:40.0,Turnover by H. Whiteside (lost ball; steal by P. Tucker),,59,54
255,3,6:37.0,,D. Booker makes 2-pt layup from 1 ft (assist by P. Tucker),59,56
256,3,6:37.0,,Shooting foul by L. Deng (drawn by D. Booker),59,56
257,3,6:37.0,,D. Booker makes free throw 1 of 1,59,57
258,3,6:23.0,C. Bosh misses 3-pt jump shot from 23 ft,,59,57
259,3,6:21.0,,Defensive rebound by J. Leuer,59,57
260,3,6:16.0,,D. Booker makes 3-pt jump shot from 24 ft (assist by B. Knight),59,60
261,3,6:16.0,,Shooting foul by C. Bosh (drawn by D. Booker),59,60
262,3,6:16.0,G. Green enters the game for H. Whiteside,,59,60
263,3,6:16.0,,D. Booker makes free throw 1 of 1,59,61
264,3,6:01.0,C. Bosh misses 2-pt jump shot from 18 ft,,59,61
265,3,5:59.0,,Defensive rebound by J. Leuer,59,61
266,3,5:49.0,,D. Booker makes 2-pt jump shot from 12 ft,59,63
267,3,5:35.0,Turnover by D. Wade (bad pass; steal by T. Chandler),,59,63
268,3,5:28.0,,D. Booker makes 2-pt layup from 1 ft,59,65
269,3,5:28.0,Miami full timeout,,59,65
270,3,5:09.0,D. Wade makes 2-pt jump shot from 3 ft,,61,65
271,3,4:49.0,,B. Knight misses 2-pt jump shot from 18 ft,61,65
272,3,4:48.0,Defensive rebound by L. Deng,,61,65
273,3,4:35.0,C. Bosh makes 3-pt jump shot from 24 ft (assist by L. Deng),,64,65
274,3,4:13.0,,Turnover by D. Booker (bad pass; steal by G. Dragić),64,65
275,3,4:08.0,G. Green makes 2-pt dunk at rim (assist by G. Dragić),,66,65
276,3,4:08.0,,Phoenix full timeout,66,65
277,3,4:08.0,T. Johnson enters the game for D. Wade,,66,65
278,3,4:08.0,,A. Len enters the game for T. Chandler,66,65
279,3,3:55.0,,Turnover by J. Leuer (lost ball; steal by C. Bosh),66,65
280,3,3:50.0,L. Deng misses 2-pt layup from 1 ft,,66,65
281,3,3:47.0,,Defensive rebound by J. Leuer,66,65
282,3,3:40.0,,Turnover by B. Knight (bad pass),66,65
283,3,3:22.0,L. Deng makes 2-pt layup at rim (assist by C. Bosh),,68,65
284,3,3:09.0,,D. Booker misses 2-pt jump shot from 16 ft,68,65
285,3,3:07.0,Defensive rebound by L. Deng,,68,65
286,3,3:01.0,G. Dragić makes 2-pt jump shot from 5 ft,,70,65
287,3,2:41.0,,B. Knight makes 2-pt layup from 2 ft,70,67
288,3,2:36.0,G. Dragić makes 2-pt layup from 2 ft (assist by L. Deng),,72,67
289,3,2:13.0,,J. Leuer makes 2-pt jump shot from 3 ft (assist by B. Knight),72,69
290,3,1:55.0,G. Green misses 3-pt jump shot from 24 ft,,72,69
291,3,1:53.0,,Defensive rebound by P. Tucker,72,69
292,3,1:42.0,,A. Len makes 2-pt jump shot from 15 ft,72,71
293,3,1:26.0,C. Bosh makes 2-pt jump shot from 18 ft (assist by G. Dragić),,74,71
294,3,1:14.0,,D. Booker misses 2-pt jump shot from 13 ft,74,71
295,3,1:13.0,Defensive rebound by G. Green,,74,71
296,3,1:13.0,Personal foul by A. Len (drawn by G. Green),,74,71
297,3,1:13.0,D. Wade enters the game for C. Bosh,,74,71
298,3,1:13.0,A. Stoudemire enters the game for G. Dragić,,74,71
299,3,1:12.0,,M. Teletović enters the game for J. Leuer,74,71
300,3,1:01.0,D. Wade misses 2-pt jump shot from 5 ft,,74,71
301,3,1:00.0,,Defensive rebound by P. Tucker,74,71
302,3,0:55.0,,D. Booker misses 3-pt jump shot from 25 ft,74,71
303,3,0:53.0,,Offensive rebound by P. Tucker,74,71
304,3,0:53.0,,P. Tucker misses 2-pt layup at rim,74,71
305,3,0:50.0,Defensive rebound by L. Deng,,74,71
306,3,0:45.0,G. Green makes 3-pt jump shot from 22 ft (assist by T. Johnson),,77,71
307,3,0:27.0,,B. Knight makes 2-pt jump shot from 21 ft,77,73
308,3,0:11.0,G. Green misses 3-pt jump shot from 24 ft,,77,73
309,3,0:09.0,,Defensive rebound by P. Tucker,77,73
310,3,0:03.0,,M. Teletović misses 3-pt jump shot from 25 ft,77,73
311,3,0:01.0,,Offensive rebound by P. Tucker,77,73
312,3,0:00.0,,P. Tucker misses 2-pt layup from 1 ft,77,73
313,3,0:00.0,,Offensive rebound by Team,77,73
314,4,11:44.0,A. Stoudemire misses 2-pt layup from 2 ft (block by A. Len),,77,73
315,4,11:44.0,,Offensive rebound by Team,77,73
316,4,11:33.0,,T. Warren misses 2-pt jump shot from 17 ft (block by D. Wade),77,73
317,4,11:31.0,Defensive rebound by J. Winslow,,77,73
318,4,11:20.0,Turnover by D. Wade (bad pass),,77,73
319,4,11:05.0,,D. Booker misses 3-pt jump shot from 25 ft,77,73
320,4,11:03.0,Defensive rebound by D. Wade,,77,73
321,4,10:53.0,G. Green makes 2-pt jump shot from 15 ft (assist by T. Johnson),,79,73
322,4,10:29.0,,A. Len misses 2-pt jump shot from 4 ft (block by T. Johnson),79,73
323,4,10:27.0,Defensive rebound by A. Stoudemire,,79,73
324,4,10:27.0,Personal take foul by D. Booker (drawn by D. Wade),,79,73
325,4,10:27.0,,A. Goodwin enters the game for B. Knight,79,73
326,4,10:27.0,,P. Tucker enters the game for A. Len,79,73
327,4,10:06.0,T. Johnson misses 2-pt layup from 1 ft,,79,73
328,4,10:03.0,,Defensive rebound by A. Goodwin,79,73
329,4,10:00.0,,M. Teletović makes 3-pt jump shot from 24 ft (assist by A. Goodwin),79,76
330,4,9:40.0,Shooting foul by M. Teletović (drawn by G. Green),,79,76
331,4,9:40.0,G. Green misses free throw 1 of 2,,79,76
332,4,9:40.0,Offensive rebound by Team,,79,76
333,4,9:40.0,G. Green makes free throw 2 of 2,,80,76
334,4,9:27.0,,D. Booker misses 2-pt dunk at rim,80,76
335,4,9:25.0,Defensive rebound by J. Winslow,,80,76
336,4,9:23.0,Turnover by D. Wade (bad pass),,80,76
337,4,9:10.0,,M. Teletović makes 3-pt jump shot from 24 ft (assist by A. Goodwin),80,79
338,4,8:52.0,Personal foul by M. Teletović (drawn by A. Stoudemire),,80,79
339,4,8:52.0,Official timeout,,80,79
340,4,8:41.0,D. Wade misses 2-pt jump shot from 18 ft,,80,79
341,4,8:39.0,,Defensive rebound by A. Goodwin,80,79
342,4,8:25.0,,A. Goodwin makes 2-pt layup from 1 ft,80,81
343,4,8:08.0,Turnover by D. Wade (lost ball; steal by M. Teletović),,80,81
344,4,8:01.0,,A. Goodwin makes 2-pt layup at rim (assist by M. Teletović),80,83
345,4,8:01.0,Miami full timeout,,80,83
346,4,8:01.0,C. Bosh enters the game for D. Wade,,80,83
347,4,8:01.0,G. Dragić enters the game for A. Stoudemire,,80,83
348,4,7:44.0,Def 3 sec tech foul by M. Teletović,,80,83
349,4,7:44.0,C. Bosh misses technical free throw,,80,83
350,4,7:44.0,Offensive rebound by Team,,80,83
351,4,7:38.0,G. Dragić misses 2-pt jump shot from 21 ft,,80,83
352,4,7:36.0,,Defensive rebound by D. Booker,80,83
353,4,7:12.0,,T. Warren misses 2-pt layup from 1 ft,80,83
354,4,7:10.0,Defensive rebound by G. Green,,80,83
355,4,7:05.0,G. Dragić misses 3-pt jump shot from 22 ft,,80,83
356,4,7:03.0,,Defensive rebound by M. Teletović,80,83
357,4,6:58.0,,M. Teletović misses 3-pt jump shot from 26 ft,80,83
358,4,6:56.0,,Offensive rebound by T. Warren,80,83
359,4,6:55.0,,Personal foul by G. Green (drawn by T. Warren),80,83
360,4,6:46.0,,T. Warren misses 2-pt jump shot from 8 ft,80,83
361,4,6:44.0,Defensive rebound by J. Winslow,,80,83
362,4,6:41.0,Shooting foul by A. Goodwin (drawn by G. Dragić),,80,83
363,4,6:41.0,G. Dragić makes free throw 1 of 2,,81,83
364,4,6:41.0,,B. Knight enters the game for T. Warren,81,83
365,4,6:41.0,G. Dragić misses free throw 2 of 2,,81,83
366,4,6:40.0,,Defensive rebound by D. Booker,81,83
367,4,6:20.0,,P. Tucker makes 2-pt hook shot from 3 ft,81,85
368,4,5:54.0,G. Dragić makes 2-pt layup from 1 ft,,83,85
369,4,5:45.0,,B. Knight makes 2-pt layup from 2 ft,83,87
370,4,5:22.0,T. Johnson misses 3-pt jump shot from 24 ft,,83,87
371,4,5:20.0,,Defensive rebound by D. Booker,83,87
372,4,5:06.0,,Turnover by P. Tucker (lost ball; steal by C. Bosh),83,87
373,4,4:55.0,G. Dragić makes 3-pt jump shot from 23 ft (assist by G. Green),,86,87
374,4,4:41.0,,B. Knight misses 2-pt layup from 1 ft,86,87
375,4,4:38.0,Defensive rebound by J. Winslow,,86,87
376,4,4:35.0,G. Green makes 3-pt jump shot from 25 ft (assist by G. Dragić),,89,87
377,4,4:34.0,,Phoenix full timeout,89,87
378,4,4:34.0,,T. Chandler enters the game for A. Goodwin,89,87
379,4,4:34.0,D. Wade enters the game for T. Johnson,,89,87
380,4,4:25.0,,Turnover by B. Knight (bad pass),89,87
381,4,4:05.0,C. Bosh misses 2-pt layup from 1 ft,,89,87
382,4,4:00.0,,Defensive rebound by T. Chandler,89,87
383,4,3:54.0,,Turnover by B. Knight (bad pass; steal by J. Winslow),89,87
384,4,3:52.0,Shooting foul by D. Booker (drawn by D. Wade),,89,87
385,4,3:52.0,D. Wade makes free throw 1 of 2,,90,87
386,4,3:52.0,D. Wade makes free throw 2 of 2,,91,87
