,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,NEW YORK_ACTION,MILWAUKEE_SCORE,NEW YORK_SCORE
285,3,5:58.0,,L. Galloway misses free throw 1 of 2,64,60
286,3,5:58.0,,Offensive rebound by Team,64,60
287,3,5:58.0,,K. O'Quinn enters the game for R. Lopez,64,60
288,3,5:58.0,J. O'Bryant enters the game for J. Parker,,64,60
289,3,5:58.0,,L. Galloway misses free throw 2 of 2,64,60
290,3,5:57.0,,Offensive rebound by K. Porziņģis,64,60
291,3,5:52.0,,L. Galloway misses 3-pt jump shot from 23 ft,64,60
292,3,5:49.0,,Offensive rebound by K. Porziņģis,64,60
293,3,5:49.0,,K. Porziņģis makes 2-pt dunk at rim,64,62
294,3,5:30.0,G. Vásquez makes 2-pt layup from 1 ft,,66,62
295,3,5:12.0,,Personal foul by G. Antetokounmpo (drawn by K. Porziņģis),66,62
296,3,4:58.0,,J. Grant misses 3-pt jump shot from 24 ft,66,62
297,3,4:56.0,Defensive rebound by G. Vásquez,,66,62
298,3,4:42.0,Turnover by G. Monroe (lost ball; steal by J. Grant),,66,62
299,3,4:38.0,,J. Grant makes 2-pt layup from 1 ft,66,64
300,3,4:21.0,Shooting foul by J. Grant (drawn by K. Middleton),,66,64
301,3,4:21.0,K. Middleton makes free throw 1 of 2,,67,64
302,3,4:21.0,J. Henson enters the game for G. Monroe,,67,64
303,3,4:21.0,K. Middleton makes free throw 2 of 2,,68,64
304,3,4:01.0,,Personal foul by K. Middleton (drawn by J. Grant),68,64
305,3,3:58.0,Violation by G. Antetokounmpo (kicked ball),,68,64
306,3,3:54.0,,C. Anthony makes 2-pt layup from 2 ft,68,66
307,3,3:40.0,K. Middleton misses 2-pt jump shot from 12 ft,,68,66
308,3,3:38.0,Offensive rebound by Team,,68,66
309,3,3:36.0,Shooting foul by L. Galloway (drawn by J. Henson),,68,66
310,3,3:36.0,J. Henson misses free throw 1 of 2,,68,66
311,3,3:36.0,Offensive rebound by Team,,68,66
312,3,3:36.0,J. Henson makes free throw 2 of 2,,69,66
313,3,3:24.0,,K. O'Quinn makes 2-pt dunk at rim (assist by C. Anthony),69,68
314,3,3:00.0,J. O'Bryant makes 2-pt jump shot from 16 ft (assist by G. Vásquez),,71,68
315,3,2:49.0,,Personal foul by K. Middleton (drawn by J. Grant),71,68
316,3,2:49.0,Milwaukee full timeout,,71,68
317,3,2:49.0,J. Bayless enters the game for K. Middleton,,71,68
318,3,2:49.0,,D. Williams enters the game for K. Porziņģis,71,68
319,3,2:40.0,,J. Grant misses 3-pt jump shot from 25 ft,71,68
320,3,2:38.0,Defensive rebound by G. Vásquez,,71,68
321,3,2:26.0,J. Henson misses 2-pt hook shot from 4 ft,,71,68
322,3,2:25.0,Offensive rebound by J. Henson,,71,68
323,3,2:23.0,J. Henson makes 2-pt hook shot from 6 ft,,73,68
324,3,2:11.0,,C. Anthony makes 2-pt layup from 1 ft,73,70
325,3,1:51.0,Turnover by J. Bayless (bad pass; steal by D. Williams),,73,70
326,3,1:46.0,,D. Williams misses 2-pt layup from 1 ft,73,70
327,3,1:44.0,Defensive rebound by J. Bayless,,73,70
328,3,1:42.0,Turnover by J. Bayless (lost ball),,73,70
329,3,1:28.0,,D. Williams misses 2-pt layup from 2 ft (block by J. Henson),73,70
330,3,1:25.0,,Offensive rebound by K. O'Quinn,73,70
331,3,1:23.0,,K. O'Quinn makes 2-pt layup at rim,73,72
332,3,1:02.0,J. Bayless misses 3-pt jump shot from 24 ft,,73,72
333,3,1:02.0,,Defensive rebound by K. O'Quinn,73,72
334,3,1:02.0,,Turnover by K. O'Quinn (lost ball),73,72
335,3,1:02.0,,L. Thomas enters the game for C. Anthony,73,72
336,3,1:02.0,C. Copeland enters the game for G. Antetokounmpo,,73,72
337,3,0:54.0,J. O'Bryant makes 2-pt layup from 1 ft (assist by G. Vásquez),,75,72
338,3,0:54.0,Shooting foul by D. Williams (drawn by J. O'Bryant),,75,72
339,3,0:54.0,J. O'Bryant misses free throw 1 of 1,,75,72
340,3,0:54.0,,Defensive rebound by K. O'Quinn,75,72
341,3,0:49.0,,Shooting foul by J. Bayless (drawn by J. Grant),75,72
342,3,0:49.0,,J. Grant misses free throw 1 of 2,75,72
343,3,0:49.0,,Offensive rebound by Team,75,72
344,3,0:49.0,,J. Grant makes free throw 2 of 2,75,73
345,3,0:38.0,C. Copeland misses 2-pt layup from 1 ft (block by K. O'Quinn),,75,73
346,3,0:37.0,,Defensive rebound by L. Galloway,75,73
347,3,0:32.0,,L. Galloway misses 2-pt layup from 1 ft,75,73
348,3,0:29.0,Defensive rebound by J. O'Bryant,,75,73
349,3,0:21.0,J. Bayless misses 3-pt jump shot from 24 ft,,75,73
350,3,0:19.0,Offensive rebound by J. O'Bryant,,75,73
351,4,11:44.0,,L. Thomas makes 2-pt jump shot from 22 ft (assist by J. Grant),75,75
352,4,11:32.0,Offensive foul by G. Vásquez (drawn by J. Grant),,75,75
353,4,11:32.0,Turnover by G. Vásquez (offensive foul),,75,75
354,4,11:15.0,,K. O'Quinn misses 2-pt jump shot from 3 ft,75,75
355,4,11:14.0,,Offensive rebound by Team,75,75
356,4,10:57.0,,Turnover by K. O'Quinn (traveling),75,75
357,4,10:39.0,J. Henson misses 2-pt jump shot from 4 ft (block by K. O'Quinn),,75,75
358,4,10:38.0,,Defensive rebound by Team,75,75
359,4,10:21.0,,L. Thomas misses 2-pt layup from 2 ft (block by J. Henson),75,75
360,4,10:18.0,Defensive rebound by G. Vásquez,,75,75
361,4,10:17.0,J. Bayless misses 3-pt jump shot from 23 ft,,75,75
362,4,10:14.0,Offensive rebound by J. Henson,,75,75
363,4,10:09.0,G. Vásquez misses 2-pt jump shot from 3 ft (block by K. O'Quinn),,75,75
364,4,10:07.0,Offensive rebound by J. Henson,,75,75
365,4,10:07.0,Shooting foul by K. O'Quinn (drawn by J. Henson),,75,75
366,4,10:07.0,J. Henson makes free throw 1 of 2,,76,75
367,4,10:07.0,J. Henson makes free throw 2 of 2,,77,75
368,4,9:52.0,,D. Williams misses 3-pt jump shot from 24 ft,77,75
369,4,9:49.0,Defensive rebound by C. Copeland,,77,75
370,4,9:39.0,J. Henson makes 2-pt hook shot from 3 ft (assist by J. Bayless),,79,75
371,4,9:24.0,,K. O'Quinn misses 2-pt jump shot from 10 ft,79,75
372,4,9:22.0,Defensive rebound by C. Copeland,,79,75
373,4,9:02.0,J. Bayless misses 2-pt layup from 1 ft,,79,75
374,4,9:00.0,,Defensive rebound by J. Grant,79,75
375,4,8:55.0,,J. Grant makes 2-pt layup from 1 ft,79,77
376,4,8:36.0,C. Copeland misses 3-pt jump shot from 23 ft,,79,77
377,4,8:33.0,,Defensive rebound by K. O'Quinn,79,77
378,4,8:27.0,,D. Williams makes 2-pt layup from 1 ft (assist by L. Galloway),79,79
379,4,8:25.0,Milwaukee full timeout,,79,79
380,4,8:25.0,K. Middleton enters the game for J. O'Bryant,,79,79
