,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CLEVELAND_ACTION,SAN ANTONIO_SCORE,CLEVELAND_SCORE
39,1,6:38.0,,K. Love makes 2-pt jump shot from 9 ft,13,17
40,1,6:25.0,T. Parker misses 2-pt layup from 1 ft,,13,17
41,1,6:24.0,,Defensive rebound by T. Thompson,13,17
42,1,6:18.0,,L. James makes 2-pt jump shot from 8 ft,13,19
43,1,6:03.0,Turnover by K. Leonard (bad pass; steal by L. James),,13,19
44,1,5:57.0,,T. Thompson makes 2-pt dunk at rim (assist by L. James),13,21
45,1,5:43.0,T. Parker misses 2-pt jump shot from 7 ft,,13,21
46,1,5:41.0,,Defensive rebound by L. James,13,21
47,1,5:27.0,,K. Love makes 2-pt jump shot from 18 ft (assist by J. Smith),13,23
48,1,5:06.0,L. Aldridge makes 2-pt layup from 1 ft,,15,23
49,1,5:04.0,,Cleveland full timeout,15,23
50,1,5:04.0,P. Mills enters the game for D. West,,15,23
51,1,5:04.0,M. Ginóbili enters the game for D. Green,,15,23
52,1,5:04.0,B. Diaw enters the game for T. Parker,,15,23
53,1,4:48.0,,J. Smith misses 2-pt jump shot from 21 ft,15,23
54,1,4:47.0,,Offensive rebound by K. Love,15,23
55,1,4:41.0,,J. Smith misses 2-pt jump shot from 18 ft,15,23
56,1,4:41.0,,Offensive rebound by Team,15,23
57,1,4:41.0,Loose ball foul by L. Aldridge,,15,23
58,1,4:28.0,,K. Irving misses 2-pt jump shot from 14 ft,15,23
59,1,4:28.0,Defensive rebound by Team,,15,23
60,1,4:09.0,L. Aldridge makes 2-pt jump shot from 19 ft (assist by P. Mills),,17,23
61,1,3:47.0,,K. Love makes 3-pt jump shot from 24 ft (assist by L. James),17,26
62,1,3:29.0,M. Ginóbili misses 2-pt jump shot from 8 ft,,17,26
63,1,3:25.0,Offensive rebound by L. Aldridge,,17,26
64,1,3:25.0,L. Aldridge makes 2-pt hook shot from 2 ft,,19,26
65,1,3:09.0,,K. Irving misses 3-pt jump shot from 26 ft,19,26
66,1,3:09.0,,Offensive rebound by Team,19,26
67,1,3:09.0,Loose ball foul by L. Aldridge,,19,26
68,1,3:09.0,,M. Dellavedova enters the game for K. Irving,19,26
69,1,3:09.0,,R. Jefferson enters the game for L. James,19,26
70,1,3:09.0,D. West enters the game for L. Aldridge,,19,26
71,1,3:02.0,,K. Love misses 2-pt jump shot from 17 ft,19,26
72,1,3:00.0,Defensive rebound by K. Leonard,,19,26
73,1,2:54.0,M. Ginóbili makes 3-pt jump shot from 25 ft (assist by K. Leonard),,22,26
74,1,2:45.0,,Turnover by M. Dellavedova (bad pass),22,26
75,1,2:30.0,B. Diaw misses 2-pt layup at rim,,22,26
76,1,2:28.0,,Defensive rebound by J. Smith,22,26
77,1,2:16.0,,M. Dellavedova makes 2-pt jump shot from 6 ft,22,28
78,1,2:00.0,Personal foul by R. Jefferson,,22,28
79,1,2:00.0,K. Leonard makes free throw 1 of 2,,23,28
80,1,2:00.0,,I. Shumpert enters the game for K. Love,23,28
81,1,2:00.0,K. Leonard makes free throw 2 of 2,,24,28
82,1,1:47.0,,J. Smith makes 3-pt jump shot from 24 ft (assist by R. Jefferson),24,31
83,1,1:33.0,M. Ginóbili misses 2-pt layup from 2 ft,,24,31
84,1,1:32.0,,Defensive rebound by M. Dellavedova,24,31
85,1,1:27.0,,Shooting foul by K. Leonard (drawn by T. Thompson),24,31
86,1,1:27.0,,T. Thompson makes free throw 1 of 2,24,32
87,1,1:27.0,K. Anderson enters the game for K. Leonard,,24,32
88,1,1:27.0,,T. Thompson makes free throw 2 of 2,24,33
89,1,1:12.0,P. Mills misses 3-pt jump shot from 25 ft,,24,33
90,1,1:12.0,Offensive rebound by B. Diaw,,24,33
91,1,1:03.0,D. West makes 2-pt jump shot from 12 ft (assist by B. Diaw),,26,33
92,1,0:52.0,,M. Dellavedova misses 2-pt jump shot from 8 ft,26,33
93,1,0:50.0,,Offensive rebound by M. Dellavedova,26,33
94,1,0:47.0,,J. Smith misses 3-pt jump shot from 23 ft,26,33
95,1,0:46.0,Defensive rebound by M. Ginóbili,,26,33
96,1,0:37.0,B. Diaw makes 2-pt layup at rim (assist by K. Anderson),,28,33
97,1,0:28.0,,T. Thompson makes 2-pt layup at rim (assist by M. Dellavedova),28,35
98,1,0:17.0,B. Diaw makes 2-pt layup at rim,,30,35
99,1,0:00.0,,J. Smith makes 2-pt jump shot from 20 ft (assist by M. Dellavedova),30,37
100,2,11:42.0,P. Mills makes 2-pt jump shot from 18 ft (assist by M. Ginóbili),,32,37
101,2,11:21.0,,T. Mozgov makes 2-pt layup from 2 ft (assist by I. Shumpert),32,39
102,2,11:09.0,P. Mills misses 2-pt jump shot from 12 ft,,32,39
103,2,11:08.0,,Defensive rebound by I. Shumpert,32,39
104,2,10:57.0,,R. Jefferson makes 3-pt jump shot from 22 ft (assist by K. Irving),32,42
105,2,10:47.0,Personal foul by T. Mozgov,,32,42
106,2,10:47.0,B. Marjanović enters the game for D. West,,32,42
107,2,10:30.0,M. Ginóbili misses 3-pt jump shot from 24 ft,,32,42
108,2,10:29.0,,Defensive rebound by R. Jefferson,32,42
109,2,10:13.0,,K. Irving makes 2-pt layup at rim,32,44
110,2,9:50.0,P. Mills misses 3-pt jump shot from 24 ft,,32,44
111,2,9:49.0,,Defensive rebound by R. Jefferson,32,44
112,2,9:41.0,,Personal foul by M. Ginóbili,32,44
113,2,9:29.0,,K. Irving makes 2-pt jump shot from 18 ft,32,46
114,2,9:14.0,Shooting foul by R. Jefferson (drawn by K. Anderson),,32,46
115,2,9:14.0,K. Anderson makes free throw 1 of 2,,33,46
116,2,9:14.0,,L. James enters the game for R. Jefferson,33,46
117,2,9:14.0,K. Leonard enters the game for B. Diaw,,33,46
118,2,9:14.0,J. Simmons enters the game for M. Ginóbili,,33,46
119,2,9:14.0,K. Anderson makes free throw 2 of 2,,34,46
120,2,8:53.0,,Shooting foul by B. Marjanović (drawn by L. James),34,46
121,2,8:53.0,Official timeout,,34,46
122,2,8:53.0,,K. Love enters the game for M. Dellavedova,34,46
123,2,8:53.0,,L. James misses free throw 1 of 2,34,46
124,2,8:53.0,,Offensive rebound by Team,34,46
125,2,8:53.0,T. Parker enters the game for P. Mills,,34,46
126,2,8:53.0,,L. James misses free throw 2 of 2,34,46
127,2,8:52.0,Defensive rebound by K. Anderson,,34,46
128,2,8:37.0,K. Anderson makes 2-pt jump shot from 15 ft,,36,46
129,2,8:21.0,,T. Mozgov misses 2-pt layup from 1 ft,36,46
130,2,8:20.0,Defensive rebound by J. Simmons,,36,46
131,2,7:59.0,K. Anderson misses 3-pt jump shot from 24 ft,,36,46
132,2,7:58.0,,Defensive rebound by I. Shumpert,36,46
133,2,7:42.0,,Shooting foul by J. Simmons (drawn by L. James),36,46
134,2,7:42.0,,L. James makes free throw 1 of 2,36,47
135,2,7:42.0,,L. James makes free throw 2 of 2,36,48
136,2,7:22.0,K. Leonard misses 3-pt jump shot from 24 ft,,36,48
137,2,7:21.0,,Defensive rebound by K. Love,36,48
138,2,6:58.0,,L. James misses 2-pt jump shot from 15 ft,36,48
139,2,6:57.0,Defensive rebound by T. Parker,,36,48
140,2,6:52.0,T. Parker misses 2-pt jump shot from 5 ft (block by L. James),,36,48
141,2,6:52.0,Offensive rebound by Team,,36,48
142,2,6:37.0,J. Simmons makes 2-pt layup at rim,,38,48
143,2,6:24.0,,K. Love makes 2-pt jump shot from 12 ft (assist by K. Irving),38,50
144,2,6:04.0,Shooting foul by T. Mozgov (drawn by B. Marjanović),,38,50
145,2,6:04.0,B. Marjanović makes free throw 1 of 2,,39,50
146,2,6:04.0,B. Marjanović makes free throw 2 of 2,,40,50
147,2,5:48.0,,K. Love makes 2-pt jump shot from 9 ft (assist by K. Irving),40,52
148,2,5:24.0,K. Leonard makes 3-pt jump shot from 24 ft (assist by T. Parker),,43,52
149,2,5:15.0,,Personal foul by J. Simmons,43,52
150,2,5:15.0,,Cleveland full timeout,43,52
151,2,5:15.0,D. Green enters the game for K. Anderson,,43,52
152,2,4:55.0,,T. Mozgov makes 2-pt layup from 1 ft (assist by K. Love),43,54
153,2,4:38.0,T. Parker makes 2-pt jump shot from 12 ft (assist by J. Simmons),,45,54
154,2,4:20.0,,T. Mozgov makes 2-pt dunk at rim (assist by K. Irving),45,56
155,2,4:00.0,K. Leonard misses 2-pt jump shot from 5 ft,,45,56
156,2,3:58.0,,Defensive rebound by K. Love,45,56
157,2,3:50.0,,T. Mozgov misses 2-pt layup from 2 ft,45,56
158,2,3:49.0,Defensive rebound by B. Marjanović,,45,56
159,2,3:40.0,K. Leonard misses 2-pt jump shot from 7 ft,,45,56
160,2,3:40.0,,Defensive rebound by T. Mozgov,45,56
161,2,3:36.0,,L. James misses 2-pt layup from 1 ft (block by J. Simmons),45,56
162,2,3:36.0,,Offensive rebound by Team,45,56
163,2,3:36.0,D. West enters the game for B. Marjanović,,45,56
164,2,3:36.0,,T. Thompson enters the game for T. Mozgov,45,56
165,2,3:36.0,,J. Smith enters the game for I. Shumpert,45,56
166,2,3:36.0,,M. Dellavedova enters the game for K. Irving,45,56
167,2,3:31.0,,Offensive foul by J. Smith (drawn by J. Simmons),45,56
168,2,3:31.0,,Turnover by J. Smith (offensive foul),45,56
169,2,3:13.0,Personal foul by L. James,,45,56
170,2,3:06.0,Shooting foul by M. Dellavedova (drawn by T. Parker),,45,56
171,2,3:06.0,T. Parker makes free throw 1 of 2,,46,56
172,2,3:06.0,T. Parker misses free throw 2 of 2,,46,56
173,2,3:04.0,,Defensive rebound by J. Smith,46,56
174,2,2:54.0,,Shooting foul by D. Green (drawn by L. James),46,56
175,2,2:54.0,San Antonio full timeout,,46,56
176,2,2:54.0,B. Diaw enters the game for D. Green,,46,56
177,2,2:54.0,M. Ginóbili enters the game for J. Simmons,,46,56
178,2,2:54.0,,L. James makes free throw 1 of 2,46,57
179,2,2:54.0,,L. James makes free throw 2 of 2,46,58
180,2,2:39.0,K. Leonard misses 2-pt jump shot from 9 ft,,46,58
181,2,2:37.0,,Defensive rebound by K. Love,46,58
182,2,2:29.0,,M. Dellavedova misses 3-pt jump shot from 24 ft,46,58
183,2,2:28.0,,Offensive rebound by K. Love,46,58
184,2,2:22.0,,T. Thompson makes 2-pt dunk at rim (assist by K. Love),46,60
185,2,2:09.0,M. Ginóbili misses 2-pt jump shot from 3 ft (block by K. Love),,46,60
186,2,2:08.0,,Defensive rebound by K. Love,46,60
187,2,2:01.0,,J. Smith makes 2-pt jump shot from 15 ft,46,62
188,2,1:45.0,Shooting foul by J. Smith (drawn by K. Leonard),,46,62
189,2,1:45.0,K. Leonard misses free throw 1 of 2,,46,62
190,2,1:45.0,Offensive rebound by Team,,46,62
191,2,1:45.0,,I. Shumpert enters the game for J. Smith,46,62
192,2,1:45.0,K. Leonard makes free throw 2 of 2,,47,62
193,2,1:28.0,,I. Shumpert makes 2-pt jump shot from 10 ft (assist by L. James),47,64
194,2,1:14.0,Turnover by T. Parker (step out of bounds),,47,64
195,2,1:03.0,,K. Love misses 3-pt jump shot from 25 ft,47,64
196,2,1:02.0,Defensive rebound by B. Diaw,,47,64
197,2,0:58.0,Shooting foul by M. Dellavedova (drawn by T. Parker),,47,64
198,2,0:58.0,T. Parker makes free throw 1 of 2,,48,64
199,2,0:58.0,,K. Irving enters the game for M. Dellavedova,48,64
200,2,0:58.0,T. Parker makes free throw 2 of 2,,49,64
201,2,0:35.0,,K. Irving misses 3-pt jump shot from 24 ft,49,64
202,2,0:34.0,Defensive rebound by B. Diaw,,49,64
203,2,0:27.0,T. Parker misses 2-pt jump shot from 19 ft,,49,64
204,2,0:26.0,,Defensive rebound by I. Shumpert,49,64
205,2,0:05.0,,L. James makes 2-pt layup at rim,49,66
206,2,0:00.0,Turnover by T. Parker (lost ball; steal by K. Irving),,49,66
207,3,11:35.0,L. Aldridge makes 2-pt jump shot from 13 ft,,51,66
208,3,11:11.0,,K. Irving misses 2-pt jump shot from 19 ft,51,66
209,3,11:10.0,Defensive rebound by K. Leonard,,51,66
210,3,10:56.0,L. Aldridge makes 2-pt jump shot from 6 ft,,53,66
211,3,10:39.0,,Turnover by K. Irving (traveling),53,66
212,3,10:26.0,K. Leonard makes 2-pt layup from 1 ft (assist by T. Parker),,55,66
213,3,10:26.0,,Cleveland full timeout,55,66
214,3,10:06.0,,J. Smith misses 3-pt jump shot from 24 ft,55,66
215,3,10:06.0,Defensive rebound by T. Parker,,55,66
216,3,9:52.0,D. West misses 2-pt jump shot from 14 ft,,55,66
217,3,9:52.0,,Defensive rebound by T. Thompson,55,66
218,3,9:37.0,,L. James misses 2-pt layup from 2 ft,55,66
219,3,9:36.0,Defensive rebound by K. Leonard,,55,66
220,3,9:32.0,D. Green makes 2-pt layup from 1 ft (assist by T. Parker),,57,66
221,3,9:14.0,,K. Love misses 3-pt jump shot from 24 ft,57,66
222,3,9:14.0,Defensive rebound by D. West,,57,66
223,3,8:59.0,L. Aldridge misses 2-pt jump shot from 12 ft,,57,66
224,3,8:58.0,Offensive rebound by D. Green,,57,66
225,3,8:47.0,L. Aldridge misses 2-pt jump shot from 9 ft,,57,66
226,3,8:46.0,,Defensive rebound by K. Love,57,66
227,3,8:41.0,,L. James makes 2-pt layup from 1 ft,57,68
228,3,8:23.0,K. Leonard misses 3-pt jump shot from 22 ft,,57,68
229,3,8:22.0,Offensive rebound by D. West,,57,68
230,3,8:22.0,Turnover by K. Leonard (traveling),,57,68
231,3,8:06.0,,T. Thompson misses 2-pt jump shot from 8 ft,57,68
232,3,8:05.0,Defensive rebound by D. West,,57,68
233,3,8:02.0,D. Green misses 3-pt jump shot from 26 ft,,57,68
234,3,8:00.0,,Defensive rebound by L. James,57,68
235,3,7:35.0,,K. Irving makes 2-pt jump shot from 6 ft,57,70
236,3,7:09.0,L. Aldridge misses 2-pt jump shot from 11 ft,,57,70
237,3,7:07.0,,Defensive rebound by L. James,57,70
238,3,7:07.0,,Shooting foul by D. West (drawn by L. James),57,70
239,3,7:07.0,,L. James makes free throw 1 of 2,57,71
240,3,7:07.0,M. Ginóbili enters the game for D. West,,57,71
241,3,7:07.0,B. Diaw enters the game for D. Green,,57,71
242,3,7:07.0,,L. James makes free throw 2 of 2,57,72
243,3,6:55.0,T. Parker makes 2-pt layup at rim,,59,72
244,3,6:50.0,,Shooting block foul by M. Ginóbili (drawn by K. Irving),59,72
245,3,6:50.0,,K. Irving makes free throw 1 of 2,59,73
246,3,6:50.0,,K. Irving makes free throw 2 of 2,59,74
247,3,6:36.0,T. Parker makes 2-pt layup from 1 ft,,61,74
248,3,6:21.0,,K. Love misses 2-pt jump shot from 4 ft,61,74
249,3,6:21.0,Defensive rebound by K. Leonard,,61,74
250,3,6:14.0,B. Diaw misses 2-pt layup from 2 ft,,61,74
251,3,6:13.0,,Defensive rebound by T. Thompson,61,74
252,3,6:12.0,,Personal foul by T. Parker,61,74
253,3,5:58.0,,L. James makes 2-pt layup at rim,61,76
254,3,5:55.0,San Antonio full timeout,,61,76
255,3,5:39.0,M. Ginóbili misses 3-pt jump shot from 26 ft,,61,76
256,3,5:39.0,,Defensive rebound by L. James,61,76
257,3,5:32.0,,L. James misses 2-pt layup from 2 ft,61,76
258,3,5:31.0,Defensive rebound by B. Diaw,,61,76
259,3,5:21.0,B. Diaw makes 2-pt hook shot from 5 ft,,63,76
260,3,5:21.0,Shooting foul by T. Thompson (drawn by B. Diaw),,63,76
261,3,5:21.0,B. Diaw makes free throw 1 of 1,,64,76
262,3,5:00.0,,J. Smith misses 2-pt jump shot from 15 ft,64,76
263,3,5:00.0,,Offensive rebound by Team,64,76
264,3,5:00.0,Loose ball foul by M. Ginóbili,,64,76
265,3,4:47.0,,Turnover by T. Thompson (3 sec),64,76
266,3,4:29.0,K. Leonard makes 2-pt jump shot from 6 ft,,66,76
267,3,4:16.0,,L. James misses 3-pt jump shot from 24 ft,66,76
268,3,4:15.0,,Offensive rebound by K. Love,66,76
269,3,4:10.0,,L. James makes 2-pt layup from 1 ft (assist by K. Love),66,78
270,3,3:56.0,M. Ginóbili misses 2-pt layup from 1 ft,,66,78
271,3,3:55.0,,Defensive rebound by T. Thompson,66,78
272,3,3:48.0,,K. Love makes 3-pt jump shot from 25 ft (assist by K. Irving),66,81
273,3,3:32.0,Shooting foul by K. Love (drawn by L. Aldridge),,66,81
274,3,3:32.0,L. Aldridge makes free throw 1 of 2,,67,81
275,3,3:32.0,,I. Shumpert enters the game for K. Love,67,81
276,3,3:32.0,,M. Dellavedova enters the game for K. Irving,67,81
277,3,3:32.0,P. Mills enters the game for T. Parker,,67,81
278,3,3:32.0,L. Aldridge misses free throw 2 of 2,,67,81
279,3,3:30.0,,Defensive rebound by I. Shumpert,67,81
280,3,3:06.0,,M. Dellavedova makes 3-pt jump shot from 25 ft (assist by L. James),67,84
281,3,3:02.0,Personal foul by J. Smith,,67,84
282,3,2:54.0,Shooting foul by L. James (drawn by K. Leonard),,67,84
283,3,2:54.0,K. Leonard makes free throw 1 of 2,,68,84
284,3,2:54.0,K. Leonard makes free throw 2 of 2,,69,84
285,3,2:44.0,,L. James makes 2-pt layup from 1 ft (assist by M. Dellavedova),69,86
286,3,2:29.0,M. Ginóbili misses 2-pt jump shot from 10 ft (block by T. Thompson),,69,86
287,3,2:28.0,,Defensive rebound by T. Thompson,69,86
288,3,2:23.0,,L. James makes 2-pt layup from 1 ft,69,88
289,3,2:05.0,Shooting foul by I. Shumpert (drawn by K. Leonard),,69,88
290,3,2:05.0,K. Leonard makes free throw 1 of 2,,70,88
291,3,2:05.0,K. Leonard makes free throw 2 of 2,,71,88
292,3,1:43.0,,Turnover by L. James (lost ball; steal by M. Ginóbili),71,88
293,3,1:38.0,M. Ginóbili misses 2-pt layup from 1 ft (block by L. James),,71,88
294,3,1:38.0,,Defensive rebound by M. Dellavedova,71,88
295,3,1:30.0,,Cleveland full timeout,71,88
296,3,1:30.0,K. Anderson enters the game for B. Diaw,,71,88
297,3,1:12.0,,I. Shumpert misses 3-pt jump shot from 22 ft,71,88
298,3,1:11.0,Defensive rebound by M. Ginóbili,,71,88
299,3,1:04.0,K. Anderson misses 2-pt jump shot from 6 ft,,71,88
300,3,1:02.0,Offensive rebound by K. Anderson,,71,88
301,3,0:59.0,M. Ginóbili makes 3-pt jump shot from 24 ft (assist by K. Anderson),,74,88
302,3,0:39.0,,L. James makes 2-pt jump shot from 11 ft,74,90
303,3,0:28.0,K. Leonard makes 2-pt jump shot from 14 ft,,76,90
304,3,0:06.0,,Personal foul by P. Mills,76,90
305,3,0:06.0,,L. James makes free throw 1 of 2,76,91
306,3,0:06.0,,R. Jefferson enters the game for J. Smith,76,91
307,3,0:06.0,,L. James makes free throw 2 of 2,76,92
308,3,0:00.0,K. Anderson misses 2-pt jump shot from 9 ft,,76,92
309,3,0:00.0,Offensive rebound by Team,,76,92
310,4,11:41.0,,K. Irving makes 2-pt jump shot from 13 ft,76,94
311,4,11:33.0,Personal foul by K. Irving,,76,94
312,4,11:19.0,K. Anderson makes 2-pt jump shot from 15 ft,,78,94
313,4,11:05.0,Violation by D. West (kicked ball),,78,94
314,4,11:01.0,,Turnover by K. Love (lost ball; steal by K. Anderson),78,94
315,4,11:00.0,Personal foul by M. Dellavedova,,78,94
316,4,10:51.0,K. Anderson makes 2-pt dunk at rim,,80,94
317,4,10:42.0,,Personal foul by J. Simmons,80,94
318,4,10:42.0,,R. Jefferson enters the game for T. Thompson,80,94
319,4,10:36.0,,Turnover by M. Dellavedova (bad pass),80,94
320,4,10:19.0,K. Anderson misses 2-pt jump shot from 12 ft,,80,94
321,4,10:17.0,,Defensive rebound by M. Dellavedova,80,94
322,4,9:54.0,,Turnover by Team (shot clock),80,94
323,4,9:32.0,D. West makes 2-pt layup from 2 ft (assist by D. Green),,82,94
324,4,9:07.0,,R. Jefferson misses 2-pt jump shot from 17 ft,82,94
325,4,9:07.0,Defensive rebound by K. Anderson,,82,94
326,4,9:01.0,D. Green misses 3-pt jump shot from 25 ft,,82,94
327,4,9:01.0,,Defensive rebound by K. Love,82,94
328,4,8:43.0,,K. Irving makes 2-pt jump shot from 5 ft,82,96
329,4,8:24.0,D. West makes 2-pt layup from 1 ft (assist by K. Anderson),,84,96
330,4,8:00.0,,K. Irving makes 2-pt layup from 1 ft,84,98
331,4,8:00.0,,Shooting foul by D. West (drawn by K. Irving),84,98
332,4,8:00.0,Official timeout,,84,98
333,4,8:00.0,,T. Thompson enters the game for K. Love,84,98
334,4,8:00.0,L. Aldridge enters the game for D. West,,84,98
335,4,8:00.0,,K. Irving misses free throw 1 of 1,84,98
336,4,7:59.0,Defensive rebound by L. Aldridge,,84,98
337,4,7:45.0,P. Mills misses 3-pt jump shot from 25 ft,,84,98
338,4,7:45.0,,Defensive rebound by R. Jefferson,84,98
339,4,7:40.0,,K. Irving misses 2-pt jump shot from 4 ft (block by K. Anderson),84,98
340,4,7:40.0,,Offensive rebound by K. Irving,84,98
341,4,7:39.0,,M. Dellavedova makes 3-pt jump shot from 23 ft (assist by K. Irving),84,101
342,4,7:15.0,J. Simmons makes 2-pt layup at rim,,86,101
343,4,6:57.0,,M. Dellavedova makes 2-pt jump shot from 7 ft,86,103
344,4,6:47.0,D. Green makes 3-pt jump shot from 25 ft (assist by P. Mills),,89,103
345,4,6:24.0,,K. Irving makes 2-pt hook shot from 5 ft,89,105
346,4,6:16.0,Personal foul by I. Shumpert,,89,105
347,4,6:16.0,,L. James enters the game for R. Jefferson,89,105
348,4,6:16.0,K. Leonard enters the game for K. Anderson,,89,105
349,4,6:04.0,J. Simmons makes 2-pt jump shot from 6 ft (assist by K. Leonard),,91,105
350,4,5:48.0,,K. Irving makes 2-pt layup from 1 ft (assist by T. Thompson),91,107
351,4,5:38.0,K. Leonard misses 3-pt jump shot from 25 ft,,91,107
352,4,5:37.0,,Defensive rebound by I. Shumpert,91,107
353,4,5:23.0,,M. Dellavedova makes 3-pt jump shot from 26 ft (assist by I. Shumpert),91,110
354,4,5:08.0,P. Mills makes 2-pt layup from 1 ft,,93,110
355,4,5:00.0,Violation by L. Aldridge (kicked ball),,93,110
356,4,5:00.0,,Cleveland full timeout,93,110
357,4,4:50.0,,Turnover by L. James (lost ball),93,110
358,4,4:43.0,Turnover by P. Mills (bad pass; steal by L. James),,93,110
359,4,4:41.0,,L. James makes 2-pt layup from 1 ft,93,112
360,4,4:41.0,,Shooting foul by P. Mills (drawn by L. James),93,112
361,4,4:41.0,,L. James makes free throw 1 of 1,93,113
362,4,4:20.0,L. Aldridge makes 2-pt jump shot from 12 ft (assist by J. Simmons),,95,113
363,4,4:02.0,,M. Dellavedova misses 3-pt jump shot from 22 ft,95,113
364,4,4:01.0,,Offensive rebound by T. Thompson,95,113
365,4,3:47.0,,I. Shumpert misses 3-pt jump shot from 24 ft,95,113
366,4,3:47.0,,Offensive rebound by L. James,95,113
367,4,3:38.0,,Personal foul by P. Mills,95,113
368,4,3:28.0,,M. Dellavedova makes 2-pt jump shot from 8 ft,95,115
369,4,3:18.0,K. Leonard makes 3-pt jump shot from 25 ft,,98,115
370,4,2:53.0,,K. Irving misses 2-pt jump shot from 4 ft,98,115
371,4,2:52.0,Defensive rebound by D. Green,,98,115
372,4,2:49.0,K. Leonard misses 3-pt jump shot from 25 ft,,98,115
373,4,2:49.0,,Defensive rebound by Team,98,115
374,4,2:49.0,San Antonio full timeout,,98,115
375,4,2:49.0,R. Butler enters the game for K. Leonard,,98,115
376,4,2:49.0,K. Anderson enters the game for L. Aldridge,,98,115
377,4,2:49.0,B. Marjanović enters the game for D. Green,,98,115
378,4,2:49.0,M. Bonner enters the game for P. Mills,,98,115
379,4,2:25.0,,L. James makes 2-pt jump shot from 21 ft,98,117
380,4,2:12.0,Personal foul by K. Irving,,98,117
381,4,2:12.0,,T. Mozgov enters the game for L. James,98,117
382,4,2:12.0,,J. Cunningham enters the game for T. Thompson,98,117
383,4,2:12.0,,R. Jefferson enters the game for K. Irving,98,117
384,4,2:06.0,J. Simmons misses 2-pt jump shot from 17 ft,,98,117
385,4,2:04.0,,Defensive rebound by M. Dellavedova,98,117
386,4,1:42.0,,J. Cunningham misses 3-pt jump shot from 24 ft,98,117
387,4,1:41.0,,Offensive rebound by T. Mozgov,98,117
388,4,1:37.0,,T. Mozgov misses 2-pt layup from 1 ft,98,117
389,4,1:32.0,Defensive rebound by B. Marjanović,,98,117
390,4,1:22.0,B. Marjanović misses 2-pt layup from 1 ft,,98,117
391,4,1:22.0,Offensive rebound by B. Marjanović,,98,117
392,4,1:22.0,Personal foul by T. Mozgov,,98,117
393,4,1:22.0,B. Marjanović makes free throw 1 of 2,,99,117
394,4,1:22.0,B. Marjanović misses free throw 2 of 2,,99,117
395,4,1:21.0,,Defensive rebound by T. Mozgov,99,117
396,4,1:12.0,,Offensive foul by T. Mozgov (drawn by K. Anderson),99,117
