,QUARTER,TIME_REMAINING,TORONTO_ACTION,SAN ANTONIO_ACTION,TORONTO_SCORE,SAN ANTONIO_SCORE
33,1,7:13.0,,Shooting foul by N. Powell (drawn by T. Parker),6,7
34,1,7:13.0,,T. Parker makes free throw 1 of 2,6,8
35,1,7:13.0,,T. Parker makes free throw 2 of 2,6,9
36,1,6:56.0,J. Valančiūnas makes 2-pt jump shot from 9 ft (assist by L. Scola),,8,9
37,1,6:43.0,,T. Duncan makes 2-pt layup at rim (assist by T. Parker),8,11
38,1,6:43.0,,Shooting foul by L. Scola (drawn by T. Duncan),8,11
39,1,6:43.0,,T. Duncan makes free throw 1 of 1,8,12
40,1,6:22.0,C. Joseph makes 2-pt jump shot from 5 ft,,10,12
41,1,6:04.0,,D. Green misses 3-pt jump shot from 23 ft,10,12
42,1,6:04.0,Defensive rebound by J. Valančiūnas,,10,12
43,1,5:57.0,Turnover by N. Powell (bad pass; steal by D. Green),,10,12
44,1,5:51.0,,Turnover by T. Parker (lost ball),10,12
45,1,5:51.0,,M. Ginóbili enters the game for D. Green,10,12
46,1,5:51.0,,B. Diaw enters the game for T. Duncan,10,12
47,1,5:31.0,N. Powell misses 3-pt jump shot from 24 ft,,10,12
48,1,5:31.0,,Defensive rebound by L. Aldridge,10,12
49,1,5:09.0,,M. Ginóbili makes 3-pt jump shot from 24 ft (assist by B. Diaw),10,15
50,1,5:03.0,Toronto full timeout,,10,15
51,1,5:03.0,,P. Mills enters the game for T. Parker,10,15
52,1,5:03.0,T. Ross enters the game for J. Johnson,,10,15
53,1,5:03.0,P. Patterson enters the game for L. Scola,,10,15
54,1,4:52.0,J. Valančiūnas makes 2-pt hook shot from 6 ft,,12,15
55,1,4:39.0,,Personal foul by T. Ross,12,15
56,1,4:29.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by M. Ginóbili),12,17
57,1,4:08.0,C. Joseph misses 3-pt jump shot from 25 ft,,12,17
58,1,4:07.0,,Defensive rebound by B. Diaw,12,17
59,1,3:58.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by M. Ginóbili),12,19
60,1,3:42.0,Personal foul by L. Aldridge,,12,19
61,1,3:42.0,,D. Green enters the game for K. Leonard,12,19
62,1,3:29.0,C. Joseph makes 2-pt jump shot from 14 ft,,14,19
63,1,3:14.0,,L. Aldridge misses 2-pt jump shot from 5 ft (block by J. Valančiūnas),14,19
64,1,3:12.0,Defensive rebound by P. Patterson,,14,19
65,1,3:05.0,C. Joseph misses 2-pt jump shot from 7 ft,,14,19
66,1,3:03.0,Offensive rebound by J. Valančiūnas,,14,19
67,1,3:01.0,J. Valančiūnas makes 2-pt layup at rim,,16,19
68,1,2:50.0,,Personal foul by N. Powell,16,19
69,1,2:50.0,,M. Ginóbili makes free throw 1 of 2,16,20
70,1,2:50.0,B. Biyombo enters the game for J. Valančiūnas,,16,20
71,1,2:50.0,J. Johnson enters the game for N. Powell,,16,20
72,1,2:50.0,,M. Ginóbili makes free throw 2 of 2,16,21
73,1,2:40.0,T. Ross misses 3-pt jump shot from 24 ft,,16,21
74,1,2:40.0,,Defensive rebound by D. Green,16,21
75,1,2:28.0,,B. Diaw makes 2-pt layup at rim (assist by M. Ginóbili),16,23
76,1,2:04.0,T. Ross misses 2-pt jump shot from 10 ft,,16,23
77,1,2:04.0,,Defensive rebound by L. Aldridge,16,23
78,1,1:56.0,,B. Diaw misses 2-pt layup from 2 ft (block by B. Biyombo),16,23
79,1,1:53.0,Defensive rebound by T. Ross,,16,23
80,1,1:42.0,P. Patterson misses 3-pt jump shot from 24 ft,,16,23
81,1,1:41.0,,Defensive rebound by L. Aldridge,16,23
82,1,1:29.0,,Turnover by B. Diaw (bad pass; steal by P. Patterson),16,23
83,1,1:20.0,J. Johnson misses 2-pt layup from 1 ft,,16,23
84,1,1:19.0,Offensive rebound by B. Biyombo,,16,23
85,1,1:15.0,B. Biyombo makes 2-pt dunk at rim,,18,23
86,1,0:58.0,,L. Aldridge misses 2-pt jump shot from 10 ft,18,23
87,1,0:58.0,Defensive rebound by P. Patterson,,18,23
88,1,0:41.0,Personal foul by D. Green,,18,23
89,1,0:41.0,D. Wright enters the game for C. Joseph,,18,23
90,1,0:28.0,T. Ross misses 2-pt jump shot from 15 ft,,18,23
91,1,0:27.0,,Defensive rebound by L. Aldridge,18,23
92,1,0:02.0,,D. Green makes 3-pt jump shot from 25 ft (assist by M. Ginóbili),18,26
93,1,0:00.0,T. Ross misses 3-pt jump shot from 31 ft,,18,26
94,1,0:00.0,Offensive rebound by Team,,18,26
95,2,11:47.0,,K. Leonard makes 2-pt layup at rim,18,28
96,2,11:21.0,T. Ross makes 3-pt jump shot from 25 ft (assist by D. Wright),,21,28
97,2,11:09.0,,D. West makes 2-pt layup at rim (assist by K. Leonard),21,30
98,2,10:51.0,Shooting foul by D. West (drawn by J. Johnson),,21,30
99,2,10:51.0,J. Johnson makes free throw 1 of 2,,22,30
100,2,10:51.0,J. Johnson makes free throw 2 of 2,,23,30
101,2,10:35.0,,P. Mills makes 2-pt jump shot from 17 ft (assist by D. West),23,32
102,2,10:11.0,P. Patterson makes 3-pt jump shot from 22 ft (assist by D. Wright),,26,32
103,2,9:57.0,,D. West makes 2-pt jump shot from 18 ft (assist by K. Leonard),26,34
104,2,9:42.0,J. Johnson misses 2-pt layup from 1 ft (block by M. Ginóbili),,26,34
105,2,9:41.0,,Defensive rebound by K. Leonard,26,34
106,2,9:35.0,,K. Leonard misses 3-pt jump shot from 25 ft,26,34
107,2,9:33.0,,Offensive rebound by B. Diaw,26,34
108,2,9:30.0,,P. Mills misses 3-pt jump shot from 23 ft,26,34
109,2,9:29.0,Defensive rebound by B. Biyombo,,26,34
110,2,9:16.0,Personal foul by K. Leonard,,26,34
111,2,9:01.0,Turnover by T. Ross (lost ball; steal by D. West),,26,34
112,2,8:51.0,,Personal foul by B. Biyombo,26,34
113,2,8:51.0,Official timeout,,26,34
114,2,8:51.0,,K. Anderson enters the game for M. Ginóbili,26,34
115,2,8:51.0,J. Thompson enters the game for J. Johnson,,26,34
116,2,8:43.0,,K. Leonard misses 3-pt jump shot from 24 ft,26,34
117,2,8:43.0,,Offensive rebound by D. West,26,34
118,2,8:36.0,,K. Leonard makes 2-pt jump shot from 16 ft (assist by D. West),26,36
119,2,8:19.0,D. Wright makes 2-pt layup at rim,,28,36
120,2,8:06.0,,P. Mills misses 2-pt jump shot from 18 ft,28,36
121,2,8:06.0,Defensive rebound by Team,,28,36
122,2,7:51.0,D. Wright makes 2-pt layup from 1 ft,,30,36
123,2,7:34.0,,K. Leonard makes 2-pt jump shot from 19 ft (assist by P. Mills),30,38
124,2,7:23.0,Personal foul by P. Mills,,30,38
125,2,7:23.0,,T. Parker enters the game for P. Mills,30,38
126,2,7:23.0,,L. Aldridge enters the game for B. Diaw,30,38
127,2,7:17.0,D. Wright misses 2-pt jump shot from 8 ft,,30,38
128,2,7:17.0,Offensive rebound by P. Patterson,,30,38
129,2,7:06.0,J. Thompson misses 2-pt hook shot from 10 ft,,30,38
130,2,7:04.0,,Defensive rebound by K. Anderson,30,38
131,2,7:03.0,,Turnover by K. Anderson (bad pass; steal by D. Wright),30,38
132,2,7:00.0,Turnover by D. Wright (lost ball; steal by K. Anderson),,30,38
133,2,6:54.0,,L. Aldridge makes 2-pt dunk at rim (assist by K. Anderson),30,40
134,2,6:46.0,Toronto full timeout,,30,40
135,2,6:36.0,J. Thompson makes 2-pt dunk at rim (assist by T. Ross),,32,40
136,2,6:08.0,,D. West misses 2-pt jump shot from 20 ft,32,40
137,2,6:07.0,Defensive rebound by B. Biyombo,,32,40
138,2,5:55.0,T. Ross makes 3-pt jump shot from 23 ft (assist by J. Thompson),,35,40
139,2,5:41.0,,Turnover by T. Parker (traveling),35,40
140,2,5:22.0,J. Thompson makes 3-pt jump shot from 25 ft (assist by T. Ross),,38,40
141,2,5:07.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by T. Parker),38,42
142,2,4:51.0,D. Wright makes 2-pt layup at rim,,40,42
143,2,4:35.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by D. West),40,44
144,2,4:35.0,,Shooting foul by B. Biyombo (drawn by L. Aldridge),40,44
145,2,4:35.0,J. Valančiūnas enters the game for B. Biyombo,,40,44
146,2,4:35.0,,T. Duncan enters the game for D. West,40,44
147,2,4:35.0,,M. Ginóbili enters the game for K. Anderson,40,44
148,2,4:35.0,,L. Aldridge makes free throw 1 of 1,40,45
149,2,4:24.0,Turnover by D. Wright (bad pass; steal by M. Ginóbili),,40,45
150,2,4:18.0,,L. Aldridge makes 2-pt dunk at rim (assist by K. Leonard),40,47
151,2,4:11.0,Toronto full timeout,,40,47
152,2,4:11.0,C. Joseph enters the game for D. Wright,,40,47
153,2,4:02.0,T. Ross misses 3-pt jump shot from 25 ft,,40,47
154,2,4:01.0,,Defensive rebound by M. Ginóbili,40,47
155,2,3:44.0,,L. Aldridge misses 2-pt jump shot from 9 ft,40,47
156,2,3:41.0,,Offensive rebound by T. Duncan,40,47
157,2,3:38.0,,L. Aldridge makes 2-pt dunk at rim (assist by K. Leonard),40,49
158,2,3:16.0,C. Joseph makes 2-pt jump shot from 11 ft,,42,49
159,2,2:55.0,,Personal foul by T. Ross,42,49
160,2,2:55.0,,San Antonio full timeout,42,49
161,2,2:55.0,N. Powell enters the game for T. Ross,,42,49
162,2,2:55.0,D. Wright enters the game for J. Thompson,,42,49
163,2,2:49.0,,T. Duncan misses 2-pt jump shot from 17 ft,42,49
164,2,2:48.0,Defensive rebound by D. Wright,,42,49
165,2,2:33.0,P. Patterson makes 2-pt jump shot from 8 ft (assist by C. Joseph),,44,49
166,2,2:16.0,,M. Ginóbili misses 3-pt jump shot from 24 ft,44,49
167,2,2:16.0,Defensive rebound by D. Wright,,44,49
168,2,2:01.0,Personal foul by K. Leonard,,44,49
169,2,1:56.0,Turnover by C. Joseph (bad pass; steal by M. Ginóbili),,44,49
170,2,1:42.0,,Turnover by T. Parker (lost ball; steal by D. Wright),44,49
171,2,1:27.0,Turnover by C. Joseph (lost ball; steal by M. Ginóbili),,44,49
172,2,1:17.0,,K. Leonard misses 2-pt jump shot from 15 ft,44,49
173,2,1:16.0,,Offensive rebound by L. Aldridge,44,49
174,2,1:09.0,,Shooting foul by J. Valančiūnas (drawn by L. Aldridge),44,49
175,2,1:09.0,,L. Aldridge makes free throw 1 of 2,44,50
176,2,1:09.0,,L. Aldridge makes free throw 2 of 2,44,51
177,2,0:56.0,J. Valančiūnas misses 2-pt layup from 1 ft,,44,51
178,2,0:56.0,,Defensive rebound by T. Duncan,44,51
179,2,0:46.0,,Def 3 sec tech foul by J. Valančiūnas,44,51
180,2,0:46.0,,K. Leonard makes technical free throw,44,52
181,2,0:38.0,,K. Leonard misses 2-pt jump shot from 17 ft,44,52
182,2,0:37.0,Defensive rebound by J. Valančiūnas,,44,52
183,2,0:20.0,C. Joseph misses 2-pt layup at rim (block by T. Duncan),,44,52
184,2,0:18.0,,Defensive rebound by T. Duncan,44,52
185,2,0:02.0,,K. Leonard makes 3-pt jump shot from 24 ft (assist by T. Parker),44,55
186,2,0:01.0,Personal foul by M. Ginóbili,,44,55
187,2,0:01.0,D. Wright makes free throw 1 of 2,,45,55
188,2,0:01.0,D. Wright makes free throw 2 of 2,,46,55
189,3,11:45.0,,Shooting foul by L. Scola (drawn by L. Aldridge),46,55
190,3,11:45.0,,L. Aldridge makes free throw 1 of 2,46,56
191,3,11:45.0,,L. Aldridge makes free throw 2 of 2,46,57
192,3,11:19.0,J. Johnson misses 3-pt jump shot from 23 ft,,46,57
193,3,11:18.0,Offensive rebound by J. Valančiūnas,,46,57
194,3,11:06.0,N. Powell misses 2-pt layup at rim (block by T. Duncan),,46,57
195,3,11:04.0,,Defensive rebound by K. Leonard,46,57
196,3,11:04.0,,Turnover by K. Leonard (lost ball),46,57
197,3,10:56.0,Turnover by J. Valančiūnas (lost ball; steal by K. Leonard),,46,57
198,3,10:39.0,,K. Leonard misses 2-pt jump shot from 15 ft,46,57
199,3,10:38.0,Defensive rebound by L. Scola,,46,57
200,3,10:35.0,Turnover by C. Joseph (step out of bounds),,46,57
201,3,10:18.0,,Shooting foul by L. Scola (drawn by L. Aldridge),46,57
202,3,10:18.0,,L. Aldridge makes free throw 1 of 2,46,58
203,3,10:18.0,,L. Aldridge makes free throw 2 of 2,46,59
204,3,9:54.0,N. Powell misses 2-pt jump shot from 11 ft,,46,59
205,3,9:53.0,,Defensive rebound by T. Duncan,46,59
206,3,9:42.0,,T. Duncan misses 2-pt jump shot from 18 ft,46,59
207,3,9:41.0,,Offensive rebound by L. Aldridge,46,59
208,3,9:32.0,,Turnover by Team (back court),46,59
209,3,9:24.0,L. Scola misses 3-pt jump shot from 24 ft,,46,59
210,3,9:23.0,,Defensive rebound by K. Leonard,46,59
211,3,9:16.0,,Shooting foul by J. Valančiūnas (drawn by K. Leonard),46,59
212,3,9:16.0,,K. Leonard makes free throw 1 of 2,46,60
213,3,9:16.0,,K. Leonard makes free throw 2 of 2,46,61
214,3,8:53.0,C. Joseph makes 2-pt jump shot from 20 ft,,48,61
215,3,8:32.0,,L. Aldridge misses 2-pt jump shot from 14 ft,48,61
216,3,8:31.0,Defensive rebound by J. Johnson,,48,61
217,3,8:20.0,L. Scola misses 2-pt hook shot from 8 ft,,48,61
218,3,8:19.0,,Defensive rebound by K. Leonard,48,61
219,3,8:10.0,,K. Leonard makes 2-pt jump shot from 12 ft,48,63
220,3,8:04.0,Toronto full timeout,,48,63
221,3,8:04.0,P. Patterson enters the game for L. Scola,,48,63
222,3,8:04.0,T. Ross enters the game for J. Johnson,,48,63
223,3,7:57.0,Turnover by N. Powell (bad pass; steal by K. Leonard),,48,63
224,3,7:50.0,,K. Leonard misses 3-pt jump shot from 24 ft,48,63
225,3,7:49.0,,Offensive rebound by D. Green,48,63
226,3,7:33.0,,D. Green misses 3-pt jump shot from 22 ft,48,63
227,3,7:32.0,Defensive rebound by P. Patterson,,48,63
228,3,7:17.0,P. Patterson makes 2-pt layup at rim (assist by C. Joseph),,50,63
229,3,7:00.0,,T. Parker misses 2-pt jump shot from 16 ft,50,63
230,3,7:00.0,,Offensive rebound by Team,50,63
231,3,6:50.0,,Turnover by K. Leonard (lost ball; steal by T. Ross),50,63
232,3,6:35.0,Turnover by J. Valančiūnas (traveling),,50,63
233,3,6:21.0,,Turnover by L. Aldridge (bad pass; steal by C. Joseph),50,63
234,3,6:18.0,N. Powell makes 2-pt layup from 2 ft,,52,63
235,3,6:18.0,Shooting foul by D. Green (drawn by N. Powell),,52,63
236,3,6:18.0,N. Powell misses free throw 1 of 1,,52,63
237,3,6:17.0,,Defensive rebound by L. Aldridge,52,63
238,3,6:17.0,,Technical foul by Team,52,63
239,3,6:17.0,T. Ross makes technical free throw,,53,63
240,3,5:56.0,,D. Green misses 2-pt layup at rim,53,63
241,3,5:54.0,,Offensive rebound by D. Green,53,63
242,3,5:54.0,,D. Green misses 2-pt layup from 1 ft (block by J. Valančiūnas),53,63
243,3,5:52.0,Defensive rebound by N. Powell,,53,63
244,3,5:47.0,N. Powell makes 2-pt layup from 1 ft,,55,63
245,3,5:47.0,,San Antonio full timeout,55,63
246,3,5:47.0,,P. Mills enters the game for T. Parker,55,63
247,3,5:47.0,,M. Ginóbili enters the game for D. Green,55,63
248,3,5:47.0,,D. West enters the game for T. Duncan,55,63
249,3,5:24.0,,M. Ginóbili misses 2-pt jump shot from 21 ft,55,63
250,3,5:23.0,,Offensive rebound by L. Aldridge,55,63
251,3,5:10.0,,K. Leonard makes 2-pt layup from 1 ft (assist by L. Aldridge),55,65
252,3,4:46.0,J. Valančiūnas makes 2-pt dunk at rim (assist by P. Patterson),,57,65
253,3,4:32.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by P. Mills),57,67
254,3,4:17.0,Personal foul by M. Ginóbili,,57,67
255,3,4:12.0,C. Joseph misses 2-pt jump shot from 19 ft,,57,67
256,3,4:11.0,,Defensive rebound by M. Ginóbili,57,67
257,3,4:03.0,Violation by J. Valančiūnas (def goaltending),,57,67
258,3,4:03.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by P. Mills),57,69
259,3,3:46.0,P. Patterson misses 2-pt layup from 1 ft,,57,69
260,3,3:44.0,,Defensive rebound by K. Leonard,57,69
261,3,3:34.0,,P. Mills misses 3-pt jump shot from 25 ft,57,69
262,3,3:33.0,Defensive rebound by J. Valančiūnas,,57,69
263,3,3:18.0,P. Patterson makes 3-pt jump shot from 22 ft (assist by C. Joseph),,60,69
264,3,3:00.0,,K. Leonard misses 2-pt jump shot from 16 ft,60,69
265,3,2:59.0,Defensive rebound by P. Patterson,,60,69
266,3,2:45.0,Turnover by P. Patterson (bad pass; steal by K. Leonard),,60,69
267,3,2:36.0,,L. Aldridge makes 2-pt hook shot from 8 ft (assist by K. Leonard),60,71
268,3,2:14.0,Personal foul by L. Aldridge,,60,71
269,3,2:14.0,,D. Green enters the game for K. Leonard,60,71
270,3,2:14.0,B. Biyombo enters the game for J. Valančiūnas,,60,71
271,3,2:05.0,T. Ross makes 2-pt jump shot from 11 ft (assist by C. Joseph),,62,71
272,3,1:44.0,,P. Mills misses 2-pt jump shot from 18 ft,62,71
273,3,1:43.0,,Offensive rebound by D. West,62,71
274,3,1:39.0,,D. Green misses 3-pt jump shot from 25 ft,62,71
275,3,1:38.0,,Offensive rebound by L. Aldridge,62,71
276,3,1:31.0,,M. Ginóbili misses 2-pt jump shot from 12 ft,62,71
277,3,1:30.0,,Offensive rebound by M. Ginóbili,62,71
278,3,1:26.0,,P. Mills misses 3-pt jump shot from 25 ft,62,71
279,3,1:25.0,Defensive rebound by B. Biyombo,,62,71
280,3,1:01.0,T. Ross makes 2-pt jump shot from 21 ft (assist by N. Powell),,64,71
281,3,0:41.0,,Turnover by P. Mills (lost ball; steal by N. Powell),64,71
282,3,0:39.0,N. Powell makes 2-pt dunk at rim,,66,71
283,3,0:29.0,,D. Green misses 3-pt jump shot from 26 ft,66,71
284,3,0:28.0,Defensive rebound by B. Biyombo,,66,71
285,3,0:09.0,Personal foul by P. Mills,,66,71
286,3,0:09.0,D. Wright enters the game for N. Powell,,66,71
287,3,0:03.0,C. Joseph misses 2-pt jump shot from 18 ft,,66,71
288,3,0:00.0,Offensive rebound by D. Wright,,66,71
289,3,0:00.0,D. Wright misses 2-pt layup from 1 ft,,66,71
290,3,0:00.0,,Defensive rebound by L. Aldridge,66,71
291,4,11:39.0,T. Ross misses 3-pt jump shot from 24 ft,,66,71
292,4,11:37.0,,Defensive rebound by K. Anderson,66,71
293,4,11:19.0,,M. Ginóbili misses 3-pt jump shot from 25 ft,66,71
294,4,11:18.0,Defensive rebound by P. Patterson,,66,71
295,4,11:09.0,D. Wright makes 2-pt layup at rim,,68,71
296,4,10:56.0,,K. Anderson makes 2-pt jump shot from 19 ft (assist by P. Mills),68,73
297,4,10:39.0,D. Wright makes 2-pt layup from 1 ft,,70,73
298,4,10:24.0,,M. Ginóbili misses 2-pt layup from 1 ft,70,73
299,4,10:23.0,Defensive rebound by T. Ross,,70,73
300,4,10:16.0,D. Wright misses 2-pt layup from 1 ft (block by T. Duncan),,70,73
301,4,10:14.0,,Defensive rebound by K. Anderson,70,73
302,4,10:03.0,,Turnover by P. Mills (lost ball),70,73
303,4,10:03.0,,K. Leonard enters the game for M. Ginóbili,70,73
304,4,9:38.0,T. Ross misses 2-pt jump shot from 18 ft,,70,73
305,4,9:38.0,,Defensive rebound by Team,70,73
306,4,9:38.0,Loose ball foul by D. Wright,,70,73
307,4,9:26.0,,D. West makes 2-pt hook shot from 4 ft (assist by K. Anderson),70,75
308,4,9:26.0,,Shooting foul by B. Biyombo (drawn by D. West),70,75
309,4,9:26.0,,D. West misses free throw 1 of 1,70,75
310,4,9:25.0,,Offensive rebound by T. Duncan,70,75
311,4,9:13.0,,Shooting foul by B. Biyombo (drawn by K. Leonard),70,75
312,4,9:13.0,,K. Leonard makes free throw 1 of 2,70,76
313,4,9:13.0,,K. Leonard makes free throw 2 of 2,70,77
314,4,8:46.0,T. Ross misses 2-pt jump shot from 19 ft,,70,77
315,4,8:45.0,,Defensive rebound by D. West,70,77
316,4,8:29.0,,P. Mills misses 3-pt jump shot from 24 ft,70,77
317,4,8:26.0,,Offensive rebound by T. Duncan,70,77
318,4,8:23.0,,P. Mills makes 3-pt jump shot from 25 ft (assist by D. West),70,80
319,4,8:23.0,Toronto full timeout,,70,80
320,4,8:23.0,N. Powell enters the game for P. Patterson,,70,80
321,4,8:00.0,T. Ross makes 2-pt jump shot from 9 ft,,72,80
322,4,7:45.0,,P. Mills misses 3-pt jump shot from 24 ft,72,80
323,4,7:44.0,Defensive rebound by B. Biyombo,,72,80
324,4,7:35.0,N. Powell makes 2-pt jump shot from 17 ft,,74,80
325,4,7:07.0,,T. Duncan misses 2-pt jump shot from 12 ft,74,80
326,4,7:06.0,Defensive rebound by N. Powell,,74,80
327,4,7:03.0,Shooting foul by K. Leonard (drawn by N. Powell),,74,80
328,4,7:03.0,N. Powell makes free throw 1 of 2,,75,80
329,4,7:03.0,,T. Parker enters the game for P. Mills,75,80
330,4,7:03.0,,L. Aldridge enters the game for D. West,75,80
331,4,7:03.0,N. Powell makes free throw 2 of 2,,76,80
332,4,6:42.0,,L. Aldridge makes 2-pt jump shot from 20 ft (assist by K. Leonard),76,82
333,4,6:24.0,B. Biyombo misses 2-pt jump shot from 15 ft,,76,82
334,4,6:23.0,,Defensive rebound by L. Aldridge,76,82
335,4,6:13.0,,Personal block foul by N. Powell,76,82
336,4,6:09.0,,Turnover by L. Aldridge (bad pass),76,82
337,4,5:52.0,Turnover by N. Powell (bad pass; steal by T. Duncan),,76,82
338,4,5:46.0,,K. Leonard makes 2-pt layup from 1 ft (assist by K. Anderson),76,84
339,4,5:26.0,T. Ross misses 2-pt jump shot from 4 ft (block by K. Leonard),,76,84
340,4,5:25.0,,Defensive rebound by K. Leonard,76,84
341,4,5:12.0,,Shooting foul by J. Thompson (drawn by K. Leonard),76,84
342,4,5:12.0,Official timeout,,76,84
343,4,5:12.0,C. Joseph enters the game for J. Thompson,,76,84
344,4,5:12.0,J. Valančiūnas enters the game for B. Biyombo,,76,84
345,4,5:12.0,P. Patterson enters the game for T. Ross,,76,84
346,4,5:12.0,,K. Leonard makes free throw 1 of 2,76,85
347,4,5:12.0,,K. Leonard makes free throw 2 of 2,76,86
348,4,5:02.0,C. Joseph makes 2-pt jump shot from 6 ft,,78,86
349,4,4:42.0,,T. Parker misses 3-pt jump shot from 23 ft,78,86
350,4,4:41.0,,Offensive rebound by T. Duncan,78,86
351,4,4:28.0,,Turnover by L. Aldridge (bad pass; steal by D. Wright),78,86
352,4,4:23.0,C. Joseph makes 2-pt layup from 1 ft (assist by D. Wright),,80,86
353,4,4:06.0,,T. Parker makes 2-pt jump shot from 15 ft,80,88
354,4,3:49.0,Personal foul by K. Leonard,,80,88
355,4,3:49.0,,P. Mills enters the game for K. Anderson,80,88
356,4,3:41.0,C. Joseph makes 2-pt layup from 2 ft,,82,88
357,4,3:18.0,,T. Parker misses 2-pt jump shot from 16 ft,82,88
358,4,3:17.0,Defensive rebound by D. Wright,,82,88
359,4,2:55.0,C. Joseph misses 3-pt jump shot from 25 ft,,82,88
360,4,2:52.0,Offensive rebound by P. Patterson,,82,88
361,4,2:52.0,P. Patterson makes 2-pt layup at rim,,84,88
362,4,2:40.0,,Turnover by T. Duncan (bad pass; steal by P. Patterson),84,88
363,4,2:25.0,P. Patterson misses 2-pt jump shot from 9 ft,,84,88
364,4,2:23.0,,Defensive rebound by L. Aldridge,84,88
365,4,2:19.0,,San Antonio full timeout,84,88
366,4,2:10.0,,L. Aldridge misses 2-pt layup from 2 ft,84,88
367,4,2:10.0,Defensive rebound by Team,,84,88
368,4,1:54.0,Turnover by C. Joseph (bad pass; steal by L. Aldridge),,84,88
369,4,1:38.0,,T. Parker makes 2-pt layup from 1 ft,84,90
370,4,1:38.0,Toronto full timeout,,84,90
371,4,1:38.0,T. Ross enters the game for D. Wright,,84,90
372,4,1:27.0,P. Patterson misses 2-pt jump shot from 4 ft,,84,90
373,4,1:24.0,,Defensive rebound by T. Duncan,84,90
374,4,1:06.0,,K. Leonard makes 2-pt jump shot from 9 ft,84,92
375,4,1:00.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by C. Joseph),,86,92
376,4,0:40.0,,K. Leonard makes 2-pt jump shot from 15 ft,86,94
377,4,0:40.0,Toronto full timeout,,86,94
378,4,0:37.0,Shooting foul by K. Leonard (drawn by N. Powell),,86,94
379,4,0:37.0,N. Powell makes free throw 1 of 2,,87,94
380,4,0:37.0,D. Wright enters the game for T. Ross,,87,94
381,4,0:37.0,N. Powell makes free throw 2 of 2,,88,94
382,4,0:29.0,,Personal take foul by P. Patterson,88,94
383,4,0:29.0,,K. Leonard makes free throw 1 of 2,88,95
384,4,0:29.0,T. Ross enters the game for D. Wright,,88,95
385,4,0:29.0,,K. Leonard makes free throw 2 of 2,88,96
386,4,0:21.0,N. Powell makes 3-pt jump shot from 30 ft (assist by C. Joseph),,91,96
387,4,0:19.0,,Personal take foul by C. Joseph,91,96
388,4,0:19.0,,T. Parker makes free throw 1 of 2,91,97
