,QUARTER,TIME_REMAINING,BOSTON_ACTION,LA CLIPPERS_ACTION,BOSTON_SCORE,LA CLIPPERS_SCORE
29,1,7:37.0,Turnover by A. Bradley (lost ball),,10,13
30,1,7:22.0,,P. Pierce makes 2-pt jump shot from 10 ft (assist by C. Paul),10,15
31,1,7:09.0,I. Thomas misses 2-pt layup from 1 ft (block by D. Jordan),,10,15
32,1,7:08.0,,Defensive rebound by C. Paul,10,15
33,1,7:00.0,,J. Redick makes 2-pt hook shot from 3 ft (assist by P. Pierce),10,17
34,1,7:00.0,Boston full timeout,,10,17
35,1,6:42.0,J. Sullinger misses 2-pt jump shot from 3 ft,,10,17
36,1,6:40.0,Offensive rebound by A. Johnson,,10,17
37,1,6:40.0,A. Johnson makes 2-pt dunk at rim,,12,17
38,1,6:15.0,,L. Mbah a Moute makes 2-pt jump shot from 21 ft (assist by C. Paul),12,19
39,1,5:55.0,E. Turner makes 2-pt jump shot from 12 ft,,14,19
40,1,5:44.0,,D. Jordan makes 2-pt layup at rim (assist by C. Paul),14,21
41,1,5:44.0,,Shooting foul by A. Johnson (drawn by D. Jordan),14,21
42,1,5:44.0,,W. Johnson enters the game for P. Pierce,14,21
43,1,5:44.0,M. Smart enters the game for J. Sullinger,,14,21
44,1,5:44.0,K. Olynyk enters the game for A. Bradley,,14,21
45,1,5:44.0,,D. Jordan misses free throw 1 of 1,14,21
46,1,5:44.0,Defensive rebound by K. Olynyk,,14,21
47,1,5:34.0,Turnover by M. Smart (bad pass; steal by D. Jordan),,14,21
48,1,5:24.0,,C. Paul misses 2-pt layup at rim,14,21
49,1,5:23.0,Defensive rebound by A. Johnson,,14,21
50,1,5:17.0,I. Thomas misses 3-pt jump shot from 24 ft,,14,21
51,1,5:14.0,,Defensive rebound by J. Redick,14,21
52,1,5:02.0,,J. Redick misses 2-pt jump shot from 20 ft,14,21
53,1,5:00.0,Defensive rebound by E. Turner,,14,21
54,1,4:56.0,Personal foul by J. Redick,,14,21
55,1,4:56.0,T. Zeller enters the game for A. Johnson,,14,21
56,1,4:56.0,,J. Crawford enters the game for J. Redick,14,21
57,1,4:37.0,T. Zeller misses 2-pt hook shot from 6 ft,,14,21
58,1,4:35.0,,Defensive rebound by D. Jordan,14,21
59,1,4:26.0,,Turnover by J. Crawford (lost ball; steal by M. Smart),14,21
60,1,4:20.0,I. Thomas makes 3-pt jump shot from 23 ft (assist by M. Smart),,17,21
61,1,4:01.0,,Personal foul by I. Thomas,17,21
62,1,4:01.0,,J. Green enters the game for L. Mbah a Moute,17,21
63,1,3:57.0,,Personal foul by I. Thomas,17,21
64,1,3:49.0,,C. Paul makes 2-pt jump shot from 7 ft,17,23
65,1,3:34.0,E. Turner misses 3-pt jump shot from 24 ft,,17,23
66,1,3:34.0,,Defensive rebound by J. Green,17,23
67,1,3:34.0,Loose ball foul by T. Zeller,,17,23
68,1,3:22.0,,Personal foul by M. Smart,17,23
69,1,3:22.0,,C. Paul makes free throw 1 of 2,17,24
70,1,3:22.0,,C. Paul makes free throw 2 of 2,17,25
71,1,3:03.0,M. Smart misses 3-pt jump shot from 23 ft,,17,25
72,1,3:03.0,,Defensive rebound by D. Jordan,17,25
73,1,2:51.0,,J. Green misses 2-pt jump shot from 11 ft,17,25
74,1,2:50.0,,Offensive rebound by D. Jordan,17,25
75,1,2:49.0,,D. Jordan misses 2-pt hook shot from 5 ft,17,25
76,1,2:49.0,,Offensive rebound by Team,17,25
77,1,2:49.0,Loose ball foul by K. Olynyk,,17,25
78,1,2:49.0,,LA Clippers full timeout,17,25
79,1,2:49.0,T. Rozier enters the game for I. Thomas,,17,25
80,1,2:49.0,,J. Green misses free throw 1 of 2,17,25
81,1,2:49.0,,Offensive rebound by Team,17,25
82,1,2:49.0,,J. Green makes free throw 2 of 2,17,26
83,1,2:35.0,K. Olynyk misses 2-pt jump shot from 8 ft,,17,26
84,1,2:32.0,Offensive rebound by T. Zeller,,17,26
85,1,2:23.0,E. Turner misses 2-pt jump shot from 16 ft,,17,26
86,1,2:21.0,,Defensive rebound by J. Crawford,17,26
87,1,2:12.0,,C. Paul misses 2-pt jump shot from 17 ft,17,26
88,1,2:10.0,Defensive rebound by K. Olynyk,,17,26
89,1,1:55.0,T. Zeller makes 2-pt jump shot from 18 ft (assist by M. Smart),,19,26
90,1,1:32.0,,Turnover by D. Jordan (lost ball),19,26
91,1,1:32.0,,A. Rivers enters the game for C. Paul,19,26
92,1,1:15.0,Personal block foul by J. Crawford,,19,26
93,1,1:09.0,T. Zeller makes 2-pt jump shot from 19 ft (assist by E. Turner),,21,26
94,1,0:47.0,,W. Johnson makes 3-pt jump shot from 22 ft (assist by A. Rivers),21,29
95,1,0:32.0,K. Olynyk makes 3-pt jump shot from 24 ft (assist by M. Smart),,24,29
96,1,0:28.0,,Personal take foul by T. Zeller,24,29
97,1,0:28.0,,D. Jordan makes free throw 1 of 2,24,30
98,1,0:28.0,,D. Jordan misses free throw 2 of 2,24,30
99,1,0:28.0,Defensive rebound by K. Olynyk,,24,30
100,1,0:14.0,T. Zeller misses 2-pt jump shot from 19 ft,,24,30
101,1,0:14.0,Offensive rebound by T. Rozier,,24,30
102,1,0:04.0,E. Turner misses 2-pt jump shot from 18 ft,,24,30
103,1,0:01.0,,Defensive rebound by J. Green,24,30
104,2,11:49.0,,J. Green misses 2-pt jump shot from 6 ft,24,30
105,2,11:49.0,Defensive rebound by M. Smart,,24,30
106,2,11:34.0,T. Zeller misses 2-pt dunk at rim,,24,30
107,2,11:32.0,,Defensive rebound by W. Johnson,24,30
108,2,11:19.0,,W. Johnson misses 3-pt jump shot from 24 ft,24,30
109,2,11:19.0,Defensive rebound by K. Olynyk,,24,30
110,2,11:11.0,M. Smart makes 2-pt layup from 1 ft,,26,30
111,2,10:53.0,,J. Green misses 2-pt jump shot from 20 ft,26,30
112,2,10:51.0,Defensive rebound by T. Rozier,,26,30
113,2,10:43.0,K. Olynyk misses 2-pt jump shot from 7 ft,,26,30
114,2,10:41.0,,Defensive rebound by J. Green,26,30
115,2,10:35.0,,W. Johnson makes 2-pt jump shot from 20 ft (assist by J. Crawford),26,32
116,2,10:11.0,M. Smart misses 3-pt jump shot from 24 ft,,26,32
117,2,10:10.0,Offensive rebound by T. Zeller,,26,32
118,2,10:01.0,Turnover by M. Smart (bad pass; steal by A. Rivers),,26,32
119,2,9:58.0,,Shooting foul by T. Rozier (drawn by A. Rivers),26,32
120,2,9:58.0,,A. Rivers makes free throw 1 of 2,26,33
121,2,9:58.0,J. Jerebko enters the game for T. Zeller,,26,33
122,2,9:58.0,,A. Rivers makes free throw 2 of 2,26,34
123,2,9:37.0,M. Smart makes 2-pt jump shot from 5 ft (assist by K. Olynyk),,28,34
124,2,9:23.0,,J. Green misses 2-pt jump shot from 9 ft,28,34
125,2,9:22.0,,Offensive rebound by C. Aldrich,28,34
126,2,9:18.0,,A. Rivers makes 3-pt jump shot from 25 ft (assist by C. Aldrich),28,37
127,2,9:05.0,J. Jerebko misses 2-pt layup from 2 ft,,28,37
128,2,9:05.0,Offensive rebound by J. Jerebko,,28,37
129,2,8:59.0,M. Smart misses 3-pt jump shot from 23 ft,,28,37
130,2,8:56.0,Offensive rebound by K. Olynyk,,28,37
131,2,8:56.0,K. Olynyk misses 2-pt layup from 1 ft,,28,37
132,2,8:53.0,Offensive rebound by J. Jerebko,,28,37
133,2,8:53.0,J. Jerebko misses 2-pt layup from 1 ft,,28,37
134,2,8:52.0,Offensive rebound by M. Smart,,28,37
135,2,8:49.0,Turnover by T. Rozier (lost ball; steal by W. Johnson),,28,37
136,2,8:45.0,,Turnover by J. Crawford (step out of bounds),28,37
137,2,8:45.0,Official timeout,,28,37
138,2,8:30.0,A. Bradley makes 3-pt jump shot from 24 ft (assist by T. Rozier),,31,37
139,2,8:11.0,,Shooting foul by T. Rozier (drawn by A. Rivers),31,37
140,2,8:11.0,,A. Rivers makes free throw 1 of 2,31,38
141,2,8:11.0,,J. Redick enters the game for W. Johnson,31,38
142,2,8:11.0,,A. Rivers makes free throw 2 of 2,31,39
143,2,8:02.0,Shooting foul by J. Redick (drawn by J. Jerebko),,31,39
144,2,8:02.0,J. Jerebko makes free throw 1 of 2,,32,39
145,2,8:02.0,J. Jerebko makes free throw 2 of 2,,33,39
146,2,7:43.0,,Turnover by J. Green (lost ball),33,39
147,2,7:24.0,K. Olynyk misses 2-pt jump shot from 7 ft,,33,39
148,2,7:24.0,,Defensive rebound by Team,33,39
149,2,7:24.0,Loose ball foul by J. Jerebko,,33,39
150,2,7:24.0,,P. Pierce enters the game for J. Green,33,39
151,2,7:24.0,A. Johnson enters the game for K. Olynyk,,33,39
152,2,7:22.0,,Turnover by C. Aldrich (bad pass; steal by J. Jerebko),33,39
153,2,7:18.0,Personal block foul by C. Aldrich,,33,39
154,2,7:07.0,A. Bradley misses 2-pt jump shot from 19 ft,,33,39
155,2,7:07.0,,Defensive rebound by C. Aldrich,33,39
156,2,6:57.0,,A. Rivers misses 2-pt layup from 2 ft (block by A. Johnson),33,39
157,2,6:56.0,,Offensive rebound by C. Aldrich,33,39
158,2,6:53.0,,C. Aldrich makes 2-pt layup from 1 ft,33,41
159,2,6:37.0,T. Rozier misses 3-pt jump shot from 25 ft,,33,41
160,2,6:36.0,Offensive rebound by J. Jerebko,,33,41
161,2,6:29.0,T. Rozier misses 2-pt jump shot from 18 ft,,33,41
162,2,6:29.0,,Defensive rebound by P. Pierce,33,41
163,2,6:20.0,,J. Crawford makes 3-pt jump shot from 26 ft (assist by P. Pierce),33,44
164,2,6:20.0,Boston full timeout,,33,44
165,2,6:20.0,I. Thomas enters the game for T. Rozier,,33,44
166,2,6:06.0,I. Thomas misses 3-pt jump shot from 24 ft,,33,44
167,2,6:05.0,,Defensive rebound by J. Crawford,33,44
168,2,5:54.0,,P. Pierce makes 2-pt jump shot from 16 ft,33,46
169,2,5:40.0,Turnover by A. Johnson (bad pass; steal by A. Rivers),,33,46
170,2,5:34.0,,J. Crawford makes 3-pt jump shot from 24 ft,33,49
171,2,5:34.0,Boston full timeout,,33,49
172,2,5:34.0,J. Sullinger enters the game for J. Jerebko,,33,49
173,2,5:17.0,Turnover by J. Sullinger (lost ball; steal by P. Pierce),,33,49
174,2,5:12.0,,Turnover by A. Rivers (lost ball; steal by A. Bradley),33,49
175,2,5:07.0,Personal block foul by J. Redick,,33,49
176,2,5:07.0,,C. Paul enters the game for J. Redick,33,49
177,2,5:01.0,Shooting foul by P. Pierce (drawn by J. Sullinger),,33,49
178,2,5:01.0,J. Sullinger misses free throw 1 of 2,,33,49
179,2,5:01.0,Offensive rebound by Team,,33,49
180,2,5:01.0,E. Turner enters the game for M. Smart,,33,49
181,2,5:01.0,,D. Jordan enters the game for C. Aldrich,33,49
182,2,5:01.0,J. Sullinger makes free throw 2 of 2,,34,49
183,2,4:47.0,,A. Rivers makes 3-pt jump shot from 22 ft (assist by C. Paul),34,52
184,2,4:24.0,I. Thomas makes 3-pt jump shot from 24 ft,,37,52
185,2,4:03.0,,P. Pierce makes 2-pt jump shot from 20 ft (assist by C. Paul),37,54
186,2,3:57.0,Personal foul by P. Pierce,,37,54
187,2,3:57.0,I. Thomas makes free throw 1 of 2,,38,54
188,2,3:57.0,I. Thomas makes free throw 2 of 2,,39,54
189,2,3:44.0,,J. Crawford misses 3-pt jump shot from 26 ft,39,54
190,2,3:43.0,Defensive rebound by E. Turner,,39,54
191,2,3:29.0,A. Bradley misses 2-pt jump shot from 19 ft,,39,54
192,2,3:28.0,Offensive rebound by J. Sullinger,,39,54
193,2,3:21.0,E. Turner makes 2-pt jump shot from 12 ft (assist by J. Sullinger),,41,54
194,2,3:03.0,,P. Pierce misses 3-pt jump shot from 23 ft,41,54
195,2,3:02.0,Defensive rebound by J. Sullinger,,41,54
196,2,2:56.0,I. Thomas makes 2-pt layup from 2 ft,,43,54
197,2,2:45.0,,C. Paul makes 2-pt jump shot from 17 ft,43,56
198,2,2:26.0,E. Turner misses 2-pt hook shot from 6 ft,,43,56
199,2,2:24.0,,Defensive rebound by P. Pierce,43,56
200,2,2:07.0,,P. Pierce makes 2-pt layup from 1 ft (assist by C. Paul),43,58
201,2,2:06.0,Personal take foul by A. Rivers,,43,58
202,2,2:06.0,,LA Clippers full timeout,43,58
203,2,2:06.0,,Technical foul by A. Rivers,43,58
204,2,2:06.0,A. Bradley misses technical free throw,,43,58
205,2,2:06.0,Offensive rebound by Team,,43,58
206,2,2:06.0,,J. Green enters the game for P. Pierce,43,58
207,2,2:06.0,I. Thomas makes free throw 1 of 2,,44,58
208,2,2:06.0,I. Thomas makes free throw 2 of 2,,45,58
209,2,1:44.0,,D. Jordan misses 2-pt hook shot from 3 ft,45,58
210,2,1:43.0,Defensive rebound by J. Sullinger,,45,58
211,2,1:30.0,Personal foul by J. Crawford,,45,58
212,2,1:30.0,A. Johnson misses free throw 1 of 2,,45,58
213,2,1:30.0,Offensive rebound by Team,,45,58
214,2,1:30.0,A. Johnson makes free throw 2 of 2,,46,58
215,2,1:14.0,,C. Paul misses 2-pt jump shot from 17 ft,46,58
216,2,1:14.0,,Offensive rebound by D. Jordan,46,58
217,2,1:14.0,,Shooting foul by J. Sullinger (drawn by D. Jordan),46,58
218,2,1:14.0,,D. Jordan makes free throw 1 of 2,46,59
219,2,1:14.0,,D. Jordan makes free throw 2 of 2,46,60
220,2,0:57.0,J. Sullinger makes 2-pt jump shot from 7 ft,,48,60
221,2,0:39.0,,J. Green makes 2-pt hook shot from 7 ft (assist by C. Paul),48,62
222,2,0:31.0,Shooting foul by A. Rivers (drawn by I. Thomas),,48,62
223,2,0:31.0,I. Thomas makes free throw 1 of 2,,49,62
224,2,0:31.0,K. Olynyk enters the game for A. Johnson,,49,62
225,2,0:31.0,I. Thomas makes free throw 2 of 2,,50,62
226,2,0:29.0,,Personal foul by K. Olynyk,50,62
227,2,0:29.0,,D. Jordan makes free throw 1 of 2,50,63
228,2,0:29.0,,L. Mbah a Moute enters the game for J. Crawford,50,63
229,2,0:29.0,,D. Jordan makes free throw 2 of 2,50,64
230,2,0:13.0,I. Thomas misses 2-pt layup from 2 ft,,50,64
231,2,0:12.0,,Defensive rebound by D. Jordan,50,64
232,2,0:12.0,,LA Clippers full timeout,50,64
233,2,0:12.0,,W. Johnson enters the game for L. Mbah a Moute,50,64
234,2,0:12.0,,J. Crawford enters the game for D. Jordan,50,64
235,2,0:12.0,A. Johnson enters the game for J. Sullinger,,50,64
236,2,0:12.0,M. Smart enters the game for K. Olynyk,,50,64
237,2,0:02.0,,C. Paul makes 3-pt jump shot from 26 ft,50,67
238,3,11:43.0,,Turnover by C. Paul (bad pass; steal by A. Johnson),50,67
239,3,11:31.0,E. Turner misses 2-pt jump shot from 12 ft,,50,67
240,3,11:30.0,,Defensive rebound by C. Paul,50,67
241,3,11:20.0,,C. Paul misses 2-pt jump shot from 20 ft,50,67
242,3,11:19.0,Defensive rebound by J. Sullinger,,50,67
243,3,11:00.0,J. Sullinger misses 2-pt hook shot from 10 ft,,50,67
244,3,10:57.0,,Defensive rebound by D. Jordan,50,67
245,3,10:43.0,,J. Redick misses 2-pt jump shot from 21 ft,50,67
246,3,10:42.0,Defensive rebound by A. Johnson,,50,67
247,3,10:35.0,J. Sullinger misses 2-pt jump shot from 20 ft,,50,67
248,3,10:33.0,,Defensive rebound by D. Jordan,50,67
249,3,10:26.0,,Personal foul by A. Johnson,50,67
250,3,10:11.0,,W. Johnson makes 2-pt jump shot from 22 ft (assist by J. Redick),50,69
251,3,9:53.0,A. Bradley makes 3-pt jump shot from 24 ft (assist by A. Johnson),,53,69
252,3,9:34.0,,J. Redick misses 2-pt jump shot from 12 ft,53,69
253,3,9:32.0,Defensive rebound by A. Johnson,,53,69
254,3,9:28.0,I. Thomas misses 2-pt jump shot from 6 ft,,53,69
255,3,9:25.0,,Defensive rebound by C. Paul,53,69
256,3,9:21.0,,W. Johnson makes 2-pt dunk at rim (assist by C. Paul),53,71
257,3,8:57.0,A. Bradley misses 2-pt layup from 1 ft,,53,71
258,3,8:55.0,Offensive rebound by J. Sullinger,,53,71
259,3,8:55.0,J. Sullinger misses 2-pt layup at rim,,53,71
260,3,8:50.0,Offensive rebound by J. Sullinger,,53,71
261,3,8:45.0,E. Turner misses 2-pt jump shot from 16 ft,,53,71
262,3,8:44.0,Offensive rebound by J. Sullinger,,53,71
263,3,8:38.0,J. Sullinger makes 2-pt jump shot from 9 ft,,55,71
264,3,8:17.0,,C. Paul misses 3-pt jump shot from 24 ft,55,71
265,3,8:16.0,Defensive rebound by A. Johnson,,55,71
266,3,8:12.0,Shooting foul by D. Jordan (drawn by I. Thomas),,55,71
267,3,8:12.0,I. Thomas makes free throw 1 of 2,,56,71
268,3,8:12.0,M. Smart enters the game for E. Turner,,56,71
269,3,8:12.0,I. Thomas makes free throw 2 of 2,,57,71
270,3,7:59.0,,Personal foul by M. Smart,57,71
271,3,7:47.0,,J. Redick misses 3-pt jump shot from 25 ft,57,71
272,3,7:46.0,Defensive rebound by A. Bradley,,57,71
273,3,7:34.0,A. Johnson misses 2-pt hook shot from 6 ft,,57,71
274,3,7:32.0,,Defensive rebound by J. Redick,57,71
275,3,7:30.0,,Shooting foul by A. Johnson (drawn by W. Johnson),57,71
276,3,7:30.0,,W. Johnson makes free throw 1 of 2,57,72
277,3,7:30.0,,W. Johnson makes free throw 2 of 2,57,73
278,3,7:19.0,A. Bradley misses 2-pt jump shot from 19 ft,,57,73
279,3,7:19.0,Offensive rebound by J. Sullinger,,57,73
280,3,7:09.0,Turnover by A. Bradley (lost ball; steal by J. Redick),,57,73
281,3,7:03.0,,C. Paul misses 2-pt layup from 1 ft (block by A. Bradley),57,73
282,3,7:01.0,Defensive rebound by M. Smart,,57,73
283,3,7:01.0,K. Olynyk enters the game for A. Johnson,,57,73
284,3,6:53.0,Personal foul by W. Johnson,,57,73
285,3,6:43.0,Turnover by A. Bradley (lost ball; steal by L. Mbah a Moute),,57,73
286,3,6:38.0,,W. Johnson misses 2-pt layup at rim,57,73
287,3,6:35.0,,Offensive rebound by D. Jordan,57,73
288,3,6:35.0,,D. Jordan makes 2-pt dunk at rim,57,75
289,3,6:16.0,J. Sullinger makes 2-pt layup from 2 ft (assist by I. Thomas),,59,75
290,3,6:03.0,,Personal foul by I. Thomas,59,75
291,3,6:03.0,J. Jerebko enters the game for A. Bradley,,59,75
292,3,5:55.0,,C. Paul misses 2-pt jump shot from 18 ft,59,75
293,3,5:53.0,Defensive rebound by J. Sullinger,,59,75
294,3,5:45.0,J. Sullinger misses 2-pt jump shot from 20 ft,,59,75
295,3,5:45.0,,Defensive rebound by D. Jordan,59,75
296,3,5:35.0,,W. Johnson misses 3-pt jump shot from 24 ft,59,75
297,3,5:34.0,Defensive rebound by J. Jerebko,,59,75
298,3,5:26.0,Shooting foul by W. Johnson (drawn by I. Thomas),,59,75
299,3,5:26.0,,LA Clippers full timeout,59,75
300,3,5:26.0,,Violation by Team (jump ball),59,75
301,3,5:26.0,,J. Crawford enters the game for W. Johnson,59,75
302,3,5:26.0,I. Thomas misses free throw 1 of 2,,59,75
303,3,5:26.0,Offensive rebound by Team,,59,75
304,3,5:26.0,I. Thomas makes free throw 2 of 2,,60,75
305,3,5:07.0,,J. Redick makes 2-pt jump shot from 3 ft (assist by D. Jordan),60,77
306,3,4:54.0,Shooting foul by D. Jordan (drawn by I. Thomas),,60,77
307,3,4:54.0,I. Thomas makes free throw 1 of 2,,61,77
308,3,4:54.0,I. Thomas makes free throw 2 of 2,,62,77
309,3,4:36.0,,C. Paul misses 3-pt jump shot from 25 ft,62,77
310,3,4:34.0,Defensive rebound by J. Sullinger,,62,77
311,3,4:28.0,M. Smart makes 2-pt layup from 2 ft (assist by J. Sullinger),,64,77
312,3,4:13.0,,Offensive foul by C. Paul (drawn by M. Smart),64,77
313,3,4:13.0,,Turnover by C. Paul (offensive foul),64,77
314,3,4:13.0,,A. Rivers enters the game for J. Redick,64,77
315,3,4:02.0,I. Thomas makes 2-pt jump shot from 9 ft,,66,77
316,3,3:40.0,,J. Crawford makes 2-pt jump shot from 9 ft,66,79
317,3,3:35.0,Turnover by I. Thomas (bad pass; steal by C. Paul),,66,79
318,3,3:32.0,,Turnover by C. Paul (bad pass),66,79
319,3,3:32.0,,J. Green enters the game for L. Mbah a Moute,66,79
320,3,3:23.0,Personal foul by A. Rivers,,66,79
321,3,3:23.0,J. Jerebko makes free throw 1 of 2,,67,79
322,3,3:23.0,E. Turner enters the game for J. Sullinger,,67,79
323,3,3:23.0,J. Jerebko makes free throw 2 of 2,,68,79
324,3,3:07.0,,D. Jordan makes 2-pt layup from 2 ft (assist by J. Crawford),68,81
325,3,2:55.0,M. Smart misses 2-pt layup at rim (block by D. Jordan),,68,81
326,3,2:52.0,,Defensive rebound by C. Paul,68,81
327,3,2:48.0,,A. Rivers misses 2-pt layup from 1 ft (block by J. Jerebko),68,81
328,3,2:45.0,Defensive rebound by E. Turner,,68,81
329,3,2:44.0,Turnover by I. Thomas (bad pass),,68,81
330,3,2:44.0,Boston full timeout,,68,81
331,3,2:25.0,,J. Green makes 3-pt jump shot from 23 ft (assist by C. Paul),68,84
332,3,2:00.0,I. Thomas misses 2-pt jump shot from 7 ft (block by D. Jordan),,68,84
333,3,2:00.0,Offensive rebound by Team,,68,84
334,3,1:56.0,M. Smart misses 2-pt layup from 2 ft,,68,84
335,3,1:54.0,,Defensive rebound by D. Jordan,68,84
336,3,1:50.0,,J. Green makes 2-pt layup from 1 ft (assist by C. Paul),68,86
337,3,1:44.0,Turnover by M. Smart (lost ball; steal by C. Paul),,68,86
338,3,1:38.0,,J. Crawford misses 3-pt jump shot from 23 ft,68,86
339,3,1:34.0,Defensive rebound by M. Smart,,68,86
340,3,1:27.0,I. Thomas misses 2-pt layup from 1 ft,,68,86
341,3,1:27.0,Offensive rebound by M. Smart,,68,86
342,3,1:27.0,M. Smart makes 2-pt layup at rim,,70,86
343,3,1:16.0,,P. Prigioni enters the game for C. Paul,70,86
344,3,1:03.0,,J. Crawford makes 3-pt jump shot from 28 ft,70,89
345,3,0:46.0,K. Olynyk misses 2-pt jump shot from 12 ft,,70,89
346,3,0:44.0,,Defensive rebound by D. Jordan,70,89
347,3,0:33.0,,J. Crawford makes 3-pt jump shot from 26 ft (assist by D. Jordan),70,92
348,3,0:25.0,I. Thomas misses 2-pt jump shot from 10 ft,,70,92
349,3,0:24.0,,Defensive rebound by P. Prigioni,70,92
350,3,0:04.0,,J. Crawford misses 3-pt jump shot from 31 ft,70,92
351,3,0:02.0,Defensive rebound by J. Jerebko,,70,92
352,3,0:01.0,J. Jerebko misses 3-pt jump shot from 77 ft,,70,92
353,3,0:00.0,Offensive rebound by Team,,70,92
354,4,12:00.0,Technical foul by I. Thomas,,70,92
355,4,12:00.0,,J. Crawford makes technical free throw,70,93
356,4,11:39.0,T. Zeller misses 2-pt hook shot from 7 ft,,70,93
357,4,11:38.0,,Defensive rebound by A. Rivers,70,93
358,4,11:21.0,,A. Rivers makes 2-pt layup from 1 ft (assist by J. Green),70,95
359,4,11:09.0,Turnover by T. Zeller (lost ball; steal by P. Prigioni),,70,95
360,4,11:05.0,,Turnover by C. Aldrich (bad pass; steal by E. Turner),70,95
361,4,10:59.0,K. Olynyk misses 3-pt jump shot from 24 ft,,70,95
362,4,10:56.0,,Defensive rebound by A. Rivers,70,95
363,4,10:45.0,,Turnover by A. Rivers (lost ball; steal by A. Bradley),70,95
364,4,10:38.0,K. Olynyk makes 3-pt jump shot from 23 ft (assist by A. Bradley),,73,95
365,4,10:21.0,,A. Rivers makes 2-pt jump shot from 11 ft,73,97
366,4,10:15.0,,Offensive charge foul by T. Rozier (drawn by P. Prigioni),73,97
367,4,10:15.0,Turnover by T. Rozier (offensive foul),,73,97
368,4,10:02.0,,J. Crawford misses 2-pt jump shot from 17 ft,73,97
369,4,10:01.0,Defensive rebound by T. Rozier,,73,97
370,4,9:50.0,K. Olynyk makes 2-pt layup from 2 ft,,75,97
371,4,9:36.0,,Turnover by J. Crawford (bad pass; steal by A. Bradley),75,97
372,4,9:30.0,A. Bradley makes 2-pt layup from 1 ft,,77,97
373,4,9:14.0,,A. Rivers misses 2-pt layup from 1 ft,77,97
374,4,9:12.0,,Offensive rebound by P. Prigioni,77,97
375,4,8:59.0,,J. Green makes 2-pt dunk from 1 ft (assist by P. Prigioni),77,99
376,4,8:45.0,A. Bradley misses 2-pt jump shot from 21 ft,,77,99
377,4,8:44.0,,Defensive rebound by C. Aldrich,77,99
378,4,8:27.0,,P. Prigioni misses 3-pt jump shot from 24 ft,77,99
379,4,8:27.0,,Offensive rebound by C. Aldrich,77,99
380,4,8:23.0,,J. Crawford misses 3-pt jump shot from 23 ft,77,99
381,4,8:23.0,Defensive rebound by T. Rozier,,77,99
382,4,8:05.0,T. Zeller makes 2-pt layup from 2 ft,,79,99
383,4,7:46.0,,C. Aldrich makes 2-pt layup from 1 ft (assist by P. Prigioni),79,101
384,4,7:33.0,T. Zeller misses 2-pt hook shot from 5 ft,,79,101
385,4,7:31.0,,Defensive rebound by C. Aldrich,79,101
386,4,7:16.0,,J. Crawford misses 3-pt jump shot from 25 ft,79,101
387,4,7:15.0,Defensive rebound by E. Turner,,79,101
388,4,7:08.0,Turnover by T. Rozier (lost ball; steal by J. Crawford),,79,101
389,4,6:45.0,,J. Green misses 2-pt jump shot from 8 ft,79,101
