,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,PORTLAND_ACTION,PHILADELPHIA_SCORE,PORTLAND_SCORE
51,1,5:30.0,,A. Crabbe enters the game for C. McCollum,12,19
52,1,5:30.0,J. Grant makes free throw 1 of 2,,13,19
53,1,5:30.0,J. Grant makes free throw 2 of 2,,14,19
54,1,5:15.0,,M. Harkless makes 2-pt layup from 1 ft,14,21
55,1,5:06.0,I. Smith misses 2-pt jump shot from 17 ft,,14,21
56,1,5:05.0,,Defensive rebound by M. Harkless,14,21
57,1,4:56.0,,A. Aminu makes 2-pt layup from 1 ft (assist by D. Lillard),14,23
58,1,4:56.0,,Shooting foul by R. Holmes (drawn by A. Aminu),14,23
59,1,4:56.0,N. Stauskas enters the game for J. Grant,,14,23
60,1,4:56.0,T. McConnell enters the game for I. Canaan,,14,23
61,1,4:56.0,,A. Aminu makes free throw 1 of 1,14,24
62,1,4:41.0,I. Smith makes 2-pt jump shot from 20 ft (assist by N. Stauskas),,16,24
63,1,4:24.0,,A. Crabbe misses 2-pt jump shot from 19 ft,16,24
64,1,4:23.0,Defensive rebound by Team,,16,24
65,1,4:23.0,,G. Henderson enters the game for A. Aminu,16,24
66,1,4:23.0,,E. Davis enters the game for M. Plumlee,16,24
67,1,4:09.0,R. Covington makes 3-pt jump shot from 24 ft (assist by T. McConnell),,19,24
68,1,3:53.0,,D. Lillard misses 2-pt jump shot from 17 ft,19,24
69,1,3:52.0,Defensive rebound by I. Smith,,19,24
70,1,3:43.0,N. Stauskas misses 3-pt jump shot from 23 ft,,19,24
71,1,3:43.0,Offensive rebound by R. Holmes,,19,24
72,1,3:41.0,R. Holmes misses 2-pt layup from 1 ft (block by M. Harkless),,19,24
73,1,3:41.0,Offensive rebound by Team,,19,24
74,1,3:41.0,S. Weems enters the game for I. Smith,,19,24
75,1,3:41.0,,N. Vonleh enters the game for M. Harkless,19,24
76,1,3:38.0,R. Holmes misses 2-pt jump shot from 5 ft (block by G. Henderson),,19,24
77,1,3:36.0,Offensive rebound by N. Stauskas,,19,24
78,1,3:30.0,S. Weems misses 3-pt jump shot from 23 ft,,19,24
79,1,3:29.0,,Defensive rebound by N. Vonleh,19,24
80,1,3:14.0,,G. Henderson misses 2-pt hook shot from 6 ft,19,24
81,1,3:14.0,Defensive rebound by S. Weems,,19,24
82,1,2:58.0,R. Covington misses 3-pt jump shot from 26 ft,,19,24
83,1,2:57.0,,Defensive rebound by E. Davis,19,24
84,1,2:44.0,,Turnover by G. Henderson (step out of bounds),19,24
85,1,2:44.0,Philadelphia full timeout,,19,24
86,1,2:31.0,Shooting foul by E. Davis (drawn by R. Holmes),,19,24
87,1,2:31.0,R. Holmes makes free throw 1 of 2,,20,24
88,1,2:31.0,R. Holmes makes free throw 2 of 2,,21,24
89,1,2:12.0,,Personal foul by R. Covington,21,24
90,1,2:02.0,,E. Davis makes 2-pt layup from 2 ft (assist by D. Lillard),21,26
91,1,1:41.0,R. Holmes makes 2-pt layup from 2 ft (assist by S. Weems),,23,26
92,1,1:26.0,,E. Davis makes 2-pt layup at rim (assist by D. Lillard),23,28
93,1,1:12.0,T. McConnell makes 2-pt jump shot from 8 ft,,25,28
94,1,0:47.0,,G. Henderson makes 3-pt jump shot from 22 ft (assist by D. Lillard),25,31
95,1,0:33.0,R. Covington misses 3-pt jump shot from 25 ft,,25,31
96,1,0:32.0,,Defensive rebound by A. Crabbe,25,31
97,1,0:20.0,,Turnover by G. Henderson (lost ball),25,31
98,1,0:20.0,J. Grant enters the game for R. Holmes,,25,31
99,1,0:20.0,H. Thompson enters the game for S. Weems,,25,31
100,1,0:00.0,T. McConnell makes 2-pt layup at rim,,27,31
101,2,11:37.0,Turnover by R. Covington (lost ball; steal by C. McCollum),,27,31
102,2,11:32.0,,A. Crabbe makes 2-pt layup from 1 ft (assist by C. McCollum),27,33
103,2,11:23.0,J. Grant makes 2-pt layup from 1 ft,,29,33
104,2,11:06.0,,E. Davis misses 2-pt layup at rim,29,33
105,2,11:04.0,,Offensive rebound by N. Vonleh,29,33
106,2,10:57.0,,G. Henderson makes 2-pt jump shot from 18 ft,29,35
107,2,10:41.0,S. Weems misses 3-pt jump shot from 23 ft,,29,35
108,2,10:40.0,,Defensive rebound by N. Vonleh,29,35
109,2,10:27.0,,C. McCollum misses 2-pt jump shot from 12 ft,29,35
110,2,10:25.0,Defensive rebound by J. Grant,,29,35
111,2,10:16.0,R. Covington misses 3-pt jump shot from 22 ft,,29,35
112,2,10:16.0,,Defensive rebound by C. McCollum,29,35
113,2,10:00.0,,G. Henderson makes 2-pt jump shot from 19 ft (assist by C. McCollum),29,37
114,2,9:37.0,J. Grant misses 3-pt jump shot from 24 ft,,29,37
115,2,9:36.0,,Defensive rebound by N. Vonleh,29,37
116,2,9:22.0,,N. Vonleh makes 2-pt hook shot from 6 ft,29,39
117,2,9:21.0,Philadelphia full timeout,,29,39
118,2,9:21.0,H. Thompson enters the game for R. Covington,,29,39
119,2,9:21.0,C. Landry enters the game for S. Weems,,29,39
120,2,9:02.0,Turnover by T. McConnell (bad pass; steal by G. Henderson),,29,39
121,2,8:56.0,,A. Crabbe misses 3-pt jump shot from 22 ft,29,39
122,2,8:54.0,Defensive rebound by J. Grant,,29,39
123,2,8:42.0,H. Thompson misses 3-pt jump shot from 24 ft,,29,39
124,2,8:42.0,,Defensive rebound by E. Davis,29,39
125,2,8:29.0,,G. Henderson misses 2-pt jump shot from 16 ft,29,39
126,2,8:28.0,Defensive rebound by N. Stauskas,,29,39
127,2,8:21.0,N. Stauskas makes 3-pt jump shot from 24 ft,,32,39
128,2,8:01.0,,G. Henderson makes 2-pt jump shot from 15 ft,32,41
129,2,7:44.0,H. Thompson misses 3-pt jump shot from 24 ft,,32,41
130,2,7:41.0,,Defensive rebound by E. Davis,32,41
131,2,7:34.0,,Shooting foul by C. Landry (drawn by E. Davis),32,41
132,2,7:34.0,,E. Davis misses free throw 1 of 2,32,41
133,2,7:34.0,,Offensive rebound by Team,32,41
134,2,7:34.0,I. Canaan enters the game for C. Landry,,32,41
135,2,7:34.0,I. Smith enters the game for N. Stauskas,,32,41
136,2,7:34.0,R. Covington enters the game for T. McConnell,,32,41
137,2,7:34.0,,E. Davis misses free throw 2 of 2,32,41
138,2,7:33.0,Defensive rebound by H. Thompson,,32,41
139,2,7:22.0,J. Grant makes 2-pt layup from 2 ft,,34,41
140,2,7:22.0,Shooting foul by E. Davis (drawn by J. Grant),,34,41
141,2,7:22.0,J. Grant makes free throw 1 of 1,,35,41
142,2,7:12.0,,Turnover by N. Vonleh (offensive foul),35,41
143,2,7:12.0,,Offensive foul by N. Vonleh (drawn by I. Smith),35,41
144,2,6:58.0,R. Covington misses 2-pt jump shot from 3 ft (block by E. Davis),,35,41
145,2,6:56.0,,Defensive rebound by N. Vonleh,35,41
146,2,6:50.0,,C. McCollum makes 2-pt jump shot from 5 ft,35,43
147,2,6:32.0,I. Canaan misses 3-pt jump shot from 24 ft,,35,43
148,2,6:30.0,,Defensive rebound by G. Henderson,35,43
149,2,6:22.0,,Turnover by G. Henderson (lost ball; steal by R. Covington),35,43
150,2,6:14.0,H. Thompson makes 3-pt jump shot from 23 ft (assist by I. Smith),,38,43
151,2,6:13.0,,Portland full timeout,38,43
152,2,6:13.0,,M. Harkless enters the game for G. Henderson,38,43
153,2,6:13.0,,A. Aminu enters the game for N. Vonleh,38,43
154,2,6:01.0,,Shooting foul by J. Grant (drawn by C. McCollum),38,43
155,2,6:01.0,,C. McCollum makes free throw 1 of 2,38,44
156,2,6:01.0,,C. McCollum makes free throw 2 of 2,38,45
157,2,5:50.0,I. Smith misses 3-pt jump shot from 24 ft,,38,45
158,2,5:48.0,,Defensive rebound by Team,38,45
159,2,5:33.0,,C. McCollum makes 2-pt jump shot from 18 ft (assist by A. Crabbe),38,47
160,2,5:19.0,R. Covington misses 3-pt jump shot from 25 ft,,38,47
161,2,5:19.0,,Defensive rebound by A. Aminu,38,47
162,2,5:10.0,,C. McCollum makes 2-pt jump shot from 18 ft,38,49
163,2,5:05.0,Philadelphia full timeout,,38,49
164,2,5:05.0,,D. Lillard enters the game for C. McCollum,38,49
165,2,5:05.0,,B. Roberts enters the game for A. Crabbe,38,49
166,2,4:51.0,H. Thompson misses 3-pt jump shot from 24 ft,,38,49
167,2,4:50.0,,Defensive rebound by E. Davis,38,49
168,2,4:29.0,,D. Lillard misses 3-pt jump shot from 25 ft,38,49
169,2,4:28.0,Defensive rebound by I. Smith,,38,49
170,2,4:23.0,I. Canaan misses 3-pt jump shot from 24 ft,,38,49
171,2,4:22.0,,Defensive rebound by E. Davis,38,49
172,2,4:04.0,,A. Aminu makes 2-pt jump shot from 15 ft (assist by B. Roberts),38,51
173,2,3:55.0,Shooting foul by E. Davis (drawn by R. Covington),,38,51
174,2,3:55.0,R. Covington makes free throw 1 of 2,,39,51
175,2,3:55.0,,M. Plumlee enters the game for E. Davis,39,51
176,2,3:55.0,E. Brand enters the game for J. Grant,,39,51
177,2,3:55.0,R. Covington makes free throw 2 of 2,,40,51
178,2,3:35.0,,A. Aminu misses 2-pt jump shot from 6 ft,40,51
179,2,3:33.0,Defensive rebound by H. Thompson,,40,51
180,2,3:23.0,R. Covington misses 3-pt jump shot from 24 ft,,40,51
181,2,3:23.0,,Defensive rebound by D. Lillard,40,51
182,2,3:14.0,,A. Aminu makes 3-pt jump shot from 22 ft (assist by M. Plumlee),40,54
183,2,2:56.0,Shooting foul by B. Roberts (drawn by I. Canaan),,40,54
184,2,2:56.0,Official timeout,,40,54
185,2,2:56.0,N. Stauskas enters the game for R. Covington,,40,54
186,2,2:56.0,I. Canaan makes free throw 1 of 2,,41,54
187,2,2:56.0,I. Canaan makes free throw 2 of 2,,42,54
188,2,2:41.0,,Turnover by D. Lillard (bad pass; steal by E. Brand),42,54
189,2,2:33.0,H. Thompson misses 3-pt jump shot from 24 ft,,42,54
190,2,2:33.0,,Defensive rebound by B. Roberts,42,54
191,2,2:16.0,,M. Plumlee misses 2-pt jump shot from 6 ft,42,54
192,2,2:15.0,,Offensive rebound by M. Harkless,42,54
193,2,2:15.0,,M. Harkless misses 2-pt layup at rim,42,54
194,2,2:14.0,Defensive rebound by E. Brand,,42,54
195,2,2:04.0,I. Canaan makes 2-pt jump shot from 9 ft,,44,54
196,2,1:45.0,,B. Roberts misses 2-pt jump shot from 13 ft,44,54
197,2,1:44.0,,Offensive rebound by M. Plumlee,44,54
198,2,1:38.0,,M. Harkless misses 3-pt jump shot from 25 ft,44,54
199,2,1:37.0,Defensive rebound by I. Canaan,,44,54
200,2,1:20.0,N. Stauskas makes 3-pt jump shot from 25 ft (assist by I. Smith),,47,54
201,2,1:06.0,,Shooting foul by I. Canaan (drawn by D. Lillard),47,54
202,2,1:06.0,,D. Lillard makes free throw 1 of 2,47,55
203,2,1:06.0,,C. McCollum enters the game for B. Roberts,47,55
204,2,1:06.0,,D. Lillard makes free throw 2 of 2,47,56
205,2,0:58.0,I. Canaan makes 2-pt jump shot from 7 ft,,49,56
206,2,0:48.0,,D. Lillard misses 2-pt jump shot from 14 ft,49,56
207,2,0:47.0,Defensive rebound by I. Smith,,49,56
208,2,0:39.0,I. Canaan misses 2-pt jump shot from 20 ft,,49,56
209,2,0:38.0,,Defensive rebound by M. Plumlee,49,56
210,2,0:31.0,,C. McCollum misses 2-pt layup from 1 ft,49,56
211,2,0:30.0,Defensive rebound by N. Stauskas,,49,56
212,2,0:28.0,Turnover by N. Stauskas (lost ball; steal by M. Plumlee),,49,56
213,2,0:27.0,,Shooting foul by E. Brand (drawn by M. Plumlee),49,56
214,2,0:27.0,,M. Plumlee makes free throw 1 of 2,49,57
215,2,0:27.0,R. Covington enters the game for E. Brand,,49,57
216,2,0:27.0,,M. Plumlee misses free throw 2 of 2,49,57
217,2,0:27.0,Defensive rebound by I. Smith,,49,57
218,2,0:04.0,I. Smith misses 2-pt jump shot from 22 ft,,49,57
219,2,0:02.0,,Defensive rebound by A. Aminu,49,57
220,3,11:46.0,C. Landry makes 2-pt jump shot from 20 ft (assist by J. Grant),,51,57
221,3,11:28.0,,D. Lillard makes 3-pt jump shot from 24 ft,51,60
222,3,11:11.0,J. Grant misses 2-pt layup from 2 ft,,51,60
223,3,11:11.0,Offensive rebound by H. Thompson,,51,60
224,3,11:11.0,Turnover by H. Thompson (step out of bounds),,51,60
225,3,10:50.0,,M. Harkless misses 2-pt layup from 1 ft (block by H. Thompson),51,60
226,3,10:49.0,Defensive rebound by H. Thompson,,51,60
227,3,10:35.0,J. Grant misses 2-pt layup from 2 ft,,51,60
228,3,10:34.0,Offensive rebound by J. Grant,,51,60
229,3,10:32.0,J. Grant misses 2-pt layup from 2 ft,,51,60
230,3,10:30.0,,Defensive rebound by M. Plumlee,51,60
231,3,10:22.0,,D. Lillard misses 3-pt jump shot from 24 ft,51,60
232,3,10:21.0,Defensive rebound by I. Smith,,51,60
233,3,10:13.0,I. Smith misses 2-pt layup at rim,,51,60
234,3,10:12.0,Offensive rebound by I. Smith,,51,60
235,3,10:12.0,I. Smith makes 2-pt layup at rim,,53,60
236,3,9:51.0,,A. Aminu makes 3-pt jump shot from 25 ft (assist by D. Lillard),53,63
237,3,9:34.0,Personal foul by C. McCollum,,53,63
238,3,9:26.0,C. Landry misses 2-pt jump shot from 19 ft,,53,63
239,3,9:25.0,,Defensive rebound by D. Lillard,53,63
240,3,9:18.0,,D. Lillard makes 2-pt jump shot from 19 ft,53,65
241,3,9:11.0,Philadelphia full timeout,,53,65
242,3,9:02.0,I. Canaan misses 2-pt layup from 2 ft (block by C. McCollum),,53,65
243,3,9:02.0,,Defensive rebound by M. Plumlee,53,65
244,3,8:53.0,,M. Harkless makes 2-pt layup from 2 ft,53,67
245,3,8:41.0,C. Landry makes 2-pt jump shot from 21 ft (assist by I. Smith),,55,67
246,3,8:23.0,,C. McCollum makes 2-pt layup from 2 ft (assist by A. Aminu),55,69
247,3,8:00.0,I. Canaan misses 3-pt jump shot from 22 ft,,55,69
248,3,7:59.0,,Defensive rebound by M. Harkless,55,69
249,3,7:48.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by D. Lillard),55,71
250,3,7:38.0,I. Smith makes 2-pt dunk at rim,,57,71
251,3,7:23.0,,C. McCollum misses 2-pt jump shot from 6 ft (block by J. Grant),57,71
252,3,7:23.0,,Offensive rebound by Team,57,71
253,3,7:15.0,,D. Lillard misses 3-pt jump shot from 25 ft,57,71
254,3,7:14.0,Defensive rebound by C. Landry,,57,71
255,3,7:03.0,I. Canaan misses 3-pt jump shot from 24 ft,,57,71
256,3,7:01.0,,Defensive rebound by M. Harkless,57,71
257,3,6:54.0,,Personal foul by H. Thompson,57,71
258,3,6:54.0,R. Covington enters the game for C. Landry,,57,71
259,3,6:48.0,,D. Lillard makes 2-pt layup from 1 ft,57,73
260,3,6:38.0,R. Covington misses 3-pt jump shot from 24 ft,,57,73
261,3,6:37.0,Offensive rebound by J. Grant,,57,73
262,3,6:34.0,J. Grant misses 2-pt jump shot from 17 ft,,57,73
263,3,6:33.0,,Defensive rebound by D. Lillard,57,73
264,3,6:28.0,,Personal foul by J. Grant,57,73
265,3,6:28.0,N. Stauskas enters the game for I. Canaan,,57,73
266,3,6:18.0,,A. Aminu misses 3-pt jump shot from 24 ft,57,73
267,3,6:17.0,Defensive rebound by I. Smith,,57,73
268,3,6:14.0,Personal foul by C. McCollum,,57,73
269,3,5:59.0,J. Grant makes 2-pt dunk at rim (assist by H. Thompson),,59,73
270,3,5:54.0,,Turnover by D. Lillard (bad pass),59,73
271,3,5:41.0,I. Smith makes 2-pt layup from 2 ft,,61,73
272,3,5:21.0,,D. Lillard misses 2-pt layup from 2 ft (block by J. Grant),61,73
273,3,5:21.0,Defensive rebound by R. Covington,,61,73
274,3,5:13.0,I. Smith misses 2-pt jump shot from 3 ft,,61,73
275,3,5:13.0,,Defensive rebound by D. Lillard,61,73
276,3,5:09.0,,Turnover by M. Harkless (bad pass; steal by R. Covington),61,73
277,3,5:06.0,Turnover by R. Covington (bad pass; steal by M. Harkless),,61,73
278,3,5:03.0,,M. Plumlee makes 2-pt dunk at rim (assist by M. Harkless),61,75
279,3,4:44.0,N. Stauskas makes 3-pt jump shot from 24 ft (assist by J. Grant),,64,75
280,3,4:23.0,K. Marshall enters the game for H. Thompson,,64,75
281,3,4:23.0,T. McConnell enters the game for J. Grant,,64,75
282,3,4:23.0,E. Brand enters the game for I. Smith,,64,75
283,3,4:23.0,,E. Davis enters the game for A. Aminu,64,75
284,3,4:23.0,,G. Henderson enters the game for M. Plumlee,64,75
285,3,4:23.0,,A. Crabbe enters the game for C. McCollum,64,75
286,3,4:19.0,,E. Davis misses 2-pt hook shot from 4 ft,64,75
287,3,4:19.0,Defensive rebound by R. Covington,,64,75
288,3,4:10.0,T. McConnell misses 2-pt jump shot from 12 ft,,64,75
289,3,4:09.0,,Defensive rebound by E. Davis,64,75
290,3,4:00.0,,D. Lillard misses 2-pt jump shot from 19 ft,64,75
291,3,3:59.0,Defensive rebound by E. Brand,,64,75
292,3,3:49.0,N. Stauskas misses 2-pt layup from 1 ft,,64,75
293,3,3:49.0,,Defensive rebound by E. Davis,64,75
294,3,3:28.0,,M. Harkless makes 2-pt layup at rim (assist by G. Henderson),64,77
295,3,3:28.0,,Shooting foul by E. Brand (drawn by M. Harkless),64,77
296,3,3:28.0,,M. Harkless makes free throw 1 of 1,64,78
297,3,3:09.0,K. Marshall misses 3-pt jump shot from 24 ft,,64,78
298,3,3:08.0,,Defensive rebound by Team,64,78
299,3,2:54.0,,D. Lillard makes 2-pt jump shot from 17 ft,64,80
300,3,2:36.0,R. Covington misses 2-pt layup from 2 ft,,64,80
301,3,2:35.0,Offensive rebound by R. Covington,,64,80
302,3,2:34.0,R. Covington makes 2-pt jump shot from 3 ft,,66,80
303,3,2:34.0,Shooting foul by M. Harkless (drawn by R. Covington),,66,80
304,3,2:34.0,,Portland full timeout,66,80
305,3,2:34.0,R. Covington makes free throw 1 of 1,,67,80
306,3,2:09.0,,D. Lillard misses 2-pt jump shot from 21 ft,67,80
307,3,2:07.0,Defensive rebound by R. Covington,,67,80
308,3,1:59.0,R. Covington makes 2-pt layup from 2 ft (assist by T. McConnell),,69,80
309,3,1:59.0,Shooting foul by D. Lillard (drawn by R. Covington),,69,80
310,3,1:59.0,,C. McCollum enters the game for D. Lillard,69,80
311,3,1:59.0,,A. Aminu enters the game for M. Harkless,69,80
312,3,1:59.0,R. Covington makes free throw 1 of 1,,70,80
313,3,1:52.0,,Offensive foul by C. McCollum (drawn by T. McConnell),70,80
314,3,1:52.0,,Turnover by C. McCollum (offensive foul),70,80
315,3,1:42.0,R. Covington makes 2-pt layup from 1 ft,,72,80
316,3,1:42.0,Shooting foul by A. Aminu (drawn by R. Covington),,72,80
317,3,1:42.0,R. Covington misses free throw 1 of 1,,72,80
318,3,1:41.0,,Defensive rebound by G. Henderson,72,80
319,3,1:21.0,,C. McCollum misses 2-pt jump shot from 19 ft,72,80
320,3,1:21.0,,Offensive rebound by A. Aminu,72,80
321,3,1:20.0,,Shooting foul by E. Brand (drawn by A. Aminu),72,80
322,3,1:20.0,,A. Aminu makes free throw 1 of 2,72,81
323,3,1:20.0,,A. Aminu makes free throw 2 of 2,72,82
324,3,1:07.0,T. McConnell misses 2-pt jump shot from 10 ft,,72,82
325,3,1:06.0,,Defensive rebound by E. Davis,72,82
326,3,0:58.0,,C. McCollum misses 2-pt jump shot from 8 ft,72,82
327,3,0:57.0,,Offensive rebound by E. Davis,72,82
328,3,0:49.0,,Personal foul by T. McConnell,72,82
329,3,0:49.0,,C. McCollum makes free throw 1 of 2,72,83
330,3,0:49.0,,C. McCollum makes free throw 2 of 2,72,84
331,3,0:26.0,E. Brand makes 2-pt jump shot from 18 ft (assist by K. Marshall),,74,84
332,3,0:05.0,,C. McCollum makes 2-pt layup from 2 ft,74,86
333,3,0:00.0,N. Stauskas misses 3-pt jump shot from 25 ft,,74,86
334,3,0:00.0,,Defensive rebound by E. Davis,74,86
335,4,11:44.0,,Shooting foul by N. Stauskas (drawn by G. Henderson),74,86
336,4,11:44.0,,G. Henderson makes free throw 1 of 2,74,87
337,4,11:44.0,,G. Henderson makes free throw 2 of 2,74,88
338,4,11:20.0,N. Stauskas makes 2-pt jump shot from 20 ft,,76,88
339,4,10:58.0,,A. Crabbe makes 2-pt jump shot from 23 ft (assist by E. Davis),76,90
340,4,10:46.0,H. Thompson misses 3-pt jump shot from 25 ft,,76,90
341,4,10:45.0,,Defensive rebound by E. Davis,76,90
342,4,10:36.0,,Shooting foul by I. Smith (drawn by E. Davis),76,90
343,4,10:36.0,,E. Davis makes free throw 1 of 2,76,91
344,4,10:36.0,,E. Davis makes free throw 2 of 2,76,92
345,4,10:27.0,Shooting foul by E. Davis (drawn by C. Landry),,76,92
346,4,10:27.0,C. Landry makes free throw 1 of 2,,77,92
347,4,10:27.0,C. Landry makes free throw 2 of 2,,78,92
348,4,10:18.0,,C. McCollum misses 3-pt jump shot from 24 ft,78,92
349,4,10:18.0,Defensive rebound by N. Stauskas,,78,92
350,4,10:04.0,C. Landry makes 2-pt layup from 2 ft,,80,92
351,4,9:50.0,,A. Crabbe misses 3-pt jump shot from 24 ft,80,92
352,4,9:49.0,,Offensive rebound by A. Aminu,80,92
353,4,9:47.0,,Shooting foul by C. Landry (drawn by A. Aminu),80,92
354,4,9:47.0,,A. Aminu makes free throw 1 of 2,80,93
355,4,9:47.0,,A. Aminu makes free throw 2 of 2,80,94
356,4,9:34.0,I. Smith misses 2-pt layup from 1 ft,,80,94
357,4,9:33.0,,Defensive rebound by E. Davis,80,94
358,4,9:27.0,,C. McCollum misses 2-pt layup from 1 ft,80,94
359,4,9:26.0,Defensive rebound by C. Landry,,80,94
360,4,9:19.0,Turnover by I. Smith (traveling),,80,94
361,4,9:01.0,,A. Crabbe misses 2-pt jump shot from 18 ft,80,94
362,4,9:00.0,Defensive rebound by N. Stauskas,,80,94
363,4,8:49.0,Shooting foul by G. Henderson (drawn by N. Stauskas),,80,94
364,4,8:49.0,Official timeout,,80,94
365,4,8:49.0,,D. Lillard enters the game for C. McCollum,80,94
366,4,8:49.0,N. Stauskas makes free throw 1 of 2,,81,94
367,4,8:49.0,N. Stauskas makes free throw 2 of 2,,82,94
368,4,8:30.0,,A. Aminu makes 2-pt dunk at rim (assist by E. Davis),82,96
369,4,8:16.0,Turnover by N. Stauskas (bad pass),,82,96
370,4,8:16.0,,M. Plumlee enters the game for E. Davis,82,96
371,4,8:16.0,R. Covington enters the game for I. Canaan,,82,96
372,4,8:05.0,,Personal foul by H. Thompson,82,96
373,4,8:05.0,J. Grant enters the game for C. Landry,,82,96
374,4,7:56.0,,A. Crabbe misses 2-pt jump shot from 12 ft,82,96
375,4,7:54.0,Defensive rebound by I. Smith,,82,96
376,4,7:43.0,N. Stauskas misses 3-pt jump shot from 22 ft,,82,96
377,4,7:42.0,,Defensive rebound by M. Plumlee,82,96
378,4,7:30.0,,A. Aminu misses 3-pt jump shot from 24 ft,82,96
379,4,7:30.0,Defensive rebound by I. Smith,,82,96
380,4,7:21.0,H. Thompson makes 3-pt jump shot from 25 ft (assist by J. Grant),,85,96
381,4,7:05.0,,G. Henderson misses 3-pt jump shot from 24 ft,85,96
382,4,7:04.0,Defensive rebound by R. Covington,,85,96
383,4,6:52.0,Personal foul by M. Plumlee,,85,96
384,4,6:43.0,H. Thompson misses 2-pt jump shot from 14 ft,,85,96
385,4,6:42.0,,Defensive rebound by M. Plumlee,85,96
386,4,6:29.0,,A. Crabbe misses 3-pt jump shot from 22 ft,85,96
387,4,6:29.0,Defensive rebound by R. Covington,,85,96
388,4,6:25.0,I. Smith makes 2-pt layup from 1 ft,,87,96
389,4,6:25.0,Shooting foul by D. Lillard (drawn by I. Smith),,87,96
