,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,CLEVELAND_ACTION,OKLAHOMA CITY_SCORE,CLEVELAND_SCORE
70,1,2:39.0,N. Collison enters the game for R. Westbrook,,22,18
71,1,2:39.0,,J. Cunningham enters the game for T. Mozgov,22,18
72,1,2:39.0,,T. Thompson enters the game for J. Smith,22,18
73,1,2:39.0,,L. James enters the game for M. Dellavedova,22,18
74,1,2:24.0,K. Durant misses 2-pt jump shot from 13 ft,,22,18
75,1,2:24.0,,Defensive rebound by R. Jefferson,22,18
76,1,2:04.0,,L. James misses 2-pt jump shot from 10 ft,22,18
77,1,2:03.0,,Offensive rebound by T. Thompson,22,18
78,1,2:00.0,,T. Thompson misses 2-pt layup from 1 ft,22,18
79,1,1:58.0,,Offensive rebound by T. Thompson,22,18
80,1,1:58.0,,T. Thompson makes 2-pt layup at rim,22,20
81,1,1:42.0,N. Collison makes 2-pt jump shot from 5 ft (assist by K. Durant),,24,20
82,1,1:23.0,,R. Jefferson makes 3-pt jump shot from 24 ft (assist by L. James),24,23
83,1,1:04.0,Shooting foul by L. James (drawn by K. Durant),,24,23
84,1,1:04.0,K. Durant makes free throw 1 of 2,,25,23
85,1,1:04.0,,A. Varejão enters the game for K. Love,25,23
86,1,1:04.0,K. Durant makes free throw 2 of 2,,26,23
87,1,0:51.0,,L. James misses 2-pt layup from 2 ft,26,23
88,1,0:50.0,,Offensive rebound by T. Thompson,26,23
89,1,0:50.0,,Shooting foul by N. Collison (drawn by T. Thompson),26,23
90,1,0:50.0,,T. Thompson misses free throw 1 of 2,26,23
91,1,0:50.0,,Offensive rebound by Team,26,23
92,1,0:50.0,,T. Thompson misses free throw 2 of 2,26,23
93,1,0:50.0,Defensive rebound by K. Durant,,26,23
94,1,0:38.0,D. Augustin misses 3-pt jump shot from 25 ft,,26,23
95,1,0:37.0,,Defensive rebound by L. James,26,23
96,1,0:28.0,,L. James makes 2-pt layup at rim,26,25
97,1,0:28.0,,Shooting foul by N. Collison (drawn by L. James),26,25
98,1,0:28.0,,L. James makes free throw 1 of 1,26,26
99,1,0:05.0,K. Durant makes 2-pt jump shot from 16 ft,,28,26
100,1,0:01.0,,L. James misses 3-pt jump shot from 29 ft,28,26
101,1,0:00.0,Defensive rebound by N. Collison,,28,26
102,2,11:40.0,,A. Varejão misses 2-pt jump shot from 15 ft,28,26
103,2,11:39.0,Defensive rebound by E. Freedom,,28,26
104,2,11:26.0,D. Waiters misses 2-pt jump shot from 20 ft,,28,26
105,2,11:26.0,,Defensive rebound by T. Thompson,28,26
106,2,11:07.0,Offensive charge foul by J. Cunningham (drawn by N. Collison),,28,26
107,2,11:07.0,,Turnover by J. Cunningham (offensive foul),28,26
108,2,10:57.0,E. Freedom makes 2-pt jump shot from 15 ft (assist by D. Augustin),,30,26
109,2,10:38.0,,A. Varejão misses 2-pt jump shot from 16 ft,30,26
110,2,10:38.0,Defensive rebound by E. Freedom,,30,26
111,2,10:25.0,D. Augustin makes 2-pt jump shot from 5 ft,,32,26
112,2,10:21.0,,Personal foul by N. Collison (drawn by T. Thompson),32,26
113,2,10:21.0,,M. Dellavedova enters the game for J. Cunningham,32,26
114,2,10:10.0,,Turnover by L. James (bad pass),32,26
115,2,9:49.0,D. Augustin misses 2-pt layup at rim,,32,26
116,2,9:47.0,Offensive rebound by N. Collison,,32,26
117,2,9:47.0,N. Collison misses 2-pt layup from 1 ft,,32,26
118,2,9:45.0,,Defensive rebound by L. James,32,26
119,2,9:39.0,,L. James misses 2-pt jump shot from 17 ft,32,26
120,2,9:38.0,Defensive rebound by D. Waiters,,32,26
121,2,9:30.0,,K. Love enters the game for A. Varejão,32,26
122,2,9:30.0,,J. Smith enters the game for R. Jefferson,32,26
123,2,9:30.0,S. Adams enters the game for N. Collison,,32,26
124,2,9:26.0,Shooting foul by K. Love (drawn by D. Waiters),,32,26
125,2,9:26.0,D. Waiters misses free throw 1 of 2,,32,26
126,2,9:26.0,Offensive rebound by Team,,32,26
127,2,9:26.0,S. Ibaka enters the game for E. Freedom,,32,26
128,2,9:26.0,D. Waiters misses free throw 2 of 2,,32,26
129,2,9:25.0,,Defensive rebound by J. Smith,32,26
130,2,9:10.0,,K. Love misses 3-pt jump shot from 26 ft,32,26
131,2,9:10.0,Defensive rebound by D. Waiters,,32,26
132,2,9:02.0,D. Waiters makes 2-pt layup from 1 ft,,34,26
133,2,8:52.0,,Personal foul by D. Waiters (drawn by J. Smith),34,26
134,2,8:52.0,Official timeout,,34,26
135,2,8:52.0,R. Westbrook enters the game for D. Augustin,,34,26
136,2,8:44.0,,L. James misses 2-pt jump shot from 3 ft (block by S. Adams),34,26
137,2,8:43.0,Defensive rebound by R. Westbrook,,34,26
138,2,8:37.0,R. Westbrook makes 2-pt jump shot from 16 ft,,36,26
139,2,8:24.0,,L. James makes 2-pt layup from 1 ft (assist by K. Love),36,28
140,2,8:08.0,D. Waiters misses 2-pt jump shot from 18 ft,,36,28
141,2,8:08.0,Offensive rebound by S. Adams,,36,28
142,2,7:53.0,S. Ibaka makes 2-pt dunk at rim (assist by R. Westbrook),,38,28
143,2,7:42.0,,Offensive foul by K. Love (drawn by S. Ibaka),38,28
144,2,7:42.0,,Turnover by K. Love (offensive foul),38,28
145,2,7:42.0,,T. Mozgov enters the game for K. Love,38,28
146,2,7:16.0,D. Waiters misses 3-pt jump shot from 24 ft,,38,28
147,2,7:16.0,Offensive rebound by Team,,38,28
148,2,7:16.0,,Loose ball foul by M. Dellavedova (drawn by K. Singler),38,28
149,2,7:16.0,K. Durant enters the game for K. Singler,,38,28
150,2,7:06.0,R. Westbrook makes 2-pt jump shot from 17 ft,,40,28
151,2,6:46.0,,M. Dellavedova makes 3-pt jump shot from 25 ft (assist by L. James),40,31
152,2,6:30.0,S. Ibaka misses 3-pt jump shot from 23 ft,,40,31
153,2,6:30.0,,Defensive rebound by M. Dellavedova,40,31
154,2,6:19.0,,J. Smith makes 2-pt jump shot from 6 ft (assist by L. James),40,33
155,2,5:56.0,K. Durant misses 2-pt jump shot from 18 ft,,40,33
156,2,5:53.0,,Defensive rebound by M. Dellavedova,40,33
157,2,5:52.0,,L. James makes 2-pt dunk at rim (assist by M. Dellavedova),40,35
158,2,5:52.0,Oklahoma City full timeout,,40,35
159,2,5:31.0,R. Westbrook misses 2-pt jump shot from 15 ft,,40,35
160,2,5:30.0,,Defensive rebound by L. James,40,35
161,2,5:12.0,,M. Dellavedova makes 3-pt jump shot from 24 ft (assist by L. James),40,38
162,2,4:49.0,Turnover by K. Durant (lost ball),,40,38
163,2,4:49.0,,R. Jefferson enters the game for L. James,40,38
164,2,4:49.0,A. Roberson enters the game for D. Waiters,,40,38
165,2,4:49.0,E. Freedom enters the game for S. Adams,,40,38
166,2,4:31.0,,J. Smith makes 2-pt jump shot from 8 ft,40,40
167,2,4:21.0,S. Ibaka misses 2-pt jump shot from 18 ft,,40,40
168,2,4:20.0,,Defensive rebound by R. Jefferson,40,40
169,2,4:11.0,,Personal foul by R. Westbrook (drawn by T. Mozgov),40,40
170,2,4:02.0,,T. Mozgov makes 2-pt layup from 1 ft (assist by M. Dellavedova),40,42
171,2,3:48.0,K. Durant misses 2-pt jump shot from 16 ft,,40,42
172,2,3:47.0,,Defensive rebound by J. Smith,40,42
173,2,3:46.0,,Cleveland full timeout,40,42
174,2,3:23.0,,J. Smith makes 2-pt jump shot from 13 ft,40,44
175,2,3:04.0,Turnover by A. Roberson (bad pass; steal by J. Smith),,40,44
176,2,2:58.0,,T. Thompson misses 2-pt layup from 2 ft (block by S. Ibaka),40,44
177,2,2:56.0,Defensive rebound by A. Roberson,,40,44
178,2,2:55.0,,Offensive charge foul by R. Westbrook (drawn by J. Smith),40,44
179,2,2:55.0,Turnover by R. Westbrook (offensive foul),,40,44
180,2,2:55.0,,L. James enters the game for R. Jefferson,40,44
181,2,2:34.0,D. Waiters enters the game for A. Roberson,,40,44
182,2,2:34.0,,Shooting foul by R. Westbrook (drawn by M. Dellavedova),40,44
183,2,2:34.0,,M. Dellavedova makes free throw 1 of 2,40,45
184,2,2:34.0,D. Augustin enters the game for R. Westbrook,,40,45
185,2,2:34.0,,M. Dellavedova makes free throw 2 of 2,40,46
186,2,2:17.0,Shooting block foul by T. Thompson (drawn by S. Ibaka),,40,46
187,2,2:17.0,S. Ibaka makes free throw 1 of 2,,41,46
188,2,2:17.0,,R. Jefferson enters the game for M. Dellavedova,41,46
189,2,2:17.0,S. Ibaka misses free throw 2 of 2,,41,46
190,2,2:16.0,,Defensive rebound by Team,41,46
191,2,1:52.0,,J. Smith misses 2-pt jump shot from 14 ft,41,46
192,2,1:51.0,Defensive rebound by S. Ibaka,,41,46
193,2,1:42.0,K. Durant makes 2-pt jump shot from 14 ft,,43,46
194,2,1:22.0,,T. Mozgov misses 2-pt layup from 2 ft,43,46
195,2,1:21.0,Defensive rebound by D. Augustin,,43,46
196,2,1:12.0,S. Ibaka makes 2-pt jump shot from 15 ft (assist by D. Augustin),,45,46
197,2,1:12.0,,Cleveland full timeout,45,46
198,2,0:49.0,,J. Smith misses 3-pt jump shot from 26 ft,45,46
199,2,0:49.0,Defensive rebound by E. Freedom,,45,46
200,2,0:33.0,E. Freedom makes 2-pt jump shot from 20 ft (assist by D. Augustin),,47,46
201,2,0:17.0,,L. James misses 2-pt layup from 3 ft,47,46
202,2,0:16.0,Defensive rebound by D. Augustin,,47,46
203,2,0:00.0,D. Augustin misses 3-pt jump shot from 24 ft,,47,46
204,2,0:00.0,Offensive rebound by Team,,47,46
205,3,11:44.0,,J. Smith misses 3-pt jump shot from 23 ft,47,46
206,3,11:44.0,Defensive rebound by S. Ibaka,,47,46
207,3,11:31.0,Turnover by K. Durant (step out of bounds),,47,46
208,3,11:18.0,,Turnover by L. James (lost ball; steal by A. Roberson),47,46
209,3,11:11.0,R. Westbrook makes 2-pt layup from 1 ft (assist by A. Roberson),,49,46
210,3,10:55.0,,L. James makes 2-pt layup at rim (assist by K. Love),49,48
211,3,10:29.0,R. Westbrook makes 2-pt jump shot from 12 ft (assist by S. Ibaka),,51,48
212,3,10:14.0,,Turnover by T. Mozgov (lost ball; steal by R. Westbrook),51,48
213,3,10:09.0,R. Westbrook misses 2-pt layup from 1 ft,,51,48
214,3,10:06.0,Offensive rebound by S. Ibaka,,51,48
215,3,9:55.0,S. Ibaka makes 2-pt jump shot from 17 ft (assist by R. Westbrook),,53,48
216,3,9:38.0,,K. Love makes 2-pt jump shot from 5 ft (assist by M. Dellavedova),53,50
217,3,9:28.0,K. Durant makes 2-pt jump shot from 16 ft (assist by R. Westbrook),,55,50
218,3,9:12.0,,T. Mozgov misses 2-pt dunk at rim,55,50
219,3,9:11.0,Defensive rebound by S. Adams,,55,50
220,3,9:10.0,Personal foul by J. Smith (drawn by R. Westbrook),,55,50
221,3,8:55.0,S. Ibaka makes 3-pt jump shot from 24 ft (assist by K. Durant),,58,50
222,3,8:37.0,,T. Mozgov makes 2-pt hook shot from 8 ft (assist by K. Love),58,52
223,3,8:26.0,Shooting foul by T. Mozgov (drawn by K. Durant),,58,52
224,3,8:26.0,K. Durant makes free throw 1 of 2,,59,52
225,3,8:26.0,K. Durant makes free throw 2 of 2,,60,52
226,3,8:12.0,,Shooting foul by S. Adams (drawn by L. James),60,52
227,3,8:12.0,,L. James makes free throw 1 of 2,60,53
228,3,8:12.0,,T. Thompson enters the game for T. Mozgov,60,53
229,3,8:12.0,,L. James makes free throw 2 of 2,60,54
230,3,7:59.0,K. Durant misses 3-pt jump shot from 24 ft,,60,54
231,3,7:58.0,Offensive rebound by A. Roberson,,60,54
232,3,7:54.0,A. Roberson makes 2-pt layup from 2 ft,,62,54
233,3,7:39.0,,M. Dellavedova misses 2-pt layup from 1 ft,62,54
234,3,7:39.0,,Offensive rebound by Team,62,54
235,3,7:34.0,,M. Dellavedova misses 2-pt jump shot from 5 ft,62,54
236,3,7:32.0,,Offensive rebound by T. Thompson,62,54
237,3,7:29.0,,J. Smith misses 3-pt jump shot from 25 ft,62,54
238,3,7:28.0,Defensive rebound by A. Roberson,,62,54
239,3,7:26.0,Shooting foul by J. Smith (drawn by R. Westbrook),,62,54
240,3,7:26.0,R. Westbrook makes free throw 1 of 2,,63,54
241,3,7:26.0,R. Westbrook makes free throw 2 of 2,,64,54
242,3,7:15.0,,L. James makes 2-pt layup at rim (assist by M. Dellavedova),64,56
243,3,6:58.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,66,56
244,3,6:58.0,,Cleveland full timeout,66,56
245,3,6:58.0,,R. Jefferson enters the game for J. Smith,66,56
246,3,6:40.0,,M. Dellavedova misses 3-pt jump shot from 25 ft,66,56
247,3,6:40.0,,Offensive rebound by L. James,66,56
248,3,6:28.0,,L. James misses 2-pt layup from 2 ft,66,56
249,3,6:26.0,,Offensive rebound by T. Thompson,66,56
250,3,6:26.0,,T. Thompson makes 2-pt dunk at rim,66,58
251,3,6:13.0,R. Westbrook misses 2-pt jump shot from 16 ft,,66,58
252,3,6:13.0,Offensive rebound by S. Adams,,66,58
253,3,6:13.0,S. Adams misses 2-pt layup from 1 ft,,66,58
254,3,6:11.0,,Defensive rebound by K. Love,66,58
255,3,6:00.0,,L. James misses 2-pt jump shot from 9 ft (block by A. Roberson),66,58
256,3,5:59.0,,Offensive rebound by M. Dellavedova,66,58
257,3,5:59.0,,Turnover by R. Jefferson (traveling),66,58
258,3,5:59.0,Oklahoma City full timeout,,66,58
259,3,5:44.0,S. Ibaka makes 3-pt jump shot from 24 ft (assist by K. Durant),,69,58
260,3,5:24.0,,L. James misses 2-pt jump shot from 6 ft,69,58
261,3,5:22.0,,Offensive rebound by T. Thompson,69,58
262,3,5:22.0,,T. Thompson misses 2-pt layup at rim,69,58
263,3,5:20.0,,Offensive rebound by T. Thompson,69,58
264,3,5:15.0,,R. Jefferson makes 3-pt jump shot from 24 ft (assist by T. Thompson),69,61
265,3,4:54.0,S. Ibaka makes 2-pt jump shot from 10 ft (assist by R. Westbrook),,71,61
266,3,4:43.0,,Turnover by L. James (step out of bounds),71,61
267,3,4:43.0,D. Waiters enters the game for A. Roberson,,71,61
268,3,4:22.0,R. Westbrook misses 2-pt layup from 2 ft,,71,61
269,3,4:20.0,,Defensive rebound by T. Thompson,71,61
270,3,4:19.0,,Shooting foul by D. Waiters (drawn by L. James),71,61
271,3,4:19.0,,L. James makes 2-pt layup at rim,71,63
272,3,4:19.0,,L. James makes free throw 1 of 1,71,64
273,3,4:10.0,Personal foul by R. Jefferson (drawn by S. Adams),,71,64
274,3,4:00.0,S. Ibaka misses 2-pt layup from 2 ft (block by T. Thompson),,71,64
275,3,3:59.0,,Defensive rebound by K. Love,71,64
276,3,3:52.0,,T. Thompson makes 2-pt dunk at rim (assist by L. James),71,66
277,3,3:35.0,Personal foul by R. Jefferson (drawn by K. Durant),,71,66
278,3,3:35.0,K. Durant misses free throw 1 of 2,,71,66
279,3,3:35.0,Offensive rebound by Team,,71,66
280,3,3:35.0,,J. Smith enters the game for L. James,71,66
281,3,3:35.0,E. Freedom enters the game for S. Adams,,71,66
282,3,3:35.0,K. Durant makes free throw 2 of 2,,72,66
283,3,3:24.0,,Personal foul by D. Waiters (drawn by T. Thompson),72,66
284,3,3:24.0,D. Augustin enters the game for R. Westbrook,,72,66
285,3,3:18.0,,T. Thompson makes 2-pt dunk at rim (assist by M. Dellavedova),72,68
286,3,3:00.0,K. Durant misses 3-pt jump shot from 25 ft,,72,68
287,3,3:00.0,,Defensive rebound by K. Love,72,68
288,3,2:50.0,,K. Love misses 3-pt jump shot from 24 ft,72,68
289,3,2:50.0,Defensive rebound by Team,,72,68
290,3,2:41.0,Personal foul by J. Smith (drawn by E. Freedom),,72,68
291,3,2:41.0,E. Freedom makes free throw 1 of 2,,73,68
292,3,2:41.0,,J. Cunningham enters the game for J. Smith,73,68
293,3,2:41.0,E. Freedom makes free throw 2 of 2,,74,68
294,3,2:26.0,,K. Love misses 2-pt jump shot from 8 ft,74,68
295,3,2:25.0,Defensive rebound by E. Freedom,,74,68
296,3,2:16.0,Shooting foul by T. Thompson (drawn by S. Ibaka),,74,68
297,3,2:16.0,S. Ibaka makes free throw 1 of 2,,75,68
298,3,2:16.0,S. Ibaka makes free throw 2 of 2,,76,68
299,3,2:02.0,,J. Cunningham makes 2-pt dunk at rim (assist by R. Jefferson),76,70
300,3,1:42.0,Shooting foul by J. Cunningham (drawn by D. Waiters),,76,70
301,3,1:42.0,D. Waiters makes free throw 1 of 2,,77,70
302,3,1:42.0,D. Waiters makes free throw 2 of 2,,78,70
303,3,1:34.0,,Personal foul by D. Waiters (drawn by M. Dellavedova),78,70
304,3,1:34.0,,L. James enters the game for M. Dellavedova,78,70
305,3,1:20.0,,T. Thompson makes 2-pt hook shot from 6 ft,78,72
306,3,1:07.0,Turnover by K. Durant (bad pass; steal by K. Love),,78,72
307,3,0:49.0,,Turnover by J. Cunningham (lost ball; steal by D. Waiters),78,72
308,3,0:43.0,D. Waiters misses 3-pt jump shot from 25 ft,,78,72
309,3,0:40.0,Offensive rebound by S. Ibaka,,78,72
310,3,0:35.0,D. Waiters misses 3-pt jump shot from 25 ft,,78,72
311,3,0:34.0,,Defensive rebound by J. Cunningham,78,72
312,3,0:29.0,,R. Jefferson makes 2-pt dunk at rim (assist by L. James),78,74
313,3,0:08.0,Turnover by S. Ibaka (traveling),,78,74
314,3,0:02.0,,L. James misses 2-pt layup at rim,78,74
315,3,0:01.0,Defensive rebound by K. Durant,,78,74
316,4,11:43.0,E. Freedom misses 2-pt jump shot from 13 ft,,78,74
317,4,11:42.0,,Defensive rebound by K. Love,78,74
318,4,11:24.0,,R. Jefferson misses 3-pt jump shot from 23 ft,78,74
319,4,11:24.0,,Offensive rebound by T. Thompson,78,74
320,4,11:14.0,,K. Love makes 3-pt jump shot from 26 ft (assist by L. James),78,77
321,4,11:14.0,,Shooting foul by N. Collison (drawn by K. Love),78,77
322,4,11:14.0,,K. Love makes free throw 1 of 1,78,78
323,4,10:58.0,D. Waiters misses 2-pt jump shot from 20 ft,,78,78
324,4,10:56.0,,Defensive rebound by K. Love,78,78
325,4,10:54.0,,L. James makes 2-pt dunk at rim (assist by K. Love),78,80
326,4,10:54.0,,Shooting foul by D. Augustin (drawn by L. James),78,80
327,4,10:54.0,,M. Dellavedova enters the game for K. Love,78,80
328,4,10:54.0,,L. James makes free throw 1 of 1,78,81
329,4,10:36.0,E. Freedom misses 2-pt hook shot from 4 ft,,78,81
330,4,10:35.0,,Defensive rebound by T. Thompson,78,81
331,4,10:27.0,,R. Jefferson misses 3-pt jump shot from 24 ft,78,81
332,4,10:25.0,,Offensive rebound by M. Dellavedova,78,81
333,4,10:22.0,,R. Jefferson makes 2-pt layup at rim (assist by L. James),78,83
334,4,10:13.0,Oklahoma City full timeout,,78,83
335,4,10:13.0,R. Westbrook enters the game for D. Waiters,,78,83
336,4,10:00.0,N. Collison makes 2-pt layup from 1 ft (assist by K. Singler),,80,83
337,4,9:39.0,,R. Jefferson makes 3-pt jump shot from 25 ft (assist by L. James),80,86
338,4,9:16.0,D. Augustin misses 2-pt jump shot from 8 ft,,80,86
339,4,9:16.0,,Defensive rebound by Team,80,86
340,4,9:16.0,Loose ball foul by E. Freedom (drawn by T. Thompson),,80,86
341,4,9:16.0,S. Adams enters the game for E. Freedom,,80,86
342,4,9:16.0,K. Durant enters the game for D. Augustin,,80,86
343,4,9:16.0,A. Roberson enters the game for N. Collison,,80,86
344,4,9:00.0,,J. Cunningham misses 3-pt jump shot from 25 ft,80,86
345,4,8:59.0,Defensive rebound by K. Durant,,80,86
346,4,8:55.0,,Offensive charge foul by R. Westbrook (drawn by M. Dellavedova),80,86
347,4,8:55.0,Turnover by R. Westbrook (offensive foul),,80,86
348,4,8:43.0,,T. Thompson makes 2-pt dunk at rim (assist by M. Dellavedova),80,88
349,4,8:31.0,Personal foul by J. Cunningham (drawn by S. Adams),,80,88
350,4,8:24.0,K. Durant misses 2-pt jump shot from 18 ft,,80,88
351,4,8:23.0,Offensive rebound by S. Adams,,80,88
352,4,8:21.0,Turnover by S. Adams (bad pass; steal by J. Cunningham),,80,88
353,4,8:10.0,,J. Cunningham makes 3-pt jump shot from 23 ft (assist by L. James),80,91
354,4,7:59.0,Turnover by S. Adams (offensive foul),,80,91
355,4,7:59.0,Offensive foul by S. Adams (drawn by J. Cunningham),,80,91
356,4,7:47.0,,M. Dellavedova misses 2-pt jump shot from 6 ft,80,91
357,4,7:45.0,Defensive rebound by R. Westbrook,,80,91
358,4,7:40.0,K. Durant makes 2-pt jump shot from 9 ft (assist by R. Westbrook),,82,91
359,4,7:26.0,,L. James makes 2-pt layup from 1 ft (assist by M. Dellavedova),82,93
360,4,7:26.0,,Shooting foul by S. Adams (drawn by L. James),82,93
361,4,7:26.0,S. Ibaka enters the game for S. Adams,,82,93
362,4,7:26.0,,L. James makes free throw 1 of 1,82,94
363,4,7:11.0,A. Roberson makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,85,94
364,4,6:52.0,,L. James makes 2-pt jump shot from 21 ft (assist by M. Dellavedova),85,96
365,4,6:39.0,Personal foul by L. James (drawn by R. Westbrook),,85,96
366,4,6:39.0,,K. Love enters the game for L. James,85,96
367,4,6:26.0,S. Ibaka makes 2-pt layup from 1 ft (assist by R. Westbrook),,87,96
368,4,6:05.0,,J. Cunningham makes 2-pt dunk (assist by M. Dellavedova),87,98
369,4,5:40.0,R. Westbrook misses 3-pt jump shot from 24 ft,,87,98
370,4,5:39.0,Offensive rebound by A. Roberson,,87,98
371,4,5:34.0,Shooting foul by J. Cunningham (drawn by K. Durant),,87,98
372,4,5:34.0,,L. James enters the game for J. Cunningham,87,98
373,4,5:34.0,K. Durant makes free throw 1 of 2,,88,98
374,4,5:34.0,K. Durant makes free throw 2 of 2,,89,98
375,4,5:20.0,,K. Love misses 3-pt jump shot from 26 ft,89,98
376,4,5:19.0,,Offensive rebound by T. Thompson,89,98
377,4,5:11.0,,R. Jefferson misses 2-pt jump shot from 10 ft,89,98
378,4,5:06.0,Defensive rebound by Team,,89,98
379,4,5:06.0,S. Adams enters the game for A. Roberson,,89,98
380,4,4:57.0,Turnover by R. Westbrook (bad pass; steal by L. James),,89,98
381,4,4:53.0,,Turnover by L. James (bad pass; steal by K. Singler),89,98
382,4,4:48.0,R. Westbrook makes 2-pt layup at rim (assist by K. Singler),,91,98
383,4,4:29.0,,L. James misses 2-pt jump shot from 22 ft,91,98
384,4,4:28.0,,Offensive rebound by T. Thompson,91,98
385,4,4:23.0,,M. Dellavedova misses 3-pt jump shot from 24 ft,91,98
