,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DALLAS_ACTION,ATLANTA_SCORE,DALLAS_SCORE
64,1,3:30.0,P. Millsap misses 2-pt jump shot from 18 ft,,16,19
65,1,3:29.0,,Defensive rebound by Z. Pachulia,16,19
66,1,3:17.0,,D. Williams misses 2-pt jump shot from 18 ft,16,19
67,1,3:15.0,Defensive rebound by D. Schröder,,16,19
68,1,3:04.0,D. Schröder makes 2-pt jump shot from 21 ft,,18,19
69,1,3:03.0,,Dallas full timeout,18,19
70,1,3:03.0,L. Patterson enters the game for K. Korver,,18,19
71,1,2:38.0,,W. Matthews makes 3-pt jump shot from 25 ft,18,22
72,1,2:16.0,P. Millsap misses 2-pt jump shot from 3 ft,,18,22
73,1,2:16.0,,Defensive rebound by Z. Pachulia,18,22
74,1,2:16.0,Loose ball foul by P. Millsap (drawn by Z. Pachulia),,18,22
75,1,2:16.0,,D. Harris enters the game for W. Matthews,18,22
76,1,2:16.0,,D. Nowitzki enters the game for Z. Pachulia,18,22
77,1,2:16.0,,J. Barea enters the game for D. Williams,18,22
78,1,2:16.0,A. Horford enters the game for P. Millsap,,18,22
79,1,2:02.0,T. Splitter enters the game for M. Muscala,,18,22
80,1,1:55.0,,J. Barea misses 2-pt jump shot from 11 ft,18,22
81,1,1:54.0,Defensive rebound by K. Bazemore,,18,22
82,1,1:47.0,D. Schröder makes 2-pt jump shot from 16 ft,,20,22
83,1,1:25.0,,C. Parsons misses 2-pt jump shot from 5 ft,20,22
84,1,1:25.0,Offensive rebound by Team,,20,22
85,1,0:59.0,K. Bazemore misses 2-pt jump shot from 20 ft,,20,22
86,1,0:59.0,Offensive rebound by Team,,20,22
87,1,0:59.0,Turnover by Team (shot clock),,20,22
88,1,0:34.0,,Turnover by C. Parsons (bad pass; steal by A. Horford),20,22
89,1,0:17.0,D. Schröder makes 2-pt jump shot from 20 ft,,22,22
90,1,0:02.0,,Shooting foul by T. Splitter (drawn by D. Harris),22,22
91,1,0:02.0,,D. Harris misses free throw 1 of 2,22,22
92,1,0:02.0,,Offensive rebound by Team,22,22
93,1,0:02.0,,J. Evans enters the game for D. Nowitzki,22,22
94,1,0:02.0,,D. Harris makes free throw 2 of 2,22,23
95,1,0:00.0,D. Schröder misses 2-pt jump shot from 17 ft,,22,23
96,1,0:00.0,Offensive rebound by Team,,22,23
97,2,11:48.0,K. Bazemore makes 2-pt layup from 1 ft (assist by T. Splitter),,24,23
98,2,11:33.0,,Personal foul by K. Bazemore (drawn by D. Harris),24,23
99,2,11:27.0,,Turnover by D. Powell (offensive foul),24,23
100,2,11:27.0,Offensive charge foul by D. Powell (drawn by L. Patterson),,24,23
101,2,11:09.0,A. Horford makes 2-pt layup at rim (assist by T. Splitter),,26,23
102,2,10:57.0,,C. Parsons makes 3-pt jump shot from 25 ft (assist by D. Nowitzki),26,26
103,2,10:49.0,Offensive foul by D. Schröder (drawn by J. Barea),,26,26
104,2,10:49.0,Turnover by D. Schröder (offensive foul),,26,26
105,2,10:33.0,,D. Powell makes 2-pt jump shot from 4 ft (assist by J. Barea),26,28
106,2,10:33.0,,Shooting foul by K. Bazemore (drawn by D. Powell),26,28
107,2,10:33.0,,D. Powell makes free throw 1 of 1,26,29
108,2,10:17.0,L. Patterson misses 3-pt jump shot from 24 ft,,26,29
109,2,10:16.0,,Defensive rebound by C. Parsons,26,29
110,2,10:09.0,,C. Parsons misses 2-pt jump shot from 6 ft,26,29
111,2,10:08.0,Defensive rebound by A. Horford,,26,29
112,2,10:02.0,Turnover by D. Schröder (bad pass; steal by D. Nowitzki),,26,29
113,2,9:48.0,T. Sefolosha enters the game for K. Bazemore,,26,29
114,2,9:41.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,26,29
115,2,9:40.0,Defensive rebound by T. Sefolosha,,26,29
116,2,9:33.0,Turnover by D. Schröder (offensive foul),,26,29
117,2,9:33.0,Offensive foul by D. Schröder (drawn by J. Barea),,26,29
118,2,9:23.0,,Turnover by J. Barea (bad pass; steal by T. Splitter),26,29
119,2,9:15.0,T. Sefolosha makes 2-pt jump shot from 20 ft (assist by L. Patterson),,28,29
120,2,8:51.0,,C. Parsons misses 3-pt jump shot from 25 ft,28,29
121,2,8:50.0,Defensive rebound by D. Schröder,,28,29
122,2,8:39.0,Turnover by L. Patterson (lost ball),,28,29
123,2,8:39.0,Official timeout,,28,29
124,2,8:39.0,,R. Felton enters the game for D. Nowitzki,28,29
125,2,8:39.0,,C. Villanueva enters the game for C. Parsons,28,29
126,2,8:39.0,,D. Williams enters the game for D. Powell,28,29
127,2,8:39.0,,W. Matthews enters the game for J. Barea,28,29
128,2,8:39.0,,Z. Pachulia enters the game for D. Harris,28,29
129,2,8:39.0,J. Teague enters the game for L. Patterson,,28,29
130,2,8:25.0,,D. Williams misses 3-pt jump shot from 24 ft,28,29
131,2,8:24.0,Defensive rebound by T. Sefolosha,,28,29
132,2,8:06.0,T. Splitter makes 2-pt layup from 1 ft (assist by T. Sefolosha),,30,29
133,2,7:43.0,,C. Villanueva misses 3-pt jump shot from 22 ft,30,29
134,2,7:42.0,,Offensive rebound by D. Williams,30,29
135,2,7:34.0,,Z. Pachulia makes 2-pt jump shot from 8 ft (assist by D. Williams),30,31
136,2,7:18.0,A. Horford misses 2-pt jump shot from 16 ft,,30,31
137,2,7:17.0,,Defensive rebound by Z. Pachulia,30,31
138,2,6:55.0,,Z. Pachulia makes 2-pt jump shot from 10 ft (assist by R. Felton),30,33
139,2,6:38.0,T. Sefolosha misses 2-pt jump shot from 12 ft,,30,33
140,2,6:38.0,Offensive rebound by T. Splitter,,30,33
141,2,6:32.0,Atlanta full timeout,,30,33
142,2,6:32.0,M. Muscala enters the game for A. Horford,,30,33
143,2,6:32.0,P. Millsap enters the game for D. Schröder,,30,33
144,2,6:32.0,K. Korver enters the game for T. Splitter,,30,33
145,2,6:23.0,P. Millsap makes 2-pt dunk at rim (assist by M. Muscala),,32,33
146,2,6:02.0,,Shooting foul by T. Sefolosha (drawn by Z. Pachulia),32,33
147,2,6:02.0,,Z. Pachulia makes free throw 1 of 2,32,34
148,2,6:02.0,,Z. Pachulia misses free throw 2 of 2,32,34
149,2,6:01.0,Defensive rebound by T. Sefolosha,,32,34
150,2,5:49.0,T. Sefolosha makes 2-pt layup from 1 ft (assist by P. Millsap),,34,34
151,2,5:37.0,,D. Williams makes 2-pt layup from 1 ft,34,36
152,2,5:23.0,M. Muscala makes 2-pt layup at rim,,36,36
153,2,5:10.0,,C. Villanueva makes 2-pt jump shot from 8 ft,36,38
154,2,4:43.0,M. Muscala misses 3-pt jump shot from 24 ft,,36,38
155,2,4:42.0,,Defensive rebound by W. Matthews,36,38
156,2,4:32.0,,R. Felton misses 3-pt jump shot from 24 ft,36,38
157,2,4:31.0,Defensive rebound by M. Muscala,,36,38
158,2,4:13.0,T. Sefolosha misses 2-pt jump shot from 6 ft,,36,38
159,2,4:12.0,,Defensive rebound by R. Felton,36,38
160,2,4:05.0,,D. Williams misses 2-pt layup from 1 ft (block by K. Korver),36,38
161,2,4:05.0,,Offensive rebound by Team,36,38
162,2,4:05.0,,C. Parsons enters the game for R. Felton,36,38
163,2,4:05.0,,D. Nowitzki enters the game for C. Villanueva,36,38
164,2,4:03.0,,W. Matthews misses 2-pt jump shot from 6 ft,36,38
165,2,4:01.0,Defensive rebound by P. Millsap,,36,38
166,2,3:46.0,M. Muscala misses 3-pt jump shot from 22 ft,,36,38
167,2,3:45.0,,Defensive rebound by W. Matthews,36,38
168,2,3:37.0,,D. Williams misses 2-pt jump shot from 17 ft,36,38
169,2,3:36.0,Defensive rebound by P. Millsap,,36,38
170,2,3:29.0,K. Korver makes 3-pt jump shot from 24 ft (assist by P. Millsap),,39,38
171,2,3:29.0,,Dallas full timeout,39,38
172,2,3:29.0,A. Horford enters the game for T. Sefolosha,,39,38
173,2,3:29.0,K. Bazemore enters the game for M. Muscala,,39,38
174,2,3:09.0,,C. Parsons misses 2-pt jump shot from 14 ft,39,38
175,2,3:08.0,Defensive rebound by J. Teague,,39,38
176,2,3:05.0,Shooting foul by C. Parsons (drawn by J. Teague),,39,38
177,2,3:05.0,J. Teague makes free throw 1 of 2,,40,38
178,2,3:05.0,J. Teague makes free throw 2 of 2,,41,38
179,2,2:51.0,,D. Williams misses 3-pt jump shot from 25 ft,41,38
180,2,2:50.0,Defensive rebound by K. Bazemore,,41,38
181,2,2:50.0,Personal foul by Z. Pachulia (drawn by K. Bazemore),,41,38
182,2,2:38.0,J. Teague misses 3-pt jump shot from 24 ft,,41,38
183,2,2:37.0,,Defensive rebound by Z. Pachulia,41,38
184,2,2:21.0,,D. Nowitzki misses 2-pt jump shot from 13 ft,41,38
185,2,2:20.0,Defensive rebound by K. Bazemore,,41,38
186,2,2:15.0,Turnover by J. Teague (lost ball; steal by D. Nowitzki),,41,38
187,2,2:12.0,,C. Parsons makes 2-pt layup from 1 ft,41,40
188,2,1:53.0,K. Bazemore misses 2-pt hook shot from 8 ft,,41,40
189,2,1:52.0,Offensive rebound by P. Millsap,,41,40
190,2,1:52.0,Shooting foul by D. Williams (drawn by P. Millsap),,41,40
191,2,1:52.0,P. Millsap misses free throw 1 of 2,,41,40
192,2,1:52.0,Offensive rebound by Team,,41,40
193,2,1:52.0,P. Millsap makes free throw 2 of 2,,42,40
194,2,1:38.0,,W. Matthews misses 2-pt layup from 1 ft (block by K. Bazemore),42,40
195,2,1:35.0,,Offensive rebound by Z. Pachulia,42,40
196,2,1:30.0,,W. Matthews misses 3-pt jump shot from 24 ft,42,40
197,2,1:28.0,,Offensive rebound by D. Nowitzki,42,40
198,2,1:18.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,42,40
199,2,1:18.0,,Offensive rebound by Z. Pachulia,42,40
200,2,1:18.0,Loose ball foul by A. Horford (drawn by Z. Pachulia),,42,40
201,2,1:11.0,,Turnover by Z. Pachulia (lost ball; steal by A. Horford),42,40
202,2,1:04.0,K. Bazemore makes 3-pt jump shot from 23 ft (assist by K. Korver),,45,40
203,2,0:53.0,,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by C. Parsons),45,42
204,2,0:44.0,K. Korver makes 2-pt jump shot from 18 ft (assist by K. Bazemore),,47,42
205,2,0:34.0,,D. Williams makes 2-pt layup from 1 ft,47,44
206,2,0:29.0,Shooting foul by D. Williams (drawn by J. Teague),,47,44
207,2,0:29.0,J. Teague makes free throw 1 of 2,,48,44
208,2,0:29.0,,R. Felton enters the game for D. Williams,48,44
209,2,0:29.0,J. Teague makes free throw 2 of 2,,49,44
210,2,0:14.0,,D. Nowitzki misses 2-pt jump shot from 17 ft,49,44
211,2,0:12.0,Defensive rebound by A. Horford,,49,44
212,2,0:00.0,J. Teague misses 2-pt jump shot from 3 ft,,49,44
213,2,0:00.0,Offensive rebound by Team,,49,44
214,3,11:50.0,Turnover by K. Korver (bad pass; steal by R. Felton),,49,44
215,3,11:32.0,,R. Felton misses 2-pt jump shot from 3 ft,49,44
216,3,11:31.0,,Offensive rebound by Z. Pachulia,49,44
217,3,11:25.0,,R. Felton misses 2-pt jump shot from 14 ft,49,44
218,3,11:24.0,,Offensive rebound by D. Nowitzki,49,44
219,3,11:21.0,,D. Nowitzki misses 2-pt jump shot from 13 ft,49,44
220,3,11:20.0,,Offensive rebound by Z. Pachulia,49,44
221,3,11:20.0,,Personal foul by J. Teague (drawn by D. Williams),49,44
222,3,11:08.0,,D. Williams misses 3-pt jump shot from 23 ft (block by T. Sefolosha),49,44
223,3,11:07.0,,Offensive rebound by R. Felton,49,44
224,3,11:07.0,,R. Felton makes 2-pt layup at rim,49,46
225,3,10:53.0,P. Millsap makes 2-pt jump shot from 4 ft,,51,46
226,3,10:53.0,Shooting foul by W. Matthews (drawn by P. Millsap),,51,46
227,3,10:53.0,P. Millsap misses free throw 1 of 1,,51,46
228,3,10:52.0,,Defensive rebound by R. Felton,51,46
229,3,10:34.0,,R. Felton makes 3-pt jump shot from 24 ft,51,49
230,3,10:08.0,J. Teague misses 2-pt jump shot from 7 ft (block by W. Matthews),,51,49
231,3,10:06.0,,Defensive rebound by Z. Pachulia,51,49
232,3,9:58.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,51,49
233,3,9:57.0,,Offensive rebound by Z. Pachulia,51,49
234,3,9:54.0,,W. Matthews misses 3-pt jump shot from 22 ft,51,49
235,3,9:53.0,Defensive rebound by A. Horford,,51,49
236,3,9:43.0,J. Teague makes 3-pt jump shot from 24 ft (assist by A. Horford),,54,49
237,3,9:29.0,,D. Nowitzki makes 2-pt jump shot from 20 ft (assist by D. Williams),54,51
238,3,9:14.0,Offensive foul by J. Teague (drawn by D. Williams),,54,51
239,3,9:14.0,Turnover by J. Teague (offensive foul),,54,51
240,3,8:57.0,,Turnover by D. Nowitzki (bad pass; steal by P. Millsap),54,51
241,3,8:51.0,T. Sefolosha misses 2-pt layup from 1 ft,,54,51
242,3,8:51.0,,Defensive rebound by Team,54,51
243,3,8:40.0,,R. Felton makes 2-pt jump shot from 7 ft,54,53
244,3,8:27.0,P. Millsap makes 2-pt hook shot from 1 ft (assist by A. Horford),,56,53
245,3,8:11.0,,R. Felton misses 2-pt jump shot from 13 ft,56,53
246,3,8:10.0,Defensive rebound by P. Millsap,,56,53
247,3,8:00.0,J. Teague makes 2-pt layup at rim,,58,53
248,3,7:52.0,,Personal foul by P. Millsap (drawn by D. Nowitzki),58,53
249,3,7:42.0,,Z. Pachulia misses 2-pt jump shot from 5 ft (block by A. Horford),58,53
250,3,7:42.0,,Offensive rebound by Team,58,53
251,3,7:37.0,,D. Williams misses 2-pt jump shot from 9 ft,58,53
252,3,7:36.0,Defensive rebound by P. Millsap,,58,53
253,3,7:32.0,Turnover by P. Millsap (bad pass),,58,53
254,3,7:26.0,,D. Williams makes 2-pt layup at rim,58,55
255,3,7:15.0,J. Teague misses 2-pt jump shot from 8 ft,,58,55
256,3,7:13.0,,Defensive rebound by D. Nowitzki,58,55
257,3,7:08.0,,R. Felton misses 2-pt layup from 3 ft,58,55
258,3,7:06.0,,Offensive rebound by R. Felton,58,55
259,3,6:58.0,,D. Nowitzki makes 2-pt jump shot from 9 ft,58,57
260,3,6:45.0,K. Korver misses 3-pt jump shot from 24 ft,,58,57
261,3,6:44.0,,Defensive rebound by D. Williams,58,57
262,3,6:35.0,,Turnover by D. Williams (bad pass; steal by K. Korver),58,57
263,3,6:30.0,A. Horford makes 2-pt layup at rim (assist by J. Teague),,60,57
264,3,6:13.0,,D. Williams misses 2-pt jump shot from 13 ft,60,57
265,3,6:12.0,,Offensive rebound by D. Nowitzki,60,57
266,3,6:10.0,,D. Nowitzki makes 2-pt jump shot from 16 ft,60,59
267,3,5:45.0,A. Horford makes 2-pt jump shot from 19 ft (assist by J. Teague),,62,59
268,3,5:44.0,,Dallas full timeout,62,59
269,3,5:44.0,,D. Powell enters the game for D. Nowitzki,62,59
270,3,5:44.0,K. Bazemore enters the game for T. Sefolosha,,62,59
271,3,5:30.0,,W. Matthews misses 2-pt jump shot from 12 ft,62,59
272,3,5:29.0,,Offensive rebound by W. Matthews,62,59
273,3,5:27.0,,W. Matthews makes 2-pt layup from 2 ft,62,61
274,3,5:06.0,P. Millsap makes 2-pt jump shot from 3 ft,,64,61
275,3,4:44.0,,R. Felton makes 2-pt jump shot from 21 ft,64,63
276,3,4:27.0,K. Bazemore misses 2-pt layup from 2 ft,,64,63
277,3,4:26.0,,Defensive rebound by Z. Pachulia,64,63
278,3,4:13.0,,Shooting foul by J. Teague (drawn by D. Powell),64,63
279,3,4:13.0,,D. Powell makes free throw 1 of 2,64,64
280,3,4:13.0,,C. Parsons enters the game for W. Matthews,64,64
281,3,4:13.0,M. Muscala enters the game for A. Horford,,64,64
282,3,4:13.0,D. Schröder enters the game for J. Teague,,64,64
283,3,4:13.0,,D. Powell makes free throw 2 of 2,64,65
284,3,4:00.0,Shooting foul by D. Powell (drawn by P. Millsap),,64,65
285,3,4:00.0,P. Millsap makes free throw 1 of 2,,65,65
286,3,4:00.0,P. Millsap makes free throw 2 of 2,,66,65
287,3,3:45.0,,D. Powell misses 2-pt jump shot from 17 ft,66,65
288,3,3:44.0,,Offensive rebound by Z. Pachulia,66,65
289,3,3:37.0,,D. Powell makes 2-pt layup at rim (assist by D. Williams),66,67
290,3,3:22.0,D. Schröder misses 2-pt layup at rim,,66,67
291,3,3:20.0,Offensive rebound by M. Muscala,,66,67
292,3,3:20.0,M. Muscala misses 2-pt layup at rim,,66,67
293,3,3:19.0,Offensive rebound by M. Muscala,,66,67
294,3,3:17.0,M. Muscala makes 2-pt hook shot from 4 ft,,68,67
295,3,3:04.0,,D. Powell makes 2-pt dunk at rim (assist by R. Felton),68,69
296,3,2:44.0,P. Millsap misses 3-pt jump shot from 24 ft,,68,69
297,3,2:43.0,,Defensive rebound by R. Felton,68,69
298,3,2:32.0,,C. Parsons misses 2-pt jump shot from 10 ft,68,69
299,3,2:31.0,Defensive rebound by M. Muscala,,68,69
300,3,2:25.0,Atlanta full timeout,,68,69
301,3,2:25.0,L. Patterson enters the game for K. Korver,,68,69
302,3,2:11.0,L. Patterson misses 3-pt jump shot from 24 ft,,68,69
303,3,2:10.0,,Defensive rebound by D. Powell,68,69
304,3,1:55.0,,Shooting block foul by P. Millsap (drawn by Z. Pachulia),68,69
305,3,1:55.0,,Z. Pachulia makes free throw 1 of 2,68,70
306,3,1:55.0,,D. Harris enters the game for D. Williams,68,70
307,3,1:55.0,,J. Barea enters the game for R. Felton,68,70
308,3,1:55.0,T. Splitter enters the game for P. Millsap,,68,70
309,3,1:55.0,A. Horford enters the game for M. Muscala,,68,70
310,3,1:55.0,,Z. Pachulia makes free throw 2 of 2,68,71
311,3,1:40.0,A. Horford makes 2-pt jump shot from 17 ft (assist by K. Bazemore),,70,71
312,3,1:22.0,,C. Parsons misses 3-pt jump shot from 24 ft,70,71
313,3,1:21.0,Defensive rebound by A. Horford,,70,71
314,3,1:00.0,T. Splitter makes 2-pt layup at rim (assist by A. Horford),,72,71
315,3,1:00.0,,Dallas full timeout,72,71
316,3,1:00.0,,D. Nowitzki enters the game for Z. Pachulia,72,71
317,3,0:43.0,,Shooting foul by T. Splitter (drawn by D. Powell),72,71
318,3,0:43.0,,D. Powell misses free throw 1 of 2,72,71
319,3,0:43.0,,Offensive rebound by Team,72,71
320,3,0:43.0,,D. Powell makes free throw 2 of 2,72,72
321,3,0:30.0,K. Bazemore makes 2-pt jump shot from 9 ft,,74,72
322,3,0:12.0,,J. Barea misses 2-pt layup at rim,74,72
323,3,0:09.0,,Offensive rebound by D. Powell,74,72
324,3,0:09.0,,D. Powell misses 2-pt layup at rim,74,72
325,3,0:07.0,Defensive rebound by T. Splitter,,74,72
326,3,0:06.0,K. Bazemore makes 2-pt layup at rim (assist by D. Schröder),,76,72
327,3,0:01.0,,J. Barea misses 3-pt jump shot from 37 ft,76,72
328,3,0:00.0,Defensive rebound by K. Bazemore,,76,72
329,4,11:44.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,76,72
330,4,11:43.0,Defensive rebound by K. Bazemore,,76,72
331,4,11:34.0,D. Schröder makes 2-pt jump shot from 17 ft,,78,72
332,4,11:16.0,,J. Barea misses 3-pt jump shot from 24 ft,78,72
333,4,11:14.0,,Offensive rebound by J. Barea,78,72
334,4,11:10.0,,D. Powell misses 2-pt layup at rim,78,72
335,4,11:08.0,Defensive rebound by T. Splitter,,78,72
336,4,11:06.0,Turnover by K. Bazemore (lost ball; steal by D. Powell),,78,72
337,4,11:00.0,,J. Barea misses 3-pt jump shot from 23 ft,78,72
338,4,10:58.0,,Offensive rebound by D. Powell,78,72
339,4,10:58.0,,D. Powell misses 2-pt layup at rim,78,72
340,4,10:57.0,Defensive rebound by L. Patterson,,78,72
341,4,10:35.0,Turnover by L. Patterson (lost ball),,78,72
342,4,10:21.0,,Shooting foul by L. Patterson (drawn by D. Powell),78,72
343,4,10:21.0,,D. Powell makes free throw 1 of 2,78,73
344,4,10:21.0,,D. Powell makes free throw 2 of 2,78,74
345,4,10:17.0,Personal block foul by D. Harris (drawn by D. Schröder),,78,74
346,4,10:09.0,D. Schröder makes 2-pt jump shot from 18 ft,,80,74
347,4,9:51.0,,J. Barea misses 2-pt layup from 1 ft,80,74
348,4,9:50.0,,Offensive rebound by D. Powell,80,74
349,4,9:50.0,,D. Powell misses 2-pt layup from 1 ft,80,74
350,4,9:50.0,Defensive rebound by Team,,80,74
351,4,9:33.0,T. Splitter misses 2-pt hook shot from 1 ft,,80,74
352,4,9:32.0,,Defensive rebound by D. Powell,80,74
353,4,9:28.0,,D. Harris makes 2-pt layup at rim (assist by J. Barea),80,76
354,4,9:28.0,,Shooting foul by L. Patterson (drawn by D. Harris),80,76
355,4,9:28.0,,R. Felton enters the game for C. Parsons,80,76
356,4,9:28.0,,W. Matthews enters the game for J. Barea,80,76
357,4,9:28.0,P. Millsap enters the game for T. Splitter,,80,76
358,4,9:28.0,,D. Harris makes free throw 1 of 1,80,77
359,4,9:14.0,A. Horford misses 2-pt hook shot from 8 ft,,80,77
360,4,9:13.0,,Defensive rebound by D. Nowitzki,80,77
361,4,8:54.0,,D. Nowitzki misses 2-pt jump shot from 19 ft,80,77
362,4,8:53.0,Defensive rebound by K. Bazemore,,80,77
363,4,8:45.0,P. Millsap misses 2-pt jump shot from 6 ft,,80,77
364,4,8:45.0,,Defensive rebound by D. Nowitzki,80,77
365,4,8:37.0,,W. Matthews misses 2-pt jump shot from 13 ft,80,77
366,4,8:36.0,Defensive rebound by A. Horford,,80,77
367,4,8:27.0,Shooting foul by W. Matthews (drawn by D. Schröder),,80,77
368,4,8:27.0,Official timeout,,80,77
369,4,8:27.0,,D. Williams enters the game for D. Nowitzki,80,77
370,4,8:27.0,,Z. Pachulia enters the game for D. Harris,80,77
371,4,8:27.0,T. Sefolosha enters the game for L. Patterson,,80,77
372,4,8:27.0,D. Schröder makes free throw 1 of 2,,81,77
373,4,8:27.0,D. Schröder misses free throw 2 of 2,,81,77
374,4,8:27.0,,Defensive rebound by D. Williams,81,77
375,4,8:08.0,,Turnover by R. Felton (bad pass),81,77
376,4,8:08.0,K. Korver enters the game for K. Bazemore,,81,77
377,4,7:57.0,D. Schröder misses 2-pt layup from 1 ft,,81,77
378,4,7:56.0,Offensive rebound by Team,,81,77
379,4,7:48.0,Turnover by D. Schröder (bad pass; steal by W. Matthews),,81,77
380,4,7:31.0,,W. Matthews makes 2-pt hook shot from 1 ft,81,79
381,4,7:10.0,K. Korver misses 3-pt jump shot from 23 ft,,81,79
382,4,7:08.0,,Defensive rebound by D. Powell,81,79
383,4,7:01.0,,W. Matthews misses 3-pt jump shot from 25 ft,81,79
384,4,7:00.0,Defensive rebound by T. Sefolosha,,81,79
385,4,6:56.0,Personal block foul by W. Matthews (drawn by T. Sefolosha),,81,79
