,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MILWAUKEE_ACTION,HOUSTON_SCORE,MILWAUKEE_SCORE
108,2,11:04.0,J. Terry misses 2-pt jump shot from 16 ft,,26,34
109,2,11:02.0,Offensive rebound by D. Howard,,26,34
110,2,11:02.0,Shooting foul by G. Monroe (drawn by D. Howard),,26,34
111,2,11:02.0,D. Howard misses free throw 1 of 2,,26,34
112,2,11:02.0,Offensive rebound by Team,,26,34
113,2,11:02.0,D. Howard misses free throw 2 of 2,,26,34
114,2,11:01.0,,Defensive rebound by G. Monroe,26,34
115,2,10:44.0,,G. Monroe makes 2-pt layup from 1 ft (assist by J. Bayless),26,36
116,2,10:35.0,Turnover by D. Howard (3 sec),,26,36
117,2,10:19.0,,R. Vaughn makes 3-pt jump shot from 27 ft (assist by J. Bayless),26,39
118,2,10:10.0,Houston full timeout,,26,39
119,2,10:10.0,J. Smith enters the game for T. Jones,,26,39
120,2,10:00.0,Turnover by T. Lawson (lost ball; steal by J. Bayless),,26,39
121,2,9:44.0,,G. Monroe misses 2-pt jump shot from 12 ft,26,39
122,2,9:43.0,Defensive rebound by D. Howard,,26,39
123,2,9:36.0,J. Smith misses 3-pt jump shot from 25 ft,,26,39
124,2,9:33.0,,Defensive rebound by G. Monroe,26,39
125,2,9:28.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,26,41
126,2,9:28.0,,Shooting foul by C. Brewer (drawn by G. Antetokounmpo),26,41
127,2,9:28.0,T. Ariza enters the game for C. Brewer,,26,41
128,2,9:28.0,J. Harden enters the game for T. Lawson,,26,41
129,2,9:28.0,P. Beverley enters the game for J. Terry,,26,41
130,2,9:28.0,,G. Antetokounmpo misses free throw 1 of 1,26,41
131,2,9:26.0,Defensive rebound by D. Howard,,26,41
132,2,9:14.0,P. Beverley misses 2-pt jump shot from 4 ft,,26,41
133,2,9:12.0,Offensive rebound by J. Smith,,26,41
134,2,9:07.0,P. Beverley makes 3-pt jump shot from 22 ft (assist by T. Ariza),,29,41
135,2,8:56.0,,R. Vaughn makes 2-pt jump shot from 18 ft (assist by J. O'Bryant),29,43
136,2,8:40.0,D. Howard makes 2-pt dunk at rim (assist by J. Harden),,31,43
137,2,8:23.0,,J. O'Bryant misses 2-pt jump shot from 19 ft,31,43
138,2,8:21.0,Defensive rebound by P. Beverley,,31,43
139,2,8:15.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by J. Smith),,34,43
140,2,8:14.0,,Milwaukee full timeout,34,43
141,2,8:14.0,,K. Middleton enters the game for J. O'Bryant,34,43
142,2,8:14.0,,J. Parker enters the game for G. Antetokounmpo,34,43
143,2,7:56.0,,J. Bayless misses 2-pt jump shot from 22 ft,34,43
144,2,7:54.0,Defensive rebound by T. Ariza,,34,43
145,2,7:51.0,Shooting foul by R. Vaughn (drawn by P. Beverley),,34,43
146,2,7:51.0,P. Beverley misses free throw 1 of 2,,34,43
147,2,7:51.0,Offensive rebound by Team,,34,43
148,2,7:51.0,P. Beverley makes free throw 2 of 2,,35,43
149,2,7:43.0,,Turnover by J. Bayless (bad pass; steal by J. Harden),35,43
150,2,7:38.0,T. Ariza makes 2-pt dunk at rim (assist by J. Harden),,37,43
151,2,7:23.0,,J. Parker makes 2-pt jump shot from 21 ft (assist by R. Vaughn),37,45
152,2,6:57.0,P. Beverley makes 2-pt jump shot from 21 ft (assist by T. Ariza),,39,45
153,2,6:57.0,Shooting foul by J. Bayless (drawn by P. Beverley),,39,45
154,2,6:57.0,P. Beverley makes free throw 1 of 1,,40,45
155,2,6:46.0,,J. Parker misses 2-pt jump shot from 7 ft,40,45
156,2,6:46.0,,Offensive rebound by Team,40,45
157,2,6:46.0,Loose ball foul by T. Ariza (drawn by G. Monroe),,40,45
158,2,6:41.0,,Shooting foul by D. Howard (drawn by J. Parker),40,45
159,2,6:41.0,D. Motiejūnas enters the game for D. Howard,,40,45
160,2,6:41.0,,J. Parker makes free throw 1 of 2,40,46
161,2,6:41.0,,J. Parker makes free throw 2 of 2,40,47
162,2,6:22.0,Shooting foul by G. Monroe (drawn by T. Ariza),,40,47
163,2,6:22.0,T. Ariza makes free throw 1 of 2,,41,47
164,2,6:22.0,T. Ariza makes free throw 2 of 2,,42,47
165,2,6:11.0,,Def 3 sec tech foul by J. Smith,42,47
166,2,6:11.0,,K. Middleton makes technical free throw,42,48
167,2,6:03.0,,G. Monroe misses 2-pt layup from 1 ft,42,48
168,2,6:01.0,,Offensive rebound by G. Monroe,42,48
169,2,5:56.0,,G. Monroe makes 2-pt layup from 1 ft,42,50
170,2,5:34.0,J. Harden makes 2-pt jump shot from 8 ft (assist by J. Smith),,44,50
171,2,5:22.0,,J. Bayless makes 3-pt jump shot from 24 ft (assist by J. Parker),44,53
172,2,5:07.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Harden),,47,53
173,2,4:49.0,,Personal foul by D. Motiejūnas (drawn by G. Monroe),47,53
174,2,4:42.0,,G. Monroe misses 2-pt jump shot from 16 ft,47,53
175,2,4:41.0,Defensive rebound by T. Ariza,,47,53
176,2,4:27.0,J. Harden makes 3-pt jump shot from 24 ft (assist by J. Smith),,50,53
177,2,4:26.0,,Milwaukee full timeout,50,53
178,2,4:26.0,,O. Mayo enters the game for J. Bayless,50,53
179,2,4:26.0,,G. Antetokounmpo enters the game for R. Vaughn,50,53
180,2,4:26.0,,Violation by Team (delay of game),50,53
181,2,4:23.0,,Personal foul by T. Ariza (drawn by G. Antetokounmpo),50,53
182,2,4:23.0,,G. Antetokounmpo misses free throw 1 of 2,50,53
183,2,4:23.0,,Offensive rebound by Team,50,53
184,2,4:23.0,,G. Antetokounmpo misses free throw 2 of 2,50,53
185,2,4:22.0,Defensive rebound by D. Motiejūnas,,50,53
186,2,4:11.0,P. Beverley misses 2-pt jump shot from 4 ft,,50,53
187,2,4:09.0,,Defensive rebound by G. Monroe,50,53
188,2,3:54.0,,K. Middleton makes 2-pt layup from 2 ft,50,55
189,2,3:45.0,J. Harden makes 2-pt layup from 1 ft,,52,55
190,2,3:45.0,Shooting foul by G. Monroe (drawn by J. Harden),,52,55
191,2,3:45.0,,M. Plumlee enters the game for G. Monroe,52,55
192,2,3:45.0,D. Howard enters the game for J. Smith,,52,55
193,2,3:45.0,J. Harden makes free throw 1 of 1,,53,55
194,2,3:33.0,,Turnover by O. Mayo (bad pass; steal by T. Ariza),53,55
195,2,3:30.0,Personal foul by G. Antetokounmpo (drawn by D. Motiejūnas),,53,55
196,2,3:30.0,D. Motiejūnas makes free throw 1 of 2,,54,55
197,2,3:30.0,D. Motiejūnas makes free throw 2 of 2,,55,55
198,2,3:11.0,,O. Mayo misses 2-pt jump shot from 12 ft,55,55
199,2,3:09.0,,Offensive rebound by M. Plumlee,55,55
200,2,3:09.0,,M. Plumlee misses 2-pt layup at rim,55,55
201,2,3:08.0,Defensive rebound by T. Ariza,,55,55
202,2,2:53.0,P. Beverley misses 3-pt jump shot from 23 ft,,55,55
203,2,2:52.0,Offensive rebound by T. Ariza,,55,55
204,2,2:48.0,P. Beverley misses 3-pt jump shot from 24 ft,,55,55
205,2,2:47.0,,Defensive rebound by G. Antetokounmpo,55,55
206,2,2:39.0,,J. Parker makes 2-pt layup at rim (assist by G. Antetokounmpo),55,57
207,2,2:15.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by D. Motiejūnas),,58,57
208,2,2:00.0,,J. Parker misses 2-pt jump shot from 22 ft,58,57
209,2,1:58.0,Defensive rebound by D. Howard,,58,57
210,2,1:52.0,J. Harden makes 2-pt layup from 1 ft,,60,57
211,2,1:37.0,,Turnover by J. Parker (bad pass; steal by J. Harden),60,57
212,2,1:35.0,Turnover by P. Beverley (dbl dribble),,60,57
213,2,1:35.0,Official timeout,,60,57
214,2,1:30.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by J. Parker),60,59
215,2,1:11.0,Turnover by J. Harden (bad pass; steal by G. Antetokounmpo),,60,59
216,2,1:06.0,,K. Middleton makes 2-pt layup at rim (assist by G. Antetokounmpo),60,61
217,2,0:55.0,Turnover by J. Harden (lost ball; steal by J. Parker),,60,61
218,2,0:51.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by J. Parker),60,63
219,2,0:41.0,Shooting foul by K. Middleton (drawn by D. Motiejūnas),,60,63
220,2,0:41.0,D. Motiejūnas misses free throw 1 of 2,,60,63
221,2,0:41.0,Offensive rebound by Team,,60,63
222,2,0:41.0,D. Motiejūnas makes free throw 2 of 2,,61,63
223,2,0:25.0,,G. Antetokounmpo misses 2-pt jump shot from 14 ft,61,63
224,2,0:24.0,,Offensive rebound by M. Plumlee,61,63
225,2,0:07.0,,Personal foul by D. Motiejūnas (drawn by K. Middleton),61,63
226,2,0:07.0,,K. Middleton makes free throw 1 of 2,61,64
227,2,0:07.0,,J. Bayless enters the game for O. Mayo,61,64
228,2,0:07.0,J. Terry enters the game for D. Motiejūnas,,61,64
229,2,0:07.0,,K. Middleton makes free throw 2 of 2,61,65
230,2,0:01.0,J. Terry makes 3-pt jump shot from 23 ft (assist by T. Ariza),,64,65
231,2,0:00.0,,Turnover by J. Parker (bad pass; steal by J. Harden),64,65
232,3,11:50.0,D. Howard misses 2-pt jump shot from 5 ft (block by K. Middleton),,64,65
233,3,11:48.0,,Defensive rebound by O. Mayo,64,65
234,3,11:46.0,,Turnover by O. Mayo (bad pass),64,65
235,3,11:34.0,D. Howard misses 2-pt jump shot from 5 ft,,64,65
236,3,11:31.0,,Defensive rebound by M. Plumlee,64,65
237,3,11:27.0,,J. Parker misses 2-pt layup from 1 ft,64,65
238,3,11:25.0,Defensive rebound by D. Howard,,64,65
239,3,11:15.0,J. Smith misses 2-pt layup from 1 ft,,64,65
240,3,11:11.0,Offensive rebound by D. Howard,,64,65
241,3,11:11.0,D. Howard misses 2-pt layup from 1 ft,,64,65
242,3,11:11.0,Offensive rebound by D. Howard,,64,65
243,3,11:11.0,Shooting foul by M. Plumlee (drawn by D. Howard),,64,65
244,3,11:11.0,D. Howard makes free throw 1 of 2,,65,65
245,3,11:11.0,D. Howard misses free throw 2 of 2,,65,65
246,3,11:09.0,Offensive rebound by T. Ariza,,65,65
247,3,11:05.0,D. Howard makes 2-pt hook shot from 5 ft (assist by T. Ariza),,67,65
248,3,10:55.0,,Shooting foul by T. Ariza (drawn by M. Plumlee),67,65
249,3,10:55.0,,M. Plumlee makes free throw 1 of 2,67,66
250,3,10:55.0,,M. Plumlee misses free throw 2 of 2,67,66
251,3,10:54.0,Defensive rebound by J. Harden,,67,66
252,3,10:37.0,J. Harden misses 3-pt jump shot from 25 ft,,67,66
253,3,10:36.0,,Defensive rebound by G. Antetokounmpo,67,66
254,3,10:35.0,,Personal foul by P. Beverley (drawn by G. Antetokounmpo),67,66
255,3,10:27.0,Violation by D. Howard (def goaltending),,67,66
256,3,10:27.0,,J. Parker makes 2-pt jump shot from 4 ft,67,68
257,3,10:11.0,D. Howard makes 2-pt dunk at rim (assist by T. Ariza),,69,68
258,3,9:52.0,,Turnover by G. Antetokounmpo (bad pass; steal by J. Smith),69,68
259,3,9:43.0,T. Ariza makes 3-pt jump shot from 23 ft,,72,68
260,3,9:35.0,,Turnover by J. Parker (bad pass; steal by P. Beverley),72,68
261,3,9:26.0,P. Beverley misses 3-pt jump shot from 24 ft,,72,68
262,3,9:24.0,,Defensive rebound by Team,72,68
263,3,9:24.0,,Milwaukee full timeout,72,68
264,3,9:02.0,,K. Middleton makes 2-pt jump shot from 17 ft,72,70
265,3,8:39.0,J. Smith makes 2-pt hook shot from 3 ft (assist by T. Ariza),,74,70
266,3,8:26.0,,M. Plumlee makes 2-pt dunk at rim (assist by J. Parker),74,72
267,3,8:07.0,D. Howard makes 2-pt dunk from 1 ft (assist by J. Harden),,76,72
268,3,7:52.0,,O. Mayo misses 3-pt jump shot from 25 ft,76,72
269,3,7:50.0,Defensive rebound by D. Howard,,76,72
270,3,7:42.0,Turnover by J. Harden (bad pass; steal by K. Middleton),,76,72
271,3,7:42.0,,Turnover by O. Mayo (traveling),76,72
272,3,7:32.0,Turnover by D. Howard (bad pass; steal by G. Antetokounmpo),,76,72
273,3,7:30.0,,Personal foul by J. Harden (drawn by G. Antetokounmpo),76,72
274,3,7:23.0,,M. Plumlee misses 2-pt layup from 2 ft,76,72
275,3,7:21.0,,Offensive rebound by M. Plumlee,76,72
276,3,7:20.0,,M. Plumlee misses 2-pt layup from 1 ft,76,72
277,3,7:18.0,,Offensive rebound by Team,76,72
278,3,7:18.0,,Personal foul by D. Howard (drawn by M. Plumlee),76,72
279,3,7:18.0,,Technical foul by O. Mayo,76,72
280,3,7:18.0,J. Harden makes technical free throw,,77,72
281,3,7:18.0,,J. Bayless enters the game for O. Mayo,77,72
282,3,7:15.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by J. Parker),77,74
283,3,6:50.0,J. Harden misses 3-pt jump shot from 24 ft,,77,74
284,3,6:49.0,,Defensive rebound by G. Antetokounmpo,77,74
285,3,6:43.0,,J. Parker makes 2-pt dunk at rim (assist by G. Antetokounmpo),77,76
286,3,6:34.0,D. Howard makes 2-pt dunk at rim (assist by T. Ariza),,79,76
287,3,6:18.0,,Turnover by G. Antetokounmpo (lost ball; steal by T. Ariza),79,76
288,3,6:16.0,D. Howard makes 2-pt layup from 1 ft,,81,76
289,3,6:16.0,Shooting foul by J. Parker (drawn by D. Howard),,81,76
290,3,6:16.0,D. Motiejūnas enters the game for J. Smith,,81,76
291,3,6:16.0,D. Howard misses free throw 1 of 1,,81,76
292,3,6:15.0,,Defensive rebound by G. Antetokounmpo,81,76
293,3,5:57.0,,Shooting block foul by D. Howard (drawn by G. Antetokounmpo),81,76
294,3,5:57.0,,G. Antetokounmpo misses free throw 1 of 2,81,76
295,3,5:57.0,,Offensive rebound by Team,81,76
296,3,5:57.0,,G. Antetokounmpo misses free throw 2 of 2,81,76
297,3,5:56.0,Defensive rebound by D. Howard,,81,76
298,3,5:38.0,Turnover by D. Motiejūnas (lost ball; steal by K. Middleton),,81,76
299,3,5:32.0,,Turnover by G. Antetokounmpo (bad pass; steal by D. Motiejūnas),81,76
300,3,5:23.0,T. Ariza misses 3-pt jump shot from 23 ft,,81,76
301,3,5:21.0,,Defensive rebound by M. Plumlee,81,76
302,3,5:06.0,,J. Bayless misses 3-pt jump shot from 24 ft,81,76
303,3,5:04.0,Defensive rebound by J. Harden,,81,76
304,3,5:01.0,,Violation by J. Bayless (def goaltending),81,76
305,3,5:01.0,P. Beverley makes 2-pt layup from 1 ft (assist by J. Harden),,83,76
306,3,4:37.0,T. Jones enters the game for D. Howard,,83,76
307,3,4:25.0,,J. Parker misses 2-pt jump shot from 18 ft,83,76
308,3,4:23.0,Defensive rebound by T. Jones,,83,76
309,3,4:21.0,Personal foul by K. Middleton (drawn by D. Motiejūnas),,83,76
310,3,4:21.0,,G. Monroe enters the game for M. Plumlee,83,76
311,3,4:21.0,J. Terry enters the game for P. Beverley,,83,76
312,3,4:07.0,J. Harden misses 3-pt jump shot from 22 ft,,83,76
313,3,4:06.0,,Defensive rebound by J. Parker,83,76
314,3,4:01.0,,J. Parker makes 2-pt layup from 1 ft,83,78
315,3,3:51.0,Turnover by T. Ariza (bad pass; steal by K. Middleton),,83,78
316,3,3:44.0,,J. Parker makes 2-pt dunk at rim (assist by G. Antetokounmpo),83,80
317,3,3:44.0,Houston full timeout,,83,80
318,3,3:44.0,C. Brewer enters the game for T. Ariza,,83,80
319,3,3:30.0,D. Motiejūnas misses 2-pt hook shot at rim,,83,80
320,3,3:27.0,,Defensive rebound by G. Antetokounmpo,83,80
321,3,3:08.0,,K. Middleton makes 3-pt jump shot from 24 ft (assist by G. Monroe),83,83
322,3,2:54.0,Turnover by J. Harden (lost ball; steal by K. Middleton),,83,83
323,3,2:48.0,,J. Parker misses 2-pt dunk at rim,83,83
324,3,2:45.0,Defensive rebound by T. Jones,,83,83
325,3,2:32.0,J. Terry misses 3-pt jump shot from 23 ft,,83,83
326,3,2:31.0,Offensive rebound by D. Motiejūnas,,83,83
327,3,2:24.0,J. Terry makes 3-pt jump shot from 22 ft (assist by D. Motiejūnas),,86,83
328,3,2:05.0,,J. Bayless makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),86,86
329,3,1:46.0,C. Brewer misses 3-pt jump shot from 24 ft,,86,86
330,3,1:44.0,,Defensive rebound by J. Bayless,86,86
331,3,1:36.0,,Turnover by J. Parker (bad pass; steal by C. Brewer),86,86
332,3,1:34.0,Personal foul by J. Bayless (drawn by J. Harden),,86,86
333,3,1:34.0,T. Ariza enters the game for J. Harden,,86,86
334,3,1:34.0,D. Howard enters the game for D. Motiejūnas,,86,86
335,3,1:24.0,C. Brewer misses 2-pt layup from 1 ft (block by G. Antetokounmpo),,86,86
336,3,1:21.0,,Defensive rebound by K. Middleton,86,86
337,3,1:16.0,,J. Bayless misses 3-pt jump shot from 24 ft,86,86
338,3,1:15.0,,Offensive rebound by K. Middleton,86,86
339,3,1:11.0,,G. Monroe makes 2-pt layup from 2 ft (assist by K. Middleton),86,88
340,3,0:57.0,D. Howard misses 2-pt layup from 2 ft,,86,88
341,3,0:55.0,Offensive rebound by D. Howard,,86,88
342,3,0:55.0,Shooting foul by G. Monroe (drawn by D. Howard),,86,88
343,3,0:55.0,D. Howard makes free throw 1 of 2,,87,88
344,3,0:55.0,,R. Vaughn enters the game for J. Parker,87,88
345,3,0:55.0,,M. Plumlee enters the game for G. Monroe,87,88
346,3,0:55.0,D. Howard misses free throw 2 of 2,,87,88
347,3,0:55.0,,Defensive rebound by G. Antetokounmpo,87,88
348,3,0:39.0,,Personal foul by T. Ariza (drawn by K. Middleton),87,88
349,3,0:39.0,,K. Middleton makes free throw 1 of 2,87,89
350,3,0:39.0,J. Harden enters the game for T. Jones,,87,89
351,3,0:39.0,,K. Middleton makes free throw 2 of 2,87,90
352,3,0:30.0,J. Harden makes 2-pt layup from 2 ft,,89,90
353,3,0:08.0,,J. Bayless makes 2-pt jump shot from 5 ft,89,92
354,3,0:00.0,J. Harden makes 3-pt jump shot from 25 ft,,92,92
355,4,11:39.0,,Shooting foul by D. Howard (drawn by G. Antetokounmpo),92,92
356,4,11:39.0,,G. Antetokounmpo makes free throw 1 of 2,92,93
357,4,11:39.0,,G. Antetokounmpo makes free throw 2 of 2,92,94
358,4,11:19.0,Turnover by J. Terry (bad pass; steal by K. Middleton),,92,94
359,4,11:17.0,,Personal foul by P. Beverley (drawn by R. Vaughn),92,94
360,4,11:10.0,,G. Antetokounmpo makes 2-pt jump shot from 18 ft,92,96
361,4,10:54.0,D. Howard misses 2-pt hook shot from 3 ft,,92,96
362,4,10:52.0,,Defensive rebound by G. Antetokounmpo,92,96
363,4,10:46.0,,J. Bayless misses 3-pt jump shot from 24 ft,92,96
364,4,10:44.0,Defensive rebound by P. Beverley,,92,96
365,4,10:40.0,Shooting foul by G. Monroe (drawn by P. Beverley),,92,96
366,4,10:40.0,P. Beverley makes free throw 1 of 2,,93,96
367,4,10:40.0,,M. Plumlee enters the game for G. Monroe,93,96
368,4,10:40.0,J. Smith enters the game for T. Jones,,93,96
369,4,10:40.0,P. Beverley makes free throw 2 of 2,,94,96
370,4,10:30.0,,G. Antetokounmpo misses 2-pt jump shot from 22 ft,94,96
371,4,10:27.0,Defensive rebound by J. Smith,,94,96
372,4,10:21.0,Turnover by P. Beverley (bad pass; steal by G. Antetokounmpo),,94,96
373,4,10:17.0,,Shooting foul by J. Smith (drawn by G. Antetokounmpo),94,96
374,4,10:17.0,,G. Antetokounmpo misses free throw 1 of 2,94,96
375,4,10:17.0,,Offensive rebound by Team,94,96
