,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,OKLAHOMA CITY_ACTION,BROOKLYN_SCORE,OKLAHOMA CITY_SCORE
184,2,2:38.0,Defensive rebound by R. Hollis-Jefferson,,46,48
185,2,2:23.0,J. Jack makes 2-pt layup from 1 ft,,48,48
186,2,1:59.0,,K. Durant makes 2-pt jump shot from 13 ft (assist by R. Westbrook),48,50
187,2,1:45.0,Turnover by J. Jack (bad pass; steal by R. Westbrook),,48,50
188,2,1:37.0,,Shooting foul by R. Hollis-Jefferson (drawn by S. Adams),48,50
189,2,1:37.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),48,52
190,2,1:37.0,Brooklyn full timeout,,48,52
191,2,1:37.0,,S. Adams misses free throw 1 of 1,48,52
192,2,1:35.0,Defensive rebound by T. Young,,48,52
193,2,1:24.0,Turnover by J. Johnson (traveling),,48,52
194,2,1:04.0,,Offensive foul by R. Westbrook (drawn by R. Hollis-Jefferson),48,52
195,2,1:04.0,,Turnover by R. Westbrook (offensive foul),48,52
196,2,0:52.0,Shooting foul by S. Adams (drawn by B. Lopez),,48,52
197,2,0:52.0,B. Lopez makes free throw 1 of 2,,49,52
198,2,0:52.0,B. Lopez makes free throw 2 of 2,,50,52
199,2,0:43.0,,K. Durant makes 2-pt dunk at rim (assist by R. Westbrook),50,54
200,2,0:37.0,J. Jack makes 2-pt jump shot from 8 ft,,52,54
201,2,0:31.0,,R. Westbrook misses 3-pt jump shot from 24 ft,52,54
202,2,0:30.0,Defensive rebound by R. Hollis-Jefferson,,52,54
203,2,0:23.0,Brooklyn full timeout,,52,54
204,2,0:23.0,,A. Roberson enters the game for S. Adams,52,54
205,2,0:23.0,,E. Freedom enters the game for A. Morrow,52,54
206,2,0:23.0,A. Bargnani enters the game for T. Young,,52,54
207,2,0:23.0,B. Bogdanović enters the game for R. Hollis-Jefferson,,52,54
208,2,0:07.0,J. Jack misses 2-pt jump shot from 20 ft,,52,54
209,2,0:07.0,,Defensive rebound by K. Durant,52,54
210,2,0:02.0,,R. Westbrook makes 2-pt dunk at rim (assist by K. Durant),52,56
211,2,0:00.0,J. Johnson misses 3-pt jump shot from 54 ft,,52,56
212,2,0:00.0,Offensive rebound by Team,,52,56
213,3,11:44.0,R. Hollis-Jefferson misses 2-pt jump shot from 7 ft,,52,56
214,3,11:44.0,,Defensive rebound by S. Ibaka,52,56
215,3,11:33.0,,K. Durant misses 3-pt jump shot from 24 ft,52,56
216,3,11:31.0,Defensive rebound by J. Jack,,52,56
217,3,11:23.0,T. Young makes 2-pt hook shot from 5 ft (assist by J. Johnson),,54,56
218,3,11:06.0,,R. Westbrook misses 3-pt jump shot from 24 ft,54,56
219,3,11:04.0,Defensive rebound by T. Young,,54,56
220,3,10:48.0,B. Lopez misses 2-pt dunk at rim (block by S. Ibaka),,54,56
221,3,10:47.0,Offensive rebound by B. Lopez,,54,56
222,3,10:43.0,B. Lopez makes 2-pt hook shot from 2 ft,,56,56
223,3,10:28.0,,K. Durant misses 3-pt jump shot from 24 ft,56,56
224,3,10:28.0,Defensive rebound by T. Young,,56,56
225,3,10:07.0,J. Johnson misses 2-pt jump shot from 12 ft,,56,56
226,3,10:06.0,,Defensive rebound by S. Ibaka,56,56
227,3,10:01.0,,R. Westbrook misses 2-pt jump shot from 3 ft,56,56
228,3,10:01.0,Defensive rebound by J. Johnson,,56,56
229,3,9:51.0,J. Jack makes 3-pt jump shot from 22 ft (assist by R. Hollis-Jefferson),,59,56
230,3,9:51.0,,Oklahoma City full timeout,59,56
231,3,9:35.0,,R. Westbrook makes 2-pt dunk at rim (assist by K. Durant),59,58
232,3,9:17.0,J. Johnson makes 2-pt jump shot from 5 ft,,61,58
233,3,8:55.0,,Turnover by K. Durant (bad pass; steal by B. Lopez),61,58
234,3,8:43.0,B. Lopez misses 2-pt jump shot from 19 ft,,61,58
235,3,8:43.0,,Defensive rebound by K. Durant,61,58
236,3,8:35.0,,K. Durant makes 3-pt jump shot from 25 ft,61,61
237,3,8:21.0,Turnover by B. Lopez (lost ball; steal by S. Adams),,61,61
238,3,8:17.0,,R. Westbrook makes 2-pt dunk at rim (assist by A. Roberson),61,63
239,3,8:05.0,Brooklyn full timeout,,61,63
240,3,7:56.0,J. Johnson misses 3-pt jump shot from 24 ft,,61,63
241,3,7:55.0,,Defensive rebound by R. Westbrook,61,63
242,3,7:50.0,,A. Roberson makes 2-pt layup at rim (assist by R. Westbrook),61,65
243,3,7:42.0,Offensive foul by B. Lopez (drawn by R. Westbrook),,61,65
244,3,7:42.0,Turnover by B. Lopez (offensive foul),,61,65
245,3,7:32.0,,K. Durant makes 2-pt jump shot from 19 ft (assist by R. Westbrook),61,67
246,3,7:13.0,T. Young makes 2-pt hook shot from 3 ft,,63,67
247,3,6:57.0,,S. Ibaka misses 3-pt jump shot from 23 ft,63,67
248,3,6:57.0,Defensive rebound by R. Hollis-Jefferson,,63,67
249,3,6:49.0,Turnover by J. Jack (lost ball; steal by R. Westbrook),,63,67
250,3,6:43.0,,S. Ibaka misses 2-pt layup from 2 ft (block by B. Lopez),63,67
251,3,6:42.0,Defensive rebound by T. Young,,63,67
252,3,6:27.0,B. Lopez misses 2-pt jump shot from 17 ft,,63,67
253,3,6:26.0,,Defensive rebound by K. Durant,63,67
254,3,6:18.0,,Shooting foul by B. Lopez (drawn by R. Westbrook),63,67
