,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CHARLOTTE_ACTION,BROOKLYN_SCORE,CHARLOTTE_SCORE
109,2,11:00.0,A. Bargnani misses 2-pt layup from 2 ft (block by F. Kaminsky),,34,34
110,2,11:00.0,Offensive rebound by Team,,34,34
111,2,10:53.0,W. Ellington makes 2-pt jump shot from 22 ft (assist by B. Lopez),,36,34
112,2,10:31.0,,S. Hawes makes 2-pt dunk at rim (assist by J. Lin),36,36
113,2,10:06.0,B. Lopez misses 2-pt layup from 2 ft,,36,36
114,2,10:05.0,,Defensive rebound by S. Hawes,36,36
115,2,9:59.0,,S. Hawes misses 2-pt jump shot from 7 ft,36,36
116,2,9:56.0,Defensive rebound by B. Bogdanović,,36,36
117,2,9:48.0,Turnover by J. Jack (bad pass),,36,36
118,2,9:37.0,,J. Lamb makes 2-pt jump shot from 18 ft (assist by S. Hawes),36,38
119,2,9:20.0,A. Bargnani misses 2-pt jump shot from 17 ft,,36,38
120,2,9:19.0,,Defensive rebound by J. Lin,36,38
121,2,9:13.0,,S. Hawes makes 2-pt layup from 1 ft (assist by J. Lin),36,40
122,2,9:13.0,Brooklyn full timeout,,36,40
123,2,8:57.0,W. Ellington misses 2-pt jump shot from 18 ft,,36,40
124,2,8:56.0,,Defensive rebound by S. Hawes,36,40
125,2,8:39.0,,M. Williams misses 2-pt jump shot from 22 ft,36,40
126,2,8:38.0,Defensive rebound by J. Jack,,36,40
127,2,8:30.0,B. Lopez makes 2-pt layup from 1 ft (assist by J. Jack),,38,40
128,2,8:14.0,,J. Lin misses 2-pt layup from 1 ft,38,40
129,2,8:13.0,Defensive rebound by W. Ellington,,38,40
130,2,8:05.0,A. Bargnani makes 2-pt jump shot from 19 ft (assist by W. Ellington),,40,40
131,2,8:05.0,,Charlotte full timeout,40,40
132,2,7:57.0,,Turnover by J. Lin (bad pass),40,40
133,2,7:43.0,W. Ellington misses 3-pt jump shot from 22 ft,,40,40
134,2,7:41.0,,Defensive rebound by M. Williams,40,40
135,2,7:39.0,,Personal foul by J. Jack (drawn by J. Lin),40,40
136,2,7:32.0,,J. Lin misses 3-pt jump shot from 25 ft,40,40
137,2,7:31.0,Defensive rebound by W. Ellington,,40,40
138,2,7:23.0,J. Jack misses 2-pt jump shot from 17 ft,,40,40
139,2,7:22.0,,Defensive rebound by J. Lamb,40,40
140,2,7:10.0,,M. Williams makes 3-pt jump shot from 22 ft (assist by S. Hawes),40,43
141,2,6:55.0,B. Lopez makes 2-pt hook shot from 6 ft,,42,43
142,2,6:28.0,,S. Hawes misses 2-pt jump shot from 16 ft,42,43
143,2,6:26.0,Defensive rebound by J. Jack,,42,43
144,2,6:20.0,A. Bargnani misses 2-pt jump shot from 18 ft,,42,43
145,2,6:19.0,,Defensive rebound by S. Hawes,42,43
146,2,6:09.0,,J. Lin makes 2-pt layup from 2 ft,42,45
147,2,5:53.0,B. Lopez misses 2-pt jump shot from 10 ft (block by J. Lamb),,42,45
148,2,5:53.0,Offensive rebound by Team,,42,45
149,2,5:53.0,S. Larkin enters the game for J. Jack,,42,45
150,2,5:53.0,J. Johnson enters the game for B. Bogdanović,,42,45
151,2,5:53.0,T. Young enters the game for A. Bargnani,,42,45
152,2,5:53.0,,A. Jefferson enters the game for S. Hawes,42,45
153,2,5:37.0,B. Lopez makes 2-pt hook shot from 11 ft,,44,45
154,2,5:25.0,,J. Lin misses 2-pt jump shot from 19 ft,44,45
155,2,5:23.0,,Offensive rebound by F. Kaminsky,44,45
156,2,5:17.0,,J. Lamb misses 2-pt jump shot from 10 ft,44,45
157,2,5:16.0,Defensive rebound by T. Young,,44,45
158,2,5:12.0,T. Young misses 2-pt jump shot from 17 ft,,44,45
159,2,5:11.0,,Defensive rebound by J. Lin,44,45
160,2,4:52.0,,A. Jefferson misses 2-pt jump shot from 8 ft,44,45
161,2,4:50.0,Defensive rebound by T. Young,,44,45
162,2,4:36.0,,N. Batum enters the game for M. Williams,44,45
163,2,4:36.0,,K. Walker enters the game for J. Lamb,44,45
164,2,4:36.0,R. Hollis-Jefferson enters the game for W. Ellington,,44,45
165,2,4:28.0,J. Johnson misses 3-pt jump shot from 25 ft,,44,45
166,2,4:27.0,,Defensive rebound by J. Lin,44,45
167,2,4:23.0,,Turnover by J. Lin (lost ball),44,45
