,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MINNESOTA_ACTION,MILWAUKEE_SCORE,MINNESOTA_SCORE
44,1,6:55.0,Violation by G. Antetokounmpo (def goaltending),,2,11
45,1,6:55.0,,S. Muhammad makes 2-pt layup from 2 ft (assist by R. Rubio),2,13
46,1,6:55.0,O. Mayo enters the game for G. Antetokounmpo,,2,13
47,1,6:38.0,Shooting foul by R. Rubio (drawn by K. Middleton),,2,13
48,1,6:38.0,K. Middleton makes free throw 1 of 2,,3,13
49,1,6:38.0,J. Henson enters the game for G. Monroe,,3,13
50,1,6:38.0,K. Middleton makes free throw 2 of 2,,4,13
51,1,6:27.0,,S. Muhammad makes 2-pt jump shot from 20 ft (assist by R. Rubio),4,15
52,1,6:09.0,O. Mayo misses 2-pt layup from 2 ft,,4,15
53,1,6:08.0,,Defensive rebound by S. Muhammad,4,15
54,1,5:53.0,,K. Towns misses 2-pt jump shot from 7 ft,4,15
55,1,5:52.0,Defensive rebound by M. Carter-Williams,,4,15
56,1,5:41.0,M. Carter-Williams misses 2-pt jump shot from 17 ft,,4,15
57,1,5:39.0,,Defensive rebound by R. Rubio,4,15
58,1,5:38.0,,Personal foul by O. Mayo (drawn by S. Muhammad),4,15
59,1,5:38.0,,G. Dieng enters the game for K. Garnett,4,15
60,1,5:18.0,,S. Muhammad makes 2-pt jump shot from 7 ft (assist by T. Prince),4,17
61,1,5:18.0,,Shooting foul by O. Mayo (drawn by S. Muhammad),4,17
62,1,5:18.0,,S. Muhammad makes free throw 1 of 1,4,18
63,1,4:58.0,K. Middleton misses 2-pt jump shot from 12 ft,,4,18
64,1,4:57.0,Offensive rebound by J. Henson,,4,18
65,1,4:56.0,Shooting foul by S. Muhammad (drawn by J. Henson),,4,18
66,1,4:56.0,J. Henson misses free throw 1 of 2,,4,18
67,1,4:56.0,Offensive rebound by Team,,4,18
68,1,4:56.0,J. Henson makes free throw 2 of 2,,5,18
69,1,4:36.0,,K. Towns misses 2-pt jump shot from 20 ft,5,18
70,1,4:35.0,Defensive rebound by M. Carter-Williams,,5,18
71,1,4:30.0,O. Mayo misses 2-pt layup from 1 ft (block by K. Towns),,5,18
72,1,4:28.0,,Defensive rebound by R. Rubio,5,18
73,1,4:25.0,,Turnover by T. Prince (bad pass),5,18
74,1,4:16.0,J. Parker misses 2-pt layup from 2 ft,,5,18
75,1,4:15.0,,Defensive rebound by K. Towns,5,18
76,1,4:08.0,,Minnesota full timeout,5,18
77,1,4:08.0,Technical foul by O. Mayo,,5,18
78,1,4:08.0,Technical foul by O. Mayo,,5,18
79,1,4:08.0,J. Bayless enters the game for O. Mayo,,5,18
80,1,4:08.0,,R. Rubio makes technical free throw,5,19
81,1,4:08.0,,R. Rubio makes technical free throw,5,20
82,1,4:01.0,,K. Towns makes 2-pt layup from 1 ft,5,22
83,1,3:45.0,Turnover by J. Bayless (bad pass; steal by R. Rubio),,5,22
84,1,3:39.0,,T. Prince misses 2-pt jump shot from 19 ft,5,22
85,1,3:38.0,Defensive rebound by M. Carter-Williams,,5,22
86,1,3:21.0,J. Henson makes 2-pt hook shot from 1 ft (assist by K. Middleton),,7,22
87,1,2:57.0,,G. Dieng makes 2-pt jump shot from 16 ft,7,24
88,1,2:45.0,Personal foul by R. Rubio (drawn by M. Carter-Williams),,7,24
89,1,2:45.0,M. Carter-Williams makes free throw 1 of 2,,8,24
90,1,2:45.0,,Z. LaVine enters the game for S. Muhammad,8,24
91,1,2:45.0,,T. Jones enters the game for R. Rubio,8,24
92,1,2:45.0,G. Antetokounmpo enters the game for J. Parker,,8,24
93,1,2:45.0,M. Carter-Williams misses free throw 2 of 2,,8,24
94,1,2:45.0,,Defensive rebound by K. Towns,8,24
95,1,2:25.0,,Turnover by T. Jones (lost ball; steal by M. Carter-Williams),8,24
96,1,2:22.0,Shooting foul by Z. LaVine (drawn by G. Antetokounmpo),,8,24
97,1,2:22.0,G. Antetokounmpo makes free throw 1 of 2,,9,24
98,1,2:22.0,,A. Payne enters the game for K. Towns,9,24
99,1,2:22.0,G. Antetokounmpo makes free throw 2 of 2,,10,24
100,1,2:00.0,,A. Payne misses 3-pt jump shot from 23 ft,10,24
101,1,1:59.0,,Offensive rebound by T. Prince,10,24
102,1,1:40.0,,T. Jones misses 2-pt jump shot from 21 ft (block by M. Carter-Williams),10,24
103,1,1:39.0,,Offensive rebound by T. Jones,10,24
104,1,1:38.0,,Turnover by G. Dieng (3 sec),10,24
105,1,1:38.0,G. Monroe enters the game for J. Henson,,10,24
106,1,1:38.0,R. Vaughn enters the game for M. Carter-Williams,,10,24
107,1,1:29.0,G. Monroe misses 2-pt layup at rim,,10,24
108,1,1:28.0,Offensive rebound by G. Monroe,,10,24
109,1,1:28.0,G. Monroe misses 2-pt layup at rim,,10,24
110,1,1:26.0,Offensive rebound by G. Monroe,,10,24
111,1,1:25.0,G. Monroe makes 2-pt layup from 2 ft,,12,24
112,1,1:02.0,,Z. LaVine misses 3-pt jump shot from 26 ft,12,24
113,1,1:00.0,Defensive rebound by G. Antetokounmpo,,12,24
114,1,0:50.0,K. Middleton misses 2-pt jump shot from 12 ft,,12,24
115,1,0:49.0,,Defensive rebound by Z. LaVine,12,24
116,1,0:44.0,,T. Jones makes 2-pt layup at rim (assist by Z. LaVine),12,26
117,1,0:23.0,K. Middleton makes 3-pt jump shot from 23 ft (assist by G. Monroe),,15,26
118,1,0:00.0,,Z. LaVine makes 2-pt layup from 1 ft,15,28
119,2,11:40.0,G. Monroe misses 2-pt jump shot from 12 ft,,15,28
120,2,11:38.0,,Defensive rebound by S. Muhammad,15,28
121,2,11:24.0,,S. Muhammad makes 3-pt jump shot from 23 ft (assist by T. Jones),15,31
122,2,11:01.0,J. O'Bryant makes 2-pt jump shot from 16 ft,,17,31
123,2,10:38.0,,Turnover by G. Dieng (lost ball; steal by G. Monroe),17,31
124,2,10:34.0,R. Vaughn makes 2-pt layup at rim,,19,31
125,2,10:11.0,,S. Muhammad misses 2-pt jump shot from 11 ft,19,31
126,2,10:10.0,Defensive rebound by G. Monroe,,19,31
127,2,10:01.0,J. Bayless misses 2-pt jump shot from 6 ft,,19,31
128,2,10:00.0,,Defensive rebound by G. Dieng,19,31
129,2,9:52.0,,T. Jones misses 2-pt jump shot from 7 ft,19,31
130,2,9:51.0,,Offensive rebound by T. Jones,19,31
131,2,9:50.0,,T. Jones misses 2-pt jump shot from 7 ft,19,31
132,2,9:48.0,,Offensive rebound by T. Jones,19,31
133,2,9:30.0,,Z. LaVine misses 3-pt jump shot from 23 ft,19,31
134,2,9:29.0,,Offensive rebound by N. Bjelica,19,31
135,2,9:29.0,,N. Bjelica makes 2-pt layup at rim,19,33
136,2,9:29.0,,Shooting foul by J. O'Bryant (drawn by N. Bjelica),19,33
137,2,9:29.0,,N. Bjelica makes free throw 1 of 1,19,34
138,2,9:12.0,J. Bayless makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,22,34
139,2,9:03.0,,Minnesota full timeout,22,34
140,2,8:53.0,,S. Muhammad misses 2-pt layup at rim,22,34
141,2,8:52.0,,Offensive rebound by S. Muhammad,22,34
142,2,8:52.0,,Shooting foul by J. O'Bryant (drawn by S. Muhammad),22,34
143,2,8:52.0,,S. Muhammad misses free throw 1 of 2,22,34
144,2,8:52.0,,Offensive rebound by Team,22,34
145,2,8:52.0,,S. Muhammad misses free throw 2 of 2,22,34
146,2,8:51.0,,Offensive rebound by Team,22,34
147,2,8:40.0,,Z. LaVine misses 2-pt jump shot from 16 ft (block by R. Vaughn),22,34
148,2,8:39.0,Defensive rebound by G. Antetokounmpo,,22,34
149,2,8:20.0,G. Monroe makes 2-pt jump shot from 4 ft,,24,34
150,2,8:20.0,Shooting foul by G. Dieng (drawn by G. Monroe),,24,34
151,2,8:20.0,,A. Wiggins enters the game for Z. LaVine,24,34
152,2,8:20.0,G. Monroe makes free throw 1 of 1,,25,34
153,2,8:01.0,,Turnover by A. Wiggins (bad pass; steal by J. O'Bryant),25,34
154,2,7:56.0,R. Vaughn makes 3-pt jump shot from 24 ft (assist by J. Bayless),,28,34
155,2,7:42.0,,T. Jones makes 2-pt jump shot from 8 ft,28,36
156,2,7:42.0,,Shooting foul by J. Bayless (drawn by T. Jones),28,36
157,2,7:42.0,,T. Jones makes free throw 1 of 1,28,37
158,2,7:22.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by G. Monroe),,30,37
159,2,7:00.0,,G. Dieng misses 2-pt jump shot from 17 ft,30,37
160,2,6:58.0,Defensive rebound by G. Monroe,,30,37
161,2,6:48.0,Shooting foul by S. Muhammad (drawn by G. Monroe),,30,37
162,2,6:48.0,G. Monroe makes free throw 1 of 2,,31,37
163,2,6:48.0,J. Parker enters the game for J. O'Bryant,,31,37
164,2,6:48.0,,R. Rubio enters the game for T. Jones,31,37
165,2,6:48.0,G. Monroe makes free throw 2 of 2,,32,37
166,2,6:29.0,,Shooting foul by J. Parker (drawn by A. Wiggins),32,37
167,2,6:29.0,,A. Wiggins misses free throw 1 of 2,32,37
168,2,6:29.0,,Offensive rebound by Team,32,37
169,2,6:29.0,J. Henson enters the game for G. Monroe,,32,37
170,2,6:29.0,,K. Towns enters the game for G. Dieng,32,37
171,2,6:29.0,,A. Wiggins makes free throw 2 of 2,32,38
172,2,6:06.0,R. Vaughn misses 3-pt jump shot from 26 ft,,32,38
173,2,6:03.0,,Defensive rebound by K. Towns,32,38
174,2,5:44.0,,Turnover by R. Rubio (bad pass; steal by G. Antetokounmpo),32,38
175,2,5:41.0,Turnover by G. Antetokounmpo (lost ball; steal by A. Wiggins),,32,38
176,2,5:36.0,,K. Towns makes 2-pt dunk at rim (assist by N. Bjelica),32,40
177,2,5:34.0,Milwaukee full timeout,,32,40
178,2,5:26.0,J. Parker makes 2-pt layup at rim,,34,40
179,2,5:12.0,,A. Wiggins misses 2-pt jump shot from 18 ft,34,40
180,2,5:10.0,Defensive rebound by J. Henson,,34,40
181,2,4:56.0,J. Henson misses 2-pt hook shot from 6 ft,,34,40
182,2,4:55.0,,Defensive rebound by K. Towns,34,40
183,2,4:40.0,,S. Muhammad misses 2-pt jump shot from 10 ft,34,40
184,2,4:39.0,Defensive rebound by J. Parker,,34,40
185,2,4:17.0,J. Bayless misses 3-pt jump shot from 24 ft,,34,40
186,2,4:15.0,Offensive rebound by J. Bayless,,34,40
187,2,4:09.0,G. Antetokounmpo misses 2-pt layup from 1 ft (block by R. Rubio),,34,40
188,2,4:09.0,Offensive rebound by Team,,34,40
189,2,4:09.0,K. Middleton enters the game for R. Vaughn,,34,40
190,2,4:09.0,,K. Garnett enters the game for N. Bjelica,34,40
191,2,4:09.0,,T. Prince enters the game for S. Muhammad,34,40
192,2,4:08.0,Turnover by G. Antetokounmpo (bad pass; steal by K. Garnett),,34,40
193,2,3:51.0,,K. Towns misses 2-pt jump shot from 19 ft,34,40
194,2,3:50.0,Defensive rebound by J. Bayless,,34,40
195,2,3:41.0,J. Bayless makes 3-pt jump shot from 23 ft (assist by J. Henson),,37,40
196,2,3:23.0,,K. Towns misses 2-pt jump shot from 18 ft,37,40
197,2,3:21.0,Defensive rebound by G. Antetokounmpo,,37,40
198,2,3:07.0,J. Bayless makes 2-pt layup from 2 ft,,39,40
199,2,2:44.0,,K. Towns misses 2-pt jump shot from 12 ft,39,40
200,2,2:43.0,Defensive rebound by J. Parker,,39,40
201,2,2:38.0,Shooting foul by K. Towns (drawn by J. Parker),,39,40
202,2,2:38.0,Milwaukee full timeout,,39,40
203,2,2:38.0,M. Carter-Williams enters the game for G. Antetokounmpo,,39,40
204,2,2:38.0,J. Henson misses free throw 1 of 2,,39,40
205,2,2:38.0,Offensive rebound by Team,,39,40
206,2,2:38.0,J. Henson misses free throw 2 of 2,,39,40
207,2,2:38.0,,Defensive rebound by K. Garnett,39,40
208,2,2:17.0,,A. Wiggins misses 2-pt jump shot from 15 ft,39,40
209,2,2:15.0,,Offensive rebound by K. Garnett,39,40
210,2,2:06.0,,Turnover by R. Rubio (bad pass),39,40
211,2,1:54.0,Turnover by M. Carter-Williams (bad pass; steal by A. Wiggins),,39,40
212,2,1:47.0,,Offensive foul by K. Garnett (drawn by J. Bayless),39,40
213,2,1:47.0,,Turnover by K. Garnett (offensive foul),39,40
214,2,1:40.0,K. Middleton makes 3-pt jump shot from 24 ft,,42,40
215,2,1:19.0,,R. Rubio makes 3-pt jump shot from 24 ft (assist by A. Wiggins),42,43
216,2,1:06.0,Turnover by K. Middleton (bad pass; steal by K. Towns),,42,43
217,2,1:01.0,,R. Rubio makes 2-pt jump shot from 19 ft,42,45
218,2,0:45.0,Shooting foul by R. Rubio (drawn by J. Henson),,42,45
219,2,0:45.0,J. Henson makes free throw 1 of 2,,43,45
220,2,0:45.0,,T. Jones enters the game for R. Rubio,43,45
221,2,0:45.0,,S. Muhammad enters the game for A. Wiggins,43,45
222,2,0:45.0,J. Henson makes free throw 2 of 2,,44,45
223,2,0:22.0,,K. Garnett misses 2-pt jump shot from 4 ft,44,45
224,2,0:21.0,,Offensive rebound by K. Towns,44,45
225,2,0:21.0,,K. Towns makes 2-pt layup from 3 ft,44,47
226,2,0:04.0,J. Bayless misses 2-pt layup from 2 ft (block by K. Towns),,44,47
227,2,0:02.0,,Defensive rebound by K. Towns,44,47
228,3,11:47.0,G. Monroe misses 2-pt layup from 1 ft,,44,47
229,3,11:45.0,Offensive rebound by K. Middleton,,44,47
230,3,11:36.0,K. Middleton misses 2-pt jump shot from 18 ft,,44,47
231,3,11:34.0,,Defensive rebound by K. Towns,44,47
232,3,11:19.0,,A. Wiggins makes 2-pt layup from 1 ft,44,49
233,3,11:01.0,K. Middleton misses 2-pt jump shot from 6 ft,,44,49
234,3,10:59.0,,Defensive rebound by A. Wiggins,44,49
235,3,10:36.0,,T. Prince makes 2-pt jump shot from 18 ft,44,51
236,3,10:20.0,J. Parker makes 2-pt dunk at rim (assist by K. Middleton),,46,51
237,3,10:02.0,,K. Towns misses 2-pt jump shot from 16 ft,46,51
238,3,10:01.0,Defensive rebound by G. Monroe,,46,51
239,3,9:53.0,Shooting foul by K. Garnett (drawn by M. Carter-Williams),,46,51
240,3,9:53.0,M. Carter-Williams makes free throw 1 of 2,,47,51
241,3,9:53.0,M. Carter-Williams makes free throw 2 of 2,,48,51
242,3,9:44.0,,A. Wiggins makes 2-pt jump shot from 18 ft,48,53
243,3,9:25.0,J. Parker makes 2-pt layup from 1 ft (assist by M. Carter-Williams),,50,53
244,3,9:11.0,,Personal foul by M. Carter-Williams (drawn by R. Rubio),50,53
245,3,9:09.0,,Personal foul by G. Antetokounmpo (drawn by K. Garnett),50,53
246,3,8:57.0,,A. Wiggins misses 2-pt jump shot from 18 ft,50,53
247,3,8:56.0,Defensive rebound by G. Monroe,,50,53
248,3,8:42.0,G. Antetokounmpo makes 3-pt jump shot from 24 ft (assist by G. Monroe),,53,53
249,3,8:17.0,,R. Rubio makes 3-pt jump shot from 25 ft (assist by K. Towns),53,56
250,3,7:58.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by K. Towns),,53,56
251,3,7:56.0,Offensive rebound by G. Antetokounmpo,,53,56
252,3,7:53.0,G. Monroe makes 2-pt jump shot from 15 ft (assist by G. Antetokounmpo),,55,56
253,3,7:45.0,,Minnesota full timeout,55,56
254,3,7:34.0,,A. Wiggins misses 2-pt layup at rim,55,56
255,3,7:33.0,Defensive rebound by G. Antetokounmpo,,55,56
256,3,7:19.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),,58,56
257,3,6:58.0,,K. Garnett misses 3-pt jump shot from 22 ft,58,56
258,3,6:57.0,Defensive rebound by M. Carter-Williams,,58,56
259,3,6:48.0,G. Antetokounmpo makes 2-pt dunk at rim,,60,56
260,3,6:32.0,,A. Wiggins makes 2-pt jump shot from 19 ft,60,58
261,3,6:15.0,G. Monroe makes 2-pt layup from 2 ft,,62,58
262,3,6:05.0,,Shooting foul by J. Parker (drawn by A. Wiggins),62,58
263,3,6:05.0,,A. Wiggins makes free throw 1 of 2,62,59
264,3,6:05.0,,G. Dieng enters the game for K. Towns,62,59
265,3,6:05.0,,A. Payne enters the game for K. Garnett,62,59
266,3,6:05.0,,A. Wiggins makes free throw 2 of 2,62,60
267,3,5:41.0,K. Middleton misses 3-pt jump shot from 26 ft,,62,60
268,3,5:39.0,,Defensive rebound by G. Dieng,62,60
269,3,5:23.0,,G. Dieng misses 2-pt hook shot from 5 ft,62,60
270,3,5:22.0,,Offensive rebound by A. Wiggins,62,60
271,3,5:22.0,,Personal foul by M. Carter-Williams (drawn by A. Wiggins),62,60
272,3,5:22.0,J. Henson enters the game for G. Monroe,,62,60
273,3,5:17.0,,R. Rubio misses 3-pt jump shot from 25 ft,62,60
274,3,5:16.0,Defensive rebound by G. Antetokounmpo,,62,60
275,3,5:11.0,Turnover by G. Antetokounmpo (lost ball; steal by A. Wiggins),,62,60
276,3,5:02.0,,R. Rubio makes 2-pt jump shot from 16 ft (assist by T. Prince),62,62
277,3,4:45.0,Turnover by J. Henson (lost ball; steal by R. Rubio),,62,62
278,3,4:38.0,,T. Prince misses 3-pt jump shot from 23 ft,62,62
279,3,4:37.0,Defensive rebound by K. Middleton,,62,62
280,3,4:26.0,M. Carter-Williams makes 2-pt layup from 1 ft (assist by K. Middleton),,64,62
281,3,4:09.0,,Turnover by G. Dieng (bad pass; steal by G. Antetokounmpo),64,62
282,3,4:05.0,Shooting foul by A. Payne (drawn by G. Antetokounmpo),,64,62
283,3,4:05.0,G. Antetokounmpo makes free throw 1 of 2,,65,62
284,3,4:05.0,G. Antetokounmpo makes free throw 2 of 2,,66,62
285,3,3:57.0,,Personal foul by G. Antetokounmpo (drawn by A. Wiggins),66,62
286,3,3:57.0,,A. Wiggins makes free throw 1 of 2,66,63
287,3,3:57.0,J. Bayless enters the game for G. Antetokounmpo,,66,63
288,3,3:57.0,,A. Wiggins makes free throw 2 of 2,66,64
289,3,3:40.0,M. Carter-Williams misses 2-pt jump shot from 18 ft,,66,64
290,3,3:39.0,,Defensive rebound by R. Rubio,66,64
291,3,3:32.0,,A. Payne misses 2-pt jump shot from 19 ft,66,64
292,3,3:30.0,,Offensive rebound by R. Rubio,66,64
293,3,3:16.0,,A. Wiggins makes 2-pt jump shot from 8 ft (assist by R. Rubio),66,66
294,3,2:55.0,M. Carter-Williams misses 2-pt layup at rim (block by A. Payne),,66,66
295,3,2:54.0,,Defensive rebound by G. Dieng,66,66
296,3,2:44.0,,Turnover by A. Payne (bad pass),66,66
297,3,2:44.0,Milwaukee full timeout,,66,66
298,3,2:44.0,,Z. LaVine enters the game for A. Payne,66,66
299,3,2:34.0,J. Henson makes 2-pt dunk at rim (assist by M. Carter-Williams),,68,66
300,3,2:17.0,,Shooting foul by J. Henson (drawn by G. Dieng),68,66
301,3,2:17.0,,G. Dieng makes free throw 1 of 2,68,67
302,3,2:17.0,,G. Dieng makes free throw 2 of 2,68,68
303,3,2:00.0,J. Parker makes 2-pt dunk at rim (assist by K. Middleton),,70,68
304,3,1:42.0,,Z. LaVine misses 3-pt jump shot from 24 ft,70,68
305,3,1:41.0,,Offensive rebound by G. Dieng,70,68
306,3,1:39.0,,Turnover by G. Dieng (traveling),70,68
307,3,1:24.0,M. Carter-Williams misses 2-pt jump shot from 8 ft,,70,68
308,3,1:24.0,,Defensive rebound by Team,70,68
309,3,1:24.0,,T. Jones enters the game for R. Rubio,70,68
310,3,1:02.0,,Z. LaVine misses 2-pt layup at rim,70,68
311,3,1:01.0,Defensive rebound by J. Parker,,70,68
312,3,0:56.0,J. Bayless misses 2-pt jump shot from 7 ft,,70,68
313,3,0:55.0,,Defensive rebound by G. Dieng,70,68
314,3,0:48.0,,A. Wiggins misses 3-pt jump shot from 25 ft,70,68
315,3,0:47.0,Defensive rebound by J. Henson,,70,68
316,3,0:31.0,J. Bayless misses 2-pt jump shot from 7 ft (block by A. Wiggins),,70,68
317,3,0:29.0,,Defensive rebound by T. Jones,70,68
318,3,0:27.0,,T. Jones misses 2-pt layup at rim (block by M. Carter-Williams),70,68
319,3,0:26.0,Defensive rebound by J. Parker,,70,68
320,3,0:21.0,,Violation by G. Dieng (def goaltending),70,68
321,3,0:21.0,K. Middleton makes 2-pt layup from 2 ft (assist by J. Parker),,72,68
322,3,0:03.0,,T. Prince makes 2-pt jump shot from 16 ft (assist by T. Jones),72,70
323,4,11:48.0,,A. Wiggins misses 2-pt jump shot from 3 ft,72,70
324,4,11:46.0,Defensive rebound by R. Vaughn,,72,70
325,4,11:30.0,J. Bayless makes 3-pt jump shot from 23 ft (assist by M. Carter-Williams),,75,70
326,4,11:13.0,,K. Towns misses 2-pt jump shot from 18 ft,75,70
327,4,11:12.0,Defensive rebound by J. Bayless,,75,70
328,4,10:57.0,R. Vaughn misses 2-pt layup from 2 ft,,75,70
329,4,10:56.0,,Defensive rebound by A. Wiggins,75,70
330,4,10:53.0,Offensive charge foul by Z. LaVine (drawn by J. Bayless),,75,70
331,4,10:53.0,,Turnover by Z. LaVine (offensive foul),75,70
332,4,10:38.0,J. Henson makes 2-pt dunk at rim (assist by M. Carter-Williams),,77,70
333,4,10:21.0,,A. Wiggins misses 3-pt jump shot from 24 ft,77,70
334,4,10:20.0,Defensive rebound by R. Vaughn,,77,70
335,4,10:01.0,J. Henson makes 2-pt layup from 1 ft (assist by M. Carter-Williams),,79,70
336,4,10:00.0,,Minnesota full timeout,79,70
337,4,9:47.0,,Turnover by A. Wiggins (lost ball; steal by M. Carter-Williams),79,70
338,4,9:41.0,J. Bayless misses 3-pt jump shot from 25 ft,,79,70
339,4,9:40.0,,Defensive rebound by Z. LaVine,79,70
340,4,9:35.0,,Z. LaVine misses 2-pt layup from 1 ft,79,70
341,4,9:34.0,Defensive rebound by M. Carter-Williams,,79,70
342,4,9:12.0,J. Henson makes 2-pt layup at rim (assist by J. Bayless),,81,70
343,4,9:00.0,,K. Towns misses 2-pt layup from 2 ft (block by J. Henson),81,70
344,4,8:58.0,,Offensive rebound by K. Towns,81,70
345,4,8:57.0,,K. Towns misses 2-pt layup at rim,81,70
346,4,8:56.0,Defensive rebound by J. Bayless,,81,70
347,4,8:44.0,R. Vaughn misses 3-pt jump shot from 23 ft,,81,70
348,4,8:43.0,,Defensive rebound by A. Wiggins,81,70
349,4,8:34.0,,K. Towns misses 2-pt jump shot from 16 ft,81,70
350,4,8:32.0,Defensive rebound by G. Antetokounmpo,,81,70
351,4,8:15.0,G. Antetokounmpo misses 2-pt jump shot from 8 ft,,81,70
352,4,8:14.0,Offensive rebound by J. Henson,,81,70
353,4,8:14.0,J. Henson makes 2-pt dunk at rim,,83,70
354,4,7:50.0,,Shooting foul by M. Carter-Williams (drawn by T. Jones),83,70
355,4,7:50.0,,T. Jones makes free throw 1 of 2,83,71
356,4,7:50.0,G. Monroe enters the game for J. Henson,,83,71
357,4,7:50.0,K. Middleton enters the game for M. Carter-Williams,,83,71
358,4,7:50.0,,G. Dieng enters the game for K. Towns,83,71
359,4,7:50.0,,T. Jones misses free throw 2 of 2,83,71
360,4,7:50.0,Defensive rebound by G. Antetokounmpo,,83,71
361,4,7:36.0,Personal foul by G. Dieng (drawn by G. Monroe),,83,71
362,4,7:36.0,,R. Rubio enters the game for T. Jones,83,71
363,4,7:30.0,G. Monroe misses 2-pt jump shot from 7 ft,,83,71
364,4,7:29.0,,Defensive rebound by Z. LaVine,83,71
365,4,7:17.0,,Turnover by A. Wiggins (traveling),83,71
366,4,7:05.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,83,71
367,4,7:04.0,,Defensive rebound by R. Rubio,83,71
368,4,6:57.0,,Shooting foul by G. Antetokounmpo (drawn by A. Wiggins),83,71
369,4,6:57.0,,A. Wiggins misses free throw 1 of 2,83,71
370,4,6:57.0,,Offensive rebound by Team,83,71
371,4,6:57.0,J. Parker enters the game for G. Antetokounmpo,,83,71
372,4,6:57.0,,A. Wiggins misses free throw 2 of 2,83,71
373,4,6:56.0,Defensive rebound by K. Middleton,,83,71
374,4,6:40.0,J. Bayless misses 2-pt layup at rim,,83,71
375,4,6:40.0,,Defensive rebound by Team,83,71
376,4,6:40.0,Loose ball foul by G. Monroe (drawn by G. Dieng),,83,71
377,4,6:28.0,,Turnover by A. Wiggins (lost ball),83,71
378,4,6:09.0,G. Monroe makes 2-pt jump shot from 11 ft,,85,71
379,4,5:59.0,,R. Rubio misses 2-pt jump shot from 8 ft,85,71
